gene_id,gene_name,log2 fold change (MLE): group rrf3 YA vs N2 YA,Benjamini-Hochberg adjusted p-values,N2_YA_rep1.robustRPKM,N2_YA_rep2.robustRPKM,N2_YA_rep3.robustRPKM,rrf3_YA_rep1.robustRPKM,rrf3_YA_rep2.robustRPKM,rrf3_YA_rep3.robustRPKM,Input,Suggested Match,History
WBGene00007597,C15A11.2,1.81717904746168,1.46693840137245e-32,11.719473231071,15.9763623608966,14.3738424694175,47.5398435320209,47.627156209143,53.2109671034065,WBGene00007597,WBGene00007597,History: N.A.
WBGene00009706,argk-1,2.16248548333646,3.38384424773852e-32,4.8736401596494,6.20893613655034,5.13853683655478,21.7337395850896,23.6120565990069,27.367642539691,WBGene00009706,WBGene00009706,History: N.A.
WBGene00011124,sdz-27,1.47792407269267,5.59887499426601e-32,28.0041306056502,27.0853954899596,30.4131061403487,79.7513062420156,85.5582365888584,72.8562106508272,WBGene00011124,WBGene00011124,History: N.A.
WBGene00020053,R13A5.11,1.87327629843671,7.71762651312607e-32,6.93178093910054,8.22920974482759,7.64569369846284,23.7899873976855,28.4461134215264,31.4953913437228,WBGene00020053,WBGene00020053,History: N.A.
WBGene00019839,R02F11.1,-2.29779504435769,8.82173044187144e-32,30.2486564294739,35.5925390753217,37.3639842468255,5.23222537066397,7.73875502460488,8.24816659751093,WBGene00019839,WBGene00019839,History: N.A.
WBGene00001944,his-70,1.70393995519117,1.19926197607432e-31,35.8268307139966,32.7587287210817,30.233136144605,89.3976435280203,109.483498044649,123.545124564101,WBGene00001944,WBGene00001944,History: N.A.
WBGene00007610,C15H7.3,1.36206977254048,3.4535877489203504e-31,18.9897919718996,21.3814955016785,21.0041360353755,48.5693625067834,55.0876413868651,54.282374598333,WBGene00007610,WBGene00007610,History: N.A.
WBGene00013290,Y57G11A.2,-1.09288392284758,5.8455827682764905e-31,91.0063755480838,98.8894216731958,90.5786581469839,39.9894971940272,42.7795530956106,48.9031294801345,WBGene00013290,WBGene00013290,History: N.A.
WBGene00012213,W02D9.7,1.11027537082945,9.076843492564071e-31,117.750606124073,108.31665571601,118.988330767705,253.604990278804,253.669481140547,237.52172711642,WBGene00012213,WBGene00012213,History: N.A.
WBGene00003434,msp-38,-1.22738557910028,4.6896808844193096e-30,180.308469923435,194.232390258495,199.251195610547,74.9685429564338,80.5871036478372,90.100962323983,WBGene00003434,WBGene00003434,History: N.A.
WBGene00013712,dlc-6,2.23799670472873,6.035550295163559e-30,8.67908293264331,9.56773928102761,11.1674417626144,48.6909057125438,42.681401863207,47.5034616379512,WBGene00013712,WBGene00013712,History: N.A.
WBGene00005018,sqt-3,-1.82822563257699,6.628894630648399e-30,27.1502178234886,26.8459785110057,29.8776831449646,7.03888992538784,7.79619084637303,8.90964668664504,WBGene00005018,WBGene00005018,History: Renamed on 2005-08-23
WBGene00009884,F49C12.15,-1.050722209329,9.163051631693149e-30,67.8835927319152,78.0150866822372,74.2626783630034,32.3289019019862,36.6076195123558,37.460473155379,WBGene00009884,WBGene00009884,History: N.A.
WBGene00219304,F56D6.16,3.46985721104231,2.16468216274651e-29,3.17160202202314,2.06980075763231,4.62725499315784,50.4431777410888,31.885424909137,27.1257604726117,WBGene00219304,WBGene00219304,History: N.A.
WBGene00020985,W03D8.2,1.81039949552188,2.45977994577807e-29,7.32694904959651,6.90250606116953,7.60391570759233,23.0733815358204,27.2884000642488,26.3610967055268,WBGene00020985,WBGene00020985,History: N.A.
WBGene00011968,T23G11.1,-1.03993423526953,2.86722904026411e-29,177.618127509999,184.987162439344,184.798193863305,84.0809666135828,93.4491648923848,88.9371185975601,WBGene00011968,WBGene00011968,History: N.A.
WBGene00045306,ZC250.5,1.77015801288478,5.56296151864421e-29,13.1892863348021,15.2900229001189,15.7633624738756,45.7759200781665,51.5268846336701,53.9160812031329,WBGene00045306,WBGene00045306,History: N.A.
WBGene00017279,F09C12.8,1.37461817013363,1.2366393582416e-28,27.4688984974736,26.085226837438,29.2663991020239,60.8617322302024,80.517691844523,73.6978769184132,WBGene00017279,WBGene00017279,History: N.A.
WBGene00010314,F59B2.12,2.77661307947996,1.6053678999108196e-28,1.2292172641221,0.802192332741573,1.00015670813917,7.78498136051599,5.37600461403581,7.60121731824032,WBGene00010314,WBGene00010314,History: N.A.
WBGene00002227,klp-17,1.59138574755173,2.11008282537376e-28,10.0934291998267,10.5954383490685,10.5455103528264,26.7357695362704,32.7519779531317,34.8337718032138,WBGene00002227,WBGene00002227,"History: Split into cisd-1(WBGene00044026). History of WBGene00002227: Split into ""WBGene00044026"" on 2004-12-14"
WBGene00000597,col-8,0.836562143808017,8.589141067216009e-28,710.976062396198,628.852909487215,644.659171425241,1194.32480618714,1232.97468451436,1116.35920068434,WBGene00000597,WBGene00000597,History: N.A.
WBGene00018841,F54H5.5,1.47966418888007,9.77815177246729e-28,16.7254076750561,17.8675535405502,20.6785303963424,47.3882818629496,53.7616784478164,53.2907058910593,WBGene00018841,WBGene00018841,"History: Split into F54H5.14(WBGene00255600). History of WBGene00018841: Split into ""WBGene00255600"" on 2014-11-13"
WBGene00014252,ZK1320.2,1.31790211275727,1.06084798503519e-27,53.5366845328472,53.1054639119271,57.2440789254076,113.943152939206,151.531766418026,143.692573334162,WBGene00014252,WBGene00014252,History: N.A.
WBGene00004398,rol-8,-2.22529735895907,1.07772801799968e-27,18.4016260241739,18.9286698175079,21.9206881868276,3.48324648150993,4.50836943484404,4.78814732690224,WBGene00004398,WBGene00004398,History: N.A.
WBGene00020356,T08B6.9,-1.97915905656486,1.59737177455411e-27,13.8640844792972,16.5653288511789,16.3829171692195,3.74107269747571,3.85928963754761,4.31141188617545,WBGene00020356,WBGene00020356,History: N.A.
WBGene00001692,grd-3,1.0020572348946,2.03115338882567e-27,124.821587538234,104.884246522462,113.068467008308,231.930996870516,234.395296555431,220.064082660605,WBGene00001692,WBGene00001692,History: N.A.
WBGene00015500,C06A5.2,2.06727384672382,4.45657882445558e-27,7.05978257576007,8.0975797749373,8.71536149729389,29.6956769599997,33.1483570840027,37.5023317733194,WBGene00015500,WBGene00015500,History: N.A.
WBGene00010049,F54D5.3,1.37833531692034,5.99804871096708e-27,75.8535688096792,68.7178730981713,90.1293623885465,167.77635217338,221.024863928018,222.233050159989,WBGene00010049,WBGene00010049,History: N.A.
WBGene00016627,C44B7.5,0.969014431639785,6.73070662302761e-27,110.782472478885,109.906631650169,117.76437279115,225.92749150527,234.284567438441,202.147689561948,WBGene00016627,WBGene00016627,History: N.A.
WBGene00043147,nspd-6,1.3670285008457,1.1248502205224199e-26,64.7869805090235,67.9675685559223,81.1161578463219,171.854926875751,175.104150285738,205.724488613071,WBGene00043147,WBGene00043147,History: Killed on 2004-10-04; Resurrected on 2006-10-03
WBGene00012402,sfxn-1.3,1.98095335920905,4.7269538960470096e-26,7.48146515735653,6.03646568831283,6.94654053830553,22.3682171207478,30.3406671333392,28.2769160663365,WBGene00012402,WBGene00012402,History: N.A.
WBGene00005016,sqt-1,-2.02896439603124,5.52721172730867e-26,25.6875102916225,27.9082461089842,34.7223118656555,5.45955654194109,7.46974935773179,8.92191451912785,WBGene00005016,WBGene00005016,History: N.A.
WBGene00001758,gst-10,-1.47068613493978,7.94960415776197e-26,56.3084376575228,62.1740407994963,72.6804244452163,21.2791099694501,23.3200125170901,24.5646766573158,WBGene00001758,WBGene00001758,History: N.A.
WBGene00009048,cth-1,1.27686878398262,7.94960415776197e-26,24.7153445844746,28.7204208504805,25.4074215332526,55.1138340537722,64.627366741742,71.5361988497147,WBGene00009048,WBGene00009048,History: N.A.
WBGene00044205,T13F3.8,1.48982413714587,7.94960415776197e-26,16.7230381336982,20.9423924693997,20.0738743504293,53.8119239016737,55.1705061787541,53.2064344214038,WBGene00044205,WBGene00044205,History: N.A.
WBGene00000675,col-101,0.87246063581445,9.84393126495237e-26,245.564685543587,212.921863652456,207.818556643429,396.51677241574,420.439139082559,402.874023406014,WBGene00000675,WBGene00000675,History: N.A.
WBGene00012530,Y32F6A.5,1.06686165072506,1.2149382498134402e-25,39.881137731633,38.6735040940503,38.6889637980761,71.6327362793905,86.0952978472484,88.124700691299,WBGene00012530,WBGene00012530,History: N.A.
WBGene00010876,M05D6.3,2.19751755418057,1.78311801935863e-25,3.03599703360875,3.30375394500023,4.64908944068609,15.1988880038107,17.2033009602748,18.2184572318883,WBGene00010876,WBGene00010876,History: N.A.
WBGene00003448,msp-55,-1.03404728086524,1.8343374527901104e-25,235.408475735556,244.052854799876,272.763480033469,116.284548747736,124.701185204484,126.793703514164,WBGene00003448,WBGene00003448,History: N.A.
WBGene00009250,F29D10.1,2.30391993247353,1.8343374527901104e-25,8.16317874596877,7.79981500141335,8.40194600776465,35.8235925108622,39.2036669930367,45.6151497603928,WBGene00009250,WBGene00009250,History: N.A.
WBGene00007611,C15H7.4,1.9958815344135,2.24955916793302e-25,5.05090135501533,5.83709055124966,6.8258522295879,24.2772066817485,22.3531899166646,24.1051102287213,WBGene00007611,WBGene00007611,History: N.A.
WBGene00013700,Y106G6D.3,-1.3725563574599,2.3631255934482104e-25,23.7033895233097,27.5844578024904,27.9350434331618,9.75070149172467,9.86992988364611,11.0388513735832,WBGene00013700,WBGene00013700,History: N.A.
WBGene00010659,K08D8.5,2.12123613433905,3.53046121441574e-25,4.58495104551208,4.04621399366061,4.46488076706384,17.4754396669708,20.0143908777489,19.583345882627,WBGene00010659,WBGene00010659,History: N.A.
WBGene00011039,R05H5.4,1.12445865708095,3.982337737134321e-25,24.742644926402,24.9546920280497,24.4598315838879,51.5613527931141,55.1150045731307,55.0935257766333,WBGene00011039,WBGene00011039,History: N.A.
WBGene00009401,F35C11.2,1.89327693792879,3.99758440441738e-25,4.99282348335158,4.57078674188495,4.68957136946377,17.2241909282909,17.3555304068368,18.399486194664,WBGene00009401,WBGene00009401,History: N.A.
WBGene00003450,msp-57,-0.960069964833108,4.687877810575071e-25,333.490681674,347.650773063236,358.109550700496,160.564765449486,184.811001591994,189.656028269337,WBGene00003450,WBGene00003450,History: N.A.
WBGene00001603,gln-2,-1.14089439001403,4.75150827001941e-25,69.9202044775069,69.4571423682631,69.1727830888506,28.0056705297666,30.8231694335296,36.0178828851132,WBGene00001603,WBGene00001603,History: N.A.
WBGene00015759,C14C6.5,2.16347679147995,6.246730771017121e-25,7.77027843707857,9.65939858571385,10.8599792479369,34.5228256603433,49.9026187458941,42.7182961829031,WBGene00015759,WBGene00015759,History: N.A.
WBGene00015403,clec-10,1.55039023442418,9.61307644397546e-25,11.2378245506297,10.4074437102666,11.1247276450099,26.0329105456019,35.4194374113588,34.7472419735348,WBGene00015403,WBGene00015403,History: N.A.
WBGene00219755,linc-17,4.48480157219539,9.61307644397546e-25,1.82111644332839,0.787167259355367,1.48905673823112,32.432961224768,31.9030771757165,27.4851687085111,WBGene00219755,WBGene00219755,History: N.A.
WBGene00022680,ZK180.6,-2.40186910834443,1.11230047888531e-24,9.48586421010107,9.22699342039707,9.16958229194113,0.921476694554965,2.1575428644764,2.29316384845093,WBGene00022680,WBGene00022680,History: N.A.
WBGene00005017,sqt-2,-2.17102913062828,1.33836854876443e-24,18.248655771942,20.3370703812682,25.0061004985647,3.99921350678072,5.35431812998976,4.85118116512982,WBGene00005017,WBGene00005017,History: N.A.
WBGene00003981,pes-8,-1.65362942619746,1.41257222520967e-24,19.1794380376136,19.6651335758711,22.672454258191,5.67398618349788,6.46022820192946,7.53156421932415,WBGene00003981,WBGene00003981,History: N.A.
WBGene00012627,Y38H6C.15,1.77849120126432,1.71755481488358e-24,9.75073109118431,12.8001946568619,13.7309282782478,40.4692688960925,43.0405978860131,41.1213822178928,WBGene00012627,WBGene00012627,History: N.A.
WBGene00008202,clec-197,3.21360949179379,1.8203923161152e-24,1.95628702954035,1.26839096851594,2.53266915305976,20.2480766915096,16.1910481251365,17.1012461896624,WBGene00008202,WBGene00008202,History: N.A.
WBGene00013489,col-42,0.761543919494363,2.44703308103663e-24,302.665550427457,269.159871121369,278.312199152901,490.185282238776,481.668690011584,469.231344484824,WBGene00013489,WBGene00013489,History: N.A.
WBGene00023036,F39E9.10,2.03437517132264,2.4732549178717e-24,8.32045803571723,7.45934688627229,6.76132211397204,30.684198821067,30.9461044820317,30.622767234465,WBGene00023036,WBGene00023036,History: N.A.
WBGene00235288,Y69A2AR.46,2.78919997069003,2.4833735072866e-24,13.952667218287,10.3690212036125,28.0210204168314,111.16586405612,119.124775354728,134.424689315904,WBGene00235288,WBGene00235288,History: N.A.
WBGene00016085,C25A8.5,1.28950520474882,4.26670467487363e-24,14.9749654636128,16.8801616312705,14.4379770512015,37.1454010061834,36.8834705927196,39.1181638156419,WBGene00016085,WBGene00016085,History: N.A.
WBGene00012401,irld-57,2.37836313285339,8.39796942828888e-24,2.40028845368235,2.42085918131619,3.15824450741265,12.8644988681879,13.0269342239433,15.7570235342,WBGene00012401,WBGene00012401,History: N.A.
WBGene00007867,C32H11.4,-2.24950884320666,1.73690630142773e-23,16.214468009462,16.264550402238,14.963224902588,4.20884661773972,3.23338675962832,2.39660017523213,WBGene00007867,WBGene00007867,History: N.A.
WBGene00022090,Y69A2AR.19,-0.998853492588526,1.73690630142773e-23,22.6996262280569,22.7420437479503,22.3015076915459,10.7242709348981,10.9470392570759,12.2796275342619,WBGene00022090,WBGene00022090,History: N.A.
WBGene00020860,nspd-10,-1.25759263257314,1.97828743094149e-23,157.186484337405,176.148432495105,188.920336070858,66.1473060685712,76.1893665954748,76.6637191132959,WBGene00020860,WBGene00020860,History: N.A.
WBGene00016635,C44B11.6,2.23424476455118,2.23313794513376e-23,7.576352032523,8.33594419219786,8.97946336084825,41.8171981121026,36.1345780801619,39.1445376566035,WBGene00016635,WBGene00016635,History: N.A.
WBGene00015937,C17H12.12,-1.29397956358823,2.66850937411968e-23,25.5781821073877,28.6577698979577,26.9012656862208,10.7428538029112,9.81713034254077,12.5939409923871,WBGene00015937,WBGene00015937,History: N.A.
WBGene00017354,F10E9.2,1.4841470391271,3.0072557706549304e-23,14.4311467286152,14.1909526129083,14.913626720108,37.6753042038563,44.1257774978313,40.1280112874735,WBGene00017354,WBGene00017354,History: N.A.
WBGene00006416,sams-5,-1.11950647370001,3.08984499065842e-23,64.014827629411,64.8355740434168,65.1844692051674,24.954954039207,31.5245508349156,33.0921183053381,WBGene00006416,WBGene00006416,History: Renamed on 2008-09-10
WBGene00008449,E01G6.1,-2.49358699378291,3.26005644714932e-23,3.64763061979333,4.58168658975272,4.78180197128379,0.434771128271641,0.821099944362066,1.1001666196505,WBGene00008449,WBGene00008449,History: N.A.
WBGene00022821,ZK813.2,1.36735603690407,4.32216642304341e-23,29.4912565814745,24.8411426822964,24.8867443068267,73.195148269835,66.9660736931506,63.8999616361774,WBGene00022821,WBGene00022821,History: N.A.
WBGene00010728,K09G1.2,1.59794798278638,5.03772936117001e-23,18.7743668498235,19.1265304776213,25.5075964701019,63.5560140684015,58.779287211433,70.0232345507118,WBGene00010728,WBGene00010728,History: N.A.
WBGene00000512,ckb-2,1.40665220293842,5.57667232760902e-23,12.5984459653614,15.6447746861893,13.3701819471794,31.8070760217341,39.459677420259,39.2049861950081,WBGene00000512,WBGene00000512,History: N.A.
WBGene00014997,AC7.3,1.93726802950565,5.57667232760902e-23,6.73788899218181,10.2627933256017,7.73927187409099,28.3853437738372,33.0610236666756,33.3697623745162,WBGene00014997,WBGene00014997,History: N.A.
WBGene00015192,B0432.11,2.21419578335814,8.053048104942351e-23,4.48887909441392,6.4892006149363,5.8522225082985,27.7382042634544,23.5501368701633,26.7639445424919,WBGene00015192,WBGene00015192,History: N.A.
WBGene00002983,lgx-1,-2.16847026958276,8.79810284523793e-23,2.74200886927377,2.86427632644377,3.19178592035195,0.528500948537433,0.630389168806544,0.819479640866548,WBGene00002983,WBGene00002983,History: N.A.
WBGene00008811,F14F7.4,1.38847932986969,9.88445783101637e-23,14.6036930481965,15.7255372321414,18.2255491756771,40.7990402450253,42.1971680007865,44.3338775379937,WBGene00008811,WBGene00008811,History: N.A.
WBGene00021639,Y47G6A.13,1.42447360455439,1.2688488828583002e-22,10.888221883013,12.4693559889925,9.24750704326163,26.7269455263754,29.5055489451372,31.3020096470212,WBGene00021639,WBGene00021639,History: N.A.
WBGene00003435,msp-40,-0.958330421110065,1.35523120848659e-22,347.254982241753,358.439533347337,380.646902076133,163.797214283937,194.283739593273,201.954017957396,WBGene00003435,WBGene00003435,History: N.A.
WBGene00011587,T07F10.1,-0.973679263338638,1.62949402913249e-22,29.6946683348422,30.9192946151988,30.606058215849,15.3473697985138,14.2314558082232,16.9099226881898,WBGene00011587,WBGene00011587,History: N.A.
WBGene00009458,F36A2.11,1.56483071718115,2.25554407904587e-22,14.3478260200205,14.3501985133137,14.1431732381028,35.0380261646297,43.8710097293681,48.1507374431796,WBGene00009458,WBGene00009458,History: N.A.
WBGene00022753,ZK484.7,1.32586954983676,3.32690111365847e-22,14.4908175007119,15.1464600896827,12.5666790037316,33.9120097192057,36.124988673094,35.7351740423509,WBGene00022753,WBGene00022753,History: N.A.
WBGene00009787,F46F2.3,1.29759703072769,3.47328521189735e-22,39.5707558386552,37.2492226677546,30.8275844044408,95.5657632382713,78.9648761109364,89.6816944553423,WBGene00009787,WBGene00009787,History: N.A.
WBGene00003464,msp-77,-1.1331384088403,3.9832117427459003e-22,143.745460120442,157.942830233034,146.711864121489,60.925780228099,69.5118610139889,74.5686393296417,WBGene00003464,WBGene00003464,History: N.A.
WBGene00018745,F53C3.1,1.50242400223016,4.1855248027553497e-22,10.4038901116464,9.69358188665815,10.7753560330179,28.153978855264,29.5633819630333,29.8494478946835,WBGene00018745,WBGene00018745,History: N.A.
WBGene00010547,K03H1.12,1.63228556869541,5.17932369865214e-22,16.3809017578183,16.7252543465636,21.6068337120411,56.1530193364192,53.3095002991249,60.5001118454594,WBGene00010547,WBGene00010547,History: N.A.
WBGene00000771,cpb-2,1.07159872541733,8.762494774727419e-22,15.7529600733979,16.5664542108765,17.2199562664453,33.446412871052,34.589627757643,36.1808173761799,WBGene00000771,WBGene00000771,History: N.A.
WBGene00007999,tag-297,-2.08548038108429,8.762494774727419e-22,10.407720704471,12.3809778215447,11.6085021180451,1.94428415964518,2.4737250846858,3.79635911976699,WBGene00007999,WBGene00007999,History: N.A.
WBGene00009824,gpdh-1,-1.70741768010268,8.762494774727419e-22,20.8036170019596,24.4124079914366,23.01459096688,5.25077199077083,7.86700640472875,7.94313039214267,WBGene00009824,WBGene00009824,History: N.A.
WBGene00269383,ZK384.7,3.11742573012744,9.76588600042302e-22,2.34792466616359,4.97289792418152,5.15148351540727,49.037697535178,35.1402651627466,23.8228244350324,WBGene00269383,WBGene00269383,History: N.A.
WBGene00012999,rpoa-1,-0.897947841241772,1.43314206236054e-21,25.5937862913427,25.9972442256401,23.735735925458,12.8715511515391,12.8500030789689,14.7414832575205,WBGene00012999,WBGene00012999,History: N.A.
WBGene00017791,try-8,3.93583724494937,1.55250779760925e-21,0.515141680486639,0.692741999388471,0.573315654050842,11.3984420164494,7.12956559440608,8.62152378384308,WBGene00017791,WBGene00017791,History: N.A.
WBGene00010906,M88.3,1.36111210976463,1.8479826066976306e-21,13.034728585505,17.590303827557,19.176885847769,42.2073601496497,43.8740802087725,41.9597065936073,WBGene00010906,WBGene00010906,History: N.A.
WBGene00009154,F26D2.16,3.89825365893212,2.23838027302648e-21,0.397588779179759,0.286425826680779,0.54182170581092,7.81647974463316,4.60685499863319,5.88177803670781,WBGene00009154,WBGene00009154,History: N.A.
WBGene00009308,F32A11.3,-1.023504854414,2.57243771417494e-21,100.935965339868,99.2559723778555,97.8914689704171,42.4889003032778,47.9187945425699,56.5734970753062,WBGene00009308,WBGene00009308,History: Renamed on 2014-09-24
WBGene00003458,msp-65,-1.44916339329763,2.80491742698699e-21,91.7874497331717,87.1017186632843,83.8932832337765,26.1709515559809,31.6529688101399,39.0192189261949,WBGene00003458,WBGene00003458,History: N.A.
WBGene00018178,F38E1.3,1.52141386087933,5.51233973984767e-21,8.6692093341726,12.5749290876763,12.5442173949762,30.7524907533719,33.8595484310239,32.5025566495905,WBGene00018178,WBGene00018178,History: N.A.
WBGene00000190,arf-1.1,3.36561332864142,6.037880116807001e-21,6.5425823870597,5.45106118612206,7.05529264066648,41.7949875123727,83.3622134049997,71.4117972755135,WBGene00000190,WBGene00000190,History: Renamed on 2020-09-10
WBGene00014039,ZK662.2,-2.03686803335988,6.037880116807001e-21,29.4934356017491,37.9168268375552,37.5534769651123,5.53336616583617,8.18904814862115,12.1813277667196,WBGene00014039,WBGene00014039,History: N.A.
WBGene00009573,F40E10.5,-2.56397838101727,6.70563312203605e-21,10.5443358104013,12.0718237682425,12.9584365748755,1.84558349588338,2.1096638623601,2.08666581947257,WBGene00009573,WBGene00009573,History: N.A.
