# Note: The workbook which this sheet was a part of contained links which did not update.
gene,OP50_N2_1,OP50_N2_1(rpm),OP50_N2_2,OP50_N2_2(rpm),OP50_hj41_1,OP50_hj41_1(rpm),OP50_hj41_2,OP50_hj41_2(rpm),average of OP50_N2,average of OP50_hj41,average rpm of OP50_N2,average rpm of OP50_hj41,hj41/N2 ratio,Input,Suggested Match,History
C36A4.11,12759,461.192056580411,12611,452.992695470335,4021,118.557903063626,2994,114.793205637842,12685.0,3507.5,457.092376025373,116.675554350734,0.255255962405852,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
K06B9.6,23250,840.404053256098,23670,850.236864783351,8343,245.990695165341,6173,236.679511824448,23460.0,7258.0,845.320459019724,241.335103494894,0.285495401087013,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
W05H12.2,2345,84.7633335434645,2500,89.8011052791879,990,29.1898343777643,695,26.6470534129258,2422.5,842.5,87.2822194113262,27.9184438953451,0.319864046579483,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
ZK402.5,8026,290.111093825094,8237,295.876681673868,3169,93.4369546900354,2501,95.8910512024857,8131.5,2835.0,292.993887749481,94.6640029462605,0.32309207428655,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
C01A2.1,1073,38.7850988879051,935,33.5856133744163,386,11.3810869392091,324,12.4225112313496,1004.0,355.0,36.1853561311607,11.9017990852794,0.328912033976922,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
Y17D7C.1,498,18.0009126245822,530,19.0378343191878,224,6.60456858648404,157,6.01955019543793,514.0,190.5,18.519373471885,6.31205939096098,0.340835471596464,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
E01G4.7,5265,190.310853350252,5073,182.224402832528,2138,63.038248383495,1722,66.0233467295803,5169.0,1930.0,186.26762809139,64.5307975565376,0.346441291048579,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
F49B2.3,83,3.00015210409704,64,2.29890829514721,24,0.707632348551861,30,1.15023252142126,73.5,27.0,2.64953019962212,0.92893243498656,0.350602697458985,F49B2.3,WBGene00009863,Public name for WBGene00009863. History: N.A.
F58F9.1,386,13.9525146045959,455,16.3438011608122,210,6.19178304982879,153,5.86618585924842,420.5,181.5,15.148157882704,6.0289844545386,0.398001162994375,F58F9.1,WBGene00019055,Public name for WBGene00019055. History: N.A.
ZC132.4,1204,43.5202787148534,1132,40.6619404704163,585,17.2485384959516,426,16.3333018041819,1168.0,505.5,42.0911095926348,16.7909201500668,0.398918448873699,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F52D2.6,552,19.9528188127899,559,20.0795271404264,270,7.96086392120844,244,9.35522450755958,555.5,257.0,20.0161729766082,8.65804421438401,0.432552427704447,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
Y43F8B.9,561,20.2781365108245,586,21.0493790774416,348,10.260669054002,204,7.82158114566456,573.5,276.0,20.6637577941331,9.04112509983328,0.437535379087741,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
C40A11.10,304,10.9885089113916,329,11.8178254547411,172,5.07136516462167,128,4.90765875806404,316.5,150.0,11.4031671830663,4.98951196134286,0.437554924981918,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
F52G3.4,550,19.8805259910045,523,18.7863912244061,319,9.40561329950182,211,8.08996873399619,536.5,265.0,19.3334586077053,8.74779101674901,0.452469017274675,F52G3.4,WBGene00018712,Public name for WBGene00018712. History: N.A.
Y82E9BR.20,6,0.216878465356412,10,0.359204421116751,5,0.147423405948304,3,0.115023252142126,8.0,4.0,0.288041443236582,0.131223329045215,0.455571002459654,Y82E9BR.20,WBGene00022352,Public name for WBGene00022352. History: N.A.
H16D19.4,4117,148.814773645392,4029,144.723461267939,2359,69.55436292641,1818,69.7040907981283,4073.0,2088.5,146.769117456665,69.6292268622692,0.47441333755262,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
H09G03.1,6766,244.566616100248,6889,247.45592570733,4023,118.616872426006,3060,117.323717184968,6827.5,3541.5,246.011270903789,117.970294805487,0.479532073356198,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
CD4.8,9062,327.558775509968,9479,340.489870776569,5548,163.581011240239,4389,168.27901788393,9270.5,4968.5,334.024323143268,165.930014562084,0.496760274822604,CD4.8,WBGene00016993,Public name for WBGene00016993. History: N.A.
C39B5.2,58,2.09649183177865,67,2.40666962148223,43,1.26784129115542,26,0.996868185231758,62.5,34.5,2.25158072663044,1.13235473819359,0.502915451709427,C39B5.2,WBGene00016520,Public name for WBGene00016520. History: N.A.
Y116F11A.1,51,1.8434669555295,42,1.50865856869036,34,1.00247916044847,18,0.690139512852756,46.5,26.0,1.67606276210993,0.846309336650613,0.50493892936636,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
Y43F8B.6,78,2.81942004963336,72,2.58627183204061,44,1.29732597234508,38,1.45696119380026,75.0,41.0,2.70284594083699,1.37714358307267,0.50951612234555,Y43F8B.6,WBGene00012817,Public name for WBGene00012817. History: N.A.
T25G12.11,339,12.2536332926373,333,11.9615072231878,221,6.51611454291506,187,7.16978271685918,336.0,204.0,12.1075702579126,6.84294862988712,0.56517934516342,T25G12.11,WBGene00020817,Public name for WBGene00020817. History: N.A.
F31A9.4,237,8.56669938157829,237,8.51314478046701,173,5.10084984581133,136,5.21438743044304,237.0,154.5,8.53992208102265,5.15761863812719,0.60394211904912,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
T16A1.8,327,11.8198763619245,310,11.1353370546193,228,6.72250731124268,198,7.59153464138031,318.5,213.0,11.4776067082719,7.1570209763115,0.623563880364837,T16A1.8,WBGene00020537,"Sequence name for WBGene00020537(fbxb-37). History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
Y57G11C.51,3530,127.596830451356,3986,143.178882257137,3197,94.2625257633459,2314,88.7212684856265,3758.0,2755.5,135.387856354247,91.4918971244862,0.675776244548069,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
F39F10.4,168,6.07259702997954,182,6.53752046432488,157,4.62909494677676,110,4.21751924521129,175.0,133.5,6.30505874715221,4.42330709599402,0.70154891070474,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
Y82E9BR.6,41,1.48200284660215,41,1.47273812657868,38,1.12041788520711,26,0.996868185231758,41.0,32.0,1.47737048659042,1.05864303521944,0.716572481194375,Y82E9BR.6,WBGene00022339,Public name for WBGene00022339. History: N.A.
Y116A8B.1,110,3.97610519820089,143,5.13662322196955,131,3.86249323584558,107,4.10249599306916,126.5,119.0,4.55636421008522,3.98249461445737,0.874050982500998,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
F52D2.5,4,0.144585643570942,5,0.179602210558376,5,0.147423405948304,4,0.153364336189501,4.5,4.5,0.162093927064659,0.150393871068903,0.927819282266579,F52D2.5,WBGene00018687,Public name for WBGene00018687. History: N.A.
Y71A12B.3,723,26.1338550754477,756,27.1558542364264,801,23.6172296329184,731,28.0273324386314,739.5,766.0,26.644854655937,25.8222810357749,0.969128237673502,Y71A12B.3,WBGene00013501,Public name for WBGene00013501. History: N.A.
Y71A12B.2,614,22.1938962881395,645,23.1686851620305,708,20.8751542822799,615,23.5797666891358,629.5,661.5,22.681290725085,22.2274604857079,0.979990987070449,Y71A12B.2,WBGene00013500,Public name for WBGene00013500. History: N.A.
T05E12.8,29,1.04824591588933,32,1.1494541475736,37,1.09093320401745,28,1.07355035332651,30.5,32.5,1.09885003173147,1.08224177867198,0.984885787341413,T05E12.8,WBGene00045382,Public name for WBGene00045382. History: N.A.
Y41C4A.17,99,3.5784946783808,110,3.95124863228427,135,3.98043196060422,96,3.68074406854803,104.5,115.5,3.76487165533253,3.83058801457613,1.01745513931411,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
C35D6.3,1,0.0361464108927354,5,0.179602210558376,4,0.117938724758644,3,0.115023252142126,3.0,3.5,0.107874310725556,0.116480988450385,1.07978431256655,C35D6.3,WBGene00007960,Public name for WBGene00007960. History: N.A.
T02G6.4,10,0.361464108927354,19,0.682488400121828,23,0.6781476673622,17,0.65179842880538,14.5,20.0,0.521976254524591,0.66497304808379,1.2739526794939,T02G6.4,WBGene00011387,Public name for WBGene00011387. History: N.A.
Y7A5A.9,4,0.144585643570942,3,0.107761326335025,10,0.294846811896609,2,0.0766821680947506,3.5,6.0,0.126173484952983,0.18576448999568,1.47229419925194,Y7A5A.9,WBGene00012415,Public name for WBGene00012415. History: N.A.
