Gene ID,Public Name,wt_1,wt_2,wt_3,mut-16_1,mut-16_2,mut-16_3,Fold change in mut-16,mut-16 adjusted P value,Input,Suggested Match,History
F55A11.10,F55A11.10,22.62,15.29,31.7,28.93,50.18,51.35,1.87,0.0184,F55A11.10,WBGene00014397,Public name for WBGene00014397. History: N.A.
F55G1.16,yrn-1,184.34,143.13,146.36,86.78,64.87,70.48,-2.13,1.39e-06,F55G1.16,WBGene00006967,Sequence name for WBGene00006967(yrn-1). History: N.A.
F58G1.10,sup-6,98.39,77.12,80.17,24.59,26.93,46.31,-2.61,5.38e-09,F58G1.10,WBGene00006315,"Sequence name for WBGene00006315(sup-6). History: N.A.. Public name for Dead gene WBGene00014412. History of WBGene00014412: Merged into ""WBGene00006315"" on 2004-08-10"
F59H5.6,linc-8,107.44,113.95,97.89,0.0,2.45,4.03,-49.31,1.27e-18,F59H5.6,WBGene00219707,Sequence name for WBGene00219707(linc-8). History: N.A.
H08J11.t2,H08J11.t2,20.36,16.68,14.92,4.34,6.12,8.05,-2.81,0.00626,H08J11.t2,WBGene00023079,Public name for WBGene00023079. History: N.A.
H27M09.6,H27M09.6,118.75,88.24,115.6,21.69,24.48,47.32,-3.45,6.05e-13,H27M09.6,WBGene00194992,Public name for WBGene00194992. History: N.A.
K02F3.14,linc-37,5.65,5.56,7.46,0.0,0.0,0.0,-27.88,0.00241,K02F3.14,WBGene00219709,Sequence name for WBGene00219709(linc-37). History: N.A.
K07C10.2,K07C10.2,38.45,50.03,45.68,131.61,95.47,89.61,2.36,3.99e-05,K07C10.2,WBGene00014425,Public name for WBGene00014425. History: N.A.
K08E3.14,linc-99,9.05,13.9,10.25,0.0,0.0,0.0,-50.56,1.93e-05,K08E3.14,WBGene00219599,Sequence name for WBGene00219599(linc-99). History: N.A.
R10F2.8,linc-42,7.92,9.03,13.98,0.0,0.0,2.01,-15.36,0.00204,R10F2.8,WBGene00219718,Sequence name for WBGene00219718(linc-42). History: N.A.
R11B5.t2,R11B5.t2,13.57,14.59,10.25,5.79,0.0,3.02,-4.36,0.0023,R11B5.t2,WBGene00023125,Public name for WBGene00023125. History: N.A.
R151.11,R151.11,4.52,6.25,2.8,0.0,0.0,0.0,-20.62,0.00377,R151.11,WBGene00023466,Public name for WBGene00023466. History: N.A.
T01B6.11,linc-154,46.37,54.89,38.22,0.0,0.0,2.01,-69.27,1.1e-07,T01B6.11,WBGene00219722,Sequence name for WBGene00219722(linc-154). History: N.A.
T03F1.13,linc-63,6272.07,6627.02,5559.03,54.96,35.5,47.32,-133.97,0.0,T03F1.13,WBGene00219725,Sequence name for WBGene00219725(linc-63). History: N.A.
T08E11.10,linc-16,154.94,202.88,123.06,0.0,4.9,1.01,-81.47,9.15e-17,T08E11.10,WBGene00219728,Sequence name for WBGene00219728(linc-16). History: N.A.
T08G5.11,T08G5.11,153.8,130.62,130.52,53.51,57.53,66.45,-2.34,9.75e-13,T08G5.11,WBGene00014511,Public name for WBGene00014511. History: N.A.
T19B4.8,T19B4.8,29.4,33.35,16.78,18.8,11.02,15.1,-1.77,0.0427,T19B4.8,WBGene00044930,Public name for WBGene00044930. History: N.A.
T19C4.12,T19C4.12,383.38,357.13,440.96,195.25,282.74,312.12,-1.5,0.00524,T19C4.12,WBGene00045170,Public name for WBGene00045170. History: N.A.
T21H3.11,linc-128,31.67,36.82,33.56,0.0,0.0,0.0,-153.26,9.14e-09,T21H3.11,WBGene00219734,Sequence name for WBGene00219734(linc-128). History: N.A.
T22E6.2,linc-7,2477.84,2545.76,1763.82,101.24,93.02,74.51,-25.25,1.62e-116,T22E6.2,WBGene00219609,Sequence name for WBGene00219609(linc-7). History: N.A.
T25D1.6,linc-20,163.98,185.51,169.67,4.34,4.9,3.02,-42.36,1.2400000000000001e-29,T25D1.6,WBGene00219736,Sequence name for WBGene00219736(linc-20). History: N.A.
T27C5.18,rrn-4.15,239.75,218.86,252.64,115.7,130.97,148.01,-1.8,1.31e-07,T27C5.18,WBGene00189966,Sequence name for WBGene00189966(rrn-4.15). History: N.A.
T27E4.10,T27E4.10,74.64,60.45,62.46,17.36,18.36,24.16,-3.3,2.76e-11,T27E4.10,WBGene00044923,Public name for WBGene00044923. History: N.A.
T27E4.11,T27E4.11,74.64,60.45,62.46,17.36,18.36,24.16,-3.3,2.76e-11,T27E4.11,WBGene00194993,Public name for WBGene00194993. History: N.A.
T27E4.12,T27E4.12,159.46,151.47,200.43,62.19,56.3,77.53,-2.61,5.51e-12,T27E4.12,WBGene00194994,Public name for WBGene00194994. History: N.A.
W03D2.12,linc-77,31.67,16.68,22.37,0.0,1.22,0.0,-57.77,1.22e-05,W03D2.12,WBGene00219741,Sequence name for WBGene00219741(linc-77). History: N.A.
W06D4.8,sls-2.7,73.51,78.51,73.65,57.85,36.72,47.32,-1.59,0.00284,W06D4.8,WBGene00004839,Sequence name for WBGene00004839(sls-2.7). History: Renamed on 2008-09-15
W09C3.9,linc-91,22.62,13.2,15.85,0.0,0.0,4.03,-12.83,0.000305,W09C3.9,WBGene00219746,Sequence name for WBGene00219746(linc-91). History: N.A.
Y102A5D.10,rrn-4.12,239.75,218.86,252.64,115.7,130.97,148.01,-1.8,1.31e-07,Y102A5D.10,WBGene00077475,Sequence name for WBGene00077475(rrn-4.12). History: N.A.
Y102A5D.11,rrn-4.13,239.75,218.86,252.64,115.7,130.97,148.01,-1.8,1.31e-07,Y102A5D.11,WBGene00077476,Sequence name for WBGene00077476(rrn-4.13). History: N.A.
Y102A5D.12,rrn-4.14,239.75,218.86,252.64,115.7,130.97,148.01,-1.8,1.31e-07,Y102A5D.12,WBGene00077477,Sequence name for WBGene00077477(rrn-4.14). History: N.A.
Y102A5D.5,rrn-4.7,239.75,218.86,252.64,115.7,130.97,148.01,-1.8,1.31e-07,Y102A5D.5,WBGene00077470,Sequence name for WBGene00077470(rrn-4.7). History: N.A.
Y102A5D.6,rrn-4.8,239.75,218.86,252.64,115.7,130.97,148.01,-1.8,1.31e-07,Y102A5D.6,WBGene00077471,Sequence name for WBGene00077471(rrn-4.8). History: N.A.
Y102A5D.7,rrn-4.9,239.75,218.86,252.64,115.7,130.97,148.01,-1.8,1.31e-07,Y102A5D.7,WBGene00077472,Sequence name for WBGene00077472(rrn-4.9). History: N.A.
Y102A5D.8,rrn-4.10,239.75,218.86,252.64,115.7,130.97,148.01,-1.8,1.31e-07,Y102A5D.8,WBGene00077473,Sequence name for WBGene00077473(rrn-4.10). History: N.A.
Y102A5D.9,rrn-4.11,239.75,218.86,252.64,115.7,130.97,148.01,-1.8,1.31e-07,Y102A5D.9,WBGene00077474,Sequence name for WBGene00077474(rrn-4.11). History: N.A.
Y116F11B.26,linc-81,37.32,27.1,16.78,5.79,1.22,2.01,-9.0,3.43e-06,Y116F11B.26,WBGene00219636,Sequence name for WBGene00219636(linc-81). History: N.A.
Y17G9A.t1,Y17G9A.t1,19.23,23.62,33.56,1.45,4.9,6.04,-6.17,1.6e-05,Y17G9A.t1,WBGene00023168,Public name for WBGene00023168. History: N.A.
Y20F4.10,linc-30,71.25,80.6,53.14,0.0,0.0,0.0,-307.08,6.29e-11,Y20F4.10,WBGene00219749,Sequence name for WBGene00219749(linc-30). History: N.A.
Y24D9A.9,Y24D9A.9,23.75,18.06,20.51,8.68,7.34,9.06,-2.48,0.00706,Y24D9A.9,WBGene00044952,Public name for WBGene00044952. History: N.A.
Y40H7A.t2,Y40H7A.t2,18.09,21.54,31.7,1.45,4.9,6.04,-5.76,4.34e-05,Y40H7A.t2,WBGene00014571,Public name for WBGene00014571. History: N.A.
Y45F10B.19,smy-8,194.52,198.71,176.2,8.68,13.46,7.05,-19.51,4.06e-35,Y45F10B.19,WBGene00045203,Sequence name for WBGene00045203(smy-8). History: N.A.
Y45F10B.20,smy-10,12.44,8.34,13.05,1.45,0.0,5.03,-5.22,0.00941,Y45F10B.20,WBGene00045201,Sequence name for WBGene00045201(smy-10). History: N.A.
Y49F6A.10,linc-68,3.39,3.47,7.46,0.0,0.0,0.0,-21.31,0.00233,Y49F6A.10,WBGene00219756,Sequence name for WBGene00219756(linc-68). History: N.A.
Y49F6A.9,linc-17,5.65,4.86,7.46,0.0,1.22,1.01,-8.06,0.0271,Y49F6A.9,WBGene00219755,Sequence name for WBGene00219755(linc-17). History: N.A.
Y49F6C.11,linc-11,1542.57,1689.06,1463.64,2.89,11.02,4.03,-261.78,5.56e-93,Y49F6C.11,WBGene00219758,Sequence name for WBGene00219758(linc-11). History: N.A.
Y53F4B.47,Y53F4B.47,29.4,38.21,22.37,5.79,6.12,7.05,-4.75,4.96e-06,Y53F4B.47,WBGene00045141,Public name for WBGene00045141. History: N.A.
Y57G11C.t1,Y57G11C.t1,18.09,21.54,31.7,1.45,4.9,6.04,-5.76,4.34e-05,Y57G11C.t1,WBGene00014594,Public name for WBGene00014594. History: N.A.
Y73B6BL.269,linc-29,47841.18,49737.42,38353.83,407.85,424.72,449.05,-106.06,0.0,Y73B6BL.269,WBGene00189951,Sequence name for WBGene00189951(linc-29). History: N.A.
Y74C9A.6,Y74C9A.6,323.44,408.54,350.53,214.05,182.37,188.28,-1.85,3.52e-10,Y74C9A.6,WBGene00023193,Public name for WBGene00023193. History: N.A.
Y75B8A.38,sls-2.8,72.38,80.6,87.63,67.98,41.62,49.34,-1.51,0.0118,Y75B8A.38,WBGene00004840,Sequence name for WBGene00004840(sls-2.8). History: N.A.
Y75B8A.61,linc-87,2.26,2.78,1.86,0.0,0.0,0.0,-10.45,0.0371,Y75B8A.61,WBGene00219629,Sequence name for WBGene00219629(linc-87). History: N.A.
Y82E9BL.20,linc-40,3.39,2.08,4.66,0.0,0.0,0.0,-14.9,0.015,Y82E9BL.20,WBGene00219770,Sequence name for WBGene00219770(linc-40). History: N.A.
Y82E9BR.31,linc-24,3.39,2.78,1.86,0.0,0.0,0.0,-11.92,0.0251,Y82E9BR.31,WBGene00219771,Sequence name for WBGene00219771(linc-24). History: N.A.
ZC449.t1,ZC449.t1,18.09,21.54,31.7,1.45,4.9,6.04,-5.76,4.34e-05,ZC449.t1,WBGene00023208,Public name for WBGene00023208. History: N.A.
ZK218.12,rrn-4.1,239.75,218.86,252.64,115.7,130.97,148.01,-1.8,1.31e-07,ZK218.12,WBGene00014621,Sequence name for WBGene00014621(rrn-4.1). History: N.A.
ZK218.16,rrn-4.2,228.45,247.35,193.91,475.83,258.26,296.01,1.54,0.0323,ZK218.16,WBGene00077465,Sequence name for WBGene00077465(rrn-4.2). History: N.A.
ZK218.17,rrn-4.3,222.79,241.1,188.32,465.7,254.59,292.99,1.55,0.0286,ZK218.17,WBGene00077466,Sequence name for WBGene00077466(rrn-4.3). History: N.A.
ZK218.18,rrn-4.4,149.28,196.63,165.01,396.28,208.08,258.76,1.69,0.0112,ZK218.18,WBGene00077467,Sequence name for WBGene00077467(rrn-4.4). History: N.A.
ZK218.19,rrn-4.5,236.36,216.08,249.84,108.47,126.07,142.97,-1.86,4.58e-08,ZK218.19,WBGene00077468,Sequence name for WBGene00077468(rrn-4.5). History: N.A.
ZK218.20,rrn-4.6,239.75,218.86,252.64,115.7,130.97,148.01,-1.8,1.31e-07,ZK218.20,WBGene00077469,Sequence name for WBGene00077469(rrn-4.6). History: N.A.
ZK354.12,sls-2.17,85.95,91.02,66.19,14.46,9.79,12.08,-6.69,1.33e-15,ZK354.12,WBGene00004849,Sequence name for WBGene00004849(sls-2.17). History: N.A.
ZK6.12,linc-32,13.57,15.98,7.46,0.0,0.0,0.0,-55.59,4.14e-05,ZK6.12,WBGene00219773,Sequence name for WBGene00219773(linc-32). History: N.A.
