# NeuroSTGs displaying >5 RPM levels across replicates of neuronal samples from N2 wild-type animals.
genes,A1_N2_small_amp_count,A2_N2_small_amp_count,Input,Suggested Match,History
gsa-1,93.9618611847086,73.9964912186567,gsa-1,WBGene00001745,Public name for WBGene00001745. History: N.A.
F39F10.2,93.715242126481,125.968731678303,F39F10.2,WBGene00018202,Public name for WBGene00018202. History: N.A.
C44C10.5,93.1809008336546,81.7954468698642,C44C10.5,WBGene00008086,Public name for WBGene00008086. History: N.A.
C32B5.6,92.4410436589719,81.4210969986062,C32B5.6,WBGene00016299,Public name for WBGene00016299. History: N.A.
F55A3.6,89.9337499003248,89.0952693593944,F55A3.6,WBGene00018851,Public name for WBGene00018851. History: N.A.
Y105E8A.13,89.5227181366122,89.7815774567007,Y105E8A.13,WBGene00013673,Public name for WBGene00013673. History: N.A.
ckk-1,89.3172022547558,63.3275198878048,ckk-1,WBGene00000518,Public name for WBGene00000518. History: N.A.
pxd-1,89.029480020157,95.6463921064087,pxd-1,WBGene00007982,Public name for WBGene00007982. History: N.A.
D2096.1,88.6595514328156,84.6030709042989,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
C03A7.2,88.3718291982168,65.0120943084657,C03A7.2,WBGene00015366,Public name for WBGene00015366. History: N.A.
klp-7,87.8374879053904,96.5822667845536,klp-7,WBGene00002219,Public name for WBGene00002219. History: N.A.
W09H1.3,87.467559318049,75.4938907036886,W09H1.3,WBGene00012373,Public name for WBGene00012373. History: N.A.
F43E2.6,87.4264561416777,211.445285615538,F43E2.6,WBGene00018394,Public name for WBGene00018394. History: N.A.
Y60A9A.3,87.3853529653065,81.6706635794449,Y60A9A.3,WBGene00194675,Public name for WBGene00194675. History: N.A.
C01F6.14,85.8645354395697,75.3691074132692,C01F6.14,WBGene00219207,Public name for WBGene00219207. History: N.A.
Y54E2A.4,84.8369560302881,73.2477914761408,Y54E2A.4,WBGene00013189,Public name for WBGene00013189. History: N.A.
C38D9.2,84.6725433248031,75.8682405749465,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
W04B5.1,84.5492337956893,80.9843554821386,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
col-71,84.0559956792341,76.5545486722528,col-71,WBGene00000647,Public name for WBGene00000647. History: N.A.
Y53F4B.17,81.9186305079284,74.9947575420113,Y53F4B.17,WBGene00013163,Public name for WBGene00013163. History: N.A.
sdz-26,81.384289215102,64.7001360824174,sdz-26,WBGene00011049,Public name for WBGene00011049. History: N.A.
C46C2.3,81.1787733332456,75.5562823488982,C46C2.3,WBGene00008111,Public name for WBGene00008111. History: N.A.
B0284.3,80.767741569533,76.0554155105755,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
T13C2.2,79.1236145146825,73.1230081857215,T13C2.2,WBGene00020478,Public name for WBGene00020478. History: N.A.
klp-6,78.8358922800836,88.3465696168785,klp-6,WBGene00002218,Public name for WBGene00002218. History: N.A.
T24H10.5,78.2604478108859,84.2287210330409,T24H10.5,WBGene00012003,Public name for WBGene00012003. History: N.A.
T07E3.2,77.3150747543469,86.2252536797501,T07E3.2,WBGene00020313,Public name for WBGene00020313. History: N.A.
ZC247.1,77.2739715779756,66.5718854387072,ZC247.1,WBGene00013859,Public name for WBGene00013859. History: N.A.
Y17D7B.4,76.6985271087779,65.6984024057719,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
jmjc-1,76.6985271087779,80.1108724492034,jmjc-1,WBGene00020902,Public name for WBGene00020902. History: N.A.
R09H3.3,76.5752175796641,76.5545486722528,R09H3.3,WBGene00019991,Public name for WBGene00019991. History: N.A.
qdpr-1,76.4108048741791,57.9618383997741,qdpr-1,WBGene00011398,Public name for WBGene00011398. History: N.A.
R11A8.1,76.3285985214366,74.4332327351243,R11A8.1,WBGene00011236,Public name for WBGene00011236. History: N.A.
W09B7.1,76.0408762868377,73.3101831213505,W09B7.1,WBGene00021106,Public name for WBGene00021106. History: N.A.
Y40A1A.1,75.8764635813526,58.897713077919,Y40A1A.1,WBGene00021483,Public name for WBGene00021483. History: N.A.
R03D7.3,75.2599159357837,71.0640838938027,R03D7.3,WBGene00014814,Public name for WBGene00014814. History: N.A.
F07B7.1,74.7255746429573,73.1230081857215,F07B7.1,WBGene00017185,Public name for WBGene00017185. History: N.A.
W05H12.2,74.684471466586,77.3032484147687,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
F59C12.4,73.8624079391607,70.0034259252385,F59C12.4,WBGene00045272,Public name for WBGene00045272. History: N.A.
W09H1.4,73.4513761754481,75.8058489297368,W09H1.4,WBGene00012374,Public name for WBGene00012374. History: N.A.
F15D4.6,73.2047571172205,52.9705067830013,F15D4.6,WBGene00008863,Public name for WBGene00008863. History: N.A.
Y47H10A.5,72.5882094716516,55.590955881807,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
F41B5.1,72.2593840606814,69.5042927635612,F41B5.1,WBGene00023284,Public name for WBGene00023284. History: N.A.
jmjd-3.1,72.1771777079389,64.8873110180464,jmjd-3.1,WBGene00017571,Public name for WBGene00017571. History: Renamed on 2016-08-08
dct-10,70.9851855931723,71.7503919911089,dct-10,WBGene00012618,Public name for WBGene00012618. History: N.A.
par-2,70.6152570058309,51.9098488144371,par-2,WBGene00003917,"Public name for WBGene00003917. History: Split into F58B6.11(WBGene00306125). History of WBGene00003917: Split into ""WBGene00306125"" on 2022-01-02"
top-2,70.6152570058309,71.188867184222,top-2,WBGene00010785,Public name for WBGene00010785. History: Renamed on 2015-07-16
AC8.10,70.4919474767171,61.3933788863054,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
C14B1.7,69.8342966547769,65.2616608893043,C14B1.7,WBGene00007578,Public name for WBGene00007578. History: N.A.
hum-2,69.7520903020344,75.3691074132692,hum-2,WBGene00002036,Public name for WBGene00002036. History: N.A.
AC8.3,69.2588521855792,61.7677287575634,AC8.3,WBGene00007075,Public name for WBGene00007075. History: N.A.
F40D4.13,69.0122331273516,60.7070707889991,F40D4.13,WBGene00009572,Public name for WBGene00009572. History: N.A.
C30G12.1,68.8478204218666,55.9029141078553,C30G12.1,WBGene00016273,Public name for WBGene00016273. History: N.A.
Y45F10C.6,68.1901695999264,60.0207626916929,Y45F10C.6,WBGene00044256,"Public name for WBGene00044256. History: Split into Y45F10C.21(WBGene00271792). History of WBGene00044256: Split into ""WBGene00271792"" on 2017-09-21"
fbxa-203,68.1079632471838,66.6342770839168,fbxa-203,WBGene00021037,Public name for WBGene00021037. History: N.A.
ZC53.6,67.8613441889562,60.0831543369025,ZC53.6,WBGene00022512,Sequence name for WBGene00022512(dot-1.5). History: N.A.
pan-1,67.8613441889562,73.3101831213505,pan-1,WBGene00003915,Public name for WBGene00003915. History: N.A.
E01G4.7,67.4914156016149,61.1438123054668,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
zfp-1,67.2447965433873,60.8318540794185,zfp-1,WBGene00006975,Public name for WBGene00006975. History: N.A.
unc-49,66.5871457214471,58.6481464970804,unc-49,WBGene00006784,Public name for WBGene00006784. History: N.A.
Y105C5A.14,66.1350107813632,59.1472796587576,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
Y61A9LA.12,65.7650821940218,57.7122718189355,Y61A9LA.12,WBGene00044586,Public name for WBGene00044586. History: N.A.
osm-3,65.5595663121655,57.4003135928872,osm-3,WBGene00003884,Public name for WBGene00003884. History: N.A.
klp-16,65.5184631357942,76.6169403174624,klp-16,WBGene00002226,Public name for WBGene00002226. History: N.A.
K01G5.3,64.6963996083689,58.71053814229,K01G5.3,WBGene00010477,Sequence name for WBGene00010477(enu-3.6). History: N.A.
fbxa-67,64.1620583155425,65.1992692440946,fbxa-67,WBGene00020457,Public name for WBGene00020457. History: N.A.
K08A2.1,62.9700662007759,47.6048252949705,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
Y71G12B.28,62.9700662007759,66.7590603743361,Y71G12B.28,WBGene00022163,Public name for WBGene00022163. History: N.A.
F25D7.4,62.8056534952908,66.0103606318202,F25D7.4,WBGene00009113,Sequence name for WBGene00009113(maph-1.2). History: N.A.
aex-6,62.4768280843207,49.4141830060507,aex-6,WBGene00000089,Public name for WBGene00000089. History: Renamed on 2006-08-30
klc-2,61.9835899678655,35.9375876407641,klc-2,WBGene00002215,Public name for WBGene00002215. History: N.A.
K08E5.1,61.8602804387518,75.5562823488982,K08E5.1,WBGene00014801,Public name for WBGene00014801. History: N.A.
glh-4,61.4081454986679,62.4540368548696,glh-4,WBGene00001601,Public name for WBGene00001601. History: N.A.
R04E5.9,61.3259391459253,58.3985799162417,R04E5.9,WBGene00019872,Public name for WBGene00019872. History: N.A.
Y55F3AM.14,60.6271851476138,50.6620159102439,Y55F3AM.14,WBGene00021931,Sequence name for WBGene00021931(znf-782). History: N.A.
Y42G9A.1,60.5860819712426,48.2287417470671,Y42G9A.1,WBGene00021531,Public name for WBGene00021531. History: N.A.
C24H12.2,60.5860819712426,50.0380994581473,C24H12.2,WBGene00016072,Public name for WBGene00016072. History: N.A.
C36A4.11,59.6407089147035,32.8180053802811,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
C06A5.6,59.4351930328472,55.6533475270167,C06A5.6,WBGene00015504,Sequence name for WBGene00015504(simr-1). History: N.A.
enu-3,59.3940898564759,69.1299428923032,enu-3,WBGene00010362,Other name for WBGene00010362(enu-3.1). History: Renamed on 2014-04-28
Y116F11B.10,59.3529866801047,63.7018697590628,Y116F11B.10,WBGene00013826,Public name for WBGene00013826. History: N.A.
F09C8.2,59.1474707982484,52.284198685695,F09C8.2,WBGene00008622,Public name for WBGene00008622. History: N.A.
C36A4.14,58.6953358581645,53.8439898159365,C36A4.14,WBGene00194650,Public name for WBGene00194650. History: N.A.
T07D3.3,58.4898199763081,57.8994467545644,T07D3.3,WBGene00020306,Public name for WBGene00020306. History: N.A.
Y20F4.4,58.3254072708231,64.6377444372077,Y20F4.4,WBGene00021239,Public name for WBGene00021239. History: N.A.
W03G9.3,58.2432009180806,51.9722404596467,W03G9.3,WBGene00021015,Sequence name for WBGene00021015(enu-3.3). History: N.A.
F47B7.6,58.1198913889668,48.1039584566478,F47B7.6,WBGene00018537,Public name for WBGene00018537. History: N.A.
inft-2,57.7910659779967,56.6516138503712,inft-2,WBGene00008848,Public name for WBGene00008848. History: N.A.
F13C5.2,57.6266532725116,44.9843761961648,F13C5.2,WBGene00017423,Public name for WBGene00017423. History: N.A.
ZK402.3,57.2567246851702,53.2200733638399,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
K10C8.1,56.9690024505714,63.5770864686435,K10C8.1,WBGene00010734,Sequence name for WBGene00010734(parn-1). History: N.A.
F44F1.4,56.8456929214576,48.6654832635348,F44F1.4,WBGene00009696,Public name for WBGene00009696. History: N.A.
wago-9,56.4757643341162,60.0207626916929,wago-9,WBGene00007624,Other name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
Y94H6A.10,56.434661157745,67.0086269551748,Y94H6A.10,WBGene00022382,Public name for WBGene00022382. History: N.A.
F22H10.5,56.2702484522599,57.4003135928872,F22H10.5,WBGene00017729,"Public name for WBGene00017729. History: Split into F22H10.11(WBGene00255607). History of WBGene00017729: Split into ""WBGene00255607"" on 2014-12-15"
skr-21,56.1880420995174,66.1351439222395,skr-21,WBGene00004827,Public name for WBGene00004827. History: N.A.
pdfr-1,55.7770103358047,47.3552587141319,pdfr-1,WBGene00015735,Public name for WBGene00015735. History: Renamed on 2012-08-29
Y38H8A.8,55.7359071594335,47.2304754237126,Y38H8A.8,WBGene00045062,Public name for WBGene00045062. History: N.A.
Y43D4A.6,55.2426690429783,52.845723492582,Y43D4A.6,WBGene00012792,Public name for WBGene00012792. History: N.A.
klp-18,54.9549468083795,66.5718854387072,klp-18,WBGene00002228,Public name for WBGene00002228. History: N.A.
T12E12.3,54.6672245737806,56.0276973982746,T12E12.3,WBGene00020464,Sequence name for WBGene00020464(tebp-2). History: Renamed on 2021-04-19
E01G4.5,54.3795023391818,85.3517706468148,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
F18A11.2,54.0095737518404,50.7867992006632,F18A11.2,WBGene00008929,Public name for WBGene00008929. History: N.A.
tag-303,53.9684705754691,53.5320315898882,tag-303,WBGene00016871,Other name for WBGene00016871(inso-1). History: Renamed on 2013-04-16
prg-1,53.7218515172416,54.6550812036621,prg-1,WBGene00004178,Public name for WBGene00004178. History: N.A.
ZC15.3,53.639645164499,55.2166060105491,ZC15.3,WBGene00013832,Public name for WBGene00013832. History: N.A.
nhr-15,53.4341292826427,45.7330759386807,nhr-15,WBGene00003614,Public name for WBGene00003614. History: N.A.
F31D5.6,53.3930261062714,48.8526581991637,F31D5.6,WBGene00017949,"Public name for WBGene00017949. History: Split into F31D5.7(WBGene00206414). History of WBGene00017949: Split into ""WBGene00206414"" on 2011-02-28"
Y73B6BL.16,53.3519229299002,37.8717286422636,Y73B6BL.16,,Sequence name for Suppressed gene WBGene00022239. Molecular name for Suppressed gene WBGene00022239. Public name for Suppressed gene WBGene00022239. History of WBGene00022239: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y54G2A.19,53.1875102244151,50.2252743937763,Y54G2A.19,WBGene00021884,Public name for WBGene00021884. History: N.A.
C24H10.4,53.0230975189301,36.1871542216028,C24H10.4,WBGene00016070,Public name for WBGene00016070. History: N.A.
T27F6.8,53.0230975189301,43.2374101302943,T27F6.8,WBGene00012107,Public name for WBGene00012107. History: N.A.
F56D6.16,52.858684813445,56.9635720764195,F56D6.16,WBGene00219304,Public name for WBGene00219304. History: N.A.
C08F11.7,52.4887562261036,42.0519688713108,C08F11.7,WBGene00007454,Public name for WBGene00007454. History: N.A.
C38D4.7,52.2832403442473,46.9185171976643,C38D4.7,WBGene00008007,Public name for WBGene00008007. History: N.A.
fre-1,52.0366212860197,58.0242300449838,fre-1,WBGene00001485,Public name for WBGene00001485. History: N.A.
Y43F4A.3,51.9955181096485,47.1056921332933,Y43F4A.3,WBGene00012798,Public name for WBGene00012798. History: N.A.
dpy-31,51.8311054041634,60.7694624342088,dpy-31,WBGene00006592,Public name for WBGene00006592. History: Renamed on 2005-06-13
C41D11.6,51.7077958750496,44.1108931632296,C41D11.6,WBGene00016565,Sequence name for WBGene00016565(sosi-1). History: N.A.
nrde-2,51.7077958750496,55.590955881807,nrde-2,WBGene00011333,Public name for WBGene00011333. History: N.A.
