# Each entry in the table below appears as one point in figure 6D of,,,,,
# Batista et al 2008.,,,,,
#,,,,,
# Gene = gene name as provided by wormbase,,,,,
# siWt = number of reads antisense to and overlapping exons of the,,,,,
#      indicated gene from a wt adult library.  Read counts are ,,,,,
#      normalized to the number of times each sequence perfectly ,,,,,
#      matches the ce4 genome assembly.,,,,,
# siPrg1 = number of reads antisense to and overlapping exons of the,,,,,
#      indicated gene from a prg-1 mutant adult library.  Read counts,,,,,
#      are normalized to the number of times each sequence perfectly ,,,,,
#      matches the ce4 genome assembly.,,,,,
# siWtNorm = siWt divided by total reads in the wt library.,,,,,
# siPrg1Norm = siPrg1 divided by total reads in the prg-1 mutant library.,,,,,
# array_change = median signal change for array probes whose Affymetrix-defined,,,,,
#      coordinate overlap exons of the indicated gene (mutant signal / wt signal).,,,,,
#,,,,,
Gene,siWt,siPrg1,siWtNorm,siPrg1Norm,array_change,Input,Suggested Match,History
W04A8.6,5195.051824,2200.658612,0.002389243,0.000802034,0.703535,W04A8.6,WBGene00012241,"Public name for WBGene00012241. History: Split into W04A8.9(WBGene00195155). History of WBGene00012241: Split into ""WBGene00195155"" on 2010-05-21"
F29B9.2a,874.0247209,974.7727273,0.00040197,0.000355258,0.8102,F29B9.2a,WBGene00017920,Molecule name for WBGene00017920(jmjd-1.2). History: N.A.
W04B5.2,772.588707,1800.838798,0.000355319,0.000656319,1.0,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
F10E7.2,805.6205604,226.1751189,0.000370511,8.24e-05,1.0578,F10E7.2,WBGene00017344,Public name for WBGene00017344. History: N.A.
T06E4.3b,952.9818376,1216.222222,0.000438283,0.000443254,0.72879,,,
M88.6b,1601.244979,18.0,0.000736424,6.56e-06,1.95193,M88.6b,WBGene00003915,Molecule name for WBGene00003915(pan-1). History: N.A.
K08E3.5a.1,684.6666667,345.0,0.000314883,0.000125736,0.64748,K08E3.5a.1,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
C38D9.2,838.4293842,2584.557074,0.0003856,0.000941946,1.04606,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
Y38A8.3,556.5909091,1245.101515,0.00025598,0.000453779,0.60733,Y38A8.3,WBGene00006737,Sequence name for WBGene00006737(ulp-2). History: N.A.
R13H8.1a,544.1040606,558.0547143,0.000250237,0.000203384,0.95913,R13H8.1a,WBGene00000912,Molecule name for WBGene00000912(daf-16). History: N.A.
T05A7.4,614.8805872,634.0946133,0.000282788,0.000231097,0.99251,T05A7.4,WBGene00001976,Sequence name for WBGene00001976(hmg-11). History: N.A.
Y110A7A.18,535.4411538,962.7991646,0.000246253,0.000350894,0.96698,Y110A7A.18,WBGene00004094,Sequence name for WBGene00004094(ppw-2). History: Renamed on 2011-10-14
E01G4.5,562.8494874,351.2819303,0.000258859,0.000128025,0.99213,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
Y48G9A.6,595.2362413,860.274337,0.000273754,0.000313529,1.0,Y48G9A.6,WBGene00021700,Public name for WBGene00021700. History: N.A.
Y48A6A.1,1274.821649,3709.46589,0.0005863,0.001351922,1.0,Y48A6A.1,WBGene00006982,Sequence name for WBGene00006982(zig-5). History: N.A.
C16A11.6,1334.465834,18.83333333,0.000613731,6.86e-06,0.94024,C16A11.6,WBGene00015819,"Sequence name for WBGene00015819(fbxc-44). History: Split into fbxc-43(WBGene00045297). History of WBGene00015819: Split into ""WBGene00045297"" on 2007-02-28"
AC8.3,550.8977715,34.03349282,0.000253362,1.24e-05,1.0,AC8.3,WBGene00007075,Public name for WBGene00007075. History: N.A.
K06B9.6,2130.779308,4391.268943,0.000979961,0.001600406,1.0,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
Y37D8A.12a.1,985.2864329,356.0236953,0.00045314,0.000129753,1.17384,Y37D8A.12a.1,WBGene00012552,Molecule name for WBGene00012552(enu-3.5). History: N.A.
C04G2.10,1672.904815,1430.534481,0.000769381,0.000521361,1.4007,C04G2.10,WBGene00007309,Public name for WBGene00007309. History: N.A.
F43E2.1,3334.09765,365.3845828,0.001533376,0.000133165,1.0,F43E2.1,WBGene00018390,Public name for WBGene00018390. History: N.A.
R107.6,619.8010481,1205.419142,0.000285051,0.000439317,0.96142,R107.6,WBGene00000549,Sequence name for WBGene00000549(cls-2). History: N.A.
Y23H5A.1a,1440.761896,1297.777486,0.000662617,0.000472977,0.9872,Y23H5A.1a,WBGene00000801,Molecule name for WBGene00000801(cars-2). History: Renamed on 2010-01-29
F26F4.6,534.6471985,73.9047619,0.000245888,2.69e-05,0.773125,F26F4.6,WBGene00017828,Public name for WBGene00017828. History: N.A.
T07D3.3,1450.966309,3.254545455,0.00066731,1.19e-06,1.0,T07D3.3,WBGene00020306,Public name for WBGene00020306. History: N.A.
R107.6.2,1277.6688,2588.283336,0.000587609,0.000943305,0.96565,,,
Y53F4B.9,1621.308134,2140.34256,0.000745652,0.000780052,0.55178,Y53F4B.9,WBGene00013156,Public name for WBGene00013156. History: N.A.
Y56A3A.20.1,545.3180379,687.4875661,0.000250796,0.000250556,0.66704,Y56A3A.20.1,WBGene00000369,Molecule name for WBGene00000369(ccf-1). History: N.A.
Y71A12B.10,862.2788284,422.8287081,0.000396568,0.000154101,1.0,Y71A12B.10,WBGene00013507,Public name for WBGene00013507. History: N.A.
T22B2.5,765.2556818,3.0,0.000351947,1.09e-06,1.0,T22B2.5,WBGene00020669,Public name for WBGene00020669. History: N.A.
Y94H6A.10,972.5545077,1746.406443,0.000447285,0.000636481,1.42979,Y94H6A.10,WBGene00022382,Public name for WBGene00022382. History: N.A.
F54C9.1.3,1215.76717,2387.41957,0.00055914,0.000870099,1.70942,,,
Y52D3.1a.1,1131.333333,151.3333333,0.000520309,5.52e-05,0.7119,Y52D3.1a.1,WBGene00013132,Molecule name for WBGene00013132(strd-1). History: N.A.
Y111B2A.13,688.0782237,2094.188095,0.000316452,0.000763231,1.38463,Y111B2A.13,WBGene00013736,Sequence name for WBGene00013736(gtf-2A2). History: N.A.
B0041.7,681.8369471,417.1166667,0.000313582,0.000152019,0.93074,B0041.7,WBGene00006961,Sequence name for WBGene00006961(xnp-1). History: Renamed on 2004-09-10
C29E4.4,562.4366532,1001.747239,0.000258669,0.000365089,0.66763,C29E4.4,WBGene00003801,Sequence name for WBGene00003801(npp-15). History: N.A.
F22F1.1,2454.229942,2710.50475,0.001128718,0.000987848,1.0,F22F1.1,WBGene00001854,Sequence name for WBGene00001854(hil-3). History: Renamed on 2010-11-12
Y46G5A.5,639.4682281,1424.129304,0.000294096,0.000519026,0.70655,Y46G5A.5,WBGene00012897,Sequence name for WBGene00012897(pisy-1). History: N.A.
Y46H3C.6,1325.417941,1842.161018,0.000609569,0.000671379,1.0,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
F36D4.3b,640.4097308,1571.277922,0.000294529,0.000572655,0.93332,F36D4.3b,WBGene00002036,Molecule name for WBGene00002036(hum-2). History: N.A.
T05G5.3.1,851.0909091,1721.909091,0.000391423,0.000627553,0.54909,T05G5.3.1,WBGene00000405,Molecule name for WBGene00000405(cdk-1). History: N.A.
F48E8.6,1195.460355,2914.974242,0.000549801,0.001062368,0.82749,F48E8.6,WBGene00018612,Sequence name for WBGene00018612(disl-2). History: Renamed on 2017-03-13
T10F2.3,563.037462,854.9697691,0.000258945,0.000311595,0.64286,T10F2.3,WBGene00006736,Sequence name for WBGene00006736(ulp-1). History: N.A.
C52E2.6,3322.748353,32.0,0.001528156,1.17e-05,1.0,C52E2.6,WBGene00016885,Sequence name for WBGene00016885(fbxb-97). History: N.A.
F58H7.5,1349.0,1821.075758,0.000620415,0.000663694,1.0,F58H7.5,WBGene00019070,Public name for WBGene00019070. History: N.A.
C26E6.9a,501.0068296,800.6404507,0.000230417,0.000291795,0.74677,C26E6.9a,WBGene00004782,Molecule name for WBGene00004782(set-2). History: N.A.
T26E3.7,791.2132035,762.0,0.000363885,0.000277712,1.0,T26E3.7,WBGene00012040,Public name for WBGene00012040. History: N.A.
K09H11.3,559.6044702,1384.909216,0.000257366,0.000504733,0.66765,K09H11.3,WBGene00019600,Sequence name for WBGene00019600(rga-3). History: N.A.
T06E4.3a,935.8000194,1188.640404,0.000430381,0.000433202,0.72258,T06E4.3a,WBGene00000226,Molecule name for WBGene00000226(atl-1). History: N.A.
C36A4.11,2176.717428,4632.596161,0.001001088,0.001688358,1.0,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
R13D11.7,623.5231433,810.7579365,0.000286763,0.000295482,1.0,R13D11.7,,Sequence name for Suppressed gene WBGene00020061. Molecular name for Suppressed gene WBGene00020061. Public name for Suppressed gene WBGene00020061. History of WBGene00020061: Suppressed on 2007-07-26. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y73F8A.26,2239.978642,6.570405983,0.001030183,2.39e-06,1.0,Y73F8A.26,WBGene00013531,Public name for WBGene00013531. History: N.A.
F15D4.5,2419.979133,6276.311715,0.001112966,0.002287413,1.0,F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
Y105E8A.28,1247.894807,1204.257103,0.000573916,0.000438894,1.0,Y105E8A.28,WBGene00013685,Public name for WBGene00013685. History: N.A.
K08F11.1,948.4166327,835.9289256,0.000436184,0.000304656,1.0,K08F11.1,WBGene00019541,Public name for WBGene00019541. History: N.A.
Y23H5A.1b,1865.593175,1710.663241,0.000858,0.000623454,0.98221,Y23H5A.1b,WBGene00000801,Molecule name for WBGene00000801(cars-2). History: Renamed on 2010-01-29
Y47H10A.5,6936.085575,14809.8437,0.003189957,0.005397474,1.872955,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
R17.1,629.0602459,193.5928854,0.000289309,7.06e-05,1.0,R17.1,WBGene00011267,Sequence name for WBGene00011267(fbxb-85). History: N.A.
B0284.3,925.5536797,2.0,0.000425669,7.29e-07,1.0,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
R107.6.1,1241.436302,2487.693079,0.000570946,0.000906644,0.96565,,,
ZK270.2a,1486.268122,11811.42591,0.000683546,0.004304696,1.37036,ZK270.2a,WBGene00001488,Molecule name for WBGene00001488(frm-1). History: N.A.
F41G4.7,552.6908539,519.7824675,0.000254187,0.000189436,1.0,F41G4.7,WBGene00018310,"Public name for WBGene00018310. History: Split into F41G4.13(WBGene00304806). History of WBGene00018310: Split into ""WBGene00304806"" on 2019-05-20"
T12G3.1.2,2551.514417,9682.90297,0.00117346,0.003528951,1.29153,,,
K02E2.6.2,2473.451278,6118.498465,0.001137558,0.002229898,1.40959,K02E2.6.2,WBGene00010507,Molecule name for WBGene00010507(K02E2.6). History: N.A.
C36E8.3,529.5019309,8.20823717,0.000243522,2.99e-06,1.268675,C36E8.3,WBGene00007982,Sequence name for WBGene00007982(pxd-1). History: N.A.
F18E2.4,526.8004101,2.0,0.000242279,7.29e-07,1.0,F18E2.4,WBGene00008937,Sequence name for WBGene00008937(srt-43). History: N.A.
T05G5.3.2,595.7712021,1207.991393,0.000274,0.000440255,0.55065,,,
R06C1.4,611.7823214,3050.597548,0.000281363,0.001111796,1.34782,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
K08E3.5e,684.7843137,346.0,0.000314937,0.0001261,0.64748,K08E3.5e,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
T01E8.5,726.0693002,1149.248219,0.000333925,0.000418846,1.08053,T01E8.5,WBGene00011333,Sequence name for WBGene00011333(nrde-2). History: N.A.
ZK270.2e,1486.268122,11811.42591,0.000683546,0.004304696,1.36584,ZK270.2e,WBGene00001488,Molecule name for WBGene00001488(frm-1). History: N.A.
Y106G6H.12,556.3318182,237.8269231,0.000255861,8.67e-05,0.801205,Y106G6H.12,WBGene00001112,Sequence name for WBGene00001112(duo-3). History: N.A.
F29C12.5,3389.020458,52.48137389,0.001558635,1.91e-05,9.16456,F29C12.5,WBGene00009247,Sequence name for WBGene00009247(bath-45). History: N.A.
Y102A5D.1,851.7793933,1397.639969,0.00039174,0.000509372,1.0,Y102A5D.1,,Sequence name for Suppressed gene WBGene00013630. Molecular name for Suppressed gene WBGene00013630. Public name for Suppressed gene WBGene00013630. History of WBGene00013630: Killed on 2011-05-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F37B1.4,778.3666667,812.2,0.000357977,0.000296008,1.0,F37B1.4,WBGene00001763,Sequence name for WBGene00001763(gst-15). History: N.A.
F42G8.4.2,813.1202553,18.0,0.00037396,6.56e-06,1.46737,,,
R166.3,512.5556912,56.5,0.000235728,2.06e-05,1.0,R166.3,WBGene00011303,Public name for WBGene00011303. History: N.A.
F42G8.4.1,1009.915349,21.0,0.000464467,7.65e-06,1.44805,,,
Y50D7A.6,786.912987,8235.028154,0.000361907,0.003001271,0.485135,Y50D7A.6,WBGene00002230,Sequence name for WBGene00002230(klp-20). History: N.A.
Y79H2A.4,660.5554167,834.6698698,0.000303794,0.000304197,1.0,Y79H2A.4,WBGene00013581,Public name for WBGene00013581. History: N.A.
B0250.8,6875.487933,2871.138192,0.003162087,0.001046392,1.42864,B0250.8,WBGene00007125,Public name for WBGene00007125. History: N.A.
C04F6.5,843.6365079,3.786013986,0.000387995,1.38e-06,1.0,C04F6.5,WBGene00000990,"Sequence name for WBGene00000990(dhs-27). History: Split into C04F6.7(WBGene00195081). History of WBGene00000990: Split into ""WBGene00195081"" on 2010-04-28"
Y48G1BM.5,1917.902323,2797.89604,0.000882057,0.001019698,1.0,Y48G1BM.5,WBGene00021671,"Public name for Dead gene WBGene00021670. History of WBGene00021670: Merged into ""WBGene00021671"" on 2009-01-09"
Y37A1C.1c,520.7535595,1186.216462,0.000239498,0.000432319,0.8979,Y37A1C.1c,WBGene00012543,Molecule name for WBGene00012543(nkcc-1). History: N.A.
C09G1.3,602.2857143,6.0,0.000276996,2.19e-06,1.0,C09G1.3,WBGene00007485,Public name for WBGene00007485. History: N.A.
C34E10.5.1,528.0909091,206.4736842,0.000242873,7.52e-05,0.966305,C34E10.5.1,WBGene00016408,Molecule name for WBGene00016408(prmt-5). History: Renamed on 2007-07-20
F56D12.1d.1,1504.9847,99.44105691,0.000692154,3.62e-05,1.103395,F56D12.1d.1,WBGene00000112,Molecule name for WBGene00000112(alh-6). History: Renamed on 2017-05-16
W04B5.1,1257.465492,3431.977247,0.000578318,0.00125079,1.5169,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
T09A5.10.1,589.0,909.6666667,0.000270885,0.00033153,0.68388,T09A5.10.1,WBGene00002994,Molecule name for WBGene00002994(lin-5). History: N.A.
F46F2.4,2124.489156,4.0,0.000977068,1.46e-06,1.0,F46F2.4,WBGene00009788,Public name for WBGene00009788. History: N.A.
K08E7.3,1293.746909,1839.743358,0.000595004,0.000670498,0.60463,K08E7.3,WBGene00002368,Sequence name for WBGene00002368(let-99). History: N.A.
F56D12.1c.1,1509.295491,99.44105691,0.000694136,3.62e-05,1.09721,F56D12.1c.1,WBGene00000112,Molecule name for WBGene00000112(alh-6). History: Renamed on 2017-05-16
Y52D3.1a.2,1097.333333,133.3333333,0.000504672,4.86e-05,0.70818,,,
C41D11.6,588.0,748.1580087,0.000270426,0.000272668,1.0,C41D11.6,WBGene00016565,Sequence name for WBGene00016565(sosi-1). History: N.A.
Y53C10A.10,653.5,37.75,0.000300549,1.38e-05,1.39868,Y53C10A.10,WBGene00013138,"Public name for WBGene00013138. History: Split into Y53C10A.24(WBGene00305049). History of WBGene00013138: Split into ""WBGene00305049"" on 2019-10-21"
Y39E4B.3b,510.1658793,470.2640439,0.000234629,0.000171389,1.03842,Y39E4B.3b,WBGene00004164,Molecule name for WBGene00004164(pqn-83). History: N.A.
C41A3.1,1244.061692,310.6198401,0.000572153,0.000113206,1.0,C41A3.1,WBGene00016558,Sequence name for WBGene00016558(pks-1). History: N.A.
Y77E11A.2,693.3333333,4.5,0.000318869,1.64e-06,1.4288,Y77E11A.2,WBGene00022307,Sequence name for WBGene00022307(nadk-1). History: N.A.
D2030.6.2,5658.213979,1538.728459,0.002602254,0.000560792,1.0,,,
Y55B1BR.5,1400.629593,2308.860466,0.00064416,0.000841468,1.0,Y55B1BR.5,WBGene00044401,"Public name for Dead gene WBGene00044400. History of WBGene00044400: Merged into ""WBGene00044401"" on 2014-10-09"
K05C4.2.2,522.8333333,659.0833333,0.000240455,0.000240204,1.0,K05C4.2.2,WBGene00010579,Molecule name for WBGene00010579(K05C4.2). History: N.A.
T05A7.4.2,1157.134767,1472.334848,0.000532175,0.000536595,1.0,,,
C26E6.4,722.0,946.0055556,0.000332053,0.000344773,0.870635,C26E6.4,WBGene00016140,Sequence name for WBGene00016140(rpb-2). History: Renamed on 2005-03-17
K02F3.4.1,3450.950886,4367.904806,0.001587118,0.001591891,1.46931,K02F3.4.1,WBGene00019327,Molecule name for WBGene00019327(zip-2). History: N.A.
K12D12.1,604.2071429,1243.2,0.000277879,0.000453086,0.62859,K12D12.1,WBGene00010785,Sequence name for WBGene00010785(top-2). History: Renamed on 2015-07-16
F55A3.6,852.2490911,688.4632546,0.000391956,0.000250912,1.0,F55A3.6,WBGene00018851,Public name for WBGene00018851. History: N.A.
T28F2.4a,560.1470847,11.07017544,0.000257616,4.03e-06,1.0,T28F2.4a,WBGene00020902,Molecule name for WBGene00020902(jmjc-1). History: N.A.
R06F6.8b.1,817.4844196,1427.395188,0.000375967,0.000520217,0.70012,R06F6.8b.1,WBGene00011071,"Molecule name for WBGene00011071(R06F6.8). History: Split into R06F6.12(WBGene00023418). History of WBGene00011071: Split into ""WBGene00023418"" on 2004-07-05"
C03A7.1,2163.753473,2248.682031,0.000995126,0.000819536,1.0,C03A7.1,,Sequence name for Suppressed gene WBGene00015365. Molecular name for Suppressed gene WBGene00015365. Public name for Suppressed gene WBGene00015365. History of WBGene00015365: Suppressed on 2007-07-19. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZK112.2,706.3409709,1773.73491,0.000324851,0.000646441,1.077595,ZK112.2,WBGene00003559,Sequence name for WBGene00003559(ncl-1). History: N.A.
Y38H6C.10,501.4529813,675.0229298,0.000230622,0.000246013,1.0,Y38H6C.10,WBGene00012623,Sequence name for WBGene00012623(fbxa-149). History: N.A.
D2045.2,2494.607791,246.6094428,0.001147288,8.99e-05,1.3183,D2045.2,WBGene00008422,Sequence name for WBGene00008422(ecps-1). History: N.A.
C28A5.2,615.3077751,1291.066026,0.000282985,0.000470531,0.706105,C28A5.2,WBGene00007789,Public name for WBGene00007789. History: N.A.
T20G5.11.1,688.0,196.0,0.000316416,7.14e-05,0.71378,T20G5.11.1,WBGene00004326,Molecule name for WBGene00004326(rde-4). History: N.A.
F42G8.3a,534.8111111,7.0,0.000245964,2.55e-06,1.15675,F42G8.3a,WBGene00004056,Molecule name for WBGene00004056(pmk-2). History: N.A.
Y76B12C.8,730.7322397,708.0743525,0.000336069,0.000258059,1.0,Y76B12C.8,WBGene00022302,Public name for WBGene00022302. History: N.A.
C01B10.9,1122.270381,1253.63769,0.00051614,0.000456891,0.704655,C01B10.9,WBGene00015283,Public name for WBGene00015283. History: N.A.
T20G5.11.2,687.0,194.0,0.000315956,7.07e-05,0.58019,,,
