gene,mRNA-seq_WT_OP50,mRNA-seq_set-32_OP50,mRNA-seq_met-2set-25set-32_OP50,mRNA-seq_met-2set-25_OP50,mRNA-seq_hrde-1_OP50,GRH loci,GRTS loci,K9(+)_genes,Input,Suggested Match,History
F45D11.8,0.48,0,0,0.57,0,no,no,yes,F45D11.8,WBGene00018454,Sequence name for WBGene00018454(fbxb-28). History: N.A.
F45D11.5,1.89,2.07,1.58,1.48,0.85,no,no,yes,F45D11.5,WBGene00018452,Public name for WBGene00018452. History: N.A.
W06D12.5,3.93,3.59,4.38,4.09,2.34,no,no,yes,W06D12.5,WBGene00006685,Sequence name for WBGene00006685(twk-33). History: N.A.
W06D12.6,0,0,0,0,0,no,no,yes,W06D12.6,WBGene00012305,Public name for WBGene00012305. History: N.A.
W06D12.7,0,0,0,0,0,no,no,yes,W06D12.7,WBGene00005254,Sequence name for WBGene00005254(srh-31). History: N.A.
W06D12.2,2.72,7.62,3.28,3.9,4.05,no,no,yes,W06D12.2,WBGene00006692,Sequence name for WBGene00006692(twk-42). History: N.A.
W06D12.3,85.02,162.98,99.65,89.9,53.3,no,no,yes,W06D12.3,WBGene00001397,Sequence name for WBGene00001397(fat-5). History: N.A.
F45C12.14,0.4,0.87,0.99,0.93,1.06,no,no,yes,F45C12.14,WBGene00018445,Sequence name for WBGene00018445(fbxb-5). History: N.A.
F45C12.16,0,0,0.23,0,0,no,no,yes,F45C12.16,WBGene00018447,Sequence name for WBGene00018447(irld-9). History: N.A.
F45C12.11,1.42,2.6,1.19,3.89,1.27,no,no,yes,F45C12.11,WBGene00018442,Sequence name for WBGene00018442(sdz-18). History: Renamed on 2005-08-22
F45C12.13,2.73,0.5,1.14,1.07,1.22,no,no,yes,F45C12.13,WBGene00018444,Sequence name for WBGene00018444(fbxb-48). History: N.A.
F45C12.12,5.05,3.32,6.33,6.51,4.74,no,no,yes,F45C12.12,WBGene00018443,Sequence name for WBGene00018443(btb-7). History: N.A.
Y82E9BL.18,1.65,0.3,0.69,1.29,0.74,no,no,yes,Y82E9BL.18,WBGene00044402,"Public name for WBGene00044402. History: Split into Y82E9BL.19(WBGene00194735). History of WBGene00044402: Split into ""WBGene00194735"" on 2009-08-21"
F42E8.1,0,0,0,0,0,no,no,yes,F42E8.1,WBGene00009630,Public name for WBGene00009630. History: N.A.
Y82E9BL.12,0,0,0,0.48,0,no,no,yes,Y82E9BL.12,WBGene00022328,Public name for WBGene00022328. History: N.A.
Y82E9BL.10,4.17,1.83,2.09,2.68,4.19,no,no,yes,Y82E9BL.10,WBGene00022326,Sequence name for WBGene00022326(fbxa-14). History: N.A.
F59A1.14,0,0,0,0,0.52,no,no,yes,F59A1.14,WBGene00006151,Sequence name for WBGene00006151(str-93). History: N.A.
K02E7.6.1,2.75,4.13,2.56,0.97,1.74,no,no,yes,,,
C18D4.2a,0,0,0.55,0.26,0.1,no,no,yes,C18D4.2a,WBGene00007672,Molecule name for WBGene00007672(fbxa-136). History: N.A.
F23C8.1,0.68,0,0.86,0,0.92,no,no,yes,F23C8.1,WBGene00017731,Public name for WBGene00017731. History: N.A.
C36C9.6,0,0,0,0,0,no,no,yes,C36C9.6,WBGene00044560,Public name for WBGene00044560. History: N.A.
T09E11.8,0,0,0,0,0,no,no,yes,T09E11.8,WBGene00011657,Public name for WBGene00011657. History: N.A.
T09E11.9,0,0,0,0,0,no,no,yes,T09E11.9,WBGene00011658,Public name for WBGene00011658. History: N.A.
T09E11.7,0,0,0,0,0,no,no,yes,T09E11.7,WBGene00011656,Sequence name for WBGene00011656(oac-45). History: N.A.
T09E11.4,0,0,0,0,0,no,no,yes,T09E11.4,WBGene00011653,Sequence name for WBGene00011653(oac-43). History: N.A.
T09E11.3,0,0,0,0,0,no,no,yes,T09E11.3,WBGene00011652,Public name for WBGene00011652. History: N.A.
F49B2.6,1.72,2.16,2.16,2.02,0.82,no,no,yes,F49B2.6,WBGene00009865,Public name for WBGene00009865. History: N.A.
K08D10.5,0.23,0,0.19,0,0,no,no,yes,K08D10.5,WBGene00019529,Public name for WBGene00019529. History: N.A.
F40D4.13,2.02,0.44,10.14,1.42,0.54,no,no,yes,F40D4.13,WBGene00009572,Public name for WBGene00009572. History: N.A.
F40D4.12,0,0,0,0,0,no,no,yes,F40D4.12,WBGene00009571,Public name for WBGene00009571. History: N.A.
F16H6.8,0,0,0.13,0.19,0,no,no,yes,F16H6.8,WBGene00008898,Public name for WBGene00008898. History: N.A.
Y57G11C.20,0.11,0.35,0,0,0.43,no,no,yes,Y57G11C.20,WBGene00013315,Public name for WBGene00013315. History: N.A.
F25C8.1,0,0,0.75,0.26,0.3,no,no,yes,F25C8.1,WBGene00009104,Public name for WBGene00009104. History: N.A.
F25C8.5,0.66,0,0,0,0,no,no,yes,F25C8.5,WBGene00044187,Sequence name for WBGene00044187(ttll-9). History: N.A.
F25C8.4,6.35,6.72,3.84,5.9,5.87,no,no,yes,F25C8.4,WBGene00009106,Sequence name for WBGene00009106(acs-12). History: N.A.
Y26D4A.21,0.85,0,3.56,2.99,0,no,no,yes,Y26D4A.21,WBGene00077684,Public name for WBGene00077684. History: N.A.
Y38H6C.11,5.3,2.49,6.33,4.44,2.54,no,no,yes,Y38H6C.11,WBGene00012624,Sequence name for WBGene00012624(fbxa-150). History: N.A.
Y38H6C.10,1.59,2.18,5,4.2,2.14,no,no,yes,Y38H6C.10,WBGene00012623,Sequence name for WBGene00012623(fbxa-149). History: N.A.
K05F6.1,0.95,1.82,2.78,0.83,2.86,no,no,yes,K05F6.1,WBGene00019412,"Sequence name for WBGene00019412(fbxb-49). History: Split into K05F6.15(WBGene00269419). History of WBGene00019412: Split into ""WBGene00269419"" on 2016-02-18"
Y38H6C.19,4.98,7.51,3.64,2.92,1.67,no,no,yes,Y38H6C.19,WBGene00012631,Sequence name for WBGene00012631(vmo-1). History: N.A.
F49C5.3,0,0,0.21,0.1,0,no,no,yes,F49C5.3,WBGene00009866,Public name for WBGene00009866. History: N.A.
F08F1.9,2.11,0,1.32,0,0.71,no,no,yes,F08F1.9,WBGene00017259,Public name for WBGene00017259. History: N.A.
F35F11.2,2.34,1.92,2.44,2.74,1.57,no,no,yes,F35F11.2,WBGene00018065,Public name for WBGene00018065. History: N.A.
F41G4.7,0.4,0.22,3.72,1.42,3.12,no,no,yes,F41G4.7,WBGene00018310,"Public name for WBGene00018310. History: Split into F41G4.13(WBGene00304806). History of WBGene00018310: Split into ""WBGene00304806"" on 2019-05-20"
F41G4.5,0.7,0.15,0.35,0,0,no,no,yes,F41G4.5,WBGene00018309,Public name for WBGene00018309. History: N.A.
F41G4.4,0.71,0,0,0,0,no,no,yes,F41G4.4,WBGene00018309,"Public name for Dead gene WBGene00018308. History of WBGene00018308: Merged into ""WBGene00018309"" on 2018-11-14"
Y43D4A.4a,5.47,4.45,5.23,8.61,8.39,no,no,yes,Y43D4A.4a,WBGene00012790,Molecule name for WBGene00012790(Y43D4A.4). History: N.A.
T03D8.3,44.69,42.7,55.15,47.48,41.11,no,no,yes,T03D8.3,WBGene00011392,Sequence name for WBGene00011392(sbt-1). History: N.A.
T03D8.5,0.13,0.29,0.11,0.31,0,no,no,yes,T03D8.5,WBGene00001547,Sequence name for WBGene00001547(gcy-22). History: Renamed on 2021-01-02
Y39B6A.50,0,0,0,0,0,no,no,yes,Y39B6A.50,,Public name for Dead gene WBGene00077458. History of WBGene00077458: Killed on 2011-03-28. Remark: There is no evidence for this gene. It has been retired....Paralog WBGene00044999 modENCODE_Pseudogenes
F11A5.6,0,0,0,0,0,no,no,yes,F11A5.6,,Public name for Dead gene WBGene00008674. History of WBGene00008674: Killed on 2017-09-21. Remark: No evidence for this gene.
Y49C4A.5,0,0,0,0,0,no,no,yes,Y49C4A.5,WBGene00005895,Sequence name for WBGene00005895(srx-4). History: N.A.
C54E10.1,0,0.52,0.4,0,0,no,no,yes,C54E10.1,WBGene00008306,Public name for WBGene00008306. History: N.A.
T21B4.17,5.42,4.45,6.12,7.94,7.27,no,no,yes,T21B4.17,WBGene00044032,Sequence name for WBGene00044032(ceh-99). History: N.A.
F36H5.2c.1,6.48,4.71,5.54,4.47,4.15,no,no,yes,,,
Y53F4B.10,0.29,0.32,0.49,0,2.74,no,yes,yes,Y53F4B.10,WBGene00013157,Public name for WBGene00013157. History: N.A.
T20D4.7,2.21,0.81,1.23,2.59,1.97,no,no,yes,T20D4.7,WBGene00020613,Public name for WBGene00020613. History: N.A.
T20D4.4,1.86,0.68,2.07,1.45,0.83,no,no,yes,T20D4.4,WBGene00020611,"Public name for Dead gene WBGene00020610. History of WBGene00020610: Merged into ""WBGene00020611"" on 2016-02-18"
T08E11.8,0,0.56,0.22,0.91,0,no,no,yes,T08E11.8,WBGene00020364,Public name for WBGene00020364. History: N.A.
Y61A9LA.12,2.84,1.56,1.34,0,13.82,yes,no,yes,Y61A9LA.12,WBGene00044586,Public name for WBGene00044586. History: N.A.
B0212.5,0.72,0,0,0.17,0.19,no,no,yes,B0212.5,WBGene00003889,Sequence name for WBGene00003889(osm-9). History: N.A.
ZK6.2,0,0,0,0,0,no,no,yes,ZK6.2,WBGene00022637,Sequence name for WBGene00022637(nhr-252). History: N.A.
Y51A2A.11,0,0,0,0,0,no,no,yes,Y51A2A.11,WBGene00013064,"Sequence name for WBGene00013064(clec-248). History: Split into Y51A2A.18(WBGene00219312). History of WBGene00013064: Split into ""WBGene00219312"" on 2011-11-21"
Y51A2A.12,0,0,0,0,0,no,no,yes,Y51A2A.12,WBGene00077445,Public name for WBGene00077445. History: N.A.
F56G4.1,5.93,4.02,5.43,6.45,2.08,no,no,yes,F56G4.1,WBGene00010157,"Sequence name for WBGene00010157(oac-34). History: Split into M04D5.3(WBGene00077770). History of WBGene00010157: Split into ""WBGene00077770"" on 2008-06-10"
F53G12.11,1.39,0,0,0,0,no,no,yes,F53G12.11,,Public name for Dead gene WBGene00018775. History of WBGene00018775: Killed on 2013-10-17. Remark: Lack of supporting evidence and it appears to be part of the 3' UTR of the upstream gene.
Y53H1A.5,16.87,10.62,22.9,20.25,22.62,no,no,yes,Y53H1A.5,WBGene00043056,Sequence name for WBGene00043056(nfya-2). History: N.A.
Y53H1A.4,0,0,0,0,0,no,no,yes,Y53H1A.4,WBGene00002119,Sequence name for WBGene00002119(ins-36). History: N.A.
Y53H1A.3,0,0.75,0,0,0,no,no,yes,Y53H1A.3,WBGene00013179,Sequence name for WBGene00013179(clec-100). History: N.A.
F26D2.10,0.8,0.25,0.85,1.6,0.84,no,no,yes,F26D2.10,WBGene00009149,Public name for WBGene00009149. History: N.A.
Y59A8B.8,33.74,34.54,36.08,29.87,53.31,no,no,yes,Y59A8B.8,WBGene00013345,"Public name for WBGene00013345. History: Split into Y59A8B.25(WBGene00044794). History of WBGene00013345: Split into ""WBGene00044794"" on 2006-03-23"
F14D2.4a,15.44,15.56,15.65,17.28,17.66,no,no,yes,F14D2.4a,WBGene00017452,Molecule name for WBGene00017452(bath-29). History: N.A.
F20B4.3,0,0,0,0.34,0,no,no,yes,F20B4.3,WBGene00017622,"Public name for Dead gene WBGene00017623. History of WBGene00017623: Merged into ""WBGene00017622"" on 2008-09-11. Remark: [140610 pad] Gene was missing Merged_into Event history data so inferred from Merged_into tag."
F20B4.2,13.46,8.94,11.25,9.08,15.86,no,no,yes,F20B4.2,,Sequence name for Suppressed gene WBGene00017622. Molecular name for Suppressed gene WBGene00017622. Public name for Suppressed gene WBGene00017622. History of WBGene00017622: Killed on 2008-09-11; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F40C5.3,0.94,1.03,0.79,1.11,0,no,no,yes,F40C5.3,WBGene00001736,Sequence name for WBGene00001736(grl-27). History: N.A.
F40C5.2,2.94,4.14,3.16,3.45,2.82,no,no,yes,F40C5.2,WBGene00018229,Public name for WBGene00018229. History: N.A.
F40C5.1,0.22,0,0,0,0,no,no,yes,F40C5.1,WBGene00018228,Public name for WBGene00018228. History: N.A.
Y51H7BR.1,1.29,0.94,1.44,2.52,4.91,no,no,yes,Y51H7BR.1,WBGene00021773,Sequence name for WBGene00021773(fbxb-42). History: N.A.
F56D6.1,0,0,0,0,0,no,no,yes,F56D6.1,WBGene00018970,"Sequence name for WBGene00018970(clec-68). History: Split into clec-69(WBGene00044642). History of WBGene00018970: Split into ""WBGene00044642"" on 2005-09-28"
F56D6.2,2.92,1.76,10.76,11.08,3.1,no,no,yes,F56D6.2,WBGene00018971,Sequence name for WBGene00018971(clec-67). History: N.A.
F58E1.10,1.29,1.77,1.08,1.14,0.87,no,no,yes,F58E1.10,WBGene00019041,Sequence name for WBGene00019041(fbxc-22). History: N.A.
F58E1.11,1.33,2.54,1.94,1.55,1.78,no,no,yes,F58E1.11,WBGene00019042,Sequence name for WBGene00019042(fbxc-21). History: N.A.
K02F3.4.1,59.23,81.43,61.86,79.28,59.97,no,no,yes,K02F3.4.1,WBGene00019327,Molecule name for WBGene00019327(zip-2). History: N.A.
C01A2.1.1,0,0.73,0.19,0,0.6,no,no,yes,,,
F58E1.14,2.94,0,0.35,0.98,2.82,no,no,yes,F58E1.14,WBGene00019045,Sequence name for WBGene00019045(fbxb-47). History: N.A.
C17H1.14,0,0,0.58,0,0,no,no,yes,C17H1.14,WBGene00044709,Sequence name for WBGene00044709(pals-12). History: N.A.
C17H1.13,0,0,0,0,0,no,no,yes,C17H1.13,WBGene00044708,Sequence name for WBGene00044708(pals-11). History: N.A.
ZK1053.3,0.17,0.38,0.14,0.61,0.23,no,no,yes,ZK1053.3,WBGene00014198,Public name for WBGene00014198. History: N.A.
ZK1053.4,10.93,9.53,12.69,11.5,13.66,no,no,yes,ZK1053.4,WBGene00014199,Public name for WBGene00014199. History: N.A.
ZK1053.5,0,0.57,0.43,1.21,1.39,no,no,yes,ZK1053.5,WBGene00014200,Sequence name for WBGene00014200(scrm-2). History: Renamed on 2007-05-03
ZK1053.6,0,0.3,0.69,0,0,no,no,yes,ZK1053.6,WBGene00014201,"Public name for WBGene00014201. History: Split into ZK1053.7(WBGene00044786). History of WBGene00014201: Split into ""WBGene00044786"" on 2006-03-16"
ZK1053.7,0,0,0,0,0,no,no,yes,ZK1053.7,WBGene00044786,Public name for WBGene00044786. History: N.A.
Y48G1BL.1,6.84,6.27,5.81,4.6,6.47,yes,no,yes,Y48G1BL.1,WBGene00021662,"Sequence name for WBGene00021662(snpc-3.3). History: Split into Y48G1BL.8(WBGene00255594). History of WBGene00021662: Split into ""WBGene00255594"" on 2014-09-03"
Y48G1BL.4,8.62,23.29,17.76,28.26,23.11,yes,no,yes,Y48G1BL.4,,Sequence name for Suppressed gene WBGene00021663. Molecular name for Suppressed gene WBGene00021663. Public name for Suppressed gene WBGene00021663. History of WBGene00021663: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y48G1BL.6,6,0.82,2.92,3.51,4.02,no,no,yes,Y48G1BL.6,WBGene00021664,"Public name for Dead gene WBGene00021665. History of WBGene00021665: Merged into ""WBGene00021664"" on 2013-10-17"
F47H4.10,1.41,0.77,2.95,2.48,0.95,no,no,yes,F47H4.10,WBGene00004811,Sequence name for WBGene00004811(skr-5). History: N.A.
K11H12.3,0.74,0.4,1.54,1.3,0.99,no,no,yes,K11H12.3,WBGene00019659,Public name for WBGene00019659. History: N.A.
K11H12.4,4.36,1.84,6.72,5.1,5.84,no,no,yes,K11H12.4,WBGene00019660,Public name for WBGene00019660. History: N.A.
ZC190.10,0,0,1.73,0,1.39,no,no,yes,ZC190.10,WBGene00022544,Public name for WBGene00022544. History: N.A.
T23D5.7,0,0,0,0,0,no,no,yes,T23D5.7,WBGene00006086,Sequence name for WBGene00006086(str-19). History: N.A.
T23D5.6,0,0,0,0,0,no,no,yes,T23D5.6,WBGene00006085,Sequence name for WBGene00006085(str-18). History: N.A.
T23D5.1,0,0,0,0,0,no,no,yes,T23D5.1,WBGene00006093,Sequence name for WBGene00006093(str-27). History: N.A.
T23D5.3,0,0,0,0,0,no,no,yes,T23D5.3,WBGene00011942,Public name for WBGene00011942. History: N.A.
T23D5.9,0,0,0,0,0,no,no,yes,T23D5.9,WBGene00006108,Sequence name for WBGene00006108(str-43). History: N.A.
Y94A7B.6,0.41,0,0,0,0,no,no,yes,Y94A7B.6,WBGene00005504,Sequence name for WBGene00005504(srh-300). History: N.A.
Y94A7B.7,0,0,0,0,0,no,no,yes,Y94A7B.7,WBGene00005507,Sequence name for WBGene00005507(srh-303). History: N.A.
Y94A7B.3,0,0,0,0,0,no,no,yes,Y94A7B.3,WBGene00005495,Sequence name for WBGene00005495(srh-291). History: N.A.
Y94A7B.1,0,0,0,0,0,no,no,yes,Y94A7B.1,WBGene00005496,Sequence name for WBGene00005496(srh-292). History: N.A.
K06B9.2,48.57,46.83,40.74,38.57,61.22,yes,no,yes,K06B9.2,WBGene00019439,Public name for WBGene00019439. History: N.A.
K06B9.4,19.15,20.28,20.27,13.83,49.22,yes,no,yes,K06B9.4,WBGene00019441,Public name for WBGene00019441. History: N.A.
C06E1.6,0,3.02,0,6.46,11.09,no,no,yes,C06E1.6,WBGene00015521,Sequence name for WBGene00015521(fipr-16). History: N.A.
T17A3.8,0.21,0.69,1.58,0.25,1.13,no,no,yes,T17A3.8,WBGene00006895,"Sequence name for WBGene00006895(ver-2). History: Split into sqst-5(WBGene00269434). History of WBGene00006895: Split into ""WBGene00269434"" on 2016-04-19"
D2096.1,17.35,204.26,113.04,9.65,441.89,yes,no,yes,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
T23F1.3,0,0,0,0,0,no,no,yes,T23F1.3,WBGene00011947,Public name for WBGene00011947. History: N.A.
T17A3.3,0.68,1.11,0.85,0.79,3.63,no,no,yes,T17A3.3,WBGene00020541,Sequence name for WBGene00020541(fbxb-81). History: N.A.
T23F1.6,0.39,0.43,0.33,0.46,0,no,no,yes,T23F1.6,WBGene00004153,Sequence name for WBGene00004153(pqn-71). History: N.A.
Y75B8A.32,0.27,0.6,2.06,0.64,1.47,no,no,yes,Y75B8A.32,WBGene00013562,Public name for WBGene00013562. History: N.A.
C16C8.19,0,0,0,0,0,no,no,yes,C16C8.19,WBGene00015856,Public name for WBGene00015856. History: N.A.
K02E2.8a,0.72,0,0.6,0,0,no,no,yes,K02E2.8a,WBGene00010509,Molecule name for WBGene00010509(K02E2.8). History: N.A.
K02F6.5,0.59,0,0.25,0,0.79,no,no,yes,K02F6.5,WBGene00019339,Public name for WBGene00019339. History: N.A.
F22F1.1,23.14,36.73,27.23,17.15,35.46,no,no,yes,F22F1.1,WBGene00001854,Sequence name for WBGene00001854(hil-3). History: Renamed on 2010-11-12
T05B9.2,0,0,0,0,0,no,no,yes,T05B9.2,WBGene00011465,Public name for WBGene00011465. History: N.A.
C06A5.4,7.18,2.73,8.08,4.02,3.76,yes,no,yes,C06A5.4,,Sequence name for Suppressed gene WBGene00015502. Molecular name for Suppressed gene WBGene00015502. History of WBGene00015502: Suppressed on 2013-10-17. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene....Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information. Therefore this is not a genetic map position based on recombination frequencies or genetic experiments. This was done on advice of the CGC.
C06A5.5,3.66,9.49,16.56,1.56,8.49,yes,no,yes,C06A5.5,,Sequence name for Suppressed gene WBGene00015503. Molecular name for Suppressed gene WBGene00015503. Public name for Suppressed gene WBGene00015503. History of WBGene00015503: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
M116.2,4.97,13.62,13.09,5.24,18,yes,no,yes,M116.2,WBGene00019789,Public name for WBGene00019789. History: N.A.
F58E1.8,0.9,0.98,0.75,1.05,3.01,no,no,yes,F58E1.8,WBGene00019039,Sequence name for WBGene00019039(fbxb-18). History: N.A.
F46B3.18,0,0,0,0,0,no,no,yes,F46B3.18,WBGene00050892,Sequence name for WBGene00050892(ttr-57). History: N.A.
Y51F10.7,121.83,166.39,149,190.66,133.46,no,no,yes,Y51F10.7,WBGene00021768,Public name for WBGene00021768. History: N.A.
Y51F10.8,0.67,0,0.56,0,0,no,no,yes,Y51F10.8,,Sequence name for Suppressed gene WBGene00021769. Molecular name for Suppressed gene WBGene00021769. Public name for Suppressed gene WBGene00021769. History of WBGene00021769: Killed on 2008-09-01; Suppressed on 2012-11-01. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y69A2AR.13,0.66,0.36,0.55,0,0.44,no,no,yes,Y69A2AR.13,WBGene00022083,"Public name for Dead gene WBGene00022084. History of WBGene00022084: Merged into ""WBGene00022083"" on 2011-08-15"
Y69A2AR.12,2.17,1.58,1.21,0.85,0,no,no,yes,Y69A2AR.12,WBGene00022083,Public name for WBGene00022083. History: N.A.
ZC53.4,0,0,0,0,0,no,no,yes,ZC53.4,WBGene00022511,Public name for WBGene00022511. History: N.A.
ZC53.7,17.29,19.94,14.83,16.52,21.36,no,no,yes,ZC53.7,WBGene00004352,"Sequence name for WBGene00004352(rgs-9). History: N.A.. Public name for Dead gene WBGene00022513. History of WBGene00022513: Merged into ""WBGene00004352"" on 2004-12-03"
ZC53.1,8.29,12.11,7.7,8.99,12.77,no,no,yes,ZC53.1,WBGene00022508,Public name for WBGene00022508. History: N.A.
Y6G8.2,0.88,1.36,1.47,0.86,0.78,no,no,yes,Y6G8.2,WBGene00012404,Public name for WBGene00012404. History: N.A.
Y6G8.3,14.39,10.81,18.55,24.8,14.61,no,no,yes,Y6G8.3,WBGene00012405,Sequence name for WBGene00012405(ztf-25). History: N.A.
Y49F6C.5,0.57,1.24,0.94,0,3.03,no,no,yes,Y49F6C.5,WBGene00021727,Sequence name for WBGene00021727(bath-23). History: N.A.
C40D2.2.1,5.17,5,5.39,5.45,5.23,no,no,yes,C40D2.2.1,WBGene00016555,Molecule name for WBGene00016555(math-20). History: N.A.
B0391.10,4.63,19.87,17.09,6.33,10.35,yes,no,yes,B0391.10,WBGene00007165,Public name for WBGene00007165. History: N.A.
