# Table S2. Genes with More Than 25 Reads per Million of Antisense 22G-RNAs in the fem-1 Oocyte Library
# Reads = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Normalized reads = reads per million, excluding reads considered to be degradation products
gene name,cosmid ID,fem-1 oocyte - Reads,fem-1 oocyte - Normalized reads,Input,Suggested Match,History
bath-20,B0047.1,1944.9958,853.094524831903,bath-20,WBGene00015012,Public name for WBGene00015012. History: N.A.
C10G11.7,C10G11.7,1902.9999,834.674704925151,C10G11.7,WBGene00015687,Sequence name for WBGene00015687(chdp-1). History: N.A.
ckk-1,C05H8.1,1880.4095,824.766330545236,ckk-1,WBGene00000518,Public name for WBGene00000518. History: N.A.
C44C10.5,C44C10.5,1880.0,824.586719767712,C44C10.5,WBGene00008086,Public name for WBGene00008086. History: N.A.
hmg-11,T05A7.4,1852.0,812.305640962661,hmg-11,WBGene00001976,Public name for WBGene00001976. History: N.A.
R02D5.1,R02D5.1,1759.5786,771.768694652906,R02D5.1,WBGene00010976,Public name for WBGene00010976. History: N.A.
top-2,K12D12.1,1746.9494,766.229401779879,top-2,WBGene00010785,Public name for WBGene00010785. History: Renamed on 2015-07-16
fbxb-97,C52E2.6,1742.1666,764.131618075994,fbxb-97,WBGene00016885,Public name for WBGene00016885. History: N.A.
B0303.7,B0303.7,1703.5,747.172062300158,B0303.7,WBGene00015128,Public name for WBGene00015128. History: N.A.
Y54F10BM.9,Y54F10BM.9,1702.4998,746.733364620844,Y54F10BM.9,WBGene00021863,Public name for WBGene00021863. History: N.A.
Y116F11A.1,Y116F11A.1,1670.5667,732.727188992645,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
pqn-65,T13H2.4,1669.5139,732.265420429575,pqn-65,WBGene00004148,Public name for WBGene00004148. History: N.A.
hlh-11,F58A4.7,1659.405,727.83155623199,hlh-11,WBGene00001955,Public name for WBGene00001955. History: N.A.
Y71A12B.17,Y71A12B.17,1621.75,711.315698288983,Y71A12B.17,WBGene00045058,Sequence name for WBGene00045058(gadr-5). History: N.A.
F13C5.2,F13C5.2,1611.2857,706.725952112565,F13C5.2,WBGene00017423,Public name for WBGene00017423. History: N.A.
unc-49,T21C12.1,1588.351,696.666564324343,unc-49,WBGene00006784,Public name for WBGene00006784. History: N.A.
C41A3.1,C41A3.1,1557.75,683.244661020295,C41A3.1,WBGene00016558,Sequence name for WBGene00016558(pks-1). History: N.A.
F49F1.8,F49F1.8,1550.5,680.064738829701,F49F1.8,WBGene00018648,Public name for WBGene00018648. History: N.A.
cul-1,D2045.6,1537.7533,674.473909286689,cul-1,WBGene00000836,Public name for WBGene00000836. History: N.A.
F54D10.3,F54D10.3,1519.0,666.248525174019,F54D10.3,WBGene00018804,Sequence name for WBGene00018804(lido-15). History: N.A.
ceh-20,F31E3.1,1499.0,657.476326027554,ceh-20,WBGene00000443,Public name for WBGene00000443. History: N.A.
rcn-1,F54E7.7,1480.5,649.362041817073,rcn-1,WBGene00004321,Other name for WBGene00004321(rcan-1). History: Renamed on 2015-09-03
T28F2.4,T28F2.4,1475.5,647.168992030457,T28F2.4,WBGene00020902,Sequence name for WBGene00020902(jmjc-1). History: N.A.
nhr-1,R09G11.2,1462.5804,641.502326825824,nhr-1,WBGene00003600,Public name for WBGene00003600. History: N.A.
pyr-1,D2085.1,1459.2024,640.020702389986,pyr-1,WBGene00004259,Public name for WBGene00004259. History: N.A.
F43E2.1,F43E2.1,1447.4999,634.88786936441,F43E2.1,WBGene00018390,Public name for WBGene00018390. History: N.A.
aex-6,Y87G2A.4,1446.8142,634.587114516674,aex-6,WBGene00000089,Public name for WBGene00000089. History: Renamed on 2006-08-30
F55C9.3,F55C9.3,1435.3333,629.551477457641,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
C34F6.7,C34F6.7,1419.5,622.606834420355,C34F6.7,WBGene00007941,Public name for WBGene00007941. History: N.A.
F43E2.6,F43E2.6,1414.6167,620.464970415758,F43E2.6,WBGene00018394,Public name for WBGene00018394. History: N.A.
frm-1,ZK270.2,1409.12339999999,618.05555433719,frm-1,WBGene00001488,Public name for WBGene00001488. History: N.A.
K08B4.5,K08B4.5,1394.5,611.641585487274,K08B4.5,WBGene00019517,Public name for WBGene00019517. History: N.A.
Y46H3C.6,Y46H3C.6,1385.0,607.474790892703,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
B0284.3,B0284.3,1383.3287,606.741742071029,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
Y71G12B.23,Y71G12B.23,1357.0833,595.230248297097,Y71G12B.23,WBGene00022158,"Public name for WBGene00022158. History: Split into Y71G12B.35(WBGene00185098). History of WBGene00022158: Split into ""WBGene00185098"" on 2009-03-13"
gsa-1,R06A10.2,1356.3237,594.897080173514,gsa-1,WBGene00001745,Public name for WBGene00001745. History: N.A.
ama-1,F36A4.7,1348.5741,591.498028448242,ama-1,WBGene00000123,Public name for WBGene00000123. History: Renamed on 2007-10-04
eat-16,C16C2.2,1346.5833,590.624843745203,eat-16,WBGene00001145,Public name for WBGene00001145. History: N.A.
pxd-1,C36E8.3,1344.0,589.49178264245,pxd-1,WBGene00007982,Public name for WBGene00007982. History: N.A.
tag-53,F33C8.1,1337.9166,586.823542828069,tag-53,WBGene00006432,Other name for WBGene00006432(atrn-1). History: Renamed on 2018-06-07
cdh-12,Y71D11A.1,1331.5,584.009158175909,cdh-12,WBGene00022103,Public name for WBGene00022103. History: N.A.
Y71G12B.28,Y71G12B.28,1315.0,576.772093880075,Y71G12B.28,WBGene00022163,Public name for WBGene00022163. History: N.A.
C06B8.7,C06B8.7,1313.5,576.11417894409,C06B8.7,WBGene00007372,Public name for WBGene00007372. History: N.A.
lin-13,C03B8.4,1305.8333,572.75148798428,lin-13,WBGene00003002,Public name for WBGene00003002. History: N.A.
F23D12.5,F23D12.5,1305.6666,572.678371704395,F23D12.5,WBGene00009089,Sequence name for WBGene00009089(jmjd-3.2). History: N.A.
C30G12.1,C30G12.1,1294.4762,567.770150837964,C30G12.1,WBGene00016273,Public name for WBGene00016273. History: N.A.
Y94H6A.10,Y94H6A.10,1290.0,565.806844946994,Y94H6A.10,WBGene00022382,Public name for WBGene00022382. History: N.A.
AC8.3,AC8.3,1286.0833,564.088941327146,AC8.3,WBGene00007075,Public name for WBGene00007075. History: N.A.
AC8.10,AC8.10,1286.0833,564.088941327146,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
C40A11.10,C40A11.10,1286.0,564.052405117701,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
top-1,M01E5.5,1271.6179,557.744272850482,top-1,WBGene00006595,Public name for WBGene00006595. History: N.A.
uaf-2,Y116A8C.35,1249.2096,547.915769343796,uaf-2,WBGene00006698,Public name for WBGene00006698. History: N.A.
cdt-1,Y54E10A.15,1222.332,536.126986354844,cdt-1,WBGene00000413,Public name for WBGene00000413. History: N.A.
C50F7.6,C50F7.6,1218.7,534.533954989846,C50F7.6,WBGene00016846,Public name for WBGene00016846. History: N.A.
ubc-19,Y69H2.6,1213.6666,532.326255630655,ubc-19,WBGene00006714,Public name for WBGene00006714. History: N.A.
F59C12.4,F59C12.4,1204.0,528.086388617194,F59C12.4,WBGene00045272,Public name for WBGene00045272. History: N.A.
psa-1,Y113G7B.23,1203.0606,527.674358423285,psa-1,WBGene00004203,Other name for WBGene00004203(swsn-1). History: Renamed on 2011-02-11
C33D9.6,C33D9.6,1199.8333,526.258832508016,C33D9.6,WBGene00007900,Public name for WBGene00007900. History: N.A.
F39F10.4,F39F10.4,1199.0,525.893338830578,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
mca-3,Y67D8C.10,1196.4127,524.758523287996,mca-3,WBGene00003153,Public name for WBGene00003153. History: Renamed on 2007-10-09
mcm-5,R10E4.4,1188.5,521.287934278684,mcm-5,WBGene00003157,Public name for WBGene00003157. History: N.A.
C46C2.3,C46C2.3,1184.5,519.533494449391,C46C2.3,WBGene00008111,Public name for WBGene00008111. History: N.A.
H35N09.2,H35N09.2,1158.0,507.910330580325,H35N09.2,WBGene00019266,Public name for WBGene00019266. History: N.A.
sdz-26,R06A4.6,1149.5,504.182145943077,sdz-26,WBGene00011049,Public name for WBGene00011049. History: N.A.
F44F1.4,F44F1.4,1145.5,502.427706113784,F44F1.4,WBGene00009696,Public name for WBGene00009696. History: N.A.
hil-3,F22F1.1,1129.75,495.519599285943,hil-3,WBGene00001854,Public name for WBGene00001854. History: Renamed on 2010-11-12
Y56A3A.5,Y56A3A.5,1105.0,484.664002842193,Y56A3A.5,WBGene00013226,"Sequence name for WBGene00013226(faah-5). History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
F47H4.1,F47H4.1,1103.2333,483.88911063059,F47H4.1,WBGene00009834,Sequence name for WBGene00009834(lsy-27). History: N.A.
fbxa-67,T12B5.11,1102.9166,483.750202857105,fbxa-67,WBGene00020457,Public name for WBGene00020457. History: N.A.
vet-6,F44F1.7,1099.9166,482.434372985136,vet-6,WBGene00006902,Public name for WBGene00006902. History: N.A.
Y48G1BM.8,Y48G1BM.8,1097.4166,481.337848091827,Y48G1BM.8,WBGene00021673,Public name for WBGene00021673. History: N.A.
F52G3.4,F52G3.4,1081.0,474.137363866435,F52G3.4,WBGene00018712,Public name for WBGene00018712. History: N.A.
mcm-2,Y17G7B.5,1072.2515,470.300184654792,mcm-2,WBGene00003154,Public name for WBGene00003154. History: N.A.
W03H9.2,W03H9.2,1071.0787,469.785782896843,W03H9.2,WBGene00012228,Public name for WBGene00012228. History: N.A.
F33E2.5,F33E2.5,1063.0,466.242384634616,F33E2.5,WBGene00009361,Public name for WBGene00009361. History: N.A.
tsp-14,F39C12.3,1051.0,460.979065146737,tsp-14,WBGene00006640,Public name for WBGene00006640. History: N.A.
ZC53.6,ZC53.6,1047.5,459.443930296106,ZC53.6,WBGene00022512,Sequence name for WBGene00022512(dot-1.5). History: N.A.
irx-1,C36F7.1,1045.8768,458.731978613379,irx-1,WBGene00007984,Public name for WBGene00007984. History: N.A.
fbxa-203,W05F2.5,1037.5,455.057830722873,fbxa-203,WBGene00021037,Public name for WBGene00021037. History: N.A.
F28B4.1,F28B4.1,1030.5,451.98756102161,F28B4.1,WBGene00017890,Public name for WBGene00017890. History: N.A.
R04E5.8,R04E5.8,1028.8333,451.25652980574,R04E5.8,WBGene00019871,Public name for WBGene00019871. History: N.A.
fbxa-218,Y49E10.17,1020.0,447.382156469716,fbxa-218,WBGene00013036,Public name for WBGene00013036. History: N.A.
F55C9.5,F55C9.5,1011.3333,443.580855552583,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
ZK1073.1,ZK1073.1,1004.1,440.408258148277,ZK1073.1,WBGene00014213,Public name for WBGene00014213. History: N.A.
Y39G10AR.10,Y39G10AR.10,1000.9999,439.048523419579,Y39G10AR.10,WBGene00021468,Sequence name for WBGene00021468(epg-2). History: N.A.
K08D12.2,K08D12.2,997.3333,437.440316150057,K08D12.2,WBGene00019536,Sequence name for WBGene00019536(rpi-2). History: N.A.
col-71,Y49F6B.10,991.3929,434.834797559574,col-71,WBGene00000647,Public name for WBGene00000647. History: N.A.
K08F11.1,K08F11.1,991.0,434.662467707342,K08F11.1,WBGene00019541,Public name for WBGene00019541. History: N.A.
W03H9.3,W03H9.3,978.0,428.96053826214,W03H9.3,WBGene00012228,"Public name for Dead gene WBGene00012229. History of WBGene00012229: Merged into ""WBGene00012228"" on 2011-04-19"
K07E3.2,K07E3.2,975.6667,427.937129648717,K07E3.2,WBGene00019491,Public name for WBGene00019491. History: N.A.
xol-1,C18A11.5,975.5,427.864013368832,xol-1,WBGene00006962,Public name for WBGene00006962. History: N.A.
R11A8.1,R11A8.1,964.0,422.819998859614,R11A8.1,WBGene00011236,Public name for WBGene00011236. History: N.A.
F58H7.5,F58H7.5,960.5,421.284864008983,F58H7.5,WBGene00019070,Public name for WBGene00019070. History: N.A.
anc-1,ZK973.6,958.029300000004,420.201190387426,anc-1,WBGene00000140,Public name for WBGene00000140. History: N.A.
dpy-31,R151.5,950.0,416.679459457089,dpy-31,WBGene00006592,Public name for WBGene00006592. History: Renamed on 2005-06-13
M02F4.1,M02F4.1,949.25,416.350501989096,M02F4.1,WBGene00019735,Public name for WBGene00019735. History: N.A.
fbxb-14,W08F4.9,948.0,415.802239542442,fbxb-14,WBGene00021098,Public name for WBGene00021098. History: N.A.
Y55B1BR.3,Y55B1BR.3,937.5,411.196834990548,Y55B1BR.3,WBGene00021913,Sequence name for WBGene00021913(cec-8). History: N.A.
lin-1,C37F5.1,935.0166,410.107591022531,lin-1,WBGene00002990,Public name for WBGene00002990. History: Renamed on 2011-11-08
rrf-2,M01G12.12,925.0,405.714210524007,rrf-2,WBGene00004509,Public name for WBGene00004509. History: N.A.
tag-279,F18E9.5,920.0712,403.552389766353,tag-279,WBGene00017571,Other name for WBGene00017571(jmjd-3.1). History: Renamed on 2016-08-08
F34H10.3,F34H10.3,919.5,403.301855758729,F34H10.3,WBGene00009380,Public name for WBGene00009380. History: N.A.
hlh-30,W02C12.3,915.0917,401.368331483861,hlh-30,WBGene00020930,Public name for WBGene00020930. History: N.A.
div-1,R01H10.1,914.3333,401.035689692227,div-1,WBGene00001002,Public name for WBGene00001002. History: Renamed on 2013-04-26
ZC123.4,ZC123.4,913.0,400.450891036128,ZC123.4,WBGene00022519,Sequence name for WBGene00022519(cdk-14). History: N.A.
csp-1,Y48E1B.13,910.0,399.135061164159,csp-1,WBGene00000819,Public name for WBGene00000819. History: N.A.
F45D11.10,F45D11.10,906.5,397.599926313527,F45D11.10,WBGene00018456,Sequence name for WBGene00018456(fbxc-39). History: N.A.
fbxb-100,Y63D3A.2,903.5,396.284096441557,fbxb-100,WBGene00013403,Public name for WBGene00013403. History: N.A.
Y69A2AR.31,Y69A2AR.31,886.0198,388.617106665556,Y69A2AR.31,WBGene00022100,Public name for WBGene00022100. History: N.A.
sid-1,C04F5.1,878.0,385.099542529815,sid-1,WBGene00004795,Public name for WBGene00004795. History: Renamed on 2013-10-16
fbxb-24,Y56A3A.15,859.6661,377.058111433246,fbxb-24,WBGene00013234,Public name for WBGene00013234. History: N.A.
C53A5.13,C53A5.13,858.5,376.546648362011,C53A5.13,WBGene00008270,Public name for WBGene00008270. History: N.A.
Y105E8A.28,Y105E8A.28,858.3409,376.476865517801,Y105E8A.28,WBGene00013685,Public name for WBGene00013685. History: N.A.
ncl-1,ZK112.2,856.3005,375.581925760879,ncl-1,WBGene00003559,Public name for WBGene00003559. History: N.A.
lam-3,T22A3.8,854.5175,374.799884206971,lam-3,WBGene00002248,Public name for WBGene00002248. History: N.A.
pab-2,F18H3.3,853.6111,374.402328141653,pab-2,WBGene00003903,Public name for WBGene00003903. History: N.A.
M03C11.8,M03C11.8,850.0607,372.845087349173,M03C11.8,WBGene00010845,Public name for WBGene00010845. History: N.A.
K05C4.9,K05C4.9,845.8333,370.990907615585,K05C4.9,WBGene00010585,Public name for WBGene00010585. History: N.A.
fbxb-85,R17.1,840.5,368.651669130193,fbxb-85,WBGene00011267,Public name for WBGene00011267. History: N.A.
srh-1,T11F9.18,831.3333,364.631063234398,srh-1,WBGene00005227,Public name for WBGene00005227. History: N.A.
tir-1,F13B10.1,829.0,363.607654620975,tir-1,WBGene00006575,Public name for WBGene00006575. History: Renamed on 2005-11-09
puf-4,M4.2,826.0,362.291824749006,puf-4,WBGene00004240,Public name for WBGene00004240. History: N.A.
Y48G1C.6,Y48G1C.6,823.5,361.195299855697,Y48G1C.6,WBGene00021679,Public name for WBGene00021679. History: N.A.
T11F9.10,T11F9.10,822.0,360.537384919713,T11F9.10,WBGene00011712,Public name for WBGene00011712. History: N.A.
pbrm-1,C26C6.1,818.75,359.111902558412,pbrm-1,WBGene00007042,Public name for WBGene00007042. History: Renamed on 2007-08-01
bath-10,Y49F6C.4,809.8666,355.215554863527,bath-10,WBGene00021726,Public name for WBGene00021726. History: N.A.
F11C1.1,F11C1.1,808.6,354.660011491581,F11C1.1,WBGene00008690,Public name for WBGene00008690. History: N.A.
zig-5,Y48A6A.1,808.5,354.616150495849,zig-5,WBGene00006982,Public name for WBGene00006982. History: N.A.
T05F1.13,T05F1.13,806.0,353.51962560254,T05F1.13,WBGene00011497,Public name for WBGene00011497. History: N.A.
C29F9.1,C29F9.1,804.0,352.642405687894,C29F9.1,WBGene00016216,Sequence name for WBGene00016216(pals-22). History: N.A.
Y56A3A.33,Y56A3A.33,802.0,351.765185773247,Y56A3A.33,WBGene00013244,Public name for WBGene00013244. History: N.A.
Y57G11C.31,Y57G11C.31,800.8333,351.253459536038,Y57G11C.31,WBGene00013321,Public name for WBGene00013321. History: N.A.
Y48G1BM.5,Y48G1BM.5,798.364300000001,350.170531551408,Y48G1BM.5,WBGene00021671,"Public name for Dead gene WBGene00021670. History of WBGene00021670: Merged into ""WBGene00021671"" on 2009-01-09"
F32B6.9,F32B6.9,796.25,349.243178518639,F32B6.9,WBGene00009323,Sequence name for WBGene00009323(best-13). History: N.A.
Y46G5A.4,Y46G5A.4,792.7499,347.707999807012,Y46G5A.4,WBGene00012896,Sequence name for WBGene00012896(snrp-200). History: Renamed on 2005-03-17
glit-1,F55D10.3,786.0,344.747426456075,glit-1,WBGene00018878,Public name for WBGene00018878. History: Renamed on 2019-05-20
ZK892.6,ZK892.6,780.8333,342.481260389573,ZK892.6,WBGene00014130,Public name for WBGene00014130. History: N.A.
maa-1,C18D11.2,777.5,341.019241818828,maa-1,WBGene00007680,Public name for WBGene00007680. History: N.A.
M02D8.3,M02D8.3,773.3333,339.191685709649,M02D8.3,WBGene00019729,Public name for WBGene00019729. History: N.A.
F22H10.4,F22H10.4,773.0,339.045497010873,F22H10.4,WBGene00017729,"Public name for Dead gene WBGene00017728. History of WBGene00017728: Merged into ""WBGene00017729"" on 2014-12-15"
Y111B2A.13,Y111B2A.13,765.2667,335.653594627905,Y111B2A.13,WBGene00013736,Sequence name for WBGene00013736(gtf-2A2). History: N.A.
Y44A6D.3,Y44A6D.3,761.5,334.001482501656,Y44A6D.3,WBGene00012854,Public name for WBGene00012854. History: N.A.
F02E11.4,F02E11.4,759.0,332.904957608348,F02E11.4,WBGene00017182,Public name for WBGene00017182. History: N.A.
fbxa-149,Y38H6C.10,756.5,331.80843271504,fbxa-149,WBGene00012623,Public name for WBGene00012623. History: N.A.
F55A3.5,F55A3.5,756.0,331.589127736378,F55A3.5,WBGene00018850,Sequence name for WBGene00018850(gpx-8). History: N.A.
klp-11,F20C5.2,755.5,331.369822757716,klp-11,WBGene00002222,"Public name for WBGene00002222. History: Split into F20C5.11(WBGene00303015). History of WBGene00002222: Split into ""WBGene00303015"" on 2018-03-06"
F41G4.7,F41G4.7,754.5,330.931212800393,F41G4.7,WBGene00018310,"Public name for WBGene00018310. History: Split into F41G4.13(WBGene00304806). History of WBGene00018310: Split into ""WBGene00304806"" on 2019-05-20"
T26E3.7,T26E3.7,754.0,330.711907821731,T26E3.7,WBGene00012040,Public name for WBGene00012040. History: N.A.
nhr-249,ZK381.3,753.0,330.273297864408,nhr-249,WBGene00022726,Public name for WBGene00022726. History: N.A.
K10C8.1,K10C8.1,752.0,329.834687907085,K10C8.1,WBGene00010734,Sequence name for WBGene00010734(parn-1). History: N.A.
T27F6.8,T27F6.8,744.4005,326.501471536407,T27F6.8,WBGene00012107,Public name for WBGene00012107. History: N.A.
tag-303,C52B11.2,737.5,323.474843525898,tag-303,WBGene00016871,Other name for WBGene00016871(inso-1). History: Renamed on 2013-04-16
Y42G9A.1,Y42G9A.1,737.5,323.474843525898,Y42G9A.1,WBGene00021531,Public name for WBGene00021531. History: N.A.
Y37E11B.2,Y37E11B.2,735.3331,322.524419609374,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
D1025.1,D1025.1,730.0,320.185268845973,D1025.1,WBGene00008353,Public name for WBGene00008353. History: N.A.
T28D9.4,T28D9.4,729.0,319.74665888865,T28D9.4,WBGene00020896,"Public name for WBGene00020896. History: Split into T28D9.16(WBGene00270303). History of WBGene00020896: Split into ""WBGene00270303"" on 2016-07-01"
skr-21,K08H2.1,728.8818,319.694815191694,skr-21,WBGene00004827,Public name for WBGene00004827. History: N.A.
C01A2.1,C01A2.1,726.787,318.776015053094,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
tam-1,F26G5.9,722.5,316.895694166049,tam-1,WBGene00006523,Public name for WBGene00006523. History: N.A.
Y66D12A.14,Y66D12A.14,719.3333,315.506748014193,Y66D12A.14,WBGene00013440,Sequence name for WBGene00013440(nrps-1). History: N.A.
C04G2.10,C04G2.10,716.5,314.26403442211,C04G2.10,WBGene00007309,Public name for WBGene00007309. History: N.A.
D2096.1,D2096.1,715.0,313.606119486125,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
sod-4,F55H2.1,711.7,312.158706626958,sod-4,WBGene00004933,Public name for WBGene00004933. History: N.A.
Y47D3B.11,Y47D3B.11,710.75,311.742027167501,Y47D3B.11,WBGene00023404,Sequence name for WBGene00023404(plr-1). History: N.A.
F17C11.17,F17C11.17,705.5,309.439324891554,F17C11.17,WBGene00077761,"Sequence name for WBGene00077761(zip-9). History: Split into F17C11.26(WBGene00303011). History of WBGene00077761: Split into ""WBGene00303011"" on 2018-03-06"
lin-35,C32F10.2,705.3333,309.366208611668,lin-35,WBGene00003020,Public name for WBGene00003020. History: N.A.
zfp-1,F54F2.2,703.5833,308.598641186352,zfp-1,WBGene00006975,Public name for WBGene00006975. History: N.A.
mai-1,K10B3.9,702.25,308.013842530253,mai-1,WBGene00003124,Public name for WBGene00003124. History: N.A.
rsp-3,Y111B2A.18,701.5084,307.688569385902,rsp-3,WBGene00004700,Public name for WBGene00004700. History: N.A.
T04D1.2,T04D1.2,701.0,307.465580083599,T04D1.2,WBGene00020212,Public name for WBGene00020212. History: N.A.
Y76B12C.8,Y76B12C.8,698.6667,306.442171470177,Y76B12C.8,WBGene00022302,Public name for WBGene00022302. History: N.A.
Y67H2A.7,Y67H2A.7,697.0,305.711140254306,Y67H2A.7,WBGene00013464,Public name for WBGene00013464. History: N.A.
Y53F4B.5,Y53F4B.5,693.5,304.176005403675,Y53F4B.5,WBGene00013152,Public name for WBGene00013152. History: N.A.
cwn-1,K10B4.6,693.5,304.176005403675,cwn-1,WBGene00000857,Public name for WBGene00000857. History: N.A.
Y71F9B.8,Y71F9B.8,693.25,304.066352914344,Y71F9B.8,WBGene00022129,Sequence name for WBGene00022129(lron-11). History: N.A.
dct-10,Y38H6C.5,690.5,302.860175531705,dct-10,WBGene00012618,Public name for WBGene00012618. History: N.A.
