# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
Ribosomal and translatin associated proteins present in IP-MS/MS data (identied by ontology analysis),Unnamed: 1,Input,Suggested Match,History
WBGene00021074,,WBGene00021074,WBGene00021074,History: N.A.
WBGene00021073,,WBGene00021073,WBGene00021073,History: Renamed on 2017-08-01; Renamed on 2020-06-01
WBGene00021021,,WBGene00021021,WBGene00021021,History: N.A.
WBGene00020915,,WBGene00020915,WBGene00020915,History: Renamed on 2017-08-01
WBGene00020718,,WBGene00020718,WBGene00020718,History: N.A.
WBGene00020297,,WBGene00020297,WBGene00020297,History: Renamed on 2005-03-17
WBGene00020269,,WBGene00020269,WBGene00020269,History: Renamed on 2013-11-11
WBGene00020037,,WBGene00020037,WBGene00020037,History: N.A.
WBGene00019698,,WBGene00019698,WBGene00019698,History: Renamed on 2019-07-02
WBGene00019678,,WBGene00019678,WBGene00019678,History: N.A.
WBGene00019543,,WBGene00019543,WBGene00019543,History: N.A.
WBGene00019168,,WBGene00019168,WBGene00019168,History: N.A.
WBGene00019162,,WBGene00019162,WBGene00019162,History: N.A.
WBGene00018961,,WBGene00018961,WBGene00018961,History: N.A.
WBGene00018898,,WBGene00018898,WBGene00018898,History: N.A.
WBGene00018893,,WBGene00018893,WBGene00018893,History: Renamed on 2015-02-09
WBGene00018891,,WBGene00018891,WBGene00018891,History: N.A.
WBGene00018866,,WBGene00018866,WBGene00018866,History: Renamed on 2015-03-05
WBGene00018846,,WBGene00018846,WBGene00018846,History: N.A.
WBGene00018762,,WBGene00018762,WBGene00018762,History: N.A.
WBGene00018612,,WBGene00018612,WBGene00018612,History: Renamed on 2017-03-13
WBGene00018339,,WBGene00018339,WBGene00018339,History: N.A.
WBGene00017319,,WBGene00017319,WBGene00017319,History: N.A.
WBGene00016607,,WBGene00016607,WBGene00016607,History: N.A.
WBGene00016496,,WBGene00016496,WBGene00016496,"History: Split into C37C3.18(WBGene00303000). History of WBGene00016496: Renamed on 2005-03-17; Split into ""WBGene00303000"" on 2018-03-06"
WBGene00016493,,WBGene00016493,WBGene00016493,History: N.A.
WBGene00016057,,WBGene00016057,WBGene00016057,History: N.A.
WBGene00015941,,WBGene00015941,WBGene00015941,History: N.A.
WBGene00015920,,WBGene00015920,WBGene00015920,History: N.A.
WBGene00015809,,WBGene00015809,WBGene00015809,History: N.A.
WBGene00015525,,WBGene00015525,WBGene00015525,History: N.A.
WBGene00014224,,WBGene00014224,WBGene00014224,History: N.A.
WBGene00014083,,WBGene00014083,WBGene00014083,History: N.A.
WBGene00013958,,WBGene00013958,WBGene00013958,History: N.A.
WBGene00013892,,WBGene00013892,WBGene00013892,History: N.A.
WBGene00013324,,WBGene00013324,WBGene00013324,History: N.A.
WBGene00013204,,WBGene00013204,WBGene00013204,History: N.A.
WBGene00013143,,WBGene00013143,WBGene00013143,History: N.A.
WBGene00013129,,WBGene00013129,WBGene00013129,History: N.A.
WBGene00013004,,WBGene00013004,WBGene00013004,History: N.A.
WBGene00012992,,WBGene00012992,WBGene00012992,History: N.A.
WBGene00012978,,WBGene00012978,WBGene00012978,History: N.A.
WBGene00012964,,WBGene00012964,WBGene00012964,History: N.A.
WBGene00012950,,WBGene00012950,WBGene00012950,History: N.A.
WBGene00012929,,WBGene00012929,WBGene00012929,History: N.A.
WBGene00012830,,WBGene00012830,WBGene00012830,History: N.A.
WBGene00012768,,WBGene00012768,WBGene00012768,History: N.A.
WBGene00012738,,WBGene00012738,WBGene00012738,History: N.A.
WBGene00012714,,WBGene00012714,WBGene00012714,History: N.A.
WBGene00012692,,WBGene00012692,WBGene00012692,History: N.A.
WBGene00012676,,WBGene00012676,WBGene00012676,History: N.A.
WBGene00012652,,WBGene00012652,WBGene00012652,History: N.A.
WBGene00012556,,WBGene00012556,WBGene00012556,History: N.A.
WBGene00012478,,WBGene00012478,WBGene00012478,History: N.A.
WBGene00012465,,WBGene00012465,WBGene00012465,History: N.A.
WBGene00012244,,WBGene00012244,WBGene00012244,History: N.A.
WBGene00012059,,WBGene00012059,WBGene00012059,History: N.A.
WBGene00011944,,WBGene00011944,WBGene00011944,History: N.A.
WBGene00011759,,WBGene00011759,WBGene00011759,History: N.A.
WBGene00011334,,WBGene00011334,WBGene00011334,History: N.A.
WBGene00010905,,WBGene00010905,WBGene00010905,History: N.A.
WBGene00010896,,WBGene00010896,WBGene00010896,History: Renamed on 2005-03-17
WBGene00010771,,WBGene00010771,WBGene00010771,History: N.A.
WBGene00010732,,WBGene00010732,WBGene00010732,History: N.A.
WBGene00010627,,WBGene00010627,WBGene00010627,History: N.A.
WBGene00010624,,WBGene00010624,WBGene00010624,History: N.A.
WBGene00010560,,WBGene00010560,WBGene00010560,History: Renamed on 2017-01-09
WBGene00010556,,WBGene00010556,WBGene00010556,History: N.A.
WBGene00010478,,WBGene00010478,WBGene00010478,History: N.A.
WBGene00010405,,WBGene00010405,WBGene00010405,History: N.A.
WBGene00010096,,WBGene00010096,WBGene00010096,History: N.A.
WBGene00010094,,WBGene00010094,WBGene00010094,History: N.A.
WBGene00010044,,WBGene00010044,WBGene00010044,History: N.A.
WBGene00009993,,WBGene00009993,WBGene00009993,History: N.A.
WBGene00009711,,WBGene00009711,WBGene00009711,History: N.A.
WBGene00009305,,WBGene00009305,WBGene00009305,History: N.A.
WBGene00009246,,WBGene00009246,WBGene00009246,History: N.A.
WBGene00009211,,WBGene00009211,WBGene00009211,History: N.A.
WBGene00009189,,WBGene00009189,WBGene00009189,History: N.A.
WBGene00009132,,WBGene00009132,WBGene00009132,History: N.A.
WBGene00008920,,WBGene00008920,WBGene00008920,History: N.A.
WBGene00008769,,WBGene00008769,WBGene00008769,History: N.A.
WBGene00008670,,WBGene00008670,WBGene00008670,History: N.A.
WBGene00008480,,WBGene00008480,WBGene00008480,History: N.A.
WBGene00008456,,WBGene00008456,WBGene00008456,History: N.A.
WBGene00008455,,WBGene00008455,WBGene00008455,History: N.A.
WBGene00008452,,WBGene00008452,WBGene00008452,History: N.A.
WBGene00008428,,WBGene00008428,WBGene00008428,History: N.A.
WBGene00008151,,WBGene00008151,WBGene00008151,History: N.A.
WBGene00007859,,WBGene00007859,WBGene00007859,History: N.A.
WBGene00007731,,WBGene00007731,WBGene00007731,History: N.A.
WBGene00007712,,WBGene00007712,WBGene00007712,History: N.A.
WBGene00007708,,WBGene00007708,WBGene00007708,History: N.A.
WBGene00007617,,WBGene00007617,WBGene00007617,History: N.A.
WBGene00007564,,WBGene00007564,WBGene00007564,History: N.A.
WBGene00007413,,WBGene00007413,WBGene00007413,History: N.A.
WBGene00007111,,WBGene00007111,WBGene00007111,History: N.A.
WBGene00007001,,WBGene00007001,WBGene00007001,History: N.A.
WBGene00007000,,WBGene00007000,WBGene00007000,History: N.A.
WBGene00006725,,WBGene00006725,WBGene00006725,History: N.A.
WBGene00006497,,WBGene00006497,WBGene00006497,History: N.A.
WBGene00006489,,WBGene00006489,WBGene00006489,History: Renamed on 2011-09-30
WBGene00004499,,WBGene00004499,WBGene00004499,History: N.A.
WBGene00004497,,WBGene00004497,WBGene00004497,History: N.A.
WBGene00004496,,WBGene00004496,WBGene00004496,History: N.A.
WBGene00004495,,WBGene00004495,WBGene00004495,History: N.A.
WBGene00004494,,WBGene00004494,WBGene00004494,History: N.A.
WBGene00004493,,WBGene00004493,WBGene00004493,History: N.A.
WBGene00004492,,WBGene00004492,WBGene00004492,History: N.A.
WBGene00004491,,WBGene00004491,WBGene00004491,History: N.A.
WBGene00004490,,WBGene00004490,WBGene00004490,History: N.A.
WBGene00004489,,WBGene00004489,WBGene00004489,History: N.A.
WBGene00004488,,WBGene00004488,WBGene00004488,History: N.A.
WBGene00004487,,WBGene00004487,WBGene00004487,History: N.A.
WBGene00004486,,WBGene00004486,WBGene00004486,History: N.A.
WBGene00004485,,WBGene00004485,WBGene00004485,History: N.A.
WBGene00004484,,WBGene00004484,WBGene00004484,History: N.A.
WBGene00004483,,WBGene00004483,WBGene00004483,History: N.A.
WBGene00004482,,WBGene00004482,WBGene00004482,History: N.A.
WBGene00004481,,WBGene00004481,WBGene00004481,History: N.A.
WBGene00004480,,WBGene00004480,WBGene00004480,History: N.A.
WBGene00004479,,WBGene00004479,WBGene00004479,History: N.A.
WBGene00004478,,WBGene00004478,WBGene00004478,History: N.A.
WBGene00004477,,WBGene00004477,WBGene00004477,History: N.A.
WBGene00004476,,WBGene00004476,WBGene00004476,History: N.A.
WBGene00004475,,WBGene00004475,WBGene00004475,History: N.A.
WBGene00004474,,WBGene00004474,WBGene00004474,History: N.A.
WBGene00004473,,WBGene00004473,WBGene00004473,History: N.A.
WBGene00004472,,WBGene00004472,WBGene00004472,History: N.A.
WBGene00004471,,WBGene00004471,WBGene00004471,History: N.A.
WBGene00004470,,WBGene00004470,WBGene00004470,History: N.A.
WBGene00004469,,WBGene00004469,WBGene00004469,History: N.A.
WBGene00004456,,WBGene00004456,WBGene00004456,History: N.A.
WBGene00004453,,WBGene00004453,WBGene00004453,History: N.A.
WBGene00004452,,WBGene00004452,WBGene00004452,History: N.A.
WBGene00004450,,WBGene00004450,WBGene00004450,History: N.A.
WBGene00004449,,WBGene00004449,WBGene00004449,History: N.A.
WBGene00004448,,WBGene00004448,WBGene00004448,History: N.A.
WBGene00004447,,WBGene00004447,WBGene00004447,History: N.A.
WBGene00004446,,WBGene00004446,WBGene00004446,History: N.A.
WBGene00004445,,WBGene00004445,WBGene00004445,History: N.A.
WBGene00004444,,WBGene00004444,WBGene00004444,History: N.A.
WBGene00004443,,WBGene00004443,WBGene00004443,History: N.A.
WBGene00004441,,WBGene00004441,WBGene00004441,History: N.A.
WBGene00004440,,WBGene00004440,WBGene00004440,History: N.A.
WBGene00004439,,WBGene00004439,WBGene00004439,History: N.A.
WBGene00004438,,WBGene00004438,WBGene00004438,History: N.A.
WBGene00004437,,WBGene00004437,WBGene00004437,History: N.A.
WBGene00004436,,WBGene00004436,WBGene00004436,History: N.A.
WBGene00004435,,WBGene00004435,WBGene00004435,History: N.A.
WBGene00004434,,WBGene00004434,WBGene00004434,History: N.A.
WBGene00004433,,WBGene00004433,WBGene00004433,History: N.A.
WBGene00004432,,WBGene00004432,WBGene00004432,History: N.A.
WBGene00004431,,WBGene00004431,WBGene00004431,History: N.A.
WBGene00004430,,WBGene00004430,WBGene00004430,History: N.A.
WBGene00004429,,WBGene00004429,WBGene00004429,History: N.A.
WBGene00004428,,WBGene00004428,WBGene00004428,History: N.A.
WBGene00004427,,WBGene00004427,WBGene00004427,History: N.A.
WBGene00004426,,WBGene00004426,WBGene00004426,History: N.A.
WBGene00004425,,WBGene00004425,WBGene00004425,History: N.A.
WBGene00004424,,WBGene00004424,WBGene00004424,History: N.A.
WBGene00004422,,WBGene00004422,WBGene00004422,History: Renamed on 2005-09-09
WBGene00004421,,WBGene00004421,WBGene00004421,History: N.A.
WBGene00004420,,WBGene00004420,WBGene00004420,History: N.A.
WBGene00004419,,WBGene00004419,WBGene00004419,History: Renamed on 2005-03-17
WBGene00004418,,WBGene00004418,WBGene00004418,History: N.A.
WBGene00004417,,WBGene00004417,WBGene00004417,History: N.A.
WBGene00004416,,WBGene00004416,WBGene00004416,History: N.A.
WBGene00004415,,WBGene00004415,WBGene00004415,History: N.A.
WBGene00004414,,WBGene00004414,WBGene00004414,History: N.A.
WBGene00004410,,WBGene00004410,WBGene00004410,History: N.A.
WBGene00004409,,WBGene00004409,WBGene00004409,History: N.A.
WBGene00004315,,WBGene00004315,WBGene00004315,History: N.A.
WBGene00004185,,WBGene00004185,WBGene00004185,History: N.A.
WBGene00004090,,WBGene00004090,WBGene00004090,History: Renamed on 2018-07-02
WBGene00003559,,WBGene00003559,WBGene00003559,History: N.A.
WBGene00003119,,WBGene00003119,WBGene00003119,History: N.A.
WBGene00003063,,WBGene00003063,WBGene00003063,History: N.A.
WBGene00003062,,WBGene00003062,WBGene00003062,History: N.A.
WBGene00002083,,WBGene00002083,WBGene00002083,History: N.A.
WBGene00002078,,WBGene00002078,WBGene00002078,History: Renamed on 2008-01-30
WBGene00002066,,WBGene00002066,WBGene00002066,History: N.A.
WBGene00002065,,WBGene00002065,WBGene00002065,History: N.A.
WBGene00002064,,WBGene00002064,WBGene00002064,History: N.A.
WBGene00002062,,WBGene00002062,WBGene00002062,History: N.A.
WBGene00002061,,WBGene00002061,WBGene00002061,History: N.A.
WBGene00002060,,WBGene00002060,WBGene00002060,History: N.A.
WBGene00002059,,WBGene00002059,WBGene00002059,History: N.A.
WBGene00001423,,WBGene00001423,WBGene00001423,History: N.A.
WBGene00001234,,WBGene00001234,WBGene00001234,History: N.A.
WBGene00001233,,WBGene00001233,WBGene00001233,History: N.A.
WBGene00001232,,WBGene00001232,WBGene00001232,History: N.A.
WBGene00001231,,WBGene00001231,WBGene00001231,History: N.A.
WBGene00001230,,WBGene00001230,WBGene00001230,History: N.A.
WBGene00001229,,WBGene00001229,WBGene00001229,History: N.A.
WBGene00001228,,WBGene00001228,WBGene00001228,History: N.A.
WBGene00001227,,WBGene00001227,WBGene00001227,History: N.A.
WBGene00001226,,WBGene00001226,WBGene00001226,History: N.A.
WBGene00001225,,WBGene00001225,WBGene00001225,History: N.A.
WBGene00001209,,WBGene00001209,WBGene00001209,History: N.A.
WBGene00001167,,WBGene00001167,WBGene00001167,History: Renamed on 2010-08-03
WBGene00001166,,WBGene00001166,WBGene00001166,History: Renamed on 2010-08-03
WBGene00001001,,WBGene00001001,WBGene00001001,History: N.A.
WBGene00000933,,WBGene00000933,WBGene00000933,History: Renamed on 2018-06-07
WBGene00000772,,WBGene00000772,WBGene00000772,History: N.A.
WBGene00000480,,WBGene00000480,WBGene00000480,History: N.A.
WBGene00000276,,WBGene00000276,WBGene00000276,History: N.A.
WBGene00000079,,WBGene00000079,WBGene00000079,History: N.A.
