# Shown are DESeq2 fold-change values (vs rde-4) for all STGs in whole worm samples.  ""NaN"" stands for: not significatnly different compared to rde-4(-) sample (padjusted >0.1).
genes,P0 generation (Prgef-1::rde-4 worms),"rde-4(-), F1 of Prgef-1::rde-4 worms","rde-4(-), F3 of Prgef-1::rde-4 worms",Input,Suggested Match,History
gst-43,-1.012255082,-0.802827637,,gst-43,WBGene00001791,Public name for WBGene00001791. History: N.A.
Y94H6A.7,-1.006404669,-0.7574234749999998,-0.7910890369999999,Y94H6A.7,WBGene00022379,"Public name for WBGene00022379. History: Split into Y94H6A.12(WBGene00050885). History of WBGene00022379: Split into ""WBGene00050885"" on 2007-09-06"
ZK1320.11,-1.004978553,-0.778546391,-0.6399259379999999,ZK1320.11,WBGene00014259,Public name for WBGene00014259. History: N.A.
gcy-23,-1.004951089,-0.7709950899999999,-0.491594535,gcy-23,WBGene00001548,Public name for WBGene00001548. History: N.A.
T05A7.9,-0.998450707,,,T05A7.9,,Public name for Dead gene WBGene00020226. History of WBGene00020226: Killed on 2012-12-20. Remark: lack of evidence
Y71F9B.13,-0.972253831,-0.7235137959999999,,Y71F9B.13,WBGene00022131,Public name for WBGene00022131. History: N.A.
C24H11.5,-0.968715251,-0.757730972,-0.621121068,C24H11.5,WBGene00007702,Public name for WBGene00007702. History: N.A.
chs-2,-0.956678999,-0.895336773,-0.80082578,chs-2,WBGene00000497,Public name for WBGene00000497. History: N.A.. Other name for WBGene00000496(chs-1). History: N.A.
tsp-20,-0.956078206,-0.683914941,-0.611758205,tsp-20,WBGene00006646,Public name for WBGene00006646. History: N.A.
T25D3.3,-0.952117983,,,T25D3.3,WBGene00020797,Public name for WBGene00020797. History: N.A.
dyf-2,-0.938010198,-0.769165783,-0.856642561,dyf-2,WBGene00001118,Public name for WBGene00001118. History: N.A.
T16H12.13,-0.923748005,-1.003285549,-0.8650064269999999,T16H12.13,WBGene00194725,Public name for WBGene00194725. History: N.A.
mab-31,-0.906159514,-0.6589146129999999,-0.7198457849999998,mab-31,WBGene00021834,Public name for WBGene00021834. History: N.A.
pes-4,-0.894273206,-0.8979066049999999,-0.6345714449999998,pes-4,WBGene00003978,Public name for WBGene00003978. History: N.A.
vit-5,-0.885073684,,,vit-5,WBGene00006929,Public name for WBGene00006929. History: N.A.
kin-1,-0.884730641,-0.584308779,,kin-1,WBGene00002189,Public name for WBGene00002189. History: N.A.
F31E9.6,-0.878862639,-0.697753065,-0.547680696,F31E9.6,WBGene00009299,Public name for WBGene00009299. History: N.A.
C11D2.3,-0.874077498,,-1.185706135,C11D2.3,WBGene00015701,Public name for WBGene00015701. History: N.A.
Y87G2A.2,-0.871394511,-0.703718373,-0.7380486069999999,Y87G2A.2,WBGene00013594,Public name for WBGene00013594. History: N.A.
his-28,-0.868695689,,-0.7565966809999999,his-28,WBGene00001902,Public name for WBGene00001902. History: N.A.
C05D11.13,-0.857281636,-0.810414116,,C05D11.13,WBGene00015488,Public name for WBGene00015488. History: N.A.
lron-9,-0.854034653,-0.789435139,-0.8004017079999999,lron-9,WBGene00011971,Public name for WBGene00011971. History: N.A.
clec-238,-0.843271989,,,clec-238,WBGene00013622,Public name for WBGene00013622. History: N.A.
nhr-64,-0.820358707,-0.757908001,-0.687317601,nhr-64,WBGene00003654,Public name for WBGene00003654. History: N.A.
ham-1,-0.813800699,,-0.7551746569999999,ham-1,WBGene00001820,Public name for WBGene00001820. History: N.A.
Y77E11A.2,-0.805751707,-0.489068553,,Y77E11A.2,WBGene00022307,Sequence name for WBGene00022307(nadk-1). History: N.A.
H03A11.2,-0.803706335,,,H03A11.2,WBGene00010357,Public name for WBGene00010357. History: N.A.
gadr-6,-0.801143194,-0.693348991,,gadr-6,WBGene00009823,Public name for WBGene00009823. History: N.A.
fbxb-70,-0.7989408,,,fbxb-70,WBGene00014149,Public name for WBGene00014149. History: N.A.
vit-3,-0.788920027,,,vit-3,WBGene00006927,Public name for WBGene00006927. History: N.A.
daf-7,-0.785506325,,,daf-7,WBGene00000903,Public name for WBGene00000903. History: N.A.
C39B5.14,-0.785178159,-0.712749819,,C39B5.14,WBGene00189950,Public name for WBGene00189950. History: N.A.
E02H9.9,-0.774618878,-0.554842448,-0.645591717,E02H9.9,WBGene00017106,Public name for WBGene00017106. History: N.A.
B0454.9,-0.754158276,-0.655357556,-0.4078209529999999,B0454.9,WBGene00015200,Sequence name for WBGene00015200(lido-13). History: N.A.
Y62F5A.9,-0.753388699,,,Y62F5A.9,WBGene00013387,Public name for WBGene00013387. History: N.A.
Y54E5B.5,-0.75164154,,,Y54E5B.5,WBGene00014921,Public name for WBGene00014921. History: N.A.
C01B9.4,-0.735315247,,,C01B9.4,WBGene00194890,Public name for WBGene00194890. History: N.A.
Y39A1A.9,-0.731843829,,,Y39A1A.9,WBGene00012648,Public name for WBGene00012648. History: N.A.
ces-2,-0.730161391,,,ces-2,WBGene00000469,Public name for WBGene00000469. History: N.A.
ZK909.3,-0.728203016,-0.435120842,,ZK909.3,WBGene00014148,Public name for WBGene00014148. History: N.A.
fbxb-106,-0.725300821,-0.539253922,-0.648609408,fbxb-106,WBGene00017911,Public name for WBGene00017911. History: N.A.
C04E7.3,-0.719249816,,,C04E7.3,WBGene00015430,Public name for WBGene00015430. History: N.A.
B0361.9,-0.6902575,,,B0361.9,WBGene00015163,"Public name for WBGene00015163. History: Split into B0361.14(WBGene00303033). History of WBGene00015163: Split into ""WBGene00303033"" on 2018-03-02"
H16D19.5,-0.687263297,-0.5843850299999999,,H16D19.5,WBGene00195253,Public name for WBGene00195253. History: N.A.
Y38F1A.8,-0.684429823,-0.51834098,,Y38F1A.8,WBGene00012610,Public name for WBGene00012610. History: N.A.
T23G11.11,-0.683125581,-0.5255276429999999,,T23G11.11,WBGene00077728,Public name for WBGene00077728. History: N.A.
C09F5.1,-0.682994354,-0.494174449,,C09F5.1,WBGene00015647,Public name for WBGene00015647. History: N.A.
H19N07.3,-0.673154175,-0.758034816,,H19N07.3,WBGene00010407,Sequence name for WBGene00010407(scb-1). History: N.A.
B0454.8,-0.670623614,,,B0454.8,WBGene00015199,Public name for WBGene00015199. History: N.A.
duxl-1,-0.668575468,-0.5240770719999999,,duxl-1,WBGene00022554,Public name for WBGene00022554. History: Renamed on 2011-09-30; Renamed on 2011-10-14
W02D9.10,-0.666990422,,,W02D9.10,WBGene00012216,Public name for WBGene00012216. History: N.A.
Y48G1BL.5,-0.662435105,,-0.4759963159999999,Y48G1BL.5,WBGene00021664,Public name for WBGene00021664. History: N.A.
ser-3,-0.659151833,,-0.5529784389999999,ser-3,WBGene00004778,Public name for WBGene00004778. History: N.A.
T19D7.4,-0.657226762,,,T19D7.4,WBGene00020572,Sequence name for WBGene00020572(rund-1). History: N.A.
W08E12.8,-0.652915478,,,W08E12.8,WBGene00021089,Public name for WBGene00021089. History: N.A.
Y22D7AR.6,-0.647719613,,,Y22D7AR.6,WBGene00021260,Public name for WBGene00021260. History: N.A.
F44F1.6,-0.647660319,,,F44F1.6,WBGene00009698,Public name for WBGene00009698. History: N.A.
F25E5.1,-0.646080023,-0.604981129,-0.599869148,F25E5.1,WBGene00017782,Public name for WBGene00017782. History: N.A.
ceh-82,-0.645081146,,,ceh-82,WBGene00018433,Public name for WBGene00018433. History: N.A.
F48A11.2,-0.640430724,,,F48A11.2,WBGene00000497,"Public name for Dead gene WBGene00018583. History of WBGene00018583: Merged into ""WBGene00000497"" on 2015-04-30. Remark: F48A11.3 merged into F48A11.2 based on briggsae homology"
hpo-42,-0.63757304,-0.546049941,,hpo-42,WBGene00014516,Public name for WBGene00014516. History: N.A.
B0564.2,-0.62857764,-0.4254818249999999,,B0564.2,WBGene00007202,Public name for WBGene00007202. History: N.A.
Y37E3.13,-0.627022096,-0.679562687,-0.910905305,Y37E3.13,WBGene00021353,Sequence name for WBGene00021353(iglr-3). History: N.A.
C15F1.5,-0.623157749,-0.6137412359999999,-0.5652192759999999,C15F1.5,WBGene00015796,Public name for WBGene00015796. History: N.A.
unc-83,-0.608469079,,,unc-83,WBGene00006815,Public name for WBGene00006815. History: N.A.
pghm-1,-0.608098281,,,pghm-1,WBGene00022144,Public name for WBGene00022144. History: N.A.
F40E3.7,-0.607180504,,,F40E3.7,WBGene00077781,Public name for WBGene00077781. History: N.A.
rga-2,-0.590506466,-0.6043372,-0.538229378,rga-2,WBGene00013135,Public name for WBGene00013135. History: N.A.
Y37H2B.1,-0.586152447,,,Y37H2B.1,WBGene00012572,Public name for WBGene00012572. History: N.A.
F47B7.1,-0.585547919,,,F47B7.1,WBGene00018532,Public name for WBGene00018532. History: N.A.
fkb-5,-0.582888917,,,fkb-5,WBGene00001430,Public name for WBGene00001430. History: N.A.
his-31,-0.580224542,,,his-31,WBGene00001905,Public name for WBGene00001905. History: N.A.
C18B10.6,-0.573364947,,,C18B10.6,WBGene00015963,Public name for WBGene00015963. History: N.A.
F42G9.4,-0.565717451,,,F42G9.4,WBGene00018363,Sequence name for WBGene00018363(nlp-52). History: N.A.
C50F4.6,-0.563444367,,,C50F4.6,WBGene00001910,Public name for WBGene00001910. History: N.A.
Y116A8A.150,-0.562504201,,,Y116A8A.150,WBGene00219241,Public name for WBGene00219241. History: N.A.
anc-1,-0.561752502,,,anc-1,WBGene00000140,Public name for WBGene00000140. History: N.A.
clec-119,-0.541894567,,,clec-119,WBGene00018575,Public name for WBGene00018575. History: N.A.
stn-1,-0.541746227,,,stn-1,WBGene00006062,Public name for WBGene00006062. History: N.A.
cwn-1,-0.536307424,,,cwn-1,WBGene00000857,Public name for WBGene00000857. History: N.A.
let-805,-0.53185535,,,let-805,WBGene00002915,Public name for WBGene00002915. History: N.A.
pho-14,-0.522380853,,,pho-14,WBGene00020471,Public name for WBGene00020471. History: N.A.
Y48G1C.5,-0.518243758,,,Y48G1C.5,WBGene00021678,Public name for WBGene00021678. History: N.A.
rab-7,-0.51588821,,,rab-7,WBGene00004271,Public name for WBGene00004271. History: N.A.
F40D4.17,-0.505751078,,,F40D4.17,WBGene00194682,Public name for WBGene00194682. History: N.A.
nsy-4,-0.50118314,,,nsy-4,WBGene00021415,Public name for WBGene00021415. History: N.A.
C18D4.6,-0.490412227,-0.4935156179999999,-0.466766526,C18D4.6,WBGene00007675,Public name for WBGene00007675. History: N.A.
F02E11.4,-0.48814335,-0.3840645489999999,,F02E11.4,WBGene00017182,Public name for WBGene00017182. History: N.A.
Y48G1A.2,-0.467862992,,,Y48G1A.2,WBGene00021658,Public name for WBGene00021658. History: N.A.
vet-6,-0.467667159,,,vet-6,WBGene00006902,Public name for WBGene00006902. History: N.A.
F33E2.5,-0.467365381,,,F33E2.5,WBGene00009361,Public name for WBGene00009361. History: N.A.
C41H7.4,-0.465526213,,,C41H7.4,WBGene00016574,Sequence name for WBGene00016574(lido-11). History: N.A.
pmk-3,-0.463730024,-0.4832864989999999,,pmk-3,WBGene00004057,Public name for WBGene00004057. History: N.A.
F53C3.6,-0.459866375,,,F53C3.6,WBGene00018750,Public name for WBGene00018750. History: N.A.
C06B8.7,-0.45480837,-0.4612167839999999,,C06B8.7,WBGene00007372,Public name for WBGene00007372. History: N.A.
F08A8.8,-0.447444079,-0.505521357,,F08A8.8,WBGene00045468,Public name for WBGene00045468. History: N.A.
Y55F3BR.10,-0.441340345,-0.4057155089999999,,Y55F3BR.10,WBGene00044742,Public name for WBGene00044742. History: N.A.
ain-1,-0.432542178,,,ain-1,WBGene00015547,Public name for WBGene00015547. History: N.A.
F58E1.13,-0.414052245,-0.352885542,,F58E1.13,WBGene00019044,Public name for WBGene00019044. History: N.A.
T27F6.8,-0.412012296,,-0.3503661479999999,T27F6.8,WBGene00012107,Public name for WBGene00012107. History: N.A.
shw-1,-0.408396222,,-0.4283868889999999,shw-1,WBGene00008819,Public name for WBGene00008819. History: N.A.
Y23H5A.2,-0.401502613,,,Y23H5A.2,WBGene00021269,Public name for WBGene00021269. History: N.A.
puf-7,-0.398917099,,,puf-7,WBGene00004243,Public name for WBGene00004243. History: N.A.
Y71A12B.13,-0.383998241,,,Y71A12B.13,WBGene00013510,Public name for WBGene00013510. History: N.A.
H05C05.3,-0.381656692,,,H05C05.3,WBGene00019159,Public name for WBGene00019159. History: N.A.
C06A1.4,-0.379985236,,,C06A1.4,WBGene00014667,Public name for WBGene00014667. History: N.A.
F39B2.1,-0.379626453,,,F39B2.1,WBGene00009553,Sequence name for WBGene00009553(hinf-1). History: N.A.
F59C12.4,-0.373099082,,,F59C12.4,WBGene00045272,Public name for WBGene00045272. History: N.A.
seld-1,-0.369065579,,,seld-1,WBGene00012867,Public name for WBGene00012867. History: N.A.
Y82E9BR.22,-0.36536799,,,Y82E9BR.22,WBGene00022354,Public name for WBGene00022354. History: N.A.
cct-6,-0.36113769,,,cct-6,WBGene00000381,Public name for WBGene00000381. History: N.A.
bath-14,-0.358467812,-0.359129189,,bath-14,WBGene00015016,Public name for WBGene00015016. History: N.A.
Y39G10AR.11,-0.348935792,,-0.423678317,Y39G10AR.11,WBGene00021469,Public name for WBGene00021469. History: N.A.
W02B8.2,-0.336083662,,,W02B8.2,WBGene00012198,Public name for WBGene00012198. History: N.A.
Y25C1A.13,-0.335875471,-0.4848343339999999,-0.4505538399999999,Y25C1A.13,WBGene00021296,Public name for WBGene00021296. History: N.A.
H16D19.4,-0.331388535,-0.4129089559999999,,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
trx-2,-0.325934645,,,trx-2,WBGene00007099,Public name for WBGene00007099. History: N.A.
F09C8.2,-0.325083599,,,F09C8.2,WBGene00008622,Public name for WBGene00008622. History: N.A.
W04A8.2,-0.309578817,,,W04A8.2,WBGene00012237,Public name for WBGene00012237. History: N.A.
Y77E11A.1,-0.308223766,,,Y77E11A.1,WBGene00022306,Sequence name for WBGene00022306(hxk-3). History: N.A.
pqn-41,-0.305976701,,,pqn-41,WBGene00004128,Public name for WBGene00004128. History: N.A.
cec-8,-0.297893443,,,cec-8,WBGene00021913,Public name for WBGene00021913. History: N.A.
F31C3.3,-0.293672517,,,F31C3.3,WBGene00009285,Public name for WBGene00009285. History: N.A.
F32A11.5,-0.288021303,,,F32A11.5,WBGene00009310,Public name for WBGene00009310. History: N.A.
cpn-4,-0.288015382,,,cpn-4,WBGene00000780,Public name for WBGene00000780. History: N.A.
C29F9.1,-0.25700504,,,C29F9.1,WBGene00016216,Sequence name for WBGene00016216(pals-22). History: N.A.
madf-5,0.275950127,0.347181781,0.504391236,madf-5,WBGene00007242,Public name for WBGene00007242. History: N.A.
T07E3.2,0.288412606,,,T07E3.2,WBGene00020313,Public name for WBGene00020313. History: N.A.
C32D5.12,0.291200329,,,C32D5.12,WBGene00016319,Public name for WBGene00016319. History: Renamed on 2005-03-17
Y66D12A.14,0.329132285,,,Y66D12A.14,WBGene00013440,Sequence name for WBGene00013440(nrps-1). History: N.A.
C16C8.21,0.330203393,,,C16C8.21,WBGene00195071,Public name for WBGene00195071. History: N.A.
F29B9.12,0.361586047,,,F29B9.12,WBGene00044482,Public name for WBGene00044482. History: N.A.
frpr-15,0.37868405,,,frpr-15,WBGene00010735,Public name for WBGene00010735. History: N.A.
Y116A8C.25,0.380139992,,,Y116A8C.25,WBGene00013802,Public name for WBGene00013802. History: N.A.
C01F6.14,0.386827984,,,C01F6.14,WBGene00219207,Public name for WBGene00219207. History: N.A.
Y48C3A.1,0.388115091,,,Y48C3A.1,WBGene00012985,Public name for WBGene00012985. History: N.A.
Y41C4A.12,0.391624422,0.3717982349999999,0.390172519,Y41C4A.12,WBGene00012758,Public name for WBGene00012758. History: N.A.
tag-80,0.402982028,0.4650118959999999,0.435618436,tag-80,WBGene00018468,Other name for WBGene00018468(cla-1). History: Renamed on 2014-01-06; Renamed on 2017-04-28
T19A6.4,0.404879577,,,T19A6.4,WBGene00011829,Public name for WBGene00011829. History: N.A.
csb-1,0.408069587,,,csb-1,WBGene00000803,Public name for WBGene00000803. History: N.A.
Y105C5A.14,0.421531006,,,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
C16C8.20,0.42343141,,,C16C8.20,WBGene00195070,Public name for WBGene00195070. History: N.A.
fbxb-37,0.425195695,,,fbxb-37,WBGene00020537,"Public name for WBGene00020537. History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
B0205.5,0.430069561,,,B0205.5,WBGene00015020,Public name for WBGene00015020. History: N.A.
Y53G8AM.8,0.431497225,,,Y53G8AM.8,WBGene00021808,Public name for WBGene00021808. History: N.A.
T15B7.15,0.431731754,,,T15B7.15,WBGene00020527,Public name for WBGene00020527. History: N.A.
F16F9.4,0.433638123,,,F16F9.4,WBGene00017515,Public name for WBGene00017515. History: N.A.
tag-273,0.435838748,,0.535794987,tag-273,WBGene00013289,Public name for WBGene00013289. History: N.A.
Y73E7A.8,0.438135742,,,Y73E7A.8,WBGene00022274,Public name for WBGene00022274. History: N.A.
C38C3.3,0.440331323,,,C38C3.3,WBGene00016512,"Public name for WBGene00016512. History: Split into C38C3.10(WBGene00045390). History of WBGene00016512: Split into ""WBGene00045390"" on 2007-04-20"
Y23H5A.4,0.448713401,,,Y23H5A.4,WBGene00021271,Sequence name for WBGene00021271(spe-47). History: N.A.
gon-2,0.459322902,,,gon-2,WBGene00001651,Public name for WBGene00001651. History: N.A.
Y32G9A.2,0.469422101,0.488825575,,Y32G9A.2,WBGene00021301,Public name for WBGene00021301. History: N.A.
capg-1,0.483887765,,,capg-1,WBGene00009254,Public name for WBGene00009254. History: N.A.
lag-1,0.485900325,,,lag-1,WBGene00002245,Public name for WBGene00002245. History: N.A.
C39F7.5,0.504171369,,1.001536602,C39F7.5,WBGene00016540,Public name for WBGene00016540. History: N.A.
Y73F8A.35,0.506695815,,,Y73F8A.35,WBGene00013539,Public name for WBGene00013539. History: N.A.
F46C3.7,0.507418261,,,F46C3.7,WBGene00164974,Public name for WBGene00164974. History: N.A.
lrx-1,0.509541284,,,lrx-1,WBGene00003075,Public name for WBGene00003075. History: N.A.
Y17D7C.3,0.514179903,,,Y17D7C.3,WBGene00045366,Public name for WBGene00045366. History: N.A.
W05F2.4,0.515856023,0.43620603,0.365587735,W05F2.4,WBGene00021036,"Public name for WBGene00021036. History: Merged into ""WBGene00019363"" on 2004-12-23; Resurrected on 2005-09-13. History of Dead gene WBGene00019363: Killed on 2005-09-13; Merged into ""WBGene00021036"" on 2005-09-13. Remark: Killed in favour of W05F2.4 (WBGene00021036) which has an isoform (W05F2.4b) located entirely in clone W05F2 and therefore should be named with respect to the clone in which it appears."
got-1.3,0.51822172,,,got-1.3,WBGene00015771,Public name for WBGene00015771. History: N.A.
Y75B8A.33,0.525337917,0.522748847,0.50889795,Y75B8A.33,WBGene00013563,Public name for WBGene00013563. History: N.A.
Y102A5C.11,0.527422114,,,Y102A5C.11,WBGene00014956,Public name for WBGene00014956. History: N.A.
ZK795.2,0.527819435,,,ZK795.2,WBGene00014082,Public name for WBGene00014082. History: N.A.
B0348.5,0.534043602,0.489394922,,B0348.5,WBGene00015153,Sequence name for WBGene00015153(idpp-2). History: N.A.
mod-5,0.545803969,,,mod-5,WBGene00003387,Public name for WBGene00003387. History: N.A.
vhl-1,0.546452038,,0.6310575029999999,vhl-1,WBGene00006922,Public name for WBGene00006922. History: N.A.
K09B11.5,0.548119799,0.472579633,,K09B11.5,WBGene00010712,Public name for WBGene00010712. History: N.A.
sdc-3,0.554756451,0.5965837849999999,0.551933852,sdc-3,WBGene00004747,Public name for WBGene00004747. History: N.A.
Y116F11B.9,0.558053782,,,Y116F11B.9,WBGene00013825,Public name for WBGene00013825. History: N.A.
pan-1,0.566797649,0.418332613,,pan-1,WBGene00003915,Public name for WBGene00003915. History: N.A.
Y48A6B.9,0.575845237,,,Y48A6B.9,WBGene00012970,Public name for WBGene00012970. History: N.A.
Y41D4A.5,0.581239807,,,Y41D4A.5,WBGene00021507,Sequence name for WBGene00021507(ptpn-22). History: N.A.
unc-103,0.583974499,,0.5496595469999999,unc-103,WBGene00006830,Public name for WBGene00006830. History: N.A.
sma-3,0.585621141,,0.641655806,sma-3,WBGene00004857,Public name for WBGene00004857. History: N.A.
nhr-149,0.586781637,,,nhr-149,WBGene00015397,Public name for WBGene00015397. History: N.A.
T20D3.8,0.591029629,,,T20D3.8,WBGene00011860,Sequence name for WBGene00011860(pigc-1). History: N.A.
F23F12.3,0.597661891,,,F23F12.3,WBGene00017751,Public name for WBGene00017751. History: N.A.
unc-41,0.599948918,,,unc-41,WBGene00006777,Public name for WBGene00006777. History: Renamed on 2008-02-06
nhr-84,0.602341347,0.468637307,0.753312266,nhr-84,WBGene00003674,Public name for WBGene00003674. History: N.A.
C05D10.2,0.608471902,0.538494001,0.6562573379999999,C05D10.2,WBGene00015478,Sequence name for WBGene00015478(mapk-15). History: Renamed on 2018-05-24
pde-4,0.609246973,0.5181050019999999,0.541684944,pde-4,WBGene00020114,Public name for WBGene00020114. History: N.A.
K09H9.8,0.611024927,,,K09H9.8,WBGene00045387,Public name for WBGene00045387. History: N.A.
K07A9.3,0.614805941,,,K07A9.3,WBGene00019462,Sequence name for WBGene00019462(ccm-2). History: N.A.
math-43,0.616702022,,,math-43,WBGene00022432,Public name for WBGene00022432. History: N.A.
ida-1,0.618457562,,,ida-1,WBGene00002048,Public name for WBGene00002048. History: N.A.
egl-8,0.619959056,0.6158543709999998,0.6586518799999999,egl-8,WBGene00001177,Public name for WBGene00001177. History: N.A.
C31H5.5,0.631320331,,,C31H5.5,WBGene00007856,Public name for WBGene00007856. History: N.A.
Y57G11C.32,0.634390219,,,Y57G11C.32,WBGene00013322,Sequence name for WBGene00013322(talp-3). History: N.A.
T19B10.3,0.636618237,,,T19B10.3,WBGene00011832,Sequence name for WBGene00011832(bgal-1). History: N.A.
srx-12,0.638239337,0.531923698,,srx-12,WBGene00005903,Public name for WBGene00005903. History: N.A.
calf-1,0.640965371,0.5598284359999999,,calf-1,WBGene00007119,Public name for WBGene00007119. History: N.A.
F23C8.8,0.641877913,0.725913578,,F23C8.8,WBGene00017737,Public name for WBGene00017737. History: N.A.
F56D5.3,0.64228899,0.4888024149999999,,F56D5.3,WBGene00010148,Public name for WBGene00010148. History: N.A.
unc-73,0.642585748,0.5906767379999999,0.762408253,unc-73,WBGene00006805,Public name for WBGene00006805. History: Renamed on 2015-03-04
Y17D7C.1,0.651283755,,,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
Y54G2A.40,0.655707341,,0.5976511039999999,Y54G2A.40,WBGene00044495,Public name for WBGene00044495. History: N.A.
frm-8,0.662704389,0.6468291969999999,,frm-8,WBGene00001494,Public name for WBGene00001494. History: N.A.
F40A3.7,0.674410392,,,F40A3.7,WBGene00018222,Public name for WBGene00018222. History: N.A.
F26A3.4,0.675679955,0.4900776749999999,,F26A3.4,WBGene00009142,Public name for WBGene00009142. History: N.A.
C36A4.11,0.677915184,,,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
R186.1,0.693491397,,,R186.1,WBGene00011305,Sequence name for WBGene00011305(hrg-9). History: N.A.
snx-1,0.698579766,,,snx-1,WBGene00004927,Public name for WBGene00004927. History: Renamed on 2014-09-25
Y18H1A.14,0.69977616,0.641760863,0.587490899,Y18H1A.14,WBGene00044461,Public name for WBGene00044461. History: N.A.
ZK418.7,0.700059876,0.478514312,,ZK418.7,WBGene00022736,Public name for WBGene00022736. History: N.A.
lgc-7,0.702783917,,,lgc-7,WBGene00013300,Public name for WBGene00013300. History: N.A.
glb-18,0.703044975,,,glb-18,WBGene00009917,Public name for WBGene00009917. History: N.A.
nhr-104,0.703175538,,,nhr-104,WBGene00003694,Public name for WBGene00003694. History: N.A.
E01G4.5,0.710901202,,,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
ric-4,0.71176362,,,ric-4,WBGene00004364,Public name for WBGene00004364. History: Renamed on 2004-09-23
ZC504.1,0.722563178,,,ZC504.1,WBGene00013916,Public name for WBGene00013916. History: N.A.
