Gene Name,spermatogenic cell alignment counts,whole males alignment counts (set 1)_rrf-3; him-8 ,whole males alignment counts (set 1)_him-8 ,whole males alignment counts (set 2)_rrf-3; him-8,whole males alignment counts (set 2)_him-8 ,statistics (set 1)_P-value ,statistics (set 1)_fold change,statistics (set 2)_P-value ,statistics (set 2)_fold change,Input,Suggested Match,History
H16D19.4,3,7,918,25,703,8.33e-194,0.011953745,1.46e-147,0.020533915,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
F36A2.11,3,4,35,0,16,8.9e-06,0.179159797,3.17e-05,0.0,F36A2.11,WBGene00009458,Public name for WBGene00009458. History: N.A.
Y37E11B.2,2,21,4924,26,604,0.0,0.006685746,1.15e-125,0.024855556,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
E01G4.5,1,29,319,11,582,6.51e-44,0.142513475,1.43e-125,0.010913317,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
W04B5.1,1,5,380,4,298,4.24e-79,0.02062695,7.68e-66,0.007750519,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
K06B9.6,1,15,510,0,207,1.81e-96,0.046107301,2.91e-47,0.0,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
C36A4.11,1,9,420,0,89,2.31e-83,0.033592462,1.95e-21,0.0,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
W04B5.2,1,4,70,0,73,4.91e-13,0.089579899,6.43e-18,0.0,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
T08B6.2,1,1,304,0,72,3.3999999999999994e-67,0.005156738,1.07e-17,0.0,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
Y17D7B.4,1,2,238,0,63,1.25e-51,0.013173515,1.03e-15,0.0,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
F52D2.6,1,7,63,0,40,3.13e-09,0.174183136,1.27e-10,0.0,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
Y17D7C.1,1,0,23,0,16,8.1e-07,0.0,3.17e-05,0.0,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
C01G8.2,1,7,59,0,11,1.88e-08,0.185992162,0.000455474,0.0,C01G8.2,WBGene00000540,Sequence name for WBGene00000540(cln-3.2). History: N.A.
Y116A8A.3,1,2,22,5,15,0.000138304,0.142513475,0.001503231,0.192471228,Y116A8A.3,WBGene00013774,Sequence name for WBGene00013774(clec-193). History: N.A.
Y116A8A.1,1,2,21,5,15,0.000224621,0.149299831,0.001503231,0.192471228,Y116A8A.1,WBGene00013772,Sequence name for WBGene00013772(clec-192). History: N.A.
H09G03.1,0,4,1389,2,162,6.26e-300,0.004514466,8.82e-37,0.007128564,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
F39E9.7,0,0,223,0,141,9.76e-51,0.0,7.820000000000001e-33,0.0,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
ZK380.5,0,1,239,4,53,5.06e-53,0.006559198,3.05e-12,0.043578391,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
F55A4.4,0,0,120,0,34,3.14e-28,0.0,2.75e-09,0.0,F55A4.4,WBGene00018856,Public name for WBGene00018856. History: N.A.
Y43F8B.9,0,0,96,0,20,5.72e-23,0.0,3.87e-06,0.0,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
Y7A5A.8,0,0,37,0,19,5.9e-10,0.0,6.53e-06,0.0,Y7A5A.8,WBGene00012414,Public name for WBGene00012414. History: N.A.
M142.1,0,5,102,20,38,6.35e-19,0.076845501,3.78e-05,0.303901939,M142.1,WBGene00006843,Sequence name for WBGene00006843(unc-119). History: N.A.
C18D4.4,0,0,23,0,14,8.1e-07,0.0,9.14e-05,0.0,C18D4.4,WBGene00007674,"Public name for WBGene00007674. History: Split into C18D4.12(WBGene00219493). History of WBGene00007674: Split into ""WBGene00219493"" on 2012-05-18"
F07G6.6,0,1,13,0,14,0.001819761,0.120588325,9.14e-05,0.0,F07G6.6,WBGene00017225,Sequence name for WBGene00017225(fbxa-52). History: N.A.
Y26D4A.17,0,2,21,0,11,0.000224621,0.149299831,0.000455474,0.0,Y26D4A.17,WBGene00045234,Public name for WBGene00045234. History: N.A.
F39E9.6,0,0,8,0,10,0.00233878,0.0,0.000782579,0.0,F39E9.6,WBGene00018198,Public name for WBGene00018198. History: N.A.
Y46D2A.1,0,2,25,0,10,3.2e-05,0.125411858,0.000782579,0.0,Y46D2A.1,WBGene00021589,Public name for WBGene00021589. History: N.A.
Y9D1A.1,0,3,19,0,10,0.002684404,0.247523404,0.000782579,0.0,Y9D1A.1,WBGene00021186,Public name for WBGene00021186. History: N.A.
Y7A5A.3,0,0,77,0,8,8.52e-19,0.0,0.00233863,0.0,Y7A5A.3,WBGene00012409,"Public name for WBGene00012409. History: Split into Y7A5A.24(WBGene00304823). History of WBGene00012409: Split into ""WBGene00304823"" on 2019-07-25"
F14F7.5,0,1,182,0,8,1.3899999999999999e-40,0.008613452,0.00233863,0.0,F14F7.5,WBGene00008812,"Public name for WBGene00008812. History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
