# Supplementary File 5,Sheet 15: mRNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals exclusively at 25ºC for 10 generations  (not up-regulated at 20ºC or after a single generation at 25ºC).
Gene name,Input,Suggested Match,History
WBGene00018852,WBGene00018852,WBGene00018852,History: N.A.
WBGene00022018,WBGene00022018,WBGene00022018,History: N.A.
WBGene00017673,WBGene00017673,WBGene00017673,History: Renamed on 2015-04-29
WBGene00010451,WBGene00010451,WBGene00010451,History: N.A.
WBGene00016491,WBGene00016491,WBGene00016491,History: N.A.
WBGene00004245,WBGene00004245,WBGene00004245,History: N.A.
WBGene00016351,WBGene00016351,WBGene00016351,History: N.A.
WBGene00016322,WBGene00016322,WBGene00016322,History: N.A.
WBGene00015907,WBGene00015907,WBGene00015907,History: N.A.
WBGene00021886,WBGene00021886,WBGene00021886,History: N.A.
WBGene00010711,WBGene00010711,WBGene00010711,History: N.A.
WBGene00014672,WBGene00014672,WBGene00014672,History: N.A.
WBGene00010212,WBGene00010212,WBGene00010212,History: N.A.
WBGene00195071,WBGene00195071,WBGene00195071,History: N.A.
WBGene00004976,WBGene00004976,WBGene00004976,History: N.A.
WBGene00015094,WBGene00015094,WBGene00015094,History: N.A.
WBGene00013776,WBGene00013776,WBGene00013776,History: N.A.
WBGene00014814,WBGene00014814,WBGene00014814,History: N.A.
WBGene00044177,WBGene00044177,WBGene00044177,History: N.A.
WBGene00022298,WBGene00022298,WBGene00022298,History: N.A.
WBGene00021654,WBGene00021654,WBGene00021654,History: N.A.
WBGene00044213,WBGene00044213,WBGene00044213,History: N.A.
WBGene00020457,WBGene00020457,WBGene00020457,History: N.A.
WBGene00001032,WBGene00001032,WBGene00001032,History: N.A.
WBGene00019575,WBGene00019575,WBGene00019575,History: N.A.
WBGene00007454,WBGene00007454,WBGene00007454,History: N.A.
WBGene00013535,WBGene00013535,WBGene00013535,History: N.A.
WBGene00077636,WBGene00077636,WBGene00077636,History: N.A.
