gene,1: adareri,2: adareri,3: wt,4: wt,ave wt,ave adareri,adareri/wt,fold change,pvalue,gene name,seq name,Input,Suggested Match,History
WBGene00044167,17.96811704,37.03993313,4328.604646,7853.459154,6091.0319,27.50402508,0.004515495,0.004515495,3.87e-18,0,C36A4.11,WBGene00044167,WBGene00044167,History: N.A.
WBGene00044478,19.55353913,40.40719978,4241.844398,7233.141218,5737.492808,29.98036945,0.005225343,0.005225343,1.42e-17,0,K06B9.6,WBGene00044478,WBGene00044478,History: N.A.
WBGene00014562,17.43964301,15.71391103,2902.809732,2105.068144,2503.938938,16.57677702,0.00662028,0.00662028,1.45e-17,0,Y17D7B.7,WBGene00014562,WBGene00014562,History: N.A.
WBGene00194708,7.398636427,21.32602211,4633.833469,2803.970833,3718.902151,14.36232927,0.003861981,0.003861981,1.5e-17,0,Y36E3A.2,WBGene00194708,WBGene00194708,History: N.A.
WBGene00019174,16.38269494,23.57086654,2475.280319,3614.898593,3045.089456,19.97678074,0.006560326,0.006560326,1.97e-17,0,H09G03.1,WBGene00019174,WBGene00019174,"History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
WBGene00010507,56.54672126,118.9767549,11743.99256,15795.53516,13769.76386,87.76173809,0.006373511,0.006373511,2.7e-17,0,K02E2.6,WBGene00010507,WBGene00010507,History: N.A.
WBGene00170136,1515.663519,1694.857546,1.045304189,6.688064001,3.866684095,1605.260533,415.1517148,415.1517148,4.02e-17,21ur-11874,Y105C5A.905,WBGene00170136,WBGene00170136,History: N.A.
WBGene00044559,15.32574688,5.612111081,1894.09119,2855.803329,2374.947259,10.46892898,0.004408068,0.004408068,4.55e-17,0,ZK380.5,WBGene00044559,WBGene00044559,History: N.A.
WBGene00013643,8780.596016,9284.676572,75.2619016,85.27281602,80.26735881,9032.636294,112.5318738,112.5318738,4.58e-17,0,Y105C5A.24,WBGene00013643,WBGene00013643,History: N.A.
WBGene00171981,0.52847403,0,449.4808012,469.8364961,459.6586487,0.264237015,0.000574855,0.000574855,1.56e-16,21ur-9823,Y82E9BR.24,WBGene00171981,WBGene00171981,History: N.A.
WBGene00012819,3.699318213,4.489688865,693.0366772,998.1935522,845.6151147,4.094503539,0.004842042,0.004842042,1.97e-16,0,Y43F8B.9,WBGene00012819,WBGene00012819,History: N.A.
WBGene00219687,3.699318213,1.122422216,627.1825133,825.9759042,726.5792088,2.410870215,0.003318111,0.003318111,5.16e-16,linc-12,F34D6.11,WBGene00219687,WBGene00219687,History: N.A.
WBGene00018628,11.09795464,20.20359989,2991.660589,1575.039072,2283.34983,15.65077727,0.006854305,0.006854305,1.14e-15,0,F49D11.4,WBGene00018628,WBGene00018628,History: N.A.
WBGene00010102,5.284740305,7.856955513,946.0002909,919.6088002,932.8045456,6.570847909,0.007044185,0.007044185,1.28e-15,0,F55C9.5,WBGene00010102,WBGene00010102,History: N.A.
WBGene00195039,4.756266274,14.59148881,1363.076662,2588.280769,1975.678715,9.673877542,0.004896483,0.004896483,1.82e-15,0,K08A2.9,WBGene00195039,WBGene00195039,History: N.A.
WBGene00249814,4.756266274,14.59148881,1363.076662,2588.280769,1975.678715,9.673877542,0.004896483,0.004896483,1.82e-15,0,K08A2.17,WBGene00249814,WBGene00249814,History: N.A.
WBGene00195029,7.398636427,2.244844432,900.0069066,1090.154432,995.0806694,4.821740429,0.004845577,0.004845577,1.86e-15,0,Y37E11B.11,WBGene00195029,WBGene00195029,History: N.A.
WBGene00219307,13.21185076,39.28477757,3966.929397,3258.759185,3612.844291,26.24831416,0.007265277,0.007265277,5.64e-15,0,F56D6.17,WBGene00219307,WBGene00219307,History: N.A.
WBGene00017225,10.56948061,14.59148881,1141.472174,1516.518512,1328.995343,12.58048471,0.009466162,0.009466162,6.47e-15,fbxa-52,F07G6.6,WBGene00017225,WBGene00017225,History: N.A.
WBGene00269383,29.59454571,83.059244,6247.783137,6907.098098,6577.440617,56.32689485,0.008563649,0.008563649,1.29e-14,0,ZK384.7,WBGene00269383,WBGene00269383,History: N.A.
WBGene00219660,7.927110457,8.979377729,796.5217919,1028.28984,912.4058161,8.453244093,0.009264785,0.009264785,1.58e-14,linc-19,C44B11.8,WBGene00219660,WBGene00219660,History: N.A.
WBGene00219699,1261.995985,1766.692568,105528.6844,112361.1472,108944.9158,1514.344276,0.013900091,0.013900091,1.67e-14,linc-22,F47E1.18,WBGene00219699,WBGene00219699,History: N.A.
WBGene00195031,2.113896122,6.734533297,624.0466008,1172.083216,898.0649085,4.424214709,0.004926386,0.004926386,1.72e-14,0,Y37E3.23,WBGene00195031,WBGene00195031,History: N.A.
WBGene00269426,1.585422091,0,365.8564661,438.0681921,401.9623291,0.792711046,0.001972103,0.001972103,1.95e-14,0,C49G7.14,WBGene00269426,WBGene00269426,History: N.A.
WBGene00012452,62.35993559,89.79377729,4953.696551,6820.153266,5886.924908,76.07685644,0.012923021,0.012923021,2.62e-14,0,Y17D7B.4,WBGene00012452,WBGene00012452,History: N.A.
WBGene00010100,7.398636427,22.44844432,1902.453624,1792.401152,1847.427388,14.92354037,0.008078012,0.008078012,3.35e-14,0,F55C9.3,WBGene00010100,WBGene00010100,History: N.A.
WBGene00219617,1.585422091,1.122422216,282.232131,458.1323841,370.1822575,1.353922154,0.003657447,0.003657447,1e-13,linc-25,Y17D7C.10,WBGene00219617,WBGene00219617,History: N.A.
WBGene00014888,3.699318213,6.734533297,493.3835771,2123.46032,1308.421949,5.216925755,0.003987189,0.003987189,1.24e-13,0,Y43F8B.8,WBGene00014888,WBGene00014888,History: N.A.
WBGene00016635,258.4238009,269.3813319,14982.34494,16220.22722,15601.28608,263.9025664,0.016915437,0.016915437,1.35e-13,0,C44B11.6,WBGene00016635,WBGene00016635,History: N.A.
WBGene00170306,4.227792244,13.46906659,1550.186112,871.1203362,1210.653224,8.848429419,0.007308806,0.007308806,1.67e-13,21ur-9719,F47E1.6,WBGene00170306,WBGene00170306,History: N.A.
WBGene00219688,17.96811704,29.18297762,1396.526396,2573.232625,1984.87951,23.57554733,0.011877571,0.011877571,2.34e-13,linc-21,F36A4.21,WBGene00219688,WBGene00219688,History: N.A.
WBGene00167100,5.813214335,5.612111081,734.8488448,464.8204481,599.8346464,5.712662708,0.009523729,0.009523729,3.4e-13,21ur-11898,Y54F10BM.16,WBGene00167100,WBGene00167100,History: N.A.
WBGene00174006,5.813214335,5.612111081,732.7582364,463.1484321,597.9533342,5.712662708,0.009553693,0.009553693,3.55e-13,21ur-10824,Y54F10BM.18,WBGene00174006,WBGene00174006,History: N.A.
WBGene00235357,165.4123715,167.2409102,7773.927253,12247.5172,10010.72223,166.3266409,0.016614849,0.016614849,3.99e-13,0,Y37E11B.16,WBGene00235357,WBGene00235357,History: N.A.
WBGene00219707,235.6994176,305.2988428,14042.61647,16280.4198,15161.51813,270.4991302,0.017841164,0.017841164,4.36e-13,linc-8,F59H5.6,WBGene00219707,WBGene00219707,History: N.A.
WBGene00018910,1367.690791,2908.195962,7.317129322,25.08024001,16.19868466,2137.943376,131.9825295,131.9825295,5.78e-13,0,F56A4.2,WBGene00018910,WBGene00018910,History: N.A.
WBGene00219493,31.1799678,38.16235535,2189.912276,1687.064144,1938.48821,34.67116157,0.017885671,0.017885671,1.99e-12,0,C18D4.12,WBGene00219493,WBGene00219493,History: N.A.
WBGene00021375,233.0570474,257.0346875,9836.312417,16414.18108,13125.24675,245.0458675,0.01866981,0.01866981,2.14e-12,0,Y37E11B.2,WBGene00021375,WBGene00021375,History: N.A.
WBGene00018199,28.00912361,68.46775519,2560.995263,6788.384961,4674.690112,48.2384394,0.010319067,0.010319067,2.24e-12,0,F39E9.7,WBGene00018199,WBGene00018199,History: N.A.
WBGene00195026,1.056948061,2.244844432,204.879621,770.7993762,487.8394986,1.650896247,0.003384097,0.003384097,2.67e-12,0,F39E9.19,WBGene00195026,WBGene00195026,History: N.A.
WBGene00016756,774.7429287,813.7561067,10.45304189,11.704112,11.07857695,794.2495177,71.69237724,71.69237724,3.35e-12,0,C49A9.2,WBGene00016756,WBGene00016756,History: N.A.
WBGene00219571,1.056948061,4.489688865,710.8068484,285.9147361,498.3607922,2.773318463,0.005564881,0.005564881,6.57e-12,linc-15,C49F5.10,WBGene00219571,WBGene00219571,History: N.A.
WBGene00195027,2.113896122,6.734533297,344.9503823,851.0561442,598.0032633,4.424214709,0.007398312,0.007398312,7.76e-12,0,F39E9.20,WBGene00195027,WBGene00195027,History: N.A.
WBGene00011487,658.478642,616.2097967,9.4077377,8.360080002,8.883908851,637.3442193,71.74141811,71.74141811,1e-11,0,T05E12.6,WBGene00011487,WBGene00011487,History: N.A.
WBGene00021222,363.0616589,1084.259861,2.090608378,6.688064001,4.38933619,723.6607599,164.8679273,164.8679273,1.09e-11,irld-53,Y19D10A.7,WBGene00021222,WBGene00021222,History: N.A.
WBGene00012199,2572.083106,1235.78686,34.49503823,28.42427201,31.45965512,1903.934983,60.51989368,60.51989368,1.29e-11,mltn-3,W02B8.3,WBGene00012199,WBGene00012199,History: N.A.
WBGene00235158,41.22097438,139.1803548,4931.745163,10712.60651,7822.175839,90.20066459,0.011531403,0.011531403,1.4e-11,0,Y37E3.30,WBGene00235158,WBGene00235158,History: N.A.
WBGene00004059,810.1506887,613.9649522,6.271825133,13.376128,9.823976568,712.0578205,72.48162855,72.48162855,2.19e-11,pmp-2,C44B7.9,WBGene00004059,WBGene00004059,History: N.A.
WBGene00003354,28.00912361,40.40719978,1187.465559,2733.746161,1960.60586,34.2081617,0.01744775,0.01744775,3.23e-11,mir-260,F39E9.13,WBGene00003354,WBGene00003354,History: N.A.
WBGene00219756,1.056948061,1.122422216,130.6630236,583.5335841,357.0983039,1.089685139,0.003051499,0.003051499,3.79e-11,linc-68,Y49F6A.10,WBGene00219756,WBGene00219756,History: N.A.
WBGene00021224,1398.342285,2941.868629,7.317129322,35.11233601,21.21473266,2170.105457,102.2923782,102.2923782,3.91e-11,clec-209,Y19D10A.9,WBGene00021224,WBGene00021224,History: N.A.
WBGene00219232,1666.278618,426.5204421,7.317129322,11.704112,9.510620662,1046.39953,110.0243157,110.0243157,4.21e-11,mir-5547,Y57A10A.42,WBGene00219232,WBGene00219232,History: N.A.
WBGene00235340,4089.332048,3521.038492,47.0386885,105.337008,76.18784826,3805.18527,49.94477934,49.94477934,4.21e-11,0,C45G7.13,WBGene00235340,WBGene00235340,History: N.A.
WBGene00022730,92.48295533,117.8543327,3695.150308,4491.034977,4093.092642,105.168644,0.025694176,0.025694176,5.67e-11,0,ZK402.3,WBGene00022730,WBGene00022730,History: N.A.
WBGene00008447,50.73350692,139.1803548,3679.470745,16049.68159,9864.576166,94.95693086,0.009626053,0.009626053,6.08e-11,0,E01G4.5,WBGene00008447,WBGene00008447,History: N.A.
WBGene00018856,5.284740305,4.489688865,231.0122257,817.6158242,524.314025,4.887214585,0.009321159,0.009321159,7.2e-11,0,F55A4.4,WBGene00018856,WBGene00018856,History: N.A.
WBGene00195037,6.341688366,11.22422216,444.2542803,581.8615681,513.0579242,8.782955264,0.017118838,0.017118838,8.39e-11,0,F59H5.4,WBGene00195037,WBGene00195037,History: N.A.
WBGene00194699,1.056948061,5.612111081,293.7304771,446.4282721,370.0793746,3.334529571,0.009010309,0.009010309,1.31e-10,0,Y43F8B.22,WBGene00194699,WBGene00194699,History: N.A.
WBGene00011166,331.3532171,355.8078425,2.090608378,5.016048001,3.553328189,343.5805298,96.69259677,96.69259677,1.31e-10,chil-22,R09D1.10,WBGene00011166,WBGene00011166,History: N.A.
WBGene00044728,24.3098054,40.40719978,985.7218501,2989.564609,1987.643229,32.35850259,0.016279834,0.016279834,1.35e-10,0,Y53F4B.45,WBGene00044728,WBGene00044728,History: N.A.
WBGene00009689,850.843189,845.1839288,14.63425864,21.736208,18.18523332,848.0135589,46.63198672,46.63198672,1.44e-10,0,F44E5.2,WBGene00009689,WBGene00009689,"History: Split into F44E5.15(WBGene00206377). History of WBGene00009689: Split into ""WBGene00206377"" on 2010-12-13"
WBGene00016038,7403.921167,11096.26603,28.2232131,172.217648,100.2204306,9250.093598,92.29748411,92.29748411,1.5e-10,cst-2,C24A8.4,WBGene00016038,WBGene00016038,History: Renamed on 2006-06-30
WBGene00016553,12.1549027,29.18297762,765.1626662,1840.889616,1303.026141,20.66894016,0.015862261,0.015862261,1.66e-10,mir-8199,C40A11.10,WBGene00016553,WBGene00016553,History: N.A.
WBGene00050910,5.813214335,5.612111081,265.507264,431.3801281,348.443696,5.712662708,0.016394794,0.016394794,3.2e-10,0,Y43F8B.17,WBGene00050910,WBGene00050910,"History: Split into Y43F8B.28(WBGene00219302). History of WBGene00050910: Split into ""WBGene00219302"" on 2011-10-17"
WBGene00000402,4136.89471,3571.547492,89.89616024,133.76128,111.8287201,3854.221101,34.4653958,34.4653958,3.6e-10,cdh-10,C45G7.5,WBGene00000402,WBGene00000402,"History: Split into C45G7.13(WBGene00235340). History of WBGene00000402: Split into ""WBGene00235340"" on 2013-09-12"
WBGene00021023,8.984058518,11.22422216,361.6752493,683.8545442,522.7648967,10.10414034,0.019328269,0.019328269,3.71e-10,0,W04B5.6,WBGene00021023,WBGene00021023,History: N.A.
WBGene00020817,12.1549027,13.46906659,402.4421127,938.0009762,670.2215445,12.81198465,0.019116044,0.019116044,3.98e-10,0,T25G12.11,WBGene00020817,WBGene00020817,History: N.A.
WBGene00174864,235.6994176,211.0153766,2.090608378,0,1.045304189,223.3573971,213.6769368,213.6769368,5.98e-10,21ur-13224,Y105C5A.1257,WBGene00174864,WBGene00174864,History: N.A.
WBGene00017472,7517.014609,11155.75441,65.8541639,265.8505441,165.852354,9336.384508,56.29334938,56.29334938,6.32e-10,cst-1,F14H12.4,WBGene00017472,WBGene00017472,History: N.A.
WBGene00077772,6.870162396,17.95875546,454.7073222,1019.92976,737.3185412,12.41445893,0.016837307,0.016837307,6.6e-10,0,T02G6.10,WBGene00077772,WBGene00077772,History: N.A.
WBGene00007132,718.7246814,707.1259962,20.90608378,15.048144,17.97711389,712.9253388,39.65738567,39.65738567,9.43e-10,pals-27,B0284.2,WBGene00007132,WBGene00007132,History: N.A.
WBGene00018917,362.0047109,1129.156749,4.181216755,15.048144,9.614680379,745.5807302,77.54607545,77.54607545,1.95e-09,irld-35,F56A4.9,WBGene00018917,WBGene00018917,History: N.A.
WBGene00219443,2.642370152,8.979377729,228.9216174,725.6549442,477.2882808,5.810873941,0.012174768,0.012174768,2.01e-09,0,Y57G11C.1144,WBGene00219443,WBGene00219443,History: N.A.
WBGene00219455,2.642370152,8.979377729,292.6851729,407.9719041,350.3285385,5.810873941,0.016586927,0.016586927,2.23e-09,0,Y43F8B.29,WBGene00219455,WBGene00219455,History: N.A.
WBGene00020352,61.83146156,43.77446643,1666.214877,1422.885616,1544.550247,52.802964,0.034186628,0.034186628,3.02e-09,0,T08B6.2,WBGene00020352,WBGene00020352,History: N.A.
WBGene00018874,412.7382178,342.3387759,9.4077377,6.688064001,8.047900851,377.5384969,46.91142496,46.91142496,3.18e-09,tag-234,F55C12.7,WBGene00018874,WBGene00018874,History: N.A.
WBGene00045382,24.3098054,32.55024427,737.9847573,1045.01,891.4973788,28.43002484,0.031890195,0.031890195,3.61e-09,0,T05E12.8,WBGene00045382,WBGene00045382,History: N.A.
WBGene00023036,316.5559442,448.9688865,8466.96393,12754.13805,10610.55099,382.7624154,0.036073755,0.036073755,3.75e-09,0,F39E9.10,WBGene00023036,WBGene00023036,History: N.A.
WBGene00022729,28.00912361,29.18297762,821.6090924,866.1042882,843.8566903,28.59605062,0.033887331,0.033887331,3.75e-09,0,ZK402.2,WBGene00022729,WBGene00022729,History: N.A.
WBGene00018688,10.04100658,7.856955513,284.3227394,469.8364961,377.0796177,8.948981046,0.023732338,0.023732338,3.98e-09,0,F52D2.6,WBGene00018688,WBGene00018688,"History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
WBGene00017104,28.53759765,12.34664438,538.3316573,1250.667968,894.4998128,20.44212101,0.022853131,0.022853131,5.01e-09,0,E02H9.6,WBGene00017104,WBGene00017104,History: N.A.
WBGene00020027,6688.36733,4331.427332,128.5724152,244.1143361,186.3433756,5509.897331,29.56851732,29.56851732,6.23e-09,0,R12C12.7,WBGene00020027,WBGene00020027,History: N.A.
WBGene00194794,6.870162396,6.734533297,487.111752,193.953856,340.532804,6.802347847,0.019975602,0.019975602,6.71e-09,0,F45B8.5,WBGene00194794,WBGene00194794,"History: Split into F20D1.22(WBGene00304908). History of WBGene00194794: Split into ""WBGene00304908"" on 2019-07-25"
WBGene00013816,2.642370152,14.59148881,357.4940326,678.8384961,518.1662644,8.616929481,0.016629661,0.016629661,1.22e-08,0,Y116F11A.1,WBGene00013816,WBGene00013816,History: N.A.
WBGene00195233,174.3964301,198.6687323,5484.711079,3441.008929,4462.860004,186.5325812,0.041796646,0.041796646,1.66e-08,0,F31E9.11,WBGene00195233,WBGene00195233,History: N.A.
WBGene00021590,8750.472996,14356.90257,11.49834608,193.953856,102.7261011,11553.68778,112.4708099,112.4708099,2.19e-08,0,Y46D2A.2,WBGene00021590,WBGene00021590,"History: Split into ""WBGene00195076"" on 2010-04-22"
WBGene00194680,10.04100658,16.83633324,232.0575299,1439.605776,835.8316531,13.43866991,0.016078202,0.016078202,2.24e-08,0,Y17D7C.6,WBGene00194680,WBGene00194680,History: N.A.
WBGene00195032,6.341688366,23.57086654,426.4841091,864.4322722,645.4581906,14.95627745,0.023171567,0.023171567,2.77e-08,0,Y37E3.24,WBGene00195032,WBGene00195032,History: N.A.
WBGene00219616,0.52847403,0,86.76024768,115.369104,101.0646759,0.264237015,0.002614534,0.002614534,2.84e-08,linc-111,Y7A9A.80,WBGene00219616,WBGene00219616,History: N.A.
WBGene00009055,604.0458168,908.0395729,14.63425864,33.44032001,24.03728933,756.0426948,31.45290988,31.45290988,2.86e-08,0,F22D6.14,WBGene00009055,WBGene00009055,History: Killed on 2010-07-09; Resurrected on 2011-12-19
WBGene00195023,7.398636427,6.734533297,189.2000582,366.1715041,277.6857811,7.066584862,0.025448134,0.025448134,2.92e-08,0,F39E9.16,WBGene00195023,WBGene00195023,History: N.A.
WBGene00018194,8471.438708,16046.148,8.362433511,175.56168,91.96205677,12258.79336,133.3027314,133.3027314,3.4e-08,0,F39E9.1,WBGene00018194,WBGene00018194,"History: Split into ""WBGene00195075"" on 2010-04-22"
WBGene00019644,391.0707825,237.9535098,7.317129322,10.032096,8.674612662,314.5121462,36.2566213,36.2566213,5.19e-08,cpt-4,K11D12.4,WBGene00019644,WBGene00019644,History: N.A.
WBGene00007725,237.8133137,447.8464642,6.271825133,11.704112,8.987968568,342.829889,38.1432007,38.1432007,5.45e-08,0,C25F9.5,WBGene00007725,WBGene00007725,History: N.A.
WBGene00195033,1.056948061,5.612111081,181.8829289,212.346032,197.1144805,3.334529571,0.016916715,0.016916715,5.45e-08,0,Y37E3.25,WBGene00195033,WBGene00195033,History: N.A.
WBGene00195060,12.68337673,15.71391103,433.8012384,334.4032001,384.1022192,14.19864388,0.036965795,0.036965795,5.97e-08,linc-14,C18D4.11,WBGene00195060,WBGene00195060,History: N.A.
WBGene00015272,251.0251645,1767.81499,5.226520944,20.064192,12.64535647,1009.420077,79.82535562,79.82535562,6.17e-08,0,C01B4.8,WBGene00015272,WBGene00015272,History: N.A.
WBGene00008564,846.0869228,569.0680636,14.63425864,35.11233601,24.87329733,707.5774932,28.44727355,28.44727355,7.99e-08,acox-1.1,F08A8.1,WBGene00008564,WBGene00008564,History: Renamed on 2017-01-05
WBGene00007724,412.2097438,398.4598867,6.271825133,18.392176,12.33200057,405.3348153,32.86853686,32.86853686,9.37e-08,0,C25F9.4,WBGene00007724,WBGene00007724,History: N.A.
WBGene00016647,235.6994176,304.1764206,5.226520944,10.032096,7.629308473,269.9379191,35.38170203,35.38170203,1.04e-07,fbxc-4,C44C8.2,WBGene00016647,WBGene00016647,"History: Split into fbxc-11(WBGene00045299). History of WBGene00016647: Split into ""WBGene00045299"" on 2007-02-28"
WBGene00194681,141.6310402,83.059244,3887.486278,1648.607776,2768.047027,112.3451421,0.040586428,0.040586428,1.18e-07,0,F40D4.16,WBGene00194681,WBGene00194681,History: N.A.
WBGene00195028,12.68337673,21.32602211,285.3680436,750.7351842,518.0516139,17.00469942,0.032824334,0.032824334,1.28e-07,0,F39E9.21,WBGene00195028,WBGene00195028,History: N.A.
WBGene00045410,345.0935419,685.7999741,8835.956308,13165.45399,11000.70515,515.446758,0.046855793,0.046855793,1.29e-07,0,E01G4.7,WBGene00045410,WBGene00045410,History: N.A.
WBGene00016649,217.7313006,294.0746206,9.4077377,3.344032001,6.37588485,255.9029606,40.13606999,40.13606999,1.4e-07,fbxc-1,C44C8.4,WBGene00016649,WBGene00016649,"History: Split into fbxc-9(WBGene00045301). History of WBGene00016649: Split into ""WBGene00045301"" on 2007-02-28"
WBGene00168059,45.97724065,30.30539984,522.6520944,1660.311888,1091.481991,38.14132024,0.034944525,0.034944525,1.56e-07,21ur-10492,F15D4.10,WBGene00168059,WBGene00168059,History: N.A.
WBGene00003691,3172.958079,2876.76814,75.2619016,193.953856,134.6078788,3024.863109,22.47166463,22.47166463,1.85e-07,nhr-101,H12C20.6,WBGene00003691,WBGene00003691,History: N.A.
WBGene00009259,1801.039496,1316.60126,48.08399269,98.64894402,73.36646835,1558.820378,21.24704123,21.24704123,2.24e-07,hpo-34,F29G6.3,WBGene00009259,WBGene00009259,History: N.A.
WBGene00249813,22.72438331,34.7950887,372.1282912,1356.004976,864.0666338,28.75973601,0.033284165,0.033284165,2.3e-07,0,F39E9.26,WBGene00249813,WBGene00249813,History: N.A.
WBGene00001775,176.5103262,221.1171766,1.045304189,6.688064001,3.866684095,198.8137514,51.41711774,51.41711774,2.62e-07,gst-27,Y53F4B.30,WBGene00001775,WBGene00001775,History: N.A.
WBGene00018690,5.813214335,16.83633324,181.8829289,809.2557442,495.5693365,11.32477379,0.022852047,0.022852047,2.67e-07,fbxa-46,F52D2.8,WBGene00018690,WBGene00018690,History: N.A.
WBGene00194982,1.585422091,1.122422216,75.2619016,135.433296,105.3475988,1.353922154,0.012851951,0.012851951,2.8e-07,0,Y17D7B.10,WBGene00194982,WBGene00194982,History: N.A.
WBGene00019073,249.4397424,292.9521984,2.090608378,11.704112,6.89736019,271.1959704,39.31880646,39.31880646,3.71e-07,fbxc-3,F58H7.8,WBGene00019073,WBGene00019073,History: N.A.
WBGene00000113,2424.638852,2904.828695,58.53703458,178.905712,118.7213733,2664.733774,22.44527417,22.44527417,3.95e-07,alh-7,F45H10.1,WBGene00000113,WBGene00000113,History: N.A.
WBGene00020774,78.21415651,266.0140652,1.045304189,3.344032001,2.194668095,172.1141109,78.42375404,78.42375404,4.1e-07,0,T24E12.5,WBGene00020774,WBGene00020774,History: N.A.
WBGene00022523,39.10707825,46.01931086,608.3670379,981.4733922,794.9202151,42.56319456,0.053543983,0.053543983,4.94e-07,,,WBGene00022523,,History: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00016943,1671.034884,1340.172126,99.30389794,76.91273602,88.10831698,1505.603505,17.08809743,17.08809743,5.08e-07,acdh-1,C55B7.4,WBGene00016943,WBGene00016943,History: Renamed on 2004-08-25
WBGene00017612,0.52847403,0,95.12268119,58.52056001,76.8216206,0.264237015,0.003439618,0.003439618,5.83e-07,0,F19G12.4,WBGene00017612,WBGene00017612,History: N.A.
WBGene00003546,1601.276312,2122.500411,112.8928524,115.369104,114.1309782,1861.888362,16.31361082,16.31361082,6.11e-07,nas-28,F42A10.8,WBGene00003546,WBGene00003546,History: N.A.
WBGene00013118,453.9591922,203.1584211,8.362433511,15.048144,11.70528876,328.5588066,28.06926112,28.06926112,6.21e-07,0,Y51H4A.24,WBGene00013118,WBGene00013118,History: N.A.
WBGene00219859,0.52847403,4.489688865,352.2675116,70.22467202,211.2460918,2.509081448,0.011877528,0.011877528,6.45e-07,0,C49F5.11,WBGene00219859,WBGene00219859,History: N.A.
WBGene00000662,276.3919179,720.5950628,22.99669216,16.72016,19.85842608,498.4934904,25.10236654,25.10236654,6.53e-07,col-87,Y39G8C.4,WBGene00000662,WBGene00000662,History: N.A.
WBGene00077787,206.1048719,262.6467986,2685.386461,5574.501345,4129.943903,234.3758352,0.056750368,0.056750368,7.36e-07,0,T05E12.10,WBGene00077787,WBGene00077787,History: N.A.
WBGene00249812,5.813214335,15.71391103,176.6564079,476.5245601,326.590484,10.76356268,0.032957368,0.032957368,8.49e-07,0,F39E9.25,WBGene00249812,WBGene00249812,History: N.A.
WBGene00022486,38.05013019,51.63142194,672.1305934,851.0561442,761.5933688,44.84077607,0.058877582,0.058877582,8.69e-07,fbxa-61,Y119D3B.8,WBGene00022486,WBGene00022486,History: N.A.
WBGene00011076,641.038999,232.3413987,8.362433511,21.736208,15.04932076,436.6901988,29.01726967,29.01726967,8.93e-07,scav-5,R07B1.3,WBGene00011076,WBGene00011076,History: N.A.
WBGene00219748,12.68337673,17.95875546,295.8210854,324.3711041,310.0960948,15.32106609,0.049407478,0.049407478,9.04e-07,linc-46,Y16E11A.3,WBGene00219748,WBGene00219748,History: N.A.
