# Table EV2. Tables listing the significantly enriched proteins from the various IP-MS experiments. The different Tabs of this excel file list the enriched protein lists belonging to the indicated figure panels. Genes that are of direct interest to this study,or with previous links to small RNAs are indicated in bold. The differences between the measured LFQ for each protein between the two strains used for each volcano plots are represented in log2 scale.
#
# Figure S4B
# volcano_enriched_reduced_RFK505_vs_N2 (IP on FLAG tagged PID-2; xfSi98 transgene)
Gene.IDs,Protein.IDs,difference_RFK505_N2,log10.pvalue_RFK505_N2,Input,Suggested Match,History
pot-2,F57C2.3,-5.55566017247248,2.8334791121299,pot-2,WBGene00010195,Public name for WBGene00010195. History: N.A.
igcm-3,T02C5.3a,-2.82128755953256,2.81727414594634,igcm-3,WBGene00020160,Public name for WBGene00020160. History: N.A.
gfat-2,F22B3.4,-1.07822664917634,2.65397147473296,gfat-2,WBGene00009035,Public name for WBGene00009035. History: N.A.
rfc-2,F58F6.4,-1.01025972414499,2.60874532725539,rfc-2,WBGene00004338,Public name for WBGene00004338. History: N.A.
ncbp-1,F37E3.1,-1.46630522887835,2.54334704146332,ncbp-1,WBGene00018156,Public name for WBGene00018156. History: Renamed on 2015-03-05
mcm-5,R10E4.4,-1.3934087159592,2.5182078473054,mcm-5,WBGene00003157,Public name for WBGene00003157. History: N.A.
htz-1,R08C7.3,-1.02094072629772,2.51353610266035,htz-1,WBGene00019947,Public name for WBGene00019947. History: N.A.
vit-2,C42D8.2a,-1.59514556615421,2.44518665001937,vit-2,WBGene00006926,Public name for WBGene00006926. History: N.A.
sip-1,F43D9.4,-2.05404433932885,2.41810287940283,sip-1,WBGene00004798,Public name for WBGene00004798. History: N.A.
gpd-1,T09F3.3,-1.8305581781666,2.39713456246882,gpd-1,WBGene00001683,Public name for WBGene00001683. History: N.A.
F45D11.16,F45D11.16,-1.66527818930572,2.37590200123595,F45D11.16,WBGene00018461,Public name for WBGene00018461. History: N.A.
sto-1,F08C6.4a,-1.06370409131183,2.37289636236295,sto-1,WBGene00006063,Public name for WBGene00006063. History: N.A.
clec-266,C25B8.4a,-3.27872580255469,2.36824323554717,clec-266,WBGene00016088,Public name for WBGene00016088. History: N.A.
dut-1,K07A1.2,-1.6972878656129,2.35906778527218,dut-1,WBGene00010609,Public name for WBGene00010609. History: N.A.
mcm-6,ZK632.1a,-1.09687030302684,2.35010435044465,mcm-6,WBGene00003158,Public name for WBGene00003158. History: N.A.
alh-9,F01F1.6,-1.05887272493009,2.29045061427009,alh-9,WBGene00000115,Public name for WBGene00000115. History: N.A.
T05F1.2,T05F1.2,-1.09331843547691,2.28404760366104,T05F1.2,WBGene00011489,Public name for WBGene00011489. History: N.A.
lnkn-1,ZK637.3,-1.67033865063097,2.25910791417029,lnkn-1,WBGene00014023,Public name for WBGene00014023. History: Renamed on 2014-08-08
H04M03.3,H04M03.3,-2.66492063125885,2.24259301032264,H04M03.3,WBGene00019153,Public name for WBGene00019153. History: N.A.
lem-2,W01G7.5,-1.04982085749014,2.23174823421891,lem-2,WBGene00002275,Public name for WBGene00002275. History: N.A.
rfc-4,F31E3.3,-1.00506403221536,2.21654136955456,rfc-4,WBGene00004340,Public name for WBGene00004340. History: N.A.
F17E9.4,F17E9.4,-1.44117872679639,2.18611697993907,F17E9.4,WBGene00017541,Public name for WBGene00017541. History: N.A.
vit-6,K07H8.6a,-1.51476634365073,2.1346709040417,vit-6,WBGene00006930,Public name for WBGene00006930. History: N.A.
xpd-1,Y50D7A.2,-1.43181858842614,2.09361211043772,xpd-1,WBGene00021752,Public name for WBGene00021752. History: N.A.
C15H9.4,C15H9.4,-1.88060778967565,2.09325368266373,C15H9.4,WBGene00015800,Public name for WBGene00015800. History: N.A.
tac-1,Y54E2A.3,-1.13411265964637,2.08387250784921,tac-1,WBGene00006381,Public name for WBGene00006381. History: N.A.
anp-1,T07F10.1b,-1.37167090558092,2.05419033298413,anp-1,WBGene00011587,Public name for WBGene00011587. History: N.A.
C09F9.2,C09F9.2,-1.84518199135027,2.04210520114458,C09F9.2,WBGene00007479,Public name for WBGene00007479. History: N.A.
cey-2,F46F11.2,-1.02667656873742,2.0138967258031,cey-2,WBGene00000473,Public name for WBGene00000473. History: N.A.
mig-14,R06B9.6,-1.12124967645621,2.00592533041403,mig-14,WBGene00003246,Public name for WBGene00003246. History: N.A.
ZC373.2,ZC373.2,-1.38738791118716,1.98828430198717,ZC373.2,WBGene00013867,Public name for WBGene00013867. History: N.A.
gls-1,C36B1.8c,-1.4826111581637,1.9515524274678,gls-1,WBGene00007975,Public name for WBGene00007975. History: N.A.
C46C2.5,C46C2.5,-1.13882217169433,1.94637682462555,C46C2.5,WBGene00008113,Public name for WBGene00008113. History: N.A.
F37F2.2,F37F2.2,-1.47329026681954,1.91670771870219,F37F2.2,WBGene00018159,Public name for WBGene00018159. History: N.A.
mif-2,C52E4.2a,-1.53802915340348,1.89375029564203,mif-2,WBGene00003235,Public name for WBGene00003235. History: N.A.
vit-5,C04F6.1,-2.32653530433443,1.83328669214151,vit-5,WBGene00006929,Public name for WBGene00006929. History: N.A.
lbp-9,Y40B10A.1b,-2.23674174963625,1.80782467360959,lbp-9,WBGene00021486,Public name for WBGene00021486. History: N.A.
uaf-2,Y116A8C.35a,-2.18267396026038,1.78638442585919,uaf-2,WBGene00006698,Public name for WBGene00006698. History: N.A.
vit-4,F59D8.2,-3.58495843071371,1.76849588541576,vit-4,WBGene00006928,Public name for WBGene00006928. History: N.A.
ZC434.8,ZC434.8,-2.45707664558179,1.76539604502326,ZC434.8,WBGene00013894,Public name for WBGene00013894. History: N.A.
Y45F10C.2,Y45F10C.2,-2.44940060977856,1.75834888953253,Y45F10C.2,WBGene00012878,Public name for WBGene00012878. History: N.A.
psd-1,B0361.5a,-2.12657341478503,1.74005529782887,psd-1,WBGene00015159,Public name for WBGene00015159. History: N.A.
ifa-3,F52E10.5,-1.32711564660983,1.7279233959082,ifa-3,WBGene00002051,Public name for WBGene00002051. History: N.A.
rmd-1,T05G5.7a,-1.37065872051626,1.69682353838826,rmd-1,WBGene00011501,Public name for WBGene00011501. History: N.A.
vit-1,K09F5.2,-2.21002876404122,1.67889126785165,vit-1,WBGene00006925,Public name for WBGene00006925. History: N.A.
lbp-5,W02D3.7,-1.49856688223679,1.62985296365586,lbp-5,WBGene00002257,Public name for WBGene00002257. History: N.A.
inx-3,F22F4.2,-2.54501493687233,1.620188395929,inx-3,WBGene00002125,Public name for WBGene00002125. History: N.A.
C36A4.4,C36A4.4,-2.38072847448929,1.60257210441505,C36A4.4,WBGene00007965,Public name for WBGene00007965. History: N.A.
F25E2.2,F25E2.2a,-1.12792160056943,1.59574243841166,F25E2.2,WBGene00017780,Public name for WBGene00017780. History: N.A.
hch-1,F40E10.1,-1.14176357177008,1.58975908558227,hch-1,WBGene00001828,Public name for WBGene00001828. History: N.A.
capg-2,F55C5.4,-1.79754183404367,1.56996062358228,capg-2,WBGene00010093,Public name for WBGene00010093. History: N.A.
rnr-2,C03C10.3,-1.58782127604779,1.56599780493514,rnr-2,WBGene00004392,Public name for WBGene00004392. History: N.A.
his-13,ZK131.7,-1.18615128071068,1.56286203098124,his-13,WBGene00001887,Public name for WBGene00001887. History: N.A.
mel-32,C05D11.11a,-1.23648638220034,1.52204271591887,mel-32,WBGene00003214,Public name for WBGene00003214. History: N.A.
pud-1.2,Y19D10B.7,-2.27101801754436,1.51884007004254,pud-1.2,WBGene00021236,Public name for WBGene00021236. History: N.A.
let-363,B0261.2b,-1.47032323999679,1.49675784093808,let-363,WBGene00002583,Public name for WBGene00002583. History: Renamed on 2014-09-04; Renamed on 2014-10-09; Renamed on 2015-01-08; Renamed on 2015-03-05; Renamed on 2015-03-10
pes-9,R11H6.1,-1.04777592612763,1.48117629822393,pes-9,WBGene00003982,Public name for WBGene00003982. History: N.A.
acdh-2,C17C3.12c,-2.18016136855958,1.47913990341168,acdh-2,WBGene00015894,Public name for WBGene00015894. History: N.A.
src-1,Y92H12A.1c,-1.03228676338751,1.46414690991736,src-1,WBGene00005077,Public name for WBGene00005077. History: N.A.
cth-2,ZK1127.10,-2.38784297936065,1.43810407422955,cth-2,WBGene00022856,Public name for WBGene00022856. History: N.A.
swsn-7,C08B11.3b,-1.74469249685602,1.42685718245258,swsn-7,WBGene00007433,Public name for WBGene00007433. History: N.A.
ajm-1,C25A11.4e,-1.03391479341804,1.41611921909061,ajm-1,WBGene00000100,Public name for WBGene00000100. History: N.A.
hach-1,F09F7.4b,-1.5560234886248,1.40837844030607,hach-1,WBGene00017301,Public name for WBGene00017301. History: N.A.
C07D8.6,C07D8.6,-1.60762546048635,1.40118608443753,C07D8.6,WBGene00015565,Public name for WBGene00015565. History: N.A.
pas-7,ZK945.2,-1.08357538082745,1.38974137938717,pas-7,WBGene00003928,Public name for WBGene00003928. History: N.A.
mnp-1,B0285.7,-1.12180616641339,1.38453309392486,mnp-1,WBGene00007139,Public name for WBGene00007139. History: N.A.
T19H12.2,T19H12.2,-2.45463127654099,1.38102890280368,T19H12.2,WBGene00020588,Public name for WBGene00020588. History: N.A.
gst-7,F11G11.2,-1.51945968099684,1.37339017786829,gst-7,WBGene00001755,Public name for WBGene00001755. History: N.A.
T20F5.6,T20F5.6,-1.36236185551816,1.36219861191047,T20F5.6,WBGene00020628,Public name for WBGene00020628. History: N.A.
sdha-2,C34B2.7,-1.20048569424605,1.35095860090641,sdha-2,WBGene00016392,Public name for WBGene00016392. History: N.A.
ssb-1,C44E4.4,-1.0807562451918,1.35075193513921,ssb-1,WBGene00016653,Public name for WBGene00016653. History: N.A.
vit-3,F59D8.1,-2.92704015903793,1.34744957849716,vit-3,WBGene00006927,Public name for WBGene00006927. History: N.A.
ttr-15,T07C4.5,-2.76136952251349,1.34149345139925,ttr-15,WBGene00011561,Public name for WBGene00011561. History: N.A.
perm-2,C44B12.1,-1.17636146769171,1.32539980145142,perm-2,WBGene00016636,Public name for WBGene00016636. History: N.A.
vps-11,R06F6.2,-1.2109457487948,1.32165797468561,vps-11,WBGene00011067,Public name for WBGene00011067. History: N.A.
his-14,ZK131.8,-1.34667274239361,1.31653970099992,his-14,WBGene00001888,Public name for WBGene00001888. History: N.A.
pfn-1,Y18D10A.20,-1.35378645570978,1.31632735746939,pfn-1,WBGene00003989,Public name for WBGene00003989. History: N.A.
