# EV1.2. Genes with significantly deregulated 26G-RNA mapped reads in the oxidized libraries.,,,,,,,
Gene stable ID (Ensembl),Gene name (Ensembl),Gene type (Ensembl),Sequence Name (WormBase),logFC (mutant vs. wildype),logCPM,PValue,FDR,Input,Suggested Match,History
WBGene00045311,Y57G11C.57,pseudogene,Y57G11C.57,-8.881918222,4.039670176,4.6995e-11,1.95842e-08,WBGene00045311,WBGene00045311,History: N.A.
WBGene00219758,linc-11,lincRNA,Y49F6C.11,-8.881624604,7.416796292,1.48073e-07,5.47871e-06,WBGene00219758,WBGene00219758,History: N.A.
WBGene00022352,Y82E9BR.20,protein_coding,Y82E9BR.20,-8.873833375,4.030187701,4.52391e-11,1.95842e-08,WBGene00022352,WBGene00022352,History: N.A.
WBGene00219689,linc-41,lincRNA,F36A4.22,-8.767124929,3.930406731,6.29042e-11,1.95842e-08,WBGene00219689,WBGene00219689,History: N.A.
WBGene00016520,C39B5.2,protein_coding,C39B5.2,-8.760578243,5.606497836,1.75886e-08,8.21218e-07,WBGene00016520,WBGene00016520,History: N.A.
WBGene00021375,Y37E11B.2,protein_coding,Y37E11B.2,-8.691029858,7.43146189,4.41106e-07,1.39518e-05,WBGene00021375,WBGene00021375,History: N.A.
WBGene00219307,F56D6.17,pseudogene,F56D6.17,-8.686787587,5.803942259,6.24166e-08,2.60423e-06,WBGene00219307,WBGene00219307,History: N.A.
WBGene00219688,linc-21,lincRNA,F36A4.21,-8.671234491,3.838139346,7.98949e-11,1.95842e-08,WBGene00219688,WBGene00219688,History: N.A.
WBGene00219660,linc-19,lincRNA,C44B11.8,-8.667279331,3.834957735,7.89363e-11,1.95842e-08,WBGene00219660,WBGene00219660,History: N.A.
WBGene00195186,F19G12.10,protein_coding,F19G12.10,-8.587732553,3.770027149,1.09388e-10,2.38345e-08,WBGene00195186,WBGene00195186,History: N.A.
WBGene00219304,F56D6.16,pseudogene,F56D6.16,-8.520252673,5.378421312,9.437e-09,5.00161e-07,WBGene00219304,WBGene00219304,History: N.A.
WBGene00022523,ZC132.4,protein_coding,ZC132.4,-8.475133713,3.659637231,1.46597e-10,2.61343e-08,WBGene00022523,,History: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00077772,T02G6.10,pseudogene,T02G6.10,-8.429756816,5.53958192,4.96904e-08,2.11832e-06,WBGene00077772,WBGene00077772,History: N.A.
WBGene00235387,W04C9.8,ncRNA,W04C9.8,-8.416933344,5.279018913,6.96354e-09,4.13803e-07,WBGene00235387,WBGene00235387,History: N.A.
WBGene00019174,H09G03.1,protein_coding,H09G03.1,-8.39350423,3.580764873,1.99328e-10,3.02552e-08,WBGene00019174,WBGene00019174,"History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
WBGene00219718,linc-42,lincRNA,R10F2.8,-8.381258657,3.572046506,2.11001e-10,3.02552e-08,WBGene00219718,WBGene00219718,History: N.A.
WBGene00206507,Y51A2A.16,protein_coding,Y51A2A.16,-8.363429281,3.557957564,2.19474e-10,3.02552e-08,WBGene00206507,WBGene00206507,History: N.A.
WBGene00219443,Y57G11C.1144,protein_coding,Y57G11C.1144,-8.343554853,6.420379329,3.17633e-07,1.05573e-05,WBGene00219443,WBGene00219443,History: N.A.
WBGene00219661,linc-45,lincRNA,C44B11.9,-8.338789477,5.20459948,5.50989e-09,3.37653e-07,WBGene00219661,WBGene00219661,History: N.A.
WBGene00194923,linc-121,lincRNA,Y57G11C.1134,-8.33856653,5.444571243,3.91224e-08,1.70487e-06,WBGene00194923,WBGene00194923,History: N.A.
WBGene00018204,F39F10.4,protein_coding,F39F10.4,-8.33772173,5.203667288,5.47354e-09,3.37653e-07,WBGene00018204,WBGene00018204,History: N.A.
WBGene00012760,Y41C4A.17,protein_coding,Y41C4A.17,-8.280869591,3.479135535,2.90732e-10,3.56328e-08,WBGene00012760,WBGene00012760,History: N.A.
WBGene00021018,W04B5.1,pseudogene,W04B5.1,-8.236132183,5.340884014,3.02316e-08,1.34737e-06,WBGene00021018,WBGene00021018,History: N.A.
WBGene00019055,F58F9.1,protein_coding,F58F9.1,-8.228776684,3.430310936,3.6414e-10,4.20046e-08,WBGene00019055,WBGene00019055,History: N.A.
WBGene00195060,linc-14,lincRNA,C18D4.11,-8.181241062,5.283074893,2.57342e-08,1.1736e-06,WBGene00195060,WBGene00195060,History: N.A.
WBGene00022729,ZK402.2,protein_coding,ZK402.2,-8.017992582,3.236269406,7.93902e-10,7.78421e-08,WBGene00022729,WBGene00022729,History: N.A.
WBGene00018856,F55A4.4,pseudogene,F55A4.4,-8.016259854,3.24258677,9.10134e-10,8.49892e-08,WBGene00018856,WBGene00018856,History: N.A.
WBGene00014562,Y17D7B.7,pseudogene,Y17D7B.7,-7.996274599,3.226439405,9.75581e-10,8.69598e-08,WBGene00014562,WBGene00014562,History: N.A.
WBGene00185118,K02E2.11,protein_coding,K02E2.11,-7.965840493,8.659668593,3.82024e-06,9.02589e-05,WBGene00185118,WBGene00185118,History: N.A.
WBGene00011387,T02G6.4,protein_coding,T02G6.4,-7.942275803,3.173326099,1.19885e-09,1.02215e-07,WBGene00011387,WBGene00011387,History: N.A.
WBGene00219771,linc-24,lincRNA,Y82E9BR.31,-7.922154355,3.150273981,1.2692e-09,1.03704e-07,WBGene00219771,WBGene00219771,History: N.A.
WBGene00017225,fbxa-52,protein_coding,F07G6.6,-7.888152283,3.122332416,1.5106e-09,1.18492e-07,WBGene00017225,WBGene00017225,History: N.A.
WBGene00194650,C36A4.14,pseudogene,C36A4.14,-7.841907963,7.700819025,2.81131e-06,7.06791e-05,WBGene00194650,WBGene00194650,History: N.A.
WBGene00022339,Y82E9BR.6,protein_coding,Y82E9BR.6,-7.811906398,3.055350112,2.15586e-09,1.57486e-07,WBGene00022339,WBGene00022339,History: N.A.
WBGene00077437,Y59H11AR.6,pseudogene,Y59H11AR.6,-7.782670595,7.365784447,1.44379e-06,3.88705e-05,WBGene00077437,WBGene00077437,History: N.A.
WBGene00020352,T08B6.2,pseudogene,T08B6.2,-7.755113192,2.999327575,3.20194e-09,2.2425e-07,WBGene00020352,WBGene00020352,History: N.A.
WBGene00010102,F55C9.5,protein_coding,F55C9.5,-7.711147916,6.467660789,5.59913e-07,1.68921e-05,WBGene00010102,WBGene00010102,History: N.A.
WBGene00018199,F39E9.7,pseudogene,F39E9.7,-7.700871871,8.820717336,5.79468e-06,0.000131326,WBGene00018199,WBGene00018199,History: N.A.
WBGene00009863,F49B2.3,protein_coding,F49B2.3,-7.614544865,2.885213351,7.38498e-09,4.19216e-07,WBGene00009863,WBGene00009863,History: N.A.
WBGene00013816,Y116F11A.1,protein_coding,Y116F11A.1,-7.570877257,7.263717762,2.05543e-06,5.23468e-05,WBGene00013816,WBGene00013816,History: N.A.
WBGene00219770,linc-40,lincRNA,Y82E9BL.20,-7.559741792,2.833711493,1.15287e-08,5.94944e-07,WBGene00219770,WBGene00219770,History: N.A.
WBGene00022731,ZK402.5,protein_coding,ZK402.5,-7.506111434,5.550372694,2.87205e-07,9.86724e-06,WBGene00022731,WBGene00022731,History: N.A.
WBGene00013644,Y105C5A.25,pseudogene,Y105C5A.25,-7.472083159,6.167339708,5.889e-07,1.74975e-05,WBGene00013644,WBGene00013644,History: N.A.
WBGene00219687,linc-12,lincRNA,F34D6.11,-7.383694728,8.906219271,1.03695e-05,0.000221029,WBGene00219687,WBGene00219687,History: N.A.
WBGene00010100,F55C9.3,protein_coding,F55C9.3,-7.375245625,7.769642332,6.19826e-06,0.000136571,WBGene00010100,WBGene00010100,History: N.A.
WBGene00008447,E01G4.5,protein_coding,E01G4.5,-7.359017142,6.722058158,1.88019e-06,4.85139e-05,WBGene00008447,WBGene00008447,History: N.A.
WBGene00010507,K02E2.6,protein_coding,K02E2.6,-7.306057035,8.507931372,1.12297e-05,0.00023679,WBGene00010507,WBGene00010507,History: N.A.
WBGene00021019,W04B5.2,protein_coding,W04B5.2,-7.295825394,8.040244932,8.45906e-06,0.000184314,WBGene00021019,WBGene00021019,"History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
WBGene00195255,H16D19.7,pseudogene,H16D19.7,-7.203617323,7.517201424,6.01529e-06,0.000134045,WBGene00195255,WBGene00195255,History: N.A.
WBGene00023036,F39E9.10,pseudogene,F39E9.10,-7.197030972,7.867412619,9.55012e-06,0.0002058,WBGene00023036,WBGene00023036,History: N.A.
WBGene00194982,Y17D7B.10,protein_coding,Y17D7B.10,-7.158297264,2.496031222,1.40711e-07,5.30642e-06,WBGene00194982,WBGene00194982,History: N.A.
WBGene00045410,E01G4.7,pseudogene,E01G4.7,-7.154101357,8.855141606,1.55736e-05,0.00031664,WBGene00045410,WBGene00045410,History: N.A.
WBGene00194667,Y105C5A.1271,pseudogene,Y105C5A.1271,-7.133252268,5.813963749,6.10033e-07,1.77555e-05,WBGene00194667,WBGene00194667,History: N.A.
WBGene00195254,H16D19.6,pseudogene,H16D19.6,-7.010982896,2.363097545,4.17466e-07,1.34205e-05,WBGene00195254,WBGene00195254,History: N.A.
WBGene00219769,linc-64,lincRNA,Y75D11A.7,-7.00864376,2.388656843,4.02282e-07,1.31479e-05,WBGene00219769,WBGene00219769,History: N.A.
WBGene00219707,linc-8,lincRNA,F59H5.6,-6.991437495,7.913313176,1.23575e-05,0.000257799,WBGene00219707,WBGene00219707,History: N.A.
WBGene00206390,F14F7.7,protein_coding,F14F7.7,-6.954644875,2.345146182,5.31448e-07,1.62839e-05,WBGene00206390,WBGene00206390,History: N.A.
WBGene00195233,F31E9.11,ncRNA,F31E9.11,-6.945071755,5.61782354,6.15692e-07,1.77555e-05,WBGene00195233,WBGene00195233,History: N.A.
WBGene00017942,fbxc-37,protein_coding,F31A9.4,-6.941766918,6.09886378,1.57698e-06,4.13097e-05,WBGene00017942,WBGene00017942,History: N.A.
WBGene00219691,linc-106,lincRNA,F39F10.6,-6.92738126,2.28704003,8.98273e-07,2.51645e-05,WBGene00219691,WBGene00219691,History: N.A.
WBGene00219477,F57G8.14,pseudogene,F57G8.14,-6.922500919,2.302666217,7.03903e-07,2.00051e-05,WBGene00219477,WBGene00219477,History: N.A.
WBGene00020817,T25G12.11,protein_coding,T25G12.11,-6.921877445,6.454132971,2.96501e-06,7.35999e-05,WBGene00020817,WBGene00020817,History: N.A.
WBGene00045382,T05E12.8,protein_coding,T05E12.8,-6.898954145,7.958921771,1.54917e-05,0.00031664,WBGene00045382,WBGene00045382,History: N.A.
WBGene00194699,Y43F8B.22,protein_coding,Y43F8B.22,-6.817940529,2.211932301,1.57992e-06,4.13097e-05,WBGene00194699,WBGene00194699,History: N.A.
WBGene00007675,C18D4.6,protein_coding,C18D4.6,-6.722866599,2.13350593,3.585e-06,8.6718e-05,WBGene00007675,WBGene00007675,History: N.A.
WBGene00016553,C40A11.10,protein_coding,C40A11.10,-6.710549903,7.664760332,1.70707e-05,0.000334756,WBGene00016553,WBGene00016553,History: N.A.
WBGene00013500,Y71A12B.2,protein_coding,Y71A12B.2,-6.664637868,2.113710979,4.69527e-06,0.000108323,WBGene00013500,WBGene00013500,History: N.A.
WBGene00219690,linc-10,lincRNA,F39E9.24,-6.560532669,3.671170869,8.46287e-09,4.60992e-07,WBGene00219690,WBGene00219690,History: N.A.
WBGene00044258,Y57G11C.51,protein_coding,Y57G11C.51,-6.537064138,9.585254141,6.32532e-05,0.001170184,WBGene00044258,WBGene00044258,History: N.A.
WBGene00012452,Y17D7B.4,protein_coding,Y17D7B.4,-6.501924646,6.021519726,3.57099e-06,8.6718e-05,WBGene00012452,WBGene00012452,History: N.A.
WBGene00008812,F14F7.5,protein_coding,F14F7.5,-6.472092872,1.980058778,1.56624e-05,0.00031664,WBGene00008812,WBGene00008812,"History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
WBGene00195185,F19G12.9,protein_coding,F19G12.9,-6.466092301,1.954704476,1.63581e-05,0.000327328,WBGene00195185,WBGene00195185,History: N.A.
WBGene00219451,F52D2.12,protein_coding,F52D2.12,-6.451000412,4.419606912,1.73498e-08,8.21218e-07,WBGene00219451,WBGene00219451,History: N.A.
WBGene00018690,fbxa-46,protein_coding,F52D2.8,-6.444836873,3.562789242,1.3728e-08,6.73013e-07,WBGene00018690,WBGene00018690,History: N.A.
WBGene00195253,H16D19.5,pseudogene,H16D19.5,-6.435223006,3.556953951,1.34855e-08,6.73013e-07,WBGene00195253,WBGene00195253,History: N.A.
WBGene00219352,Y7A5A.21,pseudogene,Y7A5A.21,-6.414961388,1.917279305,2.24895e-05,0.000436652,WBGene00219352,WBGene00219352,History: N.A.
WBGene00012817,Y43F8B.6,pseudogene,Y43F8B.6,-6.374635884,1.868835204,3.16636e-05,0.000608748,WBGene00012817,WBGene00012817,History: N.A.
WBGene00018198,F39E9.6,protein_coding,F39E9.6,-6.352675617,1.85180615,4.23005e-05,0.000797608,WBGene00018198,WBGene00018198,History: N.A.
WBGene00010402,H16D19.4,pseudogene,H16D19.4,-6.33086791,5.456699333,1.44699e-06,3.88705e-05,WBGene00010402,WBGene00010402,"History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
WBGene00194680,Y17D7C.6,protein_coding,Y17D7C.6,-6.32337589,5.991720318,3.62615e-06,8.6718e-05,WBGene00194680,WBGene00194680,History: N.A.
WBGene00022728,ZK402.1,protein_coding,ZK402.1,-6.221157195,1.768809195,8.17513e-05,0.001498265,WBGene00022728,WBGene00022728,History: N.A.
WBGene00219490,Y116A8B.98,ncRNA,Y116A8B.98,-6.207788583,5.319030084,1.15787e-06,3.198e-05,WBGene00219490,WBGene00219490,History: N.A.
WBGene00013779,Y116A8B.1,protein_coding,Y116A8B.1,-5.97763515,7.55064091,5.85399e-05,0.001093302,WBGene00013779,WBGene00013779,History: N.A.
WBGene00018687,F52D2.5,protein_coding,F52D2.5,-5.975670285,1.600207998,0.00029008,0.00517134,WBGene00018687,WBGene00018687,History: N.A.
WBGene00219685,linc-75,lincRNA,F31A9.8,-5.948444798,3.109791672,1.10696e-07,4.25639e-06,WBGene00219685,WBGene00219685,History: N.A.
WBGene00018712,F52G3.4,protein_coding,F52G3.4,-5.878815043,3.728163182,7.48218e-09,4.19216e-07,WBGene00018712,WBGene00018712,History: N.A.
WBGene00044559,ZK380.5,protein_coding,ZK380.5,-5.86874059,6.283636158,1.69631e-05,0.000334756,WBGene00044559,WBGene00044559,History: N.A.
WBGene00044167,C36A4.11,protein_coding,C36A4.11,-5.818548899,3.800904739,7.53882e-08,2.95672e-06,WBGene00044167,WBGene00044167,History: N.A.
WBGene00077787,T05E12.10,ncRNA,T05E12.10,-5.599517606,10.68888761,0.000476831,0.008348802,WBGene00077787,WBGene00077787,History: N.A.
WBGene00045366,Y17D7C.3,pseudogene,Y17D7C.3,-5.541829481,10.25605673,0.000464038,0.008198,WBGene00045366,WBGene00045366,History: N.A.
WBGene00017941,F31A9.2,protein_coding,F31A9.2,-5.485122383,6.299403702,3.75625e-05,0.000715147,WBGene00017941,WBGene00017941,History: N.A.
WBGene00016993,CD4.8,protein_coding,CD4.8,-5.402856926,5.184344374,5.8263e-06,0.000131326,WBGene00016993,WBGene00016993,History: N.A.
WBGene00194681,F40D4.16,ncRNA,F40D4.16,-5.298625148,4.321252485,2.16832e-07,7.8742e-06,WBGene00194681,WBGene00194681,History: N.A.
WBGene00022730,ZK402.3,protein_coding,ZK402.3,-5.167755793,4.928908186,4.40753e-06,0.000102895,WBGene00022730,WBGene00022730,History: N.A.
WBGene00007307,spch-1,protein_coding,C04G2.8,-4.152241013,1.603054792,0.000289364,0.00517134,WBGene00007307,WBGene00007307,History: N.A.
WBGene00044478,K06B9.6,protein_coding,K06B9.6,-4.075599011,5.298579585,0.000225856,0.004100968,WBGene00044478,WBGene00044478,History: N.A.
