# Each entry in the table below appears as one point in figure 6C of
# Batista et al 2008.
#
# Gene = gene name as provided by wormbase
# prgVsWt = P / (P + W), for the normalized siRNA counts (see
# Table S2 or methods) from the wt (W) or prg-1 mutant (P)
# adult samples, for each gene.
# ipVsIn = IP / (IP + IN), for the normalized siRNA counts (see
# Table S2 or methods) from the Input (IN) or PRG-1 IP (IP)
# samples, for each gene.
#
Gene,prgVsWt,ipVsIn,Input,Suggested Match,History
K02F2.6,0.001102654,0.192734285,K02F2.6,WBGene00004778,Sequence name for WBGene00004778(ser-3). History: N.A.
D2030.6.1,0.216266135,0.303291095,D2030.6.1,WBGene00004178,Molecule name for WBGene00004178(prg-1). History: N.A.
D2030.6,0.177296299,0.306936307,D2030.6,WBGene00004178,"Sequence name for WBGene00004178(prg-1). History: N.A.. Public name for Dead gene WBGene00008416. History of WBGene00008416: Merged into ""WBGene00004178"" on 2007-11-05"
D2030.6.2,0.17729501,0.306936307,,,
C45G3.1,0.603998378,0.208006821,C45G3.1,WBGene00008107,Sequence name for WBGene00008107(aspm-1). History: Renamed on 2006-09-21
C04F12.9,0.61589681,0.283382149,C04F12.9,WBGene00007303,Sequence name for WBGene00007303(rnh-1.3). History: N.A.
Y106G6H.12,0.253042196,0.439727426,Y106G6H.12,WBGene00001112,Sequence name for WBGene00001112(duo-3). History: N.A.
F37D6.1,0.51980255,0.26896644,F37D6.1,WBGene00009507,Sequence name for WBGene00009507(mus-101). History: Renamed on 2015-03-25; Renamed on 2015-03-25
F37D6.3,0.509445051,0.126676946,F37D6.3,WBGene00009509,Public name for WBGene00009509. History: N.A.
C43H8.2,0.044778046,0.423635009,C43H8.2,WBGene00016622,Sequence name for WBGene00016622(mafr-1). History: N.A.
R13H8.1a,0.448356278,0.279569275,R13H8.1a,WBGene00000912,Molecule name for WBGene00000912(daf-16). History: N.A.
F55A3.6,0.39030089,0.201626895,F55A3.6,WBGene00018851,Public name for WBGene00018851. History: N.A.
F49D11.8,0.649550878,0.255028543,F49D11.8,WBGene00000780,Sequence name for WBGene00000780(cpn-4). History: N.A.
W02B9.2,0.004661985,0.08733101,W02B9.2,,Public name for Dead gene WBGene00044255. History of WBGene00044255: Killed on 2008-01-18. Remark: Retired due to lack of evidence. Originally created based on intersect between genefinder\/twinscan. 3 years on no additional supporting data has surfaced.
Y47H9C.6,0.007221325,0.092526336,Y47H9C.6,WBGene00000821,Sequence name for WBGene00000821(csp-3). History: N.A.
R06C1.4,0.798039428,0.259441522,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
Y53C10A.10,0.043772597,0.069413358,Y53C10A.10,WBGene00013138,"Public name for WBGene00013138. History: Split into Y53C10A.24(WBGene00305049). History of WBGene00013138: Split into ""WBGene00305049"" on 2019-10-21"
Y47H10A.5,0.628531897,0.25343337,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
T27F6.8,0.633780183,0.088277723,T27F6.8,WBGene00012107,Public name for WBGene00012107. History: N.A.
T26E3.7,0.43284532,0.228441372,T26E3.7,WBGene00012040,Public name for WBGene00012040. History: N.A.
Y18D10A.25,0.394880069,0.182114241,Y18D10A.25,WBGene00001433,Sequence name for WBGene00001433(fkb-8). History: N.A.
W05H12.2,0.42891204,0.203876008,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
Y87G2A.4,0.365340542,0.10699179,Y87G2A.4,WBGene00000089,"Sequence name for WBGene00000089(aex-6). History: Renamed on 2006-08-30. Public name for Dead gene WBGene00004280. History of WBGene00004280: Merged into ""WBGene00000089"" on 2006-08-30"
W04A8.6,0.251320751,0.104100638,W04A8.6,WBGene00012241,"Public name for WBGene00012241. History: Split into W04A8.9(WBGene00195155). History of WBGene00012241: Split into ""WBGene00195155"" on 2010-05-21"
Y71A12B.10,0.279842649,0.394120439,Y71A12B.10,WBGene00013507,Public name for WBGene00013507. History: N.A.
Y71A12B.17,0.570805295,0.238289012,Y71A12B.17,WBGene00045058,Sequence name for WBGene00045058(gadr-5). History: N.A.
Y63D3A.2,0.002062567,0.186935064,Y63D3A.2,WBGene00013403,Sequence name for WBGene00013403(fbxb-100). History: N.A.
K03D10.1,0.011238678,0.362624956,K03D10.1,WBGene00002181,Sequence name for WBGene00002181(kal-1). History: N.A.
Y105E8A.28,0.433342702,0.175219862,Y105E8A.28,WBGene00013685,Public name for WBGene00013685. History: N.A.
K05C4.2.2,0.49973913,0.344868045,K05C4.2.2,WBGene00010579,Molecule name for WBGene00010579(K05C4.2). History: N.A.
K05C4.2.1,0.499261424,0.343998532,K05C4.2.1,WBGene00010579,Molecule name for WBGene00010579(K05C4.2). History: N.A.
ZK270.2a.1,0.855373719,0.255499605,ZK270.2a.1,WBGene00001488,Molecule name for WBGene00001488(frm-1). History: N.A.
ZK270.2a.2,0.855373719,0.255499605,,,
ZK270.2a,0.862968608,0.256454979,ZK270.2a,WBGene00001488,Molecule name for WBGene00001488(frm-1). History: N.A.
ZK270.2e,0.862968608,0.256448978,ZK270.2e,WBGene00001488,Molecule name for WBGene00001488(frm-1). History: N.A.
ZK270.2d,0.862968608,0.256448978,ZK270.2d,WBGene00001488,Molecule name for WBGene00001488(frm-1). History: N.A.
ZK270.2a.3,0.862968608,0.256448978,,,
K10B4.6a,0.001103583,0.076810879,K10B4.6a,WBGene00000857,Molecule name for WBGene00000857(cwn-1). History: N.A.
W08F4.9,0.42047083,0.134621832,W08F4.9,WBGene00021098,Sequence name for WBGene00021098(fbxb-14). History: N.A.
T07D3.3,0.001774318,0.140264634,T07D3.3,WBGene00020306,Public name for WBGene00020306. History: N.A.
C32B5.6,0.005645195,0.100471143,C32B5.6,WBGene00016299,Public name for WBGene00016299. History: N.A.
F56D12.1c.1,0.04962019,0.085156299,F56D12.1c.1,WBGene00000112,Molecule name for WBGene00000112(alh-6). History: Renamed on 2017-05-16
F56D12.1d.1,0.049755247,0.085215361,F56D12.1d.1,WBGene00000112,Molecule name for WBGene00000112(alh-6). History: Renamed on 2017-05-16
F56D12.1c.2,0.049790743,0.085186796,,,
C52E2.6,0.007573916,0.197997794,C52E2.6,WBGene00016885,Sequence name for WBGene00016885(fbxb-97). History: N.A.
F59H6.12,0.402274983,0.128837523,F59H6.12,WBGene00019142,Sequence name for WBGene00019142(btb-4). History: N.A.
B0047.1b,0.367146528,0.11763687,,,
B0047.1a,0.367444042,0.117700416,,,
F40B1.1,0.071179465,0.2505235,F40B1.1,WBGene00018223,Sequence name for WBGene00018223(bath-13). History: N.A.
Y110A2AL.10,0.003340124,0.198376178,Y110A2AL.10,WBGene00022446,Public name for WBGene00022446. History: N.A.
C16A11.6,0.011060109,0.404928011,C16A11.6,WBGene00015819,"Sequence name for WBGene00015819(fbxc-44). History: Split into fbxc-43(WBGene00045297). History of WBGene00015819: Split into ""WBGene00045297"" on 2007-02-28"
T05A7.4.1,0.502067946,0.168782772,T05A7.4.1,WBGene00001976,Molecule name for WBGene00001976(hmg-11). History: N.A.
T05A7.4.2,0.502067946,0.168803901,,,
T05A7.4,0.449705509,0.18837259,T05A7.4,WBGene00001976,Sequence name for WBGene00001976(hmg-11). History: N.A.
Y38A8.3,0.639342398,0.260406751,Y38A8.3,WBGene00006737,Sequence name for WBGene00006737(ulp-2). History: N.A.
T02G5.4,0.055911593,0.422959103,T02G5.4,WBGene00020164,Public name for WBGene00020164. History: N.A.
F10E7.2,0.181988332,0.448608947,F10E7.2,WBGene00017344,Public name for WBGene00017344. History: N.A.
C27H5.3.1,0.552052087,0.307236621,,,
C27H5.3.2,0.552346597,0.30761831,,,
F43E2.1,0.079905064,0.524265965,F43E2.1,WBGene00018390,Public name for WBGene00018390. History: N.A.
T09A5.10.1,0.550334259,0.420677279,T09A5.10.1,WBGene00002994,Molecule name for WBGene00002994(lin-5). History: N.A.
F54C9.1.1,0.600261535,0.298987062,F54C9.1.1,WBGene00002065,Molecule name for WBGene00002065(iff-2). History: N.A.
F54C9.1.2,0.600261535,0.299027404,F54C9.1.2,WBGene00002065,Molecule name for WBGene00002065(iff-2). History: N.A.
F54C9.1.3,0.60878481,0.294114332,,,
T24H10.5,0.010144375,0.125665745,T24H10.5,WBGene00012003,Public name for WBGene00012003. History: N.A.
ZK892.6,0.004996829,0.34384053,ZK892.6,WBGene00014130,Public name for WBGene00014130. History: N.A.
T01E8.5,0.556405651,0.426056224,T01E8.5,WBGene00011333,Sequence name for WBGene00011333(nrde-2). History: N.A.
R166.3,0.080335342,0.441512354,R166.3,WBGene00011303,Public name for WBGene00011303. History: N.A.
R06F6.8b.1,0.580479952,0.114139323,R06F6.8b.1,WBGene00011071,"Molecule name for WBGene00011071(R06F6.8). History: Split into R06F6.12(WBGene00023418). History of WBGene00011071: Split into ""WBGene00023418"" on 2004-07-05"
R06F6.8a,0.584013107,0.132943322,R06F6.8a,WBGene00011071,"Molecule name for WBGene00011071(R06F6.8). History: Split into R06F6.12(WBGene00023418). History of WBGene00011071: Split into ""WBGene00023418"" on 2004-07-05"
R06F6.8b.2,0.584675556,0.132912349,,,
F37H8.2,0.529067535,0.114280655,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
K12D12.1,0.619846363,0.355398374,K12D12.1,WBGene00010785,Sequence name for WBGene00010785(top-2). History: Renamed on 2015-07-16
Y57A10A.3,0.149610599,0.405403205,Y57A10A.3,WBGene00013248,Public name for WBGene00013248. History: N.A.
Y46G5A.4,0.657614037,0.343124493,Y46G5A.4,WBGene00012896,Sequence name for WBGene00012896(snrp-200). History: Renamed on 2005-03-17
Y46G5A.5,0.638312693,0.305355757,Y46G5A.5,WBGene00012897,Sequence name for WBGene00012897(pisy-1). History: N.A.
Y46G5A.6,0.027112295,0.219881166,Y46G5A.6,WBGene00012898,"Public name for WBGene00012898. History: Split into Y46G5A.42(WBGene00077635), Y46G5A.43(WBGene00077636). History of WBGene00012898: Renamed on 2005-03-17; Split into ""WBGene00077636"" on 2008-02-22"
F58G1.1,0.710081445,0.238238912,F58G1.1,WBGene00010263,Sequence name for WBGene00010263(wago-4). History: N.A.
F18A11.2,0.005604558,0.350596191,F18A11.2,WBGene00008929,Public name for WBGene00008929. History: N.A.
Y81G3A.3,0.639063028,0.182013268,Y81G3A.3,WBGene00013591,Sequence name for WBGene00013591(gcn-2). History: N.A.
F29C12.5,0.012122822,0.192395894,F29C12.5,WBGene00009247,Sequence name for WBGene00009247(bath-45). History: N.A.
F15D4.5,0.672693522,0.215737376,F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
F15D4.6,0.573342092,0.239592019,F15D4.6,WBGene00008863,Public name for WBGene00008863. History: N.A.
Y48C3A.1,0.007309965,0.200039921,Y48C3A.1,WBGene00012985,Public name for WBGene00012985. History: N.A.
E01G4.5,0.33091405,0.302331831,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
Y48E1B.13a,0.002201468,0.130520595,Y48E1B.13a,WBGene00000819,Molecule name for WBGene00000819(csp-1). History: N.A.
F37B1.4,0.452622112,0.052571796,F37B1.4,WBGene00001763,Sequence name for WBGene00001763(gst-15). History: N.A.
W03H9.3,0.015824393,0.175986124,W03H9.3,WBGene00012228,"Public name for Dead gene WBGene00012229. History of WBGene00012229: Merged into ""WBGene00012228"" on 2011-04-19"
Y48B6A.3,0.468150817,0.280346645,Y48B6A.3,WBGene00006964,Sequence name for WBGene00006964(xrn-2). History: N.A.
Y54G11A.14,0.762203196,0.298158999,Y54G11A.14,WBGene00013221,Public name for WBGene00013221. History: N.A.
Y53F4B.5,0.002896537,0.129106266,Y53F4B.5,WBGene00013152,Public name for WBGene00013152. History: N.A.
Y53F4B.9,0.511273553,0.170179758,Y53F4B.9,WBGene00013156,Public name for WBGene00013156. History: N.A.
Y50D7A.6,0.892391343,0.400071767,Y50D7A.6,WBGene00002230,Sequence name for WBGene00002230(klp-20). History: N.A.
K10F12.3b,0.311130613,0.137984565,K10F12.3b,WBGene00004045,Molecule name for WBGene00004045(pll-1). History: N.A.
Y55B1BR.5,0.566405757,0.055653509,Y55B1BR.5,WBGene00044401,"Public name for Dead gene WBGene00044400. History of WBGene00044400: Merged into ""WBGene00044401"" on 2014-10-09"
K02F3.4.2,0.500702846,0.185300379,K02F3.4.2,WBGene00019327,Molecule name for WBGene00019327(zip-2). History: N.A.
K02F3.4.1,0.500750727,0.185418522,K02F3.4.1,WBGene00019327,Molecule name for WBGene00019327(zip-2). History: N.A.
T12B5.11,0.045780437,0.187427867,T12B5.11,WBGene00020457,Sequence name for WBGene00020457(fbxa-67). History: N.A.
Y82E9BR.1,0.010288565,0.22223104,Y82E9BR.1,WBGene00022334,Public name for WBGene00022334. History: N.A.
Y48G9A.6,0.53386364,0.157340154,Y48G9A.6,WBGene00021700,Public name for WBGene00021700. History: N.A.
W04B5.2,0.648768473,0.326242716,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
W04B5.1,0.683825318,0.183567556,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
Y71H2B.11,0.014019402,0.564775163,Y71H2B.11,WBGene00022198,Public name for WBGene00022198. History: N.A.
Y71H2AL.1,0.67208389,0.131348752,Y71H2AL.1,WBGene00003941,"Sequence name for WBGene00003941(pbo-1). History: N.A.. Public name for Dead gene WBGene00022164. History of WBGene00022164: Merged into ""WBGene00003941"" on 2011-09-06"
F56F11.3.1,0.01695998,0.244564639,F56F11.3.1,WBGene00018990,Molecule name for WBGene00018990(klf-1). History: N.A.
F56F11.3.2,0.01695998,0.244564639,,,
F56F11.3,0.016296293,0.250949157,F56F11.3,WBGene00018990,Sequence name for WBGene00018990(klf-1). History: N.A.
H06I04.3a,0.585626244,0.265027662,H06I04.3a,WBGene00019168,Molecule name for WBGene00019168(H06I04.3). History: N.A.
C44B11.6,0.651712604,0.120756071,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
F34D10.4.1,0.580642377,0.232415922,F34D10.4.1,WBGene00009374,Molecule name for WBGene00009374(F34D10.4). History: N.A.
C36A4.11,0.627771595,0.054477731,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
C36E8.3,0.012135274,0.241186988,C36E8.3,WBGene00007982,Sequence name for WBGene00007982(pxd-1). History: N.A.
C16C10.3,0.655452391,0.463510145,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
B0284.3,0.001709445,0.133920062,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
C28A5.2,0.62444779,0.273461645,C28A5.2,WBGene00007789,Public name for WBGene00007789. History: N.A.
M88.6b,0.008829434,0.259970302,M88.6b,WBGene00003915,Molecule name for WBGene00003915(pan-1). History: N.A.
M88.6a,0.031401966,0.258873553,M88.6a,WBGene00003915,Molecule name for WBGene00003915(pan-1). History: N.A.
F26F4.6,0.098726039,0.440330568,F26F4.6,WBGene00017828,Public name for WBGene00017828. History: N.A.
C26E6.9a,0.5587675,0.308006688,C26E6.9a,WBGene00004782,Molecule name for WBGene00004782(set-2). History: N.A.
C26E6.4,0.509397039,0.250259089,C26E6.4,WBGene00016140,Sequence name for WBGene00016140(rpb-2). History: Renamed on 2005-03-17
T10F2.3,0.546140657,0.242803694,T10F2.3,WBGene00006736,Sequence name for WBGene00006736(ulp-1). History: N.A.
ZC155.3,0.627240387,0.257336569,ZC155.3,WBGene00022531,Sequence name for WBGene00022531(morc-1). History: N.A.
C34E10.5.1,0.236543107,0.323327998,C34E10.5.1,WBGene00016408,Molecule name for WBGene00016408(prmt-5). History: Renamed on 2007-07-20
Y32H12A.5.1,0.643941272,0.151101796,Y32H12A.5.1,WBGene00021313,Molecule name for WBGene00021313(paqr-2). History: Renamed on 2015-08-03
F48E8.6,0.658968058,0.155969694,F48E8.6,WBGene00018612,Sequence name for WBGene00018612(disl-2). History: Renamed on 2017-03-13
F54E7.7,0.010957197,0.215988625,F54E7.7,WBGene00004321,Sequence name for WBGene00004321(rcan-1). History: Renamed on 2015-09-03
F42A10.2b,0.016333844,0.135037096,F42A10.2b,WBGene00003593,Molecule name for WBGene00003593(nfm-1). History: N.A.
F42A10.2a,0.017099978,0.132204546,F42A10.2a,WBGene00003593,Molecule name for WBGene00003593(nfm-1). History: N.A.
F31E3.1,0.703409198,0.173088946,F31E3.1,WBGene00000443,Sequence name for WBGene00000443(ceh-20). History: N.A.
R151.5b,0.758110588,0.327092607,R151.5b,WBGene00006592,Molecule name for WBGene00006592(dpy-31). History: Renamed on 2005-06-13
R151.5a,0.759327056,0.30536407,R151.5a,WBGene00006592,Molecule name for WBGene00006592(dpy-31). History: Renamed on 2005-06-13
C18H2.1,0.490444831,0.36970665,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
C18H2.2,0.011406225,0.541109253,C18H2.2,WBGene00015989,Public name for WBGene00015989. History: N.A.
ZK112.2,0.665547227,0.096363248,ZK112.2,WBGene00003559,Sequence name for WBGene00003559(ncl-1). History: N.A.
C29E4.4,0.585305484,0.229761297,C29E4.4,WBGene00003801,Sequence name for WBGene00003801(npp-15). History: N.A.
F44B9.3a,0.627708589,0.119706402,F44B9.3a,WBGene00000508,Molecule name for WBGene00000508(cit-1.2). History: N.A.
C14B9.4a.1,0.686987691,0.34494645,,,
C14B9.4b,0.686972302,0.34494645,,,
C14B9.4a.2,0.686972302,0.34494645,,,
B0523.5,0.595905873,0.194489826,B0523.5,WBGene00001443,Sequence name for WBGene00001443(fli-1). History: N.A.
B0303.2,0.524469415,0.139765829,B0303.2,WBGene00015124,Sequence name for WBGene00015124(anmt-1). History: N.A.
F54F2.2b,0.010266921,0.122577717,F54F2.2b,WBGene00006975,Molecule name for WBGene00006975(zfp-1). History: N.A.
R107.6,0.606483223,0.506899911,R107.6,WBGene00000549,Sequence name for WBGene00000549(cls-2). History: N.A.
R107.6.2,0.616170901,0.475839932,,,
R107.6.1,0.613596662,0.478465735,,,
T23G5.6,0.629609786,0.193371764,T23G5.6,WBGene00011964,Sequence name for WBGene00011964(saeg-2). History: N.A.
F58A4.7a.1,0.017043569,0.473797785,F58A4.7a.1,WBGene00001955,Molecule name for WBGene00001955(hlh-11). History: N.A.
T05G5.3.1,0.615866299,0.248217266,T05G5.3.1,WBGene00000405,Molecule name for WBGene00000405(cdk-1). History: N.A.
T05G5.3.2,0.616383701,0.336928221,,,
ZK757.4a,0.517368999,0.285918178,ZK757.4a,WBGene00014075,Molecule name for WBGene00014075(dhhc-4). History: N.A.
ZK757.4b,0.501511578,0.41414241,ZK757.4b,WBGene00014075,Molecule name for WBGene00014075(dhhc-4). History: N.A.
T16G12.4,0.851201784,0.463770258,T16G12.4,WBGene00011805,Public name for WBGene00011805. History: N.A.
T20G5.11.1,0.184176289,0.518357194,T20G5.11.1,WBGene00004326,Molecule name for WBGene00004326(rde-4). History: N.A.
T20G5.11.2,0.182857423,0.518357194,,,
T20G5.11,0.182328781,0.525152358,T20G5.11,WBGene00004326,Sequence name for WBGene00004326(rde-4). History: N.A.
D2045.2,0.072647711,0.411340786,D2045.2,WBGene00008422,Sequence name for WBGene00008422(ecps-1). History: N.A.
K11D9.1a,0.669018995,0.379061725,K11D9.1a,WBGene00002219,Molecule name for WBGene00002219(klp-7). History: N.A.
K11D9.1b.1,0.667354321,0.383642725,K11D9.1b.1,WBGene00002219,Molecule name for WBGene00002219(klp-7). History: N.A.
R17.1,0.196060564,0.142270868,R17.1,WBGene00011267,Sequence name for WBGene00011267(fbxb-85). History: N.A.
Y52D3.1a.1,0.095842447,0.407853018,Y52D3.1a.1,WBGene00013132,Molecule name for WBGene00013132(strd-1). History: N.A.
Y52D3.1a.2,0.087830522,0.394671874,,,
Y52D3.1a.3,0.087830522,0.394671874,,,
Y52D3.1a,0.087830522,0.394671874,Y52D3.1a,WBGene00013132,Molecule name for WBGene00013132(strd-1). History: N.A.
Y52D3.1b,0.087840953,0.394671874,Y52D3.1b,WBGene00013132,Molecule name for WBGene00013132(strd-1). History: N.A.
Y48A6A.1,0.697506258,0.149700214,Y48A6A.1,WBGene00006982,Sequence name for WBGene00006982(zig-5). History: N.A.
Y47D3B.11,0.01299748,0.26880154,Y47D3B.11,WBGene00023404,Sequence name for WBGene00023404(plr-1). History: N.A.
Y56A3A.5,0.410949694,0.205687619,Y56A3A.5,WBGene00013226,"Sequence name for WBGene00013226(faah-5). History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
Y56A3A.20.1,0.499760961,0.139663526,Y56A3A.20.1,WBGene00000369,Molecule name for WBGene00000369(ccf-1). History: N.A.
Y79H2A.4,0.500331135,0.176369967,Y79H2A.4,WBGene00013581,Public name for WBGene00013581. History: N.A.
Y49E10.17,0.007540892,0.184448509,Y49E10.17,WBGene00013036,Sequence name for WBGene00013036(fbxa-218). History: N.A.
Y111B2A.3.1,0.594824471,0.28395423,Y111B2A.3.1,WBGene00013729,Molecule name for WBGene00013729(Y111B2A.3). History: N.A.
Y111B2A.13,0.70690261,0.420927074,Y111B2A.13,WBGene00013736,Sequence name for WBGene00013736(gtf-2A2). History: N.A.
Y37D8A.12a.1,0.222602207,0.556271732,Y37D8A.12a.1,WBGene00012552,Molecule name for WBGene00012552(enu-3.5). History: N.A.
Y39E4B.3a,0.420395437,0.377994535,Y39E4B.3a,WBGene00004164,Molecule name for WBGene00004164(pqn-83). History: N.A.
Y39E4B.3b,0.422121045,0.378215544,Y39E4B.3b,WBGene00004164,Molecule name for WBGene00004164(pqn-83). History: N.A.
T03F6.1,0.038099182,0.596796685,T03F6.1,WBGene00011398,Sequence name for WBGene00011398(qdpr-1). History: N.A.
K08E3.5f,0.298445974,0.265572986,K08E3.5f,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
K08E3.5a,0.28536183,0.220826559,K08E3.5a,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
K08E3.5e,0.285917363,0.220826559,K08E3.5e,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
K08E3.5d,0.284770238,0.230769959,K08E3.5d,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
K08E3.5c,0.286542083,0.220826559,K08E3.5c,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
K08E3.5b,0.28536183,0.220826559,K08E3.5b,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
K08E3.5a.3,0.28536183,0.220826559,,,
K08E3.5a.2,0.28536183,0.220826559,K08E3.5a.2,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
K08E3.5a.1,0.28536183,0.220826559,K08E3.5a.1,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
T07A9.14,0.61308399,0.362031853,T07A9.14,WBGene00044789,Public name for WBGene00044789. History: N.A.
F58H7.5,0.516851891,0.152824737,F58H7.5,WBGene00019070,Public name for WBGene00019070. History: N.A.
Y55F3AM.14,0.783249338,0.29557243,Y55F3AM.14,WBGene00021931,Sequence name for WBGene00021931(znf-782). History: N.A.
Y77E11A.2,0.005116962,0.325760965,Y77E11A.2,WBGene00022307,Sequence name for WBGene00022307(nadk-1). History: N.A.
Y76B12C.8.1,0.41446353,0.252681927,Y76B12C.8.1,WBGene00022302,Molecule name for WBGene00022302(Y76B12C.8). History: N.A.
Y76B12C.8.2,0.405490546,0.250247594,,,
Y76B12C.8,0.434349051,0.251612665,Y76B12C.8,WBGene00022302,Public name for WBGene00022302. History: N.A.
C37F5.1.2,0.316989426,0.06320049,,,
C37F5.1.1,0.316989426,0.06320049,,,
Y94H6A.10,0.587286384,0.223511234,Y94H6A.10,WBGene00022382,Public name for WBGene00022382. History: N.A.
Y54G2A.21,0.658615358,0.23375341,Y54G2A.21,WBGene00021886,Public name for WBGene00021886. History: N.A.
Y67D8C.5,0.602926332,0.219461171,Y67D8C.5,WBGene00022069,Sequence name for WBGene00022069(eel-1). History: N.A.
Y67D8C.6,0.398711488,0.176134163,Y67D8C.6,WBGene00022070,Public name for WBGene00022070. History: N.A.
Y67D8C.10c,0.214291441,0.311345018,Y67D8C.10c,WBGene00003153,Molecule name for WBGene00003153(mca-3). History: Renamed on 2007-10-09
