Gene Name,Gene Isoform,Alternate Name,Fold Change (adr-1;adr-2 vs WT),p-value,Input,Suggested Match,History
B0213.2,B0213.2,nlp-27,1.6,0.019,B0213.2,WBGene00003765,Sequence name for WBGene00003765(nlp-27). History: N.A.
B0213.3,B0213.3,nlp-28,2.34,0.0065,B0213.3,WBGene00003766,Sequence name for WBGene00003766(nlp-28). History: N.A.
B0218.8,B0218.8,clec-52,1.46,0.037,B0218.8,WBGene00015052,Sequence name for WBGene00015052(clec-52). History: N.A.
B0228.4,B0228.4b,tag-308,-3.15,0.00027,B0228.4,WBGene00015061,Sequence name for WBGene00015061(cpna-2). History: Renamed on 2009-04-21
B0238.10,B0238.10,,2.44,5.9e-05,B0238.10,WBGene00015074,Sequence name for WBGene00015074(natc-2). History: N.A.
B0238.11,B0238.11,,1.37,0.017,B0238.11,WBGene00015075,Public name for WBGene00015075. History: N.A.
B0238.15,B0238.15,,-1.64,0.017,B0238.15,WBGene00044537,Public name for WBGene00044537. History: N.A.
B0238.6,B0238.6,srt-70,-1.49,0.021,B0238.6,WBGene00015070,Sequence name for WBGene00015070(srt-70). History: N.A.
B0238.7,B0238.7,,2.33,0.026,B0238.7,WBGene00015071,Sequence name for WBGene00015071(cest-30). History: N.A.
B0244.2,B0244.2,ida-1,-1.64,0.0067,B0244.2,WBGene00002048,Sequence name for WBGene00002048(ida-1). History: N.A.
B0250.2,B0250.2,,1.34,0.042,B0250.2,WBGene00007119,Sequence name for WBGene00007119(calf-1). History: N.A.
B0281.4,B0281.4,,1.95,0.0064,B0281.4,WBGene00015111,Public name for WBGene00015111. History: N.A.
B0281.6,B0281.6,,1.81,0.047,B0281.6,WBGene00015113,Public name for WBGene00015113. History: N.A.
B0284.1,B0284.1,,1.63,0.021,B0284.1,WBGene00007131,Sequence name for WBGene00007131(pals-26). History: N.A.
B0284.2,B0284.2,,1.44,0.039,B0284.2,WBGene00007132,Sequence name for WBGene00007132(pals-27). History: N.A.
B0302.2,B0302.2,,-1.37,0.025,B0302.2,WBGene00015119,Public name for WBGene00015119. History: N.A.
B0302.4,B0302.4,,-1.42,0.027,B0302.4,WBGene00015121,Public name for WBGene00015121. History: N.A.
B0303.4,B0303.4.2,,-1.38,0.046,B0303.4,WBGene00015126,Public name for WBGene00015126. History: N.A.
B0304.5,B0304.5,sra-32,1.5,0.031,B0304.5,WBGene00005058,Sequence name for WBGene00005058(sra-32). History: N.A.
B0334.8,B0334.8,age-1,-1.66,0.028,B0334.8,WBGene00000090,Sequence name for WBGene00000090(age-1). History: N.A.
B0336.10,B0336.10.3,rpl-23,1.68,0.015,B0336.10,WBGene00004435,Sequence name for WBGene00004435(rpl-23). History: N.A.
B0336.3,B0336.3,,2.5,0.00044,B0336.3,WBGene00015143,Sequence name for WBGene00015143(rbm-26). History: N.A.
B0336.4,B0336.4b,rgs-5,-1.39,0.049,B0336.4,WBGene00004348,"Sequence name for WBGene00004348(rgs-5). History: N.A.. Public name for Dead gene WBGene00015144. History of WBGene00015144: Merged into ""WBGene00004348"" on 2004-12-03"
B0336.9,B0336.9e,swp-1,-1.53,0.041,B0336.9,WBGene00006359,Sequence name for WBGene00006359(swp-1). History: N.A.
B0348.4,B0348.4c,egl-8,1.96,0.0053,B0348.4,WBGene00001177,Sequence name for WBGene00001177(egl-8). History: N.A.
B0348.6,B0348.6c,ife-3,2.97,9.5e-05,B0348.6,WBGene00002061,Sequence name for WBGene00002061(ife-3). History: N.A.
B0350.2,B0350.2f.1,unc-44,-1.85,0.032,B0350.2,WBGene00006780,Sequence name for WBGene00006780(unc-44). History: N.A.
B0361.9,B0361.9,,1.4,0.04,B0361.9,WBGene00015163,"Public name for WBGene00015163. History: Split into B0361.14(WBGene00303033). History of WBGene00015163: Split into ""WBGene00303033"" on 2018-03-02"
B0365.5,B0365.5a,clec-225,2.25,0.032,B0365.5,WBGene00007152,"Sequence name for WBGene00007152(clec-225). History: Split into B0365.9(WBGene00219208). History of WBGene00007152: Split into ""WBGene00219208"" on 2011-08-15"
B0379.3,B0379.3a,mut-16,-1.56,0.031,B0379.3,WBGene00003508,Sequence name for WBGene00003508(mut-16). History: Renamed on 2013-10-16
B0379.6,B0379.6,,-1.4,0.028,B0379.6,WBGene00007158,Public name for WBGene00007158. History: N.A.
B0391.4,B0391.4,str-12,-2.44,0.011,B0391.4,WBGene00006080,Sequence name for WBGene00006080(str-12). History: N.A.
B0391.9,B0391.9,fbxa-139,-1.47,0.048,B0391.9,WBGene00007164,Sequence name for WBGene00007164(fbxa-139). History: N.A.
B0393.5,B0393.5,,-1.53,0.0072,B0393.5,WBGene00007170,Public name for WBGene00007170. History: N.A.
B0399.1,B0399.1b.1,,-1.47,0.05,B0399.1,WBGene00007176,Sequence name for WBGene00007176(kcnl-1). History: N.A.
B0403.6,B0403.6,,1.95,0.0024,B0403.6,WBGene00043982,Public name for WBGene00043982. History: N.A.
B0412.2,B0412.2,daf-7,-1.42,0.032,B0412.2,WBGene00000903,Sequence name for WBGene00000903(daf-7). History: N.A.
B0412.4,B0412.4.1,rps-29,-1.48,0.035,B0412.4,WBGene00004498,Sequence name for WBGene00004498(rps-29). History: N.A.
B0416.2,B0416.2,,1.73,0.021,B0416.2,WBGene00015178,Public name for WBGene00015178. History: N.A.
B0416.7,B0416.7a,,1.45,0.038,B0416.7,WBGene00015182,Public name for WBGene00015182. History: N.A.
B0454.5,B0454.5,,1.51,0.045,B0454.5,WBGene00015196,Public name for WBGene00015196. History: N.A.
B0454.7,B0454.7,clec-2,-1.62,0.04,B0454.7,WBGene00015198,Sequence name for WBGene00015198(clec-2). History: N.A.
B0457.3,B0457.3,,-1.54,0.039,B0457.3,WBGene00014660,Public name for WBGene00014660. History: N.A.
B0464.2,B0464.2,,-1.53,0.038,B0464.2,WBGene00007184,Sequence name for WBGene00007184(ctr-9). History: Renamed on 2014-11-12
B0464.6,B0464.6.2,,-1.48,0.039,B0464.6,WBGene00007186,Public name for WBGene00007186. History: N.A.
B0491.8,B0491.8a,clh-2,-1.61,0.012,B0491.8,WBGene00000529,Sequence name for WBGene00000529(clh-2). History: N.A.
B0495.9,B0495.9,,1.33,0.028,B0495.9,WBGene00015208,Public name for WBGene00015208. History: N.A.
B0507.1,B0507.1,,-1.42,0.039,B0507.1,WBGene00015218,Public name for WBGene00015218. History: N.A.
B0507.4,B0507.4,,1.94,0.0082,B0507.4,WBGene00015221,Public name for WBGene00015221. History: N.A.
B0507.7,B0507.7,,1.98,0.002,B0507.7,WBGene00015224,"Public name for WBGene00015224. History: Split into B0507.17(WBGene00235307). History of WBGene00015224: Split into ""WBGene00235307"" on 2013-09-12"
B0507.8,B0507.8,,2.62,0.00029,B0507.8,WBGene00015225,Public name for WBGene00015225. History: N.A.
B0511.10,B0511.10,eif-3.E,6.44,3.8e-08,B0511.10,WBGene00001228,Sequence name for WBGene00001228(eif-3.E). History: N.A.
B0511.11,B0511.11,,-1.62,0.015,B0511.11,WBGene00015236,Public name for WBGene00015236. History: N.A.
B0511.14,B0511.14b,,-1.64,0.0042,B0511.14,WBGene00015237,"Public name for Dead gene WBGene00015239. History of WBGene00015239: Merged into ""WBGene00015237"" on 2011-07-20"
B0511.2,B0511.2,,-1.5,0.034,B0511.2,WBGene00015228,Public name for WBGene00015228. History: N.A.
B0511.6,B0511.6.1,,1.57,0.045,B0511.6,WBGene00015232,Public name for WBGene00015232. History: N.A.
B0513.3,B0513.3,rpl-29,1.26,0.045,B0513.3,WBGene00004443,Sequence name for WBGene00004443(rpl-29). History: N.A.
B0524.1,B0524.1,,-1.58,0.037,B0524.1,WBGene00004128,"Public name for Dead gene WBGene00015240. History of WBGene00015240: Merged into ""WBGene00004128"" on 2009-08-28"
B0546.1,B0546.1.1,mai-2,1.51,0.014,B0546.1,WBGene00015248,Sequence name for WBGene00015248(mai-2). History: N.A.
B0546.2,B0546.2.1,,-1.43,0.043,B0546.2,WBGene00015249,Sequence name for WBGene00015249(otub-4). History: N.A.
B0563.1,B0563.1,,-1.48,0.045,B0563.1,WBGene00015261,Public name for WBGene00015261. History: N.A.
B0564.7,B0564.7,,-1.38,0.05,B0564.7,WBGene00007207,"Sequence name for WBGene00007207(fask-1). History: Split into rde-11(WBGene00023421). History of WBGene00007207: Split into ""WBGene00023421"" on 2004-07-07"
BE0003N10.1,BE0003N10.1,,-1.56,0.031,BE0003N10.1,WBGene00015266,Public name for WBGene00015266. History: N.A.
BE10.4,BE10.4,,1.72,0.033,BE10.4,WBGene00007212,Public name for WBGene00007212. History: N.A.
C01A2.7,C01A2.7.1,nlp-38,-1.36,0.047,C01A2.7,WBGene00007219,Sequence name for WBGene00007219(nlp-38). History: Renamed on 2019-11-21
C01B10.11,C01B10.11,,-1.31,0.04,C01B10.11,WBGene00044294,Public name for WBGene00044294. History: N.A.
C01B12.2,C01B12.2,,-1.61,0.02,C01B12.2,WBGene00015285,Sequence name for WBGene00015285(gmeb-1). History: N.A.
C01B4.10,C01B4.10,str-76,-1.36,0.046,C01B4.10,WBGene00006136,Sequence name for WBGene00006136(str-76). History: N.A.
C01B4.9,C01B4.9,,1.61,0.019,C01B4.9,WBGene00015273,Sequence name for WBGene00015273(mct-2). History: N.A.
C01B9.1,C01B9.1b,,-1.51,0.031,C01B9.1,WBGene00007220,Public name for WBGene00007220. History: N.A.
C01C10.3,C01C10.3,acl-12,1.41,0.049,C01C10.3,WBGene00015295,Sequence name for WBGene00015295(acl-12). History: N.A.
C01F1.1,C01F1.1,,-1.4,0.04,C01F1.1,WBGene00015296,Sequence name for WBGene00015296(gtf-2F1). History: N.A.
C01G10.4,C01G10.4,,1.81,0.031,C01G10.4,WBGene00007231,"Public name for WBGene00007231. History: Split into C01G10.17(WBGene00044658). History of WBGene00007231: Split into ""WBGene00044658"" on 2005-11-07"
C01G10.7,C01G10.7,,1.72,0.0018,C01G10.7,WBGene00007234,Public name for WBGene00007234. History: N.A.
C01G12.12,C01G12.12,,-1.46,0.035,C01G12.12,WBGene00044053,Public name for WBGene00044053. History: N.A.
C01G6.1,C01G6.1a.1,aqp-2,-1.54,0.018,C01G6.1,WBGene00000170,Sequence name for WBGene00000170(aqp-2). History: N.A.
C01G8.9,C01G8.9a,let-526,1.85,0.028,C01G8.9,WBGene00002717,Sequence name for WBGene00002717(let-526). History: Renamed on 2008-02-07; Renamed on 2008-02-07; Renamed on 2011-02-11; Renamed on 2014-09-04; Renamed on 2014-09-04
C01H6.5,C01H6.5a,nhr-23,-1.61,0.032,C01H6.5,WBGene00003622,Sequence name for WBGene00003622(nhr-23). History: Renamed on 2015-03-05
C01H6.9,C01H6.9,,-1.75,0.028,C01H6.9,WBGene00007258,Sequence name for WBGene00007258(hasp-1). History: N.A.
C02B4.2,C02B4.2,nhr-17,-1.74,0.0028,C02B4.2,WBGene00003616,Sequence name for WBGene00003616(nhr-17). History: N.A.
C02C6.1,C02C6.1a,dyn-1,-1.52,0.029,C02C6.1,WBGene00001130,Sequence name for WBGene00001130(dyn-1). History: N.A.
C02C6.2,C02C6.2a,olrn-1,-1.35,0.043,C02C6.2,WBGene00007260,"Sequence name for WBGene00007260(olrn-1). History: Split into C02C6.14(WBGene00303034). History of WBGene00007260: Renamed on 2007-07-25; Split into ""WBGene00303034"" on 2018-03-02"
C02C6.3,C02C6.3c,,-1.44,0.045,C02C6.3,WBGene00007261,Sequence name for WBGene00007261(lron-3). History: N.A.
C02F12.1,C02F12.1,tsp-17,-1.44,0.031,C02F12.1,WBGene00006643,Sequence name for WBGene00006643(tsp-17). History: N.A.
C02F4.1,C02F4.1,ced-5,-1.66,0.045,C02F4.1,WBGene00000419,Sequence name for WBGene00000419(ced-5). History: N.A.
C02F4.1,C02F4.1,ced-5,1.76,0.028,C02F4.1,WBGene00000419,Sequence name for WBGene00000419(ced-5). History: N.A.
C02F5.14,C02F5.14,,-1.36,0.03,C02F5.14,WBGene00044445,Public name for WBGene00044445. History: N.A.
C02F5.8,C02F5.8,tsp-1,1.75,0.037,C02F5.8,WBGene00006627,Sequence name for WBGene00006627(tsp-1). History: N.A.
C02H7.1,C02H7.1,dyf-11,-1.72,0.018,C02H7.1,WBGene00001127,"Sequence name for WBGene00001127(dyf-11). History: N.A.. Public name for Dead gene WBGene00015363. History of WBGene00015363: Merged into ""WBGene00001127"" on 2007-11-28"
C02H7.3,C02H7.3a,aex-3,-1.4,0.047,C02H7.3,WBGene00000086,Sequence name for WBGene00000086(aex-3). History: N.A.
C03A7.5,C03A7.5,srx-38,2.08,0.0034,C03A7.5,WBGene00005929,Sequence name for WBGene00005929(srx-38). History: N.A.
C03C10.1,C03C10.1.3,kin-19,-1.54,0.046,C03C10.1,WBGene00002202,Sequence name for WBGene00002202(kin-19). History: N.A.
C03C10.4,C03C10.4,,1.39,0.035,C03C10.4,WBGene00007270,Sequence name for WBGene00007270(rei-1). History: N.A.
C03E10.3,C03E10.3,,-1.69,0.033,C03E10.3,WBGene00007281,Public name for WBGene00007281. History: N.A.
C03G5.12,C03G5.12,nspc-5,-1.34,0.048,C03G5.12,WBGene00044340,Sequence name for WBGene00044340(nspc-5). History: N.A.
C03G6.20,C03G6.20,srh-189,-1.87,0.017,C03G6.20,WBGene00005403,Sequence name for WBGene00005403(srh-189). History: N.A.
C04A11.5,C04A11.5,,1.75,0.024,C04A11.5,WBGene00007288,Public name for WBGene00007288. History: N.A.
C04C11.1,C04C11.1a,,1.38,0.038,C04C11.1,WBGene00007295,Public name for WBGene00007295. History: N.A.
C04C11.2,C04C11.2.1,,-1.5,0.042,C04C11.2,WBGene00007296,Sequence name for WBGene00007296(arrd-25). History: N.A.
C04C3.3,C04C3.3.2,,-1.4,0.037,C04C3.3,WBGene00015413,Sequence name for WBGene00015413(pdhb-1). History: N.A.
C04C3.5,C04C3.5c,dyf-3,1.78,0.0024,C04C3.5,WBGene00001119,"Sequence name for WBGene00001119(dyf-3). History: N.A.. Public name for Dead gene WBGene00015415. History of WBGene00015415: Merged into ""WBGene00001119"" on 2005-08-19"
C04E12.10,C04E12.10,,2.23,0.014,C04E12.10,WBGene00015439,Public name for WBGene00015439. History: N.A.
C04E12.9,C04E12.9,srbc-2,1.77,0.036,C04E12.9,WBGene00015438,Sequence name for WBGene00015438(srbc-2). History: N.A.
C04E6.8,C04E6.8,,-1.56,0.032,C04E6.8,WBGene00015424,Public name for WBGene00015424. History: N.A.
C04E6.9,C04E6.9,srd-16,1.95,0.023,C04E6.9,WBGene00005094,Sequence name for WBGene00005094(srd-16). History: N.A.
C04E7.4,C04E7.4,,-1.47,0.035,C04E7.4,WBGene00015430,"Public name for Dead gene WBGene00015431. History of WBGene00015431: Merged into ""WBGene00015430"" on 2018-01-11"
C04E7.5,C04E7.5,,1.52,0.046,C04E7.5,WBGene00045270,Public name for WBGene00045270. History: N.A.
C04F12.1,C04F12.1,,-1.41,0.049,C04F12.1,WBGene00007297,Public name for WBGene00007297. History: N.A.
C04F2.2,C04F2.2,srh-221,1.94,0.044,C04F2.2,WBGene00005431,Sequence name for WBGene00005431(srh-221). History: N.A.
C04F2.3,C04F2.3,srh-230,1.66,0.043,C04F2.3,WBGene00005438,Sequence name for WBGene00005438(srh-230). History: N.A.
C04F5.5,C04F5.5,srab-2,-1.45,0.036,C04F5.5,WBGene00015447,Sequence name for WBGene00015447(srab-2). History: N.A.
C04G2.1,C04G2.1,ttr-39,1.43,0.047,C04G2.1,WBGene00007304,Sequence name for WBGene00007304(ttr-39). History: N.A.
C04G6.3,C04G6.3,pld-1,-1.59,0.018,C04G6.3,WBGene00004040,Sequence name for WBGene00004040(pld-1). History: N.A.
C04G6.5,C04G6.5,,1.97,0.011,C04G6.5,WBGene00015455,Sequence name for WBGene00015455(txt-9). History: N.A.
C04G6.6,C04G6.6,,1.88,0.00045,C04G6.6,WBGene00015456,Public name for WBGene00015456. History: N.A.
C04H5.2,C04H5.2,clec-147,1.89,0.0079,C04H5.2,WBGene00007313,Sequence name for WBGene00007313(clec-147). History: N.A.
C04H5.3,C04H5.3,gcy-29,-1.49,0.04,C04H5.3,WBGene00007314,Sequence name for WBGene00007314(gcy-29). History: N.A.
C04H5.7,C04H5.7b,,2.47,0.0043,C04H5.7,WBGene00007315,Public name for WBGene00007315. History: N.A.
C04H5.8,C04H5.8,nlp-41,1.69,0.025,C04H5.8,WBGene00007316,Sequence name for WBGene00007316(nlp-41). History: N.A.
C05B5.9,C05B5.9,,-2.37,0.036,C05B5.9,WBGene00023482,Public name for WBGene00023482. History: N.A.
C05C10.4,C05C10.4.2,,1.69,0.024,C05C10.4,WBGene00007331,Sequence name for WBGene00007331(pho-11). History: N.A.
C05C10.7,C05C10.7,,1.77,0.0048,C05C10.7,WBGene00007334,Public name for WBGene00007334. History: N.A.
C05C8.7,C05C8.7.3,,-1.87,0.0026,C05C8.7,WBGene00015464,Public name for WBGene00015464. History: Renamed on 2005-03-17
C05C9.3,C05C9.3,,-1.48,0.0098,C05C9.3,WBGene00007327,Public name for WBGene00007327. History: N.A.
C05D11.11,C05D11.11b.1,mel-32,-1.37,0.045,C05D11.11,WBGene00003214,Sequence name for WBGene00003214(mel-32). History: N.A.
C05D11.4,C05D11.4,let-756,-1.8,0.02,C05D11.4,WBGene00002881,Sequence name for WBGene00002881(let-756). History: N.A.
C05D12.7,C05D12.7,,1.6,0.041,C05D12.7,WBGene00044029,Public name for WBGene00044029. History: N.A.
C05D9.2,C05D9.2.2,lmp-2,1.46,0.032,C05D9.2,WBGene00015471,Sequence name for WBGene00015471(lmp-2). History: N.A.
C05D9.3,C05D9.3,,1.87,0.0014,C05D9.3,WBGene00015472,Public name for WBGene00015472. History: N.A.
C05E4.1,C05E4.1.2,srp-2,1.41,0.036,C05E4.1,WBGene00005643,Sequence name for WBGene00005643(srp-2). History: N.A.
C05E4.14,C05E4.14b,srh-2,1.64,0.042,C05E4.14,WBGene00005228,Sequence name for WBGene00005228(srh-2). History: N.A.
C06A5.1,C06A5.1,,5.36,9.7e-06,C06A5.1,WBGene00015499,Sequence name for WBGene00015499(ints-1). History: Renamed on 2015-02-09; Renamed on 2019-02-06; Renamed on 2019-05-20
C06A5.10,C06A5.10,,-2.58,0.00016,C06A5.10,,Sequence name for Suppressed gene WBGene00015506. Molecular name for Suppressed gene WBGene00015506. Public name for Suppressed gene WBGene00015506. History of WBGene00015506: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C06A5.4,C06A5.4,,-1.89,0.0049,C06A5.4,,Sequence name for Suppressed gene WBGene00015502. Molecular name for Suppressed gene WBGene00015502. History of WBGene00015502: Suppressed on 2013-10-17. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene....Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information. Therefore this is not a genetic map position based on recombination frequencies or genetic experiments. This was done on advice of the CGC.
C06A5.7,C06A5.7a,unc-94,-1.59,0.036,C06A5.7,WBGene00006823,"Sequence name for WBGene00006823(unc-94). History: Renamed on 2008-01-09. Public name for Dead gene WBGene00006581. History of WBGene00006581: Merged into ""WBGene00006823"" on 2008-01-09"
C06A6.2,C06A6.2b,,-1.49,0.025,C06A6.2,WBGene00015507,Public name for WBGene00015507. History: N.A.
C06B3.10,C06B3.10,str-250,-1.35,0.049,C06B3.10,WBGene00006277,Sequence name for WBGene00006277(str-250). History: N.A.
C06B3.13,C06B3.13,srxa-12,2.07,0.043,C06B3.13,WBGene00044115,Sequence name for WBGene00044115(srxa-12). History: N.A.
C06B8.11,C06B8.11,,-1.56,0.039,C06B8.11,WBGene00007373,Public name for WBGene00007373. History: N.A.
C06B8.2,C06B8.2b,,3.01,0.00033,C06B8.2,WBGene00007368,Public name for WBGene00007368. History: N.A.
C06B8.7,C06B8.7,,-1.46,0.047,C06B8.7,WBGene00007372,Public name for WBGene00007372. History: N.A.
C06C3.5,C06C3.5,,1.85,0.0058,C06C3.5,WBGene00007376,Public name for WBGene00007376. History: N.A.
C06C6.8,C06C6.8,,5.45,7.9e-07,C06C6.8,WBGene00007382,Public name for WBGene00007382. History: N.A.
C06E1.10,C06E1.10,rha-2,-2.05,0.021,C06E1.10,WBGene00015525,Sequence name for WBGene00015525(rha-2). History: N.A.
C06E2.9,C06E2.9,,-3.37,0.002,C06E2.9,WBGene00044579,Public name for WBGene00044579. History: N.A.
C06E4.8,C06E4.8,,2.24,0.00072,C06E4.8,WBGene00015537,Public name for WBGene00015537. History: N.A.
C06E7.3,C06E7.3a,,-1.32,0.048,C06E7.3,WBGene00015540,Sequence name for WBGene00015540(sams-4). History: N.A.
C06G1.4,C06G1.4.1,ain-1,-1.45,0.046,C06G1.4,WBGene00015547,Sequence name for WBGene00015547(ain-1). History: N.A.
C06G3.2,C06G3.2,klp-18,-1.35,0.049,C06G3.2,WBGene00002228,Sequence name for WBGene00002228(klp-18). History: N.A.
C06G4.1,C06G4.1,,-1.49,0.042,C06G4.1,WBGene00015557,Sequence name for WBGene00015557(hrpk-2). History: N.A.
C06G4.2,C06G4.2c,clp-1,-1.57,0.042,C06G4.2,WBGene00000542,Sequence name for WBGene00000542(clp-1). History: N.A.
C06G8.4,C06G8.4,srd-7,-1.46,0.048,C06G8.4,WBGene00005085,Sequence name for WBGene00005085(srd-7). History: N.A.
C06H2.2,C06H2.2,,1.67,0.004,C06H2.2,WBGene00007386,Public name for WBGene00007386. History: N.A.
C06H2.4,C06H2.4,folt-1,1.41,0.031,C06H2.4,WBGene00007388,Sequence name for WBGene00007388(folt-1). History: Renamed on 2007-05-11
C06H5.1,C06H5.1,fbxa-156,1.4,0.041,C06H5.1,WBGene00007392,Sequence name for WBGene00007392(fbxa-156). History: N.A.
C06H5.6,C06H5.6,,-1.45,0.028,C06H5.6,WBGene00007394,Public name for WBGene00007394. History: N.A.
C07A12.1,C07A12.1a,ham-2,-1.41,0.045,C07A12.1,WBGene00001821,Sequence name for WBGene00001821(ham-2). History: N.A.
C07B5.2,C07B5.2,,2.38,0.018,C07B5.2,WBGene00007407,Public name for WBGene00007407. History: N.A.
C07B5.5,C07B5.5,nuc-1,1.49,0.024,C07B5.5,WBGene00003828,Sequence name for WBGene00003828(nuc-1). History: N.A.
C07D8.2,C07D8.2,,-1.38,0.026,C07D8.2,WBGene00015562,Public name for WBGene00015562. History: N.A.
C07E3.9,C07E3.9,,1.41,0.037,C07E3.9,WBGene00007419,Public name for WBGene00007419. History: N.A.
C07G1.5,C07G1.5.2,hgrs-1,-1.56,0.026,C07G1.5,WBGene00004101,Sequence name for WBGene00004101(hgrs-1). History: Renamed on 2008-01-18
C07G1.7,C07G1.7,,11.33,7.9e-06,C07G1.7,WBGene00015573,Public name for WBGene00015573. History: N.A.
C07G2.2,C07G2.2b,atf-7,-1.54,0.024,C07G2.2,WBGene00000223,"Sequence name for WBGene00000223(atf-7). History: Split into C07G2.5(WBGene00303035). History of WBGene00000223: Split into ""WBGene00303035"" on 2018-03-02"
C07H6.5,C07H6.5.1,cgh-1,-1.7,0.026,C07H6.5,WBGene00000479,Sequence name for WBGene00000479(cgh-1). History: N.A.
C08A9.10,C08A9.10,,1.95,0.00037,C08A9.10,WBGene00044773,Public name for WBGene00044773. History: N.A.
C08A9.3,C08A9.3,,-1.9,0.022,C08A9.3,WBGene00015583,Public name for WBGene00015583. History: N.A.
C08A9.7,C08A9.7,sdz-2,-1.46,0.05,C08A9.7,WBGene00015587,Sequence name for WBGene00015587(lido-2). History: N.A.
C08B11.6,C08B11.6.1,,1.46,0.042,C08B11.6,WBGene00007434,Sequence name for WBGene00007434(arp-6). History: N.A.
C08B11.7,C08B11.7,ubh-4,1.41,0.041,C08B11.7,WBGene00006724,Sequence name for WBGene00006724(ubh-4). History: N.A.
C08B11.9,C08B11.9,,-1.53,0.042,C08B11.9,WBGene00007436,Public name for WBGene00007436. History: N.A.
C08C3.1,C08C3.1a,egl-5,1.69,0.046,C08C3.1,WBGene00001174,Sequence name for WBGene00001174(egl-5). History: N.A.
C08D8.1,C08D8.1,,1.46,0.043,C08D8.1,WBGene00015592,Public name for WBGene00015592. History: N.A.
C08E3.10,C08E3.10a,fbxa-158,3.21,0.0063,C08E3.10,WBGene00015602,Sequence name for WBGene00015602(fbxa-158). History: N.A.
