# Dataset S1. List of genes showing >16-fold reduction in small RNA reads in rsd-2 late-generation compared to early-generation rsd-2.
chromosome_name,gene,public_name,Input,Suggested Match,History
V,WBGene00008235,C50F4.10,WBGene00008235,WBGene00008235,History: N.A.
V,WBGene00008259,C52E4.7,WBGene00008259,WBGene00008259,History: N.A.
V,WBGene00008299,C54D10.4,WBGene00008299,WBGene00008299,History: N.A.
I,WBGene00008313,C54G4.3,WBGene00008313,WBGene00008313,History: N.A.
V,WBGene00008333,C55A6.4,WBGene00008333,WBGene00008333,History: N.A.
I,WBGene00008383,D1081.5,WBGene00008383,WBGene00008383,History: N.A.
II,WBGene00008433,D2089.2,WBGene00008433,WBGene00008433,History: N.A.
IV,WBGene00008540,F02H6.7,WBGene00008540,WBGene00008540,History: N.A.
I,WBGene00008541,F07A5.2,WBGene00008541,WBGene00008541,History: N.A.
V,WBGene00008556,F07D3.3,WBGene00008556,WBGene00008556,History: N.A.
IV,WBGene00008581,acl-13,WBGene00008581,WBGene00008581,History: N.A.
IV,WBGene00008582,F08G5.3,WBGene00008582,WBGene00008582,History: N.A.
I,WBGene00008649,F10D11.3,WBGene00008649,WBGene00008649,History: N.A.
I,WBGene00008651,F10D11.5,WBGene00008651,WBGene00008651,History: N.A.
IV,WBGene00008706,F11E6.1,WBGene00008706,WBGene00008706,History: N.A.
V,WBGene00008726,F13A7.11,WBGene00008726,WBGene00008726,History: N.A.
IV,WBGene00008754,F13E9.5,WBGene00008754,WBGene00008754,History: N.A.
IV,WBGene00008772,F13G11.2,WBGene00008772,WBGene00008772,History: N.A.
III,WBGene00008812,F14F7.5,WBGene00008812,WBGene00008812,"History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
I,WBGene00008854,F15D3.4,WBGene00008854,WBGene00008854,History: N.A.
II,WBGene00008863,F15D4.6,WBGene00008863,WBGene00008863,History: N.A.
V,WBGene00009031,F21H7.5,WBGene00009031,WBGene00009031,History: N.A.
V,WBGene00009058,F22E12.1,WBGene00009058,WBGene00009058,History: N.A.
V,WBGene00009079,F23B12.1,WBGene00009079,WBGene00009079,History: N.A.
I,WBGene00009129,F25H5.7,WBGene00009129,WBGene00009129,History: N.A.
I,WBGene00009165,F26E4.12,WBGene00009165,WBGene00009165,History: N.A.
I,WBGene00009178,F26H9.8,WBGene00009178,WBGene00009178,History: N.A.
IV,WBGene00009185,F27C8.5,WBGene00009185,WBGene00009185,History: N.A.
II,WBGene00009193,F27E5.3,WBGene00009193,WBGene00009193,History: N.A.
V,WBGene00009239,F28H7.6,WBGene00009239,WBGene00009239,History: N.A.
I,WBGene00009269,F30A10.12,WBGene00009269,WBGene00009269,History: N.A.
II,WBGene00009308,F32A11.3,WBGene00009308,WBGene00009308,History: Renamed on 2014-09-24
I,WBGene00009313,F32B4.2,WBGene00009313,WBGene00009313,History: N.A.
I,WBGene00009344,F32H2.7,WBGene00009344,WBGene00009344,History: N.A.
I,WBGene00009361,F33E2.5,WBGene00009361,WBGene00009361,History: N.A.
II,WBGene00009390,F35C5.1,WBGene00009390,WBGene00009390,History: N.A.
II,WBGene00009401,F35C11.2,WBGene00009401,WBGene00009401,History: N.A.
I,WBGene00009416,F35E2.9,WBGene00009416,WBGene00009416,"History: Split into F35E2.10(WBGene00044270). History of WBGene00009416: Split into ""WBGene00044270"" on 2005-03-18"
II,WBGene00009446,F35H8.1,WBGene00009446,WBGene00009446,History: N.A.
I,WBGene00009457,F36A2.10,WBGene00009457,WBGene00009457,History: N.A.
I,WBGene00009459,F36A2.12,WBGene00009459,WBGene00009459,"History: Split into F36A2.14(WBGene00023490). History of WBGene00009459: Split into ""WBGene00023490"" on 2004-08-20"
V,WBGene00009470,F36D3.4,WBGene00009470,WBGene00009470,History: N.A.
II,WBGene00009513,sfxn-1.2,WBGene00009513,WBGene00009513,History: N.A.
V,WBGene00009605,F40G12.10,WBGene00009605,WBGene00009605,History: N.A.
IV,WBGene00009680,msd-1,WBGene00009680,WBGene00009680,History: N.A.
IV,WBGene00009685,F44D12.8,WBGene00009685,WBGene00009685,History: N.A.
II,WBGene00009714,F44G4.5,WBGene00009714,WBGene00009714,History: N.A.
I,WBGene00009749,F46A8.6,WBGene00009749,WBGene00009749,History: N.A.
I,WBGene00009753,scrm-6,WBGene00009753,WBGene00009753,History: N.A.
II,WBGene00009782,F46C5.7,WBGene00009782,WBGene00009782,History: N.A.
I,WBGene00009941,F52F12.8,WBGene00009941,WBGene00009941,History: N.A.
I,WBGene00009961,cutl-7,WBGene00009961,WBGene00009961,History: N.A.
V,WBGene00010004,F53H2.1,WBGene00010004,WBGene00010004,History: N.A.
V,WBGene00010012,F53H10.2,WBGene00010012,WBGene00010012,History: N.A.
III,WBGene00010035,F54C8.1,WBGene00010035,WBGene00010035,History: N.A.
V,WBGene00010091,F55C5.1,WBGene00010091,WBGene00010091,History: N.A.
I,WBGene00010114,F55D12.6,WBGene00010114,WBGene00010114,History: N.A.
IV,WBGene00010241,F58D2.2,WBGene00010241,WBGene00010241,History: N.A.
I,WBGene00010246,F58D5.7,WBGene00010246,WBGene00010246,History: N.A.
V,WBGene00010254,F58E6.5,WBGene00010254,WBGene00010254,History: N.A.
V,WBGene00010300,F59A1.15,WBGene00010300,WBGene00010300,History: N.A.
I,WBGene00010324,F59C6.3,WBGene00010324,WBGene00010324,"History: Split into F59C6.14(WBGene00044792). History of WBGene00010324: Split into ""WBGene00044792"" on 2006-03-20"
I,WBGene00010366,H05L14.1,WBGene00010366,WBGene00010366,History: N.A.
IV,WBGene00010373,H08M01.1,WBGene00010373,WBGene00010373,History: N.A.
V,WBGene00010381,H12D21.5,WBGene00010381,WBGene00010381,History: N.A.
IV,WBGene00010448,K01A6.6,WBGene00010448,WBGene00010448,History: N.A.
III,WBGene00010453,fozi-1,WBGene00010453,WBGene00010453,History: N.A.
V,WBGene00010474,K01D12.15,WBGene00010474,WBGene00010474,History: N.A.
V,WBGene00010507,K02E2.6,WBGene00010507,WBGene00010507,History: N.A.
III,WBGene00010547,K03H1.12,WBGene00010547,WBGene00010547,History: N.A.
I,WBGene00010611,K07A1.4,WBGene00010611,WBGene00010611,"History: Split into K07A1.21(WBGene00305018). History of WBGene00010611: Split into ""WBGene00305018"" on 2019-09-26"
I,WBGene00010651,K08C9.2,WBGene00010651,WBGene00010651,History: N.A.
IV,WBGene00010672,K08E7.4,WBGene00010672,WBGene00010672,History: N.A.
IV,WBGene00010679,K08F4.5,WBGene00010679,WBGene00010679,History: N.A.
II,WBGene00010682,K08F8.5,WBGene00010682,WBGene00010682,"History: Split into K08F8.15(WBGene00303068). History of WBGene00010682: Split into ""WBGene00303068"" on 2018-03-02"
V,WBGene00010735,K10C8.2,WBGene00010735,WBGene00010735,History: N.A.
II,WBGene00010763,K10H10.7,WBGene00010763,WBGene00010763,History: N.A.
IV,WBGene00010829,M02B1.4,WBGene00010829,WBGene00010829,History: N.A.
II,WBGene00010876,M05D6.3,WBGene00010876,WBGene00010876,History: N.A.
II,WBGene00010900,M28.9,WBGene00010900,WBGene00010900,History: N.A.
V,WBGene00011008,R04B5.11,WBGene00011008,WBGene00011008,History: N.A.
I,WBGene00011027,R05D7.2,WBGene00011027,WBGene00011027,History: N.A.
III,WBGene00011114,R07E5.6,WBGene00011114,WBGene00011114,History: N.A.
III,WBGene00011120,R07E5.15,WBGene00011120,WBGene00011120,History: N.A.
V,WBGene00011133,R08A2.2,WBGene00011133,WBGene00011133,History: N.A.
IV,WBGene00011173,acs-18,WBGene00011173,WBGene00011173,History: N.A.
IV,WBGene00011176,R09E10.6,WBGene00011176,WBGene00011176,History: N.A.
III,WBGene00011214,R10E9.2,WBGene00011214,WBGene00011214,History: N.A.
III,WBGene00011215,R10E9.3,WBGene00011215,WBGene00011215,History: N.A.
IV,WBGene00011241,R11A8.8,WBGene00011241,WBGene00011241,History: N.A.
V,WBGene00011322,T01C3.5,WBGene00011322,WBGene00011322,History: N.A.
V,WBGene00011438,T04F3.3,WBGene00011438,WBGene00011438,History: N.A.
II,WBGene00011466,T05C12.1,WBGene00011466,WBGene00011466,History: N.A.
II,WBGene00011467,T05C12.3,WBGene00011467,WBGene00011467,History: N.A.
I,WBGene00011493,T05F1.8,WBGene00011493,WBGene00011493,History: N.A.
V,WBGene00011533,T06E4.5,WBGene00011533,WBGene00011533,History: N.A.
V,WBGene00011669,T09F5.10,WBGene00011669,WBGene00011669,History: N.A.
V,WBGene00011795,T16A9.5,WBGene00011795,WBGene00011795,History: N.A.
III,WBGene00011808,T16G12.7,WBGene00011808,WBGene00011808,History: N.A.
IV,WBGene00011911,T22B3.3,WBGene00011911,WBGene00011911,History: N.A.
IV,WBGene00012012,T25B9.6,WBGene00012012,WBGene00012012,History: N.A.
IV,WBGene00012087,T27E7.1,WBGene00012087,WBGene00012087,History: N.A.
I,WBGene00012103,clec-12,WBGene00012103,WBGene00012103,History: N.A.
IV,WBGene00012120,T28C6.5,WBGene00012120,WBGene00012120,History: N.A.
III,WBGene00012124,T28D6.4,WBGene00012124,WBGene00012124,History: N.A.
I,WBGene00012138,T28F4.3,WBGene00012138,WBGene00012138,History: N.A.
IV,WBGene00012173,W01B6.6,WBGene00012173,WBGene00012173,History: N.A.
II,WBGene00012177,W01C9.4,WBGene00012177,WBGene00012177,History: N.A.
II,WBGene00012180,W01D2.3,WBGene00012180,WBGene00012180,History: N.A.
II,WBGene00012223,W03C9.8,WBGene00012223,WBGene00012223,History: N.A.
V,WBGene00012249,W04E12.4,WBGene00012249,WBGene00012249,History: N.A.
V,WBGene00012294,nspa-8,WBGene00012294,WBGene00012294,History: N.A.
I,WBGene00012296,W06D4.2,WBGene00012296,WBGene00012296,History: N.A.
III,WBGene00012307,W06F12.3,WBGene00012307,WBGene00012307,History: N.A.
X,WBGene00012407,Y7A5A.1,WBGene00012407,WBGene00012407,History: N.A.
V,WBGene00012452,Y17D7B.4,WBGene00012452,WBGene00012452,History: N.A.
X,WBGene00012514,Y26E6A.3,WBGene00012514,WBGene00012514,History: N.A.
II,WBGene00012595,Y38E10A.17,WBGene00012595,WBGene00012595,History: N.A.
III,WBGene00012758,Y41C4A.12,WBGene00012758,WBGene00012758,History: N.A.
III,WBGene00012761,Y41C4A.18,WBGene00012761,WBGene00012761,History: N.A.
IV,WBGene00012763,Y41E3.3,WBGene00012763,WBGene00012763,History: N.A.
IV,WBGene00012781,nspd-7,WBGene00012781,WBGene00012781,History: N.A.
IV,WBGene00012784,Y43C5A.4,WBGene00012784,WBGene00012784,History: N.A.
V,WBGene00012809,Y43F8A.2,WBGene00012809,WBGene00012809,History: N.A.
II,WBGene00012912,Y46G5A.22,WBGene00012912,WBGene00012912,History: N.A.
III,WBGene00012926,Y47D3A.13,WBGene00012926,WBGene00012926,History: N.A.
III,WBGene00012937,Y47D3A.31,WBGene00012937,WBGene00012937,History: N.A.
II,WBGene00012985,Y48C3A.1,WBGene00012985,WBGene00012985,History: N.A.
III,WBGene00013033,Y49E10.10,WBGene00013033,WBGene00013033,History: N.A.
V,WBGene00013053,Y50E8A.10,WBGene00013053,WBGene00013053,History: N.A.
V,WBGene00013068,Y51A2B.4,WBGene00013068,WBGene00013068,History: N.A.
II,WBGene00013162,Y53F4B.16,WBGene00013162,WBGene00013162,History: N.A.
II,WBGene00013163,Y53F4B.17,WBGene00013163,WBGene00013163,History: N.A.
II,WBGene00013190,Y54E2A.5,WBGene00013190,WBGene00013190,History: N.A.
II,WBGene00013192,Y54E2A.7,WBGene00013192,WBGene00013192,History: N.A.
II,WBGene00013222,Y54G11B.1,WBGene00013222,WBGene00013222,History: N.A.
II,WBGene00013279,Y57A10B.7,WBGene00013279,WBGene00013279,History: N.A.
IV,WBGene00013299,Y57G11B.7,WBGene00013299,WBGene00013299,History: N.A.
I,WBGene00013404,fbxb-101,WBGene00013404,WBGene00013404,History: N.A.
IV,WBGene00013417,srab-24,WBGene00013417,WBGene00013417,History: N.A.
IV,WBGene00013451,Y67A10A.2,WBGene00013451,WBGene00013451,"History: Split into Y67A10A.11(WBGene00044906). History of WBGene00013451: Split into ""WBGene00044906"" on 2006-06-30"
IV,WBGene00013474,Y69E1A.2,WBGene00013474,WBGene00013474,History: N.A.
IV,WBGene00013478,Y69E1A.8,WBGene00013478,WBGene00013478,History: N.A.
IV,WBGene00013521,Y73F8A.12,WBGene00013521,WBGene00013521,History: N.A.
IV,WBGene00013523,Y73F8A.14,WBGene00013523,WBGene00013523,History: N.A.
IV,WBGene00013537,Y73F8A.33,WBGene00013537,WBGene00013537,History: N.A.
II,WBGene00013592,Y81G3A.4,WBGene00013592,WBGene00013592,History: N.A.
IV,WBGene00013657,Y105C5B.18,WBGene00013657,WBGene00013657,History: N.A.
I,WBGene00013700,Y106G6D.3,WBGene00013700,WBGene00013700,History: N.A.
V,WBGene00013747,spe-19,WBGene00013747,WBGene00013747,History: N.A.
V,WBGene00013771,Y113G7C.1,WBGene00013771,WBGene00013771,History: N.A.
IV,WBGene00013785,Y116A8C.4,WBGene00013785,WBGene00013785,History: N.A.
IV,WBGene00013809,Y116A8C.33,WBGene00013809,WBGene00013809,History: N.A.
V,WBGene00013854,cyc-2.2,WBGene00013854,WBGene00013854,History: N.A.
IV,WBGene00013858,ZC168.6,WBGene00013858,WBGene00013858,History: N.A.
V,WBGene00013879,ZC376.8,WBGene00013879,WBGene00013879,History: N.A.
V,WBGene00013886,ZC412.5,WBGene00013886,WBGene00013886,History: N.A.
III,WBGene00013979,ZK507.3,WBGene00013979,WBGene00013979,History: N.A.
III,WBGene00013987,ZK512.8,WBGene00013987,WBGene00013987,History: N.A.
III,WBGene00013988,ZK512.10,WBGene00013988,WBGene00013988,History: N.A.
IV,WBGene00014007,ZK596.2,WBGene00014007,WBGene00014007,History: N.A.
III,WBGene00014029,ZK637.12,WBGene00014029,WBGene00014029,History: N.A.
III,WBGene00014032,ZK637.15,WBGene00014032,WBGene00014032,History: N.A.
V,WBGene00014105,ZK856.4,WBGene00014105,WBGene00014105,History: N.A.
V,WBGene00014106,ZK856.5,WBGene00014106,WBGene00014106,"History: Split into ZK856.18(WBGene00194912). History of WBGene00014106: Split into ""WBGene00194912"" on 2010-01-20"
II,WBGene00014127,ZK892.3,WBGene00014127,WBGene00014127,History: N.A.
II,WBGene00014129,ZK892.5,WBGene00014129,WBGene00014129,History: N.A.
II,WBGene00014157,ZK930.7,WBGene00014157,WBGene00014157,History: N.A.
II,WBGene00014174,ZK970.8,WBGene00014174,WBGene00014174,History: N.A.
III,WBGene00014179,ZK1010.5,WBGene00014179,WBGene00014179,History: N.A.
I,WBGene00014197,ZK1053.2,WBGene00014197,WBGene00014197,History: N.A.
IV,WBGene00014240,htas-1,WBGene00014240,WBGene00014240,History: N.A.
IV,WBGene00014241,ZK1251.3,WBGene00014241,WBGene00014241,History: N.A.
II,WBGene00014247,ZK1307.4,WBGene00014247,WBGene00014247,History: N.A.
II,WBGene00015004,B0034.4,WBGene00015004,WBGene00015004,History: N.A.
I,WBGene00015032,B0207.9,WBGene00015032,WBGene00015032,History: N.A.
IV,WBGene00015051,B0218.7,WBGene00015051,WBGene00015051,History: N.A.
II,WBGene00015089,B0252.5,WBGene00015089,WBGene00015089,"History: Split into B0252.11(WBGene00305086). History of WBGene00015089: Split into ""WBGene00305086"" on 2019-10-21"
I,WBGene00015093,B0261.5,WBGene00015093,WBGene00015093,History: N.A.
IV,WBGene00015097,B0273.1,WBGene00015097,WBGene00015097,History: N.A.
III,WBGene00015106,B0280.11,WBGene00015106,WBGene00015106,"History: Split into B0280.17(WBGene00044674). History of WBGene00015106: Split into ""WBGene00044674"" on 2005-11-18"
II,WBGene00015192,B0432.11,WBGene00015192,WBGene00015192,History: N.A.
IV,WBGene00015215,B0496.6,WBGene00015215,WBGene00015215,History: N.A.
I,WBGene00015230,tag-344,WBGene00015230,WBGene00015230,History: N.A.
II,WBGene00015287,C01B12.4,WBGene00015287,WBGene00015287,History: N.A.
III,WBGene00015345,C02F5.2,WBGene00015345,WBGene00015345,History: N.A.
I,WBGene00015500,C06A5.2,WBGene00015500,WBGene00015500,History: N.A.
IV,WBGene00015628,C09B9.3,WBGene00015628,WBGene00015628,"History: Split into C09B9.85(WBGene00220250). History of WBGene00015628: Split into ""WBGene00220250"" on 2012-08-17"
IV,WBGene00015629,C09B9.4,WBGene00015629,WBGene00015629,History: N.A.
I,WBGene00015634,C09D4.3,WBGene00015634,WBGene00015634,History: N.A.
V,WBGene00015661,C09H5.7,WBGene00015661,WBGene00015661,History: N.A.
I,WBGene00015685,C10G11.1,WBGene00015685,WBGene00015685,History: N.A.
I,WBGene00015689,C10G11.9,WBGene00015689,WBGene00015689,History: N.A.
I,WBGene00015690,C10G11.10,WBGene00015690,WBGene00015690,History: N.A.
I,WBGene00015696,C10H11.7,WBGene00015696,WBGene00015696,History: N.A.
III,WBGene00015735,pdfr-1,WBGene00015735,WBGene00015735,History: Renamed on 2012-08-29
X,WBGene00015775,C14E2.6,WBGene00015775,WBGene00015775,History: N.A.
V,WBGene00015860,C16D9.5,WBGene00015860,WBGene00015860,History: N.A.
I,WBGene00015907,C17F3.1,WBGene00015907,WBGene00015907,History: N.A.
II,WBGene00015914,C17F4.8,WBGene00015914,WBGene00015914,History: N.A.
IV,WBGene00015997,C18H7.7,WBGene00015997,WBGene00015997,History: N.A.
IV,WBGene00016053,C24D10.1,WBGene00016053,WBGene00016053,History: N.A.
IV,WBGene00016058,nspd-3,WBGene00016058,WBGene00016058,History: N.A.
IV,WBGene00016288,C31H1.5,WBGene00016288,WBGene00016288,History: N.A.
II,WBGene00016312,C32D5.4,WBGene00016312,WBGene00016312,History: N.A.
II,WBGene00016316,C32D5.8,WBGene00016316,WBGene00016316,History: N.A.
II,WBGene00016356,C33F10.8,WBGene00016356,WBGene00016356,History: N.A.
I,WBGene00016388,C34B2.3,WBGene00016388,WBGene00016388,History: N.A.
IV,WBGene00016399,C34D4.3,WBGene00016399,WBGene00016399,History: N.A.
II,WBGene00016413,C34F11.1,WBGene00016413,WBGene00016413,History: N.A.
II,WBGene00016414,C34F11.2,WBGene00016414,WBGene00016414,History: N.A.
I,WBGene00016420,C34G6.3,WBGene00016420,WBGene00016420,History: N.A.
III,WBGene00016447,msd-4,WBGene00016447,WBGene00016447,History: N.A.
I,WBGene00016461,C35E7.9,WBGene00016461,WBGene00016461,History: N.A.
I,WBGene00016491,acdh-5,WBGene00016491,WBGene00016491,History: N.A.
IV,WBGene00016541,C39H7.1,WBGene00016541,WBGene00016541,History: N.A.
III,WBGene00016635,C44B11.6,WBGene00016635,WBGene00016635,History: N.A.
IV,WBGene00016723,C46G7.3,WBGene00016723,,History: Killed on 2012-07-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
I,WBGene00016730,C46H11.6,WBGene00016730,WBGene00016730,History: N.A.
I,WBGene00016753,oac-9,WBGene00016753,WBGene00016753,History: N.A.
IV,WBGene00016765,C49C8.1,WBGene00016765,WBGene00016765,History: N.A.
IV,WBGene00016843,C50F7.3,WBGene00016843,WBGene00016843,History: N.A.
X,WBGene00016871,tag-303,WBGene00016871,WBGene00016871,History: Renamed on 2013-04-16
II,WBGene00016885,fbxb-97,WBGene00016885,WBGene00016885,History: N.A.
II,WBGene00017056,D2062.4,WBGene00017056,WBGene00017056,History: N.A.
IV,WBGene00017109,clec-177,WBGene00017109,WBGene00017109,History: N.A.
II,WBGene00017215,F07F6.1,WBGene00017215,WBGene00017215,History: N.A.
X,WBGene00017225,fbxa-52,WBGene00017225,WBGene00017225,History: N.A.
II,WBGene00017249,fbxb-108,WBGene00017249,WBGene00017249,History: N.A.
II,WBGene00017279,F09C12.8,WBGene00017279,WBGene00017279,History: N.A.
V,WBGene00017312,F09G2.3,WBGene00017312,WBGene00017312,History: N.A.
II,WBGene00017325,F10C1.3,WBGene00017325,WBGene00017325,History: N.A.
II,WBGene00017386,nspd-5,WBGene00017386,WBGene00017386,History: N.A.
II,WBGene00017393,F12A10.4,WBGene00017393,WBGene00017393,History: N.A.
II,WBGene00017444,F13H8.12,WBGene00017444,WBGene00017444,History: N.A.
V,WBGene00017507,F16B4.5,WBGene00017507,WBGene00017507,History: N.A.
V,WBGene00017533,fbxa-178,WBGene00017533,WBGene00017533,History: N.A.
V,WBGene00017536,F17A9.4,WBGene00017536,WBGene00017536,History: N.A.
