# FDR<0.05 AND Fc>4 or <4  lsm-8 vs WT ,
# 1125-N2_edgeR&fC,
# Genes up in GW1125  FDR & 4Fc,
# 122 genes,
WORMBASE_GENE_ID,1: up genes; 0: not significant change; -1 down genes,Input,Suggested Match,History
WBGene00012757,1,WBGene00012757,WBGene00012757,"History: Split into Y41C4A.32(WBGene00270321). History of WBGene00012757: Split into ""WBGene00270321"" on 2016-08-31"
WBGene00012961,1,WBGene00012961,WBGene00012961,History: N.A.
WBGene00021703,1,WBGene00021703,WBGene00021703,History: N.A.
WBGene00013065,1,WBGene00013065,WBGene00007440,"History: Merged into ""WBGene00007440"" on 2008-07-18"
WBGene00021964,1,WBGene00021964,WBGene00021964,History: N.A.
WBGene00022083,1,WBGene00022083,WBGene00022083,History: N.A.
WBGene00013586,1,WBGene00013586,WBGene00013586,History: N.A.
WBGene00022561,1,WBGene00022561,WBGene00022561,History: N.A.
WBGene00013837,1,WBGene00013837,WBGene00013837,History: N.A.
WBGene00001718,1,WBGene00001718,WBGene00001718,History: N.A.
WBGene00000620,1,WBGene00000620,WBGene00000620,History: N.A.
WBGene00022653,1,WBGene00022653,WBGene00022653,History: N.A.
WBGene00022674,1,WBGene00022674,WBGene00022674,History: N.A.
WBGene00022644,1,WBGene00022644,WBGene00022644,History: N.A.
WBGene00001734,1,WBGene00001734,WBGene00001734,History: N.A.
WBGene00000614,1,WBGene00000614,WBGene00000614,History: N.A.
WBGene00014173,1,WBGene00014173,WBGene00014173,History: N.A.
