gene_id,gene_name,mean of normalized counts for all samples,log2 fold change (MLE): group him5gtsf1 vs him5,Benjamini-Hochberg adjusted p-values,him5_adultmale_smRNA_rep1,him5_adultmale_smRNA_rep2,him5_adultmale_smRNA_rep3,him5gtsf1_adultmale_smRNA_rep1,him5gtsf1_adultmale_smRNA_rep2,him5gtsf1_adultmale_smRNA_rep3,Input,Suggested Match,History
WBGene00219748,linc-46,454.962467252306,-6.49252480833422,8.800003119162662e-111,525.777011485463,600.880906081432,498.44553664553,6.89802928879688,4.54565377961858,7.33356437419356,WBGene00219748,WBGene00219748,History: N.A.
WBGene00018199,F39E9.7,3407.22349392051,-11.2234362030163,2.0626450497313098e-103,6290.57860703315,7459.15267169494,6791.84883878129,3.14044479165284,1.68624781595492,4.59075309535331,WBGene00018199,WBGene00018199,History: N.A.
WBGene00006044,ssp-16,480.1254105289,-2.60305860590668,4.07800103419118e-95,600.495876802549,801.390879743801,772.642475607549,108.999604643617,123.201481053206,127.202117017081,WBGene00006044,WBGene00006044,History: N.A.
WBGene00235158,Y37E3.30,1092.59433047038,-9.12178103093517,1.7921801729966101e-93,980.271518760247,998.104821409279,1013.75417294169,1.90467409746454,1.53405938491206,2.08821259933039,WBGene00235158,WBGene00235158,History: N.A.
WBGene00044167,C36A4.11,495.55009405875,-7.26396729401354,4.32068863202562e-93,787.837093278705,683.423920727469,765.028716718519,7.09415217875362,3.80917335317307,3.45678221124213,WBGene00044167,WBGene00044167,History: N.A.
WBGene00012610,Y38F1A.8,715.667293979943,8.64796528986248,1.00164187489256e-90,1.39359122192396,0.967178390375514,1.39858386378457,479.174670078048,520.110288243851,513.387843832587,WBGene00012610,WBGene00012610,History: N.A.
WBGene00022486,fbxa-61,401.043502775353,-6.88092832621826,2.63792763491611e-87,287.551113503867,281.978691575289,314.469264430276,2.69968061036823,2.79562137908316,1.69133008776174,WBGene00022486,WBGene00022486,History: N.A.
WBGene00007454,C08F11.7,1120.27085191487,1.38611539661055,3.47307648513166e-87,264.793392413345,255.254679622294,282.206949740686,697.17874374693,739.299221023665,657.133514506288,WBGene00007454,WBGene00007454,History: N.A.
WBGene00022519,ZC123.4,509.54704028837,-1.87769612237808,6.61838230968187e-85,162.49991377018,166.933744884749,159.852733375308,45.2163397630788,41.8893267799317,46.8581911975279,WBGene00022519,WBGene00022519,History: N.A.
WBGene00008932,F18A11.5,318.379064998595,-2.70798630342563,1.96935674001929e-83,193.290232263319,167.413028811131,202.171597999366,29.6507294155697,31.2730527151676,23.7359544519784,WBGene00008932,WBGene00008932,History: N.A.
WBGene00007307,spch-1,447.582696921605,-2.28528460478673,1.23327983328965e-80,345.597017544041,426.240147943659,405.498032178383,74.5034391994627,73.7856889508643,97.6159298350858,WBGene00007307,WBGene00007307,History: N.A.
WBGene00012290,W05H12.2,240.991143117433,-5.51952463922742,4.54020135311699e-79,146.74527248261,159.926284276119,144.558941164903,3.64849663137538,3.73999306036607,1.9394296396128,WBGene00012290,WBGene00012290,History: N.A.
WBGene00044478,K06B9.6,237.993613832876,-5.66213276386586,1.29688742217473e-75,358.88985367846,377.959841826945,398.519464155818,5.90591110072026,9.51345782732777,6.16668326241489,WBGene00044478,WBGene00044478,History: N.A.
WBGene00010100,F55C9.3,319.914460103776,-6.79848997406666,3.71815396728508e-71,359.130033841105,432.637591755525,375.854388218122,1.91775142365876,4.11891227419038,4.67233352192663,WBGene00010100,WBGene00010100,History: N.A.
WBGene00015576,C07G3.8,468.195114641626,1.68391670003951,4.30174020968977e-67,99.8436798503942,105.651021441382,106.881468897774,317.630239802855,351.710541686627,334.507969687803,WBGene00015576,WBGene00015576,"History: Split into C07G3.15(WBGene00269378). History of WBGene00015576: Split into ""WBGene00269378"" on 2016-02-18"
WBGene00013644,Y105C5A.25,286.069441281579,-7.05859196065719,1.67067441780134e-58,191.015080786726,214.161105084129,212.807880140698,1.13271768248547,2.12872696613393,1.1038833778903,WBGene00013644,WBGene00013644,History: N.A.
WBGene00219660,linc-19,2574.22201406822,-11.8200749593929,1.22830395821885e-57,2755.39138807383,2844.14744717549,2618.56895992403,0.554196139703442,1.3390791479642,0.0,WBGene00219660,WBGene00219660,History: N.A.
WBGene00012237,W04A8.2,846.74679348163,1.1849739512122,2.1038817200625696e-57,256.671882351472,260.729054336219,242.484562324982,550.002222970551,599.256014378142,575.457104222936,WBGene00012237,WBGene00012237,History: N.A.
WBGene00018198,F39E9.6,2429.93857467127,-11.7354483231557,7.16877055910519e-57,4737.32238531861,4551.60041144535,4385.3208281913,0.0,0.78691564744563,4.28470288899642,WBGene00018198,WBGene00018198,History: N.A.
WBGene00021349,arl-13,556.220506632352,1.38858651509523,9.17782883664837e-57,103.379911993244,106.360650196573,99.706337493305,274.023868181612,275.458609082279,258.384572015295,WBGene00021349,WBGene00021349,History: N.A.
WBGene00219728,linc-16,171.003394646099,-5.55933171043098,6.6262245916227485e-56,226.377607875454,212.534045727307,233.679725601267,6.26983167910971,4.48874418613353,3.05511385571048,WBGene00219728,WBGene00219728,History: N.A.
WBGene00012240,W04A8.5,231.74498226887,2.14154987337327,3.72785051592529e-52,32.5826837372633,30.7990576523941,27.8472425244463,129.803094724896,128.969591134863,143.797832470899,WBGene00012240,WBGene00012240,History: N.A.
WBGene00012639,fezf-1,132.400636445721,-3.758940497483,4.39034842665945e-51,137.4359247684,147.85673578768,133.218552166129,8.84566416724867,10.4492077775567,12.0686862298111,WBGene00012639,WBGene00012639,History: N.A.
WBGene00020352,T08B6.2,877.895955475855,-9.94440549929185,8.50255616221108e-51,708.230997159602,704.035132221083,696.878342017652,1.25220267008942,0.336182317737848,0.610163386091262,WBGene00020352,WBGene00020352,History: N.A.
WBGene00012124,T28D6.4,473.246330814894,1.64960748508474,1.05514430608056e-50,25.7521494588339,24.0475901837867,31.6269472735123,77.4511704199851,86.6730319528925,92.8979497137492,WBGene00012124,WBGene00012124,History: N.A.
WBGene00194708,Y36E3A.2,336.116426984741,-7.87441942545245,1.22304444970732e-49,428.694875936302,449.360230591079,380.937318188282,2.61185507424592,1.05181794460555,1.90902603965187,WBGene00194708,WBGene00194708,History: N.A.
WBGene00016356,C33F10.8,291.555843622683,-2.04761309952824,1.41631077162097e-48,104.904623101471,119.997946807507,135.367828775088,31.7517391814178,25.7883347713133,30.4234129609793,WBGene00016356,WBGene00016356,History: N.A.
WBGene00022307,Y77E11A.2,573.356727751762,-1.27893703238647,3.56737540202852e-48,249.526863258053,232.798831085896,241.250471813349,96.1417731294594,102.581831978733,98.9665944634212,WBGene00022307,WBGene00022307,History: N.A.
WBGene00008743,F13D12.9,225.366258152276,-2.14872081805424,1.8202524240663102e-47,74.5467779809975,84.2458434130901,80.1454087592461,16.7322898499263,17.1187878275744,20.8236560405226,WBGene00008743,WBGene00008743,History: N.A.
WBGene00195170,linc-61,129.712612423264,-5.07430332632331,1.1965610418484602e-46,170.268124446595,197.279781499445,180.355396394546,3.7757256082849,6.08207704609695,6.6233002673418,WBGene00195170,WBGene00195170,History: N.A.
WBGene00010547,K03H1.12,117.65714903126,-4.06395843277283,3.14135055195293e-46,166.936985982501,170.05968161397,156.366046545689,10.0469698607956,8.09201344492431,12.4273120901556,WBGene00010547,WBGene00010547,History: N.A.
WBGene00219661,linc-45,2336.50440253824,-12.094724802544,2.41218423527107e-45,3791.23000355992,4006.29310717613,3805.14022040045,0.0,0.694337335981439,2.52041346411554,WBGene00219661,WBGene00219661,History: N.A.
WBGene00017279,F09C12.8,130.450056447914,-3.22772173586452,1.5975998093714702e-44,73.9419576759154,81.2707533356252,77.2529059009121,6.47564584945469,11.2547237948619,5.97865519394849,WBGene00017279,WBGene00017279,History: N.A.
WBGene00195253,H16D19.5,109.591180924213,-4.44172346466875,3.8213858923123895e-42,97.9368794841007,81.8686603839998,82.2643651197842,3.90918155184887,3.84819891259087,4.44461496169223,WBGene00195253,WBGene00195253,History: N.A.
WBGene00235359,F56D6.22,213.186454627841,-2.03688978624764,1.1512535539221e-41,401.652898604513,365.478291277376,396.821531656228,108.345345312023,88.2118388721419,86.0766205378745,WBGene00235359,WBGene00235359,History: N.A.
WBGene00018120,F36H12.4,107.891986715974,-3.89669530996892,1.8187421949779e-41,227.197599210633,221.802336401308,248.988613829691,22.782499488536,10.623361240516,14.0226640003519,WBGene00018120,WBGene00018120,History: N.A.
WBGene00008447,E01G4.5,253.226978783484,-7.66457200141977,4.91274480765023e-41,138.141133673894,134.18342480275,148.833913592195,0.869661634611555,0.933921867298111,0.0,WBGene00008447,WBGene00008447,History: N.A.
WBGene00012241,W04A8.6,2263.46189818626,0.747475001820296,3.35215109336285e-40,385.914791309369,374.270316611053,374.535157796729,590.281554072047,665.930842426693,648.269490988001,WBGene00012241,WBGene00012241,"History: Split into W04A8.9(WBGene00195155). History of WBGene00012241: Split into ""WBGene00195155"" on 2010-05-21"
WBGene00018783,cbs-2,358.144895866995,-1.67093912071839,5.8815403024359396e-40,87.210745113665,110.641497783123,110.178438812,35.722559505051,29.7201177562055,31.561427530554,WBGene00018783,WBGene00018783,History: N.A.
WBGene00019084,F59A6.2,104.180109194286,-3.67980487437594,8.82186050763874e-40,149.460381441505,170.046396739224,159.339836904586,13.7933261437301,9.72072270374014,15.1224807846933,WBGene00019084,WBGene00019084,History: N.A.
WBGene00021239,Y20F4.4,1757.84574666198,0.714263610453063,1.6615480602046e-39,221.957585734863,215.540393140507,216.147886426363,353.981099377206,366.697951253956,350.197026785897,WBGene00021239,WBGene00021239,History: N.A.
WBGene00008125,C47A4.5,99.5711804362906,-3.99276411286691,1.73803211267296e-39,272.110792568102,282.605293484292,269.599449485922,18.3334074323517,15.9965671189237,17.8667147494831,WBGene00008125,WBGene00008125,History: N.A.
WBGene00012369,W09G3.6,189.351658590433,2.0564307203117,3.39523068682041e-39,6.60938470430933,8.12287746407204,8.29132913185783,29.9769730112316,34.8551604337591,31.0729486371435,WBGene00012369,WBGene00012369,History: N.A.
WBTransposon00000751,WBTransposon00000751,1107.25221549635,-0.904614361681889,4.55139807602362e-38,247.124986403968,260.170987011013,259.920430208261,131.161817108361,147.629112211081,129.259193299333,,,
WBGene00219571,linc-15,157.106921724914,-6.59721625500532,6.96168996632215e-38,366.003233047899,360.236751246018,322.346270976601,5.85349177142393,1.8858037705058,3.42269165689063,WBGene00219571,WBGene00219571,History: N.A.
WBGene00000915,daf-21,651.030931230789,-1.1502118922044,1.44121037923421e-37,129.753826464082,139.179616151788,119.726855668048,53.6715378488328,60.3012982269412,61.3158565022987,WBGene00000915,WBGene00000915,History: Renamed on 2017-08-01
WBGene00007376,C06C3.5,3448.51016724609,-0.599055488120568,1.58599801446743e-37,2022.81786833139,2002.19017662784,1951.59485822859,1359.23836465353,1325.03992471556,1253.88345010713,WBGene00007376,WBGene00007376,History: N.A.
WBGene00022039,Y65B4BL.7,121.399329281346,-2.77893004018647,3.05169685213665e-36,90.2629941332484,88.4167490203733,84.5472766800301,16.3085137336592,13.135175503458,7.52843674639284,WBGene00022039,WBGene00022039,History: N.A.
WBGene00219319,H25P06.5,465.612291717302,1.20479591031227,3.1100761406955395e-36,152.246593612185,141.344557523959,135.058133692317,318.242890045203,341.61674295401,325.032654575401,WBGene00219319,WBGene00219319,History: N.A.
WBGene00009412,F35E2.5,169.604612739961,-2.09490660157279,4.08579015341927e-36,59.2476497941522,61.8030697114285,59.1572038163001,15.691394838293,13.3707822509943,12.9649199486012,WBGene00009412,WBGene00009412,History: N.A.
WBGene00007672,fbxa-136,774.966673420937,-0.949922911750854,4.6448567706092e-36,68.6765492707469,70.2850436730541,66.7181275755326,36.175529590822,35.8861867531727,34.0976444166694,WBGene00007672,WBGene00007672,History: N.A.
WBGene00000543,clp-2,3478.76912142285,0.599541062728029,1.1251716394213e-35,414.979056790771,401.752407849565,405.733298743347,586.64239044073,641.354553032083,623.723203108677,WBGene00000543,WBGene00000543,History: N.A.
WBGene00017215,F07F6.1,188.757579205714,-2.19633856446619,2.23994595647524e-35,66.051961605618,84.6478299938315,83.04835618808,17.8905126162776,13.3498356014463,21.1528716428181,WBGene00017215,WBGene00017215,History: N.A.
WBGene00011910,alg-3,203.466681244933,-1.8704799851455,4.37746110354945e-35,38.8276740355844,34.1277351329245,38.529981270033,10.6389403757552,10.418878576858,9.18992187007482,WBGene00011910,WBGene00011910,History: N.A.
WBGene00019174,H09G03.1,2624.66063331344,-12.8475344749292,9.958919694420071e-35,2162.11399511961,2235.41650681831,2163.25959130878,0.0,0.69890534477079,0.0,WBGene00019174,WBGene00019174,"History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
WBGene00021633,Y47G6A.3,97.3187992441988,-3.42093875790521,4.2988732758085e-34,87.0341572360734,105.281313158769,92.186824055287,13.8355260051838,7.13176698664012,4.8539990770449,WBGene00021633,WBGene00021633,History: N.A.
WBGene00016398,C34D4.2,178.561227216339,-1.99979206460011,5.58191872716157e-34,90.9189689635522,95.7160983262545,98.9145365201479,27.1215214519895,20.1638491032641,24.906247461082,WBGene00016398,WBGene00016398,History: N.A.
WBGene00000802,crt-1,596.519628608357,-1.19230495764357,8.8069219915256e-34,202.449001762955,234.786952606206,231.650686584177,86.0940364498335,97.801178252518,111.095574198394,WBGene00000802,WBGene00000802,History: N.A.
WBGene00013388,Y62F5A.10,182.718219738767,-1.97396253699428,1.43123570461189e-33,72.162974186647,84.9437711779293,77.5336094020268,22.1231333730448,17.5928275320647,20.4683259028491,WBGene00013388,WBGene00013388,History: N.A.
WBGene00219689,linc-41,2582.13728397422,-14.6400382554625,2.71918770256265e-33,3852.30477669635,4142.45364533933,3874.44950645346,0.0,0.0,0.0,WBGene00219689,WBGene00219689,History: N.A.
WBGene00019370,K03H6.5,215.691477096918,-1.76502251869454,5.76539874103135e-33,89.0794547400107,97.2256138309753,103.152217341125,31.9449966773155,26.6999939784485,26.4326682413336,WBGene00019370,WBGene00019370,History: N.A.
WBGene00219352,Y7A5A.21,2433.62714672486,-14.554553302203,6.772900539665809e-33,12684.1985379305,14195.4246151057,12752.7512006397,0.0,0.0,0.0,WBGene00219352,WBGene00219352,History: N.A.
WBGene00195254,H16D19.6,357.402629461017,-8.9687532875572,7.35793383540029e-33,774.53727003625,758.772318408612,707.250374947473,0.0,2.63389121665686,1.59348454549454,WBGene00195254,WBGene00195254,History: N.A.
WBGene00044744,F10G7.12,140.717287148397,-2.22262704714771,1.50881506013072e-32,184.870375248104,160.888516429511,171.985855706537,38.7178124998295,37.4208419431092,33.9589954998738,WBGene00044744,WBGene00044744,History: N.A.
WBGene00022057,Y67D2.7,389.707018540107,-1.29787318926443,1.60952247862875e-32,159.497820209892,165.781862385045,148.571301942744,58.6875031177191,70.1858023530721,62.8262614622509,WBGene00022057,WBGene00022057,History: N.A.
WBGene00009079,F23B12.1,139.721088800028,-2.28351206345552,3.03353621746353e-32,77.4423992190541,74.1986727124645,89.9624368629485,18.8082214578696,15.4398028998359,15.3332831905128,WBGene00009079,WBGene00009079,History: N.A.
WBGene00006382,taf-1,265.335937284702,1.58929940479507,3.17555158299733e-32,9.06848183826364,9.21182590120237,9.08728466401399,30.4436934349787,23.708374394531,28.5114323743059,WBGene00006382,WBGene00006382,History: N.A.
WBTransposon00000718,WBTransposon00000718,2076.12660687625,-0.620956050443313,6.27704119753493e-32,192.723855155119,200.718916603885,188.376676505511,126.84109335002,124.337940751749,127.328434908856,,,
WBGene00003235,mif-2,1375.80670884322,0.73847252113343,9.76459679547551e-32,695.096051169891,665.823520789763,653.575751831616,1068.99016964581,1110.2596919119,1186.63486870903,WBGene00003235,WBGene00003235,History: N.A.
WBGene00012819,Y43F8B.9,2027.55957654654,-14.2917227110657,9.76459679547551e-32,2155.81866097837,2399.09422657203,2386.11007016276,0.0,0.0,0.0,WBGene00012819,WBGene00012819,History: N.A.
WBGene00012414,Y7A5A.8,1981.06932822774,-14.2580681619467,1.32939222912034e-31,6556.05127037259,7127.97224687708,6940.29680276949,0.0,0.0,0.0,WBGene00012414,WBGene00012414,History: N.A.
WBGene00003373,mlh-1,1772.33610616642,0.667716291697766,3.1258940895141e-31,218.757996874917,218.481205887569,230.696108720326,339.240695604226,353.110696246458,371.001298351213,WBGene00003373,WBGene00003373,History: N.A.
WBGene00020797,T25D3.3,416.974399313477,-1.21015413163973,1.00412717276739e-30,144.945461095878,141.00476493657,153.968831166229,63.5519753012733,68.6691823742542,56.1995563992954,WBGene00020797,WBGene00020797,History: N.A.
WBGene00007213,C01A2.1,80.101012820922,-3.63278045854594,1.3033725920495298e-30,52.1507768377795,46.377965766492,54.6486221723345,4.28938800811119,4.89423146582038,2.6126237128027,WBGene00007213,WBGene00007213,History: N.A.
WBGene00006449,alg-4,261.79887595147,-1.76762229430423,3.67075333120069e-30,37.3160358886572,44.6517712261465,49.9329643999241,16.0723221430928,10.8482264383988,11.9128467051045,WBGene00006449,WBGene00006449,History: Renamed on 2013-12-23
WBGene00022108,Y71F9AL.2,142.534865032278,-2.11509194614725,4.3059681147642495e-30,60.7709203357348,56.009031925982,54.4733846362175,12.8807305907636,11.6193013568144,15.8165790238344,WBGene00022108,WBGene00022108,History: N.A.
WBGene00007049,tag-191,132.565246305182,-2.25367673116974,5.976022566917189e-30,68.78129048149,83.9744972485115,87.0255038361366,17.1050163003569,16.2258831627478,17.2252464845822,WBGene00007049,WBGene00007049,History: N.A.
WBGene00044155,Y7A5A.11,1342.74785431057,-11.8803042782953,1.0150948676497e-29,795.292127148372,842.25909230275,824.715762621731,0.636679072804919,0.0,0.0,WBGene00044155,WBGene00044155,History: N.A.
WBGene00004906,snf-7,102.480553959255,-2.57706468531436,1.3558002500738498e-29,30.7164160272773,29.2088749564198,30.7923974341038,5.55300016124761,5.04958320622083,4.45151341342091,WBGene00004906,WBGene00004906,History: N.A.
WBGene00003915,pan-1,6293.12726149839,0.512149536196749,2.04239394022006e-29,912.533934890519,901.736614668425,879.499812864333,1264.35422262757,1352.26636528116,1220.32121766831,WBGene00003915,WBGene00003915,History: N.A.
WBGene00008348,C56G7.3,269.654657378143,1.52216378673797,2.19330820925906e-29,39.1506399009451,54.5028561822209,52.2951446649266,130.923459946281,138.437517089904,152.89498941234,WBGene00008348,WBGene00008348,History: N.A.
WBGene00021402,Y38C1AA.12,876.020792537989,0.820546219632895,3.86988213182917e-29,128.805675748194,137.308492320271,131.542232958614,235.807867742227,243.537198311994,221.007283430505,WBGene00021402,WBGene00021402,History: N.A.
WBGene00010728,K09G1.2,112.621640667379,-2.51129373689393,4.05334585745677e-29,139.376988746523,111.819520668958,148.282676875187,23.1909769229748,22.1806443483301,25.4257094511876,WBGene00010728,WBGene00010728,History: N.A.
WBGene00219688,linc-21,1322.22170075491,-13.6746165290309,4.31974587286234e-29,3506.2706416641,3476.22400360636,3558.03255857221,0.0,0.0,0.0,WBGene00219688,WBGene00219688,History: N.A.
WBGene00195185,F19G12.9,174.074196072464,-7.60012089859589,6.38438794633028e-29,311.787144380153,357.047663475277,293.634387791648,1.93022460365004,0.777319115159708,2.82163360982691,WBGene00195185,WBGene00195185,History: N.A.
WBGene00219493,C18D4.12,1169.5148408404,-11.6814359583209,9.61960955324062e-29,2464.65461906121,2404.30573263585,2495.10143012929,0.0,1.76077810616287,0.0,WBGene00219493,WBGene00219493,History: N.A.
WBGene00014154,ZK930.4,87.5921690498415,-2.95082446851181,1.41441056001816e-28,76.4013665823801,79.6537985595313,83.8314208352175,13.4407623555794,7.79431395363946,10.2169206116695,WBGene00014154,WBGene00014154,History: N.A.
WBGene00012204,mfn-1,2013.04349290764,-0.637796426103814,2.24818891659852e-28,710.005495107555,723.160241547012,699.520655294569,429.198912440902,487.167412494144,451.805741704703,WBGene00012204,WBGene00012204,History: N.A.
WBGene00015931,C17H12.5,129.272334318121,-2.1773728522656,5.249098920905e-28,56.649094984239,50.9712890058717,59.9435381484134,13.7777174007053,10.2090797436714,13.6955336075861,WBGene00015931,WBGene00015931,History: N.A.
WBGene00015049,B0218.5,283.694556072599,-1.33050121252128,6.6520731040888285e-28,117.676705232174,123.448134733016,119.033722587877,48.8855252183162,49.0308980331508,44.4949915395782,WBGene00015049,WBGene00015049,History: N.A.
WBGene00219691,linc-106,1083.55431331927,-13.386568804029,7.199595148273849e-28,2767.9526379303,2506.80473019417,2493.93011675084,0.0,0.0,0.0,WBGene00219691,WBGene00219691,History: N.A.
WBGene00001814,haf-4,1130.66093876151,0.730668420369839,1.09632444076588e-27,128.266554528674,122.530152713207,131.520594120902,204.179783933316,208.269926809326,223.74071802616,WBGene00001814,WBGene00001814,History: N.A.
WBGene00194644,ZK795.6,1029.36202326567,-13.3127792155078,1.41357871900439e-27,2513.18764883837,2423.93987067789,2374.04774652855,0.0,0.0,0.0,WBGene00194644,WBGene00194644,History: N.A.
WBGene00001168,eef-1A.1,480.762853021258,-1.18030731860264,1.53305106744553e-27,144.23894064799,175.126930787702,170.20937172248,75.1030580129036,63.7813166796636,79.1660404668028,WBGene00001168,WBGene00001168,History: Renamed on 2005-09-08; Renamed on 2010-08-03
WBGene00012409,Y7A5A.3,968.947133346386,-11.4088599445594,1.96081101049421e-27,908.582340433,903.874458740745,883.816202936369,0.0,0.389134111374213,0.706269706977432,WBGene00012409,WBGene00012409,"History: Split into Y7A5A.24(WBGene00304823). History of WBGene00012409: Split into ""WBGene00304823"" on 2019-07-25"
