# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Embryo Targets 1–50 RPM (1432),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000289,,,,WBGene00000289,WBGene00000289,History: N.A.
WBGene00000292,,,,WBGene00000292,WBGene00000292,History: N.A.
WBGene00000375,,,,WBGene00000375,WBGene00000375,History: N.A.
WBGene00000388,,,,WBGene00000388,WBGene00000388,History: N.A.
WBGene00000390,,,,WBGene00000390,WBGene00000390,History: N.A.
WBGene00000396,,,,WBGene00000396,WBGene00000396,History: N.A.
WBGene00000406,,,,WBGene00000406,WBGene00000406,History: N.A.
WBGene00000408,,,,WBGene00000408,WBGene00000408,History: N.A.
WBGene00000414,,,,WBGene00000414,WBGene00000414,History: N.A.
WBGene00000416,,,,WBGene00000416,WBGene00000416,History: N.A.
WBGene00000420,,,,WBGene00000420,WBGene00000420,History: N.A.
WBGene00000423,,,,WBGene00000423,WBGene00000423,History: N.A.
WBGene00000425,,,,WBGene00000425,WBGene00000425,History: N.A.
WBGene00000444,,,,WBGene00000444,WBGene00000444,History: N.A.
WBGene00000459,,,,WBGene00000459,WBGene00000459,History: N.A.
WBGene00000464,,,,WBGene00000464,WBGene00000464,"History: Split into Y54F10AM.16(WBGene00306126). History of WBGene00000464: Split into ""WBGene00306126"" on 2022-01-04"
WBGene00000482,,,,WBGene00000482,WBGene00000482,History: N.A.
WBGene00000507,,,,WBGene00000507,WBGene00000507,History: N.A.
WBGene00000509,,,,WBGene00000509,WBGene00000509,History: N.A.
WBGene00000520,,,,WBGene00000520,WBGene00000520,History: N.A.
WBGene00000552,,,,WBGene00000552,WBGene00000552,History: N.A.
WBGene00000585,,,,WBGene00000585,WBGene00000585,History: Renamed on 2006-01-17
WBGene00000767,,,,WBGene00000767,WBGene00000767,History: N.A.
WBGene00000774,,,,WBGene00000774,WBGene00000774,History: N.A.
WBGene00000793,,,,WBGene00000793,WBGene00000793,History: N.A.
WBGene00000794,,,,WBGene00000794,WBGene00000794,History: N.A.
WBGene00000797,,,,WBGene00000797,WBGene00000797,History: N.A.
WBGene00000813,,,,WBGene00000813,WBGene00000813,History: N.A.
WBGene00000834,,,,WBGene00000834,WBGene00000834,History: N.A.
WBGene00000835,,,,WBGene00000835,WBGene00000835,History: N.A.
WBGene00000843,,,,WBGene00000843,WBGene00000843,History: Renamed on 2005-08-18; Renamed on 2013-11-18
WBGene00000881,,,,WBGene00000881,WBGene00000881,History: N.A.
WBGene00000884,,,,WBGene00000884,WBGene00000884,History: N.A.
WBGene00000889,,,,WBGene00000889,WBGene00000889,History: N.A.
WBGene00000900,,,,WBGene00000900,WBGene00000900,History: N.A.
WBGene00000914,,,,WBGene00000914,WBGene00000914,History: N.A.
WBGene00000933,,,,WBGene00000933,WBGene00000933,History: Renamed on 2018-06-07
WBGene00000976,,,,WBGene00000976,WBGene00000976,History: N.A.
WBGene00000980,,,,WBGene00000980,WBGene00000980,History: N.A.
WBGene00000985,,,,WBGene00000985,WBGene00000985,History: N.A.
WBGene00001000,,,,WBGene00001000,WBGene00001000,History: N.A.
WBGene00001005,,,,WBGene00001005,WBGene00001005,History: N.A.
WBGene00001018,,,,WBGene00001018,WBGene00001018,History: N.A.
WBGene00001020,,,,WBGene00001020,WBGene00001020,History: N.A.
WBGene00001022,,,,WBGene00001022,WBGene00001022,History: N.A.
WBGene00001027,,,,WBGene00001027,WBGene00001027,History: N.A.
WBGene00001033,,,,WBGene00001033,WBGene00001033,History: N.A.
WBGene00001036,,,,WBGene00001036,WBGene00001036,History: N.A.
WBGene00001043,,,,WBGene00001043,WBGene00001043,History: N.A.
WBGene00001046,,,,WBGene00001046,WBGene00001046,History: N.A.
WBGene00001051,,,,WBGene00001051,WBGene00001051,History: Renamed on 2007-08-17
WBGene00001077,,,,WBGene00001077,WBGene00001077,History: N.A.
WBGene00001080,,,,WBGene00001080,WBGene00001080,History: N.A.
WBGene00001081,,,,WBGene00001081,WBGene00001081,History: N.A.
WBGene00001082,,,,WBGene00001082,WBGene00001082,History: N.A.
WBGene00001086,,,,WBGene00001086,WBGene00001086,History: N.A.
WBGene00001089,,,,WBGene00001089,WBGene00001089,History: N.A.
WBGene00001104,,,,WBGene00001104,WBGene00001104,History: N.A.
WBGene00001148,,,,WBGene00001148,WBGene00001148,History: N.A.
WBGene00001154,,,,WBGene00001154,WBGene00001154,History: N.A.
WBGene00001155,,,,WBGene00001155,WBGene00001155,History: N.A.
WBGene00001169,,,,WBGene00001169,WBGene00001169,History: Renamed on 2010-08-03
WBGene00001193,,,,WBGene00001193,WBGene00001193,History: N.A.
WBGene00001233,,,,WBGene00001233,WBGene00001233,History: N.A.
WBGene00001234,,,,WBGene00001234,WBGene00001234,History: N.A.
WBGene00001239,,,,WBGene00001239,WBGene00001239,History: N.A.
WBGene00001241,,,,WBGene00001241,WBGene00001241,History: N.A.
WBGene00001249,,,,WBGene00001249,WBGene00001249,History: N.A.
WBGene00001309,,,,WBGene00001309,WBGene00001309,History: N.A.
WBGene00001328,,,,WBGene00001328,WBGene00001328,History: N.A.
WBGene00001340,,,,WBGene00001340,WBGene00001340,History: N.A.
WBGene00001405,,,,WBGene00001405,WBGene00001405,History: N.A.
WBGene00001413,,,,WBGene00001413,WBGene00001413,History: N.A.
WBGene00001435,,,,WBGene00001435,WBGene00001435,History: N.A.
WBGene00001436,,,,WBGene00001436,WBGene00001436,"History: Split into C29F7.10(WBGene00206389). History of WBGene00001436: Split into ""WBGene00206389"" on 2011-01-21"
WBGene00001449,,,,WBGene00001449,WBGene00001449,History: N.A.
WBGene00001470,,,,WBGene00001470,WBGene00001470,History: Renamed on 2014-10-08
WBGene00001481,,,,WBGene00001481,WBGene00001481,History: N.A.
WBGene00001482,,,,WBGene00001482,WBGene00001482,History: N.A.
WBGene00001484,,,,WBGene00001484,WBGene00001484,History: N.A.
WBGene00001486,,,,WBGene00001486,WBGene00001486,History: N.A.
WBGene00001491,,,,WBGene00001491,WBGene00001491,History: N.A.
WBGene00001492,,,,WBGene00001492,WBGene00001492,History: Renamed on 2012-02-07
WBGene00001493,,,,WBGene00001493,WBGene00001493,"History: Split into F55C5.17(WBGene00303048). History of WBGene00001493: Split into ""WBGene00303048"" on 2018-03-02"
WBGene00001497,,,,WBGene00001497,WBGene00001497,History: Renamed on 2010-01-29; Renamed on 2015-03-04
WBGene00001502,,,,WBGene00001502,WBGene00001502,History: N.A.
WBGene00001516,,,,WBGene00001516,WBGene00001516,History: N.A.
WBGene00001565,,,,WBGene00001565,WBGene00001565,History: N.A.
WBGene00001582,,,,WBGene00001582,WBGene00001582,History: N.A.
WBGene00001585,,,,WBGene00001585,WBGene00001585,History: N.A.
WBGene00001590,,,,WBGene00001590,WBGene00001590,"History: Split into gip-2(WBGene00044008). History of WBGene00001590: Split into ""WBGene00044008"" on 2004-11-29"
WBGene00001632,,,,WBGene00001632,WBGene00001632,History: N.A.
WBGene00001645,,,,WBGene00001645,WBGene00001645,History: N.A.
WBGene00001649,,,,WBGene00001649,WBGene00001649,History: N.A.
WBGene00001651,,,,WBGene00001651,WBGene00001651,History: N.A.
WBGene00001661,,,,WBGene00001661,WBGene00001661,History: N.A.
WBGene00001708,,,,WBGene00001708,WBGene00001708,History: N.A.
WBGene00001743,,,,WBGene00001743,WBGene00001743,History: N.A.
WBGene00001746,,,,WBGene00001746,WBGene00001746,History: N.A.
WBGene00001755,,,,WBGene00001755,WBGene00001755,History: N.A.
WBGene00001815,,,,WBGene00001815,WBGene00001815,History: N.A.
WBGene00001816,,,,WBGene00001816,WBGene00001816,History: N.A.
WBGene00001851,,,,WBGene00001851,WBGene00001851,History: N.A.
WBGene00001869,,,,WBGene00001869,WBGene00001869,History: N.A.
WBGene00001872,,,,WBGene00001872,WBGene00001872,History: N.A.
WBGene00001906,,,,WBGene00001906,WBGene00001906,History: N.A.
WBGene00001949,,,,WBGene00001949,WBGene00001949,History: N.A.
WBGene00001975,,,,WBGene00001975,WBGene00001975,History: N.A.
WBGene00001985,,,,WBGene00001985,WBGene00001985,History: N.A.
WBGene00001987,,,,WBGene00001987,WBGene00001987,History: N.A.
WBGene00001994,,,,WBGene00001994,WBGene00001994,"History: Split into F20B6.10(WBGene00303101). History of WBGene00001994: Split into ""WBGene00303101"" on 2018-03-06"
WBGene00002002,,,,WBGene00002002,WBGene00002002,History: N.A.
WBGene00002045,,,,WBGene00002045,WBGene00002045,History: N.A.
WBGene00002046,,,,WBGene00002046,WBGene00002046,History: Renamed on 2010-11-16
WBGene00002059,,,,WBGene00002059,WBGene00002059,History: N.A.
WBGene00002060,,,,WBGene00002060,WBGene00002060,History: N.A.
WBGene00002068,,,,WBGene00002068,WBGene00002068,History: N.A.
WBGene00002070,,,,WBGene00002070,WBGene00002070,History: N.A.
WBGene00002071,,,,WBGene00002071,WBGene00002071,History: N.A.
WBGene00002125,,,,WBGene00002125,WBGene00002125,History: N.A.
WBGene00002129,,,,WBGene00002129,WBGene00002129,History: N.A.
WBGene00002130,,,,WBGene00002130,WBGene00002130,History: N.A.
WBGene00002136,,,,WBGene00002136,WBGene00002136,History: N.A.
WBGene00002143,,,,WBGene00002143,WBGene00002143,History: N.A.
WBGene00002162,,,,WBGene00002162,WBGene00002162,History: N.A.
WBGene00002180,,,,WBGene00002180,WBGene00002180,History: N.A.
WBGene00002196,,,,WBGene00002196,WBGene00002196,History: N.A.
WBGene00002207,,,,WBGene00002207,WBGene00002207,History: Renamed on 2012-11-07
WBGene00002215,,,,WBGene00002215,WBGene00002215,History: N.A.
WBGene00002239,,,,WBGene00002239,WBGene00002239,History: N.A.
WBGene00002241,,,,WBGene00002241,WBGene00002241,History: N.A.
WBGene00002247,,,,WBGene00002247,WBGene00002247,History: N.A.
WBGene00002249,,,,WBGene00002249,WBGene00002249,History: N.A.
WBGene00002256,,,,WBGene00002256,WBGene00002256,History: N.A.
WBGene00002261,,,,WBGene00002261,WBGene00002261,History: N.A.
WBGene00002262,,,,WBGene00002262,WBGene00002262,History: N.A.
WBGene00002295,,,,WBGene00002295,WBGene00002295,History: N.A.
WBGene00002324,,,,WBGene00002324,WBGene00002324,History: N.A.
WBGene00002783,,,,WBGene00002783,WBGene00002783,History: N.A.
WBGene00002891,,,,WBGene00002891,WBGene00002891,History: N.A.
WBGene00002982,,,,WBGene00002982,WBGene00002982,History: Renamed on 2007-03-15
WBGene00002999,,,,WBGene00002999,WBGene00002999,History: N.A.
WBGene00003001,,,,WBGene00003001,WBGene00003001,History: N.A.
WBGene00003014,,,,WBGene00003014,WBGene00003014,History: N.A.
WBGene00003024,,,,WBGene00003024,WBGene00003024,History: N.A.
WBGene00003040,,,,WBGene00003040,WBGene00003040,History: N.A.
WBGene00003046,,,,WBGene00003046,WBGene00003046,History: Renamed on 2017-05-11
WBGene00003053,,,,WBGene00003053,WBGene00003053,History: N.A.
WBGene00003056,,,,WBGene00003056,WBGene00003056,History: N.A.
WBGene00003059,,,,WBGene00003059,WBGene00003059,History: N.A.
WBGene00003064,,,,WBGene00003064,WBGene00003064,History: Renamed on 2021-04-19
WBGene00003065,,,,WBGene00003065,WBGene00003065,History: N.A.
WBGene00003068,,,,WBGene00003068,WBGene00003068,History: N.A.
WBGene00003071,,,,WBGene00003071,WBGene00003071,History: N.A.
WBGene00003072,,,,WBGene00003072,WBGene00003072,History: Renamed on 2008-05-09
WBGene00003074,,,,WBGene00003074,WBGene00003074,History: Renamed on 2010-01-29
WBGene00003078,,,,WBGene00003078,WBGene00003078,History: N.A.
WBGene00003081,,,,WBGene00003081,WBGene00003081,History: N.A.
WBGene00003083,,,,WBGene00003083,WBGene00003083,History: N.A.
WBGene00003084,,,,WBGene00003084,WBGene00003084,History: N.A.
WBGene00003130,,,,WBGene00003130,WBGene00003130,History: N.A.
WBGene00003149,,,,WBGene00003149,WBGene00003149,History: N.A.
WBGene00003151,,,,WBGene00003151,WBGene00003151,History: N.A.
WBGene00003164,,,,WBGene00003164,WBGene00003164,History: N.A.
WBGene00003172,,,,WBGene00003172,WBGene00003172,History: N.A.
WBGene00003185,,,,WBGene00003185,WBGene00003185,History: N.A.
WBGene00003221,,,,WBGene00003221,WBGene00003221,History: N.A.
WBGene00003231,,,,WBGene00003231,WBGene00003231,History: N.A.
WBGene00003236,,,,WBGene00003236,WBGene00003236,History: N.A.
WBGene00003243,,,,WBGene00003243,WBGene00003243,History: N.A.
WBGene00003254,,,,WBGene00003254,WBGene00003254,History: N.A.
WBGene00003372,,,,WBGene00003372,WBGene00003372,History: N.A.
WBGene00003390,,,,WBGene00003390,WBGene00003390,History: Renamed on 2011-05-05
WBGene00003395,,,,WBGene00003395,WBGene00003395,History: N.A.
WBGene00003396,,,,WBGene00003396,WBGene00003396,History: N.A.
WBGene00003417,,,,WBGene00003417,WBGene00003417,History: N.A.
WBGene00003423,,,,WBGene00003423,WBGene00003423,"History: Split into R10E9.4(WBGene00303072). History of WBGene00003423: Split into ""WBGene00303072"" on 2018-03-02"
WBGene00003477,,,,WBGene00003477,WBGene00003477,History: N.A.
WBGene00003499,,,,WBGene00003499,WBGene00003499,History: Renamed on 2006-07-10
WBGene00003516,,,,WBGene00003516,WBGene00003516,History: N.A.
WBGene00003564,,,,WBGene00003564,WBGene00003564,History: N.A.
WBGene00003566,,,,WBGene00003566,WBGene00003566,History: N.A.
WBGene00003568,,,,WBGene00003568,WBGene00003568,History: N.A.
WBGene00003581,,,,WBGene00003581,WBGene00003581,History: N.A.
WBGene00003586,,,,WBGene00003586,WBGene00003586,History: N.A.
WBGene00003599,,,,WBGene00003599,WBGene00003599,History: N.A.
WBGene00003601,,,,WBGene00003601,WBGene00003601,History: N.A.
WBGene00003603,,,,WBGene00003603,WBGene00003603,History: N.A.
WBGene00003612,,,,WBGene00003612,WBGene00003612,History: N.A.
WBGene00003619,,,,WBGene00003619,WBGene00003619,History: N.A.
WBGene00003621,,,,WBGene00003621,WBGene00003621,History: N.A.
WBGene00003627,,,,WBGene00003627,WBGene00003627,History: N.A.
WBGene00003660,,,,WBGene00003660,WBGene00003660,History: N.A.
WBGene00003678,,,,WBGene00003678,WBGene00003678,History: N.A.
WBGene00003690,,,,WBGene00003690,WBGene00003690,History: N.A.
WBGene00003728,,,,WBGene00003728,WBGene00003728,"History: Split into C28D4.18(WBGene00303043). History of WBGene00003728: Split into ""WBGene00303043"" on 2018-03-02"
WBGene00003733,,,,WBGene00003733,WBGene00003733,History: N.A.
WBGene00003776,,,,WBGene00003776,WBGene00003776,History: N.A.
WBGene00003818,,,,WBGene00003818,WBGene00003818,History: N.A.
WBGene00003822,,,,WBGene00003822,WBGene00003822,"History: Split into F59A6.13(WBGene00303064). History of WBGene00003822: Renamed on 2016-10-25; Split into ""WBGene00303064"" on 2018-03-02; Renamed on 2019-08-02"
WBGene00003830,,,,WBGene00003830,WBGene00003830,History: N.A.
WBGene00003836,,,,WBGene00003836,WBGene00003836,History: N.A.
WBGene00003870,,,,WBGene00003870,WBGene00003870,History: N.A.
WBGene00003898,,,,WBGene00003898,WBGene00003898,History: N.A.
WBGene00003912,,,,WBGene00003912,WBGene00003912,History: N.A.
WBGene00003949,,,,WBGene00003949,WBGene00003949,History: N.A.
WBGene00003950,,,,WBGene00003950,WBGene00003950,History: N.A.
WBGene00003952,,,,WBGene00003952,WBGene00003952,History: N.A.
WBGene00003953,,,,WBGene00003953,WBGene00003953,History: N.A.
WBGene00003965,,,,WBGene00003965,WBGene00003965,History: N.A.
WBGene00003979,,,,WBGene00003979,WBGene00003979,History: Resurrected on 2011-05-24
WBGene00003982,,,,WBGene00003982,WBGene00003982,History: N.A.
WBGene00003983,,,,WBGene00003983,WBGene00003983,History: N.A.
WBGene00003998,,,,WBGene00003998,WBGene00003998,History: N.A.
WBGene00004015,,,,WBGene00004015,WBGene00004015,History: N.A.
WBGene00004032,,,,WBGene00004032,WBGene00004032,History: Renamed on 2005-07-28
WBGene00004034,,,,WBGene00004034,WBGene00004034,History: N.A.
WBGene00004038,,,,WBGene00004038,WBGene00004038,History: N.A.
WBGene00004046,,,,WBGene00004046,WBGene00004046,History: N.A.
WBGene00004053,,,,WBGene00004053,WBGene00004053,History: Renamed on 2014-11-18
WBGene00004055,,,,WBGene00004055,WBGene00004055,History: N.A.
WBGene00004088,,,,WBGene00004088,WBGene00004088,History: N.A.
WBGene00004111,,,,WBGene00004111,WBGene00004111,History: N.A.
WBGene00004121,,,,WBGene00004121,WBGene00004121,History: Renamed on 2012-12-21
WBGene00004126,,,,WBGene00004126,WBGene00004126,History: N.A.
WBGene00004134,,,,WBGene00004134,WBGene00004134,History: Renamed on 2014-12-09
WBGene00004147,,,,WBGene00004147,WBGene00004147,History: Renamed on 2006-12-05; Renamed on 2008-04-18
WBGene00004163,,,,WBGene00004163,WBGene00004163,History: N.A.
WBGene00004186,,,,WBGene00004186,WBGene00004186,History: Renamed on 2007-02-23; Renamed on 2015-03-05
WBGene00004190,,,,WBGene00004190,WBGene00004190,History: Renamed on 2010-01-29
WBGene00004201,,,,WBGene00004201,WBGene00004201,History: N.A.
WBGene00004205,,,,WBGene00004205,WBGene00004205,History: N.A.
WBGene00004215,,,,WBGene00004215,WBGene00004215,History: Renamed on 2015-07-01
WBGene00004269,,,,WBGene00004269,WBGene00004269,History: N.A.
WBGene00004272,,,,WBGene00004272,WBGene00004272,History: N.A.
WBGene00004273,,,,WBGene00004273,WBGene00004273,History: Renamed on 2006-03-23
WBGene00004276,,,,WBGene00004276,WBGene00004276,History: N.A.
WBGene00004283,,,,WBGene00004283,WBGene00004283,History: N.A.
WBGene00004284,,,,WBGene00004284,WBGene00004284,History: Renamed on 2008-03-27
WBGene00004297,,,,WBGene00004297,WBGene00004297,History: N.A.
WBGene00004313,,,,WBGene00004313,WBGene00004313,History: N.A.
WBGene00004320,,,,WBGene00004320,WBGene00004320,History: N.A.
WBGene00004322,,,,WBGene00004322,WBGene00004322,History: N.A.
WBGene00004334,,,,WBGene00004334,WBGene00004334,History: N.A.
WBGene00004338,,,,WBGene00004338,WBGene00004338,History: N.A.
WBGene00004351,,,,WBGene00004351,WBGene00004351,History: N.A.
WBGene00004354,,,,WBGene00004354,WBGene00004354,History: N.A.
WBGene00004356,,,,WBGene00004356,WBGene00004356,History: N.A.
WBGene00004367,,,,WBGene00004367,WBGene00004367,History: N.A.
WBGene00004369,,,,WBGene00004369,WBGene00004369,History: N.A.
WBGene00004380,,,,WBGene00004380,WBGene00004380,History: N.A.
WBGene00004386,,,,WBGene00004386,WBGene00004386,History: N.A.
WBGene00004388,,,,WBGene00004388,WBGene00004388,History: N.A.
WBGene00004408,,,,WBGene00004408,WBGene00004408,History: Renamed on 2010-03-08
WBGene00004415,,,,WBGene00004415,WBGene00004415,History: N.A.
WBGene00004440,,,,WBGene00004440,WBGene00004440,History: N.A.
WBGene00004479,,,,WBGene00004479,WBGene00004479,History: N.A.
WBGene00004488,,,,WBGene00004488,WBGene00004488,History: N.A.
WBGene00004679,,,,WBGene00004679,WBGene00004679,History: Renamed on 2010-01-29
WBGene00004721,,,,WBGene00004721,WBGene00004721,History: Renamed on 2007-02-23; Renamed on 2013-11-19
WBGene00004728,,,,WBGene00004728,WBGene00004728,History: N.A.
WBGene00004729,,,,WBGene00004729,WBGene00004729,"History: Split into ZK377.15(WBGene00303098). History of WBGene00004729: Split into ""WBGene00303098"" on 2018-03-02"
WBGene00004758,,,,WBGene00004758,WBGene00004758,History: N.A.
WBGene00004769,,,,WBGene00004769,WBGene00004769,History: N.A.
WBGene00004774,,,,WBGene00004774,WBGene00004774,History: N.A.
WBGene00004776,,,,WBGene00004776,WBGene00004776,History: N.A.
WBGene00004779,,,,WBGene00004779,WBGene00004779,History: Renamed on 2005-12-15; Renamed on 2005-12-15
WBGene00004786,,,,WBGene00004786,WBGene00004786,History: N.A.
WBGene00004788,,,,WBGene00004788,WBGene00004788,History: N.A.
WBGene00004807,,,,WBGene00004807,WBGene00004807,History: N.A.
WBGene00004808,,,,WBGene00004808,WBGene00004808,History: N.A.
WBGene00004818,,,,WBGene00004818,WBGene00004818,History: N.A.
WBGene00004820,,,,WBGene00004820,WBGene00004820,History: N.A.
WBGene00004822,,,,WBGene00004822,WBGene00004822,History: N.A.
WBGene00004829,,,,WBGene00004829,WBGene00004829,History: N.A.
WBGene00004855,,,,WBGene00004855,WBGene00004855,History: N.A.
WBGene00004881,,,,WBGene00004881,WBGene00004881,History: N.A.
WBGene00004888,,,,WBGene00004888,WBGene00004888,History: N.A.
WBGene00004894,,,,WBGene00004894,WBGene00004894,History: N.A.
WBGene00004915,,,,WBGene00004915,WBGene00004915,History: N.A.
WBGene00004916,,,,WBGene00004916,WBGene00004916,History: N.A.
WBGene00004917,,,,WBGene00004917,WBGene00004917,History: N.A.
WBGene00004918,,,,WBGene00004918,WBGene00004918,History: N.A.
WBGene00004927,,,,WBGene00004927,WBGene00004927,History: Renamed on 2014-09-25
WBGene00004929,,,,WBGene00004929,WBGene00004929,History: N.A.
WBGene00004931,,,,WBGene00004931,WBGene00004931,History: N.A.
WBGene00004945,,,,WBGene00004945,WBGene00004945,History: N.A.
WBGene00004978,,,,WBGene00004978,WBGene00004978,History: Renamed on 2005-03-17; Renamed on 2015-03-05
WBGene00004981,,,,WBGene00004981,WBGene00004981,History: N.A.
WBGene00005007,,,,WBGene00005007,WBGene00005007,History: N.A.
WBGene00005023,,,,WBGene00005023,WBGene00005023,"History: Split into T24D1.7(WBGene00303082). History of WBGene00005023: Split into ""WBGene00303082"" on 2018-03-02"
WBGene00005024,,,,WBGene00005024,WBGene00005024,History: N.A.
WBGene00005662,,,,WBGene00005662,WBGene00005662,History: Renamed on 2010-01-29
WBGene00005663,,,,WBGene00005663,WBGene00005663,History: Renamed on 2010-01-29
WBGene00006059,,,,WBGene00006059,WBGene00006059,History: N.A.
WBGene00006331,,,,WBGene00006331,WBGene00006331,History: Renamed on 2010-10-07
WBGene00006368,,,,WBGene00006368,WBGene00006368,History: N.A.
WBGene00006386,,,,WBGene00006386,WBGene00006386,History: N.A.
WBGene00006387,,,,WBGene00006387,WBGene00006387,History: N.A.
WBGene00006394,,,,WBGene00006394,WBGene00006394,History: N.A.
WBGene00006395,,,,WBGene00006395,WBGene00006395,History: N.A.
WBGene00006431,,,,WBGene00006431,WBGene00006431,History: N.A.
WBGene00006433,,,,WBGene00006433,WBGene00006433,History: Renamed on 2006-07-19
WBGene00006443,,,,WBGene00006443,WBGene00006443,History: Renamed on 2005-09-08; Renamed on 2006-12-04
WBGene00006444,,,,WBGene00006444,WBGene00006444,History: Renamed on 2007-01-03
WBGene00006462,,,,WBGene00006462,WBGene00006462,History: N.A.
WBGene00006479,,,,WBGene00006479,WBGene00006479,History: Renamed on 2007-07-20
WBGene00006489,,,,WBGene00006489,WBGene00006489,History: Renamed on 2011-09-30
WBGene00006498,,,,WBGene00006498,WBGene00006498,History: Renamed on 2005-07-26; Renamed on 2010-08-17
WBGene00006503,,,,WBGene00006503,WBGene00006503,History: Renamed on 2007-07-20
WBGene00006504,,,,WBGene00006504,WBGene00006504,History: Renamed on 2006-02-02
WBGene00006510,,,,WBGene00006510,WBGene00006510,History: Renamed on 2011-04-20
WBGene00006514,,,,WBGene00006514,WBGene00006514,History: Renamed on 2008-11-20
WBGene00006515,,,,WBGene00006515,WBGene00006515,History: N.A.
WBGene00006537,,,,WBGene00006537,WBGene00006537,History: N.A.
WBGene00006542,,,,WBGene00006542,WBGene00006542,History: N.A.
WBGene00006546,,,,WBGene00006546,WBGene00006546,History: N.A.
WBGene00006555,,,,WBGene00006555,WBGene00006555,History: N.A.
WBGene00006568,,,,WBGene00006568,WBGene00006568,History: N.A.
