# Ancestral population mRNA levels,,,,,,,,,,,
Gene ID,Public Name,Ancestral hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,Input,Suggested Match,History
C50F4.13,his-35,yes,461.24,384.14,394.34,340.55,288.66,341.13,C50F4.13,WBGene00001909,Sequence name for WBGene00001909(his-35). History: N.A.
C50F4.5,his-41,yes,154.61,140.63,160.46,184.04,198.07,188.78,C50F4.5,WBGene00001915,Sequence name for WBGene00001915(his-41). History: N.A.
C52E4.2,mif-2,yes,311.78,315.8,296.83,346.17,278.9,303.63,C52E4.2,WBGene00003235,Sequence name for WBGene00003235(mif-2). History: N.A.
C53D5.5,C53D5.5,yes,200.06,211.39,226.57,237.64,221.05,225.24,C53D5.5,WBGene00016906,Public name for WBGene00016906. History: N.A.
C55C3.3,C55C3.3,yes,26.62,21.71,17.83,13.04,10.87,15.46,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
C56A3.1,grl-17,yes,6.87,5.66,1.05,2.9,2.42,4.42,C56A3.1,WBGene00001726,Sequence name for WBGene00001726(grl-17). History: N.A.
C56G2.15,C56G2.15,yes,160.59,177.43,153.13,107.23,123.2,108.2,C56G2.15,WBGene00016983,Public name for WBGene00016983. History: N.A.
C56G7.3,C56G7.3,yes,148.55,117.02,101.74,56.51,82.14,78.39,C56G7.3,WBGene00008348,Public name for WBGene00008348. History: N.A.
D2023.7,col-158,yes,66.12,55.68,66.08,107.23,136.49,110.41,D2023.7,WBGene00000731,Sequence name for WBGene00000731(col-158). History: N.A.
E02H9.3,E02H9.3,yes,694.73,730.31,733,330.41,295.97,282.69,E02H9.3,WBGene00017101,Public name for WBGene00017101. History: N.A.
F07B7.10,his-51,yes,931.06,756.02,844.26,256.5,332.14,390.81,F07B7.10,WBGene00001925,Sequence name for WBGene00001925(his-51). History: N.A.
F07B7.11,his-54,yes,1149.17,2176.46,766.67,347.79,291.08,490.18,F07B7.11,WBGene00001928,Sequence name for WBGene00001928(his-54). History: N.A.
F07B7.2,F07B7.2,yes,197.5,177.42,191.95,10.14,14.49,19.87,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
F07B7.3,his-53,yes,931.06,756.02,844.26,256.5,332.14,390.81,F07B7.3,WBGene00001927,Sequence name for WBGene00001927(his-53). History: N.A.
F07B7.4,his-52,yes,968.01,480.42,959.62,295.63,374.41,409.58,F07B7.4,WBGene00001926,Sequence name for WBGene00001926(his-52). History: N.A.
F07B7.5,his-49,yes,0,66.07,127.95,172.45,0,9.94,F07B7.5,WBGene00001923,Sequence name for WBGene00001923(his-49). History: N.A.
F08B4.2,cdh-5,yes,91.76,102.83,70.67,242.99,254.62,263.86,F08B4.2,WBGene00000397,"Sequence name for WBGene00000397(cdh-5). History: Split into F08B4.8(WBGene00255375). History of WBGene00000397: Split into ""WBGene00255375"" on 2014-02-26"
F08B6.4,unc-87,yes,6731.85,7413.4,7719.58,9923.49,9714.16,9973.8,F08B6.4,WBGene00006819,Sequence name for WBGene00006819(unc-87). History: N.A.
F08G2.1,his-44,yes,4914.79,4597.51,4272.67,570.97,541.08,752.91,F08G2.1,WBGene00001918,Sequence name for WBGene00001918(his-44). History: N.A.
F08G2.2,his-43,yes,7080.87,5834.85,6371.3,828.92,868.39,1067.56,F08G2.2,WBGene00001917,Sequence name for WBGene00001917(his-43). History: N.A.
F08G2.3,his-42,yes,1.72,1.89,0,0,4.83,2.21,F08G2.3,WBGene00001916,Sequence name for WBGene00001916(his-42). History: N.A.
F08G2.4,F08G2.4,yes,143.42,144.4,132.15,89.84,90.59,85.01,F08G2.4,WBGene00008576,Public name for WBGene00008576. History: N.A.
F09D1.1,usp-39,yes,1883.85,1857.19,1807.28,1464.94,1561.86,1421.02,F09D1.1,WBGene00017280,Sequence name for WBGene00017280(usp-39). History: N.A.
F10G8.5,ncs-2,yes,496.38,480.38,521.27,482.55,469.85,442.73,F10G8.5,WBGene00003564,Sequence name for WBGene00003564(ncs-2). History: N.A.
F10G8.7,ercc-1,yes,934.29,861.64,899.93,831.75,834.65,826.96,F10G8.7,WBGene00008665,Sequence name for WBGene00008665(ercc-1). History: N.A.
F11A6.2,scrm-4,yes,33.49,39.64,38.81,15.94,20.53,17.67,F11A6.2,WBGene00008681,Sequence name for WBGene00008681(scrm-4). History: Renamed on 2007-05-03
F11G11.14,F11G11.14,yes,0,9.44,0,18.84,12.08,8.83,F11G11.14,WBGene00044384,Public name for WBGene00044384. History: N.A.
F13A7.11,F13A7.11,yes,48.95,60.4,58.74,102.88,71.26,111.51,F13A7.11,WBGene00008726,Public name for WBGene00008726. History: N.A.
F15A4.12,tag-280,yes,237.05,248.23,200.32,176.79,161.84,161.18,F15A4.12,WBGene00044322,"Sequence name for WBGene00044322(tag-280). History: N.A.. Public name for Dead gene WBGene00008846. History of WBGene00008846: Merged into ""WBGene00044322"" on 2006-06-29"
F15D3.2,clec-101,yes,0,2.83,0,0,0,0,F15D3.2,WBGene00008853,Sequence name for WBGene00008853(clec-101). History: N.A.
F17E9.10,his-32,yes,523.92,423.78,482.44,369.53,336.97,466.99,F17E9.10,WBGene00001906,Sequence name for WBGene00001906(his-32). History: N.A.
F17E9.13,his-33,yes,364.18,298.25,364.97,262.3,307.98,338.92,F17E9.13,WBGene00001907,Sequence name for WBGene00001907(his-33). History: N.A.
F17E9.9,his-34,yes,628.74,568.2,534.87,411.56,407.02,570.76,F17E9.9,WBGene00001908,Sequence name for WBGene00001908(his-34). History: N.A.
F18F11.3,cdh-8,yes,80.71,60.4,58.74,69.55,70.06,75.08,F18F11.3,WBGene00017576,Sequence name for WBGene00017576(cdh-8). History: N.A.
F20B6.7,F20B6.7,yes,2.58,0,0,1.45,3.62,3.31,F20B6.7,WBGene00017631,Public name for WBGene00017631. History: N.A.
F21A3.3,F21A3.3,yes,79.86,88.71,116.43,130.41,111.13,130.28,F21A3.3,WBGene00008993,Public name for WBGene00008993. History: N.A.
F22B3.1,his-64,yes,22371.26,14271.77,18502.6,9564.8,10533.66,11251.31,F22B3.1,WBGene00001938,Sequence name for WBGene00001938(his-64). History: N.A.
F22B3.2,his-63,yes,14815.76,12626.56,13462.23,8497.76,7926.7,9207.39,F22B3.2,WBGene00001937,Sequence name for WBGene00001937(his-63). History: N.A.
F23A7.4,F23A7.4,yes,2591.82,1517.15,2338.26,842.1,1030.01,965.78,F23A7.4,WBGene00009069,Public name for WBGene00009069. History: N.A.
F23A7.5,F23A7.5,yes,18.89,12.27,24.13,13.04,19.33,19.87,F23A7.5,WBGene00009070,Public name for WBGene00009070. History: N.A.
F23A7.8,F23A7.8,yes,3473.59,2068.52,3430.82,902.99,1072.26,1018.75,F23A7.8,WBGene00044638,Public name for WBGene00044638. History: N.A.
F25G6.2,symk-1,yes,2451.33,2331.83,2252.05,2047.42,1787.76,1826.27,F25G6.2,WBGene00017797,Sequence name for WBGene00017797(symk-1). History: N.A.
F28D9.4,F28D9.4,yes,160.6,168.94,144.74,104.34,103.87,85.01,F28D9.4,WBGene00009220,"Public name for WBGene00009220. History: Split into pigl-1(WBGene00013131). History of WBGene00009220: Split into ""WBGene00013131"" on 2010-03-11"
F28F8.1,acr-18,yes,18.89,27.37,17.83,30.43,36.24,37.54,F28F8.1,WBGene00000057,Sequence name for WBGene00000057(acr-18). History: N.A.
F29B9.9,col-111,yes,25.76,27.37,35.66,47.82,42.28,34.23,F29B9.9,WBGene00000685,Sequence name for WBGene00000685(col-111). History: N.A.
F29C12.6,F29C12.6,yes,1.72,0.94,0,4.35,4.83,3.31,F29C12.6,WBGene00009248,Public name for WBGene00009248. History: N.A.
F30B5.4,F30B5.4,yes,942.81,845.56,856.95,1028.8,1084.71,1158.23,F30B5.4,WBGene00017934,Public name for WBGene00017934. History: N.A.
F31E9.6,F31E9.6,yes,89.31,85.88,79.71,20.29,24.16,18.77,F31E9.6,WBGene00009299,Public name for WBGene00009299. History: N.A.
F32A11.3,F32A11.3,yes,25.76,26.42,34.61,86.94,90.59,101.58,F32A11.3,WBGene00009308,Public name for WBGene00009308. History: Renamed on 2014-09-24
F32B5.8,cpz-1,yes,5083.51,5219.76,5347.19,6214.92,6297.96,6595.91,F32B5.8,WBGene00000788,Sequence name for WBGene00000788(cpz-1). History: N.A.
F32E10.9,F32E10.9,yes,81.59,80.22,68.17,11.59,15.7,7.73,F32E10.9,WBGene00043068,Public name for WBGene00043068. History: N.A.
F33H2.3,F33H2.3,yes,827.83,846.55,885.24,163.74,189.64,170.03,F33H2.3,WBGene00009367,Public name for WBGene00009367. History: N.A.
F33H2.8,F33H2.8,yes,5.95,9.44,5.72,3.39,5.64,6.55,F33H2.8,WBGene00009371,Public name for WBGene00009371. History: N.A.
F35F11.2,F35F11.2,yes,6.01,3.78,4.2,20.29,12.08,19.87,F35F11.2,WBGene00018065,Public name for WBGene00018065. History: N.A.
F35H10.1,his-30,yes,364.18,298.25,364.97,262.3,307.98,338.92,F35H10.1,WBGene00001904,Sequence name for WBGene00001904(his-30). History: N.A.
F35H10.11,his-29,yes,628.74,568.2,534.87,411.56,407.02,570.76,F35H10.11,WBGene00001903,Sequence name for WBGene00001903(his-29). History: N.A.
F36F12.8,ztf-28,yes,563.32,520.94,541.22,20.29,18.12,27.6,F36F12.8,WBGene00018099,Sequence name for WBGene00018099(ztf-28). History: N.A.
F36H12.10,F36H12.10,yes,9.45,17.93,15.73,69.55,39.86,29.81,F36H12.10,WBGene00018124,Public name for WBGene00018124. History: N.A.
F39G3.4,F39G3.4,yes,0.86,0,0,0,1.21,0,F39G3.4,WBGene00018209,Public name for WBGene00018209. History: N.A.
F40C5.1,F40C5.1,yes,0,0,0,4.35,2.42,0,F40C5.1,WBGene00018228,Public name for WBGene00018228. History: N.A.
F40D4.17,F40D4.17,yes,9.46,17.94,11.53,10.15,9.66,9.93,F40D4.17,WBGene00194682,Public name for WBGene00194682. History: N.A.
F40E3.7,F40E3.7,yes,18.9,14.16,8.39,24.64,20.53,24.29,F40E3.7,WBGene00077781,Public name for WBGene00077781. History: N.A.
F42G4.2,F42G4.2,yes,17.17,10.38,6.29,62.31,41.07,53,F42G4.2,WBGene00009641,Public name for WBGene00009641. History: N.A.
F42G8.5,islo-1,yes,41.22,45.3,43,62.31,68.85,69.56,F42G8.5,WBGene00018356,Sequence name for WBGene00018356(islo-1). History: N.A.
F42G9.7,snt-2,yes,262.76,267.07,280.05,365.15,374.45,309.15,F42G9.7,WBGene00004922,Sequence name for WBGene00004922(snt-2). History: N.A.
F45E1.6,his-71,yes,132.27,141.57,189.83,140.57,138.9,183.26,F45E1.6,WBGene00001945,Sequence name for WBGene00001945(his-71). History: N.A.
F45F2.12,his-8,yes,1223.97,1021.25,1072.89,250.71,198.07,246.19,F45F2.12,WBGene00001882,Sequence name for WBGene00001882(his-8). History: N.A.
F45F2.13,his-6,yes,1935.93,1698.89,1838.52,691.24,768.15,908.6,F45F2.13,WBGene00001880,Sequence name for WBGene00001880(his-6). History: N.A.
F45F2.2,his-39,yes,0.86,0,1.05,1.45,1.21,0,F45F2.2,WBGene00001913,Sequence name for WBGene00001913(his-39). History: Renamed on 2008-01-18
F45F2.4,his-7,yes,1722.98,1414.82,1379.14,299.98,350.25,364.32,F45F2.4,WBGene00001881,Sequence name for WBGene00001881(his-7). History: N.A.
F45H10.1,alh-7,yes,760.73,753.71,738.58,407.33,407.35,426.08,F45H10.1,WBGene00000113,Sequence name for WBGene00000113(alh-7). History: N.A.
F45H10.2,F45H10.2,yes,926.11,884.48,935.42,685.5,655.76,699.87,F45H10.2,WBGene00009739,Public name for WBGene00009739. History: N.A.
F47H4.1,lsy-27,yes,336.62,304.83,329.34,178.23,239.16,227.44,F47H4.1,WBGene00009834,Sequence name for WBGene00009834(lsy-27). History: N.A.
F52C12.3,tsen-54,yes,307.41,302.93,275.86,241.99,188.43,231.86,F52C12.3,WBGene00018680,Sequence name for WBGene00018680(tsen-54). History: N.A.
F52C6.13,F52C6.13,yes,16.32,10.38,11.54,14.49,16.91,18.77,F52C6.13,WBGene00018670,Public name for WBGene00018670. History: N.A.
F52C6.6,math-31,yes,2.58,2.83,3.15,1.45,3.62,3.31,F52C6.6,WBGene00018663,Sequence name for WBGene00018663(math-31). History: N.A.
F53B6.4,F53B6.4,yes,61.83,78.33,46.15,73.9,77.31,59.62,F53B6.4,WBGene00009959,Public name for WBGene00009959. History: N.A.
F53G12.4,F53G12.4,yes,31.77,37.75,23.08,15.94,18.12,28.71,F53G12.4,WBGene00018772,Public name for WBGene00018772. History: N.A.
F53G12.7,col-45,yes,14.6,6.61,3.15,8.69,9.66,2.21,F53G12.7,WBGene00000622,Sequence name for WBGene00000622(col-45). History: N.A.
F53G2.2,F53G2.2,yes,5.15,6.61,3.15,10.14,9.66,11.04,F53G2.2,WBGene00018767,"Public name for WBGene00018767. History: Split into F53G2.13(WBGene00304220). History of WBGene00018767: Split into ""WBGene00304220"" on 2018-11-14"
F53G2.3,F53G2.3,yes,1.72,1.89,1.05,1.45,0,2.21,F53G2.3,WBGene00018768,Public name for WBGene00018768. History: N.A.
F53H1.3,F53H1.3,yes,850.92,813.47,727.94,715.81,608.8,715.48,F53H1.3,WBGene00018777,Public name for WBGene00018777. History: N.A.
F54A3.4,cbs-2,yes,17.17,13.21,7.34,27.53,28.99,34.23,F54A3.4,WBGene00018783,Sequence name for WBGene00018783(cbs-2). History: N.A.
F54C9.11,F54C9.11,yes,56.67,57.57,46.15,102.88,88.18,112.62,F54C9.11,WBGene00010045,Public name for WBGene00010045. History: N.A.
F54C9.4,col-38,yes,80.72,71.72,92.3,107.23,190.85,196.53,F54C9.4,WBGene00000615,Sequence name for WBGene00000615(col-38). History: N.A.
F54D8.1,dpy-17,yes,252.45,187.8,188.8,133.31,150.99,151.26,F54D8.1,WBGene00001076,"Sequence name for WBGene00001076(dpy-17). History: N.A.. Public name for Dead gene WBGene00018799. History of WBGene00018799: Merged into ""WBGene00001076"" on 2004-07-02"
F54D8.4,cah-1,yes,32.63,37.75,34.61,69.55,43.48,55.21,F54D8.4,WBGene00000279,Sequence name for WBGene00000279(cah-1). History: N.A.
F54E12.1,his-55,yes,17601.13,14398.13,15428.7,11216.35,10066.9,11660.49,F54E12.1,WBGene00001929,Sequence name for WBGene00001929(his-55). History: N.A.
F54E12.3,his-56,yes,26125.15,18280.52,22500.33,13089.28,13055.37,14185.57,F54E12.3,WBGene00001930,Sequence name for WBGene00001930(his-56). History: N.A.
F54E12.4,his-58,yes,20211.36,16836.44,18723.62,12600.47,12051.06,13648.53,F54E12.4,WBGene00001932,Sequence name for WBGene00001932(his-58). History: N.A.
F54E12.5,his-57,yes,20173.25,15727.29,17505.07,9922.37,9686.32,11037.69,F54E12.5,WBGene00001931,Sequence name for WBGene00001931(his-57). History: N.A.
F54H12.2,F54H12.2,yes,1.72,3.77,1.05,0,1.21,0,F54H12.2,WBGene00018842,Public name for WBGene00018842. History: N.A.
F55B11.1,xdh-1,yes,570.11,590.74,591.6,809.98,837.11,797.2,F55B11.1,WBGene00010083,Sequence name for WBGene00010083(xdh-1). History: N.A.
F55G1.10,his-61,yes,10806.82,8861.76,9592.08,8926.8,8885.57,10017.6,F55G1.10,WBGene00001935,Sequence name for WBGene00001935(his-61). History: N.A.
F55G1.2,his-59,yes,14238.59,11960.22,12910.56,11090.27,10784.33,12129.69,F55G1.2,WBGene00001933,Sequence name for WBGene00001933(his-59). History: N.A.
F55G1.3,his-62,yes,15275.98,12546.63,13320.38,12309.19,12499.14,13821.86,F55G1.3,WBGene00001936,Sequence name for WBGene00001936(his-62). History: N.A.
F56A4.11,F56A4.11,yes,0,0,0,0,1.21,0,F56A4.11,WBGene00018919,Public name for WBGene00018919. History: N.A.
F56A4.12,F56A4.12,yes,23.18,0,61.89,0,0,0,F56A4.12,WBGene00018920,Public name for WBGene00018920. History: N.A.
F56D5.6,F56D5.6,yes,200.07,213.28,269.57,221.7,263.33,285.97,F56D5.6,WBGene00010150,Public name for WBGene00010150. History: N.A.
F56F11.3,klf-1,yes,164,137.78,127.97,233.29,188.44,156.79,F56F11.3,WBGene00018990,Sequence name for WBGene00018990(klf-1). History: N.A.
F57A10.4,F57A10.4,yes,194.94,196.3,188.79,18.84,21.74,16.56,F57A10.4,WBGene00010185,Public name for WBGene00010185. History: N.A.
F57A8.10,F57A8.10,yes,0,0,1.05,1.45,2.41,1.1,F57A8.10,,Public name for Dead gene WBGene00206465. History of WBGene00206465: Killed on 2014-09-18. Remark: [141009 gw3] This gene has been killed because it was a repetitive region of the 3'UTR of the gene F57A8.2.
F58F9.3,F58F9.3,yes,85.69,113.12,84.49,103.17,101.34,101.64,F58F9.3,WBGene00019057,Public name for WBGene00019057. History: N.A.
F58G1.7,F58G1.7,yes,37.78,28.31,16.78,42.02,30.2,28.71,F58G1.7,WBGene00010269,Public name for WBGene00010269. History: N.A.
F59A7.7,F59A7.7,yes,10.31,8.49,9.44,15.94,14.49,12.14,F59A7.7,WBGene00019094,Public name for WBGene00019094. History: N.A.
F59A7.9,cysl-4,yes,0.86,1.89,0,8.69,7.25,8.83,F59A7.9,WBGene00019096,Sequence name for WBGene00019096(cysl-4). History: N.A.
F59H6.5,F59H6.5,yes,0,0,0,0,0,0,F59H6.5,,Sequence name for Suppressed gene WBGene00019136. Molecular name for Suppressed gene WBGene00019136. Public name for Suppressed gene WBGene00019136. History of WBGene00019136: N.A.. Remark: This gene was determined to be of Transposon in origin so has been suppressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
H02I12.6,his-66,yes,20211.36,16836.44,18723.62,12600.47,12051.06,13648.53,H02I12.6,WBGene00001940,Sequence name for WBGene00001940(his-66). History: N.A.
H02I12.7,his-65,yes,20173.25,15727.29,17505.07,9922.37,9686.32,11037.69,H02I12.7,WBGene00001939,Sequence name for WBGene00001939(his-65). History: N.A.
H11L12.1,H11L12.1,yes,35.21,26.42,43,4.35,10.87,7.73,H11L12.1,WBGene00019189,Public name for WBGene00019189. History: N.A.
H12D21.10,H12D21.10,yes,135.51,125.4,109.54,70.49,98.49,134.91,H12D21.10,WBGene00010386,Public name for WBGene00010386. History: N.A.
H14A12.5,H14A12.5,yes,48.1,62.29,48.24,21.74,31.4,28.7,H14A12.5,WBGene00019197,Public name for WBGene00019197. History: N.A.
H20J04.9,H20J04.9,yes,211.24,238.77,201.38,150.7,150.99,139.12,H20J04.9,WBGene00044310,Public name for WBGene00044310. History: N.A.
H24K24.5,fmo-5,yes,194.05,203.84,226.56,260.82,215.01,203.16,H24K24.5,WBGene00001480,Sequence name for WBGene00001480(fmo-5). History: N.A.
K01A11.4,spe-41,yes,72.92,90.34,71.76,126.38,99.63,124.44,K01A11.4,WBGene00004976,Sequence name for WBGene00004976(spe-41). History: N.A.
K03D10.1,kal-1,yes,89.3,100.97,66.08,84.04,74.89,83.91,K03D10.1,WBGene00002181,Sequence name for WBGene00002181(kal-1). History: N.A.
K03E5.1,neto-1,yes,7.73,2.83,9.44,23.18,6.04,23.19,K03E5.1,WBGene00019360,Sequence name for WBGene00019360(neto-1). History: N.A.
K04D7.3,gta-1,yes,4770.68,5513.11,5346.27,6497.36,6987.83,7055.38,K04D7.3,WBGene00001794,Sequence name for WBGene00001794(gta-1). History: N.A.
K05G3.2,K05G3.2,yes,0.86,4.72,4.2,1.45,2.42,3.31,K05G3.2,WBGene00019423,Public name for WBGene00019423. History: N.A.
K06A5.8,nmtn-1,yes,65.84,57.85,63.69,112.45,86.78,94.13,K06A5.8,WBGene00019434,Sequence name for WBGene00019434(nmtn-1). History: N.A.
