# FDR<0.05 AND Fc>4 or <4 met-2 set-25; lsm-8 vs WT ,,,,
# Genes up FDR& 4Fc met-2 set-25; lsm-8 vs WT (rep1&2),,,,
# 367 genes,,,,
WORMBASE_GENE_ID,1148-N2_edgeR&fC,Unnamed: 2,Unnamed: 3,Unnamed: 4,Input,Suggested Match,History
WBGene00015223,1.0,,,,WBGene00015223,WBGene00015223,"History: Split into B0507.15(WBGene00202499). History of WBGene00015223: Split into ""WBGene00202499"" on 2010-10-29"
WBGene00003096,1.0,,,,WBGene00003096,WBGene00003096,History: N.A.
WBGene00015602,1.0,,,,WBGene00015602,WBGene00015602,History: N.A.
WBGene00015598,1.0,,,,WBGene00015598,WBGene00015598,History: N.A.
WBGene00007660,1.0,,,,WBGene00007660,WBGene00007660,History: N.A.
WBGene00007682,1.0,,,,WBGene00007682,WBGene00007682,History: N.A.
WBGene00007765,1.0,,,,WBGene00007765,WBGene00007765,History: N.A.
WBGene00044238,1.0,,,,WBGene00044238,WBGene00044238,History: N.A.
WBGene00016425,1.0,,,,WBGene00016425,WBGene00016425,History: N.A.
WBGene00008097,1.0,,,,WBGene00008097,WBGene00008097,History: N.A.
WBGene00017214,1.0,,,,WBGene00017214,WBGene00017214,History: N.A.
WBGene00017265,1.0,,,,WBGene00017265,WBGene00017265,History: N.A.
WBGene00008577,1.0,,,,WBGene00008577,WBGene00008577,History: N.A.
WBGene00008631,1.0,,,,WBGene00008631,WBGene00008631,History: N.A.
WBGene00006237,1.0,,,,WBGene00006237,WBGene00006237,History: N.A.
WBGene00001399,1.0,,,,WBGene00001399,WBGene00001399,History: N.A.
WBGene00008698,1.0,,,,WBGene00008698,WBGene00008698,History: N.A.
WBGene00001387,1.0,,,,WBGene00001387,WBGene00001387,History: N.A.
WBGene00017586,1.0,,,,WBGene00017586,WBGene00017586,"History: Split into F19B10.13(WBGene00194713). History of WBGene00017586: Split into ""WBGene00194713"" on 2009-08-11"
WBGene00005586,1.0,,,,WBGene00005586,WBGene00005586,History: N.A.
WBGene00009426,1.0,,,,WBGene00009426,WBGene00009426,History: N.A.
WBGene00001772,1.0,,,,WBGene00001772,WBGene00001772,History: N.A.
WBGene00009572,1.0,,,,WBGene00009572,WBGene00009572,History: N.A.
WBGene00044379,1.0,,,,WBGene00044379,WBGene00044379,History: N.A.
WBGene00018353,1.0,,,,WBGene00018353,WBGene00018353,History: N.A.
WBGene00018600,1.0,,,,WBGene00018600,WBGene00018600,"History: Split into F48C1.11(WBGene00195179). History of WBGene00018600: Split into ""WBGene00195179"" on 2010-06-23"
WBGene00018601,1.0,,,,WBGene00018601,WBGene00018601,History: N.A.
WBGene00018696,1.0,,,,WBGene00018696,WBGene00018696,History: N.A.
WBGene00018997,1.0,,,,WBGene00018997,WBGene00018997,History: Renamed on 2005-03-17
WBGene00019134,1.0,,,,WBGene00019134,WBGene00019134,History: N.A.
WBGene00019379,1.0,,,,WBGene00019379,WBGene00019379,History: N.A.
WBGene00010821,1.0,,,,WBGene00010821,WBGene00010821,History: N.A.
WBGene00010899,1.0,,,,WBGene00010899,WBGene00010899,History: N.A.
WBGene00011172,1.0,,,,WBGene00011172,WBGene00011172,History: N.A.
WBGene00020472,1.0,,,,WBGene00020472,WBGene00020472,History: N.A.
WBGene00004002,1.0,,,,WBGene00004002,WBGene00004002,History: N.A.
WBGene00044206,1.0,,,,WBGene00044206,WBGene00044206,History: N.A.
WBGene00001397,1.0,,,,WBGene00001397,WBGene00001397,History: N.A.
WBGene00045416,1.0,,,,WBGene00045416,WBGene00045416,History: N.A.
WBGene00012961,1.0,,,,WBGene00012961,WBGene00012961,History: N.A.
WBGene00021703,1.0,,,,WBGene00021703,WBGene00021703,History: N.A.
WBGene00013065,1.0,,,,WBGene00013065,WBGene00007440,"History: Merged into ""WBGene00007440"" on 2008-07-18"
WBGene00013586,1.0,,,,WBGene00013586,WBGene00013586,History: N.A.
WBGene00013837,1.0,,,,WBGene00013837,WBGene00013837,History: N.A.
WBGene00022653,1.0,,,,WBGene00022653,WBGene00022653,History: N.A.
WBGene00022674,1.0,,,,WBGene00022674,WBGene00022674,History: N.A.
WBGene00022644,1.0,,,,WBGene00022644,WBGene00022644,History: N.A.
WBGene00014173,1.0,,,,WBGene00014173,WBGene00014173,History: N.A.
WBGene00015042,1.0,,,,WBGene00015042,WBGene00015042,History: N.A.
WBGene00015046,1.0,,,,WBGene00015046,WBGene00015046,History: N.A.
WBGene00003767,1.0,,,,WBGene00003767,WBGene00003767,History: N.A.
WBGene00015080,1.0,,,,WBGene00015080,WBGene00015080,History: N.A.
WBGene00015100,1.0,,,,WBGene00015100,WBGene00015100,History: N.A.
WBGene00007131,1.0,,,,WBGene00007131,WBGene00007131,History: N.A.
WBGene00007132,1.0,,,,WBGene00007132,WBGene00007132,History: N.A.
WBGene00007134,1.0,,,,WBGene00007134,WBGene00007134,History: N.A.
WBGene00015167,1.0,,,,WBGene00015167,WBGene00015167,History: N.A.
WBGene00007181,1.0,,,,WBGene00007181,WBGene00007181,History: N.A.
WBGene00015216,1.0,,,,WBGene00015216,WBGene00015216,History: N.A.
WBGene00015227,1.0,,,,WBGene00015227,WBGene00015227,History: N.A.
WBGene00015222,1.0,,,,WBGene00015222,WBGene00015222,History: N.A.
WBGene00015224,1.0,,,,WBGene00015224,WBGene00015224,"History: Split into B0507.17(WBGene00235307). History of WBGene00015224: Split into ""WBGene00235307"" on 2013-09-12"
WBGene00015225,1.0,,,,WBGene00015225,WBGene00015225,History: N.A.
WBGene00015226,1.0,,,,WBGene00015226,WBGene00015226,History: N.A.
WBGene00007212,1.0,,,,WBGene00007212,WBGene00007212,History: N.A.
WBGene00015295,1.0,,,,WBGene00015295,WBGene00015295,History: N.A.
WBGene00015399,1.0,,,,WBGene00015399,WBGene00015399,History: N.A.
WBGene00007297,1.0,,,,WBGene00007297,WBGene00007297,History: N.A.
WBGene00007303,1.0,,,,WBGene00007303,WBGene00007303,History: N.A.
WBGene00015518,1.0,,,,WBGene00015518,WBGene00015518,History: N.A.
WBGene00015537,1.0,,,,WBGene00015537,WBGene00015537,History: N.A.
WBGene00015603,1.0,,,,WBGene00015603,WBGene00015603,History: N.A.
WBGene00015605,1.0,,,,WBGene00015605,WBGene00015605,History: N.A.
WBGene00015600,1.0,,,,WBGene00015600,WBGene00015600,History: N.A.
WBGene00015601,1.0,,,,WBGene00015601,WBGene00015601,History: N.A.
WBGene00007440,1.0,,,,WBGene00007440,WBGene00007440,History: N.A.
WBGene00007454,1.0,,,,WBGene00007454,WBGene00007454,History: N.A.
WBGene00015784,1.0,,,,WBGene00015784,WBGene00015784,History: N.A.
WBGene00015834,1.0,,,,WBGene00015834,WBGene00015834,History: N.A.
WBGene00015835,1.0,,,,WBGene00015835,WBGene00015835,History: N.A.
WBGene00015829,1.0,,,,WBGene00015829,WBGene00015829,History: N.A.
WBGene00015832,1.0,,,,WBGene00015832,WBGene00015832,History: N.A.
WBGene00001544,,,,,WBGene00001544,WBGene00001544,History: N.A.
WBGene00044237,,,,,WBGene00044237,WBGene00044237,History: N.A.
WBGene00044708,,,,,WBGene00044708,WBGene00044708,History: N.A.
WBGene00044709,,,,,WBGene00044709,WBGene00044709,History: N.A.
WBGene00007656,,,,,WBGene00007656,WBGene00007656,History: N.A.
WBGene00007657,,,,,WBGene00007657,WBGene00007657,"History: Split into pals-12(WBGene00044709). History of WBGene00007657: Split into ""WBGene00044709"" on 2006-01-13"
WBGene00007658,,,,,WBGene00007658,WBGene00007658,History: N.A.
WBGene00007659,,,,,WBGene00007659,WBGene00007659,History: N.A.
WBGene00007661,,,,,WBGene00007661,WBGene00007661,"History: Split into pals-11(WBGene00044708). History of WBGene00007661: Split into ""WBGene00044708"" on 2006-01-13"
WBGene00007662,,,,,WBGene00007662,WBGene00007662,History: N.A.
WBGene00007675,,,,,WBGene00007675,WBGene00007675,History: N.A.
WBGene00007694,,,,,WBGene00007694,WBGene00007694,History: N.A.
WBGene00045411,,,,,WBGene00045411,WBGene00045411,History: N.A.
WBGene00007723,,,,,WBGene00007723,WBGene00007723,History: N.A.
WBGene00016281,,,,,WBGene00016281,WBGene00016281,History: N.A.
WBGene00007864,,,,,WBGene00007864,WBGene00007864,History: N.A.
WBGene00007875,,,,,WBGene00007875,WBGene00007875,History: N.A.
WBGene00007872,,,,,WBGene00007872,WBGene00007872,History: N.A.
WBGene00044239,,,,,WBGene00044239,WBGene00044239,History: N.A.
WBGene00016360,,,,,WBGene00016360,WBGene00016360,History: N.A.
WBGene00007989,,,,,WBGene00007989,WBGene00007989,History: N.A.
WBGene00008015,,,,,WBGene00008015,WBGene00008015,History: N.A.
WBGene00016551,,,,,WBGene00016551,WBGene00016551,History: N.A.
WBGene00005904,,,,,WBGene00005904,WBGene00005904,History: N.A.
WBGene00016662,,,,,WBGene00016662,WBGene00016662,History: N.A.
WBGene00008113,,,,,WBGene00008113,WBGene00008113,History: N.A.
WBGene00016845,,,,,WBGene00016845,WBGene00016845,History: N.A.
WBGene00008269,,,,,WBGene00008269,WBGene00008269,History: N.A.
WBGene00044166,,,,,WBGene00044166,WBGene00044166,History: N.A.
WBGene00044787,,,,,WBGene00044787,WBGene00044787,History: N.A.
WBGene00008301,,,,,WBGene00008301,WBGene00008301,"History: Split into pals-37(WBGene00138721). History of WBGene00008301: Split into ""WBGene00138721"" on 2008-09-25; Renamed on 2016-10-26"
WBGene00008302,,,,,WBGene00008302,WBGene00008302,History: N.A.
WBGene00044113,,,,,WBGene00044113,WBGene00044113,History: N.A.
WBGene00016984,,,,,WBGene00016984,WBGene00016984,History: N.A.
WBGene00017140,,,,,WBGene00017140,WBGene00017140,History: N.A.
WBGene00008575,,,,,WBGene00008575,WBGene00008575,History: N.A.
WBGene00017277,,,,,WBGene00017277,WBGene00017277,History: N.A.
WBGene00008615,,,,,WBGene00008615,WBGene00008615,History: N.A.
WBGene00008681,,,,,WBGene00008681,WBGene00008681,History: Renamed on 2007-05-03
WBGene00017378,,,,,WBGene00017378,WBGene00017378,History: N.A.
WBGene00017390,,,,,WBGene00017390,WBGene00017390,"History: Split into F12A10.9(WBGene00077704). History of WBGene00017390: Split into ""WBGene00077704"" on 2008-04-08"
WBGene00017396,,,,,WBGene00017396,WBGene00017396,History: N.A.
WBGene00008792,,,,,WBGene00008792,WBGene00008792,History: N.A.
WBGene00017465,,,,,WBGene00017465,WBGene00017465,History: N.A.
WBGene00017470,,,,,WBGene00017470,WBGene00017470,History: N.A.
WBGene00001388,,,,,WBGene00001388,WBGene00001388,History: N.A.
WBGene00008850,,,,,WBGene00008850,WBGene00008850,History: N.A.
WBGene00008858,,,,,WBGene00008858,WBGene00008858,History: N.A.
WBGene00008863,,,,,WBGene00008863,WBGene00008863,History: N.A.
WBGene00017695,,,,,WBGene00017695,WBGene00017695,History: N.A.
WBGene00017705,,,,,WBGene00017705,WBGene00017705,History: N.A.
WBGene00001170,,,,,WBGene00001170,WBGene00001170,History: N.A.
WBGene00045393,,,,,WBGene00045393,WBGene00045393,History: N.A.
WBGene00009166,,,,,WBGene00009166,WBGene00009166,History: N.A.
WBGene00009168,,,,,WBGene00009168,WBGene00009168,History: N.A.
WBGene00009169,,,,,WBGene00009169,WBGene00009169,History: N.A.
WBGene00017849,,,,,WBGene00017849,WBGene00017849,History: N.A.
WBGene00044137,,,,,WBGene00044137,WBGene00044137,History: N.A.
WBGene00009247,,,,,WBGene00009247,WBGene00009247,History: N.A.
WBGene00009339,,,,,WBGene00009339,WBGene00009339,History: N.A.
WBGene00005548,,,,,WBGene00005548,WBGene00005548,History: N.A.
WBGene00045457,,,,,WBGene00045457,WBGene00045457,History: N.A.
WBGene00018023,,,,,WBGene00018023,WBGene00018023,History: N.A.
WBGene00018102,,,,,WBGene00018102,WBGene00018102,History: N.A.
WBGene00001767,,,,,WBGene00001767,WBGene00001767,History: N.A.
WBGene00009600,,,,,WBGene00009600,WBGene00009600,History: N.A.
WBGene00018345,,,,,WBGene00018345,WBGene00018345,History: N.A.
WBGene00018385,,,,,WBGene00018385,WBGene00018385,History: N.A.
WBGene00004092,,,,,WBGene00004092,WBGene00004092,History: N.A.
WBGene00009696,,,,,WBGene00009696,WBGene00009696,History: N.A.
WBGene00009710,,,,,WBGene00009710,WBGene00009710,History: N.A.
WBGene00044659,,,,,WBGene00044659,WBGene00044659,History: N.A.
WBGene00009706,,,,,WBGene00009706,WBGene00009706,History: N.A.
WBGene00009811,,,,,WBGene00009811,WBGene00009811,History: N.A.
WBGene00018566,,,,,WBGene00018566,WBGene00018566,History: N.A.
WBGene00009824,,,,,WBGene00009824,WBGene00009824,History: N.A.
WBGene00009898,,,,,WBGene00009898,WBGene00009898,History: N.A.
WBGene00018725,,,,,WBGene00018725,WBGene00018725,History: N.A.
WBGene00018767,,,,,WBGene00018767,WBGene00018767,"History: Split into F53G2.13(WBGene00304220). History of WBGene00018767: Split into ""WBGene00304220"" on 2018-11-14"
WBGene00010004,,,,,WBGene00010004,WBGene00010004,History: N.A.
WBGene00010066,,,,,WBGene00010066,WBGene00010066,History: N.A.
WBGene00018921,,,,,WBGene00018921,WBGene00018921,History: Renamed on 2014-03-26
WBGene00010206,,,,,WBGene00010206,WBGene00010206,"History: Split into F57G4.11(WBGene00195165). History of WBGene00010206: Split into ""WBGene00195165"" on 2010-06-03"
WBGene00010216,,,,,WBGene00010216,WBGene00010216,History: N.A.
WBGene00019070,,,,,WBGene00019070,WBGene00019070,History: N.A.
WBGene00019133,,,,,WBGene00019133,WBGene00019133,History: N.A.
WBGene00000864,,,,,WBGene00000864,WBGene00000864,History: N.A.
WBGene00044141,,,,,WBGene00044141,WBGene00044141,History: N.A.
WBGene00045261,,,,,WBGene00045261,WBGene00045261,History: N.A.
WBGene00019273,,,,,WBGene00019273,WBGene00019273,History: N.A.
WBGene00010452,,,,,WBGene00010452,,History: Killed on 2009-08-12; Suppressed on 2012-11-12. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00003551,,,,,WBGene00003551,WBGene00003551,History: N.A.
WBGene00019533,,,,,WBGene00019533,WBGene00019533,"History: Split into K08D10.14(WBGene00219216). History of WBGene00019533: Split into ""WBGene00219216"" on 2011-08-24"
WBGene00000841,,,,,WBGene00000841,WBGene00000841,History: N.A.
WBGene00010707,,,,,WBGene00010707,WBGene00010707,History: N.A.
WBGene00003529,,,,,WBGene00003529,WBGene00003529,History: N.A.
WBGene00019585,,,,,WBGene00019585,,History: Killed on 2009-04-15; Suppressed on 2012-11-15. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00004509,,,,,WBGene00004509,WBGene00004509,History: N.A.
WBGene00010931,,,,,WBGene00010931,WBGene00010931,History: N.A.
WBGene00006429,,,,,WBGene00006429,WBGene00006429,History: Renamed on 2016-08-08
WBGene00010953,,,,,WBGene00010953,WBGene00010953,History: N.A.
WBGene00019859,,,,,WBGene00019859,WBGene00019859,History: N.A.
WBGene00011052,,,,,WBGene00011052,WBGene00011052,History: N.A.
WBGene00019931,,,,,WBGene00019931,WBGene00019931,History: N.A.
WBGene00019928,,,,,WBGene00019928,WBGene00019928,"History: Split into R07C3.16(WBGene00269338). History of WBGene00019928: Split into ""WBGene00269338"" on 2015-11-04"
WBGene00011130,,,,,WBGene00011130,WBGene00011130,History: N.A.
WBGene00019964,,,,,WBGene00019964,WBGene00019964,History: N.A.
WBGene00019973,,,,,WBGene00019973,WBGene00019973,History: N.A.
WBGene00000556,,,,,WBGene00000556,WBGene00000556,History: N.A.
WBGene00000558,,,,,WBGene00000558,WBGene00000558,History: N.A.
WBGene00011161,,,,,WBGene00011161,WBGene00011161,History: N.A.
WBGene00020004,,,,,WBGene00020004,WBGene00020004,History: N.A.
WBGene00011427,,,,,WBGene00011427,WBGene00011427,"History: Split into T04C12.11(WBGene00077693). History of WBGene00011427: Split into ""WBGene00077693"" on 2008-03-27"
WBGene00006539,,,,,WBGene00006539,WBGene00006539,History: N.A.
WBGene00020220,,,,,WBGene00020220,WBGene00020220,History: N.A.
WBGene00020227,,,,,WBGene00020227,WBGene00020227,History: N.A.
WBGene00020228,,,,,WBGene00020228,WBGene00020228,History: N.A.
WBGene00011539,,,,,WBGene00011539,WBGene00011539,"History: Split into ""WBGene00044656"" on 2005-12-21"
WBGene00045475,,,,,WBGene00045475,WBGene00045475,History: N.A.
WBGene00011581,,,,,WBGene00011581,WBGene00011581,History: N.A.
WBGene00020357,,,,,WBGene00020357,WBGene00020357,History: N.A.
WBGene00020364,,,,,WBGene00020364,WBGene00020364,History: N.A.
WBGene00004149,,,,,WBGene00004149,WBGene00004149,History: Renamed on 2012-04-11
WBGene00006894,,,,,WBGene00006894,WBGene00006894,History: N.A.
WBGene00020579,,,,,WBGene00020579,WBGene00020579,History: N.A.
WBGene00020637,,,,,WBGene00020637,WBGene00020637,History: N.A.
WBGene00012058,,,,,WBGene00012058,WBGene00012058,"History: Split into eol-1(WBGene00045401). History of WBGene00012058: Split into ""WBGene00045401"" on 2007-04-27"
WBGene00005324,,,,,WBGene00005324,WBGene00005324,History: N.A.
WBGene00012101,,,,,WBGene00012101,WBGene00012101,History: N.A.
WBGene00020981,,,,,WBGene00020981,WBGene00020981,History: N.A.
WBGene00021005,,,,,WBGene00021005,WBGene00021005,History: N.A.
WBGene00021025,,,,,WBGene00021025,WBGene00021025,History: N.A.
WBGene00021053,,,,,WBGene00021053,WBGene00021053,History: N.A.
WBGene00021081,,,,,WBGene00021081,WBGene00021081,History: N.A.
WBGene00021083,,,,,WBGene00021083,WBGene00021083,History: N.A.
WBGene00021111,,,,,WBGene00021111,WBGene00021111,History: N.A.
WBGene00022419,,,,,WBGene00022419,WBGene00022419,History: N.A.
WBGene00013659,,,,,WBGene00013659,WBGene00013659,History: N.A.
WBGene00013646,,,,,WBGene00013646,WBGene00013646,History: N.A.
WBGene00013763,,,,,WBGene00013763,WBGene00013763,History: N.A.
WBGene00022476,,,,,WBGene00022476,WBGene00022476,History: N.A.
WBGene00022479,,,,,WBGene00022479,WBGene00022479,History: N.A.
WBGene00012456,,,,,WBGene00012456,WBGene00012456,History: N.A.
WBGene00021198,,,,,WBGene00021198,WBGene00021198,History: N.A.
WBGene00012570,,,,,WBGene00012570,WBGene00012570,History: N.A.
WBGene00012571,,,,,WBGene00012571,WBGene00012571,"History: Split into Y37H2A.13(WBGene00045417), Y37H2A.14(WBGene00045416). History of WBGene00012571: Split into ""WBGene00045416"" on 2007-05-15; Split into ""WBGene00045417"" on 2007-05-15"
WBGene00045417,,,,,WBGene00045417,WBGene00045417,History: N.A.
WBGene00021458,,,,,WBGene00021458,WBGene00021458,History: N.A.
WBGene00012726,,,,,WBGene00012726,WBGene00012726,History: N.A.
WBGene00000670,,,,,WBGene00000670,WBGene00000670,History: N.A.
WBGene00001105,,,,,WBGene00001105,WBGene00001105,History: N.A.
WBGene00021519,,,,,WBGene00021519,WBGene00021519,History: N.A.
WBGene00021520,,,,,WBGene00021520,WBGene00021520,History: N.A.
WBGene00044901,,,,,WBGene00044901,WBGene00044901,History: N.A.
WBGene00012811,,,,,WBGene00012811,WBGene00012811,History: N.A.
WBGene00012820,,,,,WBGene00012820,WBGene00012820,History: N.A.
WBGene00012822,,,,,WBGene00012822,WBGene00012822,History: N.A.
WBGene00045415,,,,,WBGene00045415,WBGene00045415,History: N.A.
WBGene00021553,,,,,WBGene00021553,WBGene00021553,History: N.A.
