# The gene names are based on WS215 annotation,
# ALG-3/4 targets,
Public name,Cosmid name,Input,Suggested Match,History
aman-2,F58H1.1,aman-2,WBGene00010284,Public name for WBGene00010284. History: N.A.
ani-1,Y49E10.19,ani-1,WBGene00013038,Public name for WBGene00013038. History: N.A.
ani-2,K10B2.5,ani-2,WBGene00019608,Public name for WBGene00019608. History: N.A.
ant-1.3,K01H12.2,ant-1.3,WBGene00010485,Public name for WBGene00010485. History: Renamed on 2014-03-03
ant-1.4,T01B11.4,ant-1.4,WBGene00020140,Public name for WBGene00020140. History: Renamed on 2008-06-04; Renamed on 2008-11-21; Renamed on 2014-03-03
apm-1,F55A12.7,apm-1,WBGene00000150,Public name for WBGene00000150. History: Renamed on 2015-03-05
aqp-4,F40F9.9,aqp-4,WBGene00000172,Public name for WBGene00000172. History: N.A.
arf-1.2,B0336.2,arf-1.2,WBGene00000182,Other name for WBGene00000182(arf-1). History: Renamed on 2020-09-10
arf-3,F57H12.1,arf-3,WBGene00000183,Other name for WBGene00000183(arf-5). History: Renamed on 2020-09-10
ari-1,C27A12.8,ari-1,WBGene00016158,Other name for WBGene00016158(ari-1.1). History: N.A.
arl-1,F54C9.10,arl-1,WBGene00000187,Public name for WBGene00000187. History: N.A.
art-1,C15F1.6,art-1,WBGene00000198,Public name for WBGene00000198. History: N.A.
asb-1,F35G12.10,asb-1,WBGene00000206,Public name for WBGene00000206. History: N.A.
atp-2,C34E10.6,atp-2,WBGene00000229,Public name for WBGene00000229. History: N.A.
atp-3,F27C1.7,atp-3,WBGene00000230,Public name for WBGene00000230. History: N.A.
atp-4,T05H4.12,atp-4,WBGene00020275,Public name for WBGene00020275. History: N.A.
atp-5,C06H2.1,atp-5,WBGene00007385,Public name for WBGene00007385. History: N.A.
B0025.5,B0025.5,B0025.5,WBGene00194700,Public name for WBGene00194700. History: N.A.
B0034.4,B0034.4,B0034.4,WBGene00015004,Public name for WBGene00015004. History: N.A.
B0205.10,B0205.10,B0205.10,WBGene00015024,Public name for WBGene00015024. History: N.A.
B0207.1,B0207.1,B0207.1,WBGene00015026,Public name for WBGene00015026. History: N.A.
B0207.11,B0207.11,B0207.11,WBGene00015034,Public name for WBGene00015034. History: N.A.
B0207.7,B0207.7,B0207.7,WBGene00015030,Public name for WBGene00015030. History: N.A.
B0207.9,B0207.9,B0207.9,WBGene00015032,Public name for WBGene00015032. History: N.A.
B0218.5,B0218.5,B0218.5,WBGene00015049,Public name for WBGene00015049. History: N.A.
B0218.7,B0218.7,B0218.7,WBGene00015051,Public name for WBGene00015051. History: N.A.
B0238.9,B0238.9,B0238.9,WBGene00015073,Public name for WBGene00015073. History: N.A.
B0244.9,B0244.9,B0244.9,WBGene00015084,Public name for WBGene00015084. History: N.A.
B0252.5,B0252.5,B0252.5,WBGene00015089,"Public name for WBGene00015089. History: Split into B0252.11(WBGene00305086). History of WBGene00015089: Split into ""WBGene00305086"" on 2019-10-21"
B0261.5,B0261.5,B0261.5,WBGene00015093,Public name for WBGene00015093. History: N.A.
B0261.6,B0261.6,B0261.6,WBGene00015094,Public name for WBGene00015094. History: N.A.
B0273.1,B0273.1,B0273.1,WBGene00015097,Public name for WBGene00015097. History: N.A.
B0280.11,B0280.11,B0280.11,WBGene00015106,"Public name for WBGene00015106. History: Split into B0280.17(WBGene00044674). History of WBGene00015106: Split into ""WBGene00044674"" on 2005-11-18"
B0280.17,B0280.17,B0280.17,WBGene00044674,Public name for WBGene00044674. History: N.A.
B0303.3,B0303.3,B0303.3,WBGene00015125,Public name for WBGene00015125. History: N.A.
B0336.3,B0336.3,B0336.3,WBGene00015143,Sequence name for WBGene00015143(rbm-26). History: N.A.
B0361.11,B0361.11,B0361.11,WBGene00015165,Public name for WBGene00015165. History: N.A.
B0379.2,B0379.2,B0379.2,WBGene00007156,Public name for WBGene00007156. History: N.A.
B0379.7,B0379.7,B0379.7,WBGene00007159,Public name for WBGene00007159. History: N.A.
B0393.4,B0393.4,B0393.4,WBGene00007169,Public name for WBGene00007169. History: N.A.
B0432.11,B0432.11,B0432.11,WBGene00015192,Public name for WBGene00015192. History: N.A.
B0491.5,B0491.5,B0491.5,WBGene00007192,Sequence name for WBGene00007192(nduf-11). History: N.A.
B0495.7,B0495.7,B0495.7,WBGene00015206,Public name for WBGene00015206. History: N.A.
B0496.1,B0496.1,B0496.1,WBGene00015210,Public name for WBGene00015210. History: N.A.
B0496.6,B0496.6,B0496.6,WBGene00015215,Public name for WBGene00015215. History: N.A.
B0524.2,B0524.2,B0524.2,WBGene00015241,Public name for WBGene00015241. History: N.A.
bath-42,C50C3.8,bath-42,WBGene00016803,Public name for WBGene00016803. History: N.A.
BE10.1,BE10.1,BE10.1,WBGene00007209,Public name for WBGene00007209. History: N.A.
BE10.5,BE10.5,BE10.5,WBGene00044127,Public name for WBGene00044127. History: N.A.
bir-1,T27F2.3,bir-1,WBGene00000249,Public name for WBGene00000249. History: N.A.
bmk-1,F23B12.8,bmk-1,WBGene00000257,Public name for WBGene00000257. History: N.A.
bre-1,C53B4.7,bre-1,WBGene00000266,Public name for WBGene00000266. History: Renamed on 2006-12-15
bre-3,B0464.4,bre-3,WBGene00000268,Public name for WBGene00000268. History: N.A.
bre-4,Y73E7A.7,bre-4,WBGene00000269,Public name for WBGene00000269. History: N.A.
btb-2,T25D10.5,btb-2,WBGene00020802,Public name for WBGene00020802. History: N.A.
bub-1,R06C7.8,bub-1,WBGene00000275,Public name for WBGene00000275. History: N.A.
C01B10.44,C01B10.44,C01B10.44,WBGene00194839,Public name for WBGene00194839. History: N.A.
C01B12.4,C01B12.4,C01B12.4,WBGene00015287,Sequence name for WBGene00015287(osta-1). History: N.A.
C01F6.2,C01F6.2,C01F6.2,WBGene00007222,Public name for WBGene00007222. History: N.A.
C01F6.9,C01F6.9,C01F6.9,WBGene00007223,Sequence name for WBGene00007223(znf-706). History: N.A.
C01G10.1,C01G10.1,C01G10.1,WBGene00007230,Public name for WBGene00007230. History: N.A.
C01G10.14,C01G10.14,C01G10.14,WBGene00007239,"Public name for WBGene00007239. History: Split into C01G10.19(WBGene00077584). History of WBGene00007239: Split into ""WBGene00077584"" on 2008-02-06"
C01G12.13,C01G12.13,C01G12.13,WBGene00044333,Public name for WBGene00044333. History: N.A.
C01G12.3,C01G12.3,C01G12.3,WBGene00007244,Public name for WBGene00007244. History: N.A.
C01G12.9,C01G12.9,C01G12.9,WBGene00007249,Public name for WBGene00007249. History: N.A.
C01G5.3,C01G5.3,C01G5.3,WBGene00015305,Public name for WBGene00015305. History: N.A.
C01H6.6,C01H6.6,C01H6.6,WBGene00007255,Sequence name for WBGene00007255(cnnm-4). History: N.A.
C02B10.6,C02B10.6,C02B10.6,WBGene00015331,Public name for WBGene00015331. History: N.A.
C02F5.10,C02F5.10,C02F5.10,WBGene00015351,Public name for WBGene00015351. History: N.A.
C02F5.2,C02F5.2,C02F5.2,WBGene00015345,Public name for WBGene00015345. History: N.A.
C02F5.5,C02F5.5,C02F5.5,WBGene00015348,Public name for WBGene00015348. History: N.A.
C03B8.3,C03B8.3,C03B8.3,WBGene00015386,Public name for WBGene00015386. History: N.A.
C03C10.2,C03C10.2,C03C10.2,WBGene00007269,Public name for WBGene00007269. History: N.A.
C03C10.4,C03C10.4,C03C10.4,WBGene00007270,Sequence name for WBGene00007270(rei-1). History: N.A.
C03C11.1,C03C11.1,C03C11.1,WBGene00007274,Public name for WBGene00007274. History: N.A.
C04C3.9,C04C3.9,C04C3.9,WBGene00195067,Public name for WBGene00195067. History: N.A.
C04E6.5,C04E6.5,C04E6.5,WBGene00015422,Public name for WBGene00015422. History: N.A.
C04G2.2,C04G2.2,C04G2.2,WBGene00007305,Sequence name for WBGene00007305(ttbk-5). History: N.A.
C04G2.5,C04G2.5,C04G2.5,WBGene00007306,Public name for WBGene00007306. History: N.A.
C04G2.8,C04G2.8,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
C04G2.9,C04G2.9,C04G2.9,WBGene00007308,Sequence name for WBGene00007308(nsph-3.2). History: N.A.
C05B5.12,C05B5.12,C05B5.12,WBGene00194886,Public name for WBGene00194886. History: N.A.
C05C12.1,C05C12.1,C05C12.1,WBGene00007335,Public name for WBGene00007335. History: N.A.
C05C12.5,C05C12.5,C05C12.5,WBGene00007337,Public name for WBGene00007337. History: N.A.
C05D2.3,C05D2.3,C05D2.3,WBGene00015467,Sequence name for WBGene00015467(basl-1). History: N.A.
C06A1.3,C06A1.3,C06A1.3,WBGene00007354,Public name for WBGene00007354. History: N.A.
C06A5.2,C06A5.2,C06A5.2,WBGene00015500,Public name for WBGene00015500. History: N.A.
C06A6.7,C06A6.7,C06A6.7,WBGene00015511,Public name for WBGene00015511. History: N.A.
C06A8.6,C06A8.6,C06A8.6,WBGene00015516,Public name for WBGene00015516. History: N.A.
C06C3.10,C06C3.10,C06C3.10,WBGene00044169,Public name for WBGene00044169. History: N.A.
C06C6.7,C06C6.7,C06C6.7,WBGene00007381,Public name for WBGene00007381. History: N.A.
C06C6.8,C06C6.8,C06C6.8,WBGene00007382,Public name for WBGene00007382. History: N.A.
C06C6.9,C06C6.9,C06C6.9,WBGene00007383,Public name for WBGene00007383. History: N.A.
C06G4.4,C06G4.4,C06G4.4,WBGene00015558,Public name for WBGene00015558. History: N.A.
C07E3.4,C07E3.4,C07E3.4,WBGene00007415,"Public name for WBGene00007415. History: Split into emc-5(WBGene00195248). History of WBGene00007415: Split into ""WBGene00195248"" on 2010-08-24"
C07H6.9,C07H6.9,C07H6.9,WBGene00015582,Public name for WBGene00015582. History: N.A.
C08B11.9,C08B11.9,C08B11.9,WBGene00007436,Public name for WBGene00007436. History: N.A.
C08B6.6,C08B6.6,C08B6.6,WBGene00007427,Public name for WBGene00007427. History: N.A.
C08F11.10,C08F11.10,C08F11.10,WBGene00007457,Public name for WBGene00007457. History: N.A.
C08F8.6,C08F8.6,C08F8.6,WBGene00007448,Public name for WBGene00007448. History: N.A.
C08H9.2,C08H9.2,C08H9.2,WBGene00007463,Sequence name for WBGene00007463(vgln-1). History: N.A.
C09B9.2,C09B9.2,C09B9.2,WBGene00015627,Public name for WBGene00015627. History: N.A.
C09B9.3,C09B9.3,C09B9.3,WBGene00015628,"Sequence name for WBGene00015628(best-6). History: Split into C09B9.85(WBGene00220250). History of WBGene00015628: Split into ""WBGene00220250"" on 2012-08-17"
C09B9.4,C09B9.4,C09B9.4,WBGene00015629,Public name for WBGene00015629. History: N.A.
C09D4.3,C09D4.3,C09D4.3,WBGene00015634,Public name for WBGene00015634. History: N.A.
C09F9.1,C09F9.1,C09F9.1,WBGene00007478,Public name for WBGene00007478. History: N.A.
C09G5.7,C09G5.7,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
C09H10.9,C09H10.9,C09H10.9,WBGene00007503,Public name for WBGene00007503. History: N.A.
C09H5.7,C09H5.7,C09H5.7,WBGene00015661,Public name for WBGene00015661. History: N.A.
C10C6.3,C10C6.3,C10C6.3,WBGene00007512,Public name for WBGene00007512. History: N.A.
C10C6.6,C10C6.6,C10C6.6,WBGene00007514,Sequence name for WBGene00007514(catp-8). History: N.A.
C10G11.1,C10G11.1,C10G11.1,WBGene00015685,Public name for WBGene00015685. History: N.A.
C10G11.10,C10G11.10,C10G11.10,WBGene00015690,Public name for WBGene00015690. History: N.A.
C10G11.9,C10G11.9,C10G11.9,WBGene00015689,Sequence name for WBGene00015689(spch-2). History: N.A.
C10H11.7,C10H11.7,C10H11.7,WBGene00015696,Public name for WBGene00015696. History: N.A.
C12D8.9,C12D8.9,C12D8.9,WBGene00007538,Public name for WBGene00007538. History: N.A.
C13C4.5,C13C4.5,C13C4.5,WBGene00007549,Sequence name for WBGene00007549(spin-1). History: N.A.
C14A4.11,C14A4.11,C14A4.11,WBGene00007561,Sequence name for WBGene00007561(ccm-3). History: N.A.
C14A4.13,C14A4.13,C14A4.13,WBGene00007563,Public name for WBGene00007563. History: N.A.
C14A4.8,C14A4.8,C14A4.8,WBGene00007559,Public name for WBGene00007559. History: N.A.
C14A6.6,C14A6.6,C14A6.6,WBGene00007570,Public name for WBGene00007570. History: N.A.
C14B1.8,C14B1.8,C14B1.8,WBGene00007579,Public name for WBGene00007579. History: N.A.
C14B9.10,C14B9.10,C14B9.10,WBGene00015755,Public name for WBGene00015755. History: N.A.
C14B9.2,C14B9.2,C14B9.2,WBGene00015752,Public name for WBGene00015752. History: N.A.
C15A11.2,C15A11.2,C15A11.2,WBGene00007597,Public name for WBGene00007597. History: N.A.
C15F1.5,C15F1.5,C15F1.5,WBGene00015796,Public name for WBGene00015796. History: N.A.
C15H11.1,C15H11.1,C15H11.1,WBGene00007613,"Public name for WBGene00007613. History: Split into C15H11.13(WBGene00077576). History of WBGene00007613: Split into ""WBGene00077576"" on 2008-02-06"
C15H11.13,C15H11.13,C15H11.13,WBGene00077576,Public name for WBGene00077576. History: N.A.
C15H7.3,C15H7.3,C15H7.3,WBGene00007610,Public name for WBGene00007610. History: N.A.
C15H7.4,C15H7.4,C15H7.4,WBGene00007611,Public name for WBGene00007611. History: N.A.
C16A11.7,C16A11.7,C16A11.7,WBGene00015820,Public name for WBGene00015820. History: N.A.
C16C10.13,C16C10.13,C16C10.13,WBGene00007632,Public name for WBGene00007632. History: N.A.
C16C10.3,C16C10.3,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
C16C8.18,C16C8.18,C16C8.18,WBGene00015855,Public name for WBGene00015855. History: N.A.
C16D2.1,C16D2.1,C16D2.1,WBGene00007633,Public name for WBGene00007633. History: N.A.
C16D9.5,C16D9.5,C16D9.5,WBGene00015860,Public name for WBGene00015860. History: N.A.
C17D12.5,C17D12.5,C17D12.5,WBGene00007639,Public name for WBGene00007639. History: N.A.
C17E4.1,C17E4.1,C17E4.1,WBGene00007641,"Public name for WBGene00007641. History: Split into C17E4.12(WBGene00044769). History of WBGene00007641: Split into ""WBGene00044769"" on 2006-02-27"
C17F3.1,C17F3.1,C17F3.1,WBGene00015907,Public name for WBGene00015907. History: N.A.
C17F3.3,C17F3.3,C17F3.3,WBGene00015908,Public name for WBGene00015908. History: N.A.
C17G10.3,C17G10.3,C17G10.3,WBGene00015917,Public name for WBGene00015917. History: N.A.
C17H12.3,C17H12.3,C17H12.3,WBGene00015929,Public name for WBGene00015929. History: N.A.
C17H12.5,C17H12.5,C17H12.5,WBGene00015931,Public name for WBGene00015931. History: N.A.
C18A3.7,C18A3.7,C18A3.7,WBGene00015944,Public name for WBGene00015944. History: N.A.
C18E3.1,C18E3.1,C18E3.1,WBGene00015970,Public name for WBGene00015970. History: N.A.
C18E9.2,C18E9.2,C18E9.2,WBGene00007683,Public name for WBGene00007683. History: N.A.
C18E9.4,C18E9.4,C18E9.4,WBGene00007684,Public name for WBGene00007684. History: N.A.
C18E9.8,C18E9.8,C18E9.8,WBGene00007688,Public name for WBGene00007688. History: N.A.
C18H2.1,C18H2.1,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
C18H2.5,C18H2.5,C18H2.5,WBGene00015992,Public name for WBGene00015992. History: N.A.
C18H7.4,C18H7.4,C18H7.4,WBGene00015994,Public name for WBGene00015994. History: N.A.
C18H7.7,C18H7.7,C18H7.7,WBGene00015997,Public name for WBGene00015997. History: N.A.
C23G10.1,C23G10.1,C23G10.1,WBGene00016010,Public name for WBGene00016010. History: N.A.
C24A11.1,C24A11.1,C24A11.1,WBGene00016040,Public name for WBGene00016040. History: N.A.
C24D10.1,C24D10.1,C24D10.1,WBGene00016053,Sequence name for WBGene00016053(ptp-5.1). History: N.A.
C24D10.2,C24D10.2,C24D10.2,WBGene00016054,Public name for WBGene00016054. History: N.A.
C24H11.1,C24H11.1,C24H11.1,WBGene00007699,Public name for WBGene00007699. History: N.A.
C24H11.2,C24H11.2,C24H11.2,WBGene00007700,Public name for WBGene00007700. History: N.A.
C25A8.2,C25A8.2,C25A8.2,WBGene00016083,Public name for WBGene00016083. History: N.A.
C25A8.5,C25A8.5,C25A8.5,WBGene00016085,Public name for WBGene00016085. History: N.A.
C25D7.1,C25D7.1,C25D7.1,WBGene00007714,Public name for WBGene00007714. History: N.A.
C25D7.16,C25D7.16,C25D7.16,WBGene00050940,Public name for WBGene00050940. History: N.A.
C25G4.6,C25G4.6,C25G4.6,WBGene00007733,Sequence name for WBGene00007733(smz-1). History: N.A.
C25G4.8,C25G4.8,C25G4.8,WBGene00007735,Public name for WBGene00007735. History: N.A.
C25H3.16,C25H3.16,C25H3.16,WBGene00044392,Public name for WBGene00044392. History: N.A.
C25H3.7,C25H3.7,C25H3.7,WBGene00016116,Public name for WBGene00016116. History: N.A.
C26B2.2,C26B2.2,C26B2.2,WBGene00016125,Public name for WBGene00016125. History: N.A.
C26C6.6,C26C6.6,C26C6.6,WBGene00007740,Public name for WBGene00007740. History: N.A.
C27B7.6,C27B7.6,C27B7.6,WBGene00007763,Public name for WBGene00007763. History: N.A.
C27D6.3,C27D6.3,C27D6.3,WBGene00016161,Public name for WBGene00016161. History: N.A.
C27D6.4,C27D6.4,C27D6.4,WBGene00016162,Sequence name for WBGene00016162(crh-2). History: N.A.
C27D8.1,C27D8.1,C27D8.1,WBGene00007777,Public name for WBGene00007777. History: N.A.
C27D8.2,C27D8.2,C27D8.2,WBGene00007778,Public name for WBGene00007778. History: N.A.
C27F2.6,C27F2.6,C27F2.6,WBGene00016168,Public name for WBGene00016168. History: N.A.
C27F2.7,C27F2.7,C27F2.7,WBGene00016169,Public name for WBGene00016169. History: N.A.
C28C12.1,C28C12.1,C28C12.1,WBGene00016177,Public name for WBGene00016177. History: N.A.
C28C12.11,C28C12.11,C28C12.11,WBGene00016181,Public name for WBGene00016181. History: N.A.
C28D4.4,C28D4.4,C28D4.4,WBGene00007792,Public name for WBGene00007792. History: N.A.
C28D4.5,C28D4.5,C28D4.5,WBGene00007793,Public name for WBGene00007793. History: N.A.
C28H8.4,C28H8.4,C28H8.4,WBGene00016195,Sequence name for WBGene00016195(erd-2.2). History: N.A.
C29E4.12,C29E4.12,C29E4.12,WBGene00016209,Public name for WBGene00016209. History: N.A.
C29E4.14,C29E4.14,C29E4.14,WBGene00044634,Public name for WBGene00044634. History: N.A.
C30A5.3,C30A5.3,C30A5.3,WBGene00016238,Sequence name for WBGene00016238(mob-4). History: N.A.
C30A5.4,C30A5.4,C30A5.4,WBGene00016239,Public name for WBGene00016239. History: N.A.
C30B5.2,C30B5.2,C30B5.2,WBGene00016244,Public name for WBGene00016244. History: N.A.
C30B5.5,C30B5.5,C30B5.5,WBGene00016246,"Sequence name for WBGene00016246(daf-37). History: Split into C30B5.17(WBGene00269379). History of WBGene00016246: Renamed on 2012-06-29; Split into ""WBGene00269379"" on 2016-02-18"
C30C11.4,C30C11.4,C30C11.4,WBGene00016250,Sequence name for WBGene00016250(hsp-110). History: N.A.
C30G7.3,C30G7.3,C30G7.3,WBGene00044177,Public name for WBGene00044177. History: N.A.
C30H6.8,C30H6.8,C30H6.8,WBGene00007825,Public name for WBGene00007825. History: N.A.
C30H7.2,C30H7.2,C30H7.2,WBGene00016278,Sequence name for WBGene00016278(erp-44.1). History: N.A.
C31H1.1,C31H1.1,C31H1.1,WBGene00016286,Public name for WBGene00016286. History: N.A.
C31H1.2,C31H1.2,C31H1.2,WBGene00016287,Public name for WBGene00016287. History: N.A.
C31H1.5,C31H1.5,C31H1.5,WBGene00016288,Public name for WBGene00016288. History: N.A.
C32C4.3,C32C4.3,C32C4.3,WBGene00007863,Public name for WBGene00007863. History: N.A.
C32D5.4,C32D5.4,C32D5.4,WBGene00016312,Public name for WBGene00016312. History: N.A.
C32D5.8,C32D5.8,C32D5.8,WBGene00016316,Public name for WBGene00016316. History: N.A.
C32E12.1,C32E12.1,C32E12.1,WBGene00016327,Public name for WBGene00016327. History: N.A.
C32E8.11,C32E8.11,C32E8.11,WBGene00016326,Sequence name for WBGene00016326(ubr-1). History: N.A.
C32E8.4,C32E8.4,C32E8.4,WBGene00016322,Public name for WBGene00016322. History: N.A.
C32F10.8,C32F10.8,C32F10.8,WBGene00016333,Public name for WBGene00016333. History: N.A.
C33C12.4,C33C12.4,C33C12.4,WBGene00016336,Public name for WBGene00016336. History: N.A.
C33F10.1,C33F10.1,C33F10.1,WBGene00016351,Public name for WBGene00016351. History: N.A.
C33F10.11,C33F10.11,C33F10.11,WBGene00016357,Public name for WBGene00016357. History: N.A.
C33F10.12,C33F10.12,C33F10.12,WBGene00016358,Public name for WBGene00016358. History: N.A.
C33F10.8,C33F10.8,C33F10.8,WBGene00016356,Public name for WBGene00016356. History: N.A.
C33H5.16,C33H5.16,C33H5.16,WBGene00016382,Public name for WBGene00016382. History: N.A.
C34B2.10,C34B2.10,C34B2.10,WBGene00016395,Sequence name for WBGene00016395(spcs-1). History: Renamed on 2005-03-17
C34B2.3,C34B2.3,C34B2.3,WBGene00016388,Public name for WBGene00016388. History: N.A.
C34B2.4,C34B2.4,C34B2.4,WBGene00016389,Public name for WBGene00016389. History: N.A.
C34C12.4,C34C12.4,C34C12.4,WBGene00007923,Public name for WBGene00007923. History: N.A.
C34D4.2,C34D4.2,C34D4.2,WBGene00016398,Public name for WBGene00016398. History: N.A.
C34D4.3,C34D4.3,C34D4.3,WBGene00016399,Public name for WBGene00016399. History: N.A.
C34F11.1,C34F11.1,C34F11.1,WBGene00016413,Public name for WBGene00016413. History: N.A.
C34F11.2,C34F11.2,C34F11.2,WBGene00016414,Public name for WBGene00016414. History: N.A.
C34F11.3,C34F11.3,C34F11.3,WBGene00016415,Sequence name for WBGene00016415(ampd-1). History: N.A.
C34F11.5,C34F11.5,C34F11.5,WBGene00016416,Public name for WBGene00016416. History: N.A.
C34G6.3,C34G6.3,C34G6.3,WBGene00016420,Public name for WBGene00016420. History: N.A.
C35A5.4,C35A5.4,C35A5.4,WBGene00007948,Public name for WBGene00007948. History: N.A.
C35D10.8,C35D10.8,C35D10.8,WBGene00016445,Public name for WBGene00016445. History: N.A.
C35E7.10,C35E7.10,C35E7.10,WBGene00016462,Public name for WBGene00016462. History: N.A.
C35E7.9,C35E7.9,C35E7.9,WBGene00016461,Public name for WBGene00016461. History: N.A.
C36E8.1,C36E8.1,C36E8.1,WBGene00007980,Public name for WBGene00007980. History: N.A.
C36F7.5,C36F7.5,C36F7.5,WBGene00007986,Public name for WBGene00007986. History: N.A.
C36H8.1,C36H8.1,C36H8.1,WBGene00007987,Public name for WBGene00007987. History: N.A.
C37C3.2,C37C3.2,C37C3.2,WBGene00016496,"Public name for WBGene00016496. History: Split into C37C3.18(WBGene00303000). History of WBGene00016496: Renamed on 2005-03-17; Split into ""WBGene00303000"" on 2018-03-06"
C37H5.3,C37H5.3,C37H5.3,WBGene00016507,Sequence name for WBGene00016507(abhd-5.2). History: Renamed on 2015-07-17
C38C10.3,C38C10.3,C38C10.3,WBGene00008001,Public name for WBGene00008001. History: N.A.
C38H2.2,C38H2.2,C38H2.2,WBGene00008019,Public name for WBGene00008019. History: N.A.
C39H7.1,C39H7.1,C39H7.1,WBGene00016541,Public name for WBGene00016541. History: N.A.
C41G7.6,C41G7.6,C41G7.6,WBGene00008063,Sequence name for WBGene00008063(cycl-2). History: N.A.
C41G7.9,C41G7.9,C41G7.9,WBGene00077771,Sequence name for WBGene00077771(tspo-1). History: N.A.
C42C1.11,C42C1.11,C42C1.11,WBGene00016589,Sequence name for WBGene00016589(ltah-1.1). History: N.A.
C42C1.3,C42C1.3,C42C1.3,WBGene00016581,Public name for WBGene00016581. History: N.A.
C42C1.9,C42C1.9,C42C1.9,WBGene00016587,Public name for WBGene00016587. History: N.A.
C43E11.5,C43E11.5,C43E11.5,WBGene00016605,Public name for WBGene00016605. History: N.A.
C43G2.3,C43G2.3,C43G2.3,WBGene00016612,Public name for WBGene00016612. History: N.A.
C44B7.10,C44B7.10,C44B7.10,WBGene00016630,Sequence name for WBGene00016630(acer-1). History: N.A.
C45B11.5,C45B11.5,C45B11.5,WBGene00008106,Public name for WBGene00008106. History: N.A.
C45B11.8,C45B11.8,C45B11.8,WBGene00077699,Public name for WBGene00077699. History: N.A.
C45B11.9,C45B11.9,C45B11.9,WBGene00185117,Public name for WBGene00185117. History: N.A.
C46A5.1,C46A5.1,C46A5.1,WBGene00016698,Public name for WBGene00016698. History: N.A.
C46H11.6,C46H11.6,C46H11.6,WBGene00016730,Public name for WBGene00016730. History: N.A.
C47A4.3,C47A4.3,C47A4.3,WBGene00008124,Public name for WBGene00008124. History: N.A.
C47A4.5,C47A4.5,C47A4.5,WBGene00008125,Public name for WBGene00008125. History: N.A.
C47E12.10,C47E12.10,C47E12.10,WBGene00008153,Public name for WBGene00008153. History: N.A.
C47E12.12,C47E12.12,C47E12.12,WBGene00008155,Public name for WBGene00008155. History: N.A.
C47E8.1,C47E8.1,C47E8.1,WBGene00008141,Public name for WBGene00008141. History: N.A.
C47E8.11,C47E8.11,C47E8.11,WBGene00044180,Public name for WBGene00044180. History: N.A.
C48B6.10,C48B6.10,C48B6.10,WBGene00016746,Public name for WBGene00016746. History: N.A.
