# Dataset S4.  Annotated features with ten or more siRNA  reads per million total small RNA reads and depleted by 2/3 or more in mut-16(pk710), relative to wild type (N2).
gene,Reads Per Million Total_wt,Reads Per Million Total_pk710,Reads Per Million Total_pk710/wt,Depletion,Annotation,Input,Suggested Match,History
ZC53.1,37.66,0.0,0.0,undefined,Gene,ZC53.1,WBGene00022508,Public name for WBGene00022508. History: N.A.
R11G11.2,36.37,0.0,0.0,undefined,Gene,R11G11.2,WBGene00003648,Sequence name for WBGene00003648(nhr-58). History: N.A.
R12B2.2,35.25,0.0,0.0,undefined,Gene,R12B2.2,WBGene00020018,Public name for WBGene00020018. History: N.A.
F41H10.12,34.51,0.0,0.0,undefined,Gene,F41H10.12,WBGene00018322,Public name for WBGene00018322. History: N.A.
Y53F4B.38,34.14,0.0,0.0,undefined,Pseudogene,Y53F4B.38,WBGene00014920,Public name for WBGene00014920. History: N.A.
F28F8.2,33.95,0.0,0.0,undefined,Gene,F28F8.2,WBGene00009221,Sequence name for WBGene00009221(acs-2). History: N.A.
H39E20.1,33.21,0.0,0.0,undefined,Gene,H39E20.1,WBGene00019267,Public name for WBGene00019267. History: N.A.
Y119D3B.22,33.21,0.0,0.0,undefined,Gene,Y119D3B.22,WBGene00044675,Sequence name for WBGene00044675(fbxa-76). History: N.A.
F53G12.7,32.65,0.0,0.0,undefined,Gene,F53G12.7,WBGene00000622,Sequence name for WBGene00000622(col-45). History: N.A.
Y48C3A.1,31.73,0.0,0.0,undefined,Gene,Y48C3A.1,WBGene00012985,Public name for WBGene00012985. History: N.A.
Y53G8AM.1,31.39,0.0,0.0,undefined,Transposon,Y53G8AM.1,,Sequence name for Suppressed gene WBGene00021802. Molecular name for Suppressed gene WBGene00021802. Public name for Suppressed gene WBGene00021802. History of WBGene00021802: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
W08F4.6,31.17,0.0,0.0,undefined,Gene,W08F4.6,WBGene00021095,Sequence name for WBGene00021095(mlt-8). History: Renamed on 2005-03-17
F59B2.9,30.24,0.0,0.0,undefined,Gene,F59B2.9,WBGene00010311,Public name for WBGene00010311. History: N.A.
F59D12.2,30.06,0.0,0.0,undefined,Gene,F59D12.2,WBGene00010330,Public name for WBGene00010330. History: N.A.
ZK355.2,30.06,0.0,0.0,undefined,Gene,ZK355.2,WBGene00022712,Public name for WBGene00022712. History: N.A.
C17C3.13,29.69,0.0,0.0,undefined,Gene,C17C3.13,WBGene00015895,Public name for WBGene00015895. History: N.A.
C17C3.2,29.69,0.0,0.0,undefined,Gene,C17C3.2,WBGene00015888,Public name for WBGene00015888. History: N.A.
W09E7.1,29.59,0.0,0.0,undefined,Pseudogene,W09E7.1,,"Public name for Dead gene WBGene00014859. History of WBGene00014859: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
2L52.1,28.94,0.0,0.0,undefined,Gene,2L52.1,WBGene00007063,Public name for WBGene00007063. History: N.A.
E02H9.9,28.94,0.0,0.0,undefined,Gene,E02H9.9,WBGene00017106,Public name for WBGene00017106. History: N.A.
T09A12.2,28.94,0.0,0.0,undefined,Gene,T09A12.2,WBGene00020373,Sequence name for WBGene00020373(gpx-6). History: N.A.
C47D12.4,28.76,0.0,0.0,undefined,Gene,C47D12.4,WBGene00008138,Public name for WBGene00008138. History: N.A.
T06D10.3,28.57,0.0,0.0,undefined,Gene,T06D10.3,WBGene00077558,Public name for WBGene00077558. History: N.A.
T11F9.17,28.39,0.0,0.0,undefined,Pseudogene,T11F9.17,WBGene00005235,Sequence name for WBGene00005235(srh-9). History: N.A.
Y51A2A.8,27.27,0.0,0.0,undefined,Pseudogene,Y51A2A.8,WBGene00014906,Sequence name for WBGene00014906(fbxa-109). History: N.A.
T19C3.2,27.27,0.0,0.0,undefined,Gene,T19C3.2,WBGene00020560,Public name for WBGene00020560. History: N.A.
M162.13,27.0,0.0,0.0,undefined,Pseudogene,M162.13,WBGene00077666,Public name for WBGene00077666. History: N.A.
F12E12.9,26.53,0.0,0.0,undefined,Gene,F12E12.9,WBGene00044693,Sequence name for WBGene00044693(fbxb-92). History: N.A.
C13B9.1,26.32,0.0,0.0,undefined,Transposon,C13B9.1,,Sequence name for Suppressed gene WBGene00015732. Molecular name for Suppressed gene WBGene00015732. Public name for Suppressed gene WBGene00015732. History of WBGene00015732: Killed on 2009-04-15; Suppressed on 2013-03-14. Remark: converted to a Transposon CDS...This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
B0412.2,26.16,0.0,0.0,undefined,Gene,B0412.2,WBGene00000903,Sequence name for WBGene00000903(daf-7). History: N.A.
F52A8.2,25.98,0.0,0.0,undefined,Gene,F52A8.2,WBGene00001680,Sequence name for WBGene00001680(gpb-2). History: Renamed on 2010-12-15
F54C9.4,25.98,0.0,0.0,undefined,Gene,F54C9.4,WBGene00000615,Sequence name for WBGene00000615(col-38). History: N.A.
Y51A2D.12,25.6,0.0,0.0,undefined,Gene,Y51A2D.12,WBGene00005191,Sequence name for WBGene00005191(srg-34). History: N.A.
Y25C1A.13,24.86,0.0,0.0,undefined,Gene,Y25C1A.13,WBGene00021296,Public name for WBGene00021296. History: N.A.
Y87G2A.16,24.68,0.0,0.0,undefined,Gene,Y87G2A.16,WBGene00013602,Public name for WBGene00013602. History: N.A.
T11F9.9,24.49,0.0,0.0,undefined,Gene,T11F9.9,WBGene00000730,Sequence name for WBGene00000730(col-157). History: N.A.
Y74C9A.5,24.49,0.0,0.0,undefined,Gene,Y74C9A.5,WBGene00022279,Sequence name for WBGene00022279(sesn-1). History: N.A.
F26D11.12,24.31,0.0,0.0,undefined,Gene,F26D11.12,WBGene00045392,Public name for WBGene00045392. History: N.A.
C07A9.13,23.93,0.0,0.0,undefined,Gene,C07A9.13,WBGene00044227,Public name for WBGene00044227. History: N.A.
T13H5.3,23.93,0.0,0.0,undefined,Gene,T13H5.3,WBGene00011757,Sequence name for WBGene00011757(cht-2). History: N.A.
C16C4.6,23.56,0.0,0.0,undefined,Gene,C16C4.6,WBGene00015830,Sequence name for WBGene00015830(fbxb-98). History: N.A.
C44C10.10,23.56,0.0,0.0,undefined,Gene,C44C10.10,WBGene00008090,Public name for WBGene00008090. History: N.A.
C52E2.1,23.56,0.0,0.0,undefined,Gene,C52E2.1,WBGene00016880,Sequence name for WBGene00016880(fbxb-95). History: N.A.
H17B01.3,23.56,0.0,0.0,undefined,Gene,H17B01.3,WBGene00019208,Sequence name for WBGene00019208(lips-14). History: N.A.
C05E4.12,23.38,0.0,0.0,undefined,Gene,C05E4.12,WBGene00015491,"Public name for WBGene00015491. History: Split into C05E4.15(WBGene00206359). History of WBGene00015491: Split into ""WBGene00206359"" on 2010-11-23"
Y77E11A.2,23.38,0.0,0.0,undefined,Gene,Y77E11A.2,WBGene00022307,Sequence name for WBGene00022307(nadk-1). History: N.A.
C09F5.1,22.45,0.0,0.0,undefined,Gene,C09F5.1,WBGene00015647,Public name for WBGene00015647. History: N.A.
F17A9.1,22.45,0.0,0.0,undefined,Gene,F17A9.1,WBGene00017533,Sequence name for WBGene00017533(fbxa-178). History: N.A.
F40F4.3,22.26,0.0,0.0,undefined,Gene,F40F4.3,WBGene00002253,Sequence name for WBGene00002253(lbp-1). History: N.A.
F36H5.8,21.89,0.0,0.0,undefined,Gene,F36H5.8,WBGene00018106,"Public name for WBGene00018106. History: Split into F36H5.13(WBGene00206519), F36H5.15(WBGene00270291). History of WBGene00018106: Split into ""WBGene00206519"" on 2011-07-20; Split into ""WBGene00270291"" on 2016-07-01"
K03H9.3,21.89,0.0,0.0,undefined,Gene,K03H9.3,WBGene00019372,Public name for WBGene00019372. History: N.A.
Y68A4A.12,21.79,0.0,0.0,undefined,Pseudogene,Y68A4A.12,WBGene00014944,Public name for WBGene00014944. History: N.A.
Y39E4B.9,21.52,0.0,0.0,undefined,Gene,Y39E4B.9,WBGene00000267,Sequence name for WBGene00000267(bre-2). History: N.A.
C44B12.6,21.34,0.0,0.0,undefined,Gene,C44B12.6,WBGene00016639,Public name for WBGene00016639. History: N.A.
F35C8.3,21.34,0.0,0.0,undefined,Gene,F35C8.3,WBGene00002177,Sequence name for WBGene00002177(jkk-1). History: N.A.
T27A1.2,21.34,0.0,0.0,undefined,Gene,T27A1.2,WBGene00020834,Public name for WBGene00020834. History: N.A.
Y69A2AR.26,21.34,0.0,0.0,undefined,Gene,Y69A2AR.26,WBGene00022097,Sequence name for WBGene00022097(nhr-242). History: N.A.
F55D12.2,21.15,0.0,0.0,undefined,Gene,F55D12.2,WBGene00010111,Public name for WBGene00010111. History: N.A.
K03D3.2,21.15,0.0,0.0,undefined,Gene,K03D3.2,WBGene00010528,Public name for WBGene00010528. History: N.A.
H31G24.2,20.84,0.0,0.0,undefined,Pseudogene,H31G24.2,WBGene00023314,Public name for WBGene00023314. History: N.A.
F11A5.18,20.5,0.0,0.0,undefined,Pseudogene,F11A5.18,WBGene00045511,Public name for WBGene00045511. History: N.A.
K02B7.3,20.41,0.0,0.0,undefined,Gene,K02B7.3,WBGene00010491,Public name for WBGene00010491. History: N.A.
C07D8.2,20.41,0.0,0.0,undefined,Pseudogene,C07D8.2,WBGene00015562,Public name for WBGene00015562. History: N.A.
F53G2.8,20.22,0.0,0.0,undefined,Gene,F53G2.8,,Public name for Dead gene WBGene00018770. History of WBGene00018770: Killed on 2018-11-14. Remark: no evidence and overlaps gene on opposite strand
Y47G6A.30,19.67,0.0,0.0,undefined,Gene,Y47G6A.30,WBGene00021653,Public name for WBGene00021653. History: N.A.
C10E2.1,19.48,0.0,0.0,undefined,Gene,C10E2.1,WBGene00015672,Public name for WBGene00015672. History: N.A.
F09B12.6,19.48,0.0,0.0,undefined,Gene,F09B12.6,WBGene00001468,Sequence name for WBGene00001468(flr-4). History: N.A.
F22D6.10,19.48,0.0,0.0,undefined,Gene,F22D6.10,WBGene00000636,Sequence name for WBGene00000636(col-60). History: N.A.
T23G11.6,19.3,0.0,0.0,undefined,Gene,T23G11.6,WBGene00011971,Sequence name for WBGene00011971(lron-9). History: N.A.
B0348.5,19.11,0.0,0.0,undefined,Gene,B0348.5,WBGene00015153,Sequence name for WBGene00015153(idpp-2). History: N.A.
C17G1.8,19.11,0.0,0.0,undefined,Gene,C17G1.8,WBGene00023491,Sequence name for WBGene00023491(tsp-21). History: N.A.
C52A10.3,19.11,0.0,0.0,undefined,Gene,C52A10.3,WBGene00016864,Public name for WBGene00016864. History: N.A.
F34H10.5,18.92,0.0,0.0,undefined,Gene,F34H10.5,WBGene00009382,Public name for WBGene00009382. History: N.A.
W05H12.1,18.92,0.0,0.0,undefined,Gene,W05H12.1,WBGene00012289,Public name for WBGene00012289. History: N.A.
R09A1.3,18.74,0.0,0.0,undefined,Gene,R09A1.3,WBGene00019973,Public name for WBGene00019973. History: N.A.
C33C12.8,18.37,0.0,0.0,undefined,Gene,C33C12.8,WBGene00016340,Sequence name for WBGene00016340(gba-2). History: N.A.
F37B1.5,18.18,0.0,0.0,undefined,Gene,F37B1.5,WBGene00001764,Sequence name for WBGene00001764(gst-16). History: N.A.
ZC239.20,18.18,0.0,0.0,undefined,Gene,ZC239.20,WBGene00044371,Public name for WBGene00044371. History: N.A.
Y55D5A.2,18.0,0.0,0.0,undefined,Gene,Y55D5A.2,,Sequence name for Dead gene WBGene00021916. Public name for Dead gene WBGene00021916. History of WBGene00021916: Killed on 2020-10-19. Remark: [2020-10-19T15:27:38.82Z WBPerson51134] Gene Killed: no convincing evidence for this gene present
F37H8.3,17.81,0.0,0.0,undefined,Gene,F37H8.3,WBGene00009512,Sequence name for WBGene00009512(bigr-1). History: N.A.
F41E6.6,17.63,0.0,0.0,undefined,Gene,F41E6.6,WBGene00007055,"Sequence name for WBGene00007055(tag-196). History: N.A.. Public name for Dead gene WBGene00018287. History of WBGene00018287: Merged into ""WBGene00007055"" on 2005-10-05"
C36E6.2,17.44,0.0,0.0,undefined,Gene,C36E6.2,WBGene00016490,Public name for WBGene00016490. History: N.A.
F08G12.3,17.44,0.0,0.0,undefined,Gene,F08G12.3,WBGene00008587,Public name for WBGene00008587. History: N.A.
F09C6.10,17.44,0.0,0.0,undefined,Gene,F09C6.10,WBGene00008620,Public name for WBGene00008620. History: N.A.
ZC190.9,17.25,0.0,0.0,undefined,Gene,ZC190.9,WBGene00022544,"Public name for Dead gene WBGene00022543. History of WBGene00022543: Merged into ""WBGene00022544"" on 2017-11-14; Merged into ""WBGene00022544"" on 2017-11-14"
F53H1.2,17.13,0.0,0.0,undefined,Pseudogene,F53H1.2,WBGene00023291,Public name for WBGene00023291. History: N.A.
F34D6.1,17.07,0.0,0.0,undefined,Gene,F34D6.1,WBGene00018021,Public name for WBGene00018021. History: N.A.
F44F1.6,16.88,0.0,0.0,undefined,Gene,F44F1.6,WBGene00009698,Public name for WBGene00009698. History: N.A.
Y71G12B.28,16.88,0.0,0.0,undefined,Gene,Y71G12B.28,WBGene00022163,Public name for WBGene00022163. History: N.A.
K12C11.6,16.7,0.0,0.0,undefined,Gene,K12C11.6,WBGene00045052,Public name for WBGene00045052. History: N.A.
T11G6.7,16.51,0.0,0.0,undefined,Gene,T11G6.7,WBGene00011721,Public name for WBGene00011721. History: N.A.
Y73B6BL.27,16.51,0.0,0.0,undefined,Gene,Y73B6BL.27,WBGene00022248,Public name for WBGene00022248. History: N.A.
F31C3.6,16.14,0.0,0.0,undefined,Gene,F31C3.6,WBGene00009288,Public name for WBGene00009288. History: N.A.
M01F1.1,15.96,0.0,0.0,undefined,Gene,M01F1.1,WBGene00001639,Sequence name for WBGene00001639(gly-14). History: N.A.
Y58A7A.4,15.96,0.0,0.0,undefined,Gene,Y58A7A.4,WBGene00021978,Public name for WBGene00021978. History: N.A.
Y75D11A.1,15.96,0.0,0.0,undefined,Gene,Y75D11A.1,WBGene00022290,Public name for WBGene00022290. History: N.A.
M01E5.1,15.77,0.0,0.0,undefined,Gene,M01E5.1,WBGene00010804,Public name for WBGene00010804. History: N.A.
T26H2.10,15.77,0.0,0.0,undefined,Gene,T26H2.10,WBGene00044976,Public name for WBGene00044976. History: N.A.
W02A2.1,15.77,0.0,0.0,undefined,Gene,W02A2.1,WBGene00001394,Sequence name for WBGene00001394(fat-2). History: N.A.
C23H4.3,15.59,0.0,0.0,undefined,Gene,C23H4.3,WBGene00007692,Sequence name for WBGene00007692(cest-9.1). History: N.A.
Y38F2AL.1,15.59,0.0,0.0,undefined,Gene,Y38F2AL.1,WBGene00021415,Sequence name for WBGene00021415(nsy-4). History: N.A.
B0478.2,15.53,0.0,0.0,undefined,Transposon,B0478.2,,Sequence name for Suppressed gene WBGene00015201. Molecular name for Suppressed gene WBGene00015201. Public name for Suppressed gene WBGene00015201. History of WBGene00015201: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C45H4.14,15.4,0.0,0.0,undefined,Gene,C45H4.14,WBGene00016695,Public name for WBGene00016695. History: N.A.
F20B6.6,15.4,0.0,0.0,undefined,Gene,F20B6.6,WBGene00017630,Public name for WBGene00017630. History: N.A.
T23G11.11,15.21,0.0,0.0,undefined,Gene,T23G11.11,WBGene00077728,Public name for WBGene00077728. History: N.A.
F21C3.6,15.03,0.0,0.0,undefined,Gene,F21C3.6,WBGene00009005,Public name for WBGene00009005. History: N.A.
T07F8.1,15.03,0.0,0.0,undefined,Gene,T07F8.1,WBGene00020318,Public name for WBGene00020318. History: N.A.
Y54E10A.16,15.03,0.0,0.0,undefined,Gene,Y54E10A.16,WBGene00021834,Sequence name for WBGene00021834(mab-31). History: N.A.
C37A5.1,14.84,0.0,0.0,undefined,Gene,C37A5.1,WBGene00007988,Sequence name for WBGene00007988(best-8). History: N.A.
Y55F3C.10,14.84,0.0,0.0,undefined,Gene,Y55F3C.10,WBGene00044460,Public name for WBGene00044460. History: N.A.
CC8.1,14.66,0.0,0.0,undefined,Gene,CC8.1,WBGene00022608,"Public name for Dead gene WBGene00016986. History of WBGene00016986: Merged into ""WBGene00022608"" on 2013-09-27"
K05F6.3,14.66,0.0,0.0,undefined,Gene,K05F6.3,WBGene00019414,Sequence name for WBGene00019414(fbxb-51). History: N.A.
C03E10.3,14.47,0.0,0.0,undefined,Gene,C03E10.3,WBGene00007281,Public name for WBGene00007281. History: N.A.
C03H5.5,14.1,0.0,0.0,undefined,Gene,C03H5.5,WBGene00015407,Public name for WBGene00015407. History: N.A.
F16B12.2,14.1,0.0,0.0,undefined,Gene,F16B12.2,WBGene00001106,Sequence name for WBGene00001106(dsl-4). History: N.A.
F38E11.9,14.1,0.0,0.0,undefined,Gene,F38E11.9,WBGene00009544,Public name for WBGene00009544. History: N.A.
R08B4.3,14.1,0.0,0.0,undefined,Gene,R08B4.3,WBGene00011139,Public name for WBGene00011139. History: N.A.
Y110A2AL.6,14.1,0.0,0.0,undefined,Gene,Y110A2AL.6,WBGene00022443,Public name for WBGene00022443. History: N.A.
Y54G11B.1,14.1,0.0,0.0,undefined,Gene,Y54G11B.1,WBGene00013222,Sequence name for WBGene00013222(dmsr-6). History: N.A.
F02D10.7,13.92,0.0,0.0,undefined,Gene,F02D10.7,WBGene00008527,Sequence name for WBGene00008527(set-8). History: N.A.
F52B11.6,13.92,0.0,0.0,undefined,Gene,F52B11.6,WBGene00002117,Sequence name for WBGene00002117(ins-34). History: N.A.
F22G12.1,13.73,0.0,0.0,undefined,Gene,F22G12.1,WBGene00009061,"Sequence name for WBGene00009061(pals-14). History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
F47H4.8,13.73,0.0,0.0,undefined,Gene,F47H4.8,WBGene00009839,Sequence name for WBGene00009839(fbxa-188). History: N.A.
F54B11.5,13.73,0.0,0.0,undefined,Gene,F54B11.5,WBGene00010028,Public name for WBGene00010028. History: N.A.
Y18D10A.18,13.7,0.0,0.0,undefined,Pseudogene,Y18D10A.18,WBGene00012485,Sequence name for WBGene00012485(fbxa-121). History: N.A.
F13H6.5,13.54,0.0,0.0,undefined,Gene,F13H6.5,WBGene00017433,Public name for WBGene00017433. History: N.A.
R05G9R.1,13.54,0.0,0.0,undefined,Gene,R05G9R.1,WBGene00019906,Public name for WBGene00019906. History: N.A.
T10B10.7,13.54,0.0,0.0,undefined,Gene,T10B10.7,WBGene00003840,Sequence name for WBGene00003840(ocr-3). History: N.A.
B0457.4,13.36,0.0,0.0,undefined,Gene,B0457.4,WBGene00007179,Public name for WBGene00007179. History: N.A.
F35C8.8,13.36,0.0,0.0,undefined,Gene,F35C8.8,WBGene00018038,Public name for WBGene00018038. History: N.A.
Y18H1A.14,13.36,0.0,0.0,undefined,Gene,Y18H1A.14,WBGene00044461,Public name for WBGene00044461. History: N.A.
F40A3.7,13.17,0.0,0.0,undefined,Gene,F40A3.7,WBGene00018222,Public name for WBGene00018222. History: N.A.
F53C3.6,13.17,0.0,0.0,undefined,Gene,F53C3.6,WBGene00018750,Public name for WBGene00018750. History: N.A.
T01D3.1,12.8,0.0,0.0,undefined,Gene,T01D3.1,WBGene00011326,"Public name for WBGene00011326. History: Split into ""WBGene00045409"" on 2007-05-02"
T06D10.1,12.8,0.0,0.0,undefined,Gene,T06D10.1,WBGene00011531,"Sequence name for WBGene00011531(rsbp-1). History: Split into T06D10.8(WBGene00303078). History of WBGene00011531: Split into ""WBGene00303078"" on 2018-03-02"
Y48E1B.15,12.8,0.0,0.0,undefined,Gene,Y48E1B.15,WBGene00013009,"Public name for Dead gene WBGene00013012. History of WBGene00013012: Merged into ""WBGene00013009"" on 2009-12-04"
Y67D8B.4,12.8,0.0,0.0,undefined,Gene,Y67D8B.4,WBGene00022063,Sequence name for WBGene00022063(nlp-81). History: N.A.
F53B6.6,12.62,0.0,0.0,undefined,Gene,F53B6.6,WBGene00009961,Sequence name for WBGene00009961(cutl-7). History: N.A.
W03F9.3,12.43,0.0,0.0,undefined,Gene,W03F9.3,WBGene00021001,Public name for WBGene00021001. History: N.A.
Y39B6A.46,12.43,0.0,0.0,undefined,Gene,Y39B6A.46,WBGene00012702,Sequence name for WBGene00012702(ztf-20). History: N.A.
B0272.3,12.25,0.0,0.0,undefined,Gene,B0272.3,WBGene00007129,Public name for WBGene00007129. History: N.A.
B0454.8,12.25,0.0,0.0,undefined,Gene,B0454.8,WBGene00015199,Public name for WBGene00015199. History: N.A.
K02E2.9,12.12,0.0,0.0,undefined,Pseudogene,K02E2.9,WBGene00077670,Public name for WBGene00077670. History: N.A.
Y37D8A.8,12.06,0.0,0.0,undefined,Gene,Y37D8A.8,WBGene00012549,Public name for WBGene00012549. History: N.A.
ZK675.3,12.06,0.0,0.0,undefined,Gene,ZK675.3,WBGene00014989,Sequence name for WBGene00014989(best-23). History: N.A.
ZK836.3,12.06,0.0,0.0,undefined,Gene,ZK836.3,WBGene00014099,Public name for WBGene00014099. History: N.A.
R11E3.3,11.94,0.0,0.0,undefined,Transposon,R11E3.3,,Sequence name for Suppressed gene WBGene00020005. Molecular name for Suppressed gene WBGene00020005. Public name for Suppressed gene WBGene00020005. History of WBGene00020005: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C23F12.3,11.87,0.0,0.0,undefined,Gene,C23F12.3,WBGene00016008,"Public name for WBGene00016008. History: Split into C23F12.9(WBGene00304782). History of WBGene00016008: Split into ""WBGene00304782"" on 2019-05-20"
F55C9.13,11.87,0.0,0.0,undefined,Gene,F55C9.13,WBGene00044197,Sequence name for WBGene00044197(fbxb-63). History: N.A.
M28.7,11.87,0.0,0.0,undefined,Gene,M28.7,WBGene00010898,Sequence name for WBGene00010898(nphp-1). History: Renamed on 2011-01-18
C34C12.9,11.5,0.0,0.0,undefined,Gene,C34C12.9,WBGene00007928,Public name for WBGene00007928. History: N.A.
F25E2.4,11.5,0.0,0.0,undefined,Gene,F25E2.4,WBGene00002058,Sequence name for WBGene00002058(ifd-2). History: N.A.
F45C12.11,11.5,0.0,0.0,undefined,Gene,F45C12.11,WBGene00018442,Sequence name for WBGene00018442(sdz-18). History: Renamed on 2005-08-22
K01D12.1,11.5,0.0,0.0,undefined,Gene,K01D12.1,WBGene00010461,Public name for WBGene00010461. History: N.A.
K11D2.1,11.5,0.0,0.0,undefined,Gene,K11D2.1,WBGene00010768,Public name for WBGene00010768. History: N.A.
K05C4.11,11.32,0.0,0.0,undefined,Gene,K05C4.11,WBGene00010587,Sequence name for WBGene00010587(sol-2). History: N.A.
C14C6.1,11.13,0.0,0.0,undefined,Gene,C14C6.1,WBGene00005898,Sequence name for WBGene00005898(srx-7). History: N.A.
F11F1.1,11.13,0.0,0.0,undefined,Gene,F11F1.1,WBGene00008714,Public name for WBGene00008714. History: N.A.
F23A7.3,10.95,0.0,0.0,undefined,Gene,F23A7.3,WBGene00009068,Public name for WBGene00009068. History: N.A.
F46E10.3,10.95,0.0,0.0,undefined,Gene,F46E10.3,WBGene00018490,Public name for WBGene00018490. History: N.A.
