spermatogenesis genes,Input,Suggested Match,History
C09H10.9,C09H10.9,WBGene00007503,Public name for WBGene00007503. History: N.A.
C09H5.7,C09H5.7,WBGene00015661,Public name for WBGene00015661. History: N.A.
C10C6.3,C10C6.3,WBGene00007512,Public name for WBGene00007512. History: N.A.
C10G11.1,C10G11.1,WBGene00015685,Public name for WBGene00015685. History: N.A.
C10G11.9,C10G11.9,WBGene00015689,Sequence name for WBGene00015689(spch-2). History: N.A.
C10H11.7,C10H11.7,WBGene00015696,Public name for WBGene00015696. History: N.A.
C14A4.13,C14A4.13,WBGene00007563,Public name for WBGene00007563. History: N.A.
C14C10.1,C14C10.1,WBGene00007584,Public name for WBGene00007584. History: N.A.
C14C11.1,C14C11.1,WBGene00015765,Public name for WBGene00015765. History: N.A.
C15A11.2,C15A11.2,WBGene00007597,Public name for WBGene00007597. History: N.A.
C15F1.5,C15F1.5,WBGene00015796,Public name for WBGene00015796. History: N.A.
C15H11.1,C15H11.1,WBGene00007613,"Public name for WBGene00007613. History: Split into C15H11.13(WBGene00077576). History of WBGene00007613: Split into ""WBGene00077576"" on 2008-02-06"
C15H7.3,C15H7.3,WBGene00007610,Public name for WBGene00007610. History: N.A.
C15H7.4,C15H7.4,WBGene00007611,Public name for WBGene00007611. History: N.A.
C16A11.7,C16A11.7,WBGene00015820,Public name for WBGene00015820. History: N.A.
C16D2.1,C16D2.1,WBGene00007633,Public name for WBGene00007633. History: N.A.
C17C3.11,C17C3.11,WBGene00015893,Public name for WBGene00015893. History: N.A.
C17C3.9,C17C3.9,WBGene00015892,Public name for WBGene00015892. History: N.A.
C17D12.5,C17D12.5,WBGene00007639,Public name for WBGene00007639. History: N.A.
C17E4.1,C17E4.1,WBGene00007641,"Public name for WBGene00007641. History: Split into C17E4.12(WBGene00044769). History of WBGene00007641: Split into ""WBGene00044769"" on 2006-02-27"
C17F3.3,C17F3.3,WBGene00015908,Public name for WBGene00015908. History: N.A.
C17H12.12,C17H12.12,WBGene00015937,Public name for WBGene00015937. History: N.A.
C17H12.3,C17H12.3,WBGene00015929,Public name for WBGene00015929. History: N.A.
C17H12.5,C17H12.5,WBGene00015931,Public name for WBGene00015931. History: N.A.
C18A3.7,C18A3.7,WBGene00015944,Public name for WBGene00015944. History: N.A.
C18E3.1,C18E3.1,WBGene00015970,Public name for WBGene00015970. History: N.A.
C18E9.8,C18E9.8,WBGene00007688,Public name for WBGene00007688. History: N.A.
C18G1.3,C18G1.3,WBGene00015982,Sequence name for WBGene00015982(bgnt-1.4). History: N.A.
C18G1.9,C18G1.9,WBGene00015987,Public name for WBGene00015987. History: N.A.
C18H2.1,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
C18H2.4,C18H2.4,WBGene00015991,Public name for WBGene00015991. History: N.A.
C18H7.4,C18H7.4,WBGene00015994,Public name for WBGene00015994. History: N.A.
C18H7.7,C18H7.7,WBGene00015997,Public name for WBGene00015997. History: N.A.
C24A11.1,C24A11.1,WBGene00016040,Public name for WBGene00016040. History: N.A.
C24D10.1,C24D10.1,WBGene00016053,Sequence name for WBGene00016053(ptp-5.1). History: N.A.
C24D10.2,C24D10.2,WBGene00016054,Public name for WBGene00016054. History: N.A.
C24D10.7,C24D10.7,WBGene00016058,Sequence name for WBGene00016058(nspd-3). History: N.A.
C24D10.8,C24D10.8,WBGene00043147,Sequence name for WBGene00043147(nspd-6). History: Killed on 2004-10-04; Resurrected on 2006-10-03
C24F3.5,C24F3.5,WBGene00000019,Sequence name for WBGene00000019(abt-1). History: N.A.
C24H11.1,C24H11.1,WBGene00007699,Public name for WBGene00007699. History: N.A.
C25A6.1,C25A6.1,WBGene00016081,Public name for WBGene00016081. History: N.A.
C25A8.1,C25A8.1,WBGene00016082,Public name for WBGene00016082. History: N.A.
C25A8.2,C25A8.2,WBGene00016083,Public name for WBGene00016083. History: N.A.
C25A8.5,C25A8.5,WBGene00016085,Public name for WBGene00016085. History: N.A.
C25D7.1,C25D7.1,WBGene00007714,Public name for WBGene00007714. History: N.A.
C25D7.12,C25D7.12,WBGene00007721,Public name for WBGene00007721. History: N.A.
C25G4.4,C25G4.4,WBGene00007732,Sequence name for WBGene00007732(spe-44). History: Renamed on 2011-09-22; Renamed on 2013-04-16
C25G4.6,C25G4.6,WBGene00007733,Sequence name for WBGene00007733(smz-1). History: N.A.
C26B2.2,C26B2.2,WBGene00016125,Public name for WBGene00016125. History: N.A.
C26C6.6,C26C6.6,WBGene00007740,Public name for WBGene00007740. History: N.A.
C26E6.1,C26E6.1,WBGene00016137,Public name for WBGene00016137. History: N.A.
C27D6.3,C27D6.3,WBGene00016161,Public name for WBGene00016161. History: N.A.
C27D8.1,C27D8.1,WBGene00007777,Public name for WBGene00007777. History: N.A.
C27D8.2,C27D8.2,WBGene00007778,Public name for WBGene00007778. History: N.A.
C27F2.6,C27F2.6,WBGene00016168,Public name for WBGene00016168. History: N.A.
C28A5.6,C28A5.6,WBGene00007791,Public name for WBGene00007791. History: N.A.
C28D4.7,C28D4.7,WBGene00007794,Public name for WBGene00007794. History: N.A.
C28D4.8,C28D4.8,WBGene00007795,Public name for WBGene00007795. History: N.A.
C29E6.3,C29E6.3,WBGene00004084,Sequence name for WBGene00004084(pph-2). History: N.A.
C29F5.3,C29F5.3,WBGene00016212,Public name for WBGene00016212. History: N.A.
C30A5.4,C30A5.4,WBGene00016239,Public name for WBGene00016239. History: N.A.
C30B5.3,C30B5.3,WBGene00000771,Sequence name for WBGene00000771(cpb-2). History: N.A.
C31H1.1,C31H1.1,WBGene00016286,Public name for WBGene00016286. History: N.A.
C31H1.2,C31H1.2,WBGene00016287,Public name for WBGene00016287. History: N.A.
C31H1.5,C31H1.5,WBGene00016288,Public name for WBGene00016288. History: N.A.
C32C4.3,C32C4.3,WBGene00007863,Public name for WBGene00007863. History: N.A.
C32D5.4,C32D5.4,WBGene00016312,Public name for WBGene00016312. History: N.A.
C32E12.1,C32E12.1,WBGene00016327,Public name for WBGene00016327. History: N.A.
C32E8.4,C32E8.4,WBGene00016322,Public name for WBGene00016322. History: N.A.
C33A12.15,C33A12.15,WBGene00007888,Sequence name for WBGene00007888(ttr-9). History: N.A.
C33F10.12,C33F10.12,WBGene00016358,Public name for WBGene00016358. History: N.A.
C33F10.8,C33F10.8,WBGene00016356,Public name for WBGene00016356. History: N.A.
C33F10.9,C33F10.9,WBGene00003435,Sequence name for WBGene00003435(msp-40). History: N.A.
C33H5.16,C33H5.16,WBGene00016382,Public name for WBGene00016382. History: N.A.
C34B2.3,C34B2.3,WBGene00016388,Public name for WBGene00016388. History: N.A.
C34D4.2,C34D4.2,WBGene00016398,Public name for WBGene00016398. History: N.A.
C34D4.3,C34D4.3,WBGene00016399,Public name for WBGene00016399. History: N.A.
C34F11.1,C34F11.1,WBGene00016413,Public name for WBGene00016413. History: N.A.
C34F11.2,C34F11.2,WBGene00016414,Public name for WBGene00016414. History: N.A.
C34F11.4,C34F11.4,WBGene00003443,Sequence name for WBGene00003443(msp-50). History: N.A.
C34F11.5,C34F11.5,WBGene00016416,Public name for WBGene00016416. History: N.A.
C34F11.6,C34F11.6,WBGene00003442,Sequence name for WBGene00003442(msp-49). History: N.A.
C34G6.3,C34G6.3,WBGene00016420,Public name for WBGene00016420. History: N.A.
C35D10.11,C35D10.11,WBGene00016447,Sequence name for WBGene00016447(msd-4). History: N.A.
C35D10.2,C35D10.2,WBGene00016440,Sequence name for WBGene00016440(gipc-1). History: N.A.
C35D10.3,C35D10.3,WBGene00016441,Public name for WBGene00016441. History: N.A.
C35E7.9,C35E7.9,WBGene00016461,Public name for WBGene00016461. History: N.A.
C36B1.10,C36B1.10,WBGene00007977,Sequence name for WBGene00007977(gskl-2). History: Renamed on 2021-12-09
C36H8.1,C36H8.1,WBGene00007987,Public name for WBGene00007987. History: N.A.
C37A2.3,C37A2.3,WBGene00016491,Sequence name for WBGene00016491(acdh-5). History: N.A.
C38C10.3,C38C10.3,WBGene00008001,Public name for WBGene00008001. History: N.A.
C38C3.3,C38C3.3,WBGene00016512,"Public name for WBGene00016512. History: Split into C38C3.10(WBGene00045390). History of WBGene00016512: Split into ""WBGene00045390"" on 2007-04-20"
C38C3.7,C38C3.7,WBGene00016516,"Public name for Dead gene WBGene00016515. History of WBGene00016515: Merged into ""WBGene00016516"" on 2015-07-23"
C38C3.8,C38C3.8,WBGene00016516,Public name for WBGene00016516. History: N.A.
C39H7.1,C39H7.1,WBGene00016541,Public name for WBGene00016541. History: N.A.
C40H5.1,C40H5.1,WBGene00043187,Sequence name for WBGene00043187(nspa-9). History: Killed on 2004-10-04; Resurrected on 2005-04-01
C41G7.6,C41G7.6,WBGene00008063,Sequence name for WBGene00008063(cycl-2). History: N.A.
C43E11.5,C43E11.5,WBGene00016605,Public name for WBGene00016605. History: N.A.
C43F9.6,C43F9.6,WBGene00008074,Sequence name for WBGene00008074(nkb-2). History: N.A.
C43G2.3,C43G2.3,WBGene00016612,Public name for WBGene00016612. History: N.A.
C44B9.2,C44B9.2,WBGene00008079,Public name for WBGene00008079. History: N.A.
C45G9.4,C45G9.4,WBGene00016675,Public name for WBGene00016675. History: N.A.
C45G9.9,C45G9.9,WBGene00016680,Public name for WBGene00016680. History: N.A.
C46A5.1,C46A5.1,WBGene00016698,Public name for WBGene00016698. History: N.A.
C46E10.1,C46E10.1,WBGene00016707,Public name for WBGene00016707. History: N.A.
C46H11.6,C46H11.6,WBGene00016730,Public name for WBGene00016730. History: N.A.
C47A4.3,C47A4.3,WBGene00008124,Public name for WBGene00008124. History: N.A.
C47A4.5,C47A4.5,WBGene00008125,Public name for WBGene00008125. History: N.A.
C47D12.3,C47D12.3,WBGene00008137,Sequence name for WBGene00008137(sfxn-1.4). History: N.A.
C47E12.10,C47E12.10,WBGene00008153,Public name for WBGene00008153. History: N.A.
C47E12.11,C47E12.11,WBGene00008154,Public name for WBGene00008154. History: N.A.
C47E8.1,C47E8.1,WBGene00008141,Public name for WBGene00008141. History: N.A.
C48B6.4,C48B6.4,WBGene00016742,Public name for WBGene00016742. History: N.A.
C48E7.7,C48E7.7,WBGene00016752,Public name for WBGene00016752. History: N.A.
C48E7.8,C48E7.8,WBGene00016753,Sequence name for WBGene00016753(oac-9). History: N.A.
C49C8.1,C49C8.1,WBGene00016765,Public name for WBGene00016765. History: N.A.
C49G7.1,C49G7.1,WBGene00017035,"Public name for Dead gene WBGene00016780. History of WBGene00016780: Merged into ""WBGene00017035"" on 2016-04-19"
C50D2.3,C50D2.3,WBGene00016807,Sequence name for WBGene00016807(txt-1). History: N.A.
C50E10.2,C50E10.2,WBGene00016826,Public name for WBGene00016826. History: N.A.
C50F2.5,C50F2.5,WBGene00016839,Public name for WBGene00016839. History: N.A.
C50F4.2,C50F4.2,WBGene00008230,Sequence name for WBGene00008230(pfk-1.2). History: Renamed on 2014-03-03
C50F7.3,C50F7.3,WBGene00016843,Public name for WBGene00016843. History: N.A.
C52E4.7,C52E4.7,WBGene00008259,Public name for WBGene00008259. History: N.A.
C53A5.4,C53A5.4,WBGene00007049,"Sequence name for WBGene00007049(tag-191). History: N.A.. Public name for Dead gene WBGene00008264. History of WBGene00008264: Merged into ""WBGene00007049"" on 2005-10-05"
C53B4.2,C53B4.2,WBGene00008272,Public name for WBGene00008272. History: N.A.
C54G4.3,C54G4.3,WBGene00008313,Public name for WBGene00008313. History: N.A.
C55B7.10,C55B7.10,WBGene00016946,Public name for WBGene00016946. History: N.A.
C55B7.3,C55B7.3,WBGene00016942,Public name for WBGene00016942. History: N.A.
C55C2.2,C55C2.2,WBGene00006047,Sequence name for WBGene00006047(ssp-19). History: N.A.
C55C3.3,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
C55C3.4,C55C3.4,WBGene00016954,Public name for WBGene00016954. History: N.A.
C56A3.8,C56A3.8,WBGene00008346,Public name for WBGene00008346. History: N.A.
C56C10.6,C56C10.6,WBGene00016963,Public name for WBGene00016963. History: N.A.
C56G2.5,C56G2.5,WBGene00016980,Public name for WBGene00016980. History: N.A.
D1037.5,D1037.5,WBGene00017026,Sequence name for WBGene00017026(ipla-4). History: N.A.
D1081.3,D1081.3,WBGene00008381,"Public name for WBGene00008381. History: Split into D1081.10(WBGene00045508), D1081.19(WBGene00304981). History of WBGene00008381: Split into ""WBGene00045508"" on 2007-07-26; Split into ""WBGene00304981"" on 2019-09-26"
D1081.5,D1081.5,WBGene00008383,Public name for WBGene00008383. History: N.A.
D2024.1,D2024.1,WBGene00017050,Public name for WBGene00017050. History: N.A.
D2045.5,D2045.5,WBGene00008423,Public name for WBGene00008423. History: N.A.
D2062.4,D2062.4,WBGene00017056,Public name for WBGene00017056. History: N.A.
D2062.5,D2062.5,WBGene00017057,Public name for WBGene00017057. History: N.A.
D2092.7,D2092.7,WBGene00006645,Sequence name for WBGene00006645(tsp-19). History: N.A.
E03A3.4,E03A3.4,WBGene00001944,Sequence name for WBGene00001944(his-70). History: N.A.
E03H12.10,E03H12.10,WBGene00006038,Sequence name for WBGene00006038(ssp-9). History: N.A.
E03H12.5,E03H12.5,WBGene00017112,Public name for WBGene00017112. History: N.A.
E03H12.7,E03H12.7,WBGene00017114,Public name for WBGene00017114. History: N.A.
F01G10.5,F01G10.5,WBGene00008508,Public name for WBGene00008508. History: N.A.
F02C9.1,F02C9.1,WBGene00017172,Public name for WBGene00017172. History: N.A.
F02C9.4,F02C9.4,WBGene00017175,Sequence name for WBGene00017175(irld-3). History: N.A.
F02E11.1,F02E11.1,WBGene00017179,Sequence name for WBGene00017179(wht-4). History: N.A.
F02E9.3,F02E9.3,WBGene00008529,Public name for WBGene00008529. History: N.A.
F07D3.3,F07D3.3,WBGene00008556,Public name for WBGene00008556. History: N.A.
F07E5.8,F07E5.8,WBGene00017213,Public name for WBGene00017213. History: N.A.
F07F6.1,F07F6.1,WBGene00017215,Public name for WBGene00017215. History: N.A.
F08G2.6,F08G2.6,WBGene00002120,Sequence name for WBGene00002120(ins-37). History: N.A.
F08G5.2,F08G5.2,WBGene00008581,Sequence name for WBGene00008581(acl-13). History: N.A.
F08H9.2,F08H9.2,WBGene00008590,Public name for WBGene00008590. History: N.A.
F09C12.2,F09C12.2,WBGene00017277,Public name for WBGene00017277. History: N.A.
F09C12.7,F09C12.7,WBGene00003462,Sequence name for WBGene00003462(msp-74). History: N.A.
F10D11.3,F10D11.3,WBGene00008649,Public name for WBGene00008649. History: N.A.
F10E9.2,F10E9.2,WBGene00017354,Public name for WBGene00017354. History: N.A.
F10F2.7,F10F2.7,WBGene00008659,Sequence name for WBGene00008659(clec-151). History: N.A.
F10F2.8,F10F2.8,WBGene00008660,Sequence name for WBGene00008660(clec-153). History: N.A.
F10G8.1,F10G8.1,WBGene00008661,Public name for WBGene00008661. History: N.A.
F11G11.4,F11G11.4,WBGene00017384,Public name for WBGene00017384. History: N.A.
F11G11.8,F11G11.8,WBGene00017386,Sequence name for WBGene00017386(nspd-5). History: N.A.
F11G11.9,F11G11.9,WBGene00017387,Sequence name for WBGene00017387(mpst-4). History: N.A.
F13A7.1,F13A7.1,WBGene00008724,Public name for WBGene00008724. History: N.A.
F13G11.2,F13G11.2,WBGene00008772,Sequence name for WBGene00008772(irld-4). History: N.A.
F13H8.8,F13H8.8,WBGene00017441,Public name for WBGene00017441. History: N.A.
F14F7.4,F14F7.4,WBGene00008811,Public name for WBGene00008811. History: N.A.
F14H3.2,F14H3.2,WBGene00008821,Sequence name for WBGene00008821(best-12). History: N.A.
F15D3.4,F15D3.4,WBGene00008854,Public name for WBGene00008854. History: N.A.
F17A9.1,F17A9.1,WBGene00017533,Sequence name for WBGene00017533(fbxa-178). History: N.A.
F17C8.3,F17C8.3,WBGene00008910,"Public name for WBGene00008910. History: Split into F17C8.9(WBGene00185014). History of WBGene00008910: Split into ""WBGene00185014"" on 2009-02-18"
F17E9.5,F17E9.5,WBGene00017542,Public name for WBGene00017542. History: N.A.
F18A1.1,F18A1.1,WBGene00017545,Public name for WBGene00017545. History: N.A.
F18A12.4,F18A12.4,WBGene00017553,Sequence name for WBGene00017553(nep-8). History: N.A.
F18A12.5,F18A12.5,WBGene00017554,Sequence name for WBGene00017554(nep-9). History: N.A.
F18C5.4,F18C5.4,WBGene00017559,Sequence name for WBGene00017559(mpz-3). History: N.A.
F19B6.3,F19B6.3,WBGene00008949,Public name for WBGene00008949. History: N.A.
F19B6.4,F19B6.4,WBGene00008950,Sequence name for WBGene00008950(wht-5). History: N.A.
F19C7.5,F19C7.5,WBGene00044302,"Public name for Dead gene WBGene00017595. History of WBGene00017595: Merged into ""WBGene00044302"" on 2018-11-14"
F20D6.6,F20D6.6,WBGene00017636,Public name for WBGene00017636. History: N.A.
F20H11.4,F20H11.4,WBGene00017647,Public name for WBGene00017647. History: N.A.
F21A3.4,F21A3.4,WBGene00008994,Public name for WBGene00008994. History: N.A.
F21D9.2,F21D9.2,WBGene00009016,Public name for WBGene00009016. History: N.A.
F21D9.3,F21D9.3,WBGene00009017,Public name for WBGene00009017. History: N.A.
F21F3.2,F21F3.2,WBGene00017672,Public name for WBGene00017672. History: N.A.
F21F3.3,F21F3.3,WBGene00017673,Sequence name for WBGene00017673(icmt-1). History: Renamed on 2015-04-29
F21H7.2,F21H7.2,WBGene00009028,Public name for WBGene00009028. History: N.A.
F21H7.5,F21H7.5,WBGene00009031,Public name for WBGene00009031. History: N.A.
F22B5.5,F22B5.5,WBGene00009043,Public name for WBGene00009043. History: N.A.
F22D6.9,F22D6.9,WBGene00009054,Public name for WBGene00009054. History: N.A.
F23B12.1,F23B12.1,WBGene00009079,Public name for WBGene00009079. History: N.A.
F23B2.7,F23B2.7,WBGene00009075,Public name for WBGene00009075. History: N.A.
F23C8.1,F23C8.1,WBGene00017731,Public name for WBGene00017731. History: N.A.
F23C8.7,F23C8.7,WBGene00017736,Public name for WBGene00017736. History: N.A.
F23C8.8,F23C8.8,WBGene00017737,Public name for WBGene00017737. History: N.A.
F25F2.1,F25F2.1,WBGene00009115,Public name for WBGene00009115. History: N.A.
F25H5.7,F25H5.7,WBGene00009129,Public name for WBGene00009129. History: N.A.
F26A1.3,F26A1.3,WBGene00017802,Public name for WBGene00017802. History: N.A.
F26A3.5,F26A3.5,WBGene00009143,Public name for WBGene00009143. History: N.A.
F26B1.1,F26B1.1,WBGene00017815,"Public name for WBGene00017815. History: Split into F26B1.8(WBGene00194703). History of WBGene00017815: Split into ""WBGene00194703"" on 2009-07-23"
F26B1.5,F26B1.5,WBGene00017817,Public name for WBGene00017817. History: N.A.
F26D2.10,F26D2.10,WBGene00009149,Public name for WBGene00009149. History: N.A.
F26E4.5,F26E4.5,WBGene00009160,Public name for WBGene00009160. History: N.A.
F26F4.2,F26F4.2,WBGene00005012,Public name for WBGene00005012. History: N.A.
F26F4.8,F26F4.8,WBGene00005011,Public name for WBGene00005011. History: N.A.
F26G1.7,F26G1.7,WBGene00003424,Sequence name for WBGene00003424(msp-3). History: N.A.
F27C1.1,F27C1.1,WBGene00017851,Public name for WBGene00017851. History: N.A.
F27C8.5,F27C8.5,WBGene00009185,Sequence name for WBGene00009185(pei-1). History: N.A.
F27E5.3,F27E5.3,WBGene00009193,Public name for WBGene00009193. History: N.A.
F28A10.1,F28A10.1,WBGene00017869,Public name for WBGene00017869. History: N.A.
F28A10.4,F28A10.4,WBGene00017872,Public name for WBGene00017872. History: N.A.
F28E10.4,F28E10.4,WBGene00017902,Public name for WBGene00017902. History: N.A.
F28H7.4,F28H7.4,WBGene00009238,Sequence name for WBGene00009238(selt-1.2). History: N.A.
F28H7.6,F28H7.6,WBGene00009239,Sequence name for WBGene00009239(irld-6). History: N.A.
F29B9.7,F29B9.7,WBGene00017922,Public name for WBGene00017922. History: N.A.
F29D10.1,F29D10.1,WBGene00009250,Public name for WBGene00009250. History: N.A.
F30F8.2,F30F8.2,WBGene00009271,Sequence name for WBGene00009271(glna-3). History: N.A.
F32A11.3,F32A11.3,WBGene00009308,Public name for WBGene00009308. History: Renamed on 2014-09-24
F32B4.2,F32B4.2,WBGene00009313,Public name for WBGene00009313. History: N.A.
F32B5.4,F32B5.4,WBGene00017978,Sequence name for WBGene00017978(msrp-1). History: N.A.
F32B6.10,F32B6.10,WBGene00009324,Sequence name for WBGene00009324(ttbk-3). History: N.A.
F32B6.5,F32B6.5,WBGene00006056,Sequence name for WBGene00006056(sss-1). History: N.A.
F32B6.6,F32B6.6,WBGene00003464,Sequence name for WBGene00003464(msp-77). History: N.A.
F32B6.7,F32B6.7,WBGene00006049,Sequence name for WBGene00006049(ssp-32). History: N.A.
F32H2.7,F32H2.7,WBGene00009344,Public name for WBGene00009344. History: N.A.
F32H2.9,F32H2.9,WBGene00006532,Sequence name for WBGene00006532(tba-6). History: N.A.
F33D11.1,F33D11.1,WBGene00018000,Public name for WBGene00018000. History: N.A.
F33D11.2,F33D11.2,WBGene00018001,Public name for WBGene00018001. History: N.A.
F34D10.2,F34D10.2,WBGene00009372,"Sequence name for WBGene00009372(evl-18). History: Split into F34D10.9(WBGene00045484). History of WBGene00009372: Split into ""WBGene00045484"" on 2007-07-16; Renamed on 2012-08-30"
F35C11.2,F35C11.2,WBGene00009401,Public name for WBGene00009401. History: N.A.
F35C11.3,F35C11.3,WBGene00009402,Public name for WBGene00009402. History: N.A.
F35E2.5,F35E2.5,WBGene00009412,Public name for WBGene00009412. History: N.A.
