gene,mRNA-seq_WT_OP50,mRNA-seq_set-32_OP50,mRNA-seq_met-2set-25set-32_OP50,mRNA-seq_met-2set-25_OP50,mRNA-seq_hrde-1_OP50,GRH loci,GRTS loci,K9(+)_genes,Input,Suggested Match,History
C03A7.14,2.4,0.32,0.81,1.67,0.73,no,yes,yes,C03A7.14,WBGene00000031,Sequence name for WBGene00000031(abu-8). History: N.A.
C03A7.13,1.3,1.9,1.09,1.52,0.58,no,yes,yes,C03A7.13,WBGene00015371,Public name for WBGene00015371. History: N.A.
B0250.8,0,0.44,0.67,2.1,16.03,no,yes,yes,B0250.8,WBGene00007125,Public name for WBGene00007125. History: N.A.
F55A3.6,0,0,0,1.36,21.75,yes,yes,yes,F55A3.6,WBGene00018851,Public name for WBGene00018851. History: N.A.
C13B9.4a.1,0.93,0.84,0.66,0.6,1.06,yes,yes,no,C13B9.4a.1,WBGene00015735,Molecule name for WBGene00015735(pdfr-1). History: Renamed on 2012-08-29
F40B1.1,1.37,1,6.49,0,22.04,no,yes,yes,F40B1.1,WBGene00018223,Sequence name for WBGene00018223(bath-13). History: N.A.
T05C3.7,0,0,0,0,0,no,yes,yes,T05C3.7,WBGene00005223,Sequence name for WBGene00005223(srg-66). History: N.A.
T05C3.4,0.31,0,0,0,0.83,no,yes,no,T05C3.4,WBGene00001727,Sequence name for WBGene00001727(grl-18). History: N.A.
Y23H5A.8,11.38,15.06,14.27,13.46,124.99,yes,yes,yes,Y23H5A.8,WBGene00023172,Public name for WBGene00023172. History: N.A.
K06C4.2,10.03,18.52,12.94,16.41,16.27,no,yes,yes,K06C4.2,WBGene00001902,Sequence name for WBGene00001902(his-28). History: N.A.
R03D7.2,14.68,19.49,18.96,0.78,33.7,no,yes,no,R03D7.2,WBGene00010989,Public name for WBGene00010989. History: N.A.
K01A11.4.1,3.42,1.02,2.72,2.91,9.58,no,yes,no,,,
T11F9.9,18.15,8.22,15.27,14.5,8.27,yes,yes,yes,T11F9.9,WBGene00000730,Sequence name for WBGene00000730(col-157). History: N.A.
W09B7.3,0,0,0,0,0,no,yes,yes,W09B7.3,WBGene00021108,Public name for WBGene00021108. History: N.A.
W09B7.1,0.79,0.22,0.17,1.4,56.3,no,yes,yes,W09B7.1,WBGene00021106,Public name for WBGene00021106. History: N.A.
F55A3.5,0,0.78,0,0,24.91,yes,yes,yes,F55A3.5,WBGene00018850,Sequence name for WBGene00018850(gpx-8). History: N.A.
C40A11.1,2.92,1.83,4.19,3.42,3.36,no,yes,yes,C40A11.1,WBGene00016544,Sequence name for WBGene00016544(math-18). History: N.A.
Y63D3A.10,0.99,1.63,0.41,1.74,5.99,no,yes,yes,Y63D3A.10,WBGene00013409,Sequence name for WBGene00013409(fbxb-56). History: N.A.
C03A7.2,0,0,0,0,5.64,no,yes,yes,C03A7.2,WBGene00015366,Public name for WBGene00015366. History: N.A.
C27C7.1,32.99,48.26,64.97,45.88,106.16,no,yes,yes,C27C7.1,WBGene00007766,Public name for WBGene00007766. History: N.A.
C27C7.8,0,0.43,0.65,0,0,no,yes,yes,C27C7.8,WBGene00007770,Sequence name for WBGene00007770(nhr-259). History: N.A.
K08D10.1,18.98,15.06,17.36,17.61,20.26,no,yes,yes,K08D10.1,,Sequence name for Suppressed gene WBGene00019528. Molecular name for Suppressed gene WBGene00019528. Public name for Suppressed gene WBGene00019528. History of WBGene00019528: Suppressed on 2013-09-27. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y63D3A.11,0.77,3.66,1.07,0,1.72,no,yes,yes,Y63D3A.11,WBGene00013410,Sequence name for WBGene00013410(fbxb-94). History: N.A.
F49F1.7,2.97,3.26,9.11,5.8,44.51,yes,yes,yes,F49F1.7,WBGene00018647,Public name for WBGene00018647. History: N.A.
F49F1.9,0,0.72,0,0,0.88,no,yes,yes,F49F1.9,WBGene00018649,Public name for WBGene00018649. History: N.A.
F49F1.8,0,0.49,0,0.26,18.01,no,yes,yes,F49F1.8,WBGene00018648,Public name for WBGene00018648. History: N.A.
Y53F4B.5,0,3.13,0,0,12.75,yes,yes,yes,Y53F4B.5,WBGene00013152,Public name for WBGene00013152. History: N.A.
Y53F4B.6,1.27,0.69,1.59,1.48,5.09,yes,yes,yes,Y53F4B.6,WBGene00013153,Public name for WBGene00013153. History: N.A.
F49F1.6,0.96,1.06,2.01,3.39,1.94,yes,yes,yes,F49F1.6,WBGene00018646,Sequence name for WBGene00018646(mul-1). History: N.A.
C40A11.2.1,2.95,1.94,1.98,1.38,2.38,no,yes,no,C40A11.2.1,WBGene00016545,Molecule name for WBGene00016545(C40A11.2). History: N.A.
T08G5.5a,59.2,42.64,50.21,59.46,64.7,no,yes,no,T08G5.5a,WBGene00011625,Molecule name for WBGene00011625(vps-39). History: N.A.
C13B9.4c.1,0.92,0.83,0.65,0.59,1.24,yes,yes,no,C13B9.4c.1,WBGene00015735,Molecule name for WBGene00015735(pdfr-1). History: Renamed on 2012-08-29
Y43F4A.3,0,0,0,0,0,no,yes,yes,Y43F4A.3,WBGene00012798,Public name for WBGene00012798. History: N.A.
C24H12.2,1.45,2.64,0.4,1.69,7.11,no,yes,yes,C24H12.2,WBGene00016072,Public name for WBGene00016072. History: N.A.
F33E11.1,1.48,2.84,0.62,1.3,3.98,no,yes,yes,F33E11.1,WBGene00003614,Sequence name for WBGene00003614(nhr-15). History: N.A.
W09B7.2,4.13,4.53,1.27,1.53,90.11,no,yes,yes,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
K09H11.11,0,1.24,0,0,12.12,no,yes,yes,K09H11.11,WBGene00044541,Public name for WBGene00044541. History: N.A.
Y26D4A.8,0,0,0,0,0,no,yes,yes,Y26D4A.8,WBGene00012505,Sequence name for WBGene00012505(pals-13). History: N.A.
Y26D4A.9,0,0,0,0,0,no,yes,no,Y26D4A.9,,Sequence name for Suppressed gene WBGene00012506. Molecular name for Suppressed gene WBGene00012506. Public name for Suppressed gene WBGene00012506. History of WBGene00012506: Killed on 2012-10-31; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C33C12.11,0,0.46,0,0,0,no,yes,yes,C33C12.11,WBGene00044360,Public name for WBGene00044360. History: N.A.
ZC15.10,0.7,0.77,0,0,1.88,no,yes,no,ZC15.10,WBGene00045050,Public name for WBGene00045050. History: N.A.
Y48G1BM.5,1.32,0.91,5.5,3.41,8.45,no,yes,yes,Y48G1BM.5,WBGene00021671,"Public name for Dead gene WBGene00021670. History of WBGene00021670: Merged into ""WBGene00021671"" on 2009-01-09"
Y48G1BM.7,0,0,0,0,0,no,yes,yes,Y48G1BM.7,WBGene00021672,Public name for WBGene00021672. History: N.A.
Y48G1BM.6,0.78,1.59,9.59,5.74,10.75,no,yes,yes,Y48G1BM.6,WBGene00021671,"Public name for WBGene00021671. History: Split into Y48G1BM.10(WBGene00306121). History of WBGene00021671: Split into ""WBGene00306121"" on 2020-11-10"
K09H11.7,32.23,30.48,30.62,32.75,25.66,no,yes,no,K09H11.7,WBGene00019604,Sequence name for WBGene00019604(pgph-1). History: N.A.
K08D10.11,0.9,0,0,0,0,yes,yes,yes,K08D10.11,WBGene00019534,Public name for WBGene00019534. History: N.A.
EGAP798.1,0,0,0.7,0,0,no,yes,yes,EGAP798.1,WBGene00017152,Public name for WBGene00017152. History: N.A.
K06C4.1,0,0,0,0,0,no,yes,yes,K06C4.1,WBGene00019442,"Public name for WBGene00019442. History: Split into K06C4.27(WBGene00271800). History of WBGene00019442: Split into ""WBGene00271800"" on 2017-09-21"
