WB.ID,gene.name,CIS-BP.motif,TF,Input,Suggested Match,History
WBGene00021959,Y57E12AL.6,M00590_2.00,Y44A6D.3,WBGene00021959,WBGene00021959,History: N.A.
WBGene00022042,icd-2,M00590_2.00,Y44A6D.3,WBGene00022042,WBGene00022042,History: N.A.
WBGene00022043,psf-3,M00590_2.00,Y44A6D.3,WBGene00022043,WBGene00022043,History: N.A.
WBGene00022157,Y71G12B.22,M00590_2.00,Y44A6D.3,WBGene00022157,WBGene00022157,History: N.A.
WBGene00022168,Y71H2AM.3,M00590_2.00,Y44A6D.3,WBGene00022168,WBGene00022168,"History: Split into Y71H2AM.25(WBGene00044760). History of WBGene00022168: Split into ""WBGene00044760"" on 2006-02-24"
WBGene00022250,Y73B6BL.29,M00590_2.00,Y44A6D.3,WBGene00022250,WBGene00022250,History: N.A.
WBGene00022275,txt-7,M00590_2.00,Y44A6D.3,WBGene00022275,WBGene00022275,History: N.A.
WBGene00022281,abtm-1,M00590_2.00,Y44A6D.3,WBGene00022281,WBGene00022281,History: N.A.
WBGene00022401,Y97E10AR.6,M00590_2.00,Y44A6D.3,WBGene00022401,WBGene00022401,History: N.A.
WBGene00022679,ZK180.5,M00590_2.00,Y44A6D.3,WBGene00022679,WBGene00022679,History: N.A.
WBGene00022706,ZK354.3,M00590_2.00,Y44A6D.3,WBGene00022706,WBGene00022706,History: N.A.
WBGene00022710,ZK354.9,M00590_2.00,Y44A6D.3,WBGene00022710,WBGene00022710,History: N.A.
WBGene00023486,K08B4.7,M00590_2.00,Y44A6D.3,WBGene00023486,WBGene00023486,History: N.A.
WBGene00044062,snb-6,M00590_2.00,Y44A6D.3,WBGene00044062,WBGene00044062,History: Renamed on 2010-03-26
WBGene00044069,hat-1,M00590_2.00,Y44A6D.3,WBGene00044069,WBGene00044069,History: N.A.
WBGene00044072,ham-3,M00590_2.00,Y44A6D.3,WBGene00044072,WBGene00044072,History: Renamed on 2011-02-11; Renamed on 2012-07-20
WBGene00044360,C33C12.11,M00590_2.00,Y44A6D.3,WBGene00044360,WBGene00044360,History: N.A.
WBGene00044563,T26C11.8,M00590_2.00,Y44A6D.3,WBGene00044563,WBGene00044563,History: N.A.
WBGene00045289,fbxa-169,M00590_2.00,Y44A6D.3,WBGene00045289,WBGene00045289,"History: Split into C31C9.9(WBGene00305095). History of WBGene00045289: Split into ""WBGene00305095"" on 2019-10-21"
WBGene00077728,T23G11.11,M00590_2.00,Y44A6D.3,WBGene00077728,WBGene00077728,History: N.A.
WBGene00077786,F53F8.7,M00590_2.00,Y44A6D.3,WBGene00077786,WBGene00077786,History: N.A.
WBGene00195155,W04A8.9,M00590_2.00,Y44A6D.3,WBGene00195155,WBGene00195155,History: N.A.
WBGene00195169,Y50D4A.6,M00590_2.00,Y44A6D.3,WBGene00195169,WBGene00195169,History: N.A.
WBGene00206474,T22A3.12,M00590_2.00,Y44A6D.3,WBGene00206474,WBGene00206474,History: N.A.
WBGene00206532,F11A6.15,M00590_2.00,Y44A6D.3,WBGene00206532,WBGene00206532,History: N.A.
WBGene00219205,R03D7.15,M00590_2.00,Y44A6D.3,WBGene00219205,WBGene00219205,History: N.A.
WBGene00219300,W10G6.6,M00590_2.00,Y44A6D.3,WBGene00219300,WBGene00219300,History: N.A.
WBGene00219319,H25P06.5,M00590_2.00,Y44A6D.3,WBGene00219319,WBGene00219319,History: N.A.
WBGene00304215,F17A2.16,M00590_2.00,Y44A6D.3,WBGene00304215,WBGene00304215,History: N.A.
WBGene00305066,Y55B1BR.8,M00590_2.00,Y44A6D.3,WBGene00305066,WBGene00305066,History: N.A.
WBGene00305997,cTel54X.2,M00590_2.00,Y44A6D.3,WBGene00305997,WBGene00305997,History: N.A.
WBGene00000020,abt-2,M00603_2.00,CRH-2,WBGene00000020,WBGene00000020,History: N.A.
WBGene00000168,apx-1,M00603_2.00,CRH-2,WBGene00000168,WBGene00000168,History: N.A.
WBGene00001045,dnj-27,M00603_2.00,CRH-2,WBGene00001045,WBGene00001045,History: N.A.
WBGene00001481,fog-1,M00603_2.00,CRH-2,WBGene00001481,WBGene00001481,History: N.A.
WBGene00001828,hch-1,M00603_2.00,CRH-2,WBGene00001828,WBGene00001828,History: N.A.
WBGene00001943,his-69,M00603_2.00,CRH-2,WBGene00001943,WBGene00001943,History: N.A.
WBGene00001944,his-70,M00603_2.00,CRH-2,WBGene00001944,WBGene00001944,History: N.A.
WBGene00002062,ife-4,M00603_2.00,CRH-2,WBGene00002062,WBGene00002062,History: N.A.
WBGene00002210,kin-29,M00603_2.00,CRH-2,WBGene00002210,WBGene00002210,History: N.A.
WBGene00003060,lpd-3,M00603_2.00,CRH-2,WBGene00003060,WBGene00003060,History: N.A.
WBGene00003149,mbk-1,M00603_2.00,CRH-2,WBGene00003149,WBGene00003149,History: N.A.
WBGene00003177,mec-15,M00603_2.00,CRH-2,WBGene00003177,WBGene00003177,History: N.A.
WBGene00003675,nhr-85,M00603_2.00,CRH-2,WBGene00003675,WBGene00003675,History: N.A.
WBGene00003770,nlp-32,M00603_2.00,CRH-2,WBGene00003770,WBGene00003770,History: N.A.
WBGene00004315,rbd-1,M00603_2.00,CRH-2,WBGene00004315,WBGene00004315,History: N.A.
