gene,"fold change (rrf-3, eri-1 average)",Fold change rrf-3 vs. N2,Fold change eri-1 vs. N2,Annotation,Input,Suggested Match,History
F09G8.4,4.03,4.11,3.95,"ncr-2, homolog of human NPC1, which when mutated leads to Niemann-Pick disease",F09G8.4,WBGene00003562,Sequence name for WBGene00003562(ncr-2). History: N.A.
B0218.5,3.975,4.07,3.88,Kinase activity,B0218.5,WBGene00015049,Public name for WBGene00015049. History: N.A.
C35E7.9,3.985,3.88,4.09,H5 and major sperm protein domain protein,C35E7.9,WBGene00016461,Public name for WBGene00016461. History: N.A.
C25A8.5,3.86,3.88,3.84,Protein-tyrosine kinase,C25A8.5,WBGene00016085,Public name for WBGene00016085. History: N.A.
K07F5.6,3.805,3.77,3.84,Protein-tyrosine phosphatase,K07F5.6,WBGene00010634,Public name for WBGene00010634. History: N.A.
ZC581.7,3.52,3.69,3.35,Protein-tyrosine kinase,ZC581.7,WBGene00022634,Public name for WBGene00022634. History: N.A.
Y53F4B.45,3.78,3.66,3.9,,Y53F4B.45,WBGene00044728,Public name for WBGene00044728. History: N.A.
ZK1010.5,3.505,3.53,3.48,,ZK1010.5,WBGene00014179,Public name for WBGene00014179. History: N.A.
ZK484.7,3.33,3.49,3.17,Protein-tyrosine phosphatase,ZK484.7,WBGene00022753,Public name for WBGene00022753. History: N.A.
C49C8.1,3.145,3.48,2.81,Serine/threonine kinase,C49C8.1,WBGene00016765,Public name for WBGene00016765. History: N.A.
C54G4.3,3.425,3.46,3.39,,C54G4.3,WBGene00008313,Public name for WBGene00008313. History: N.A.
F58D5.7,3.3,3.38,3.22,,F58D5.7,WBGene00010246,Public name for WBGene00010246. History: N.A.
C47A4.5,3.335,3.37,3.3,,C47A4.5,WBGene00008125,Public name for WBGene00008125. History: N.A.
C05C12.1,3.22,3.3,3.14,Serine/threonine kinase,C05C12.1,WBGene00007335,Public name for WBGene00007335. History: N.A.
C10C6.3,2.775,3.27,2.28,,C10C6.3,WBGene00007512,Public name for WBGene00007512. History: N.A.
C33F10.8,3.3,3.19,3.41,Protein-tyrosine phosphatase,C33F10.8,WBGene00016356,Public name for WBGene00016356. History: N.A.
F53C3.1,3.055,3.1,3.01,protein kinase,F53C3.1,WBGene00018745,Public name for WBGene00018745. History: N.A.
K07F5.4,2.965,3.07,2.86,"kin-24, protein KINase family member",K07F5.4,WBGene00002206,Sequence name for WBGene00002206(kin-24). History: N.A.
R05H5.4,2.785,3.05,2.52,Tyrosine-protein kinase (FES/FPS subfamily),R05H5.4,WBGene00011039,Public name for WBGene00011039. History: N.A.
ZC168.6,3.025,3.04,3.01,Sperm-specific protein,ZC168.6,WBGene00013858,Sequence name for WBGene00013858(ssp-34). History: N.A.
ZK507.1,3.475,3.03,3.92,Serine/threonine-protein kinase,ZK507.1,WBGene00013978,Public name for WBGene00013978. History: N.A.
F02C9.4,2.995,3.01,2.98,"Protein-tyrosine kinase, EGF receptor activity",F02C9.4,WBGene00017175,Sequence name for WBGene00017175(irld-3). History: N.A.
ZK973.8,2.795,3.0,2.59,,ZK973.8,WBGene00022834,Public name for WBGene00022834. History: N.A.
C29E6.3,3.04,2.99,3.09,"pph-2, Protein PHosphatase family member",C29E6.3,WBGene00004084,Sequence name for WBGene00004084(pph-2). History: N.A.
W03C9.1,2.715,2.92,2.51,,W03C9.1,WBGene00012219,Public name for WBGene00012219. History: N.A.
F56F3.4,2.69,2.9,2.48,Ubiquitin family,F56F3.4,WBGene00010155,Public name for WBGene00010155. History: N.A.
ZC412.5,2.735,2.86,2.61,,ZC412.5,WBGene00013886,Public name for WBGene00013886. History: N.A.
F54C8.1,2.8,2.82,2.78,Probable 3-hydroxyacyl-CoA dehydrogenase,F54C8.1,WBGene00010035,Public name for WBGene00010035. History: N.A.
F26F4.2,2.785,2.82,2.75,"spt-2, novel protein with high similarity to C. elegans F37A8.1",F26F4.2,WBGene00005012,Public name for WBGene00005012. History: N.A.
W01B6.2,2.99,2.79,3.19,Serine/threonine kinase,W01B6.2,WBGene00012169,Sequence name for WBGene00012169(ttbk-4). History: N.A.
F07F6.1,2.97,2.73,3.21,Nucleotide binding,F07F6.1,WBGene00017215,Public name for WBGene00017215. History: N.A.
ZK354.6,2.665,2.73,2.6,Protein kinase,ZK354.6,WBGene00022707,Public name for WBGene00022707. History: N.A.
F11G11.8,2.385,2.71,2.06,nspd-4//nspd-5,F11G11.8,WBGene00017386,Sequence name for WBGene00017386(nspd-5). History: N.A.
F54A3.4,3.13,2.68,3.58,"Homolog of the human gene CBS, which when mutated leads to homocystinuria",F54A3.4,WBGene00018783,Sequence name for WBGene00018783(cbs-2). History: N.A.
C24D10.1,2.61,2.68,2.54,Protein-tyrosine phosphatase,C24D10.1,WBGene00016053,Sequence name for WBGene00016053(ptp-5.1). History: N.A.
K01D12.15,2.85,2.68,3.02,,K01D12.15,WBGene00010474,Public name for WBGene00010474. History: N.A.
F58D2.2,2.795,2.67,2.92,,F58D2.2,WBGene00010241,Public name for WBGene00010241. History: N.A.
Y71F9AL.2,2.7,2.62,2.78,Protein kinase,Y71F9AL.2,WBGene00022108,Public name for WBGene00022108. History: N.A.
F59A3.8,2.73,2.58,2.88,Protein kinase,F59A3.8,WBGene00019081,Public name for WBGene00019081. History: N.A.
E03H12.7,2.685,2.55,2.82,,E03H12.7,WBGene00017114,Public name for WBGene00017114. History: N.A.
C39H7.1,2.365,2.47,2.26,"Casein kinase, serine/threonine kinase",C39H7.1,WBGene00016541,Public name for WBGene00016541. History: N.A.
C04G2.8,2.405,2.43,2.38,,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
F31E8.5,2.32,2.38,2.26,,F31E8.5,WBGene00017955,Public name for WBGene00017955. History: N.A.
C25G4.6,2.45,2.34,2.56,PDZ domain (also known as DHR or GLGF),C25G4.6,WBGene00007733,Sequence name for WBGene00007733(smz-1). History: N.A.
C41H7.6,2.215,2.33,2.1,,C41H7.6,WBGene00016576,Sequence name for WBGene00016576(lido-9). History: N.A.
ZK637.12,2.165,2.28,2.05,,ZK637.12,WBGene00014029,Public name for WBGene00014029. History: N.A.
C25G4.4,2.145,2.24,2.05,"tag-347, SAND domain",C25G4.4,WBGene00007732,Sequence name for WBGene00007732(spe-44). History: Renamed on 2011-09-22; Renamed on 2013-04-16
T22B3.2,2.51,2.21,2.81,,T22B3.2,WBGene00011910,Sequence name for WBGene00011910(alg-3). History: N.A.
F13G11.2,2.165,2.2,2.13,,F13G11.2,WBGene00008772,Sequence name for WBGene00008772(irld-4). History: N.A.
F56A11.6,2.11,2.16,2.06,,F56A11.6,WBGene00018926,Public name for WBGene00018926. History: N.A.
C24D10.7,2.085,2.14,2.03,,C24D10.7,WBGene00016058,Sequence name for WBGene00016058(nspd-3). History: N.A.
Y38H8A.4,2.15,2.13,2.17,Serine/threonine kinase,Y38H8A.4,WBGene00012638,Public name for WBGene00012638. History: N.A.
B0205.10,2.265,2.11,2.42,,B0205.10,WBGene00015024,Public name for WBGene00015024. History: N.A.
C34F11.1,2.11,2.05,2.17,Protein and zinc ion binding,C34F11.1,WBGene00016413,Public name for WBGene00016413. History: N.A.
T21G5.4,2.08,2.0,2.16,Protein binding,T21G5.4,WBGene00020661,Sequence name for WBGene00020661(smz-2). History: N.A.
Y95B8A.4,2.1,2.0,2.2,,Y95B8A.4,WBGene00022385,Public name for WBGene00022385. History: N.A.
