Gene,Location,PD1/CON1 ratio,PD2/CON2 ratio,fold change,"Composite 
Chi-square
P-value",CON1 rpm,CON2 rpm,PD1 rpm,PD2 rpm,...10,Dauer/L3 ratio,L3 rpm,Dauer rpm,Input,Suggested Match,History
aha-1,chrI:10193914-10196989,0.702044425,1.055887724,0.878966075,-0.587625526,4.782805949,2.415223013,3.357742254,2.550204331,,0.0,2.275173084,0.0,aha-1,WBGene00000095,Public name for WBGene00000095. History: N.A.
alh-10,chrX:7140456-7143593,1.005200155,0.357358415,0.681279285,-0.629472759,0.417546475,0.759740057,0.419717782,0.271499503,,,,,,,
aman-2,chrV:11927643-11933204,1.26450107,0.982807867,1.123654468,-0.259117412,38.94570559,26.10551245,49.24688639,25.656703,,0.63,19.38447752,12.13882553,aman-2,WBGene00010284,Public name for WBGene00010284. History: N.A.
Aminopeptidase,chrIII:10040084-10049675,1.301925669,2.943617955,2.122771812,-0.510282882,61.03771402,48.68667535,79.46656668,143.3149717,,2.21,35.2651828,77.86612474,,,
aminotransferase,chrI:6164720-6166541,0.409525915,0.536037622,0.472781769,-1.55e-15,0.683257993,0.506493372,0.279811855,0.271499503,,,,,,,
aph-2,chrI:10341004-10345638,1.616598875,1.565610147,1.591104511,0.013126731,23.02053851,13.48538602,37.21497665,21.11285718,,0.41,15.93195697,6.513516138,aph-2,WBGene00000148,Public name for WBGene00000148. History: N.A.
aqp-11,chrIII:13673157-13674625,2.047629574,0.134009406,1.09081949,-0.256056396,0.683257993,1.012986743,1.399059273,0.135749751,,,,,,,
asfl-1,chrI:9658263-9660063,1.100600896,0.836158965,0.96837993,-0.559482263,10.93212788,11.36444503,12.03190974,9.502482591,,0.35,3.412759626,1.184275661,asfl-1,WBGene00007277,Public name for WBGene00007277. History: N.A.
B0001.3,chrIV:12143417-12145701,0.746927845,0.781215883,0.764071864,0.000111107,188.8069587,229.314874,141.0251747,179.1444217,,0.65,34.69638953,22.50123757,B0001.3,WBGene00007088,Public name for WBGene00007088. History: N.A.
B0025.4,chrI:6027195-6028372,1.95908343,0.536037622,1.247560526,-0.047618551,8.426848577,4.051946973,16.50889942,2.171996021,,0.07,3.981552897,0.296068915,B0025.4,WBGene00015001,Public name for WBGene00015001. History: N.A.
B0035.1,chrIV:11310942-11312468,1.092069106,0.399499737,0.745784422,-0.018414441,14.34841785,20.13311152,15.66946385,8.043172765,,0.3,7.963105793,2.368551323,B0035.1,WBGene00007105,Sequence name for WBGene00007105(znf-207). History: N.A.
B0035.3,chrIV:11314047-11315021,1.151791635,0.289750066,0.720770851,-0.148303869,3.644042628,4.685063688,4.197177818,1.357497513,,2.47,2.275173084,5.625309392,B0035.3,WBGene00007106,Public name for WBGene00007106. History: N.A.
B0205.1,chrI:10713521-10718190,1.117057844,0.790081465,0.953569655,-0.311979961,24.17947183,23.12245997,27.00986868,18.26862704,,2.43,13.53237856,32.88595396,B0205.1,WBGene00015017,Public name for WBGene00015017. History: N.A.
B0205.8,chrI:10728947-10730223,1.152739612,0.867803611,1.010271612,-0.488979455,18.4479658,11.14285418,21.26570094,9.669809092,,0.0,5.697911619,0.0,B0205.8,WBGene00015022,Public name for WBGene00015022. History: N.A.
B0218.5,chrIV:8155234-8156428,0.245715549,0.315103199,0.280409374,0.003714794,5.693816606,12.49350308,1.399059273,3.936742788,,,,,,,
B0218.7,chrIV:8164574-8166059,0.204762957,1.636524743,0.92064385,-0.040535179,2.733031971,11.9448021,0.559623709,19.54796419,,,,,,,
B0222.5,chrV:9152295-9154844,,0.536037622,0.536037622,-0.386510175,0.0,0.253246686,0.559623709,0.135749751,,0.0,0.568793271,0.0,B0222.5,WBGene00015056,Public name for WBGene00015056. History: N.A.
B0244.9,chrIII:5730069-5730961,0.0,0.172801602,0.086400801,0.026828696,1.138763321,4.811687031,0.0,0.831467227,,,,,,,
B0281.4,chrII:2297938-2298794,0.972051142,1.405842208,1.188946675,-1.28e-06,345.956297,333.1038073,336.2872137,468.291392,,2.4,52.8977742,126.7174958,B0281.4,WBGene00015111,Public name for WBGene00015111. History: N.A.
B0285.1,chrIII:4333367-4340435,1.353681093,0.770931764,1.062306429,-0.172427876,16.85369715,15.25811282,22.81453119,11.76296383,,2.74,5.83242042,15.98772143,B0285.1,WBGene00007135,Sequence name for WBGene00007135(cdk-12). History: N.A.
B0303.3,chrIII:8686024-8688364,1.237815171,0.636371856,0.937093513,-0.012002008,30.29110435,57.27595886,37.4947885,36.44880823,,3.36,17.6325914,59.21378307,B0303.3,WBGene00015125,Public name for WBGene00015125. History: N.A.
B0303.7,chrIII:8693544-8699362,1.011962885,1.286010203,1.148986544,0.045624214,157.1426087,107.5223418,159.0224876,138.2748286,,1.4,53.72240784,75.03139011,B0303.7,WBGene00015128,Public name for WBGene00015128. History: N.A.
B0334.4,chrII:11495607-11496584,1.333137567,0.628567939,0.980852753,-0.245519225,7.136250071,7.090907203,9.513603053,4.457116925,,0.2,4.550346168,0.888206746,B0334.4,WBGene00007144,Public name for WBGene00007144. History: N.A.
B0361.6,chrIII:7275431-7277201,1.050522999,0.6098222,0.8301726,-0.029424702,47.1448015,46.30193564,49.52669825,28.23594827,,0.34,22.75173084,7.6977918,B0361.6,WBGene00015160,Public name for WBGene00015160. History: N.A.
B0361.9,chrIII:7298293-7299570,1.525993627,2.149620272,1.837806949,0.001110059,20.72549245,16.54545006,31.62696939,35.56643484,,2.45,7.963105793,19.54054841,B0361.9,WBGene00015163,"Public name for WBGene00015163. History: Split into B0361.14(WBGene00303033). History of WBGene00015163: Split into ""WBGene00303033"" on 2018-03-02"
B0379.1,chrI:10074956-10077733,1.862510561,0.922009088,1.392259824,-0.782052168,0.198777515,1.074960766,0.370225221,0.991123595,,0.44,1.318537314,0.578704592,B0379.1,WBGene00007155,Public name for WBGene00007155. History: N.A.
B0379.7,chrI:10072596-10074375,0.163810366,0.372611522,0.268210944,0.049413329,1.708144982,6.922075995,0.279811855,2.579245275,,,,,,,
B0395.3,chrX:16034980-16039432,1.600516536,0.939287484,1.26990201,-0.437224414,3.724005905,4.589191837,5.960333032,4.310570453,,0.0,2.891413952,0.0,B0395.3,WBGene00007175,Public name for WBGene00007175. History: N.A.
B0454.8,chrII:3040977-3043401,1.22385245,0.982735641,1.103294045,-0.646432254,8.45938464,6.07792046,10.35303862,5.972989057,,3.23,2.843966355,9.178136376,B0454.8,WBGene00015199,Public name for WBGene00015199. History: N.A.
B0495.7,chrII:7701871-7705157,1.314292471,1.356101305,1.335196888,0.015379855,58.76018738,41.34252146,77.22807184,56.06464729,,0.23,35.83397607,8.28992963,B0495.7,WBGene00015206,Public name for WBGene00015206. History: N.A.
B0495.8,chrII:7705462-7707405,0.778411853,0.613288065,0.695849959,0.029863084,29.83559902,32.62661461,23.22438392,20.00951334,,1.53,8.531899064,13.02703228,B0495.8,WBGene00015207,Sequence name for WBGene00015207(luc-7L). History: N.A.
B0496.2,chrIV:7447962-7449153,0.0,,0.0,-0.377872618,0.341628996,0.0,0.0,0.174535356,,,,,,,
bath-29,chrII:3350253-3358965,1.359038394,1.024851236,1.191944815,0.003619438,148.4766173,162.6348636,201.7854235,166.6765409,,2.43,313.3630255,761.2630771,bath-29,WBGene00017452,Public name for WBGene00017452. History: N.A.
btb-10,chrII:1059718-1060808,0.915165054,1.005070542,0.960117798,-0.831838119,11.15988055,6.07792046,10.21313269,6.108738809,,2.43,1.706379813,4.144964815,btb-10,WBGene00019313,Public name for WBGene00019313. History: N.A.
btb-6,chrII:1715164-1716478,4.914310977,0.31377809,2.614044534,-0.10591553,0.683257993,0.865259594,3.357742254,0.271499503,,,,,,,
btb-8,chrII:1722780-1724117,1.228577744,3.645055831,2.436816788,0.031322298,10.70437522,2.532466858,13.15115716,9.230983089,,1.2,7.394312522,8.882067461,btb-8,WBGene00018437,Public name for WBGene00018437. History: N.A.
byn-1,chrIII:6931934-6935798,0.91722585,1.108636669,1.01293126,-0.469644101,33.25188898,38.3668729,30.49949214,42.53492217,,1.83,18.77017794,34.34399418,byn-1,WBGene00000276,Public name for WBGene00000276. History: N.A.
C01F1.1,chrII:4301599-4305270,0.843722065,1.701993331,1.272857698,-0.18669502,18.90347113,5.824673774,15.94927571,9.913555916,,0.06,9.953882242,0.592137831,C01F1.1,WBGene00015296,Sequence name for WBGene00015296(gtf-2F1). History: N.A.
C01G10.8,chrV:15084033-15085361,1.053066638,0.940352689,0.996709663,-0.758434849,14.34841785,18.55031974,15.10984014,17.44384304,,2.15,4.550346168,9.770274207,C01G10.8,WBGene00007235,Sequence name for WBGene00007235(ahsa-1). History: N.A.
C01G8.1,chrI:5272849-5274325,0.909147531,1.269073291,1.089110411,-0.267908507,22.77526643,26.75973322,20.70607723,33.96006269,,3.54,5.687932709,20.13268625,C01G8.1,WBGene00015312,Public name for WBGene00015312. History: N.A.
C02F5.5,chrIII:8236131-8236777,0.446755543,0.232311652,0.339533598,0.011622115,2.505279307,10.51817893,1.119247418,2.443495524,,,,,,,
C03H12.1,chrX:15689379-15696280,2.961953276,0.920635892,1.941294584,-0.436232956,0.489107501,5.921557852,1.448713565,5.451598698,,0.0,0.568793271,0.0,C03H12.1,WBGene00007284,Public name for WBGene00007284. History: N.A.
C03H5.3,chrII:386192-387919,1.417589705,1.374673198,1.396131451,0.045471548,17.76470781,30.90453714,25.18306691,42.4836389,,0.44,10.80707215,4.737102646,C03H5.3,WBGene00015405,Public name for WBGene00015405. History: N.A.
C04F12.1,chrI:9673657-9678543,2.593664127,2.706989992,2.65032706,0.047343893,2.049773978,2.025973487,5.316425236,5.484289953,,,,,,,
C04G2.8,chrIV:10110789-10111549,0.144741277,0.200142434,0.172441856,0.0,27.06460819,297.1934273,3.917365963,59.48101594,,,,,,,
C04G6.6,chrII:5099420-5099732,0.98941461,0.622301722,0.805858166,0.002782784,85.40724909,100.5389343,84.50318006,62.56555193,,0.61,23.88931738,14.50737685,C04G6.6,WBGene00015456,Public name for WBGene00015456. History: N.A.
C05B5.4,chrIII:9993780-9996003,0.877555532,11.92683709,6.402196313,-0.027804958,1.59426865,0.506493372,1.399059273,6.040863933,,0.0,2.275173084,0.0,C05B5.4,WBGene00007321,Public name for WBGene00007321. History: N.A.
C05C10.2,chrII:9922169-9930752,1.184578356,0.933037026,1.058807691,-0.342396089,37.98877157,35.03810603,45.00067659,32.69185024,,1.03,16.82991773,17.27888952,C05C10.2,WBGene00007329,Public name for WBGene00007329. History: N.A.
C05C12.5,chrIV:11260403-11261141,0.223377772,0.405673985,0.314525878,0.038125685,2.505279307,8.533006274,0.559623709,3.461618658,,,,,,,
C05C8.5,chrV:7232657-7234808,1.982477724,0.897067521,1.439772622,-0.059768154,10.02111723,7.923003384,19.86664167,7.107469006,,0.0,5.687932709,0.0,C05C8.5,WBGene00015462,Public name for WBGene00015462. History: N.A.
C05D11.9,chrIII:6427471-6430876,0.921433308,1.321475042,1.121454175,-0.259838519,24.59728774,20.99033155,22.66476022,27.73819927,,0.29,9.100692335,2.664620238,C05D11.9,WBGene00015486,Sequence name for WBGene00015486(popl-1). History: N.A.
C05D2.3,chrIII:5614925-5617168,0.0,1.461920788,0.730960394,-0.211782999,0.911010657,2.785713544,0.0,4.072492539,,,,,,,
C06A1.2,chrII:10568825-10571779,,40.33314815,40.33314815,-0.4777857,0.0,0.013462847,0.0,0.542999005,,,,,,,
C06A5.6,chrI:5983231-5985871,1.00388007,0.69798155,0.85093081,-0.001929397,202.3582422,177.9142383,203.1434064,124.1808559,,1.79,68.82398578,123.1646688,C06A5.6,WBGene00015504,Sequence name for WBGene00015504(simr-1). History: N.A.
C06B3.6,chrV:13908111-13909492,0.670133315,2.025031017,1.347582166,-0.300489115,5.010558614,1.139610086,3.357742254,2.307745772,,0.26,1.137586542,0.296068915,C06B3.6,WBGene00007365,Public name for WBGene00007365. History: N.A.
C06B8.2,chrV:15476205-15478541,0.213766624,3.753958269,1.983862447,-0.456221084,0.736599944,0.024107818,0.157460484,0.090499744,,0.0,0.625517317,0.0,C06B8.2,WBGene00007368,Public name for WBGene00007368. History: N.A.
C06G4.5,chrIII:7990717-7996367,,0.650161802,0.650161802,-0.526363846,0.0,0.297372895,0.279811855,0.193340497,,5.21,0.568793271,2.960689154,C06G4.5,WBGene00015559,Sequence name for WBGene00015559(npr-17). History: N.A.
C07A4.3,chrX:10174457-10175779,,3.481119923,3.481119923,-0.7421625,0.0,0.07878783,0.0,0.274269884,,,,,,,
C07G1.6,chrIV:8209206-8209771,1.228577744,0.536037622,0.882307683,-0.526699417,2.277526643,1.519480115,2.798118545,0.814498508,,,,,,,
C07H6.4,chrIII:7499632-7503163,1.465412008,0.803474036,1.134443022,-0.096461007,18.90347113,22.4123317,27.7013736,18.0077266,,1.23,17.06379813,21.02089299,C07H6.4,WBGene00015581,Sequence name for WBGene00015581(sap-140). History: N.A.
C08A9.6,chrX:17094219-17096453,0.951156963,1.059752516,1.00545474,-0.867091868,7.060332592,3.672076944,6.715484508,3.89149278,,0.17,0.853189906,0.148034458,C08A9.6,WBGene00015586,Sequence name for WBGene00015586(lido-1). History: N.A.
C08B11.9,chrII:8034265-8038097,1.210739954,1.544325976,1.377532965,0.000419857,92.46758169,78.95027223,111.9541956,121.9249562,,0.88,35.83397607,31.38330503,C08B11.9,WBGene00007436,Public name for WBGene00007436. History: N.A.
C08F8.2,chrIV:11149160-11154306,1.485179425,1.081309088,1.283244256,0.047018835,35.98492095,38.98080415,53.44406421,42.15029778,,1.2,14.78862504,17.76413492,C08F8.2,WBGene00007444,Public name for WBGene00007444. History: N.A.
C09G5.2,chrII:10702500-10714217,1.515498957,1.624190342,1.56984465,0.040842539,10.71522057,14.51287139,16.2389056,23.57166555,,0.3,11.94465869,3.552826984,C09G5.2,WBGene00007488,Sequence name for WBGene00007488(dph-2). History: N.A.
C09G9.2,chrIV:8868054-8869651,1.360211074,0.963784816,1.161997945,-0.273694507,19.1312238,25.0714219,26.02250247,24.16345573,,0.58,14.21983177,8.28992963,C09G9.2,WBGene00007493,Sequence name for WBGene00007493(npp-23). History: N.A.
C11G6.2,chrX:16329134-16329915,0.76786109,2.038121069,1.40299108,-0.037486271,0.911010657,11.5227242,0.699529636,23.48470698,,0.4,20.19216112,7.993860715,C11G6.2,WBGene00007523,Public name for WBGene00007523. History: N.A.
C12D8.1,chrV:10236131-10238832,1.002031494,3.846476029,2.424253761,3.4e-09,32.11312566,20.89285158,32.17836327,80.36385277,,0.68,11.37586542,7.6977918,C12D8.1,WBGene00007534,Sequence name for WBGene00007534(fubl-1). History: Renamed on 2017-12-07
C14A6.5,chrV:18163456-18164793,0.0,1.683423837,0.841711918,-0.484767217,0.227752664,0.510714234,0.0,0.859748515,,,,,,,
C14C10.1,chrV:12588404-12589598,,2.501508546,2.501508546,-0.6863558,0.0,0.253246686,0.0,0.633498749,,,,,,,
C14C11.1,chrV:5663583-5665209,0.699782674,1.06316182,0.881472247,-0.336241403,14.7280057,9.491247161,10.30640321,10.0907316,,1.89,6.635921684,12.53358399,C14C11.1,WBGene00015765,Public name for WBGene00015765. History: N.A.
C15A11.2,chrI:7387353-7388713,0.0,0.487931689,0.243965844,0.022605516,1.822021314,13.16882766,0.0,6.425488319,,,,,,,
C15C8.5,chrV:12748270-12749942,1.228577744,,1.228577744,-0.9417487,0.227752664,0.0,0.279811855,0.0,,0.0,0.284396635,0.0,C15C8.5,WBGene00007607,Public name for WBGene00007607. History: N.A.
C15C8.7,chrV:12744138-12745029,1.074201483,0.733435604,0.903818544,-0.185522464,43.50075887,31.90908241,46.7285797,23.40325713,,0.7,9.669485606,6.809585053,C15C8.7,WBGene00007609,Public name for WBGene00007609. History: N.A.
C17D12.5,chrI:11586225-11587284,0.409525915,1.410625322,0.910075618,-0.267667638,2.049773978,4.811687031,0.839435564,6.787487565,,12.49,0.568793271,7.105653969,C17D12.5,WBGene00007639,Public name for WBGene00007639. History: N.A.
C17D12.7,chrI:11604600-11611291,1.056051249,0.736619215,0.896335232,-0.111554441,46.6820607,54.16406257,49.29864851,39.89828923,,1.06,12.83519386,13.62273537,C17D12.7,WBGene00007640,Sequence name for WBGene00007640(pcmd-1). History: N.A.
C17F3.1,chrI:6669184-6669594,0.258647946,1.869868021,1.064257983,-0.00565766,4.327300621,17.15746296,1.119247418,32.08219132,,,,,,,
C18E9.5,chrII:8969902-8971885,2.764299925,0.0,1.382149962,-0.144764169,0.911010657,0.785064726,2.518306691,0.0,,1.15,2.843966355,3.256758069,C18E9.5,WBGene00007685,Public name for WBGene00007685. History: N.A.
C18H2.4,chrIII:7694617-7700308,1.53572218,0.855858101,1.195790141,-0.712577141,0.911010657,0.317224903,1.399059273,0.271499503,,0.29,5.119139439,1.480344577,C18H2.4,WBGene00015991,Public name for WBGene00015991. History: N.A.
C18H7.4,chrIV:593333-595229,0.245715549,0.223349009,0.234532279,0.008912853,5.693816606,6.07792046,1.399059273,1.357497513,,,,,,,
C23H4.6,chrX:12235543-12240704,0.537502763,1.815827464,1.176665114,-0.177074894,3.644042628,3.376622393,1.958682982,6.131363677,,6.12,2.275173084,13.91523902,C23H4.6,WBGene00007694,Public name for WBGene00007694. History: N.A.
C24A1.2,chrIII:688732-715834,0.977290716,1.297522024,1.13740637,-0.032103133,236.3695348,109.5481975,231.0017519,142.141199,,0.67,56.79730881,37.87683148,C24A1.2,WBGene00016029,Sequence name for WBGene00016029(elf-1). History: N.A.
C24D10.2,chrIV:5163328-5164341,0.279222215,0.112850026,0.19603612,0.001771166,2.505279307,10.82629582,0.699529636,1.221747762,,0.52,0.568793271,0.296068915,C24D10.2,WBGene00016054,Public name for WBGene00016054. History: N.A.
C24F3.4,chrIV:10214956-10219279,1.065823086,0.714020906,0.889921996,-0.256223784,22.3197611,21.67369544,23.78891665,15.47547165,,0.07,12.05841734,0.888206746,C24F3.4,WBGene00007698,Sequence name for WBGene00007698(qns-1). History: N.A.
C24H12.5,chrII:406139-410927,1.026963969,0.676447443,0.851705706,-0.019890032,68.99116229,83.09530255,70.85143781,56.20960495,,0.52,13.17344213,6.830928366,C24H12.5,WBGene00016074,Sequence name for WBGene00016074(dnsn-1). History: N.A.
C25A8.2,chrIV:7009824-7010728,0.650423512,0.416410829,0.53341717,0.007503405,5.807692938,24.77596735,3.777460036,10.3169811,,0.0,2.559569719,0.0,C25A8.2,WBGene00016083,Public name for WBGene00016083. History: N.A.
C25H3.16,chrII:5666263-5666821,0.0,0.056425013,0.028212506,0.009102937,1.59426865,4.811687031,0.0,0.271499503,,,,,,,
C26E1.3,chrV:13301633-13304729,,26.82803845,26.82803845,-0.1395107,0.0,0.091079917,0.0,2.443495524,,,,,,,
C26E6.1,chrIII:4956851-4957500,0.134638657,0.585670733,0.360154695,5.83e-05,16.62594449,31.90908241,2.238494836,18.68821567,,,,,,,
C27A12.2,chrI:6041671-6046011,0.961495626,1.062239684,1.011867655,-0.784324507,26.19155639,11.5016204,25.18306691,12.21747762,,1.02,11.37586542,11.5466877,C27A12.2,WBGene00016154,Sequence name for WBGene00016154(szy-5). History: N.A.
C27H5.4,chrII:7162470-7165777,0.318313436,,0.318313436,-0.62772546,0.455505329,0.0,0.144993466,0.01234101,,4.16,0.284396635,1.184275661,C27H5.4,WBGene00016174,Sequence name for WBGene00016174(mfsd-13.2). History: N.A.
C28A5.2,chrIII:4434720-4439514,1.051898122,0.700816841,0.876357481,-0.001716285,171.0422509,171.0067432,179.9190224,119.8444055,,2.53,68.25519251,172.7562121,C28A5.2,WBGene00007789,Public name for WBGene00007789. History: N.A.
C30A5.4,chrIII:8222145-8223712,1.404088851,0.612614425,1.008351638,-0.631555824,0.797134325,0.8863634,1.119247418,0.542999005,,5.47,0.568793271,3.108723611,C30A5.4,WBGene00016239,Public name for WBGene00016239. History: N.A.
C30B5.5,chrII:6201569-6208141,1.549076286,0.233961383,0.891518835,-0.082151804,5.238311278,3.603489385,8.114543781,0.84307736,,0.0,3.412759626,0.0,C30B5.5,WBGene00016246,"Sequence name for WBGene00016246(daf-37). History: Split into C30B5.17(WBGene00269379). History of WBGene00016246: Renamed on 2012-06-29; Split into ""WBGene00269379"" on 2016-02-18"
C31E10.6,chrX:13996228-13999211,0.887306285,3.750711499,2.319008892,-0.67155135,0.683257993,0.08686336,0.606259111,0.325799403,,0.0,0.568793271,0.0,C31E10.6,WBGene00007847,Public name for WBGene00007847. History: N.A.
C31H1.5,chrIV:5794977-5796747,,0.194922772,0.194922772,-0.051872863,0.0,2.785713544,1.399059273,0.542999005,,0.0,0.568793271,0.0,C31H1.5,WBGene00016288,Public name for WBGene00016288. History: N.A.
C31H2.3,chrX:5151515-5154368,,0.536058528,0.536058528,-0.741769493,0.0,0.006493498,0.093270525,0.003480895,,0.0,0.284396635,0.0,C31H2.3,WBGene00016293,Public name for WBGene00016293. History: N.A.
C31H2.4,chrX:5155132-5159630,,0.339413662,0.339413662,-0.461899866,0.0,0.253246686,0.279811855,0.085955385,,0.0,1.137586542,0.0,C31H2.4,WBGene00016294,Public name for WBGene00016294. History: N.A.
C32E8.1,chrI:3796167-3796686,,0.0,0.0,-0.430882951,0.0,0.126623343,0.279811855,0.0,,,,,,,
C33F10.8,chrII:4823368-4825184,0.0,0.146859623,0.073429811,0.024810713,1.138763321,4.621752016,0.0,0.678748757,,,,,,,
C34B2.5,chrI:10675174-10676800,1.911120936,0.320022482,1.115571709,-0.044533266,4.099547957,5.655842566,7.834731926,1.809996775,,9.37,0.568793271,5.329240477,C34B2.5,WBGene00016390,Sequence name for WBGene00016390(ttc-1). History: N.A.
C34B7.2,chrI:8336973-8341818,1.382149962,2.178733579,1.780441771,0.012214033,12.7541492,10.4675296,17.62814683,22.80595822,,2.31,3.981552897,9.178136376,C34B7.2,WBGene00007912,Sequence name for WBGene00007912(figo-1). History: N.A.
C34C12.5,chrIII:3471987-3473698,1.484017823,0.878100209,1.181059016,-0.005666451,68.09804661,56.73630208,101.0587149,49.82015873,,1.08,27.30207701,29.60689154,C34C12.5,WBGene00007924,Sequence name for WBGene00007924(rsu-1). History: N.A.
C34D4.3,chrIV:7153644-7154166,0.0,2.144150489,1.072075244,-0.322865916,0.455505329,0.506493372,0.0,1.08599801,,,,,,,
C34F11.2,chrII:5212249-5212768,0.136508638,4.162174478,2.149341558,-0.010131819,2.049773978,2.15259683,0.279811855,8.959483586,,,,,,,
C34F11.3,chrII:5203294-5209777,0.227514397,0.522809244,0.375161821,0.04055183,6.149321935,3.278137543,1.399059273,1.71384061,,0.0,1.137586542,0.0,C34F11.3,WBGene00016415,Sequence name for WBGene00016415(ampd-1). History: N.A.
C34F6.7,chrX:11210042-11215397,1.26659503,0.872649918,1.069622474,-0.009605978,153.5812132,104.8476949,194.5252013,91.49533238,,0.66,51.19139439,33.85054589,C34F6.7,WBGene00007941,Public name for WBGene00007941. History: N.A.
C34H4.2,chrIV:1553787-1555562,0.0,1.09121956,0.54560978,-0.474434712,0.455505329,1.012986743,0.0,1.105390948,,0.43,3.412759626,1.480344577,C34H4.2,WBGene00016425,Public name for WBGene00016425. History: N.A.
C35A5.4,chrV:10497056-10499296,0.245715549,2.129294983,1.187505266,-0.190766324,1.138763321,1.70009008,0.279811855,3.619993278,,,,,,,
C35D10.2,chrIII:4870740-4872012,0.0,0.0,0.0,0.040622208,0.455505329,3.03896023,0.0,0.0,,,,,,,
C35D10.8,chrIII:4855289-4856035,2.029824099,0.649582544,1.339703322,-0.074588228,5.238311278,8.568179453,10.63285047,5.565739804,,1.04,1.137586542,1.184275661,C35D10.8,WBGene00016445,Public name for WBGene00016445. History: N.A.
C35E7.1,chrI:10846766-10850093,1.023814787,0.434023566,0.728919176,-0.509261299,1.366515986,1.876622773,1.399059273,0.814498508,,,,,,,
C35E7.3,chrI:10836974-10838866,0.770153213,1.715320391,1.242736802,-0.071368427,15.2594285,11.39610086,11.75209789,19.54796419,,2.78,1.706379813,4.737102646,C35E7.3,WBGene00016455,Public name for WBGene00016455. History: N.A.
C35E7.5,chrI:10823346-10828443,0.865195595,1.124371598,0.994783596,-0.491063032,24.25565874,10.38311412,20.98588909,11.67447861,,2.19,5.687932709,12.43489445,C35E7.5,WBGene00016457,Public name for WBGene00016457. History: N.A.
C35E7.9,chrI:10806910-10808213,0.614288872,0.052382976,0.333335924,0.009166783,1.366515986,7.280842217,0.839435564,0.381392184,,,,,,,
C36A4.10,chrIII:3829858-3830214,1.228577744,0.765768032,0.997172888,-0.719814367,0.911010657,1.772726801,1.119247418,1.357497513,,0.21,11.37586542,2.368551323,C36A4.10,WBGene00007970,Public name for WBGene00007970. History: N.A.
C36A4.5,chrIII:3844253-3848241,1.192139493,1.180290597,1.186215045,2.37e-06,662.2941191,598.3381844,789.5469754,706.212933,,1.64,154.2833518,252.3247331,C36A4.5,WBGene00007966,Sequence name for WBGene00007966(maph-1.3). History: N.A.
C36B1.9,chrI:8743841-8746918,1.076126491,0.675258819,0.875692655,-0.11246655,31.202115,33.49890889,33.57742254,22.62043365,,0.4,9.669485606,3.8488959,C36B1.9,WBGene00007976,Public name for WBGene00007976. History: N.A.
