gene,mRNA-seq_WT_OP50,mRNA-seq_set-32_OP50,mRNA-seq_met-2set-25set-32_OP50,mRNA-seq_met-2set-25_OP50,mRNA-seq_hrde-1_OP50,GRH loci,GRTS loci,K9(+)_genes,Input,Suggested Match,History
C13B9.4a.1,0.93,0.84,0.66,0.6,1.06,yes,yes,no,C13B9.4a.1,WBGene00015735,Molecule name for WBGene00015735(pdfr-1). History: Renamed on 2012-08-29
Y57G11C.51,13.71,15.65,21.48,18.07,29.11,yes,no,yes,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
K09H9.2.1,43.45,37.82,46.5,42.88,47.89,yes,no,no,K09H9.2.1,WBGene00019595,Molecule name for WBGene00019595(dscc-1). History: N.A.
K01A11.5,9.5,8.39,11.28,11.02,10.53,yes,no,yes,K01A11.5,,Sequence name for Suppressed gene WBGene00010452. Molecular name for Suppressed gene WBGene00010452. Public name for Suppressed gene WBGene00010452. History of WBGene00010452: Killed on 2009-08-12; Suppressed on 2012-11-12. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C18H2.2,16.08,16.07,21.93,17.19,36.7,yes,no,yes,C18H2.2,WBGene00015989,Public name for WBGene00015989. History: N.A.
Y23H5A.8,11.38,15.06,14.27,13.46,124.99,yes,yes,yes,Y23H5A.8,WBGene00023172,Public name for WBGene00023172. History: N.A.
T11F9.9,18.15,8.22,15.27,14.5,8.27,yes,yes,yes,T11F9.9,WBGene00000730,Sequence name for WBGene00000730(col-157). History: N.A.
D2030.4.1,196.04,236.59,201.29,184.86,206.06,yes,no,no,D2030.4.1,WBGene00008414,Molecule name for WBGene00008414(D2030.4). History: N.A.
F55A3.5,0,0.78,0,0,24.91,yes,yes,yes,F55A3.5,WBGene00018850,Sequence name for WBGene00018850(gpx-8). History: N.A.
Y47H9C.10,5.33,5.84,5.01,2.73,2.23,yes,no,no,Y47H9C.10,WBGene00012953,Sequence name for WBGene00012953(fbxa-216). History: N.A.
ZC317.7,16.28,10.91,11.1,21.71,29.44,yes,no,no,ZC317.7,WBGene00022590,Public name for WBGene00022590. History: N.A.
ZC317.1,6.27,7.09,6.76,6.16,9.49,yes,no,yes,ZC317.1,WBGene00022587,Public name for WBGene00022587. History: N.A.
Y20F4.4,6.68,7.65,11.93,8.82,11.97,yes,no,yes,Y20F4.4,WBGene00021239,Public name for WBGene00021239. History: N.A.
F49F1.7,2.97,3.26,9.11,5.8,44.51,yes,yes,yes,F49F1.7,WBGene00018647,Public name for WBGene00018647. History: N.A.
Y53F4B.5,0,3.13,0,0,12.75,yes,yes,yes,Y53F4B.5,WBGene00013152,Public name for WBGene00013152. History: N.A.
Y53F4B.6,1.27,0.69,1.59,1.48,5.09,yes,yes,yes,Y53F4B.6,WBGene00013153,Public name for WBGene00013153. History: N.A.
F49F1.6,0.96,1.06,2.01,3.39,1.94,yes,yes,yes,F49F1.6,WBGene00018646,Sequence name for WBGene00018646(mul-1). History: N.A.
C14C11.3.1,15.6,18.26,15.53,16.77,11.46,yes,no,no,C14C11.3.1,WBGene00015767,Molecule name for WBGene00015767(hex-2). History: N.A.
F43E2.1,13.57,12.85,13.07,5.66,15.11,yes,no,no,F43E2.1,WBGene00018390,Public name for WBGene00018390. History: N.A.
F43E2.2,123.48,149.05,120.26,54.35,149.74,yes,no,no,F43E2.2,WBGene00018391,Sequence name for WBGene00018391(rpb-4). History: N.A.
Y110A7A.11,55.89,35.13,34.07,41.85,33.78,yes,no,no,Y110A7A.11,WBGene00022460,Sequence name for WBGene00022460(use-1). History: N.A.
Y110A7A.10,40.05,28.02,37.33,30.1,42.52,yes,no,no,Y110A7A.10,WBGene00000001,Sequence name for WBGene00000001(aap-1). History: N.A.
C13B9.4c.1,0.92,0.83,0.65,0.59,1.24,yes,yes,no,C13B9.4c.1,WBGene00015735,Molecule name for WBGene00015735(pdfr-1). History: Renamed on 2012-08-29
H04D03.4,2,1.32,1.51,1.88,1.61,yes,no,yes,H04D03.4,WBGene00010365,"Public name for WBGene00010365. History: Split into H04D03.7(WBGene00305993). History of WBGene00010365: Split into ""WBGene00305993"" on 2020-01-20"
K08F11.1,2.04,0,1.71,0,8.22,yes,no,yes,K08F11.1,WBGene00019541,Public name for WBGene00019541. History: N.A.
D2030.6.1,98.76,81.99,135.39,119.13,105.56,yes,no,no,D2030.6.1,WBGene00004178,Molecule name for WBGene00004178(prg-1). History: N.A.
Y56A3A.20.1,74.44,65.38,80.84,71.74,76.65,yes,no,no,Y56A3A.20.1,WBGene00000369,Molecule name for WBGene00000369(ccf-1). History: N.A.
Y56A3A.19,192.19,168.6,162.62,182.18,173.61,yes,no,no,Y56A3A.19,WBGene00013237,Public name for WBGene00013237. History: N.A.
Y43F4B.2,12.32,12.97,13.56,17.81,17.11,yes,no,yes,Y43F4B.2,,Sequence name for Suppressed gene WBGene00012801. Molecular name for Suppressed gene WBGene00012801. Public name for Suppressed gene WBGene00012801. History of WBGene00012801: Killed on 2008-09-25; Suppressed on 2012-11-25. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y43F4B.4,94.88,83.58,78.44,92.48,95.19,yes,no,no,Y43F4B.4,WBGene00003804,Sequence name for WBGene00003804(npp-18). History: N.A.
C06A5.10,2.59,1.89,4.32,2.02,4.62,yes,no,yes,C06A5.10,,Sequence name for Suppressed gene WBGene00015506. Molecular name for Suppressed gene WBGene00015506. Public name for Suppressed gene WBGene00015506. History of WBGene00015506: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y20F4.5,12.98,11.51,13.65,12.16,14.18,yes,no,yes,Y20F4.5,,Sequence name for Suppressed gene WBGene00021240. Molecular name for Suppressed gene WBGene00021240. Public name for Suppressed gene WBGene00021240. History of WBGene00021240: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
M117.3,1.09,1.8,1.83,0,5.87,yes,no,yes,M117.3,WBGene00010919,Public name for WBGene00010919. History: N.A.
R06C1.3,34.92,30.02,34.44,32.38,37.72,yes,no,no,R06C1.3,WBGene00006958,Sequence name for WBGene00006958(wve-1). History: N.A.
R06C1.4,260.24,246.74,286.42,252.25,312.84,yes,no,yes,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
K01A11.3,1.63,0.45,0,0,2.19,yes,no,yes,K01A11.3,WBGene00010451,Public name for WBGene00010451. History: N.A.
K10C8.4,0,0,0,0.86,0,yes,no,yes,K10C8.4,WBGene00010737,Public name for WBGene00010737. History: N.A.
Y37B11A.3,37.31,34.43,32.87,36.82,37.79,yes,no,no,Y37B11A.3,WBGene00021345,"Public name for WBGene00021345. History: Split into Y37B11A.8(WBGene00255596). History of WBGene00021345: Split into ""WBGene00255596"" on 2014-09-18"
T11G6.5,41.42,31.04,35.34,41.33,41.43,yes,no,no,T11G6.5,WBGene00011720,Public name for WBGene00011720. History: N.A.
F40G12.6,0,0.44,0.67,0,0.54,yes,no,no,F40G12.6,WBGene00009601,Public name for WBGene00009601. History: N.A.
F09E5.10,6.6,6.4,7.91,8.25,6.82,yes,no,yes,F09E5.10,WBGene00017288,Public name for WBGene00017288. History: N.A.
K08D10.11,0.9,0,0,0,0,yes,yes,yes,K08D10.11,WBGene00019534,Public name for WBGene00019534. History: N.A.
F55H2.2.1,223.38,205.35,229.74,208.31,205.08,yes,no,no,F55H2.2.1,WBGene00010130,Molecule name for WBGene00010130(vha-14). History: N.A.
W08F4.9,0,0.71,0,1.52,21.7,yes,no,yes,W08F4.9,WBGene00021098,Sequence name for WBGene00021098(fbxb-14). History: N.A.
T02G5.11,44.35,42.46,44.22,53.26,80.45,yes,no,yes,T02G5.11,WBGene00020167,Public name for WBGene00020167. History: N.A.
Y57G11C.36.1,12.26,21.02,14.88,15.44,14.88,yes,no,no,Y57G11C.36.1,WBGene00013325,Molecule name for WBGene00013325(Y57G11C.36). History: N.A.
