# Analysis of coding loci targeted by 26G-RNAs in eri-5 and rrf-3 adults.,,,,,,,,,,,
# Coding 26G-RNA loci were defined in Vasale et al. (2010). The number of normalized antisense reads targeting the indicated 26G-RNA loci are presented as reads per million (rpm) for each sample. Enrichment values were calculated by dividing the mutant rpm value by the sum of mutant plus N2 wild-type (wt) rpm values. Highlighted rows indicate 44 loci with at least 10 rpm (total reads) in N2 or mutant sample; the corresponding enrichment values were used to generate the box and whisker plots in Figure 3C.,,,,,,,,,,,
Gene,Locus ID,N2 rpm_total...3,eri-5 rpm_total,eri-5 enrichment_m/(m+wt),N2 rpm_total...6,rrf-3 rpm_total,rrf-3 enrichment_m/(m+wt),Highlighted,Input,Suggested Match,History
Y71A12B.2,Y71A12B.2,151.4324,55.9906,0.269934385,151.4324,69.9138,0.315857241,Yes,Y71A12B.2,WBGene00013500,Public name for WBGene00013500. History: N.A.
fbxa-46,F52D2.8,148.1725,4.5778,0.029969172,148.1725,3.6547,0.024071444,Yes,fbxa-46,WBGene00018690,Public name for WBGene00018690. History: N.A.
F52D2.6,F52D2.6,140.1925,5.2886,0.036352488,140.1925,4.414,0.030524216,Yes,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
H16D19.4,H16D19.4,133.9428,74.1624,0.356369759,133.9428,52.828,0.282849353,Yes,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
ZK402.3,ZK402.3,128.8291,12.6941,0.089696248,128.8291,3.3624,0.025435826,Yes,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
ZK402.5,ZK402.5,124.7404,14.7336,0.105636893,124.7404,13.7232,0.099110524,Yes,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
T25G12.11,T25G12.11,123.694,5.288,0.040997969,123.694,1.2479,0.009987842,Yes,T25G12.11,WBGene00020817,Public name for WBGene00020817. History: N.A.
Y116F11A.1,Y116F11A.1,120.4686,3.2385,0.026178772,120.4686,0.832,0.006858993,Yes,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
H09G03.1,H09G03.1,93.7784,18.86,0.167438458,93.7784,0,0,Yes,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
ZC132.4,ZC132.4,87.0857,3.614,0.039845777,87.0857,2.0799,0.02332626,Yes,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
fbxa-52,F07G6.6,85.1101,40.177,0.320679463,85.1101,0.416,0.004864012,Yes,fbxa-52,WBGene00017225,Public name for WBGene00017225. History: N.A.
C02B8.2,C02B8.2,80.4737,10.6229,0.116611377,80.4737,26.8308,0.250043568,Yes,C02B8.2,WBGene00015321,Sequence name for WBGene00015321(fbxc-38). History: N.A.
ZK380.5,ZK380.5,74.748,14.3072,0.160655414,74.748,0.1386,0.001850798,Yes,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
ZK402.2,ZK402.2,54.162,4.4024,0.075171947,54.162,1.6986,0.030407837,Yes,ZK402.2,WBGene00022729,Public name for WBGene00022729. History: N.A.
F55A4.4,F55A4.4,53.461,3.9895,0.06944239,53.461,1.2479,0.022809817,Yes,F55A4.4,WBGene00018856,Public name for WBGene00018856. History: N.A.
Y17D7C.1,Y17D7C.1,38.0597,15.6293,0.291108048,38.0597,2.9119,0.071071181,Yes,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
C11G6.2,C11G6.2,21.7714,0.3755,0.016954969,21.7714,0,0,Yes,C11G6.2,WBGene00007523,Public name for WBGene00007523. History: N.A.
Y43F8B.9,Y43F8B.9,21.5295,3.1981,0.129333215,21.5295,0,0,Yes,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
T05E12.8,T05E12.8,15.4819,1.0326,0.06252687,15.4819,0,0,Yes,T05E12.8,WBGene00045382,Public name for WBGene00045382. History: N.A.
F31A9.2,F31A9.2,14.2723,2.0025,0.123042987,14.2723,0.7626,0.050721987,Yes,F31A9.2,WBGene00017941,Public name for WBGene00017941. History: N.A.
Y41C4A.17,Y41C4A.17,3.8705,0.0939,0.023685804,3.8705,0,0,No,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
Y82E9BR.6,Y82E9BR.6,3.3867,2.0651,0.378792325,3.3867,2.4959,0.42428518,No,Y82E9BR.6,WBGene00022339,Public name for WBGene00022339. History: N.A.
Y82E9BR.20,Y82E9BR.20,2.9482,0.463,0.135729362,2.9482,0.4745,0.138633243,No,Y82E9BR.20,WBGene00022352,Public name for WBGene00022352. History: N.A.
C35D6.3,C35D6.3,2.661,1.3142,0.330599718,2.661,1.2479,0.319245824,No,C35D6.3,WBGene00007960,Public name for WBGene00007960. History: N.A.
