# Table S3. Genes with antisense small RNAs enriched by FLAG::CSR-1 IP. Related to Figure 5.
# 5574 genes with at least 10 small RNA reads per million and enriched at least two-fold in the FLAG::CSR-1 IP over the Input sample.
# FLAG::CSR-1 IP RPM = FLAG::CSR-1 IP RPM normalized to the total number of genome-matching reads
# Input RPM = Input RPM normalized to the total number of genome-matching reads
# IP Enrichment = Enrichment of small RNA reads in the FLAG::CSR-1 IP relative to the Input (FLAG::CSR-1 IP RPM)/(FLAG::CSR-1 RPM +Input RPM)
Cosmid ID,FLAG::CSR-1 IP RPM,Input RPM,Enrichment IP,ALG-3/4 Targets,Input,Suggested Match,History
B0238.9,192.09547581995,27.7543071660334,0.87375785962089,Yes,B0238.9,WBGene00015073,Public name for WBGene00015073. History: N.A.
B0240.2,57.4346671994834,14.1009283724118,0.802882351650516,Yes,B0240.2,WBGene00007117,Sequence name for WBGene00007117(spe-42). History: N.A.
B0244.9,33.97441524522,12.1964532381542,0.735840939562442,Yes,B0244.9,WBGene00015084,Public name for WBGene00015084. History: N.A.
B0252.5,82.5514014538111,25.4970283248186,0.764022222469525,Yes,B0252.5,WBGene00015089,"Public name for WBGene00015089. History: Split into B0252.11(WBGene00305086). History of WBGene00015089: Split into ""WBGene00305086"" on 2019-10-21"
B0261.5,22.726129116735,10.7765118168672,0.678338437909273,Yes,B0261.5,WBGene00015093,Public name for WBGene00015093. History: N.A.
B0261.6,31.8395364494055,11.4692371166288,0.735175204184868,Yes,B0261.6,WBGene00015094,Public name for WBGene00015094. History: N.A.
B0273.2,46.0440558179441,12.592058808264,0.785250798274485,Yes,B0273.2,WBGene00004243,Sequence name for WBGene00004243(puf-7). History: N.A.
B0280.11,28.281405123048,7.37604923261454,0.793141452021709,Yes,B0280.11,WBGene00015106,"Public name for WBGene00015106. History: Split into B0280.17(WBGene00044674). History of WBGene00015106: Split into ""WBGene00044674"" on 2005-11-18"
B0280.17,64.497672660733,15.3130937589772,0.808132480792773,Yes,B0280.17,WBGene00044674,Public name for WBGene00044674. History: N.A.
B0303.3,76.726625694134,12.0223369210575,0.864535465353151,Yes,B0303.3,WBGene00015125,Public name for WBGene00015125. History: N.A.
B0336.2,155.527986286824,24.0027030831013,0.866303064020194,Yes,B0336.2,WBGene00000182,Sequence name for WBGene00000182(arf-1). History: Renamed on 2020-09-10
B0336.3,208.029476569958,30.5775679258296,0.871849684947716,Yes,B0336.3,WBGene00015143,Sequence name for WBGene00015143(rbm-26). History: N.A.
B0361.11,38.978754788097,15.7494234318924,0.712224599024932,Yes,B0361.11,WBGene00015165,Public name for WBGene00015165. History: N.A.
B0379.2,20.1348912837077,8.1967645697646,0.710685298022917,Yes,B0379.2,WBGene00007156,Public name for WBGene00007156. History: N.A.
B0379.7,23.3679700966379,8.01225945093188,0.744671738656788,Yes,B0379.7,WBGene00007159,Public name for WBGene00007159. History: N.A.
B0393.1,32.872542318348,3.78152383193196,0.896832078153952,Yes,B0393.1,WBGene00004469,Sequence name for WBGene00004469(rps-0). History: N.A.
B0393.4,102.17713562256,15.3130937589772,0.869664959889988,Yes,B0393.4,WBGene00007169,Public name for WBGene00007169. History: N.A.
B0432.11,42.322480007434,16.5805275707786,0.718511358715212,Yes,B0432.11,WBGene00015192,Public name for WBGene00015192. History: N.A.
B0464.4,108.695173098727,15.416981776338,0.875781853986363,Yes,B0464.4,WBGene00000268,Sequence name for WBGene00000268(bre-3). History: N.A.
B0491.3,64.7983921470251,8.32475460715307,0.886154316701676,Yes,B0491.3,WBGene00007190,Sequence name for WBGene00007190(rmd-3). History: N.A.
B0495.2,26.574879427555,4.5710727638738,0.853237019829121,Yes,B0495.2,WBGene00015203,Sequence name for WBGene00015203(cdk-11.1). History: N.A.
B0495.7,52.8669448038795,22.6268101811753,0.700282358644703,Yes,B0495.7,WBGene00015206,Public name for WBGene00015206. History: N.A.
B0496.6,21.0425591072185,7.73259290819669,0.731275341167468,Yes,B0496.6,WBGene00015215,Public name for WBGene00015215. History: N.A.
B0511.4,50.594331892206,20.4451618165992,0.712200062962089,Yes,B0511.4,WBGene00015230,Sequence name for WBGene00015230(tag-344). History: N.A.
B0523.1,73.550017868706,31.0832947943418,0.702931179342091,Yes,B0523.1,WBGene00002212,Sequence name for WBGene00002212(kin-31). History: N.A.
B0545.3,44.909126703266,12.2587860485706,0.785565268023944,Yes,B0545.3,WBGene00015246,Sequence name for WBGene00015246(scl-23). History: N.A.
BE10.1,34.938554056233,11.9886772034326,0.744526218964531,Yes,BE10.1,WBGene00007209,Public name for WBGene00007209. History: N.A.
C01B10.44,23.3840390768215,6.95343277799093,0.770797223602931,Yes,C01B10.44,WBGene00194839,Public name for WBGene00194839. History: N.A.
C01F6.2,39.154595342677,12.6257185258889,0.756167593770544,Yes,C01F6.2,WBGene00007222,Public name for WBGene00007222. History: N.A.
C01F6.9,28.3961835529305,4.90351441942826,0.852745979152768,Yes,C01F6.9,WBGene00007223,Sequence name for WBGene00007223(znf-706). History: N.A.
C01G10.14,37.9898238362294,5.43625217245427,0.874815947649352,Yes,C01G10.14,WBGene00007239,"Public name for WBGene00007239. History: Split into C01G10.19(WBGene00077584). History of WBGene00007239: Split into ""WBGene00077584"" on 2008-02-06"
C01G12.13,14.5768605950775,6.73194352497778,0.684076896711353,Yes,C01G12.13,WBGene00044333,Public name for WBGene00044333. History: N.A.
C01G12.3,64.643211709824,15.7909786388368,0.803678279468133,Yes,C01G12.3,WBGene00007244,Public name for WBGene00007244. History: N.A.
C01G12.8,100.293392031328,15.0637625173114,0.869416313394244,Yes,C01G12.8,WBGene00007248,Sequence name for WBGene00007248(catp-4). History: N.A.
C01H6.6,38.6734441646095,7.99937733677915,0.828607376210561,Yes,C01H6.6,WBGene00007255,Sequence name for WBGene00007255(cnnm-4). History: N.A.
C02B10.6,226.019847669741,31.7411137202702,0.876858335920607,Yes,C02B10.6,WBGene00015331,Public name for WBGene00015331. History: N.A.
C02F5.1,244.441326552162,36.4896272177962,0.870111759746931,Yes,C02F5.1,WBGene00002231,Sequence name for WBGene00002231(knl-1). History: N.A.
C02F5.5,17.7447452598345,6.44105707636762,0.733684374542066,Yes,C02F5.5,WBGene00015348,Public name for WBGene00015348. History: N.A.
C02F5.9,51.145268355642,5.52684252359287,0.902476854349571,Yes,C02F5.9,WBGene00003952,Sequence name for WBGene00003952(pbs-6). History: N.A.
C03C10.1,108.328800350542,18.4983003712584,0.854145523583048,Yes,C03C10.1,WBGene00002202,Sequence name for WBGene00002202(kin-19). History: N.A.
C03C10.2,34.9628870833681,8.80970387219314,0.798739264003428,Yes,C03C10.2,WBGene00007269,Public name for WBGene00007269. History: N.A.
C03C10.4,70.2136384688814,12.4715487081255,0.849168283535148,Yes,C03C10.4,WBGene00007270,Sequence name for WBGene00007270(rei-1). History: N.A.
C03C11.1,23.4804529579228,10.4120726519656,0.692791479401351,Yes,C03C11.1,WBGene00007274,Public name for WBGene00007274. History: N.A.
C04A2.7,119.407673516521,15.5000921902266,0.885106004765363,Yes,C04A2.7,WBGene00001023,Sequence name for WBGene00001023(dnj-5). History: N.A.
C04C3.9,7.0933069667385,2.95041969304582,0.706242533973025,Yes,C04C3.9,WBGene00195067,Public name for WBGene00195067. History: N.A.
C04E6.5,107.455566055996,20.084878172392,0.84252149744417,Yes,C04E6.5,WBGene00015422,Public name for WBGene00015422. History: N.A.
C04G2.2,52.063495794702,7.25138361178162,0.877747646385858,Yes,C04G2.2,WBGene00007305,Sequence name for WBGene00007305(ttbk-5). History: N.A.
C04G2.4,30.309310422212,3.47235309226631,0.897211897490539,Yes,C04G2.4,WBGene00003432,Sequence name for WBGene00003432(msp-36). History: N.A.
C04G2.5,54.1065518466105,21.0269347138195,0.720138972961045,Yes,C04G2.5,WBGene00007306,Public name for WBGene00007306. History: N.A.
C04G2.8,120.60963323425,40.7935000010181,0.747257074981589,Yes,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
C04G2.9,24.8453980460855,4.88938564906719,0.83556679950343,Yes,C04G2.9,WBGene00007308,Sequence name for WBGene00007308(nsph-3.2). History: N.A.
C05C12.1,73.6716830043814,11.9263443930162,0.860670336038856,Yes,C05C12.1,WBGene00007335,Public name for WBGene00007335. History: N.A.
C05C12.5,50.135218172676,14.5858776374518,0.774634878243681,Yes,C05C12.5,WBGene00007337,Public name for WBGene00007337. History: N.A.
C05D11.12,148.033413929216,21.1516003346524,0.874979468916417,Yes,C05D11.12,WBGene00002855,Sequence name for WBGene00002855(let-721). History: N.A.
C05D2.3,29.4443401746175,4.38407433262442,0.870402606906514,Yes,C05D2.3,WBGene00015467,Sequence name for WBGene00015467(basl-1). History: N.A.
C06A1.1,223.287661924818,24.0604648207539,0.902726310737323,Yes,C06A1.1,WBGene00007352,Sequence name for WBGene00007352(cdc-48.1). History: Renamed on 2005-03-17
C06A6.7,30.1408156871445,6.42027947289547,0.824395865474166,Yes,C06A6.7,WBGene00015511,Public name for WBGene00015511. History: N.A.
C06A8.6,74.047238026957,15.2964716761995,0.828790725983711,Yes,C06A8.6,WBGene00015516,Public name for WBGene00015516. History: N.A.
C06B3.4,15.8463100295779,5.33984409234348,0.747955949833372,Yes,C06B3.4,WBGene00007363,Sequence name for WBGene00007363(stdh-1). History: Renamed on 2004-08-25
C06E7.3,67.7803357553724,13.7040761460936,0.831819659413323,Yes,C06E7.3,WBGene00015540,Sequence name for WBGene00015540(sams-4). History: N.A.
C06E7.6,28.5224398258012,11.4276819096845,0.713951261892305,Yes,C06E7.6,WBGene00004973,Sequence name for WBGene00004973(spe-27). History: N.A.
C06G4.4,58.5140435540985,19.4270592464636,0.750746928790908,Yes,C06G4.4,WBGene00015558,Public name for WBGene00015558. History: N.A.
C06H2.1,78.3133227088297,8.40786502104169,0.903047164814769,Yes,C06H2.1,WBGene00007385,Sequence name for WBGene00007385(atp-5). History: N.A.
C07E3.4,98.7319462712069,11.4181242120873,0.896340291368047,Yes,C07E3.4,WBGene00007415,"Public name for WBGene00007415. History: Split into emc-5(WBGene00195248). History of WBGene00007415: Split into ""WBGene00195248"" on 2010-08-24"
C07G1.6,29.429189421873,10.5425560017708,0.736249796198924,Yes,C07G1.6,WBGene00015572,Public name for WBGene00015572. History: N.A.
C07H6.9,37.455874580416,14.336546395786,0.723192194426025,Yes,C07H6.9,WBGene00015582,Public name for WBGene00015582. History: N.A.
C08F11.10,51.7650718770075,18.3258462624395,0.738541786170072,Yes,C08F11.10,WBGene00007457,Public name for WBGene00007457. History: N.A.
C08F8.4,101.0050182966,25.9179825711644,0.795797590712756,Yes,C08F8.4,WBGene00007446,Sequence name for WBGene00007446(mboa-4). History: N.A.
C08F8.6,49.354724849475,8.31104138886145,0.85587564458068,Yes,C08F8.6,WBGene00007448,Public name for WBGene00007448. History: N.A.
C09B9.2,51.359215348943,9.89429477343956,0.838469750489873,Yes,C09B9.2,WBGene00015627,Public name for WBGene00015627. History: N.A.
C09B9.4,79.6406204719909,15.416981776338,0.83781432087817,Yes,C09B9.4,WBGene00015629,Public name for WBGene00015629. History: N.A.
C09B9.6,16.0602570228789,1.44487454545356,0.917459943684891,Yes,C09B9.6,WBGene00003448,Sequence name for WBGene00003448(msp-55). History: N.A.
C09D4.3,76.985565831949,13.2353334117619,0.853300803664019,Yes,C09D4.3,WBGene00015634,Public name for WBGene00015634. History: N.A.
C09G9.4,88.9321639278391,22.7826422072165,0.79606425508474,Yes,C09G9.4,WBGene00006409,Sequence name for WBGene00006409(hdl-2). History: N.A.
C09G9.6,60.14389725843,10.2018033048274,0.854976164525455,Yes,C09G9.6,WBGene00003864,Sequence name for WBGene00003864(oma-1). History: N.A.
C09H10.3,79.105293875019,11.2681099150184,0.87531608368766,Yes,C09H10.3,WBGene00003831,Sequence name for WBGene00003831(nuo-1). History: N.A.
C09H5.7,21.792291811211,4.46718474651303,0.829882947716296,Yes,C09H5.7,WBGene00015661,Public name for WBGene00015661. History: N.A.
C10C6.3,45.1079229438225,19.2329964300337,0.701076754618948,Yes,C10C6.3,WBGene00007512,Public name for WBGene00007512. History: N.A.
C10G11.9,83.7845809044687,21.5949943927481,0.795074194104116,Yes,C10G11.9,WBGene00015689,Sequence name for WBGene00015689(spch-2). History: N.A.
C10H11.9,174.646858909212,27.5847619217006,0.8635981761489,Yes,C10H11.9,WBGene00002694,Sequence name for WBGene00002694(let-502). History: Renamed on 2015-03-05
C13G3.3,85.3910198091042,14.8975416895342,0.85145323188491,Yes,C13G3.3,WBGene00007554,Sequence name for WBGene00007554(pptr-2). History: N.A.
C14A4.11,94.6077277286689,21.2484239668326,0.81659649784779,Yes,C14A4.11,WBGene00007561,Sequence name for WBGene00007561(ccm-3). History: N.A.
C14A4.13,92.2203363871129,25.6117206959849,0.782642166062475,Yes,C14A4.13,WBGene00007563,Public name for WBGene00007563. History: N.A.
C14A6.6,12.8694166721454,5.44248545349592,0.702789725712052,Yes,C14A6.6,WBGene00007570,Public name for WBGene00007570. History: N.A.
C14B9.10,33.7678140714315,4.86195921248395,0.87413958718447,Yes,C14B9.10,WBGene00015755,Public name for WBGene00015755. History: N.A.
C14B9.2,22.3817938270875,8.47726221663868,0.725290941996842,Yes,C14B9.2,WBGene00015752,Public name for WBGene00015752. History: N.A.
C14B9.4,399.656197282267,49.8176287410439,0.889164561189687,Yes,C14B9.4,WBGene00004042,Sequence name for WBGene00004042(plk-1). History: N.A.
C14B9.6,150.76514056042,19.8413646596984,0.883701007566512,Yes,C14B9.6,WBGene00001565,Sequence name for WBGene00001565(gei-8). History: N.A.
C15F1.5,59.8913847126885,26.2005579783857,0.695667711060931,Yes,C15F1.5,WBGene00015796,Public name for WBGene00015796. History: N.A.
C15F1.6,29.926409580124,9.34992156246913,0.761945138701368,Yes,C15F1.6,WBGene00000198,Sequence name for WBGene00000198(art-1). History: N.A.
C15F1.7,38.3511463334995,7.64615807775253,0.833769431152098,Yes,C15F1.7,WBGene00004930,Sequence name for WBGene00004930(sod-1). History: N.A.
C15H11.13,30.6917521505805,14.9183192930063,0.672916116532329,Yes,C15H11.13,WBGene00077576,Public name for WBGene00077576. History: N.A.
C15H11.7,87.1411613079525,12.0925652207934,0.878140571317853,Yes,C15H11.7,WBGene00003922,Sequence name for WBGene00003922(pas-1). History: N.A.
C15H7.3,76.9245037072515,21.0892675242359,0.784833628384448,Yes,C15H7.3,WBGene00007610,Public name for WBGene00007610. History: N.A.
C15H7.4,75.983320582215,13.0483349805125,0.853441622555033,Yes,C15H7.4,WBGene00007611,Public name for WBGene00007611. History: N.A.
C16A11.7,46.0261503828825,7.54227006039177,0.859203052881155,Yes,C16A11.7,WBGene00015820,Public name for WBGene00015820. History: N.A.
C16C10.3,539.127140342249,80.2377024325545,0.870451635464029,Yes,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
C16D2.1,19.5733952047225,8.23291759980615,0.703919118738198,Yes,C16D2.1,WBGene00007633,Public name for WBGene00007633. History: N.A.
C16D9.5,46.8640329210247,11.9886772034326,0.796293540635939,Yes,C16D9.5,WBGene00015860,Public name for WBGene00015860. History: N.A.
C17D12.5,29.704657653591,12.0717876173213,0.711038420357739,Yes,C17D12.5,WBGene00007639,Public name for WBGene00007639. History: N.A.
C17E4.1,43.011150586729,10.9082418228807,0.797693532226514,Yes,C17E4.1,WBGene00007641,"Public name for WBGene00007641. History: Split into C17E4.12(WBGene00044769). History of WBGene00007641: Split into ""WBGene00044769"" on 2006-02-27"
C17F3.1,27.2956879672171,12.4042292728757,0.687550248584681,Yes,C17F3.1,WBGene00015907,Public name for WBGene00015907. History: N.A.
C17G10.3,59.7623737575005,10.1602480978831,0.854692975917052,Yes,C17G10.3,WBGene00015917,Public name for WBGene00015917. History: N.A.
C17H12.14,29.4140386691285,9.05903511385898,0.764535707103683,Yes,C17H12.14,WBGene00006917,Sequence name for WBGene00006917(vha-8). History: N.A.
C17H12.3,185.232643940415,29.2340880853202,0.863689403903389,Yes,C17H12.3,WBGene00015929,Public name for WBGene00015929. History: N.A.
C17H12.5,104.861573540652,13.5054422568999,0.885901978976991,Yes,C17H12.5,WBGene00015931,Public name for WBGene00015931. History: N.A.
C18D11.4,79.4877356033874,18.0037934086211,0.815329664114679,Yes,C18D11.4,WBGene00004705,Sequence name for WBGene00004705(rsp-8). History: N.A.
C18E3.1,73.0101001345387,12.3448053269454,0.855370874582998,Yes,C18E3.1,WBGene00015970,Public name for WBGene00015970. History: N.A.
C18E9.2,19.6385893528957,6.46515909639532,0.752328325222928,Yes,C18E9.2,WBGene00007683,Public name for WBGene00007683. History: N.A.
C18E9.4,63.1735886936084,6.12939302428532,0.911556575599651,Yes,C18E9.4,WBGene00007684,Public name for WBGene00007684. History: N.A.
C18E9.8,92.7065378160952,18.4505118832724,0.834014019505077,Yes,C18E9.8,WBGene00007688,Public name for WBGene00007688. History: N.A.
C18G1.4,260.696247792122,17.9393828378574,0.935617053722464,Yes,C18G1.4,WBGene00003994,"Sequence name for WBGene00003994(pgl-3). History: Renamed on 2005-10-06. Public name for Dead gene WBGene00015983. History of WBGene00015983: Merged into ""WBGene00003994"" on 2005-09-06"
C18G1.5,103.12428722595,15.143132962575,0.871958541596359,Yes,C18G1.5,WBGene00001855,Sequence name for WBGene00001855(hil-4). History: Renamed on 2010-11-12
C18H7.4,121.933258087655,25.0577897874173,0.829528463470008,Yes,C18H7.4,WBGene00015994,Public name for WBGene00015994. History: N.A.
C23G10.1,102.256103182319,15.8046918571284,0.866130904405247,Yes,C23G10.1,WBGene00016010,Public name for WBGene00016010. History: N.A.
C24A11.1,41.1595449558645,14.9598744999506,0.733427846456447,Yes,C24A11.1,WBGene00016040,Public name for WBGene00016040. History: N.A.
C24D10.1,149.816152502151,67.5687664914436,0.689174544378424,Yes,C24D10.1,WBGene00016053,Sequence name for WBGene00016053(ptp-5.1). History: N.A.
C24D10.2,48.3653347838878,15.1053177242557,0.76201099047599,Yes,C24D10.2,WBGene00016054,Public name for WBGene00016054. History: N.A.
C24D10.7,56.7487513025056,7.53437457107235,0.882793898574724,Yes,C24D10.7,WBGene00016058,Sequence name for WBGene00016058(nspd-3). History: N.A.
C24D10.8,74.2001228955604,16.7022843271254,0.81626136383595,Yes,C24D10.8,WBGene00043147,Sequence name for WBGene00043147(nspd-6). History: Killed on 2004-10-04; Resurrected on 2006-10-03
C24F3.1,70.6346457496905,13.3666478657059,0.840875690237514,Yes,C24F3.1,WBGene00007696,Sequence name for WBGene00007696(tram-1). History: N.A.
C24F3.5,44.9701888279635,10.4569522754655,0.811338776143037,Yes,C24F3.5,WBGene00000019,Sequence name for WBGene00000019(abt-1). History: N.A.
C24G6.1,44.4559814620899,6.67168847490853,0.869509240629787,Yes,C24G6.1,WBGene00006376,Sequence name for WBGene00006376(syp-2). History: N.A.
C24H11.1,22.4864717551403,5.41713677725989,0.805862500867234,Yes,C24H11.1,WBGene00007699,Public name for WBGene00007699. History: N.A.
C24H11.2,23.3817435082238,7.21772389415673,0.764122564643226,Yes,C24H11.2,WBGene00007700,Public name for WBGene00007700. History: N.A.
C25A8.2,54.535823174371,20.9209689361115,0.722742401963241,Yes,C25A8.2,WBGene00016083,Public name for WBGene00016083. History: N.A.
C25A8.5,48.5512758402975,10.755734213395,0.818643121552452,Yes,C25A8.5,WBGene00016085,Public name for WBGene00016085. History: N.A.
C25D7.1,36.2681473879919,5.97646986273027,0.858527068022421,Yes,C25D7.1,WBGene00007714,Public name for WBGene00007714. History: N.A.
C25D7.12,14.4285668636693,2.60551147540806,0.847041241472347,Yes,C25D7.12,WBGene00007721,Public name for WBGene00007721. History: N.A.
C25G4.4,36.8438759922825,5.96317219650809,0.860696486938111,Yes,C25G4.4,WBGene00007732,Sequence name for WBGene00007732(spe-44). History: Renamed on 2011-09-22; Renamed on 2013-04-16
C25G4.6,65.1555826208194,26.1382251679693,0.713691149475976,Yes,C25G4.6,WBGene00007733,Sequence name for WBGene00007733(smz-1). History: N.A.
C25H3.14,13.0998917593495,2.45175720971413,0.842347444017588,Yes,C25H3.14,WBGene00016123,Public name for WBGene00016123. History: N.A.
C25H3.7,24.0869421814219,3.88541184929273,0.861098145510871,Yes,C25H3.7,WBGene00016116,Public name for WBGene00016116. History: N.A.
C26B2.2,46.1638844987415,17.1207452610546,0.729464400344313,Yes,C26B2.2,WBGene00016125,Public name for WBGene00016125. History: N.A.
C26C6.6,24.1530545570342,11.490014720101,0.677636776149586,Yes,C26C6.6,WBGene00007740,Public name for WBGene00007740. History: N.A.
C26D10.2,156.951697931087,20.8814914895144,0.882578209626963,Yes,C26D10.2,WBGene00001840,Sequence name for WBGene00001840(hel-1). History: N.A.
C27A12.8,179.482244603302,35.1677560848978,0.836162329503169,Yes,C27A12.8,WBGene00016158,Sequence name for WBGene00016158(ari-1.1). History: N.A.
C27B7.6,20.568294634944,4.96584722984472,0.805521279855793,Yes,C27B7.6,WBGene00007763,Public name for WBGene00007763. History: N.A.
C27D6.3,20.8185116120878,7.23060600830946,0.742216275529061,Yes,C27D6.3,WBGene00016161,Public name for WBGene00016161. History: N.A.
C27D6.4,33.920698940035,12.4665620832922,0.731250308634885,Yes,C27D6.4,WBGene00016162,Sequence name for WBGene00016162(crh-2). History: N.A.
C27D8.1,49.813838569005,11.3237938923237,0.814781936485906,Yes,C27D8.1,WBGene00007777,Public name for WBGene00007777. History: N.A.
C27D8.2,60.220110135872,9.7239184249679,0.860975716940444,Yes,C27D8.2,WBGene00007778,Public name for WBGene00007778. History: N.A.
C28A5.6,87.0080183292888,18.4293187277308,0.825210696304247,Yes,C28A5.6,WBGene00007791,Public name for WBGene00007791. History: N.A.
C28C12.11,43.975289397742,15.4689257850184,0.739774076628661,Yes,C28C12.11,WBGene00016181,Public name for WBGene00016181. History: N.A.
C29E4.14,18.0238864013087,6.26777186340986,0.741978427528218,Yes,C29E4.14,WBGene00044634,Public name for WBGene00044634. History: N.A.
C29E4.8,211.939289005475,25.7766948675538,0.891565159197196,Yes,C29E4.8,WBGene00002879,"Sequence name for WBGene00002879(let-754). History: N.A.. Public name for Dead gene WBGene00016205. History of WBGene00016205: Merged into ""WBGene00002879"" on 2008-01-30"
C29E6.3,70.6075580402382,11.0466206620052,0.864714570184003,Yes,C29E6.3,WBGene00004084,Sequence name for WBGene00004084(pph-2). History: N.A.
C30A5.3,30.8322409487567,13.3321570439421,0.69812433430778,Yes,C30A5.3,WBGene00016238,Sequence name for WBGene00016238(mob-4). History: N.A.
C30A5.4,53.0423262447399,7.07809839882386,0.882267990607388,Yes,C30A5.4,WBGene00016239,Public name for WBGene00016239. History: N.A.
C30B5.3,133.644330845427,53.3028639474629,0.714877433670429,Yes,C30B5.3,WBGene00000771,Sequence name for WBGene00000771(cpb-2). History: N.A.
C30C11.2,134.91056648389,17.453186916609,0.885450531854961,Yes,C30C11.2,WBGene00004460,Sequence name for WBGene00004460(rpn-3). History: N.A.
C30C11.4,173.077608215858,20.8357807618757,0.892551097829206,Yes,C30C11.4,WBGene00016250,Sequence name for WBGene00016250(hsp-110). History: N.A.
C30G7.3,91.1565698989619,28.4752900065171,0.761975697535628,Yes,C30G7.3,WBGene00044177,Public name for WBGene00044177. History: N.A.
C30H7.2,38.6091682438753,10.0638400177723,0.79323570954002,Yes,C30H7.2,WBGene00016278,Sequence name for WBGene00016278(erp-44.1). History: N.A.
C31H1.1,92.2947128096768,29.6417446654438,0.756908267804223,Yes,C31H1.1,WBGene00016286,Public name for WBGene00016286. History: N.A.
C31H1.5,22.6572620588055,7.25138361178162,0.75754891439592,Yes,C31H1.5,WBGene00016288,Public name for WBGene00016288. History: N.A.
C32C4.3,35.5046412724135,13.6301078777328,0.722597385486149,Yes,C32C4.3,WBGene00007863,Public name for WBGene00007863. History: N.A.
C32D5.4,62.806756831704,11.219905874963,0.848434260512024,Yes,C32D5.4,WBGene00016312,Public name for WBGene00016312. History: N.A.
C32D5.8,49.7670089696129,11.5107923235731,0.812153959824713,Yes,C32D5.8,WBGene00016316,Public name for WBGene00016316. History: N.A.
C32E12.1,44.3182473462309,10.1186928909388,0.814120836938044,Yes,C32E12.1,WBGene00016327,Public name for WBGene00016327. History: N.A.
C32F10.1,107.619928767588,12.9028917562074,0.892942334902792,Yes,C32F10.1,WBGene00016331,Sequence name for WBGene00016331(obr-4). History: N.A.
C33F10.1,7.33020964601598,2.87686697675439,0.71814976186849,Yes,C33F10.1,WBGene00016351,Public name for WBGene00016351. History: N.A.
C33F10.12,53.2411224852964,12.8260146233604,0.805863925929374,Yes,C33F10.12,WBGene00016358,Public name for WBGene00016358. History: N.A.
C33F10.8,185.963552981907,48.1001520380356,0.794499740855006,Yes,C33F10.8,WBGene00016356,Public name for WBGene00016356. History: N.A.
C33F10.9,13.4189757944228,2.43181071038086,0.846581069674752,Yes,C33F10.9,WBGene00003435,Sequence name for WBGene00003435(msp-40). History: N.A.
