#Table S4: Genes depleted of 22G-RNAs in rrf-1, rrf-3 and ergo-1 mutants,,,,,,,
#Total Reads = number of antisense reads (including exon juntions) normalized to the number of perfect genome matches,,,,,,,,
#Normalized Reads = Total reads normalized to the sample size (reads per million), excluding structural RNA degradation products,,,,,,,
#Enrichment factor = mutant / (wild-type + mutant), using normalized reads,,,,,,,
#Wild-type sample size = 2.06692860050001 million reads,,,,,,,,
#ergo-1 sample size = 2.471996685 million reads,,,,,,,,
#rrf-3 sample size = 2.40395249619999 million reads,,,,,,,,
#rrf-1 sample size = 2.962051767 million reads,,,,,,,,
#Fold Depletion = Wild-type / mutant, using normalized reads,,,,,,,
#rrf-1 (260 genes),,,,,,,,
Cosmid Name,Gene ID,Wild-type Total Reads,Wild-type Normalized Reads,rrf-1 Total Reads,rrf-1 Normalized Reads ,Enrichment Factor,Fold Depletion,fold change,Input,Suggested Match,History
sma-1,R31.1,93.0,44.99,11.5,3.88,0.08,11.59,0.086281277,sma-1,WBGene00004855,Public name for WBGene00004855. History: N.A.
C44B11.6,C44B11.6,3690.5,1785.5,462.67,156.2,0.08,11.43,0.087489064,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
R02D5.1,R02D5.1,364.14,176.18,46.5,15.7,0.08,11.22,0.08912656,R02D5.1,WBGene00010976,Public name for WBGene00010976. History: N.A.
fbxa-61,Y119D3B.8,143.83,69.59,19.5,6.58,0.09,10.57,0.094607379,fbxa-61,WBGene00022486,Public name for WBGene00022486. History: N.A.
Y17D7B.4,Y17D7B.4,871.73,421.75,119.25,40.26,0.09,10.48,0.095419847,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
F53B3.5,F53B3.5,71.5,34.59,10.33,3.49,0.09,9.92,0.100806452,F53B3.5,WBGene00018743,Public name for WBGene00018743. History: N.A.
retr-1,F44E2.2,875.5,423.58,129.7,43.79,0.09,9.67,0.103412616,retr-1,,Other name for Suppressed gene WBGene00018416. History of WBGene00018416: Renamed on 2021-06-14. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene....Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information. Therefore this is not a genetic map position based on recombination frequencies or genetic experiments. This was done on advice of the CGC.
ZC239.20,ZC239.20,58.0,28.06,9.5,3.21,0.1,8.75,0.114285714,ZC239.20,WBGene00044371,Public name for WBGene00044371. History: N.A.
C44C1.1,C44C1.1,273.83,132.48,45.0,15.19,0.1,8.72,0.114678899,C44C1.1,WBGene00016641,Public name for WBGene00016641. History: N.A.
W04B5.2,W04B5.2,960.0,464.46,159.36,53.8,0.1,8.63,0.115874855,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
ces-2,ZK909.4,96.0,46.45,16.0,5.4,0.1,8.6,0.11627907,ces-2,WBGene00000469,Public name for WBGene00000469. History: N.A.
lag-2,Y73C8B.4,60.0,29.03,10.0,3.38,0.1,8.6,0.11627907,lag-2,WBGene00002246,Public name for WBGene00002246. History: N.A.
unc-70,K11C4.3,54.0,26.13,9.03,3.05,0.1,8.57,0.116686114,unc-70,WBGene00006803,Public name for WBGene00006803. History: N.A.
asah-1,K11D2.2,153.0,74.02,27.0,9.12,0.11,8.12,0.123152709,asah-1,WBGene00010769,Public name for WBGene00010769. History: Renamed on 2004-08-25
Y38F1A.8,Y38F1A.8,87.0,42.09,15.5,5.23,0.11,8.04,0.124378109,Y38F1A.8,WBGene00012610,Public name for WBGene00012610. History: N.A.
scrm-4,F11A6.2,183.72,88.89,33.07,11.16,0.11,7.96,0.125628141,scrm-4,WBGene00008681,Public name for WBGene00008681. History: Renamed on 2007-05-03
Y37E11B.2,Y37E11B.2,2492.92,1206.1,451.14,152.31,0.11,7.92,0.126262626,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
K02E2.6,K02E2.6,2706.5,1309.43,505.52,170.66,0.12,7.67,0.130378096,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
M03A1.8,M03A1.8,107.25,51.89,20.27,6.84,0.12,7.58,0.131926121,M03A1.8,WBGene00077490,Public name for WBGene00077490. History: N.A.
dlk-1,F33E2.2,573.5,277.46,109.42,36.94,0.12,7.51,0.133155792,dlk-1,WBGene00001008,Public name for WBGene00001008. History: N.A.
ckk-1,C05H8.1,731.5,353.91,142.0,47.94,0.12,7.38,0.135501355,ckk-1,WBGene00000518,Public name for WBGene00000518. History: N.A.
F19C6.2,F19C6.2,139.5,67.49,28.0,9.45,0.12,7.14,0.140056022,F19C6.2,WBGene00008951,Public name for WBGene00008951. History: N.A.
ZK470.2,ZK470.2,87.33,42.25,18.2,6.14,0.13,6.88,0.145348837,ZK470.2,WBGene00022745,Public name for WBGene00022745. History: N.A.
fbxa-76,Y119D3B.22,112.5,54.43,24.0,8.1,0.13,6.72,0.148809524,fbxa-76,WBGene00044675,Public name for WBGene00044675. History: N.A.
C40A11.10,C40A11.10,929.5,449.7,204.5,69.04,0.13,6.51,0.153609831,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
F39F10.4,F39F10.4,1046.5,506.31,232.83,78.61,0.13,6.44,0.155279503,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
fbxa-46,F52D2.8,306.26,148.17,68.5,23.13,0.14,6.41,0.15600624,fbxa-46,WBGene00018690,Public name for WBGene00018690. History: N.A.
Y102A11A.6,Y102A11A.6,143.0,69.18,32.0,10.8,0.14,6.4,0.15625,Y102A11A.6,WBGene00022416,Sequence name for WBGene00022416(ergi-1). History: N.A.
Y60A3A.27,Y60A3A.27,83.0,40.16,19.0,6.41,0.14,6.26,0.159744409,Y60A3A.27,,Sequence name for Suppressed gene WBGene00045512. Molecular name for Suppressed gene WBGene00045512. Public name for Suppressed gene WBGene00045512. History of WBGene00045512: Killed on 2011-05-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C17F4.8,C17F4.8,117.5,56.85,27.0,9.12,0.14,6.24,0.16025641,C17F4.8,WBGene00015914,Public name for WBGene00015914. History: N.A.
fbxb-45,M01D1.10,301.5,145.87,70.5,23.8,0.14,6.13,0.163132137,fbxb-45,WBGene00019705,Public name for WBGene00019705. History: N.A.
ZK380.5,ZK380.5,154.5,74.75,38.0,12.83,0.15,5.83,0.171526587,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
H09G03.1,H09G03.1,193.83,93.78,47.83,16.15,0.15,5.81,0.17211704,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
fkb-5,C50F2.6,63.0,30.48,16.0,5.4,0.15,5.64,0.177304965,fkb-5,WBGene00001430,Public name for WBGene00001430. History: N.A.
pan-1,M88.6,1315.5,636.45,338.18,114.17,0.15,5.57,0.179533214,pan-1,WBGene00003915,Public name for WBGene00003915. History: N.A.
C01A2.1,C01A2.1,719.5,348.1,186.33,62.91,0.15,5.53,0.180831826,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
C52A10.3,C52A10.3,87.0,42.09,23.0,7.76,0.16,5.42,0.184501845,C52A10.3,WBGene00016864,Public name for WBGene00016864. History: N.A.
R04A9.3,R04A9.3,181.5,87.81,48.0,16.2,0.16,5.42,0.184501845,R04A9.3,WBGene00019863,Public name for WBGene00019863. History: N.A.
C29G2.1,C29G2.1,139.0,67.25,37.0,12.49,0.16,5.38,0.185873606,C29G2.1,WBGene00016230,"Public name for Dead gene WBGene00016229. History of WBGene00016229: Merged into ""WBGene00016230"" on 2015-09-09"
ZK909.3,ZK909.3,291.5,141.03,78.0,26.33,0.16,5.36,0.186567164,ZK909.3,WBGene00014148,Public name for WBGene00014148. History: N.A.
ZC132.4,ZC132.4,180.0,87.09,48.83,16.48,0.16,5.28,0.189393939,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y9D1A.1,Y9D1A.1,72.37,35.01,19.7,6.65,0.16,5.26,0.190114068,Y9D1A.1,WBGene00021186,Public name for WBGene00021186. History: N.A.
F40A3.5,F40A3.5,326.0,157.72,91.0,30.72,0.16,5.13,0.194931774,F40A3.5,WBGene00077712,"Sequence name for WBGene00077712(nipi-4). History: N.A.. Public name for Dead gene WBGene00018220. History of WBGene00018220: Merged into ""WBGene00077712"" on 2012-04-12"
fbxb-7,Y20C6A.2,305.5,147.8,85.33,28.81,0.16,5.13,0.194931774,fbxb-7,WBGene00012492,Public name for WBGene00012492. History: N.A.
D1025.10,D1025.10,210.67,101.92,59.0,19.92,0.16,5.12,0.1953125,D1025.10,WBGene00044134,Public name for WBGene00044134. History: N.A.
Y57A10C.10,Y57A10C.10,115.0,55.64,33.0,11.14,0.17,4.99,0.200400802,Y57A10C.10,WBGene00013288,Public name for WBGene00013288. History: N.A.
C27D8.3,C27D8.3,355.0,171.75,102.0,34.44,0.17,4.99,0.200400802,C27D8.3,WBGene00007779,Public name for WBGene00007779. History: N.A.
T15H9.6,T15H9.6,205.0,99.18,59.0,19.92,0.17,4.98,0.200803213,T15H9.6,WBGene00011791,Sequence name for WBGene00011791(pap-2). History: N.A.
C32B5.1,C32B5.1,74.5,36.04,21.62,7.3,0.17,4.94,0.20242915,C32B5.1,WBGene00016295,Sequence name for WBGene00016295(fbxc-40). History: N.A.
F48G7.4,F48G7.4,293.5,142.0,86.0,29.03,0.17,4.89,0.204498978,F48G7.4,WBGene00018615,Public name for WBGene00018615. History: N.A.
Y47D7A.16,Y47D7A.16,198.5,96.04,59.0,19.92,0.17,4.82,0.20746888,Y47D7A.16,WBGene00044637,Sequence name for WBGene00044637(rft-1). History: N.A.
C36A4.11,C36A4.11,556.83,269.4,166.17,56.1,0.17,4.8,0.208333333,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
F02H6.4,F02H6.4,96.5,46.69,29.5,9.96,0.18,4.69,0.213219616,F02H6.4,WBGene00008537,Public name for WBGene00008537. History: N.A.
T27A1.2,T27A1.2,69.67,33.71,21.37,7.21,0.18,4.67,0.214132762,T27A1.2,WBGene00020834,Public name for WBGene00020834. History: N.A.
coel-1,C52B9.3,55.0,26.61,17.0,5.74,0.18,4.64,0.215517241,coel-1,WBGene00016866,Public name for WBGene00016866. History: N.A.
bath-31,F12E12.4,393.0,190.14,122.5,41.36,0.18,4.6,0.217391304,bath-31,WBGene00017405,Public name for WBGene00017405. History: N.A.
T04B8.5,T04B8.5,108.0,52.25,34.07,11.5,0.18,4.54,0.220264317,T04B8.5,WBGene00020207,Public name for WBGene00020207. History: N.A.
F44F1.5,F44F1.5,71.0,34.35,22.5,7.6,0.18,4.52,0.221238938,F44F1.5,WBGene00009697,Public name for WBGene00009697. History: N.A.
C33E10.1,C33E10.1,170.03,82.26,54.17,18.29,0.18,4.5,0.222222222,C33E10.1,WBGene00016345,Public name for WBGene00016345. History: N.A.
gsto-3,K10F12.4,100.0,48.38,32.0,10.8,0.18,4.48,0.223214286,gsto-3,WBGene00019636,Public name for WBGene00019636. History: N.A.
K01A6.6,K01A6.6,69.5,33.62,22.5,7.6,0.18,4.43,0.225733634,K01A6.6,WBGene00010448,Public name for WBGene00010448. History: N.A.
Y73C8C.3,Y73C8C.3,143.5,69.43,46.61,15.74,0.18,4.41,0.22675737,Y73C8C.3,WBGene00022262,Public name for WBGene00022262. History: N.A.
nas-36,C26C6.3,695.5,336.49,226.5,76.47,0.19,4.4,0.227272727,nas-36,WBGene00003552,Public name for WBGene00003552. History: N.A.
irk-3,K04G11.5,96.0,46.45,31.5,10.63,0.19,4.37,0.228832952,irk-3,WBGene00002151,Public name for WBGene00002151. History: N.A.
gpb-2,F52A8.2,185.5,89.75,61.0,20.59,0.19,4.36,0.229357798,gpb-2,WBGene00001680,Public name for WBGene00001680. History: Renamed on 2010-12-15
Y41C4A.12,Y41C4A.12,246.0,119.02,81.0,27.35,0.19,4.35,0.229885057,Y41C4A.12,WBGene00012758,Public name for WBGene00012758. History: N.A.
R04A9.7,R04A9.7,466.0,225.46,154.0,51.99,0.19,4.34,0.230414747,R04A9.7,WBGene00044281,Public name for WBGene00044281. History: N.A.
unc-68,K11C4.5,234.0,113.21,78.0,26.33,0.19,4.3,0.23255814,unc-68,WBGene00006801,Public name for WBGene00006801. History: N.A.
nhr-228,T27B7.6,197.0,95.31,66.0,22.28,0.19,4.28,0.23364486,nhr-228,WBGene00020852,Public name for WBGene00020852. History: N.A.
Y71A12B.12,Y71A12B.12,91.0,44.03,31.0,10.47,0.19,4.21,0.237529691,Y71A12B.12,WBGene00013509,Public name for WBGene00013509. History: N.A.
lbp-1,F40F4.3,89.5,43.3,30.5,10.3,0.19,4.21,0.237529691,lbp-1,WBGene00002253,Public name for WBGene00002253. History: N.A.
rpm-1,C01B7.6,80.5,38.95,27.75,9.37,0.19,4.16,0.240384615,rpm-1,WBGene00004457,Public name for WBGene00004457. History: N.A.
ZK1073.1,ZK1073.1,334.5,161.83,116.64,39.38,0.2,4.11,0.243309002,ZK1073.1,WBGene00014213,Public name for WBGene00014213. History: N.A.
daf-3,F25E2.5,82.5,39.91,29.0,9.79,0.2,4.08,0.245098039,daf-3,WBGene00000899,Public name for WBGene00000899. History: N.A.
C09G5.7,C09G5.7,173.0,83.7,61.0,20.59,0.2,4.06,0.246305419,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
tag-163,M01E11.7,338.83,163.93,119.5,40.34,0.2,4.06,0.246305419,tag-163,WBGene00006508,Other name for WBGene00006508(tns-1). History: Renamed on 2015-11-05
ZC204.14,ZC204.14,114.5,55.4,40.5,13.67,0.2,4.05,0.24691358,ZC204.14,WBGene00022564,Public name for WBGene00022564. History: N.A.
F48E3.6,F48E3.6,208.5,100.87,74.0,24.98,0.2,4.04,0.247524752,F48E3.6,WBGene00018606,Public name for WBGene00018606. History: N.A.
fbxa-52,F07G6.6,175.92,85.11,62.75,21.18,0.2,4.02,0.248756219,fbxa-52,WBGene00017225,Public name for WBGene00017225. History: N.A.
K08A2.1,K08A2.1,985.83,476.96,357.5,120.69,0.2,3.95,0.253164557,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
F43G6.8,F43G6.8,84.0,40.64,30.5,10.3,0.2,3.95,0.253164557,F43G6.8,WBGene00009660,Public name for WBGene00009660. History: N.A.
T03D8.6,T03D8.6,249.0,120.47,91.5,30.89,0.2,3.9,0.256410256,T03D8.6,WBGene00011393,Public name for WBGene00011393. History: N.A.
R07C3.6,R07C3.6,54.0,26.13,20.0,6.75,0.21,3.87,0.258397933,R07C3.6,WBGene00019922,Sequence name for WBGene00019922(fbxc-28). History: N.A.
R05H11.1,R05H11.1,61.5,29.75,23.0,7.76,0.21,3.83,0.261096606,R05H11.1,WBGene00019907,Public name for WBGene00019907. History: N.A.
F17C11.11,F17C11.11,77.5,37.5,29.0,9.79,0.21,3.83,0.261096606,F17C11.11,WBGene00008922,Public name for WBGene00008922. History: N.A.
F53C3.6,F53C3.6,93.0,44.99,34.83,11.76,0.21,3.83,0.261096606,F53C3.6,WBGene00018750,Public name for WBGene00018750. History: N.A.
ztf-13,F52E4.8,60.0,29.03,22.5,7.6,0.21,3.82,0.261780105,ztf-13,WBGene00018704,Public name for WBGene00018704. History: N.A.
F54F7.7,F54F7.7,92.5,44.75,35.0,11.82,0.21,3.79,0.263852243,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
F36A2.3,F36A2.3,86.5,41.85,33.0,11.14,0.21,3.76,0.265957447,F36A2.3,WBGene00009453,Public name for WBGene00009453. History: N.A.
Y82E9BR.1,Y82E9BR.1,526.6,254.77,201.32,67.97,0.21,3.75,0.266666667,Y82E9BR.1,WBGene00022334,Public name for WBGene00022334. History: N.A.
C15C7.5,C15C7.5,146.0,70.64,56.5,19.07,0.21,3.7,0.27027027,C15C7.5,WBGene00015791,Sequence name for WBGene00015791(bbln-1). History: Renamed on 2021-01-02
T22B7.4,T22B7.4,225.33,109.02,87.5,29.54,0.21,3.69,0.27100271,T22B7.4,WBGene00020673,Public name for WBGene00020673. History: N.A.
F13C5.1,F13C5.1,194.0,93.86,75.5,25.49,0.21,3.68,0.27173913,F13C5.1,WBGene00017422,Public name for WBGene00017422. History: N.A.
unc-10,T10A3.1,866.5,419.22,340.25,114.87,0.22,3.65,0.273972603,unc-10,WBGene00006750,Public name for WBGene00006750. History: N.A.
egl-10,F28C1.2,71.0,34.35,28.0,9.45,0.22,3.63,0.275482094,egl-10,WBGene00001179,Public name for WBGene00001179. History: N.A.
F49B2.3,F49B2.3,76.0,36.77,30.01,10.13,0.22,3.63,0.275482094,F49B2.3,WBGene00009863,Public name for WBGene00009863. History: N.A.
K06B9.6,K06B9.6,594.5,287.62,237.17,80.07,0.22,3.59,0.278551532,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
F52G3.3,F52G3.3,532.33,257.55,218.48,73.76,0.22,3.49,0.286532951,F52G3.3,WBGene00018711,Public name for WBGene00018711. History: N.A.
F59B2.9,F59B2.9,90.0,43.54,37.0,12.49,0.22,3.49,0.286532951,F59B2.9,WBGene00010311,Public name for WBGene00010311. History: N.A.
K03E6.7,K03E6.7,158.0,76.44,65.0,21.94,0.22,3.48,0.287356322,K03E6.7,WBGene00019365,Sequence name for WBGene00019365(rei-2). History: N.A.
Y75B8A.19,Y75B8A.19,862.5,417.29,360.5,121.71,0.23,3.43,0.29154519,Y75B8A.19,WBGene00013554,Public name for WBGene00013554. History: N.A.
daf-7,B0412.2,68.0,32.9,28.5,9.62,0.23,3.42,0.292397661,daf-7,WBGene00000903,Public name for WBGene00000903. History: N.A.
T19D7.4,T19D7.4,86.5,41.85,36.5,12.32,0.23,3.4,0.294117647,T19D7.4,WBGene00020572,Sequence name for WBGene00020572(rund-1). History: N.A.
Y46G5A.7,Y46G5A.7,252.33,122.08,107.33,36.24,0.23,3.37,0.296735905,Y46G5A.7,WBGene00012899,Public name for WBGene00012899. History: N.A.
F42G9.4,F42G9.4,54.0,26.13,23.0,7.76,0.23,3.36,0.297619048,F42G9.4,WBGene00018363,Sequence name for WBGene00018363(nlp-52). History: N.A.
fbxb-37,T16A1.8,373.0,180.46,160.0,54.02,0.23,3.34,0.299401198,fbxb-37,WBGene00020537,"Public name for WBGene00020537. History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
Y39C12A.9,Y39C12A.9,238.5,115.39,104.0,35.11,0.23,3.29,0.303951368,Y39C12A.9,WBGene00012710,Public name for WBGene00012710. History: N.A.
F18G5.6,F18G5.6,57.0,27.58,25.0,8.44,0.23,3.27,0.305810398,F18G5.6,WBGene00017582,Public name for WBGene00017582. History: N.A.
D1025.1,D1025.1,355.5,171.99,156.33,52.78,0.23,3.26,0.306748466,D1025.1,WBGene00008353,Public name for WBGene00008353. History: N.A.
ZK673.5,ZK673.5,110.83,53.62,48.92,16.51,0.24,3.25,0.307692308,ZK673.5,WBGene00014061,Public name for WBGene00014061. History: N.A.
Y58A7A.3,Y58A7A.3,78.67,38.06,34.83,11.76,0.24,3.24,0.308641975,Y58A7A.3,WBGene00021977,Public name for WBGene00021977. History: N.A.
clec-119,F47F6.5,79.0,38.22,35.0,11.82,0.24,3.23,0.309597523,clec-119,WBGene00018575,Public name for WBGene00018575. History: N.A.
C45G9.7,C45G9.7,106.0,51.28,47.0,15.87,0.24,3.23,0.309597523,C45G9.7,WBGene00016678,Sequence name for WBGene00016678(txbp-3). History: N.A.
ZK666.1,ZK666.1,74.17,35.88,32.92,11.11,0.24,3.23,0.309597523,ZK666.1,WBGene00014041,Public name for WBGene00014041. History: N.A.
btb-11,M01D1.3,64.5,31.21,29.0,9.79,0.24,3.19,0.313479624,btb-11,WBGene00019700,Public name for WBGene00019700. History: N.A.
fbxa-59,T12B5.8,61.68,29.84,27.73,9.36,0.24,3.19,0.313479624,fbxa-59,WBGene00020455,Public name for WBGene00020455. History: N.A.
atf-5,T04C10.4,221.5,107.16,101.0,34.1,0.24,3.14,0.318471338,atf-5,WBGene00000221,"Other name for WBGene00000221(atf-4). History: Split into T04C10.11(WBGene00303075). History of WBGene00000221: Split into ""WBGene00303075"" on 2018-03-02; Renamed on 2019-07-15"
fbxb-26,F58E1.3,53.5,25.88,24.5,8.27,0.24,3.13,0.319488818,fbxb-26,WBGene00019035,Public name for WBGene00019035. History: N.A.
F39E9.7,F39E9.7,789.5,381.97,363.17,122.61,0.24,3.12,0.320512821,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
C25G6.5,C25G6.5,212.0,102.57,98.0,33.09,0.24,3.1,0.322580645,C25G6.5,WBGene00016110,Sequence name for WBGene00016110(npr-11). History: N.A.
ZK822.2,ZK822.2,247.5,119.74,115.0,38.82,0.24,3.08,0.324675325,ZK822.2,WBGene00014090,"Public name for WBGene00014090. History: Split into ZK822.6(WBGene00044009). History of WBGene00014090: Split into ""WBGene00044009"" on 2004-11-30"
C24H10.1,C24H10.1,73.0,35.32,34.0,11.48,0.25,3.08,0.324675325,C24H10.1,WBGene00016067,Sequence name for WBGene00016067(clc-7). History: N.A.
F55A4.4,F55A4.4,110.5,53.46,51.67,17.44,0.25,3.06,0.326797386,F55A4.4,WBGene00018856,Public name for WBGene00018856. History: N.A.
F47B7.1,F47B7.1,54.5,26.37,25.5,8.61,0.25,3.06,0.326797386,F47B7.1,WBGene00018532,Public name for WBGene00018532. History: N.A.
F45C12.2,F45C12.2,126.0,60.96,59.5,20.09,0.25,3.03,0.330033003,F45C12.2,WBGene00018433,Sequence name for WBGene00018433(ceh-82). History: N.A.
tsp-14,F39C12.3,247.0,119.5,117.0,39.5,0.25,3.03,0.330033003,tsp-14,WBGene00006640,Public name for WBGene00006640. History: N.A.
C16C8.14,C16C8.14,51.83,25.08,24.68,8.33,0.25,3.01,0.332225914,C16C8.14,WBGene00015852,Public name for WBGene00015852. History: N.A.
Y105C5A.14,Y105C5A.14,1127.0,545.25,538.17,181.69,0.25,3.0,0.333333333,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
Y54F10BM.9,Y54F10BM.9,967.0,467.84,462.0,155.97,0.25,3.0,0.333333333,Y54F10BM.9,WBGene00021863,Public name for WBGene00021863. History: N.A.
F54D11.3,F54D11.3,123.0,59.51,59.0,19.92,0.25,2.99,0.334448161,F54D11.3,WBGene00018813,Public name for WBGene00018813. History: N.A.
C08F11.7,C08F11.7,377.0,182.4,181.0,61.11,0.25,2.98,0.33557047,C08F11.7,WBGene00007454,Public name for WBGene00007454. History: N.A.
C27D6.4,C27D6.4,143.5,69.43,69.5,23.46,0.25,2.96,0.337837838,C27D6.4,WBGene00016162,Sequence name for WBGene00016162(crh-2). History: N.A.
ZK402.3,ZK402.3,266.28,128.83,129.11,43.59,0.25,2.96,0.337837838,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
F55C9.5,F55C9.5,410.0,198.36,199.5,67.35,0.25,2.95,0.338983051,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
ZK402.2,ZK402.2,111.95,54.16,55.53,18.75,0.26,2.89,0.346020761,ZK402.2,WBGene00022729,Public name for WBGene00022729. History: N.A.
H14E04.1,H14E04.1,625.5,302.62,314.0,106.01,0.26,2.85,0.350877193,H14E04.1,WBGene00019198,Sequence name for WBGene00019198(strm-1). History: N.A.
C02B8.6,C02B8.6,81.0,39.19,40.67,13.73,0.26,2.85,0.350877193,C02B8.6,WBGene00015324,Public name for WBGene00015324. History: N.A.
tag-196,F41E6.6,93.0,44.99,47.0,15.87,0.26,2.84,0.352112676,tag-196,WBGene00007055,Public name for WBGene00007055. History: N.A.
F21G4.5,F21G4.5,63.83,30.88,32.5,10.97,0.26,2.81,0.355871886,F21G4.5,WBGene00009026,Public name for WBGene00009026. History: N.A.
K08H2.3,K08H2.3,176.0,85.15,90.5,30.55,0.26,2.79,0.358422939,K08H2.3,WBGene00010690,Public name for WBGene00010690. History: N.A.
Y44A6C.2,Y44A6C.2,169.67,82.09,88.0,29.71,0.27,2.76,0.362318841,Y44A6C.2,WBGene00012851,Public name for WBGene00012851. History: N.A.
F40F8.1,F40F8.1,57.0,27.58,30.0,10.13,0.27,2.72,0.367647059,F40F8.1,WBGene00009575,Public name for WBGene00009575. History: N.A.
