Germline enriched,Input,Suggested Match,History
Y54E10BR.4,Y54E10BR.4,WBGene00021843,Public name for WBGene00021843. History: N.A.
Y54E10BR.3,Y54E10BR.3,WBGene00021842,Public name for WBGene00021842. History: N.A.
Y54E10BR.1,Y54E10BR.1,WBGene00021840,Sequence name for WBGene00021840(pign-1). History: N.A.
M01B12.3,M01B12.3,WBGene00000205,Sequence name for WBGene00000205(arx-7). History: N.A.
Y54E10A.3,Y54E10A.3,WBGene00021826,Sequence name for WBGene00021826(txl-1). History: N.A.
W01B11.3,W01B11.3,WBGene00020915,Sequence name for WBGene00020915(nol-58). History: Renamed on 2017-08-01
Y44E3A.3,Y44E3A.3,WBGene00021548,Sequence name for WBGene00021548(trx-4). History: N.A.
Y44E3A.6,Y44E3A.6,WBGene00021551,Sequence name for WBGene00021551(edc-4). History: N.A.
W05F2.3,W05F2.3,WBGene00021035,Public name for WBGene00021035. History: N.A.
Y47G6A.8,Y47G6A.8,WBGene00000794,Sequence name for WBGene00000794(crn-1). History: N.A.
Y47G6A.6,Y47G6A.6,WBGene00021636,Sequence name for WBGene00021636(pcaf-1). History: N.A.
Y47G6A.24,Y47G6A.24,WBGene00021648,Sequence name for WBGene00021648(mis-12). History: N.A.
Y47G6A.1,Y47G6A.1,WBGene00002143,Sequence name for WBGene00002143(inx-21). History: N.A.
H26D21.2,H26D21.2,WBGene00003418,Sequence name for WBGene00003418(msh-2). History: N.A.
C32E8.3,C32E8.3,WBGene00016321,Sequence name for WBGene00016321(tppp-1). History: N.A.
C32E8.8,C32E8.8,WBGene00004217,Sequence name for WBGene00004217(ptr-2). History: Renamed on 2015-03-05
F53F10.5,F53F10.5,WBGene00003797,Sequence name for WBGene00003797(npp-11). History: N.A.
T03F1.8,T03F1.8,WBGene00020190,Sequence name for WBGene00020190(guk-1). History: N.A.
T03F1.12,T03F1.12,WBGene00020193,Public name for WBGene00020193. History: N.A.
T20F5.2,T20F5.2,WBGene00003950,Sequence name for WBGene00003950(pbs-4). History: N.A.
E01A2.6,E01A2.6,WBGene00017088,Sequence name for WBGene00017088(akir-1). History: N.A.
E01A2.1,E01A2.1,WBGene00017084,Public name for WBGene00017084. History: N.A.
R12E2.3,R12E2.3,WBGene00004464,Sequence name for WBGene00004464(rpn-8). History: N.A.
R12E2.1,R12E2.1,WBGene00020030,Sequence name for WBGene00020030(kel-20). History: N.A.
C43E11.7,C43E11.7,WBGene00003584,Sequence name for WBGene00003584(ndx-7). History: N.A.
C43E11.12,C43E11.12,WBGene00016609,Public name for WBGene00016609. History: N.A.
C43E11.9,C43E11.9,WBGene00016607,Public name for WBGene00016607. History: N.A.
Y47D9A.1,Y47D9A.1,WBGene00021628,"Public name for WBGene00021628. History: Split into Y47D9A.7(WBGene00303090). History of WBGene00021628: Split into ""WBGene00303090"" on 2018-03-02"
ZK973.3,ZK973.3,WBGene00022832,Sequence name for WBGene00022832(pdp-1). History: N.A.
ZK973.10,ZK973.10,WBGene00003061,Sequence name for WBGene00003061(lpd-5). History: Renamed on 2008-02-26
C41D11.8,C41D11.8,WBGene00000787,Sequence name for WBGene00000787(cps-6). History: N.A.
C41D11.5,C41D11.5,WBGene00016564,Sequence name for WBGene00016564(cmt-1). History: N.A.
Y119C1B.4,Y119C1B.4,WBGene00022470,Sequence name for WBGene00022470(mrpl-19). History: N.A.
D1007.5,D1007.5,WBGene00017003,Sequence name for WBGene00017003(tmem-39). History: N.A.
D1007.6,D1007.6,WBGene00004479,Sequence name for WBGene00004479(rps-10). History: N.A.
D1007.16,D1007.16,WBGene00017011,Sequence name for WBGene00017011(eaf-1). History: N.A.
C44E4.3,C44E4.3,WBGene00016652,Sequence name for WBGene00016652(got-2.1). History: N.A.
B0041.4,B0041.4,WBGene00004415,Sequence name for WBGene00004415(rpl-4). History: N.A.
B0041.8,B0041.8,WBGene00015011,Public name for WBGene00015011. History: N.A.
B0041.5,B0041.5,WBGene00015009,"Public name for WBGene00015009. History: Split into B0041.12(WBGene00303032). History of WBGene00015009: Split into ""WBGene00303032"" on 2018-03-02"
T04D1.3,T04D1.3,WBGene00006791,Sequence name for WBGene00006791(unc-57). History: N.A.
C10H11.10,C10H11.10,WBGene00015698,Sequence name for WBGene00015698(kca-1). History: N.A.
M04F3.1,M04F3.1,WBGene00019767,Sequence name for WBGene00019767(rpa-2). History: N.A.
F28B3.10,F28B3.10,WBGene00017889,Public name for WBGene00017889. History: N.A.
F54C1.3,F54C1.3,WBGene00003221,Sequence name for WBGene00003221(mes-3). History: N.A.
Y110A7A.13,Y110A7A.13,WBGene00000502,Sequence name for WBGene00000502(chp-1). History: N.A.
Y110A7A.14,Y110A7A.14,WBGene00003924,Sequence name for WBGene00003924(pas-3). History: N.A.
Y110A7A.17,Y110A7A.17,WBGene00003132,Sequence name for WBGene00003132(mat-1). History: Renamed on 2015-03-03
Y110A7A.8,Y110A7A.8,WBGene00022458,Sequence name for WBGene00022458(prp-31). History: Renamed on 2005-03-17
Y110A7A.6,Y110A7A.6,WBGene00022456,Sequence name for WBGene00022456(pfkb-1.1). History: N.A.
Y110A7A.4,Y110A7A.4,WBGene00022455,Sequence name for WBGene00022455(tyms-1). History: Renamed on 2015-03-31
Y110A7A.19,Y110A7A.19,WBGene00002804,Sequence name for WBGene00002804(let-630). History: Renamed on 2014-09-04
B0261.7,B0261.7,WBGene00015095,Public name for WBGene00015095. History: N.A.
C01G8.3,C01G8.3,WBGene00000965,Sequence name for WBGene00000965(dhs-1). History: N.A.
C01G8.6,C01G8.6,WBGene00015313,Sequence name for WBGene00015313(hpo-32). History: N.A.
C30H7.2,C30H7.2,WBGene00016278,Sequence name for WBGene00016278(erp-44.1). History: N.A.
F27C1.7,F27C1.7,WBGene00000230,"Sequence name for WBGene00000230(atp-3). History: N.A.. Public name for Dead gene WBGene00017856. History of WBGene00017856: Merged into ""WBGene00000230"" on 2005-08-31"
C09D4.5,C09D4.5,WBGene00004431,Sequence name for WBGene00004431(rpl-19). History: N.A.
F59A3.2,F59A3.2,WBGene00019075,"Public name for WBGene00019075. History: Split into F59A3.12(WBGene00185086). History of WBGene00019075: Split into ""WBGene00185086"" on 2009-03-13"
M01A10.3,M01A10.3,WBGene00019693,Sequence name for WBGene00019693(ostd-1). History: N.A.
M01E11.6,M01E11.6,WBGene00002225,Sequence name for WBGene00002225(klp-15). History: N.A.
M01E11.2,M01E11.2,WBGene00019711,Sequence name for WBGene00019711(ctnb-1). History: N.A.
M01E11.1,M01E11.1,WBGene00019710,Public name for WBGene00019710. History: N.A.
F46F11.6,F46F11.6,WBGene00018509,Sequence name for WBGene00018509(xrep-4). History: N.A.
F46F11.2,F46F11.2,WBGene00000473,Sequence name for WBGene00000473(cey-2). History: N.A.
F56H1.4,F56H1.4,WBGene00004505,Sequence name for WBGene00004505(rpt-5). History: N.A.
B0414.3,B0414.3,WBGene00001856,Sequence name for WBGene00001856(hil-5). History: Renamed on 2010-11-12
C32F10.8,C32F10.8,WBGene00016333,Public name for WBGene00016333. History: N.A.
B0207.4,B0207.4,WBGene00000099,Sequence name for WBGene00000099(air-2). History: N.A.
T09B4.1,T09B4.1,WBGene00020375,Sequence name for WBGene00020375(pigv-1). History: Renamed on 2013-11-11
T08B2.9,T08B2.9,WBGene00001497,Sequence name for WBGene00001497(fars-1). History: Renamed on 2010-01-29; Renamed on 2015-03-04
T08B2.10,T08B2.10,WBGene00004486,Sequence name for WBGene00004486(rps-17). History: N.A.
F26B1.2,F26B1.2,WBGene00017816,Sequence name for WBGene00017816(hrpk-1). History: N.A.
K04F10.3,K04F10.3,WBGene00019396,Public name for WBGene00019396. History: N.A.
T23H2.3,T23H2.3,WBGene00020742,Public name for WBGene00020742. History: N.A.
K06A5.7,K06A5.7,WBGene00000386,Sequence name for WBGene00000386(cdc-25.1). History: N.A.
C55B7.9,C55B7.9,WBGene00007018,Sequence name for WBGene00007018(mdt-18). History: Renamed on 2015-03-05
T10E9.7,T10E9.7,WBGene00020417,"Sequence name for WBGene00020417(nuo-2). History: Split into T10E9.14(WBGene00271694). History of WBGene00020417: Renamed on 2008-02-26; Renamed on 2015-03-02; Split into ""WBGene00271694"" on 2017-04-28"
F57B10.14,F57B10.14,WBGene00019007,Sequence name for WBGene00019007(ucr-11). History: N.A.
F57B10.10,F57B10.10,WBGene00000896,Sequence name for WBGene00000896(dad-1). History: N.A.
F57B10.5,F57B10.5,WBGene00019003,Sequence name for WBGene00019003(tmed-3). History: N.A.
E02D9.1,E02D9.1,WBGene00017098,"Sequence name for WBGene00017098(mek-5). History: Split into E02D9.3(WBGene00304811). History of WBGene00017098: Split into ""WBGene00304811"" on 2019-05-20"
K02F2.2,K02F2.2,WBGene00019322,Sequence name for WBGene00019322(ahcy-1). History: Renamed on 2005-02-01; Renamed on 2015-03-05
H27M09.2,H27M09.2,WBGene00019246,Sequence name for WBGene00019246(rpb-5). History: Renamed on 2015-03-04
T21G5.3,T21G5.3,WBGene00001598,Sequence name for WBGene00001598(glh-1). History: N.A.
C48B6.2,C48B6.2,WBGene00016740,Public name for WBGene00016740. History: N.A.
T10B11.3,T10B11.3,WBGene00020399,Sequence name for WBGene00020399(ztf-4). History: N.A.
C30F12.4,C30F12.4,WBGene00016263,Public name for WBGene00016263. History: N.A.
H06O01.1,H06O01.1,WBGene00003964,Sequence name for WBGene00003964(pdi-3). History: N.A.
F15C11.2,F15C11.2,WBGene00008852,Sequence name for WBGene00008852(ubql-1). History: N.A.
W01A8.4,W01A8.4,WBGene00012166,Sequence name for WBGene00012166(nuo-6). History: N.A.
F22D6.9,F22D6.9,WBGene00009054,Public name for WBGene00009054. History: N.A.
K10D3.3,K10D3.3,WBGene00006394,Sequence name for WBGene00006394(taf-11.2). History: N.A.
K07G5.6,K07G5.6,WBGene00010645,Sequence name for WBGene00010645(fecl-1). History: N.A.
R06C7.1,R06C7.1,WBGene00011061,Sequence name for WBGene00011061(wago-1). History: N.A.
R06C7.8,R06C7.8,WBGene00000275,Sequence name for WBGene00000275(bub-1). History: N.A.
F13G3.11,F13G3.11,WBGene00008769,Sequence name for WBGene00008769(mrpl-13). History: N.A.
F07A5.1,F07A5.1,WBGene00002136,Sequence name for WBGene00002136(inx-14). History: N.A.
T25G3.2,T25G3.2,WBGene00000496,Sequence name for WBGene00000496(chs-1). History: N.A.
D2030.1,D2030.1,WBGene00008411,Sequence name for WBGene00008411(mans-1). History: N.A.
D2030.4,D2030.4,WBGene00008414,Public name for WBGene00008414. History: N.A.
D2030.6,D2030.6,WBGene00004178,"Sequence name for WBGene00004178(prg-1). History: N.A.. Public name for Dead gene WBGene00008416. History of WBGene00008416: Merged into ""WBGene00004178"" on 2007-11-05"
F26A3.1,F26A3.1,WBGene00009140,Public name for WBGene00009140. History: N.A.
T23G11.3,T23G11.3,WBGene00001595,Sequence name for WBGene00001595(gld-1). History: N.A.
T23G11.2,T23G11.2,WBGene00001647,Sequence name for WBGene00001647(gna-2). History: N.A.
F27D4.1,F27D4.1,WBGene00009187,Public name for WBGene00009187. History: N.A.
F27D4.2,F27D4.2,WBGene00009188,"Sequence name for WBGene00009188(lsy-22). History: Split into F27D4.12(WBGene00303056). History of WBGene00009188: Split into ""WBGene00303056"" on 2018-03-02"
F27D4.7,F27D4.7,WBGene00009191,Public name for WBGene00009191. History: N.A.
F27D4.5,F27D4.5,WBGene00006518,Sequence name for WBGene00006518(bckd-1B). History: Renamed on 2016-11-29
H15N14.2,H15N14.2,WBGene00003818,Sequence name for WBGene00003818(nsf-1). History: N.A.
F30F8.1,F30F8.1,WBGene00009270,Public name for WBGene00009270. History: N.A.
F20G4.3,F20G4.3,WBGene00003777,Sequence name for WBGene00003777(nmy-2). History: N.A.
T22C1.1,T22C1.1,WBGene00011912,Public name for WBGene00011912. History: N.A.
C54G4.8,C54G4.8,WBGene00000869,Sequence name for WBGene00000869(cyc-1). History: N.A.
K04G2.1,K04G2.1,WBGene00010560,Sequence name for WBGene00010560(eif-2beta). History: Renamed on 2017-01-09
K04G2.2,K04G2.2,WBGene00045192,"Sequence name for WBGene00045192(aho-3). History: N.A.. Public name for Dead gene WBGene00010561. History of WBGene00010561: Merged into ""WBGene00045192"" on 2012-04-27"
K04G2.11,K04G2.11,WBGene00010569,Sequence name for WBGene00010569(scbp-2). History: N.A.
T02E1.3,T02E1.3,WBGene00011376,Sequence name for WBGene00011376(gla-3). History: N.A.
T02E1.2,T02E1.2,WBGene00011375,Public name for WBGene00011375. History: N.A.
ZK265.9,ZK265.9,WBGene00044094,Sequence name for WBGene00044094(fitm-2). History: N.A.
ZK265.6,ZK265.6,WBGene00013958,Sequence name for WBGene00013958(nol-16). History: N.A.
F52B5.2,F52B5.2,WBGene00009921,Public name for WBGene00009921. History: N.A.
F52B5.6,F52B5.6,WBGene00004439,Sequence name for WBGene00004439(rpl-25.2). History: N.A.
F02E9.10,F02E9.10,WBGene00008533,Public name for WBGene00008533. History: N.A.
F02E9.9,F02E9.9,WBGene00008532,Sequence name for WBGene00008532(dpt-1). History: N.A.
F10D11.1,F10D11.1,WBGene00004931,Sequence name for WBGene00004931(sod-2). History: N.A.
D1081.7,D1081.7,WBGene00008385,Sequence name for WBGene00008385(lotr-1). History: N.A.
R05D11.3,R05D11.3,WBGene00004305,Sequence name for WBGene00004305(ran-4). History: N.A.
R05D11.5,R05D11.5,WBGene00011033,Sequence name for WBGene00011033(tmem-208). History: N.A.
R05D11.7,R05D11.7,WBGene00011035,Sequence name for WBGene00011035(snrp-27). History: N.A.
R05D11.8,R05D11.8,WBGene00011036,Sequence name for WBGene00011036(edc-3). History: N.A.
F43G9.1,F43G9.1,WBGene00009664,Sequence name for WBGene00009664(idha-1). History: N.A.
F39H2.3,F39H2.3,WBGene00009563,Public name for WBGene00009563. History: N.A.
C36B1.3,C36B1.3,WBGene00007971,"Sequence name for WBGene00007971(rpb-3). History: Split into C36B1.14(WBGene00044614), B0252.8(WBGene00044615). History of WBGene00007971: Split into ""WBGene00044615"" on 2005-08-22"
C36B1.5,C36B1.5,WBGene00007972,Sequence name for WBGene00007972(prp-4). History: N.A.
C36B1.12,C36B1.12,WBGene00007979,Sequence name for WBGene00007979(imp-1). History: N.A.
DY3.1,DY3.1,WBGene00006574,Sequence name for WBGene00006574(tin-13). History: N.A.
F36A2.6,F36A2.6,WBGene00004484,Sequence name for WBGene00004484(rps-15). History: N.A.
F36A2.9,F36A2.9,WBGene00009456,Public name for WBGene00009456. History: N.A.
ZK858.3,ZK858.3,WBGene00014117,Sequence name for WBGene00014117(clec-91). History: N.A.
ZK858.4,ZK858.4,WBGene00003209,Sequence name for WBGene00003209(mel-26). History: N.A.
ZK858.6,ZK858.6,WBGene00014119,Public name for WBGene00014119. History: N.A.
C45G3.5,C45G3.5,WBGene00044008,Sequence name for WBGene00044008(gip-2). History: N.A.
VF36H2L.1,VF36H2L.1,WBGene00000147,Sequence name for WBGene00000147(aph-1). History: N.A.
F14B4.2,F14B4.2,WBGene00008780,Sequence name for WBGene00008780(hxk-1). History: N.A.
C12C8.3,C12C8.3,WBGene00003026,Sequence name for WBGene00003026(lin-41). History: Renamed on 2005-08-24
C17E4.3,C17E4.3,WBGene00007643,Sequence name for WBGene00007643(marc-3). History: N.A.
C17E4.9,C17E4.9,WBGene00007646,Sequence name for WBGene00007646(nkb-1). History: N.A.
F30A10.6,F30A10.6,WBGene00009264,Sequence name for WBGene00009264(sac-1). History: N.A.
C41G7.1,C41G7.1,WBGene00004887,Sequence name for WBGene00004887(smn-1). History: N.A.
K07A1.1,K07A1.1,WBGene00010608,"Public name for WBGene00010608. History: Split into K07A1.17(WBGene00044987). History of WBGene00010608: Split into ""WBGene00044987"" on 2006-09-04"
K07A1.2,K07A1.2,WBGene00010609,Sequence name for WBGene00010609(dut-1). History: N.A.
K07A1.11,K07A1.11,WBGene00004312,Sequence name for WBGene00004312(rba-1). History: N.A.
K07A1.12,K07A1.12,WBGene00003036,Sequence name for WBGene00003036(lin-53). History: N.A.
T05F1.1,T05F1.1,WBGene00011488,Sequence name for WBGene00011488(nra-2). History: N.A.
T05F1.2,T05F1.2,WBGene00011489,Public name for WBGene00011489. History: N.A.
C03D6.6,C03D6.6,WBGene00007278,Sequence name for WBGene00007278(lab-1). History: N.A.
C03D6.5,C03D6.5,WBGene00007277,Sequence name for WBGene00007277(asfl-1). History: N.A.
C04F12.4,C04F12.4,WBGene00004426,Sequence name for WBGene00004426(rpl-14). History: N.A.
C04F12.10,C04F12.10,WBGene00001405,Sequence name for WBGene00001405(fce-1). History: N.A.
F26E4.8,F26E4.8,WBGene00006528,Sequence name for WBGene00006528(tba-1). History: N.A.
F26E4.9,F26E4.9,WBGene00000371,Sequence name for WBGene00000371(cox-5B). History: Renamed on 2017-09-05
K10C3.2,K10C3.2,WBGene00010730,Sequence name for WBGene00010730(ensa-1). History: N.A.
T24D1.1,T24D1.1,WBGene00005023,"Sequence name for WBGene00005023(sqv-5). History: Split into T24D1.7(WBGene00303082). History of WBGene00005023: Split into ""WBGene00303082"" on 2018-03-02"
T23D8.4,T23D8.4,WBGene00001226,Sequence name for WBGene00001226(eif-3.C). History: N.A.
C25A1.4,C25A1.4,WBGene00045383,Sequence name for WBGene00045383(sup-46). History: N.A.
C25A1.6,C25A1.6,WBGene00007708,Sequence name for WBGene00007708(nola-3). History: N.A.
C25A1.8,C25A1.8,WBGene00007709,Sequence name for WBGene00007709(clec-87). History: Renamed on 2006-06-15
C25A1.9,C25A1.9,WBGene00007710,Sequence name for WBGene00007710(rsa-1). History: N.A.
ZC434.2,ZC434.2,WBGene00004476,Sequence name for WBGene00004476(rps-7). History: N.A.
ZC434.5,ZC434.5,WBGene00001337,Sequence name for WBGene00001337(ears-1). History: Renamed on 2010-01-29
ZC434.8,ZC434.8,WBGene00013894,Public name for WBGene00013894. History: N.A.
F25D7.4,F25D7.4,WBGene00009113,Sequence name for WBGene00009113(maph-1.2). History: N.A.
Y106G6H.3,Y106G6H.3,WBGene00004444,Sequence name for WBGene00004444(rpl-30). History: N.A.
Y106G6H.14,Y106G6H.14,WBGene00013724,Public name for WBGene00013724. History: N.A.
F25H2.4,F25H2.4,WBGene00009118,Public name for WBGene00009118. History: N.A.
F25H2.5,F25H2.5,WBGene00009119,Sequence name for WBGene00009119(ndk-1). History: N.A.
F25H2.9,F25H2.9,WBGene00003926,Sequence name for WBGene00003926(pas-5). History: Renamed on 2009-01-09
F25H2.11,F25H2.11,WBGene00009122,Sequence name for WBGene00009122(tct-1). History: N.A.
T22A3.3,T22A3.3,WBGene00003083,Sequence name for WBGene00003083(lst-1). History: N.A.
B0511.6,B0511.6,WBGene00015232,Public name for WBGene00015232. History: N.A.
B0511.7,B0511.7,WBGene00015233,Public name for WBGene00015233. History: N.A.
B0511.8,B0511.8,WBGene00044321,"Sequence name for WBGene00044321(mrps-30). History: Renamed on 2011-06-10. Public name for Dead gene WBGene00015234. History of WBGene00015234: Merged into ""WBGene00044321"" on 2006-06-29"
C34B2.10,C34B2.10,WBGene00016395,Sequence name for WBGene00016395(spcs-1). History: Renamed on 2005-03-17
C34B2.7,C34B2.7,WBGene00016392,Sequence name for WBGene00016392(sdha-2). History: N.A.
C34B2.2,C34B2.2,WBGene00016387,Sequence name for WBGene00016387(kbp-5). History: N.A.
B0205.3,B0205.3,WBGene00004466,Sequence name for WBGene00004466(rpn-10). History: N.A.
B0205.7,B0205.7,WBGene00002191,Sequence name for WBGene00002191(kin-3). History: N.A.
B0205.6,B0205.6,WBGene00015021,Sequence name for WBGene00015021(nfs-1). History: N.A.
T27C10.3,T27C10.3,WBGene00020858,Sequence name for WBGene00020858(mop-25.3). History: N.A.
Y52B11A.3,Y52B11A.3,WBGene00013123,Public name for WBGene00013123. History: N.A.
Y53H1C.1,Y53H1C.1,WBGene00000010,Sequence name for WBGene00000010(aat-9). History: N.A.
C27C7.1,C27C7.1,WBGene00007766,Public name for WBGene00007766. History: N.A.
R09B3.3,R09B3.3,WBGene00011156,Sequence name for WBGene00011156(rbm-3.2). History: N.A.
R09B3.4,R09B3.4,WBGene00006707,Sequence name for WBGene00006707(ubc-12). History: N.A.
R09B3.5,R09B3.5,WBGene00003123,Sequence name for WBGene00003123(mag-1). History: N.A.
F58D5.1,F58D5.1,WBGene00002000,Sequence name for WBGene00002000(hrpr-1). History: Renamed on 2019-11-21
T27F6.4,T27F6.4,WBGene00012104,Sequence name for WBGene00012104(sygl-1). History: N.A.
K11D2.3,K11D2.3,WBGene00006829,Sequence name for WBGene00006829(unc-101). History: N.A.
W02D9.1,W02D9.1,WBGene00004181,Sequence name for WBGene00004181(pri-2). History: N.A.
W02D9.2,W02D9.2,WBGene00012208,Public name for WBGene00012208. History: N.A.
H28O16.1,H28O16.1,WBGene00010419,Sequence name for WBGene00010419(atp-1). History: Renamed on 2005-03-17
T06G6.9,T06G6.9,WBGene00006889,Sequence name for WBGene00006889(pfd-3). History: Renamed on 2006-08-02
Y18D10A.11,Y18D10A.11,WBGene00012481,Public name for WBGene00012481. History: N.A.
Y18D10A.16,Y18D10A.16,WBGene00012483,Sequence name for WBGene00012483(coa-5). History: N.A.
Y18D10A.17,Y18D10A.17,WBGene00012484,Sequence name for WBGene00012484(car-1). History: Renamed on 2005-12-05
C47B2.3,C47B2.3,WBGene00006529,Sequence name for WBGene00006529(tba-2). History: N.A.
C47B2.4,C47B2.4,WBGene00003948,Sequence name for WBGene00003948(pbs-2). History: N.A.
C47B2.5,C47B2.5,WBGene00001234,Sequence name for WBGene00001234(eif-6). History: N.A.
M01E5.3,M01E5.3,WBGene00010806,Public name for WBGene00010806. History: N.A.
W08E3.1,W08E3.1,WBGene00004915,Sequence name for WBGene00004915(snr-2). History: N.A.
W08E3.3,W08E3.3,WBGene00012344,Sequence name for WBGene00012344(ola-1). History: Renamed on 2012-12-21
Y40B1B.5,Y40B1B.5,WBGene00012738,Sequence name for WBGene00012738(eif-3.J). History: N.A.
Y48G10A.2,Y48G10A.2,WBGene00013019,Public name for WBGene00013019. History: N.A.
Y87G2A.5,Y87G2A.5,WBGene00006936,Sequence name for WBGene00006936(glp-4). History: Renamed on 2010-01-29; Renamed on 2015-10-07
Y87G2A.9,Y87G2A.9,WBGene00006709,Sequence name for WBGene00006709(ubc-14). History: N.A.
Y87G2A.10,Y87G2A.10,WBGene00013598,Sequence name for WBGene00013598(vps-28). History: N.A.
W09C5.2,W09C5.2,WBGene00006793,Sequence name for WBGene00006793(unc-59). History: N.A.
W09C5.6,W09C5.6,WBGene00004445,Sequence name for WBGene00004445(rpl-31). History: N.A.
Y71A12B.1,Y71A12B.1,WBGene00004475,Sequence name for WBGene00004475(rps-6). History: N.A.
Y105E8A.16,Y105E8A.16,WBGene00004489,Sequence name for WBGene00004489(rps-20). History: N.A.
Y54E5A.5,Y54E5A.5,WBGene00013200,Public name for WBGene00013200. History: N.A.
K05C4.1,K05C4.1,WBGene00003951,Sequence name for WBGene00003951(pbs-5). History: N.A.
K05C4.2,K05C4.2,WBGene00010579,Public name for WBGene00010579. History: N.A.
K05C4.7,K05C4.7,WBGene00010583,Public name for WBGene00010583. History: N.A.
K05C4.6,K05C4.6,WBGene00001979,Sequence name for WBGene00001979(hmp-2). History: Renamed on 2011-04-19
ZK270.2,ZK270.2,WBGene00001488,Sequence name for WBGene00001488(frm-1). History: N.A.
F33H2.2,F33H2.2,WBGene00009366,Public name for WBGene00009366. History: N.A.
F33H2.3,F33H2.3,WBGene00009367,Public name for WBGene00009367. History: N.A.
MTCE.35,MTCE.35,WBGene00010967,Sequence name for WBGene00010967(nduo-5). History: N.A.
F56E10.4,F56E10.4,WBGene00004496,Sequence name for WBGene00004496(rps-27). History: N.A.
W03F9.10,W03F9.10,WBGene00021004,Sequence name for WBGene00021004(sftb-2). History: N.A.
W03F9.5,W03F9.5,WBGene00006648,Sequence name for WBGene00006648(ttb-1). History: N.A.
R09A1.1,R09A1.1,WBGene00019971,Sequence name for WBGene00019971(ergo-1). History: N.A.
T10B5.3,T10B5.3,WBGene00020389,Public name for WBGene00020389. History: N.A.
T10B5.5,T10B5.5,WBGene00020391,Sequence name for WBGene00020391(cct-7). History: N.A.
Y40B10A.1,Y40B10A.1,WBGene00021486,Sequence name for WBGene00021486(lbp-9). History: N.A.
