# Curated list of genes misregulated in the rde-4 [ne299 and ne337] strains relative to the N2 strain. The uncurated output from the microarray analysis software package GeneSifter is presented in worksheet ""rde-4 raw data""
gene,affy_id,fold change,direction,Input,Suggested Match,History
C03A7.11,173620_s_at,2.58,Up,C03A7.11,WBGene00015369,Sequence name for WBGene00015369(ugt-51). History: N.A.
ZK6.10,175170_s_at,2.57,Up,ZK6.10,WBGene00022644,Sequence name for WBGene00022644(dod-19). History: N.A.
F01D5.5,178262_at,2.47,Up,F01D5.5,WBGene00008495,Public name for WBGene00008495. History: N.A.
C29F9.3,183630_at,2.45,Up,C29F9.3,WBGene00016218,Sequence name for WBGene00016218(pals-23). History: N.A.
F15B9.5,173409_s_at,2.45,Up,F15B9.5,WBGene00008849,Sequence name for WBGene00008849(try-10). History: Split into F15B9.10(WBGene00045418). History of WBGene00008849: N.A.
Y106G6G.4,186475_at,2.44,Up,Y106G6G.4,WBGene00013713,Public name for WBGene00013713. History: N.A.
ZK228.4,179599_at,2.44,Up,ZK228.4,WBGene00013947,Public name for WBGene00013947. History: N.A.
C05C10.4,189921_at,2.43,Up,C05C10.4,WBGene00007331,Sequence name for WBGene00007331(pho-11). History: N.A.
F13D12.2,192972_at,2.43,Up,F13D12.2,WBGene00002262,Sequence name for WBGene00002262(ldh-1). History: N.A.
F23B2.12,191298_s_at,2.43,Up,F23B2.12,WBGene00003957,Sequence name for WBGene00003957(pcp-2). History: N.A.
B0365.6,189915_s_at,2.42,Up,B0365.6,WBGene00007153,Sequence name for WBGene00007153(clec-41). History: N.A.
Y74C10AR.1,176491_at,2.42,Up,Y74C10AR.1,WBGene00001232,Sequence name for WBGene00001232(eif-3.I). History: N.A.
Y53H1B.1,188381_s_at,2.41,Up,Y53H1B.1,WBGene00013180,Sequence name for WBGene00013180(cutl-10). History: N.A.
T04C4.1,175468_at,2.39,Up,T04C4.1,WBGene00020208,Sequence name for WBGene00020208(fnip-2). History: Renamed on 2020-01-28
T02B5.3,189296_s_at,2.37,Up,T02B5.3,WBGene00011364,Sequence name for WBGene00011364(cest-1.2). History: N.A.
C01C10.3,187734_s_at,2.36,Up,C01C10.3,WBGene00015295,Sequence name for WBGene00015295(acl-12). History: N.A.
C37A5.7,178905_s_at,2.34,Up,C37A5.7,WBGene00007991,Public name for WBGene00007991. History: N.A.
Y45G12C.2,187084_at,2.34,Up,Y45G12C.2,WBGene00001758,Sequence name for WBGene00001758(gst-10). History: N.A.
K07B1.8,173277_at,2.33,Up,K07B1.8,,Public name for Dead gene WBGene00019468. History of WBGene00019468: Killed on 2014-09-18. Remark: [141009 gw3] Removed this gene as there is no evidence for it.
T16A9.1,172276_x_at,2.31,Up,T16A9.1,,Sequence name for Suppressed gene WBGene00011792. Molecular name for Suppressed gene WBGene00011792. Public name for Suppressed gene WBGene00011792. History of WBGene00011792: Killed on 2006-10-31; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
R05D8.7,184068_at,2.3,Up,R05D8.7,WBGene00019885,Public name for WBGene00019885. History: N.A.
F01D5.9,173698_s_at,2.29,Up,F01D5.9,WBGene00008499,Sequence name for WBGene00008499(cyp-37A1). History: Renamed on 2018-09-18
Y37H2A.4,182411_at,2.29,Up,Y37H2A.4,WBGene00012564,Sequence name for WBGene00012564(fbxa-107). History: N.A.
AC3.8,190895_at,2.28,Up,AC3.8,WBGene00007073,Sequence name for WBGene00007073(ugt-2). History: N.A.
C17H12.8,184533_at,2.28,Up,C17H12.8,WBGene00015933,Public name for WBGene00015933. History: N.A.
Y47H10A.5,186390_at,2.28,Up,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
R11G11.7,185021_at,2.26,Up,R11G11.7,WBGene00004144,Sequence name for WBGene00004144(pqn-60). History: N.A.
T22B7.3,181552_at,2.25,Up,T22B7.3,WBGene00020672,Public name for WBGene00020672. History: N.A.
C31A11.5,182733_at,2.24,Up,C31A11.5,WBGene00007833,Sequence name for WBGene00007833(oac-6). History: N.A.
F45E1.4,182286_at,2.22,Up,F45E1.4,WBGene00018465,Public name for WBGene00018465. History: N.A.
T26C5.1,190852_at,2.21,Up,T26C5.1,WBGene00001761,Sequence name for WBGene00001761(gst-13). History: N.A.
F39E9.11,175311_s_at,2.19,Up,F39E9.11,WBGene00018200,Sequence name for WBGene00018200(btb-17). History: N.A.
F35E12.8,179914_at,2.17,Up,F35E12.8,WBGene00009432,Sequence name for WBGene00009432(cld-9). History: N.A.
Y54G2A.6,173144_at,2.17,Up,Y54G2A.6,WBGene00021872,Sequence name for WBGene00021872(clec-85). History: N.A.
C06G8.1,179164_at,2.16,Up,C06G8.1,WBGene00007384,Sequence name for WBGene00007384(swt-3). History: N.A.
C34H4.2,183115_at,2.16,Up,C34H4.2,WBGene00016425,Public name for WBGene00016425. History: N.A.
C37H5.8,192644_at,2.16,Up,C37H5.8,WBGene00002010,Sequence name for WBGene00002010(hsp-6). History: N.A.
E04F6.7,190377_s_at,2.16,Up,E04F6.7,WBGene00000971,Sequence name for WBGene00000971(dhs-7). History: N.A.
ZC204.12,184174_at,2.15,Up,ZC204.12,WBGene00022562,Public name for WBGene00022562. History: N.A.
F09B9.1,177903_s_at,2.14,Up,F09B9.1,WBGene00008602,Sequence name for WBGene00008602(oac-14). History: N.A.
F53C3.12,186270_s_at,2.13,Up,F53C3.12,WBGene00018755,Sequence name for WBGene00018755(bcmo-2). History: N.A.
F58F9.7,173911_s_at,2.13,Up,F58F9.7,WBGene00019060,Sequence name for WBGene00019060(acox-3). History: Renamed on 2017-01-05
Y54E5A.1,180039_at,2.13,Up,Y54E5A.1,WBGene00013197,Sequence name for WBGene00013197(ttm-5). History: N.A.
ZK550.2,179513_at,2.13,Up,ZK550.2,WBGene00013996,Public name for WBGene00013996. History: N.A.
K09H9.7,184157_at,2.12,Up,K09H9.7,WBGene00019598,Public name for WBGene00019598. History: N.A.
T19C4.6,193462_at,2.12,Up,T19C4.6,WBGene00001663,Sequence name for WBGene00001663(gpa-1). History: N.A.
T28H10.3,192181_at,2.11,Up,T28H10.3,WBGene00012144,Sequence name for WBGene00012144(lgmn-1). History: N.A.
F46H5.8,180622_at,2.1,Up,F46H5.8,WBGene00018523,Sequence name for WBGene00018523(lact-1). History: N.A.
R03G8.3,177693_at,2.1,Up,R03G8.3,WBGene00010998,Public name for WBGene00010998. History: N.A.
T19D12.2,192012_s_at,2.08,Up,T19D12.2,WBGene00020577,Public name for WBGene00020577. History: N.A.
ZK896.7,189160_at,2.08,Up,ZK896.7,WBGene00014138,Sequence name for WBGene00014138(clec-186). History: N.A.
F49E11.10,192737_at,2.07,Up,F49E11.10,WBGene00009895,Sequence name for WBGene00009895(scl-2). History: N.A.
B0491.3,179134_s_at,2.06,Up,B0491.3,WBGene00007190,Sequence name for WBGene00007190(rmd-3). History: N.A.
K08D8.4,179650_at,2.05,Up,K08D8.4,WBGene00010658,Public name for WBGene00010658. History: N.A.
ZC455.4,191057_s_at,2.05,Up,ZC455.4,WBGene00013904,Sequence name for WBGene00013904(ugt-6). History: N.A.
ZK550.6,186811_s_at,2.04,Up,ZK550.6,WBGene00014000,Public name for WBGene00014000. History: N.A.
C46F2.1,181121_at,2.03,Up,C46F2.1,WBGene00016714,Public name for WBGene00016714. History: N.A.
T24C2.5,177523_at,2.03,Up,T24C2.5,WBGene00011984,Public name for WBGene00011984. History: N.A.
F57G4.7,178161_s_at,2.02,Up,F57G4.7,,"Sequence name for Suppressed gene WBGene00014774. Molecular name for Suppressed gene WBGene00014774. Public name for Suppressed gene WBGene00014774. History of WBGene00014774: Killed on 2010-07-09; Suppressed on 2013-07-30. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene...This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene."
F59A1.10,183744_at,2.02,Up,F59A1.10,WBGene00010296,Sequence name for WBGene00010296(dgat-2). History: N.A.
Y105C5B.9,185162_at,2.02,Up,Y105C5B.9,WBGene00013650,Public name for WBGene00013650. History: N.A.
F02C12.1,180888_at,2.0,Up,F02C12.1,WBGene00008515,Public name for WBGene00008515. History: N.A.
F54D5.4,178820_at,2.0,Up,F54D5.4,WBGene00010050,Public name for WBGene00010050. History: N.A.
Y17D7B.4,182439_at,2.0,Up,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
F28D9.4,179040_at,1.99,Up,F28D9.4,WBGene00009220,"Public name for WBGene00009220. History: Split into pigl-1(WBGene00013131). History of WBGene00009220: Split into ""WBGene00013131"" on 2010-03-11"
R186.1,177253_at,1.99,Up,R186.1,WBGene00011305,Sequence name for WBGene00011305(hrg-9). History: N.A.
T07E3.4,182597_at,1.99,Up,T07E3.4,WBGene00020315,Public name for WBGene00020315. History: N.A.
C34D4.3,180997_at,1.98,Up,C34D4.3,WBGene00016399,Public name for WBGene00016399. History: N.A.
Y22F5A.4,182989_at,1.98,Up,Y22F5A.4,WBGene00003090,Sequence name for WBGene00003090(lys-1). History: N.A.
C25E10.8,185690_at,1.97,Up,C25E10.8,WBGene00016097,Public name for WBGene00016097. History: N.A.
C44C11.1,173434_at,1.97,Up,C44C11.1,WBGene00004310,Sequence name for WBGene00004310(ras-1). History: N.A.
W05H9.1,179806_at,1.97,Up,W05H9.1,WBGene00021048,Public name for WBGene00021048. History: N.A.
F40F12.7,183561_s_at,1.96,Up,F40F12.7,WBGene00009595,Sequence name for WBGene00009595(cbp-3). History: N.A.
F59A7.2,183014_at,1.96,Up,F59A7.2,WBGene00019090,Public name for WBGene00019090. History: N.A.
M02B1.2,178232_at,1.96,Up,M02B1.2,WBGene00010827,Sequence name for WBGene00010827(txt-19). History: N.A.
ZC376.3,189341_s_at,1.95,Up,ZC376.3,WBGene00013875,Sequence name for WBGene00013875(cest-2.1). History: N.A.
F32B5.6,175000_at,1.94,Up,F32B5.6,WBGene00017979,Public name for WBGene00017979. History: N.A.
C03E10.5,182545_at,1.93,Up,C03E10.5,WBGene00007282,Sequence name for WBGene00007282(clec-223). History: N.A.
D1009.1,192034_s_at,1.93,Up,D1009.1,WBGene00017012,Sequence name for WBGene00017012(acs-22). History: N.A.
F21A3.2,189261_at,1.93,Up,F21A3.2,WBGene00008992,"Public name for WBGene00008992. History: Split into F21A3.11(WBGene00219316). History of WBGene00008992: Split into ""WBGene00219316"" on 2011-11-21"
F23F12.12,171769_x_at,1.93,Up,F23F12.12,WBGene00017756,Public name for WBGene00017756. History: N.A.
Y57A10A.30,187743_at,1.93,Up,Y57A10A.30,WBGene00002063,Sequence name for WBGene00002063(ife-5). History: N.A.
ZK1251.2,188538_at,1.93,Up,ZK1251.2,WBGene00002090,Sequence name for WBGene00002090(ins-7). History: N.A.
K06B9.1,189292_at,1.92,Up,K06B9.1,WBGene00019438,Sequence name for WBGene00019438(cyp-25A6). History: N.A.
T01B11.2,190153_s_at,1.91,Up,T01B11.2,WBGene00020139,Sequence name for WBGene00020139(eppl-1). History: N.A.
T22G5.2,192878_at,1.91,Up,T22G5.2,WBGene00002259,Sequence name for WBGene00002259(lbp-7). History: N.A.
W05H9.3,172303_x_at,1.91,Up,W05H9.3,WBGene00021050,Public name for WBGene00021050. History: N.A.
Y53F4B.33,191337_at,1.91,Up,Y53F4B.33,WBGene00001787,Sequence name for WBGene00001787(gst-39). History: N.A.
ZK287.3,179609_at,1.91,Up,ZK287.3,WBGene00013964,Sequence name for WBGene00013964(nlp-73). History: N.A.
F14H3.12,180211_at,1.9,Up,F14H3.12,WBGene00008831,Public name for WBGene00008831. History: N.A.
F35C5.5,194056_s_at,1.9,Up,F35C5.5,WBGene00009393,Sequence name for WBGene00009393(clec-62). History: N.A.
F37B4.2,193213_at,1.9,Up,F37B4.2,WBGene00002055,Sequence name for WBGene00002055(ifc-1). History: N.A.
F53A9.8,180612_s_at,1.9,Up,F53A9.8,WBGene00018731,Public name for WBGene00018731. History: N.A.
K07F5.9,172669_x_at,1.9,Up,K07F5.9,WBGene00006039,Sequence name for WBGene00006039(ssp-10). History: N.A.
W04A4.2,179165_at,1.9,Up,W04A4.2,WBGene00012231,Public name for WBGene00012231. History: N.A.
W06A11.4,186226_at,1.9,Up,W06A11.4,WBGene00021055,Public name for WBGene00021055. History: N.A.
ZK1073.1,175310_s_at,1.9,Up,ZK1073.1,WBGene00014213,Public name for WBGene00014213. History: N.A.
C18H9.6,187412_at,1.89,Up,C18H9.6,WBGene00016004,Public name for WBGene00016004. History: N.A.
C39H7.1,189054_at,1.89,Up,C39H7.1,WBGene00016541,Public name for WBGene00016541. History: N.A.
F31F7.1,183621_at,1.89,Up,F31F7.1,WBGene00017964,Public name for WBGene00017964. History: N.A.
T26C12.6,184328_s_at,1.88,Up,T26C12.6,WBGene00044469,Sequence name for WBGene00044469(clec-173). History: N.A.
C01B10.6,184600_s_at,1.87,Up,C01B10.6,WBGene00015280,Public name for WBGene00015280. History: N.A.
H11L12.1,172299_x_at,1.87,Up,H11L12.1,WBGene00019189,Public name for WBGene00019189. History: N.A.
C30F12.6,187951_at,1.86,Up,C30F12.6,WBGene00016265,Sequence name for WBGene00016265(trhr-1). History: Renamed on 2016-11-29
F37H8.3,192636_at,1.86,Up,F37H8.3,WBGene00009512,Sequence name for WBGene00009512(bigr-1). History: N.A.
F55G11.4,182970_at,1.86,Up,F55G11.4,WBGene00010124,Public name for WBGene00010124. History: N.A.
Y69H2.3,182787_s_at,1.86,Up,Y69H2.3,WBGene00013481,Public name for WBGene00013481. History: N.A.
D1086.1,177496_at,1.85,Up,D1086.1,WBGene00008388,Public name for WBGene00008388. History: N.A.
F16F9.2,173635_at,1.85,Up,F16F9.2,WBGene00001068,Sequence name for WBGene00001068(dpy-6). History: N.A.
T17A3.8,189116_at,1.85,Up,T17A3.8,WBGene00006895,"Sequence name for WBGene00006895(ver-2). History: Split into sqst-5(WBGene00269434). History of WBGene00006895: Split into ""WBGene00269434"" on 2016-04-19"
W04E12.6,193838_s_at,1.85,Up,W04E12.6,WBGene00012251,Sequence name for WBGene00012251(clec-49). History: N.A.
C05D10.4,187862_at,1.84,Up,C05D10.4,WBGene00015480,Public name for WBGene00015480. History: N.A.
F14H12.3,176786_at,1.83,Up,F14H12.3,WBGene00017471,Public name for WBGene00017471. History: N.A.
F39G3.1,190651_at,1.83,Up,F39G3.1,WBGene00018206,Sequence name for WBGene00018206(ugt-61). History: N.A.
Y54G2A.14,177004_s_at,1.83,Up,Y54G2A.14,WBGene00021879,Sequence name for WBGene00021879(clec-83). History: N.A.
ZC395.5,180427_at,1.83,Up,ZC395.5,WBGene00022597,Public name for WBGene00022597. History: N.A.
ZK1193.2,185298_s_at,1.83,Up,ZK1193.2,WBGene00022858,Public name for WBGene00022858. History: N.A.
F21C10.10,186521_at,1.82,Up,F21C10.10,WBGene00017659,Public name for WBGene00017659. History: N.A.
ZK455.7,193924_at,1.82,Up,ZK455.7,WBGene00003997,Sequence name for WBGene00003997(pgp-3). History: N.A.
F57G4.3,172160_x_at,1.81,Up,F57G4.3,,Sequence name for Suppressed gene WBGene00010208. Molecular name for Suppressed gene WBGene00010208. Public name for Suppressed gene WBGene00010208. History of WBGene00010208: Killed on 2006-10-31; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F59F4.1,189597_s_at,1.81,Up,F59F4.1,WBGene00010336,Sequence name for WBGene00010336(acox-1.6). History: Renamed on 2017-01-05
K09C4.5,189646_at,1.81,Up,K09C4.5,WBGene00019550,Public name for WBGene00019550. History: N.A.
R02F2.2,174645_at,1.81,Up,R02F2.2,WBGene00019832,Sequence name for WBGene00019832(osg-1). History: N.A.
B0213.15,189457_at,1.8,Up,B0213.15,WBGene00015044,Sequence name for WBGene00015044(cyp-34A9). History: Renamed on 2004-08-25
C49C3.4,189188_at,1.8,Up,C49C3.4,WBGene00008194,Public name for WBGene00008194. History: N.A.
F10F2.2,193496_s_at,1.8,Up,F10F2.2,WBGene00008654,Sequence name for WBGene00008654(pfas-1). History: N.A.
T02E1.4,188891_at,1.8,Up,T02E1.4,WBGene00000967,"Public name for Dead gene WBGene00011377. History of WBGene00011377: Merged into ""WBGene00000967"" on 2007-04-27"
H20E11.3,186143_at,1.79,Up,H20E11.3,WBGene00019215,Public name for WBGene00019215. History: N.A.
C27H5.4,181334_s_at,1.78,Up,C27H5.4,WBGene00016174,Sequence name for WBGene00016174(mfsd-13.2). History: N.A.
F10D2.11,190849_at,1.78,Up,F10D2.11,WBGene00017336,Sequence name for WBGene00017336(ugt-41). History: N.A.
F55B11.4,182808_s_at,1.78,Up,F55B11.4,WBGene00010086,Public name for WBGene00010086. History: N.A.
R11F4.1,189802_s_at,1.77,Up,R11F4.1,WBGene00020007,Public name for WBGene00020007. History: N.A.
Y32F6B.1,183452_s_at,1.77,Up,Y32F6B.1,WBGene00012531,Public name for WBGene00012531. History: N.A.
Y71H2B.7,186070_at,1.77,Up,Y71H2B.7,WBGene00022196,Sequence name for WBGene00022196(gpa-17). History: N.A.
C08F11.7,183690_at,1.76,Up,C08F11.7,WBGene00007454,Public name for WBGene00007454. History: N.A.
C27C7.1,172213_x_at,1.76,Up,C27C7.1,WBGene00007766,Public name for WBGene00007766. History: N.A.
C34B7.3,189667_at,1.75,Up,C34B7.3,WBGene00007913,Sequence name for WBGene00007913(cyp-36A1). History: N.A.
C34D10.2,174951_at,1.75,Up,C34D10.2,WBGene00016407,"Sequence name for WBGene00016407(unk-1). History: Split into C34D10.5(WBGene00303044). History of WBGene00016407: Split into ""WBGene00303044"" on 2018-03-02"
C42D4.1,180644_at,1.75,Up,C42D4.1,WBGene00016594,Public name for WBGene00016594. History: N.A.
C50C3.7,188670_at,1.75,Up,C50C3.7,WBGene00086546,"Sequence name for WBGene00086546(cil-1). History: N.A.. Public name for Dead gene WBGene00016802. History of WBGene00016802: Merged into ""WBGene00086546"" on 2010-12-15"
ZC328.3,181742_s_at,1.75,Up,ZC328.3,WBGene00022593,Public name for WBGene00022593. History: N.A.
F53H10.2,173811_at,1.74,Up,F53H10.2,WBGene00010012,Sequence name for WBGene00010012(saeg-1). History: N.A.
K06G5.1,179264_at,1.74,Up,K06G5.1,WBGene00010605,Public name for WBGene00010605. History: N.A.
T07C5.1,192148_at,1.74,Up,T07C5.1,WBGene00011564,Sequence name for WBGene00011564(ugt-50). History: N.A.
T21C9.8,190830_at,1.74,Up,T21C9.8,WBGene00011894,Sequence name for WBGene00011894(ttr-23). History: N.A.
T27A3.1,182703_s_at,1.74,Up,T27A3.1,WBGene00020838,Sequence name for WBGene00020838(trak-1). History: N.A.
W03D8.6,188000_at,1.74,Up,W03D8.6,WBGene00002174,Sequence name for WBGene00002174(itx-1). History: N.A.
C05G6.1,182867_at,1.73,Up,C05G6.1,WBGene00015497,Sequence name for WBGene00015497(nhr-76). History: N.A.
C06H5.7,179572_at,1.73,Up,C06H5.7,WBGene00007395,Sequence name for WBGene00007395(dcar-1). History: N.A.
D1054.5,177617_at,1.73,Up,D1054.5,WBGene00008372,Public name for WBGene00008372. History: N.A.
E03E2.1,189413_at,1.73,Up,E03E2.1,WBGene00017108,Sequence name for WBGene00017108(cyp-43A1). History: N.A.
K08A2.1,173312_s_at,1.73,Up,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
T02E1.5,193240_s_at,1.73,Up,T02E1.5,WBGene00000967,Sequence name for WBGene00000967(dhs-3). History: N.A.
C24B5.4,182933_at,1.72,Up,C24B5.4,WBGene00016046,Public name for WBGene00016046. History: N.A.
F40F9.9,190837_at,1.72,Up,F40F9.9,WBGene00000172,Sequence name for WBGene00000172(aqp-4). History: N.A.
F57G4.5,178442_at,1.72,Up,F57G4.5,,Sequence name for Suppressed gene WBGene00010210. Molecular name for Suppressed gene WBGene00010210. Public name for Suppressed gene WBGene00010210. History of WBGene00010210: Killed on 2008-07-18; Suppressed on 2012-11-18. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
K01A2.8,172526_x_at,1.72,Up,K01A2.8,WBGene00019282,Sequence name for WBGene00019282(mps-2). History: N.A.
R08E3.1,191828_at,1.72,Up,R08E3.1,WBGene00019957,Public name for WBGene00019957. History: N.A.
T04B2.5,179175_at,1.72,Up,T04B2.5,WBGene00011423,Sequence name for WBGene00011423(ipla-7). History: N.A.
