# Shown are DESeq2 fold-change values (vs rde-4) for all STGs in whole worm samples.  ""NaN"" stands for: not significatnly different compared to rde-4(-) sample (padjusted >0.1).
genes,P0 generation (Psng-1::rde-4 worms),"rde-4(-), F1 of Psng-1::rde-4 worms","rde-4(-), F3 of Psng-1::rde-4 worms",Input,Suggested Match,History
plx-2,-1.79375840101236,,,plx-2,WBGene00004048,Public name for WBGene00004048. History: N.A.
kal-1,-1.79205709433736,-1.6491075472867,-0.898654811402796,kal-1,WBGene00002181,Public name for WBGene00002181. History: N.A.
C35A5.4,-1.79175883866481,,,C35A5.4,WBGene00007948,Public name for WBGene00007948. History: N.A.
C50H2.7,-1.76417428866269,-1.07881548769457,-1.04857470776272,C50H2.7,WBGene00008243,Public name for WBGene00008243. History: N.A.
AH6.3,-1.76350261357847,,,AH6.3,WBGene00007081,Public name for WBGene00007081. History: N.A.
K09F6.6,-1.76152318924897,,,K09F6.6,WBGene00019589,"Public name for WBGene00019589. History: Split into K09F6.15(WBGene00271744). History of WBGene00019589: Split into ""WBGene00271744"" on 2017-06-29"
ZC204.12,-1.76124226189417,,,ZC204.12,WBGene00022562,Public name for WBGene00022562. History: N.A.
K06A5.8,-1.75411577640365,-2.13802086143756,-1.38789557820291,K06A5.8,WBGene00019434,Sequence name for WBGene00019434(nmtn-1). History: N.A.
F32B5.3,-1.7448867482448,-0.987943059555206,-1.05126540179387,F32B5.3,WBGene00017977,Public name for WBGene00017977. History: N.A.
C09G5.7,-1.74363927903486,-2.0185267066608095,-2.10978725873506,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
fbxa-3,-1.73857141604411,-0.746740850383656,,fbxa-3,WBGene00020363,Public name for WBGene00020363. History: N.A.
W01A8.10,-1.73809153937748,,,W01A8.10,WBGene00195257,Public name for WBGene00195257. History: N.A.
T16A9.5,-1.73549785113465,-1.06154682136602,-1.05942046978627,T16A9.5,WBGene00011795,Public name for WBGene00011795. History: N.A.
C24H12.6,-1.73545210876127,-1.0441929424254,-1.00353767011614,C24H12.6,WBGene00016075,Public name for WBGene00016075. History: N.A.
K05F1.1,-1.7277201473269,,,K05F1.1,WBGene00019405,Public name for WBGene00019405. History: N.A.
F58F12.3,-1.72499958528918,,,F58F12.3,WBGene00019063,Public name for WBGene00019063. History: N.A.
ZK1055.4,-1.71933720584244,,-1.34514302400354,ZK1055.4,WBGene00022845,Public name for WBGene00022845. History: N.A.
Y51A2D.8,-1.70779482471643,-2.1680318435766095,-2.70345262698948,Y51A2D.8,WBGene00013076,Public name for WBGene00013076. History: N.A.
fbxa-115,-1.69675174428618,-1.04313976026156,,fbxa-115,WBGene00013755,Public name for WBGene00013755. History: N.A.
F13A7.11,-1.69489976625157,-1.48152760980657,-0.7662160959538808,F13A7.11,WBGene00008726,Public name for WBGene00008726. History: N.A.
acs-15,-1.68141840165856,,,acs-15,WBGene00019920,Public name for WBGene00019920. History: N.A.
sdz-3,-1.67537334435151,-1.19935253299899,-1.10736678469371,sdz-3,WBGene00016211,Public name for WBGene00016211. History: N.A.
fbxa-201,-1.66898682240197,,,fbxa-201,WBGene00020342,Public name for WBGene00020342. History: N.A.
W01B6.5,-1.65904068796235,-1.05106333916752,-0.9042594001721928,W01B6.5,WBGene00012172,Public name for WBGene00012172. History: N.A.
glna-1,-1.65378470947962,-0.9816272515997368,,glna-1,WBGene00007480,"Public name for WBGene00007480. History: Split into C09F9.7(WBGene00045322). History of WBGene00007480: Split into ""WBGene00045322"" on 2007-03-22"
F31C3.6,-1.64217407710933,-1.93377436351852,-1.35824726199778,F31C3.6,WBGene00009288,Public name for WBGene00009288. History: N.A.
F42G4.6,-1.63649947926173,-1.40648468298329,-1.52593939989033,F42G4.6,WBGene00009643,Public name for WBGene00009643. History: N.A.
C38D9.5,-1.63445701366171,,,C38D9.5,WBGene00008013,Public name for WBGene00008013. History: N.A.
H06H21.9,-1.63205783780168,,-0.931118382202222,H06H21.9,WBGene00019165,Sequence name for WBGene00019165(mpz-4). History: N.A.
B0457.3,-1.62104079638408,-0.6890041141259309,,B0457.3,WBGene00014660,Public name for WBGene00014660. History: N.A.
srw-83,-1.61481100045517,,,srw-83,WBGene00005830,Public name for WBGene00005830. History: N.A.
K01D12.1,-1.61460023752085,,,K01D12.1,WBGene00010461,Public name for WBGene00010461. History: N.A.
Y102A5C.35,-1.614495904638,-1.54523983549686,-1.23990284121764,Y102A5C.35,WBGene00044220,Public name for WBGene00044220. History: N.A.
Y75B7B.2,-1.61345135425648,,,Y75B7B.2,WBGene00022289,Public name for WBGene00022289. History: N.A.
T19C9.10,-1.61340448301823,,,T19C9.10,WBGene00050934,Public name for WBGene00050934. History: N.A.
K03H9.3,-1.61327097717656,-0.825090182846926,-0.960718114472083,K03H9.3,WBGene00019372,Public name for WBGene00019372. History: N.A.
T05F1.7,-1.61167274271326,,,T05F1.7,WBGene00011492,Public name for WBGene00011492. History: N.A.
M03E7.3,-1.59802152439826,,,M03E7.3,WBGene00019755,Public name for WBGene00019755. History: N.A.
R155.4,-1.59075674603483,,,R155.4,WBGene00020118,Public name for WBGene00020118. History: N.A.
Y69E1A.3,-1.58615673659086,,,Y69E1A.3,WBGene00013475,Public name for WBGene00013475. History: N.A.
T08G3.7,-1.58514844358095,,,T08G3.7,WBGene00011619,Public name for WBGene00011619. History: N.A.
C38C6.5,-1.5845108416048,,,C38C6.5,WBGene00007998,Public name for WBGene00007998. History: N.A.
T11G6.7,-1.58422954743367,-0.85025836953497,-0.962074097639102,T11G6.7,WBGene00011721,Public name for WBGene00011721. History: N.A.
C06C3.8,-1.58167505436125,-0.8642308382082668,,C06C3.8,WBGene00007378,Sequence name for WBGene00007378(lido-17). History: N.A.
clec-152,-1.573984856419,,,clec-152,WBGene00008658,Public name for WBGene00008658. History: N.A.
W02B12.12,-1.57126062856433,,,W02B12.12,WBGene00012207,Public name for WBGene00012207. History: N.A.
ric-4,-1.5704581111891,-1.25235266400998,,ric-4,WBGene00004364,Public name for WBGene00004364. History: Renamed on 2004-09-23
ZK1053.2,-1.57016710109068,-1.10872332889957,,ZK1053.2,WBGene00014197,Public name for WBGene00014197. History: N.A.
F18A12.1,-1.56861628254121,,-0.972635017191607,F18A12.1,WBGene00017550,Sequence name for WBGene00017550(nep-6). History: N.A.
F46A8.3,-1.5683382790246,,,F46A8.3,WBGene00009746,Public name for WBGene00009746. History: N.A.
C29F5.5,-1.56642741129631,-0.975638469449411,,C29F5.5,WBGene00016213,Public name for WBGene00016213. History: N.A.
D2092.1,-1.56197435431093,,,D2092.1,WBGene00017063,Sequence name for WBGene00017063(mctp-1). History: N.A.
fbxa-193,-1.55502487105418,-1.53660202929918,-1.37486818031482,fbxa-193,WBGene00010295,Public name for WBGene00010295. History: N.A.
frk-1,-1.55147872030123,,,frk-1,WBGene00001487,Public name for WBGene00001487. History: N.A.
F13A2.6,-1.5490740831677,-1.01138716310142,,F13A2.6,WBGene00017415,Public name for WBGene00017415. History: N.A.
C50F2.1,-1.54574545431108,,,C50F2.1,WBGene00016835,Public name for WBGene00016835. History: N.A.
abt-3,-1.54375477938894,,,abt-3,WBGene00000021,Public name for WBGene00000021. History: N.A.
clec-12,-1.54078471952671,-1.17594553551325,,clec-12,WBGene00012103,Public name for WBGene00012103. History: N.A.
tba-6,-1.53643037416041,,,tba-6,WBGene00006532,Public name for WBGene00006532. History: N.A.
dos-3,-1.53133388774157,,,dos-3,WBGene00019331,Public name for WBGene00019331. History: N.A.
K09C6.2,-1.52819132034177,,,K09C6.2,WBGene00019556,Public name for WBGene00019556. History: N.A.
F46F5.5,-1.52610983018891,-0.906006629984258,-1.05481656872907,F46F5.5,WBGene00018496,Public name for WBGene00018496. History: N.A.
ZK930.6,-1.52083157622828,-1.05452502356902,-1.03934441404763,ZK930.6,WBGene00014156,Public name for WBGene00014156. History: N.A.
Y43D4A.4,-1.51572816852917,,,Y43D4A.4,WBGene00012790,Public name for WBGene00012790. History: N.A.
tag-76,-1.51329339884965,,,tag-76,WBGene00006449,Other name for WBGene00006449(alg-4). History: Renamed on 2013-12-23
cyp-34A6,-1.5048241648358,-0.950121037146204,,cyp-34A6,WBGene00015041,Public name for WBGene00015041. History: N.A.
C47E12.10,-1.50211314114163,,,C47E12.10,WBGene00008153,Public name for WBGene00008153. History: N.A.
cutl-27,-1.5015752195374,,,cutl-27,WBGene00007802,Public name for WBGene00007802. History: N.A.
ZK616.8,-1.49948219451748,,,ZK616.8,WBGene00022778,"Public name for WBGene00022778. History: Split into ZK616.65(WBGene00235383). History of WBGene00022778: Split into ""WBGene00235383"" on 2013-10-17"
C55B7.3,-1.49898844147309,,,C55B7.3,WBGene00016942,Public name for WBGene00016942. History: N.A.
wago-10,-1.49780481106012,,,wago-10,WBGene00020707,Public name for WBGene00020707. History: N.A.
Y37A1B.7,-1.49651040635912,-1.36756611020538,,Y37A1B.7,WBGene00012540,Public name for WBGene00012540. History: N.A.
C24D10.1,-1.49505209273145,-1.02659721310495,-0.9227445235382368,C24D10.1,WBGene00016053,Sequence name for WBGene00016053(ptp-5.1). History: N.A.
C27F2.6,-1.49458674064706,,,C27F2.6,WBGene00016168,Public name for WBGene00016168. History: N.A.
H01G02.4,-1.48804911984706,-1.03197027299889,-0.8871367406620029,H01G02.4,WBGene00045108,Public name for WBGene00045108. History: N.A.
C25A8.5,-1.4869963149914,-1.00353628859936,,C25A8.5,WBGene00016085,Public name for WBGene00016085. History: N.A.
F26A1.4,-1.48285619914028,-1.03680575603805,-0.96345181575251,F26A1.4,WBGene00017803,Public name for WBGene00017803. History: N.A.
C50F4.10,-1.4795116597118,,,C50F4.10,WBGene00008235,Public name for WBGene00008235. History: N.A.
C47E12.11,-1.47894647345308,,,C47E12.11,WBGene00008154,Public name for WBGene00008154. History: N.A.
unc-87,-1.47847398744516,,,unc-87,WBGene00006819,Public name for WBGene00006819. History: N.A.
far-8,-1.47750502462635,,,far-8,WBGene00001392,Public name for WBGene00001392. History: N.A.
H32K16.2,-1.47679979555155,,,H32K16.2,WBGene00010422,Public name for WBGene00010422. History: N.A.
gst-38,-1.47608756970859,,,gst-38,WBGene00001786,Public name for WBGene00001786. History: N.A.
K09D9.11,-1.47371642985723,-0.968201945030925,-0.929663586482008,K09D9.11,WBGene00019568,Public name for WBGene00019568. History: N.A.
T02H6.6,-1.47262063825089,-1.04758249274413,,T02H6.6,WBGene00020176,Public name for WBGene00020176. History: N.A.
msp-57,-1.47108615598882,,,msp-57,WBGene00003450,Public name for WBGene00003450. History: N.A.
F41F3.1,-1.4706853999604,,,F41F3.1,WBGene00018296,"Public name for WBGene00018296. History: Split into F41F3.9(WBGene00269385). History of WBGene00018296: Split into ""WBGene00269385"" on 2016-02-18"
lgc-37,-1.47055922257777,-1.05960162733654,,lgc-37,WBGene00013914,Public name for WBGene00013914. History: N.A.
F07B7.12,-1.47020855453571,-1.0499918313954,,F07B7.12,WBGene00017190,Public name for WBGene00017190. History: N.A.
nhr-229,-1.4670456931812,-0.9670181551341988,-0.99483181461805,nhr-229,WBGene00013795,Public name for WBGene00013795. History: N.A.
F42C5.3,-1.46523818502176,-0.875395556601406,,F42C5.3,WBGene00018345,Public name for WBGene00018345. History: N.A.
Y38H6C.14,-1.46522566490917,-0.788543691165281,,Y38H6C.14,WBGene00012626,Sequence name for WBGene00012626(famh-161). History: Renamed on 2017-01-13
cutl-7,-1.46277386285543,-0.8285184552400608,,cutl-7,WBGene00009961,Public name for WBGene00009961. History: N.A.
Y113G7C.1,-1.4627313670829,-0.9787179735392108,-1.04843070274669,Y113G7C.1,WBGene00013771,Public name for WBGene00013771. History: N.A.
Y45F10B.2,-1.458963970529,,,Y45F10B.2,WBGene00012870,Public name for WBGene00012870. History: N.A.
F14H3.2,-1.45818154139376,,,F14H3.2,WBGene00008821,Sequence name for WBGene00008821(best-12). History: N.A.
W01B6.2,-1.45724805817195,,,W01B6.2,WBGene00012169,Sequence name for WBGene00012169(ttbk-4). History: N.A.
ZK39.10,-1.45406452089931,,,ZK39.10,WBGene00050881,Public name for WBGene00050881. History: N.A.
Y102A5C.6,-1.4528558409699,-1.39847729518532,-1.31279214052902,Y102A5C.6,WBGene00014955,Public name for WBGene00014955. History: N.A.
sulp-6,-1.45121899046957,-1.06415343938496,-0.987886051508458,sulp-6,WBGene00020914,Public name for WBGene00020914. History: N.A.
Y62E10A.3,-1.45029679897357,,,Y62E10A.3,WBGene00013374,Public name for WBGene00013374. History: N.A.
pho-11,-1.4474019180624,-1.49866200677448,-1.09384797588169,pho-11,WBGene00007331,Public name for WBGene00007331. History: N.A.
C28F5.1,-1.44724137483857,-0.871860764677402,,C28F5.1,WBGene00016183,Public name for WBGene00016183. History: N.A.
C06C6.6,-1.44591173341468,,,C06C6.6,WBGene00007380,Public name for WBGene00007380. History: N.A.
C33F10.12,-1.44171448132805,,,C33F10.12,WBGene00016358,Public name for WBGene00016358. History: N.A.
F41H10.2,-1.43949055594175,,,F41H10.2,WBGene00018315,"Public name for WBGene00018315. History: Split into F41H10.1(WBGene00018314). History of WBGene00018315: Split into ""WBGene00018314"" on 2014-06-11"
ssp-31,-1.43824293821362,,,ssp-31,WBGene00006048,Public name for WBGene00006048. History: N.A.
F59E12.3,-1.43696806174818,-0.845524606220003,-0.957072931387754,F59E12.3,WBGene00019119,Public name for WBGene00019119. History: N.A.
F11F1.1,-1.43198102412634,-1.06628804923554,,F11F1.1,WBGene00008714,Public name for WBGene00008714. History: N.A.
C46H11.6,-1.42995166003623,,,C46H11.6,WBGene00016730,Public name for WBGene00016730. History: N.A.
B0218.5,-1.42351906607826,-0.97430979077756,,B0218.5,WBGene00015049,Public name for WBGene00015049. History: N.A.
C17H1.6,-1.42030119218898,,,C17H1.6,WBGene00007659,Sequence name for WBGene00007659(pals-5). History: N.A.
dac-1,-1.41500338696257,-1.03686053219839,,dac-1,WBGene00000895,Public name for WBGene00000895. History: N.A.
W06D11.1,-1.41448988150107,-1.19775415937254,,W06D11.1,WBGene00012299,Public name for WBGene00012299. History: N.A.
F19C7.5,-1.41176629147373,,,F19C7.5,WBGene00044302,"Public name for Dead gene WBGene00017595. History of WBGene00017595: Merged into ""WBGene00044302"" on 2018-11-14"
pqn-73,-1.41146887227304,,,pqn-73,WBGene00004155,Public name for WBGene00004155. History: N.A.
Y47G6A.26,-1.4091804198126,,,Y47G6A.26,WBGene00021650,Public name for WBGene00021650. History: N.A.
D1086.17,-1.40841771892977,,,D1086.17,WBGene00045355,Public name for WBGene00045355. History: N.A.
B0457.4,-1.40648728503081,-0.897495167630741,-0.847268200845787,B0457.4,WBGene00007179,Public name for WBGene00007179. History: N.A.
T26C11.3,-1.40635317168971,,,T26C11.3,WBGene00020829,Public name for WBGene00020829. History: N.A.
Y51A2B.5,-1.40472442623023,,,Y51A2B.5,WBGene00013069,Public name for WBGene00013069. History: N.A.
F44B9.9,-1.39988588908342,,,F44B9.9,WBGene00018410,Public name for WBGene00018410. History: N.A.
F33D11.7,-1.39796403367858,,,F33D11.7,WBGene00018004,Public name for WBGene00018004. History: N.A.
T05F1.5,-1.39781885305894,,,T05F1.5,WBGene00011491,Public name for WBGene00011491. History: N.A.
Y45F10B.8,-1.3976050760656,,,Y45F10B.8,WBGene00012872,Public name for WBGene00012872. History: N.A.
C51E3.10,-1.39756822813084,,,C51E3.10,WBGene00008255,Public name for WBGene00008255. History: N.A.
kqt-3,-1.39703618511787,-1.34496561935037,-1.53995939108071,kqt-3,WBGene00002235,Public name for WBGene00002235. History: N.A.
F38A5.8,-1.39584813764258,,,F38A5.8,WBGene00018165,Public name for WBGene00018165. History: N.A.
Y39A3CR.8,-1.39571915110969,-0.9951931577070248,-1.04969709343979,Y39A3CR.8,WBGene00015243,"Public name for Dead gene WBGene00021447. History of WBGene00021447: Merged into ""WBGene00015243"" on 2020-01-21"
F19B6.3,-1.39514740274065,-0.830061780279717,-0.7889702898284349,F19B6.3,WBGene00008949,Public name for WBGene00008949. History: N.A.
F44E5.15,-1.38711198532674,-0.8330081292656069,-0.7360868294078289,F44E5.15,WBGene00206377,Public name for WBGene00206377. History: N.A.
C18E9.8,-1.38545418239915,,,C18E9.8,WBGene00007688,Public name for WBGene00007688. History: N.A.
fbxa-195,-1.38342657070036,,,fbxa-195,WBGene00019976,Public name for WBGene00019976. History: N.A.
C08F11.6,-1.38056474719429,-1.17054858235957,-0.9326407001687648,C08F11.6,WBGene00014672,Public name for WBGene00014672. History: N.A.
arrd-6,-1.38052633817318,,,arrd-6,WBGene00009579,Public name for WBGene00009579. History: N.A.
C09F9.2,-1.38034531083274,,,C09F9.2,WBGene00007479,Public name for WBGene00007479. History: N.A.
T27A3.5,-1.37956535714729,,,T27A3.5,WBGene00020841,Public name for WBGene00020841. History: N.A.
R10E9.2,-1.37939888532706,,,R10E9.2,WBGene00011214,Public name for WBGene00011214. History: N.A.
xbx-3,-1.37795575705254,,,xbx-3,WBGene00010864,Public name for WBGene00010864. History: N.A.
