gene,1: eri-6,2: eri-6,3: wt,4: wt,average wt,average eri6,eri6/wt,fold change,pvalue,gene name,seq name,Input,Suggested Match,History
WBGene00170306,1.679299432,8.087464054,1250.951442,661.0685139,956.0099779,4.883381743,0.005108087,0.00510809,1.48e-11,21ur-9719,F47E1.6,WBGene00170306,WBGene00170306,History: N.A.
WBGene00012819,3.358598864,6.932112046,559.2588038,757.5007731,658.3797885,5.145355455,0.007815178,0.00781518,1.52e-11,0,Y43F8B.9,WBGene00012819,WBGene00012819,History: N.A.
WBGene00219771,6.717197727,21.95168815,1356.392393,1932.451721,1644.422057,14.33444294,0.00871701,0.00871701,2.15e-11,linc-24,Y82E9BR.31,WBGene00219771,WBGene00219771,History: N.A.
WBGene00019174,9.236146875,32.34985622,1997.473375,2743.244006,2370.35869,20.79300155,0.008772091,0.00877209,2.17e-11,0,H09G03.1,WBGene00019174,WBGene00019174,"History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
WBGene00219699,859.8013091,1712.231675,85158.32962,85267.68753,85213.00857,1286.016492,0.015091786,0.01509179,3.29e-11,linc-22,F47E1.18,WBGene00219699,WBGene00219699,History: N.A.
WBGene00195039,4.198248579,18.48563212,1099.96,1964.172859,1532.06643,11.34194035,0.007403034,0.00740303,6.13e-11,0,K08A2.9,WBGene00195039,WBGene00195039,History: N.A.
WBGene00249814,4.198248579,18.48563212,1099.96,1964.172859,1532.06643,11.34194035,0.007403034,0.00740303,6.13e-11,0,K08A2.17,WBGene00249814,WBGene00249814,History: N.A.
WBGene00010507,80.60637272,207.9633614,9477.03267,11986.78359,10731.90813,144.2848671,0.013444475,0.01344448,6.61e-11,0,K02E2.6,WBGene00010507,WBGene00010507,History: N.A.
WBGene00269426,1.679299432,1.155352008,295.2346626,332.4375252,313.8360939,1.41732572,0.004516134,0.00451613,8.27e-11,0,C49G7.14,WBGene00269426,WBGene00269426,History: N.A.
WBGene00167100,2.518949148,4.621408031,592.9999081,352.7390535,472.8694808,3.570178589,0.00755003,0.00755003,8.9e-11,21ur-11898,Y54F10BM.16,WBGene00167100,WBGene00167100,History: N.A.
WBGene00174006,2.518949148,4.621408031,591.3128529,351.470208,471.3915304,3.570178589,0.007573701,0.0075737,9.21e-11,21ur-10824,Y54F10BM.18,WBGene00174006,WBGene00174006,History: N.A.
WBGene00235158,47.86003381,112.0691448,3979.763252,8129.493222,6054.628237,79.96458928,0.013207184,0.01320718,1.65e-10,0,Y37E3.30,WBGene00235158,WBGene00235158,History: N.A.
WBGene00219755,4.198248579,17.33028012,911.8533437,1419.838133,1165.845738,10.76426435,0.009233009,0.00923301,2.05e-10,linc-17,Y49F6A.9,WBGene00219755,WBGene00219755,History: N.A.
WBGene00016635,185.5625872,302.702226,12090.2812,12309.07035,12199.67578,244.1324066,0.020011385,0.02001139,2.73e-10,0,C44B11.6,WBGene00016635,WBGene00016635,History: N.A.
WBGene00017225,9.236146875,21.95168815,921.1321474,1150.842883,1035.987515,15.59391751,0.015052225,0.01505223,6.24e-10,fbxa-52,F07G6.6,WBGene00017225,WBGene00017225,History: N.A.
WBGene00195031,2.518949148,10.39816807,503.5859817,889.4607068,696.5233442,6.458558609,0.009272566,0.00927257,6.89e-10,0,Y37E3.23,WBGene00195031,WBGene00195031,History: N.A.
WBGene00194794,0.839649716,0,393.0838651,147.1860799,270.1349725,0.419824858,0.00155413,0.00155413,1.06e-09,0,F45B8.5,WBGene00194794,WBGene00194794,"History: Split into F20D1.22(WBGene00304908). History of WBGene00194794: Split into ""WBGene00304908"" on 2019-07-25"
WBGene00194681,41.14283608,33.50520822,3137.079172,1251.081679,2194.080426,37.32402215,0.017011237,0.01701124,1.1e-09,0,F40D4.16,WBGene00194681,WBGene00194681,History: N.A.
WBGene00018628,14.27404517,38.12661626,2414.176013,1195.252476,1804.714244,26.20033071,0.014517717,0.01451772,1.23e-09,0,F49D11.4,WBGene00018628,WBGene00018628,History: N.A.
WBGene00219617,0,2.310704015,227.752454,347.6636714,287.7080627,1.155352008,0.00401571,0.00401571,1.75e-09,linc-25,Y17D7C.10,WBGene00219617,WBGene00219617,History: N.A.
WBGene00014888,0.839649716,8.087464054,398.1450307,1611.433805,1004.789418,4.463556885,0.004442281,0.00444228,2.48e-09,0,Y43F8B.8,WBGene00014888,WBGene00014888,History: N.A.
WBGene00219571,4.198248579,3.466056023,573.5987731,216.9725833,395.2856782,3.832152301,0.00969464,0.00969464,2.73e-09,linc-15,C49F5.10,WBGene00219571,WBGene00219571,History: N.A.
WBGene00022730,90.68216932,78.56393653,2981.870093,3408.119056,3194.994574,84.62305292,0.026486134,0.02648613,3.3e-09,0,ZK402.3,WBGene00022730,WBGene00022730,History: N.A.
WBGene00219493,36.10493778,39.28196826,1767.190338,1280.265126,1523.727732,37.69345302,0.024737656,0.02473766,4.23e-09,0,C18D4.12,WBGene00219493,WBGene00219493,History: N.A.
WBGene00012199,1307.334608,833.0087976,27.83641105,21.57037377,24.70339241,1070.171703,43.3208397,43.3208397,6.36e-09,mltn-3,W02B8.3,WBGene00012199,WBGene00012199,History: N.A.
WBGene00044728,12.59474574,33.50520822,795.4465339,2268.695783,1532.071158,23.04997698,0.015044978,0.01504498,7.05e-09,0,Y53F4B.45,WBGene00044728,WBGene00044728,History: N.A.
WBGene00235357,126.7871071,274.9737778,6273.314817,9294.293406,7783.804111,200.8804425,0.025807489,0.02580749,1.36e-08,0,Y37E11B.16,WBGene00235357,WBGene00235357,History: N.A.
WBGene00219707,213.2710278,442.499819,11331.94988,12354.74879,11843.34933,327.8854234,0.027685194,0.02768519,1.36e-08,linc-8,F59H5.6,WBGene00219707,WBGene00219707,History: N.A.
WBGene00195027,0.839649716,6.932112046,278.3641105,645.8423677,462.1032391,3.885880881,0.008409118,0.00840912,1.37e-08,0,F39E9.20,WBGene00195027,WBGene00195027,History: N.A.
WBGene00018199,20.9912429,87.80675259,2066.642638,5151.512795,3609.077717,54.39899774,0.015072825,0.01507283,1.62e-08,0,F39E9.7,WBGene00018199,WBGene00018199,History: N.A.
WBGene00013816,8.396497159,5.776760039,288.4864418,515.1512795,401.8188607,7.086628599,0.017636376,0.01763638,1.75e-08,0,Y116F11A.1,WBGene00013816,WBGene00013816,History: N.A.
WBGene00219954,9.236146875,16.17492811,708.5631903,468.2039955,588.3835929,12.70553749,0.02159397,0.02159397,1.75e-08,0,F47E1.19,WBGene00219954,WBGene00219954,History: N.A.
WBGene00219455,0,3.466056023,236.1877301,309.5983059,272.893018,1.733028012,0.006350577,0.00635058,1.93e-08,0,Y43F8B.29,WBGene00219455,WBGene00219455,History: N.A.
WBGene00021023,5.037898295,9.242816062,291.8605522,518.9578161,405.4091841,7.140357179,0.017612717,0.01761272,2.14e-08,0,W04B5.6,WBGene00021023,WBGene00021023,History: N.A.
WBGene00020817,3.358598864,11.55352008,324.7581289,711.8223345,518.2902317,7.456059471,0.014385877,0.01438588,2.28e-08,0,T25G12.11,WBGene00020817,WBGene00020817,History: N.A.
WBGene00021375,179.6850392,414.7713708,7937.594787,12456.25643,10196.92561,297.228205,0.029148806,0.02914881,5.08e-08,0,Y37E11B.2,WBGene00021375,WBGene00021375,History: N.A.
WBGene00008447,26.86879091,153.661817,2969.217178,12179.64811,7574.432644,90.26530397,0.011917104,0.0119171,6.93e-08,0,E01G4.5,WBGene00008447,WBGene00008447,History: N.A.
WBGene00195026,2.518949148,6.932112046,165.3314111,584.9377829,375.134597,4.725530597,0.012596894,0.01259689,8.48e-08,0,F39E9.19,WBGene00195026,WBGene00195026,History: N.A.
WBGene00194699,0,4.621408031,237.0312577,338.7817528,287.9065053,2.310704015,0.008025883,0.00802588,8.72e-08,0,Y43F8B.22,WBGene00194699,WBGene00194699,History: N.A.
WBGene00050910,0.839649716,5.776760039,214.2560123,327.3621432,270.8090777,3.308204877,0.012216004,0.012216,1.07e-07,0,Y43F8B.17,WBGene00050910,WBGene00050910,"History: Split into Y43F8B.28(WBGene00219302). History of WBGene00050910: Split into ""WBGene00219302"" on 2011-10-17"
WBGene00172729,1.679299432,2.310704015,223.534816,130.6910882,177.1129521,1.995001724,0.011264008,0.01126401,1.16e-07,21ur-15566,F47E1.7,WBGene00172729,WBGene00172729,History: N.A.
WBGene00195060,5.877548011,8.087464054,350.0639571,253.7691032,301.9165302,6.982506033,0.023127273,0.02312727,1.3e-07,linc-14,C18D4.11,WBGene00195060,WBGene00195060,History: N.A.
WBGene00017104,8.396497159,23.10704015,434.4167179,949.0964461,691.756582,15.75176866,0.022770681,0.02277068,1.32e-07,0,E02H9.6,WBGene00017104,WBGene00017104,History: N.A.
WBGene00016553,4.198248579,27.72844819,617.4622087,1396.998913,1007.230561,15.96334838,0.015848753,0.01584875,1.57e-07,mir-8199,C40A11.10,WBGene00016553,WBGene00016553,History: N.A.
WBGene00022486,13.43439545,24.26239216,542.3882516,645.8423677,594.1153097,18.84839381,0.031725144,0.03172514,1.99e-07,fbxa-61,Y119D3B.8,WBGene00022486,WBGene00022486,History: N.A.
WBGene00003354,17.63264403,58.9229524,958.2473621,2074.562419,1516.404891,38.27779821,0.025242466,0.02524247,2.23e-07,mir-260,F39E9.13,WBGene00003354,WBGene00003354,History: N.A.
WBGene00077772,11.75509602,20.79633614,366.9345093,773.9957648,570.4651371,16.27571608,0.028530606,0.02853061,2.76e-07,0,T02G6.10,WBGene00077772,WBGene00077772,History: N.A.
WBGene00009689,390.4371179,497.9567153,11.80938651,16.49499171,14.15218911,444.1969166,31.38715242,31.3871524,2.85e-07,0,F44E5.2,WBGene00009689,WBGene00009689,"History: Split into F44E5.15(WBGene00206377). History of WBGene00009689: Split into ""WBGene00206377"" on 2010-12-13"
WBGene00022729,26.02914119,24.26239216,663.0126995,657.2619774,660.1373384,25.14576668,0.03809172,0.03809172,3.27e-07,0,ZK402.2,WBGene00022729,WBGene00022729,History: N.A.
WBGene00195032,2.518949148,16.17492811,344.1592639,655.9931318,500.0761979,9.346938628,0.018691029,0.01869103,4.63e-07,0,Y37E3.24,WBGene00195032,WBGene00195032,History: N.A.
WBGene00018856,5.037898295,11.55352008,186.4196013,620.4654574,403.4425293,8.295709186,0.020562307,0.02056231,4.67e-07,0,F55A4.4,WBGene00018856,WBGene00018856,History: N.A.
WBGene00219443,3.358598864,11.55352008,184.732546,550.678954,367.70575,7.456059471,0.020277245,0.02027725,7.9e-07,0,Y57G11C.1144,WBGene00219443,WBGene00219443,History: N.A.
WBGene00014505,56.25653096,68.16576846,800.5076995,2360.05266,1580.28018,62.21114971,0.039367164,0.03936716,1.47e-06,0,T05E11.9,WBGene00014505,WBGene00014505,History: N.A.
WBGene00219859,1.679299432,0,284.2688037,53.29151168,168.7801577,0.839649716,0.004974813,0.00497481,1.57e-06,0,C49F5.11,WBGene00219859,WBGene00219859,History: N.A.
WBGene00195170,1.679299432,1.155352008,184.732546,68.51765787,126.625102,1.41732572,0.011193087,0.01119309,2.21e-06,linc-61,T10C6.18,WBGene00195170,WBGene00195170,History: N.A.
WBGene00195037,4.198248579,19.64098413,358.4992332,441.5582396,400.0287364,11.91961636,0.0297969,0.0297969,2.56e-06,0,F59H5.4,WBGene00195037,WBGene00195037,History: N.A.
WBGene00018688,10.91544631,11.55352008,229.4395092,356.54559,292.9925496,11.23448319,0.038343921,0.03834392,2.71e-06,0,F52D2.6,WBGene00018688,WBGene00018688,"History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
WBGene00045410,261.9707114,593.850932,7130.338866,9990.889594,8560.61423,427.9108217,0.049985995,0.049986,2.73e-06,0,E01G4.7,WBGene00045410,WBGene00045410,History: N.A.
WBGene00021374,324.94444,553.4136117,6334.892332,9468.125241,7901.508787,439.1790259,0.055581666,0.05558167,3.47e-06,0,Y37E11B.1,WBGene00021374,WBGene00021374,History: N.A.
WBGene00219302,0,0,78.4480675,92.62572268,85.53689509,0,0,0,3.72e-06,0,Y43F8B.28,WBGene00219302,WBGene00219302,History: N.A.
WBGene00235340,800.1861792,1845.097156,37.95874234,79.93726752,58.94800493,1322.641668,22.43742887,22.4374289,3.97e-06,0,C45G7.13,WBGene00235340,WBGene00235340,History: N.A.
WBGene00000662,198.1573329,698.9879647,18.55760737,12.68845516,15.62303126,448.5726488,28.71226725,28.7122673,4.93e-06,col-87,Y39G8C.4,WBGene00000662,WBGene00000662,History: N.A.
WBGene00195033,2.518949148,5.776760039,146.7738037,161.1433805,153.9585921,4.147854593,0.026941365,0.02694137,5.28e-06,0,Y37E3.25,WBGene00195033,WBGene00195033,History: N.A.
WBGene00219756,0,5.776760039,105.4409509,442.8270851,274.134018,2.888380019,0.010536379,0.01053638,5.49e-06,linc-68,Y49F6A.10,WBGene00219756,WBGene00219756,History: N.A.
WBGene00045382,18.47229375,47.36943232,595.5304909,793.0284476,694.2794692,32.92086303,0.047417307,0.04741731,5.93e-06,0,T05E12.8,WBGene00045382,WBGene00045382,History: N.A.
WBGene00023036,278.7637057,646.9971243,6832.573621,9678.753597,8255.663609,462.880415,0.056068226,0.05606823,6.75e-06,0,F39E9.10,WBGene00023036,WBGene00023036,History: N.A.
WBGene00020900,86.48392074,228.7596975,1.687055215,5.075382065,3.38121864,157.6218091,46.6168639,46.6168639,7.77e-06,0,T28F2.1,WBGene00020900,WBGene00020900,History: N.A.
WBGene00194923,20.15159318,4.621408031,202.4466258,586.2066285,394.3266271,12.38650061,0.031411778,0.03141178,1.03e-05,linc-121,Y57G11C.1134,WBGene00194923,WBGene00194923,History: N.A.
WBGene00219616,0.839649716,0,70.01279142,87.55034061,78.78156602,0.419824858,0.005328973,0.00532897,1.08e-05,linc-111,Y7A9A.80,WBGene00219616,WBGene00219616,History: N.A.
WBGene00249813,16.79299432,39.28196826,300.2958283,1029.033714,664.6647709,28.03748129,0.042182891,0.04218289,1.36e-05,0,F39E9.26,WBGene00249813,WBGene00249813,History: N.A.
WBGene00018690,5.877548011,18.48563212,146.7738037,614.1212298,380.4475168,12.18159007,0.032019108,0.03201911,1.47e-05,fbxa-46,F52D2.8,WBGene00018690,WBGene00018690,History: N.A.
WBGene00007132,210.7520787,351.2270104,16.87055215,11.41960965,14.1450809,280.9895445,19.86482414,19.8648241,1.91e-05,pals-27,B0284.2,WBGene00007132,WBGene00007132,History: N.A.
WBGene00195186,83.12532187,91.27280861,984.396718,1459.172344,1221.784531,87.19906524,0.071370248,0.07137025,2.18e-05,0,F19G12.10,WBGene00195186,WBGene00195186,History: N.A.
WBGene00194680,5.877548011,30.0391522,187.2631289,1092.475989,639.8695591,17.95835011,0.028065642,0.02806564,2.22e-05,0,Y17D7C.6,WBGene00194680,WBGene00194680,History: N.A.
WBGene00000402,846.3669136,1871.670253,72.54337425,101.5076413,87.02550777,1359.018583,15.61632466,15.6163247,2.24e-05,cdh-10,C45G7.5,WBGene00000402,WBGene00000402,"History: Split into C45G7.13(WBGene00235340). History of WBGene00000402: Split into ""WBGene00235340"" on 2013-09-12"
WBGene00022523,27.70844062,50.83548834,490.9330676,744.812318,617.8726928,39.27196448,0.063559961,0.06355996,2.65e-05,,,WBGene00022523,,History: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00195233,139.3818528,323.4985622,4425.989357,2611.284072,3518.636714,231.4402075,0.065775534,0.06577553,2.74e-05,0,F31E9.11,WBGene00195233,WBGene00195233,History: N.A.
WBGene00018252,3.358598864,12.70887209,73.38690185,586.2066285,329.7967652,8.033735474,0.024359655,0.02435966,3.06e-05,0,F40H3.6,WBGene00018252,WBGene00018252,History: N.A.
WBGene00194982,1.679299432,1.155352008,60.73398774,102.7764868,81.75523727,1.41732572,0.017336207,0.01733621,3.34e-05,0,Y17D7B.10,WBGene00194982,WBGene00194982,History: N.A.
WBGene00077787,165.410994,293.45941,2167.022424,4230.330951,3198.676687,229.435202,0.071728163,0.07172816,3.83e-05,0,T05E12.10,WBGene00077787,WBGene00077787,History: N.A.
WBGene00195185,19.31194347,13.86422409,274.9900001,266.4575584,270.7237792,16.58808378,0.061273095,0.0612731,4.06e-05,0,F19G12.9,WBGene00195185,WBGene00195185,History: N.A.
WBGene00012818,7.556847443,10.39816807,172.9231595,177.6383723,175.2807659,8.977507756,0.051217872,0.05121787,4.19e-05,0,Y43F8B.7,WBGene00012818,WBGene00012818,History: N.A.
WBGene00195028,5.037898295,27.72844819,230.2830369,569.7116367,399.9973368,16.38317324,0.040958206,0.04095821,4.5e-05,0,F39E9.21,WBGene00195028,WBGene00195028,History: N.A.
WBGene00195255,34.42563835,57.76760039,482.4977915,826.018431,654.2581112,46.09661937,0.070456321,0.07045632,4.94e-05,0,H16D19.7,WBGene00195255,WBGene00195255,History: N.A.
WBGene00012455,0,0,21.9317178,157.336844,89.6342809,0,0,0,5.21e-05,0,Y17D7C.1,WBGene00012455,WBGene00012455,"History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
WBGene00008812,4.198248579,4.621408031,201.6030982,59.63573926,130.6194187,4.409828305,0.033760894,0.03376089,6.27e-05,0,F14F7.5,WBGene00008812,WBGene00008812,"History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
WBGene00015906,64.65302812,1020.175823,7.591748468,20.30152826,13.94663836,542.4144255,38.89212665,38.8921267,6.52e-05,0,C17E7.13,WBGene00015906,WBGene00015906,History: N.A.
WBGene00206507,0,1.155352008,37.95874234,97.70110474,67.82992354,0.577676004,0.008516536,0.00851654,9.17e-05,0,Y51A2A.16,WBGene00206507,WBGene00206507,History: N.A.
WBGene00219748,15.9533446,18.48563212,238.7183129,246.1560301,242.4371715,17.21948836,0.071026601,0.0710266,0.000100273,linc-46,Y16E11A.3,WBGene00219748,WBGene00219748,History: N.A.
WBGene00219634,5.037898295,9.242816062,101.2233129,180.1760633,140.6996881,7.140357179,0.05074892,0.05074892,0.000119374,linc-86,Y116A8B.99,WBGene00219634,WBGene00219634,History: N.A.
WBGene00004397,1.679299432,4.621408031,654.5774234,10.15076413,332.3640938,3.150353731,0.009478622,0.00947862,0.000123139,rol-6,T01B7.7,WBGene00004397,WBGene00004397,History: N.A.
WBGene00006412,6.717197727,13.86422409,59.89046013,479.6236051,269.7570326,10.29071091,0.038148073,0.03814807,0.000127739,nlg-1,C40C9.5,WBGene00006412,WBGene00006412,History: Renamed on 2019-05-20
WBGene00017612,0,1.155352008,76.76101228,44.40959306,60.58530267,0.577676004,0.00953492,0.00953492,0.000131677,0,F19G12.4,WBGene00017612,WBGene00017612,History: N.A.
WBGene00012200,210.7520787,124.7780168,6.74822086,12.68845516,9.718338011,167.7650478,17.26273027,17.2627303,0.000135524,mltn-4,W02B8.4,WBGene00012200,WBGene00012200,History: N.A.
WBGene00000208,109.1544631,167.5260411,938.8462272,2474.248756,1706.547492,138.3402521,0.081064402,0.0810644,0.000135723,trip-4,Y53F4B.15,WBGene00000208,WBGene00000208,History: Renamed on 2017-11-13
WBGene00195023,2.518949148,17.33028012,152.678497,277.877168,215.2778325,9.924614632,0.046101424,0.04610142,0.000157809,0,F39E9.16,WBGene00195023,WBGene00195023,History: N.A.
WBGene00007523,2.518949148,0,50.61165645,97.70110474,74.1563806,1.259474574,0.016984035,0.01698404,0.000164649,0,C11G6.2,WBGene00007523,WBGene00007523,History: N.A.
WBGene00003546,583.5565525,1523.909298,91.10098161,87.55034061,89.32566111,1053.732925,11.79653094,11.7965309,0.000171646,nas-28,F42A10.8,WBGene00003546,WBGene00003546,History: N.A.
WBGene00194667,95.72006761,131.7101289,1002.110798,1320.868182,1161.48949,113.7150982,0.097904543,0.09790454,0.00017793,0,Y105C5A.1271,WBGene00194667,WBGene00194667,History: N.A.
WBGene00249812,1.679299432,18.48563212,142.5561657,361.6209721,252.0885689,10.08246578,0.039995728,0.03999573,0.000183285,0,F39E9.25,WBGene00249812,WBGene00249812,History: N.A.
WBGene00195024,13.43439545,17.33028012,142.5561657,300.7163873,221.6362765,15.38233779,0.06940352,0.06940352,0.000185652,0,F39E9.17,WBGene00195024,WBGene00195024,History: N.A.
WBGene00045366,452.5711969,1039.816807,2646.989632,25430.20183,14038.59573,746.1940019,0.053153037,0.05315304,0.000212962,0,Y17D7C.3,WBGene00045366,WBGene00045366,History: N.A.
WBGene00195020,188.9211861,425.1695389,3655.848651,2645.542901,3150.695776,307.0453625,0.097453193,0.09745319,0.000254841,0,Y59H11AR.9,WBGene00195020,WBGene00195020,History: N.A.
WBGene00206390,0,1.155352008,75.07395707,35.52767445,55.30081576,0.577676004,0.010446067,0.01044607,0.000277107,0,F14F7.7,WBGene00206390,WBGene00206390,History: N.A.
WBGene00044074,265.3293102,165.2153371,16.02702454,19.03268274,17.52985364,215.2723237,12.28032635,12.2803264,0.000314888,mltn-5,W02B8.6,WBGene00044074,WBGene00044074,History: N.A.
WBGene00021089,368.6062253,1007.466951,48.92460124,74.86188545,61.89324334,688.036588,11.11650563,11.1165056,0.000363594,0,W08E12.8,WBGene00021089,WBGene00021089,History: N.A.
WBGene00077437,1127.649568,2678.105954,15916.52243,18984.46661,17450.49452,1902.877761,0.109044346,0.10904435,0.000456348,0,Y59H11AR.6,WBGene00077437,WBGene00077437,History: N.A.
WBGene00219451,51.21863267,86.65140058,203.2901534,2042.841281,1123.065717,68.93501662,0.061381107,0.06138111,0.000461795,0,F52D2.12,WBGene00219451,WBGene00219451,History: N.A.
WBGene00169594,46.18073437,191.7884333,1045.130706,1677.413772,1361.272239,118.9845838,0.087406898,0.0874069,0.000484361,21ur-13215,Y59H11AR.7,WBGene00169594,WBGene00169594,History: N.A.
WBGene00044200,31.9066892,58.9229524,282.5817485,694.0584973,488.3201229,45.4148208,0.093002149,0.09300215,0.000519697,0,H37A05.4,WBGene00044200,WBGene00044200,History: N.A.
WBGene00019282,41.14283608,67.01041645,224.3783436,1141.960965,683.1696541,54.07662626,0.079155486,0.07915549,0.000548619,mps-2,K01A2.8,WBGene00019282,WBGene00019282,History: N.A.
WBGene00022375,364.4079767,552.2582597,49.76812884,50.75382065,50.26097474,458.3331182,9.119065448,9.11906545,0.000581411,0,Y94H6A.2,WBGene00022375,WBGene00022375,History: N.A.
WBGene00020902,492.8743832,838.7855576,3511.60543,8327.433122,5919.519276,665.8299704,0.112480413,0.11248041,0.000703078,jmjc-1,T28F2.4,WBGene00020902,WBGene00020902,History: N.A.
WBGene00020352,173.8074912,26.57309618,1344.583006,1079.787534,1212.18527,100.1902937,0.082652624,0.08265262,0.000708606,0,T08B6.2,WBGene00020352,WBGene00020352,History: N.A.
WBGene00043065,528.979321,725.5610609,94.47509204,22.83921929,58.65715567,627.2701909,10.69383921,10.6938392,0.000790417,0,C55C3.7,WBGene00043065,WBGene00043065,History: N.A.
