# Table S14. mRNAs expressed in whole animals but not in distal gonads.
# * Fold changes were calculated using DESeq2, which applies statistical methods to calulate a finite estimate for genes in which 0  reads were captured in the dataset.
gene_id,public_name,whole_1,whole_2,whole_3,gonad_1,gonad_2,gonad_3,fold_change*,pvalue_adj,Input,Suggested Match,History
T10B9.2,cyp-13A5,153.0680099,125.817853,154.8907856,0,0,0,-786.84,1.29e-14,T10B9.2,WBGene00011672,Sequence name for WBGene00011672(cyp-13A5). History: N.A.
F59D6.3,asp-8,136.2803889,145.0105229,134.9414486,0,0,0,-756.44,1.86e-14,F59D6.3,WBGene00019105,Sequence name for WBGene00019105(asp-8). History: N.A.
Y34F4.2,Y34F4.2,142.0705644,141.1915865,130.2221929,0,0,0,-747.17,2.05e-14,Y34F4.2,WBGene00021337,Public name for WBGene00021337. History: N.A.
C03B1.14,C03B1.14,150.1112798,132.2165395,127.8888358,0,0,0,-743.95,2.16e-14,C03B1.14,WBGene00015382,Public name for WBGene00015382. History: N.A.
F08D12.2,F08D12.2,135.2997358,101.2952792,165.4274097,0,0,0,-729.46,4.67e-14,F08D12.2,WBGene00017246,Public name for WBGene00017246. History: N.A.
F23H12.9,fipr-2,112.7747662,137.9858749,151.6214454,0,0,0,-718.04,4.37e-14,F23H12.9,WBGene00009097,Sequence name for WBGene00009097(fipr-2). History: N.A.
ZC443.1,ZC443.1,96.78075204,108.7583806,161.9211155,0,0,0,-669.64,1.52e-13,ZC443.1,WBGene00013896,Public name for WBGene00013896. History: N.A.
T10B10.6,phat-6,125.4246495,98.0966233,144.3065323,0,0,0,-667.31,9.73e-14,T10B10.6,WBGene00011683,Sequence name for WBGene00011683(phat-6). History: N.A.
F08D12.3,F08D12.3,124.5226238,87.49614694,144.4220343,0,0,0,-659.26,1.41e-13,F08D12.3,WBGene00017247,"Public name for WBGene00017247. History: Split into F08D12.5(WBGene00043239). History of WBGene00017247: Split into ""WBGene00043239"" on 2014-06-30"
F49E11.11,scl-3,95.79643709,122.6206802,131.4023274,0,0,0,-637.28,1.66e-13,F49E11.11,WBGene00009896,Sequence name for WBGene00009896(scl-3). History: N.A.
F45D11.14,F45D11.14,0.0,242.039476,98.56663658,0,0,0,-633.93,0.0257,F45D11.14,WBGene00018459,Public name for WBGene00018459. History: N.A.
C25F9.4,C25F9.4,80.97755874,130.0827358,125.556888,0,0,0,-614.72,3.57e-13,C25F9.4,WBGene00007724,Public name for WBGene00007724. History: N.A.
C34H4.1,C34H4.1,103.6924188,113.023109,117.3379105,0,0,0,-607.44,2.06e-13,C34H4.1,WBGene00016424,Public name for WBGene00016424. History: N.A.
F09F3.6,ttr-21,95.80123784,115.1581153,120.8270038,0,0,0,-603.85,2.54e-13,F09F3.6,WBGene00008628,Sequence name for WBGene00008628(ttr-21). History: N.A.
F55G11.8,F55G11.8,81.96705606,124.7521517,116.1619975,0,0,0,-589.14,4.71e-13,F55G11.8,WBGene00010128,Public name for WBGene00010128. History: N.A.
ZK896.5,ZK896.5,80.9781348,119.4204082,118.5140578,0,0,0,-581.84,5.3e-13,ZK896.5,WBGene00014136,Public name for WBGene00014136. History: N.A.
C42D8.1,C42D8.1,102.707884,105.5600177,105.595829,0,0,0,-570.24,3.74e-13,C42D8.1,WBGene00016599,Public name for WBGene00016599. History: N.A.
F14H3.11,nhr-176,100.7305309,116.2220723,83.30825001,0,0,0,-545.74,7.52e-13,F14H3.11,WBGene00008830,Sequence name for WBGene00008830(nhr-176). History: N.A.
F57A8.8,fipr-13,64.20798964,121.5606086,98.49219651,0,0,0,-519.36,2.7e-12,F57A8.8,WBGene00010183,Sequence name for WBGene00010183(fipr-13). History: N.A.
C12D5.9,C12D5.9,86.90475729,93.83066035,103.2553418,0,0,0,-516.44,1.18e-12,C12D5.9,WBGene00015710,Public name for WBGene00015710. History: N.A.
F47E1.4,F47E1.4,80.97708469,120.4863091,72.75372958,0,0,0,-499.69,2.93e-12,F47E1.4,WBGene00018568,Public name for WBGene00018568. History: N.A.
Y38H6C.23,Y38H6C.23,93.82907853,105.5623988,73.89731049,0,0,0,-496.38,2.07e-12,Y38H6C.23,WBGene00012634,Public name for WBGene00012634. History: N.A.
K02E11.6,K02E11.6,74.07483994,73.57362539,119.6464995,0,0,0,-486.44,4.16e-12,K02E11.6,WBGene00010515,Public name for WBGene00010515. History: N.A.
C49A9.3,C49A9.3,66.16466007,111.9564794,85.6600663,0,0,0,-481.62,4.43e-12,C49A9.3,WBGene00016757,Public name for WBGene00016757. History: N.A.
Y82E9BL.10,fbxa-14,65.17910461,101.2946512,96.21308421,0,0,0,-479.41,4.19e-12,Y82E9BL.10,WBGene00022326,Sequence name for WBGene00022326(fbxa-14). History: N.A.
F31F6.4,flp-8,79.01245129,101.2968147,80.939288,0,0,0,-477.56,3e-12,F31F6.4,WBGene00001451,Sequence name for WBGene00001451(flp-8). History: N.A.
F14B8.4,F14B8.4,80.99040059,107.6952998,72.72171635,0,0,0,-475.65,3.72e-12,F14B8.4,WBGene00017446,Public name for WBGene00017446. History: N.A.
K11H12.4,K11H12.4,82.95383512,68.24034915,92.69724814,0,0,0,-442.58,6.29e-12,K11H12.4,WBGene00019660,Public name for WBGene00019660. History: N.A.
T20D4.11,T20D4.11,59.25590157,94.89787881,83.29828433,0,0,0,-433.34,1.18e-11,T20D4.11,WBGene00020617,Public name for WBGene00020617. History: N.A.
K10C2.7,K10C2.7,52.35023235,107.6965895,72.71138915,0,0,0,-425.52,2.41e-11,K10C2.7,WBGene00019622,Public name for WBGene00019622. History: N.A.
K05F1.10,K05F1.10,70.12298444,72.50706155,86.80632926,0,0,0,-417.05,1.13e-11,K05F1.10,WBGene00019411,Public name for WBGene00019411. History: N.A.
F23H12.8,fipr-1,74.08752238,85.30604878,66.83065908,0,0,0,-410.96,1.29e-11,F23H12.8,WBGene00009096,Sequence name for WBGene00009096(fipr-1). History: N.A.
K02E11.4,K02E11.4,55.30879509,100.2305648,65.68960522,0,0,0,-403.95,3.14e-11,K02E11.4,WBGene00010513,Public name for WBGene00010513. History: N.A.
F14H12.3,F14H12.3,74.0680657,56.51190801,90.34348953,0,0,0,-400.86,2.2e-11,F14H12.3,WBGene00017471,Public name for WBGene00017471. History: N.A.
F44C4.5,ppt-1,70.11699444,75.70444273,71.57293246,0,0,0,-395.13,1.74e-11,F44C4.5,WBGene00004092,Sequence name for WBGene00004092(ppt-1). History: N.A.
Y17G9A.4,Y17G9A.4,54.31516698,97.02930932,64.53556297,0,0,0,-394.24,3.86e-11,Y17G9A.4,WBGene00021197,"Public name for WBGene00021197. History: Split into Y17G9A.91(WBGene00235375). History of WBGene00021197: Split into ""WBGene00235375"" on 2013-09-27"
F58F9.4,F58F9.4,62.21627254,90.63200846,63.36023258,0,0,0,-393.98,2.7e-11,F58F9.4,WBGene00019058,Public name for WBGene00019058. History: N.A.
Y14H12A.1,Y14H12A.1,56.29621466,92.76649824,65.69034688,0,0,0,-391.77,3.43e-11,Y14H12A.1,WBGene00021190,Public name for WBGene00021190. History: N.A.
Y41G9A.10,Y41G9A.10,56.29286479,88.50018323,66.8740391,0,0,0,-386.06,3.57e-11,Y41G9A.10,WBGene00044901,Public name for WBGene00044901. History: N.A.
B0222.6,col-144,41.47758482,71.43937498,97.38658548,0,0,0,-384.78,8.67e-11,B0222.6,WBGene00000717,Sequence name for WBGene00000717(col-144). History: N.A.
C32H11.4,C32H11.4,49.377703,69.30673776,89.17506791,0,0,0,-379.34,5.47e-11,C32H11.4,WBGene00007867,Public name for WBGene00007867. History: N.A.
F52E1.2,F52E1.2,61.23093124,76.77127041,70.3934304,0,0,0,-379.32,3.03e-11,F52E1.2,WBGene00018692,"Public name for WBGene00018692. History: Merged into ""WBGene00018699"" on 2005-07-20; Resurrected on 2005-08-19"
T01G6.4,nhr-106,63.20312027,78.90295959,62.18877077,0,0,0,-371.75,3.78e-11,T01G6.4,WBGene00003696,Sequence name for WBGene00003696(nhr-106). History: N.A.
Y54G2A.46,pudl-1,75.05980246,58.64516697,63.34836739,0,0,0,-356.96,4.97e-11,Y54G2A.46,WBGene00044489,Sequence name for WBGene00044489(pudl-1). History: N.A.
C54D1.2,clec-86,40.49245671,68.24152276,84.46634047,0,0,0,-353.16,1.53e-10,C54D1.2,WBGene00016912,Sequence name for WBGene00016912(clec-86). History: N.A.
ZK622.5,ZK622.5,48.39283093,55.4460839,85.64229272,0,0,0,-345.28,1.39e-10,ZK622.5,WBGene00044667,Public name for WBGene00044667. History: N.A.
T08A9.2,ttr-30,48.39455516,68.24188281,72.73035357,0,0,0,-345.24,1.04e-10,T08A9.2,WBGene00020335,Sequence name for WBGene00020335(ttr-30). History: N.A.
F09A5.1,spin-3,56.28968366,76.77026386,56.32350031,0,0,0,-344.9,9.1e-11,F09A5.1,WBGene00008598,Sequence name for WBGene00008598(spin-3). History: N.A.
F53A9.1,F53A9.1,52.35451989,59.7140637,76.21298094,0,0,0,-342.54,1.02e-10,F53A9.1,WBGene00018724,Public name for WBGene00018724. History: N.A.
F48C11.3,nlp-3,55.31446422,61.84582132,69.18971176,0,0,0,-338.83,9.3e-11,F48C11.3,WBGene00003741,Sequence name for WBGene00003741(nlp-3). History: N.A.
F07C6.2,F07C6.2,51.35976623,97.03239886,35.18792727,0,0,0,-334.94,4.8e-10,F07C6.2,WBGene00008553,Public name for WBGene00008553. History: N.A.
T17H7.1,T17H7.1,61.22668089,42.65003739,79.79404793,0,0,0,-333.27,1.81e-10,T17H7.1,WBGene00020550,Sequence name for WBGene00020550(idpp-1). History: N.A.
Y57G11C.40,Y57G11C.40,46.41764549,77.8377838,57.48581592,0,0,0,-331.67,1.8e-10,Y57G11C.40,WBGene00013329,Public name for WBGene00013329. History: N.A.
R09B5.8,cnc-3,47.41409456,57.58105708,71.52827716,0,0,0,-321.35,2.01e-10,R09B5.8,WBGene00000557,Sequence name for WBGene00000557(cnc-3). History: N.A.
B0024.4,B0024.4,42.46455182,46.91526214,84.48309599,0,0,0,-317.03,4.41e-10,B0024.4,WBGene00007097,Public name for WBGene00007097. History: N.A.
R13D7.7,gst-41,49.37963115,55.44587896,66.87431029,0,0,0,-312.43,2.29e-10,R13D7.7,WBGene00001789,Sequence name for WBGene00001789(gst-41). History: N.A.
T03D8.7,T03D8.7,46.42584418,71.44300486,50.42289959,0,0,0,-306.66,3.44e-10,T03D8.7,WBGene00011394,Public name for WBGene00011394. History: N.A.
F21C10.8,pqn-31,54.4487652,65.67772772,46.85138971,0,0,0,-305.68,2.79e-10,F21C10.8,WBGene00004119,Sequence name for WBGene00004119(pqn-31). History: N.A.
C14C6.2,C14C6.2,47.40568431,46.91602039,71.56224012,0,0,0,-301.74,4.08e-10,C14C6.2,WBGene00015756,Public name for WBGene00015756. History: N.A.
Y40C5A.1,sqst-2,38.51558974,73.57219099,51.62414944,0,0,0,-299.17,6.24e-10,Y40C5A.1,WBGene00021495,Sequence name for WBGene00021495(sqst-2). History: N.A.
R10E8.8,R10E8.8,39.50256882,66.1081188,55.14622051,0,0,0,-293.47,5.87e-10,R10E8.8,WBGene00011213,Public name for WBGene00011213. History: N.A.
C16E9.1,C16E9.1,40.4888406,40.51758727,79.79283944,0,0,0,-293.06,1.01e-09,C16E9.1,WBGene00015865,Public name for WBGene00015865. History: N.A.
F15E11.15,pud-3,52.44644563,48.0764974,43.49212817,0,0,0,-287.11,4.97e-10,F15E11.15,WBGene00017501,Sequence name for WBGene00017501(pud-3). History: N.A.
ZK899.6,ZK899.6,49.37801442,61.84302329,45.76011752,0,0,0,-285.61,5.41e-10,ZK899.6,WBGene00014144,Public name for WBGene00014144. History: N.A.
F41E7.2,F41E7.2,51.35172169,73.57141539,31.68241558,0,0,0,-285.01,1.26e-09,F41E7.2,WBGene00009618,Public name for WBGene00009618. History: N.A.
E02C12.4,ttr-40,40.4935544,74.63962218,39.88398912,0,0,0,-282.99,1.21e-09,E02C12.4,WBGene00017091,Sequence name for WBGene00017091(ttr-40). History: N.A.
T10H4.11,cyp-34A2,52.33945242,51.18015868,50.45667034,0,0,0,-279.62,5.43e-10,T10H4.11,WBGene00011699,Sequence name for WBGene00011699(cyp-34A2). History: N.A.
Y54G2A.52,Y54G2A.52,42.47254916,53.31506378,57.46646953,0,0,0,-278.98,7.07e-10,Y54G2A.52,WBGene00045397,Public name for WBGene00045397. History: N.A.
F40F4.8,pqn-37,42.46392885,45.84885432,64.53823303,0,0,0,-278.24,8.55e-10,F40F4.8,WBGene00004124,Sequence name for WBGene00004124(pqn-37). History: N.A.
Y73F4A.3,Y73F4A.3,35.55444506,57.57881876,58.65677096,0,0,0,-277.1,1.08e-09,Y73F4A.3,WBGene00013516,Public name for WBGene00013516. History: N.A.
Y46D2A.2,Y46D2A.2,38.51661449,50.11469194,59.83282099,0,0,0,-270.56,1.12e-09,Y46D2A.2,WBGene00021590,"Public name for WBGene00021590. History: Split into ""WBGene00195076"" on 2010-04-22"
M01B2.6,chil-12,30.61377651,50.1139551,64.53684233,0,0,0,-265.5,2.31e-09,M01B2.6,WBGene00010799,Sequence name for WBGene00010799(chil-12). History: N.A.
T04A11.2,T04A11.2,41.47749818,61.84301186,42.24020099,0,0,0,-265.29,1.37e-09,T04A11.2,WBGene00011417,Public name for WBGene00011417. History: N.A.
T04A11.5,T04A11.5,41.47749818,61.84301186,42.24020099,0,0,0,-265.29,1.37e-09,T04A11.5,WBGene00011420,Public name for WBGene00011420. History: N.A.
B0272.1,tbb-4,55.30233787,39.4514166,51.6293941,0,0,0,-265.17,1.06e-09,B0272.1,WBGene00006538,Sequence name for WBGene00006538(tbb-4). History: N.A.
ZK896.4,ZK896.4,45.42675486,49.04766677,48.10967747,0,0,0,-259.2,1.19e-09,ZK896.4,WBGene00014135,Public name for WBGene00014135. History: N.A.
C25F9.14,C25F9.14,30.61630066,54.37998466,56.31063317,0,0,0,-258.22,2.58e-09,C25F9.14,WBGene00045461,Public name for WBGene00045461. History: N.A.
ZC239.16,ZC239.16,44.44339171,58.64519307,38.71268689,0,0,0,-258.02,1.65e-09,ZC239.16,WBGene00022574,Public name for WBGene00022574. History: N.A.
F13H8.11,F13H8.11,51.35209367,45.84892805,42.24240157,0,0,0,-252.91,1.49e-09,F13H8.11,WBGene00017443,Public name for WBGene00017443. History: N.A.
ZC196.4,ZC196.4,41.47652869,58.64392591,38.72260723,0,0,0,-252.9,2.11e-09,ZC196.4,WBGene00022548,Public name for WBGene00022548. History: N.A.
ZK1320.10,nlp-11,34.56794744,47.98270168,53.95952533,0,0,0,-248.85,2.57e-09,ZK1320.10,WBGene00003749,Sequence name for WBGene00003749(nlp-11). History: N.A.
F59C6.11,F59C6.11,25.67799733,58.64498338,49.27278154,0,0,0,-244.62,6.08e-09,F59C6.11,WBGene00010328,Public name for WBGene00010328. History: N.A.
E02C12.8,E02C12.8,50.84085196,27.92396878,55.15030893,0,0,0,-241.53,5.03e-09,E02C12.8,WBGene00017093,Public name for WBGene00017093. History: N.A.
Y70C5C.1,Y70C5C.1,43.45083447,38.38496216,49.28564742,0,0,0,-238.08,2.91e-09,Y70C5C.1,WBGene00013492,Public name for WBGene00013492. History: N.A.
Y51H4A.8,Y51H4A.8,22.71494127,53.3135099,52.79357361,0,0,0,-236.04,1.02e-08,Y51H4A.8,WBGene00013104,Public name for WBGene00013104. History: N.A.
R11G11.7,pqn-60,31.60422154,53.31382402,43.40501662,0,0,0,-234.21,5.1e-09,R11G11.7,WBGene00004144,Sequence name for WBGene00004144(pqn-60). History: N.A.
F58B6.1,F58B6.1,41.47760289,41.58411788,44.5865775,0,0,0,-231.91,3.49e-09,F58B6.1,WBGene00019029,Public name for WBGene00019029. History: N.A.
ZC47.5,fbxa-31,36.5397771,45.84915111,43.41329714,0,0,0,-229.02,4.42e-09,ZC47.5,WBGene00013838,Sequence name for WBGene00013838(fbxa-31). History: N.A.
C37A5.3,C37A5.3,55.31733394,39.45383048,30.48614971,0,0,0,-226.21,6.41e-09,C37A5.3,WBGene00014698,Public name for WBGene00014698. History: N.A.
F39E9.22,F39E9.22,36.54103961,53.31338223,32.85026752,0,0,0,-223.51,7.47e-09,F39E9.22,WBGene00018194,"Public name for Dead gene WBGene00195075. History of WBGene00195075: Merged into ""WBGene00018194"" on 2013-02-19"
C41G7.8,C41G7.8,38.51753021,47.98240934,36.36665535,0,0,0,-223.5,5.71e-09,C41G7.8,WBGene00077525,Public name for WBGene00077525. History: N.A.
F56C3.2,fbxa-190,28.63867546,38.38515144,55.14976168,0,0,0,-222.92,9.97e-09,F56C3.2,WBGene00018939,Sequence name for WBGene00018939(fbxa-190). History: N.A.
cTel54X.1,fbxa-6,41.47729136,31.98772875,46.93418314,0,0,0,-218.39,7.42e-09,cTel54X.1,WBGene00008352,Sequence name for WBGene00008352(fbxa-6). History: N.A.
C34H4.3,tag-244,25.67621167,53.31278431,39.89491583,0,0,0,-217.46,1.43e-08,C34H4.3,WBGene00044073,"Sequence name for WBGene00044073(tag-244). History: N.A.. Public name for Dead gene WBGene00016426. History of WBGene00016426: Merged into ""WBGene00044073"" on 2005-10-05"
C03G6.5,exc-13,33.57827053,41.58444315,43.40922009,0,0,0,-215.87,8.06e-09,C03G6.5,WBGene00015393,Sequence name for WBGene00015393(exc-13). History: N.A.
F49E10.3,flp-7,32.59120605,43.71713968,41.06098262,0,0,0,-213.79,9.14e-09,F49E10.3,WBGene00001450,Sequence name for WBGene00001450(flp-7). History: N.A.
ZK1240.9,ZK1240.9,16.7890261,52.24704419,45.75646077,0,0,0,-210.8,4.5e-08,ZK1240.9,WBGene00022873,Public name for WBGene00022873. History: N.A.
C15H9.11,C15H9.11,28.64277421,43.71783464,42.22619263,0,0,0,-208.98,1.36e-08,C15H9.11,WBGene00015805,Public name for WBGene00015805. History: N.A.
K11E4.2,K11E4.2,36.54008263,37.31914693,41.06571324,0,0,0,-208.85,9.77e-09,K11E4.2,WBGene00010774,Public name for WBGene00010774. History: N.A.
W07A12.6,oac-54,32.58878041,33.05386731,46.93618786,0,0,0,-204.79,1.5e-08,W07A12.6,WBGene00012323,Sequence name for WBGene00012323(oac-54). History: N.A.
Y45G12C.1,Y45G12C.1,32.58912659,46.91527902,32.85439717,0,0,0,-204.71,1.53e-08,Y45G12C.1,WBGene00021565,Public name for WBGene00021565. History: N.A.
F11E6.11,F11E6.11,47.40466865,40.5181853,24.6375939,0,0,0,-203.7,1.92e-08,F11E6.11,WBGene00023501,Public name for WBGene00023501. History: N.A.
C12D8.19,fipr-9,24.69617876,40.52049824,45.72456648,0,0,0,-202.48,2.34e-08,C12D8.19,WBGene00044175,Sequence name for WBGene00044175(fipr-9). History: N.A.
C35D6.4,C35D6.4,39.50384768,35.18683651,36.3698871,0,0,0,-201.47,1.32e-08,C35D6.4,WBGene00007961,Public name for WBGene00007961. History: N.A.
C23H4.8,C23H4.8,28.64015791,44.78319999,36.37033464,0,0,0,-200.25,1.98e-08,C23H4.8,WBGene00044132,Public name for WBGene00044132. History: N.A.
K04A8.5,lipl-4,31.60144632,28.78889428,49.28214255,0,0,0,-199.45,2.36e-08,K04A8.5,WBGene00019376,Sequence name for WBGene00019376(lipl-4). History: N.A.
C14C11.4,C14C11.4,32.58874329,40.51763338,36.3756565,0,0,0,-199.28,1.63e-08,C14C11.4,WBGene00015768,Public name for WBGene00015768. History: N.A.
R09D1.6,chil-19,35.55147569,38.38515546,35.20193179,0,0,0,-198.36,1.57e-08,R09D1.6,WBGene00011162,Sequence name for WBGene00011162(chil-19). History: N.A.
T06F4.2,clh-4,19.66371812,39.27815748,49.06969535,0,0,0,-195.36,5.17e-08,T06F4.2,WBGene00000531,Sequence name for WBGene00000531(clh-4). History: N.A.
F38C2.5,ccch-2,46.41748869,29.85556554,31.67614417,0,0,0,-195.09,2.23e-08,F38C2.5,WBGene00009537,Sequence name for WBGene00009537(ccch-2). History: N.A.
C47E12.9,C47E12.9,26.66508296,46.91577636,32.85026752,0,0,0,-194.3,3.11e-08,C47E12.9,WBGene00008152,Public name for WBGene00008152. History: N.A.
C52E2.5,C52E2.5,27.6508752,36.25256614,41.07000423,0,0,0,-191.31,2.85e-08,C52E2.5,WBGene00016884,Public name for WBGene00016884. History: N.A.
C44H9.1,ugt-15,36.53878047,36.25259391,31.68228694,0,0,0,-189.68,2.39e-08,C44H9.1,WBGene00008097,Sequence name for WBGene00008097(ugt-15). History: N.A.
Y38H6C.21,Y38H6C.21,37.52759096,42.65043786,23.46622475,0,0,0,-188.21,3.88e-08,Y38H6C.21,WBGene00012633,Public name for WBGene00012633. History: N.A.
C50B8.5,C50B8.5,30.61569318,38.38569961,34.02281445,0,0,0,-187.5,2.91e-08,C50B8.5,WBGene00008227,Public name for WBGene00008227. History: N.A.
F55G11.5,dod-22,36.07095424,32.8102499,33.81445741,0,0,0,-186.65,2.77e-08,F55G11.5,WBGene00010125,Sequence name for WBGene00010125(dod-22). History: N.A.
K01A2.2,far-7,33.12741031,57.46923786,40.89015705,0,0,0,-184.71,3.32e-08,K01A2.2,WBGene00001391,Sequence name for WBGene00001391(far-7). History: N.A.
F53A9.7,F53A9.7,41.48673052,29.85674665,28.14336595,0,0,0,-179.87,4.46e-08,F53A9.7,WBGene00018730,Public name for WBGene00018730. History: N.A.
ZC416.4,kgb-2,25.67646791,33.05400075,39.89384998,0,0,0,-179.73,5.27e-08,ZC416.4,WBGene00002188,Sequence name for WBGene00002188(kgb-2). History: N.A.
C03G5.12,nspc-5,25.680763,49.04972369,23.45646741,0,0,0,-179.24,9.34e-08,C03G5.12,WBGene00044340,Sequence name for WBGene00044340(nspc-5). History: N.A.
F21C10.11,F21C10.11,14.3074314,28.38926096,40.02836874,0,0,0,-178.25,1.49e-07,F21C10.11,WBGene00017660,Public name for WBGene00017660. History: N.A.
