# Table S2. 22G-RNA levels of 21U-RNA target gene in FLAGPRG-1 (WT); prg-1, FLAGPRG-1 (D583A);prg-1 and prg-1 strain.
# Only targets exhibits 8 fold enrichment of 22G-RNAs in FLAGPRG-1 (WT) over prg-1 are shown.
Gene Name,Gene ID,Transcript,21U RNA,22G-RNA level (rpm)_prg-1,22G-RNA level (rpm)_FLAG::PRG1 (WT),22G-RNA level (rpm)_FLAG::PRG-1 (D583A),Input,Suggested Match,History
bath-45,F29C12.5,F29C12.5,21ur-8053|R13H7.14,4.3,349.9,369.8,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
Y75B8A.19,Y75B8A.19,Y75B8A.19,21ur-5342|F13G11.10,4.3,318.6,176.9,Y75B8A.19,WBGene00013554,Public name for WBGene00013554. History: N.A.
F46F2.4,F46F2.4,F46F2.4,21ur-8186|Y105C5B.696,0.8,315.5,134.2,F46F2.4,WBGene00009788,Public name for WBGene00009788. History: N.A.
fbxa-67,T12B5.11,T12B5.11,21ur-2501|M03D4.9,4.0,278.6,115.7,fbxa-67,WBGene00020457,Public name for WBGene00020457. History: N.A.
Y71H2B.11,Y71H2B.11,Y71H2B.11,21ur-2232|Y43D4A.62,6.1,263.7,76.8,Y71H2B.11,WBGene00022198,Public name for WBGene00022198. History: N.A.
F46F2.4,F46F2.4,F46F2.4,21ur-5446|Y37A1A.17,2.3,256.3,159.9,F46F2.4,WBGene00009788,Public name for WBGene00009788. History: N.A.
R166.3,R166.3,R166.3,21ur-906|C06E7.11,9.4,228.1,25.4,R166.3,WBGene00011303,Public name for WBGene00011303. History: N.A.
T04D1.2,T04D1.2,T04D1.2,21ur-12047|T04D1.6,1.2,228.0,122.0,T04D1.2,WBGene00020212,Public name for WBGene00020212. History: N.A.
T07E3.2,T07E3.2,T07E3.2,21ur-15190|B0350.47,1.2,227.5,144.1,T07E3.2,WBGene00020313,Public name for WBGene00020313. History: N.A.
faah-5,Y56A3A.5,Y56A3A.5,21ur-8948|Y40H7A.186,91.0,219.4,169.9,faah-5,WBGene00013226,"Public name for WBGene00013226. History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
T01C8.5,T01C8.5,T01C8.5,21ur-1691|F52D4.3,1.4,219.3,270.0,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
T27F6.8,T27F6.8,T27F6.8,21ur-12509|Y57G11C.791,1.1,216.9,235.8,T27F6.8,WBGene00012107,Public name for WBGene00012107. History: N.A.
fozi-1,K01B6.1,K01B6.1,21ur-7402|LLC1.101,26.2,212.6,206.0,fozi-1,WBGene00010453,Public name for WBGene00010453. History: N.A.
unc-49,T21C12.1,T21C12.1a,21ur-7480|Y105C5B.628,1.1,205.1,74.8,unc-49,WBGene00006784,Public name for WBGene00006784. History: N.A.
ZK892.6,ZK892.6,ZK892.6,21ur-3426|F26D12.18,1.4,203.9,247.4,ZK892.6,WBGene00014130,Public name for WBGene00014130. History: N.A.
faah-5,Y56A3A.5,Y56A3A.5,21ur-4068|C46G7.13,1.4,201.8,165.6,faah-5,WBGene00013226,"Public name for WBGene00013226. History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
F22H10.4,F22H10.4,F22H10.4,21ur-2284|Y105C5B.207,1.4,193.8,87.4,F22H10.4,WBGene00017729,"Public name for Dead gene WBGene00017728. History of WBGene00017728: Merged into ""WBGene00017729"" on 2014-12-15"
T22B2.2,T22B2.2,T22B2.2,21ur-4012|Y57G11B.83,4.0,191.5,206.4,T22B2.2,WBGene00020666,Public name for WBGene00020666. History: N.A.
T04D1.2,T04D1.2,T04D1.2,21ur-8243|Y116A8C.215,0.9,178.9,107.0,T04D1.2,WBGene00020212,Public name for WBGene00020212. History: N.A.
C30G12.1,C30G12.1,C30G12.1,21ur-2587|Y105C5A.64,0.4,173.8,163.4,C30G12.1,WBGene00016273,Public name for WBGene00016273. History: N.A.
klp-20,Y50D7A.6,Y50D7A.6,21ur-4846|F52B11.10,5.4,171.9,422.7,klp-20,WBGene00002230,Public name for WBGene00002230. History: N.A.
B0205.12,B0205.12,B0205.12,21ur-8517|Y73F8A.1140,16.9,165.6,441.5,B0205.12,WBGene00044413,Public name for WBGene00044413. History: N.A.
pyk-1,F25H5.3,F25H5.3e,21ur-11158|ZK1131.1,0.4,164.6,2.6,pyk-1,WBGene00009126,Public name for WBGene00009126. History: N.A.
ins-5,ZK84.3,ZK84.3,21ur-8622|Y67A10A.211,0.4,160.3,71.7,ins-5,WBGene00002088,Public name for WBGene00002088. History: N.A.
F02E11.4,F02E11.4,F02E11.4,21ur-10741|Y57G11A.84,4.3,152.8,45.4,F02E11.4,WBGene00017182,Public name for WBGene00017182. History: N.A.
F08F3.8,F08F3.8,F08F3.8,21ur-5944|Y67A10A.150,2.7,152.8,153.9,F08F3.8,WBGene00017264,Public name for WBGene00017264. History: N.A.
ZK856.4,ZK856.4,ZK856.4,21ur-4093|Y51H4A.150,1.5,151.3,4.1,ZK856.4,WBGene00014105,Public name for WBGene00014105. History: N.A.
W04C9.5,W04C9.5,W04C9.5,21ur-8411|W04C9.7,0.4,150.6,95.6,W04C9.5,WBGene00021027,Public name for WBGene00021027. History: N.A.
par-2,F58B6.3,F58B6.3a,21ur-5095|Y57G11C.357,0.4,149.0,14.7,par-2,WBGene00003917,"Public name for WBGene00003917. History: Split into F58B6.11(WBGene00306125). History of WBGene00003917: Split into ""WBGene00306125"" on 2022-01-02"
B0303.2,B0303.2,B0303.2,21ur-8047|Y57G11C.527,1.3,146.9,325.8,B0303.2,WBGene00015124,Sequence name for WBGene00015124(anmt-1). History: N.A.
F09G2.1,F09G2.1,F09G2.1,21ur-4125|Y105C5A.78,0.4,141.8,98.0,F09G2.1,WBGene00017310,Public name for WBGene00017310. History: N.A.
W03C9.1,W03C9.1,W03C9.1,21ur-7458|B0273.94,0.4,136.6,99.7,W03C9.1,WBGene00012219,Public name for WBGene00012219. History: N.A.
Y74C9A.1,Y74C9A.1,Y74C9A.1,21ur-13541|T06A10.87,7.0,135.2,58.8,Y74C9A.1,WBGene00022275,Sequence name for WBGene00022275(txt-7). History: N.A.
AC8.3,AC8.3,AC8.3,21ur-1995|Y65A5A.4,2.2,135.0,165.0,AC8.3,WBGene00007075,Public name for WBGene00007075. History: N.A.
AC8.10,AC8.10,AC8.10,21ur-1995|Y65A5A.4,2.2,135.0,165.0,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
hil-8,T05E8.2,T05E8.2,21ur-9838|W03B1.11,2.9,131.6,163.2,hil-8,WBGene00001859,Public name for WBGene00001859. History: N.A.
Y102A5C.4,Y102A5C.4,Y102A5C.4,21ur-9240|Y67A10A.163,2.0,130.5,3.1,Y102A5C.4,WBGene00013613,Public name for WBGene00013613. History: N.A.
fbxa-218,Y49E10.17,Y49E10.17a,21ur-15336|E03D2.7,0.0,129.4,182.2,fbxa-218,WBGene00013036,Public name for WBGene00013036. History: N.A.
bath-23,Y49F6C.5,Y49F6C.5,21ur-3237|Y57G11C.140,2.2,128.2,114.2,bath-23,WBGene00021727,Public name for WBGene00021727. History: N.A.
F38E9.4,F38E9.4,F38E9.4,21ur-1364|Y105C5A.332,6.1,127.8,59.7,F38E9.4,WBGene00018186,Public name for WBGene00018186. History: N.A.
C30G12.1,C30G12.1,C30G12.1,21ur-13737|H04M03.53,1.1,127.7,94.2,C30G12.1,WBGene00016273,Public name for WBGene00016273. History: N.A.
gsa-1,R06A10.2,R06A10.2.1,21ur-10846|C47A4.75,1.4,126.3,0.7,gsa-1,WBGene00001745,Public name for WBGene00001745. History: N.A.
fbxb-85,R17.1,R17.1,21ur-6667|Y73F8A.1065,7.2,125.2,53.0,fbxb-85,WBGene00011267,Public name for WBGene00011267. History: N.A.
ugt-31,Y39G10AR.6,Y39G10AR.6,21ur-15520|Y105C5B.712,0.4,114.0,157.0,ugt-31,WBGene00021464,Public name for WBGene00021464. History: N.A.
Y48G1C.5,Y48G1C.5,Y48G1C.5,21ur-12709|Y51H4A.428,2.7,111.7,76.5,Y48G1C.5,WBGene00021678,Public name for WBGene00021678. History: N.A.
eri-6,C41D11.1,C41D11.1c.2,21ur-720|Y105C5A.481,197.0,110.0,67.5,eri-6,WBGene00016561,Public name for WBGene00016561. History: N.A.
Y40A1A.1,Y40A1A.1,Y40A1A.1,21ur-9473|Y73B6BL.211,1.1,108.5,26.0,Y40A1A.1,WBGene00021483,Public name for WBGene00021483. History: N.A.
Y42G9A.1,Y42G9A.1,Y42G9A.1,21ur-13825|Y105C5A.992,1.1,108.4,6.2,Y42G9A.1,WBGene00021531,Public name for WBGene00021531. History: N.A.
haf-4,W04C9.1,W04C9.1,21ur-3610|T23G4.51,0.4,108.3,70.7,haf-4,WBGene00001814,Public name for WBGene00001814. History: N.A.
Y47D3A.22,Y47D3A.22,Y47D3A.22,21ur-8923|Y51H4A.685,1.1,108.3,126.5,Y47D3A.22,WBGene00012933,Sequence name for WBGene00012933(mib-1). History: N.A.
Y110A2AL.10,Y110A2AL.10,Y110A2AL.10,21ur-6783|Y57G11C.1052,1.9,107.1,53.4,Y110A2AL.10,WBGene00022446,Public name for WBGene00022446. History: N.A.
C03D6.1,C03D6.1,C03D6.1,21ur-10533|Y57G11C.990,0.0,106.9,100.4,C03D6.1,WBGene00007275,Public name for WBGene00007275. History: N.A.
F26D2.3,F26D2.3,F26D2.3a,21ur-821|Y105C5B.168,1.6,105.4,68.6,F26D2.3,WBGene00009148,Public name for WBGene00009148. History: N.A.
ZK1055.7,ZK1055.7,ZK1055.7.1,21ur-7157|Y105C5B.1176,0.4,103.2,123.1,ZK1055.7,WBGene00022848,Public name for WBGene00022848. History: N.A.
ZC53.6,ZC53.6,ZC53.6,21ur-6378|H25K10.61,1.1,101.9,2.9,ZC53.6,WBGene00022512,Sequence name for WBGene00022512(dot-1.5). History: N.A.
ZK686.6,ZK686.6,ZK686.6,21ur-13849|Y105C5B.840,0.4,99.1,55.5,ZK686.6,WBGene00044799,Public name for WBGene00044799. History: N.A.
F02E11.4,F02E11.4,F02E11.4,21ur-1272|Y4C6B.21,2.1,98.2,28.8,F02E11.4,WBGene00017182,Public name for WBGene00017182. History: N.A.
Y44A6D.3,Y44A6D.3,Y44A6D.3,21ur-8803|F13G11.74,0.9,96.4,11.5,Y44A6D.3,WBGene00012854,Public name for WBGene00012854. History: N.A.
faah-5,Y56A3A.5,Y56A3A.5,21ur-9803|Y51H4A.463,0.0,95.8,97.5,faah-5,WBGene00013226,"Public name for WBGene00013226. History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
Y71G12B.35,Y71G12B.35,Y71G12B.35,21ur-4506|21ur-4506,0.4,95.5,2.9,Y71G12B.35,WBGene00185098,Public name for WBGene00185098. History: N.A.
C30G12.1,C30G12.1,C30G12.1,21ur-10424|T12E12.43,0.6,94.6,72.9,C30G12.1,WBGene00016273,Public name for WBGene00016273. History: N.A.
Y110A7A.21,Y110A7A.21,Y110A7A.21,21ur-7856|Y57G11C.1022,0.7,93.1,126.9,Y110A7A.21,WBGene00045212,Public name for WBGene00045212. History: N.A.
F26D2.3,F26D2.3,F26D2.3a,21ur-389|Y116A8C.117,3.4,92.4,32.6,F26D2.3,WBGene00009148,Public name for WBGene00009148. History: N.A.
hlh-11,F58A4.7,F58A4.7a.1,21ur-7176|Y51H4A.680,1.1,91.4,0.6,hlh-11,WBGene00001955,Public name for WBGene00001955. History: N.A.
T19A6.4,T19A6.4,T19A6.4,21ur-4510|Y105C5A.216,0.0,88.6,1.1,T19A6.4,WBGene00011829,Public name for WBGene00011829. History: N.A.
Y23H5B.3,Y23H5B.3,Y23H5B.3,21ur-9051|C24D10.40,0.4,88.6,73.8,Y23H5B.3,WBGene00021274,Public name for WBGene00021274. History: N.A.
F54D10.3,F54D10.3,F54D10.3,21ur-7674|Y105C5A.1050,0.7,83.2,66.0,F54D10.3,WBGene00018804,Sequence name for WBGene00018804(lido-15). History: N.A.
xnp-1,B0041.7,B0041.7,21ur-6429|Y73F8A.876,4.3,83.1,5.1,xnp-1,WBGene00006961,Public name for WBGene00006961. History: Renamed on 2004-09-10
F40D4.13,F40D4.13,F40D4.13,21ur-9029|Y105C5A.928,3.6,82.2,41.7,F40D4.13,WBGene00009572,Public name for WBGene00009572. History: N.A.
ndx-8,Y87G2A.14,Y87G2A.14,21ur-1272|Y4C6B.21,0.0,80.3,151.2,ndx-8,WBGene00003585,Public name for WBGene00003585. History: N.A.
Y47G6A.30,Y47G6A.30,Y47G6A.30,21ur-10264|F13G11.63,0.0,79.4,2.7,Y47G6A.30,WBGene00021653,Public name for WBGene00021653. History: N.A.
Y61A9LA.9,Y61A9LA.9,Y61A9LA.9,21ur-3707|Y105C5B.329,0.4,74.5,52.6,Y61A9LA.9,WBGene00022020,Sequence name for WBGene00022020(hpo-39). History: N.A.
fbxa-111,Y102A5C.14,Y102A5C.14,21ur-13239|C02B8.9,0.8,74.3,7.7,fbxa-111,WBGene00013620,Public name for WBGene00013620. History: N.A.
F53G12.8,F53G12.8,F53G12.8,21ur-8041|Y73F8A.917,0.2,74.0,85.2,F53G12.8,WBGene00018773,Public name for WBGene00018773. History: N.A.
ugt-31,Y39G10AR.6,Y39G10AR.6,21ur-3178|Y73F8A.424,0.4,73.5,90.4,ugt-31,WBGene00021464,Public name for WBGene00021464. History: N.A.
cdh-1,R10F2.1,R10F2.1,21ur-5541|Y73B6BL.237,0.0,73.2,95.9,cdh-1,WBGene00019994,Public name for WBGene00019994. History: N.A.
H39E20.1,H39E20.1,H39E20.1,21ur-7483|Y105C5A.733,0.0,71.9,4.9,H39E20.1,WBGene00019267,Public name for WBGene00019267. History: N.A.
F37H8.6,F37H8.6,F37H8.6,21ur-5982|H16O14.43,7.6,71.7,44.8,F37H8.6,WBGene00194955,Public name for WBGene00194955. History: N.A.
sdz-33,Y56A3A.14,Y56A3A.14,21ur-4810|Y105C5B.462,0.9,71.3,8.6,sdz-33,WBGene00013233,Public name for WBGene00013233. History: Renamed on 2005-12-13
Y110A2AL.10,Y110A2AL.10,Y110A2AL.10,21ur-1272|Y4C6B.21,0.7,67.7,39.7,Y110A2AL.10,WBGene00022446,Public name for WBGene00022446. History: N.A.
nlp-12,M01D7.5,M01D7.5,21ur-3206|C27H2.10,0.0,66.5,92.4,nlp-12,WBGene00003750,Public name for WBGene00003750. History: N.A.
srd-70,F48F5.4,F48F5.4,21ur-5102|H25K10.37,0.3,66.2,64.7,srd-70,WBGene00005147,Public name for WBGene00005147. History: N.A.
W02B12.1,W02B12.1,W02B12.1,21ur-11384|H08M01.113,0.5,66.0,93.3,W02B12.1,WBGene00012201,Public name for WBGene00012201. History: N.A.
pyk-1,F25H5.3,F25H5.3e,21ur-10032|E03H12.20,0.4,65.7,2.4,pyk-1,WBGene00009126,Public name for WBGene00009126. History: N.A.
Y66D12A.14,Y66D12A.14,Y66D12A.14,21ur-10483|Y51H4A.771,1.2,65.6,62.9,Y66D12A.14,WBGene00013440,Sequence name for WBGene00013440(nrps-1). History: N.A.
pll-1,K10F12.3,K10F12.3b,21ur-13447|Y73F8A.769,0.9,64.3,25.7,pll-1,WBGene00004045,Public name for WBGene00004045. History: N.A.
F28H6.8,F28H6.8,F28H6.8,21ur-4105|M199.39,0.4,63.3,21.6,F28H6.8,WBGene00044137,Public name for WBGene00044137. History: N.A.
fbxa-67,T12B5.11,T12B5.11,21ur-7986|Y105C5A.965,6.8,62.9,18.0,fbxa-67,WBGene00020457,Public name for WBGene00020457. History: N.A.
Y105E8A.1,Y105E8A.1,Y105E8A.1,21ur-12976|Y105C5A.950,0.6,61.9,46.7,Y105E8A.1,WBGene00013666,Public name for WBGene00013666. History: N.A.
sra-35,B0304.8,B0304.8,21ur-13940|Y105C5A.1104,0.7,61.8,37.1,sra-35,WBGene00005061,Public name for WBGene00005061. History: N.A.
Y42G9A.1,Y42G9A.1,Y42G9A.1,21ur-7317|H16O14.67,0.0,61.4,1.4,Y42G9A.1,WBGene00021531,Public name for WBGene00021531. History: N.A.
F49B2.7,F49B2.7,F49B2.7,21ur-6344|Y37A1B.299,0.0,61.2,7.6,F49B2.7,WBGene00086555,Public name for WBGene00086555. History: N.A.
C05D11.13,C05D11.13,C05D11.13,21ur-5854|H08M01.98,0.0,58.7,1.2,C05D11.13,WBGene00015488,Public name for WBGene00015488. History: N.A.
lam-3,T22A3.8,T22A3.8,21ur-4188|Y105C5B.489,0.6,57.6,7.3,lam-3,WBGene00002248,Public name for WBGene00002248. History: N.A.
fbxa-115,Y113G7B.3,Y113G7B.3,21ur-8991|Y41E3.397,0.4,57.5,6.3,fbxa-115,WBGene00013755,Public name for WBGene00013755. History: N.A.
rsp-3,Y111B2A.18,Y111B2A.18.1,21ur-8769|C35D6.68,0.4,56.8,129.6,rsp-3,WBGene00004700,Public name for WBGene00004700. History: N.A.
Y66D12A.14,Y66D12A.14,Y66D12A.14,21ur-9600|Y37A1B.195,2.7,56.3,82.1,Y66D12A.14,WBGene00013440,Sequence name for WBGene00013440(nrps-1). History: N.A.
srt-43,F18E2.4,F18E2.4,21ur-12641|F17E5.3,0.0,55.6,47.9,srt-43,WBGene00008937,Public name for WBGene00008937. History: N.A.
Y34D9A.8,Y34D9A.8,Y34D9A.8a,21ur-6525|Y57G11C.719,0.4,54.4,64.6,Y34D9A.8,WBGene00021333,Public name for WBGene00021333. History: N.A.
fbxb-46,K05F6.9,K05F6.9,21ur-7898|AC7.74,0.4,53.4,13.9,fbxb-46,WBGene00019420,Public name for WBGene00019420. History: N.A.
mks-1,R148.1,R148.1a,21ur-7565|C05B10.12,0.4,52.6,6.8,mks-1,WBGene00020100,"Public name for WBGene00020100. History: Split into R148.8(WBGene00305998). History of WBGene00020100: Split into ""WBGene00305998"" on 2020-01-20"
rsbp-1,T06D10.1,T06D10.1.1,21ur-6378|H25K10.61,0.8,52.3,130.4,rsbp-1,WBGene00011531,"Public name for WBGene00011531. History: Split into T06D10.8(WBGene00303078). History of WBGene00011531: Split into ""WBGene00303078"" on 2018-03-02"
pvf-1,Y39A3CL.6,Y39A3CL.6,21ur-8409|F55B11.104,0.7,51.3,46.0,pvf-1,WBGene00004249,Public name for WBGene00004249. History: N.A.
Y73B3A.9,Y73B3A.9,Y73B3A.9,21ur-6969|B0350.30,1.6,50.7,17.8,Y73B3A.9,WBGene00022211,Public name for WBGene00022211. History: N.A.
Y58A7A.2,Y58A7A.2,Y58A7A.2,21ur-2908|F52D4.7,0.7,50.5,28.6,Y58A7A.2,WBGene00021976,Public name for WBGene00021976. History: N.A.
lon-8,Y59A8B.20,Y59A8B.20,21ur-669|Y51H4A.343,1.3,48.6,72.8,lon-8,WBGene00013352,Public name for WBGene00013352. History: N.A.
tag-168,Y39A3CL.2,Y39A3CL.2,21ur-10412|Y4C6B.97,0.4,47.9,46.2,tag-168,WBGene00006513,Other name for WBGene00006513(rimb-1). History: N.A.
W06A11.4,W06A11.4,W06A11.4,21ur-9392|Y51H4A.519,2.5,47.3,12.2,W06A11.4,WBGene00021055,Public name for WBGene00021055. History: N.A.
F44F1.4,F44F1.4,F44F1.4,21ur-6214|Y73F8A.999,0.0,46.9,6.8,F44F1.4,WBGene00009696,Public name for WBGene00009696. History: N.A.
fbxa-120,C33E10.2,C33E10.2,21ur-774|Y45F10D.41,2.2,46.0,24.0,fbxa-120,WBGene00016346,Public name for WBGene00016346. History: N.A.
Y42G9A.1,Y42G9A.1,Y42G9A.1,21ur-12657|C46G7.44,0.1,46.0,1.1,Y42G9A.1,WBGene00021531,Public name for WBGene00021531. History: N.A.
F53E10.5,F53E10.5,F53E10.5,21ur-8864|T08B6.43,1.1,45.3,3.1,F53E10.5,WBGene00018761,Public name for WBGene00018761. History: N.A.
pde-1,T04D3.3,T04D3.3b,21ur-6662|Y105C5A.1109,0.4,44.5,16.2,pde-1,WBGene00011433,Public name for WBGene00011433. History: N.A.
C09E7.5,C09E7.5,C09E7.5,21ur-8553|Y57G11C.925,0.1,44.4,32.0,C09E7.5,WBGene00015639,Public name for WBGene00015639. History: N.A.
bath-10,Y49F6C.4,Y49F6C.4,21ur-8869|F44E8.17,0.6,44.3,8.2,bath-10,WBGene00021726,Public name for WBGene00021726. History: N.A.
Y48A6B.8,Y48A6B.8,Y48A6B.8,21ur-10956|Y105C5A.1242,0.4,44.1,22.0,Y48A6B.8,WBGene00012969,Public name for WBGene00012969. History: N.A.
DC2.5,DC2.5,DC2.5,21ur-14960|M04D8.9,0.0,44.1,1.5,DC2.5,WBGene00017082,Public name for WBGene00017082. History: N.A.
unc-119,M142.1,M142.1a,21ur-12372|Y73F8A.1073,0.0,42.3,13.8,unc-119,WBGene00006843,Public name for WBGene00006843. History: N.A.
Y75B8A.33,Y75B8A.33,Y75B8A.33,21ur-12939|Y41E3.372,0.0,42.3,0.7,Y75B8A.33,WBGene00013563,Public name for WBGene00013563. History: N.A.
fbxb-91,F12E12.8,F12E12.8,21ur-4828|Y64G10A.69,0.7,40.4,13.8,fbxb-91,WBGene00044692,Public name for WBGene00044692. History: N.A.
bath-29,F14D2.4,F14D2.4a,21ur-4610|Y105C5B.133,2.8,40.1,3.7,bath-29,WBGene00017452,Public name for WBGene00017452. History: N.A.
ZK1055.7,ZK1055.7,ZK1055.7.1,21ur-11360|Y116A8A.105,0.4,39.8,50.2,ZK1055.7,WBGene00022848,Public name for WBGene00022848. History: N.A.
F28B3.6,F28B3.6,F28B3.6.1,21ur-5434|Y7A9D.3,0.4,38.4,9.7,F28B3.6,WBGene00017887,Public name for WBGene00017887. History: N.A.
cdh-12,Y71D11A.1,Y71D11A.1,21ur-13124|Y57G11C.1082,1.1,38.2,30.5,cdh-12,WBGene00022103,Public name for WBGene00022103. History: N.A.
aqp-9,K07A1.16,K07A1.16,21ur-8640|Y105C5B.1026,0.7,37.1,14.0,aqp-9,WBGene00000177,Public name for WBGene00000177. History: N.A.
mks-1,R148.1,R148.1a,21ur-4416|Y105C5A.338,0.0,36.9,3.5,mks-1,WBGene00020100,"Public name for WBGene00020100. History: Split into R148.8(WBGene00305998). History of WBGene00020100: Split into ""WBGene00305998"" on 2020-01-20"
Y54G11B.1,Y54G11B.1,Y54G11B.1,21ur-12535|Y57G11A.187,0.0,36.1,150.3,Y54G11B.1,WBGene00013222,Sequence name for WBGene00013222(dmsr-6). History: N.A.
C15C6.1,C15C6.1,C15C6.1,21ur-15024|K10B3.11,0.4,35.5,53.7,C15C6.1,WBGene00007600,Public name for WBGene00007600. History: N.A.
C43H8.2,C43H8.2,C43H8.2,21ur-2159|Y73F8A.117,0.4,35.5,9.6,C43H8.2,WBGene00016622,Sequence name for WBGene00016622(mafr-1). History: N.A.
T15B7.15,T15B7.15,T15B7.15,21ur-1703|Y64G10A.41,0.4,34.9,9.0,T15B7.15,WBGene00020527,Public name for WBGene00020527. History: N.A.
T09A5.7,T09A5.7,T09A5.7,21ur-7090|Y41E3.362,3.0,34.6,6.5,T09A5.7,WBGene00011635,Sequence name for WBGene00011635(mdmh-35). History: N.A.
fbxb-91,F12E12.8,F12E12.8,21ur-5637|Y105C5A.1102,0.4,34.2,5.3,fbxb-91,WBGene00044692,Public name for WBGene00044692. History: N.A.
Y48G1C.5,Y48G1C.5,Y48G1C.5,21ur-4630|Y105C5A.343,3.2,34.1,51.7,Y48G1C.5,WBGene00021678,Public name for WBGene00021678. History: N.A.
R186.1,R186.1,R186.1,21ur-7856|Y57G11C.1022,1.1,33.8,13.1,R186.1,WBGene00011305,Sequence name for WBGene00011305(hrg-9). History: N.A.
C18H2.2,C18H2.2,C18H2.2,21ur-11083|Y73F8A.892,2.5,31.6,28.7,C18H2.2,WBGene00015989,Public name for WBGene00015989. History: N.A.
F49B2.7,F49B2.7,F49B2.7,21ur-9686|B0350.32,1.1,31.4,2.6,F49B2.7,WBGene00086555,Public name for WBGene00086555. History: N.A.
lips-12,T13B5.6,T13B5.6,21ur-8921|C55C3.54,0.1,31.3,3.2,lips-12,WBGene00020473,Public name for WBGene00020473. History: N.A.
Y19D2B.2,Y19D2B.2,Y19D2B.2,21ur-842|VY10G11R.23,0.0,30.8,7.8,Y19D2B.2,WBGene00012490,Public name for WBGene00012490. History: N.A.
trx-2,B0024.9,B0024.9,21ur-7878|Y105C5A.823,2.5,30.7,3.7,trx-2,WBGene00007099,Public name for WBGene00007099. History: N.A.
C34C12.1,C34C12.1,C34C12.1,21ur-7850|Y57G11C.644,2.1,30.1,1.9,C34C12.1,WBGene00007920,Public name for WBGene00007920. History: N.A.
