# mRNA_F3,,
gene ID,mean,F3/fed fold change,Input,Suggested Match,History
B0250.7,14.42,1.56,B0250.7,WBGene00007124,Public name for WBGene00007124. History: N.A.
C46F11.6,4.9,1.51,C46F11.6,WBGene00008121,Public name for WBGene00008121. History: N.A.
C08B11.9,34.07,1.51,C08B11.9,WBGene00007436,Public name for WBGene00007436. History: N.A.
F39E9.6,4.25,0.66,F39E9.6,WBGene00018198,Public name for WBGene00018198. History: N.A.
C36B1.9,21.29,0.63,C36B1.9,WBGene00007976,Public name for WBGene00007976. History: N.A.
C29F9.1,4.01,0.62,C29F9.1,WBGene00016216,Sequence name for WBGene00016216(pals-22). History: N.A.
D2096.2,22.43,0.6,D2096.2,WBGene00017070,Sequence name for WBGene00017070(praf-3). History: N.A.
C35D10.10,90.7,0.6,C35D10.10,WBGene00016446,Public name for WBGene00016446. History: N.A.
T10H9.5,51.34,0.53,T10H9.5,WBGene00004062,Sequence name for WBGene00004062(pmp-5). History: N.A.
ZK563.5,77.12,0.52,ZK563.5,WBGene00022769,Sequence name for WBGene00022769(sorf-1). History: Renamed on 2016-03-01
F08G12.4,20.49,0.52,F08G12.4,WBGene00006922,Sequence name for WBGene00006922(vhl-1). History: N.A.
F39E9.7,77.41,0.51,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
B0280.8,35.97,0.5,B0280.8,WBGene00003609,Sequence name for WBGene00003609(nhr-10). History: N.A.
Y56A3A.7,21.66,0.49,Y56A3A.7,WBGene00013228,Public name for WBGene00013228. History: N.A.
T19C9.10,17.7,0.47,T19C9.10,WBGene00050934,Public name for WBGene00050934. History: N.A.
F39G3.5,102.88,0.46,F39G3.5,WBGene00018210,Public name for WBGene00018210. History: N.A.
W04B5.1,239.85,0.46,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
F31E9.11,36.26,0.45,F31E9.11,WBGene00195233,Public name for WBGene00195233. History: N.A.
F59D8.2,8.82,0.45,F59D8.2,WBGene00006928,Sequence name for WBGene00006928(vit-4). History: N.A.
ZK666.1,6.83,0.44,ZK666.1,WBGene00014041,Public name for WBGene00014041. History: N.A.
Y46H3C.5,6.71,0.44,Y46H3C.5,WBGene00021605,Public name for WBGene00021605. History: N.A.
Y77E11A.2,14.18,0.43,Y77E11A.2,WBGene00022307,Sequence name for WBGene00022307(nadk-1). History: N.A.
B0035.13,110.49,0.42,B0035.13,WBGene00007112,Public name for WBGene00007112. History: N.A.
K02F2.2,441.91,0.41,K02F2.2,WBGene00019322,Sequence name for WBGene00019322(ahcy-1). History: Renamed on 2005-02-01; Renamed on 2015-03-05
Y54G2A.37,20.71,0.39,Y54G2A.37,WBGene00023484,Public name for WBGene00023484. History: N.A.
T28D6.4,33.33,0.38,T28D6.4,WBGene00012124,Public name for WBGene00012124. History: N.A.
C46F9.3,5.4,0.38,C46F9.3,WBGene00016719,Sequence name for WBGene00016719(math-24). History: N.A.
B0303.2,4.13,0.38,B0303.2,WBGene00015124,Sequence name for WBGene00015124(anmt-1). History: N.A.
Y87G2A.11,7.56,0.32,Y87G2A.11,WBGene00013599,Sequence name for WBGene00013599(eipr-1). History: N.A.
T12B5.8,10.49,0.31,T12B5.8,WBGene00020455,Sequence name for WBGene00020455(fbxa-59). History: N.A.
T05D4.1,121.7,0.29,T05D4.1,WBGene00011474,Sequence name for WBGene00011474(aldo-1). History: N.A.
F15E11.1,35.06,0.23,F15E11.1,WBGene00017490,Sequence name for WBGene00017490(pud-2.1). History: N.A.
F07G6.7,4.41,0.22,F07G6.7,WBGene00017226,Sequence name for WBGene00017226(fbxa-53). History: N.A.
D2096.4,11.37,0.22,D2096.4,WBGene00005019,Sequence name for WBGene00005019(sqv-1). History: N.A.
F25E2.4,10.34,0.22,F25E2.4,WBGene00002058,Sequence name for WBGene00002058(ifd-2). History: N.A.
T28F3.4,317.97,0.21,T28F3.4,WBGene00012130,"Sequence name for WBGene00012130(slc-17.4). History: Split into T28F3.11(WBGene00303083). History of WBGene00012130: Split into ""WBGene00303083"" on 2018-03-02"
ZC416.8,14.66,0.2,ZC416.8,"WBGene00000481, WBGene00006756",Sequence name for WBGene00000481(cha-1). History: N.A.. Sequence name for WBGene00006756(unc-17). History: N.A.
C52E4.1,1648.13,0.19,C52E4.1,WBGene00000781,Sequence name for WBGene00000781(cpr-1). History: N.A.
Y68A4A.13,3.41,0.17,Y68A4A.13,WBGene00044212,Public name for WBGene00044212. History: N.A.
F15E11.14,5.57,0.14,F15E11.14,WBGene00017500,Sequence name for WBGene00017500(pud-2.2). History: N.A.
T12B5.1,33.99,0.11,T12B5.1,WBGene00020448,Sequence name for WBGene00020448(fbxa-51). History: N.A.
ZK945.2,29.67,0.11,ZK945.2,WBGene00003928,Sequence name for WBGene00003928(pas-7). History: N.A.
M05B5.1,35.93,0.1,M05B5.1,WBGene00010869,Public name for WBGene00010869. History: N.A.
W03F9.2,8.32,0.05,W03F9.2,WBGene00021000,Public name for WBGene00021000. History: N.A.
F53B3.3,12.06,0.01,F53B3.3,WBGene00018742,Public name for WBGene00018742. History: N.A.
