# Supplemental Table S1 - Genes targeted by 26G-RNAs in wild type
# Reads = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads - norm = reads per million, excluding reads considered to be degradation products
Gene ID,Cosmid Name,Antisense reads,Reads - norm,Input,Suggested Match,History
T27A3.4,T27A3.4,87.6667,35.23210176,T27A3.4,WBGene00020840,Sequence name for WBGene00020840(spch-3). History: N.A.
F35E2.5,F35E2.5,87.0,34.96416374,F35E2.5,WBGene00009412,Public name for WBGene00009412. History: N.A.
wht-5,F19B6.4,87.0,34.96416374,wht-5,WBGene00008950,Public name for WBGene00008950. History: N.A.
ZC581.7,ZC581.7,85.0,34.16038986,ZC581.7,WBGene00022634,Public name for WBGene00022634. History: N.A.
C49C8.1,C49C8.1,85.0,34.16038986,C49C8.1,WBGene00016765,Public name for WBGene00016765. History: N.A.
Y41E3.10,Y41E3.10,84.5,33.95944639,Y41E3.10,WBGene00012768,Sequence name for WBGene00012768(eef-1B.2). History: N.A.
ZK596.2,ZK596.2,84.0,33.75850292,ZK596.2,WBGene00014007,Public name for WBGene00014007. History: N.A.
F07F6.1,F07F6.1,83.0,33.35661598,F07F6.1,WBGene00017215,Public name for WBGene00017215. History: N.A.
cyn-5,F31C3.1,81.0,32.5528421,cyn-5,WBGene00000881,Public name for WBGene00000881. History: N.A.
Y71H2AM.1,Y71H2AM.1,80.0,32.15095516,Y71H2AM.1,WBGene00022166,Public name for WBGene00022166. History: N.A.
nspd-1,ZK484.8,79.0,31.74906823,nspd-1,WBGene00022754,Public name for WBGene00022754. History: N.A.
K01D12.7,K01D12.7,78.5,31.54812476,K01D12.7,WBGene00010466,Public name for WBGene00010466. History: N.A.
daf-21,C47E8.5,78.0,31.34718129,daf-21,WBGene00000915,Other name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
ZC155.2,ZC155.2,77.0,30.94529435,ZC155.2,WBGene00022530,Public name for WBGene00022530. History: N.A.
C33F10.8,C33F10.8,75.0,30.14152047,C33F10.8,WBGene00016356,Public name for WBGene00016356. History: N.A.
T08H10.3,T08H10.3,74.6667,30.00757155,T08H10.3,WBGene00020370,Public name for WBGene00020370. History: N.A.
ZK673.6,ZK673.6,74.0,29.73963353,ZK673.6,WBGene00014062,Public name for WBGene00014062. History: N.A.
ZC168.6,ZC168.6,74.0,29.73963353,ZC168.6,WBGene00013858,Sequence name for WBGene00013858(ssp-34). History: N.A.
F16C3.4,F16C3.4,74.0,29.73963353,F16C3.4,WBGene00044243,Public name for WBGene00044243. History: N.A.
cpn-1,F43G9.9,74.0,29.73963353,cpn-1,WBGene00000777,Public name for WBGene00000777. History: N.A.
ZK512.8,ZK512.8,73.0,29.33774659,ZK512.8,WBGene00013987,Public name for WBGene00013987. History: N.A.
C55B7.3,C55B7.3,72.5,29.13680312,C55B7.3,WBGene00016942,Public name for WBGene00016942. History: N.A.
cpb-2,C30B5.3,72.5,29.13680312,cpb-2,WBGene00000771,Public name for WBGene00000771. History: N.A.
K08C9.2,K08C9.2,72.0,28.93585965,K08C9.2,WBGene00010651,Public name for WBGene00010651. History: N.A.
W03B1.3,W03B1.3,72.0,28.93585965,W03B1.3,WBGene00020973,Public name for WBGene00020973. History: N.A.
unc-60,C38C3.5,71.0,28.53397271,unc-60,WBGene00006794,"Public name for WBGene00006794. History: Split into F53E2.2(WBGene00302980). History of WBGene00006794: Split into ""WBGene00302980"" on 2018-03-06"
C15A11.2,C15A11.2,71.0,28.53397271,C15A11.2,WBGene00007597,Public name for WBGene00007597. History: N.A.
F35E2.9,F35E2.9,71.0,28.53397271,F35E2.9,WBGene00009416,"Public name for WBGene00009416. History: Split into F35E2.10(WBGene00044270). History of WBGene00009416: Split into ""WBGene00044270"" on 2005-03-18"
Y47D3A.13,Y47D3A.13,70.5,28.33302924,Y47D3A.13,WBGene00012926,Public name for WBGene00012926. History: N.A.
klp-17,W02B12.7,70.0,28.13208577,klp-17,WBGene00002227,"Public name for WBGene00002227. History: Split into cisd-1(WBGene00044026). History of WBGene00002227: Split into ""WBGene00044026"" on 2004-12-14"
ZK1010.5,ZK1010.5,69.0,27.73019883,ZK1010.5,WBGene00014179,Public name for WBGene00014179. History: N.A.
ssp-31,ZK1225.6,68.5,27.52925536,ssp-31,WBGene00006048,Public name for WBGene00006048. History: N.A.
M70.3,M70.3,68.5,27.52925536,M70.3,WBGene00019785,Public name for WBGene00019785. History: N.A.
cmd-1,T21H3.3,68.5,27.52925536,cmd-1,WBGene00000552,Public name for WBGene00000552. History: N.A.
T27C10.8,T27C10.8,68.0,27.32831189,T27C10.8,WBGene00077519,Public name for WBGene00077519. History: N.A.
E03H12.7,E03H12.7,67.1667,26.9934195,E03H12.7,WBGene00017114,Public name for WBGene00017114. History: N.A.
Y50E8A.10,Y50E8A.10,67.0,26.92642495,Y50E8A.10,WBGene00013053,Public name for WBGene00013053. History: N.A.
B0252.5,B0252.5,66.0,26.52453801,B0252.5,WBGene00015089,"Public name for WBGene00015089. History: Split into B0252.11(WBGene00305086). History of WBGene00015089: Split into ""WBGene00305086"" on 2019-10-21"
nspd-7,Y43C5A.1,66.0,26.52453801,nspd-7,WBGene00012781,Public name for WBGene00012781. History: N.A.
Y57G11C.15,Y57G11C.15,66.0,26.52453801,Y57G11C.15,WBGene00013311,Sequence name for WBGene00013311(sec-61.A). History: Renamed on 2019-05-20
F07A5.2,F07A5.2,65.0,26.12265107,F07A5.2,WBGene00008541,Public name for WBGene00008541. History: N.A.
C34G6.3,C34G6.3,65.0,26.12265107,C34G6.3,WBGene00016420,Public name for WBGene00016420. History: N.A.
Y39E4B.13,Y39E4B.13,64.0,25.72076413,Y39E4B.13,WBGene00012721,Public name for WBGene00012721. History: N.A.
ZC250.5,ZC250.5,64.0,25.72076413,ZC250.5,WBGene00045306,Public name for WBGene00045306. History: N.A.
B0205.10,B0205.10,64.0,25.72076413,B0205.10,WBGene00015024,Public name for WBGene00015024. History: N.A.
C47E8.11,C47E8.11,64.0,25.72076413,C47E8.11,WBGene00044180,Public name for WBGene00044180. History: N.A.
K05F1.8,K05F1.8,64.0,25.72076413,K05F1.8,WBGene00019409,Public name for WBGene00019409. History: N.A.
W01B6.2,W01B6.2,63.0,25.31887719,W01B6.2,WBGene00012169,Sequence name for WBGene00012169(ttbk-4). History: N.A.
ani-2,K10B2.5,63.0,25.31887719,ani-2,WBGene00019608,Public name for WBGene00019608. History: N.A.
B0034.4,B0034.4,63.0,25.31887719,B0034.4,WBGene00015004,Public name for WBGene00015004. History: N.A.
R09B3.2,R09B3.2,62.0,24.91699025,R09B3.2,WBGene00011155,Sequence name for WBGene00011155(rbm-3.1). History: N.A.
vig-1,F56D12.5,61.0,24.51510331,vig-1,WBGene00006924,Public name for WBGene00006924. History: N.A.
ncr-2,F09G8.4,61.0,24.51510331,ncr-2,WBGene00003562,Public name for WBGene00003562. History: N.A.
F36H12.5,F36H12.5,60.5,24.31415984,F36H12.5,WBGene00018121,Public name for WBGene00018121. History: N.A.
F17C11.9,F17C11.9,60.0,24.11321637,F17C11.9,WBGene00008920,Sequence name for WBGene00008920(eef-1G). History: N.A.
emo-1,F32D8.6,60.0,24.11321637,emo-1,WBGene00001303,Other name for WBGene00001303(sec-61.G). History: Renamed on 2019-05-20
F36G9.15,F36G9.15,60.0,24.11321637,F36G9.15,WBGene00009491,Public name for WBGene00009491. History: N.A.
K05F1.9,K05F1.9,60.0,24.11321637,K05F1.9,WBGene00019410,Public name for WBGene00019410. History: N.A.
B0393.4,B0393.4,59.0,23.71132943,B0393.4,WBGene00007169,Public name for WBGene00007169. History: N.A.
F58A6.9,F58A6.9,58.9541,23.69288282,F58A6.9,WBGene00019026,Public name for WBGene00019026. History: N.A.
hmg-12,Y17G7A.1,58.0,23.30944249,hmg-12,WBGene00001977,Public name for WBGene00001977. History: N.A.
F35H8.1,F35H8.1,58.0,23.30944249,F35H8.1,WBGene00009446,Public name for WBGene00009446. History: N.A.
C35E7.9,C35E7.9,58.0,23.30944249,C35E7.9,WBGene00016461,Public name for WBGene00016461. History: N.A.
K02E2.6,K02E2.6,58.0,23.30944249,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
R05G6.7,R05G6.7,58.0,23.30944249,R05G6.7,WBGene00019900,Sequence name for WBGene00019900(vdac-1). History: N.A.
msp-56,K07F5.3,57.6874,23.18381264,msp-56,WBGene00003449,Public name for WBGene00003449. History: N.A.
F36A2.12,F36A2.12,57.0,22.90755555,F36A2.12,WBGene00009459,"Public name for WBGene00009459. History: Split into F36A2.14(WBGene00023490). History of WBGene00009459: Split into ""WBGene00023490"" on 2004-08-20"
H38K22.6,H38K22.6,57.0,22.90755555,H38K22.6,WBGene00044911,Public name for WBGene00044911. History: N.A.
F27C8.5,F27C8.5,57.0,22.90755555,F27C8.5,WBGene00009185,Sequence name for WBGene00009185(pei-1). History: N.A.
W03F11.4,W03F11.4,56.5,22.70661209,W03F11.4,WBGene00021007,Public name for WBGene00021007. History: N.A.
Y43F8C.5,Y43F8C.5,56.5,22.70661209,Y43F8C.5,WBGene00012827,Public name for WBGene00012827. History: N.A.
K08E7.4,K08E7.4,56.0,22.50566862,K08E7.4,WBGene00010672,Public name for WBGene00010672. History: N.A.
C05C12.5,C05C12.5,56.0,22.50566862,C05C12.5,WBGene00007337,Public name for WBGene00007337. History: N.A.
C25G4.6,C25G4.6,56.0,22.50566862,C25G4.6,WBGene00007733,Sequence name for WBGene00007733(smz-1). History: N.A.
scrm-7,Y50E8A.9,55.5,22.30472515,scrm-7,WBGene00013052,Public name for WBGene00013052. History: N.A.
F43E2.7,F43E2.7,55.0,22.10378168,F43E2.7,WBGene00018395,Sequence name for WBGene00018395(mtch-1). History: N.A.
F23B12.1,F23B12.1,55.0,22.10378168,F23B12.1,WBGene00009079,Public name for WBGene00009079. History: N.A.
rsp-3,Y111B2A.18,55.0,22.10378168,rsp-3,WBGene00004700,Public name for WBGene00004700. History: N.A.
W09D6.4,W09D6.4,54.5,21.90283821,W09D6.4,WBGene00012357,Public name for WBGene00012357. History: N.A.
F09C12.8,F09C12.8,54.5,21.90283821,F09C12.8,WBGene00017279,Public name for WBGene00017279. History: N.A.
tbb-2,C36E8.5,54.0,21.70189474,tbb-2,WBGene00006537,Public name for WBGene00006537. History: N.A.
Y73F8A.15,Y73F8A.15,54.0,21.70189474,Y73F8A.15,WBGene00013524,Public name for WBGene00013524. History: N.A.
C34C12.4,C34C12.4,54.0,21.70189474,C34C12.4,WBGene00007923,Public name for WBGene00007923. History: N.A.
ZK1053.2,ZK1053.2,54.0,21.70189474,ZK1053.2,WBGene00014197,Public name for WBGene00014197. History: N.A.
R09B3.3,R09B3.3,54.0,21.70189474,R09B3.3,WBGene00011156,Sequence name for WBGene00011156(rbm-3.2). History: N.A.
C17H12.3,C17H12.3,53.0,21.3000078,C17H12.3,WBGene00015929,Public name for WBGene00015929. History: N.A.
tag-164,Y76A2A.1,53.0,21.3000078,tag-164,WBGene00006509,Public name for WBGene00006509. History: N.A.
fbxa-202,T28C12.3,53.0,21.3000078,fbxa-202,WBGene00020890,Public name for WBGene00020890. History: N.A.
gska-3,C36B1.10,53.0,21.3000078,gska-3,WBGene00007977,Other name for WBGene00007977(gskl-2). History: Renamed on 2021-12-09
nspa-1,H12D21.1,52.9263,21.27038873,nspa-1,WBGene00010377,Public name for WBGene00010377. History: N.A.
T22C1.8,T22C1.8,52.5,21.09906433,T22C1.8,WBGene00011918,Public name for WBGene00011918. History: N.A.
nspd-2,K07F5.5,52.5,21.09906433,nspd-2,WBGene00010633,Public name for WBGene00010633. History: N.A.
F29D10.1,F29D10.1,52.0,20.89812086,F29D10.1,WBGene00009250,Public name for WBGene00009250. History: N.A.
F59A6.4,F59A6.4,51.0,20.49623392,F59A6.4,WBGene00019086,Public name for WBGene00019086. History: N.A.
kin-31,B0523.1,51.0,20.49623392,kin-31,WBGene00002212,Public name for WBGene00002212. History: N.A.
ttm-1,Y39E4A.2,51.0,20.49623392,ttm-1,WBGene00012712,Public name for WBGene00012712. History: N.A.
Y43F8A.2,Y43F8A.2,51.0,20.49623392,Y43F8A.2,WBGene00012809,Public name for WBGene00012809. History: N.A.
F57B10.3,F57B10.3,51.0,20.49623392,F57B10.3,WBGene00019001,Sequence name for WBGene00019001(ipgm-1). History: N.A.
F44D12.6,F44D12.6,50.0,20.09434698,F44D12.6,WBGene00009683,Public name for WBGene00009683. History: N.A.
rpn-8,R12E2.3,50.0,20.09434698,rpn-8,WBGene00004464,Public name for WBGene00004464. History: N.A.
C06E7.3,C06E7.3,50.0,20.09434698,C06E7.3,WBGene00015540,Sequence name for WBGene00015540(sams-4). History: N.A.
C32D5.8,C32D5.8,50.0,20.09434698,C32D5.8,WBGene00016316,Public name for WBGene00016316. History: N.A.
nspd-4,T23B7.1,49.5,19.89340351,nspd-4,WBGene00020715,Public name for WBGene00020715. History: N.A.
C10G11.9,C10G11.9,49.1667,19.75945459,C10G11.9,WBGene00015689,Sequence name for WBGene00015689(spch-2). History: N.A.
W02F12.5,W02F12.5,49.0,19.69246004,W02F12.5,WBGene00020950,Sequence name for WBGene00020950(dlst-1). History: N.A.
K09G1.2,K09G1.2,49.0,19.69246004,K09G1.2,WBGene00010728,Public name for WBGene00010728. History: N.A.
C10G11.10,C10G11.10,48.5,19.49151657,C10G11.10,WBGene00015690,Public name for WBGene00015690. History: N.A.
clec-123,Y25C1A.1,48.5,19.49151657,clec-123,WBGene00021288,Public name for WBGene00021288. History: N.A.
F58A6.5,F58A6.5,48.0,19.2905731,F58A6.5,WBGene00019024,Public name for WBGene00019024. History: N.A.
let-721,C05D11.12,48.0,19.2905731,let-721,WBGene00002855,Public name for WBGene00002855. History: N.A.
K08A2.2,K08A2.2,48.0,19.2905731,K08A2.2,WBGene00019512,Public name for WBGene00019512. History: N.A.
F13D12.9,F13D12.9,48.0,19.2905731,F13D12.9,WBGene00008743,Sequence name for WBGene00008743(fcmt-1). History: N.A.
sod-1,C15F1.7,47.0,18.88868616,sod-1,WBGene00004930,Public name for WBGene00004930. History: N.A.
B0432.11,B0432.11,47.0,18.88868616,B0432.11,WBGene00015192,Public name for WBGene00015192. History: N.A.
Y18D10A.21,Y18D10A.21,47.0,18.88868616,Y18D10A.21,WBGene00012486,Public name for WBGene00012486. History: N.A.
F40H6.1,F40H6.1,47.0,18.88868616,F40H6.1,WBGene00018253,Public name for WBGene00018253. History: N.A.
F10E9.2,F10E9.2,47.0,18.88868616,F10E9.2,WBGene00017354,Public name for WBGene00017354. History: N.A.
F36H12.3,F36H12.3,47.0,18.88868616,F36H12.3,WBGene00018119,Public name for WBGene00018119. History: N.A.
Y38E10A.17,Y38E10A.17,47.0,18.88868616,Y38E10A.17,WBGene00012595,Public name for WBGene00012595. History: N.A.
C30G7.3,C30G7.3,46.5,18.68774269,C30G7.3,WBGene00044177,Public name for WBGene00044177. History: N.A.
Y43F8C.9,Y43F8C.9,46.5,18.68774269,Y43F8C.9,WBGene00012831,Public name for WBGene00012831. History: N.A.
C30A5.3,C30A5.3,46.0,18.48679922,C30A5.3,WBGene00016238,Sequence name for WBGene00016238(mob-4). History: N.A.
Y39E4A.1,Y39E4A.1,46.0,18.48679922,Y39E4A.1,WBGene00012711,Public name for WBGene00012711. History: N.A.
C34D4.2,C34D4.2,46.0,18.48679922,C34D4.2,WBGene00016398,Public name for WBGene00016398. History: N.A.
acs-4,F37C12.7,45.0,18.08491228,acs-4,WBGene00018152,Public name for WBGene00018152. History: N.A.
iff-1,T05G5.10,45.0,18.08491228,iff-1,WBGene00002064,Public name for WBGene00002064. History: N.A.
ttr-9,C33A12.15,45.0,18.08491228,ttr-9,WBGene00007888,Public name for WBGene00007888. History: N.A.
R10E9.3,R10E9.3,45.0,18.08491228,R10E9.3,WBGene00011215,Public name for WBGene00011215. History: N.A.
Y37F4.1,Y37F4.1,45.0,18.08491228,Y37F4.1,WBGene00021382,Public name for WBGene00021382. History: N.A.
sfxn-1.3,Y6E2A.9,44.5,17.88396881,sfxn-1.3,WBGene00012402,Public name for WBGene00012402. History: N.A.
ssp-11,T28H11.6,44.2,17.76340273,ssp-11,WBGene00006040,Public name for WBGene00006040. History: N.A.
F55C5.1,F55C5.1,44.0,17.68302534,F55C5.1,WBGene00010091,Sequence name for WBGene00010091(ssp-35). History: N.A.
W03D8.2,W03D8.2,44.0,17.68302534,W03D8.2,WBGene00020985,Public name for WBGene00020985. History: N.A.
F49F1.12,F49F1.12,44.0,17.68302534,F49F1.12,WBGene00018652,Public name for WBGene00018652. History: N.A.
F53B6.7,F53B6.7,44.0,17.68302534,F53B6.7,WBGene00009962,Public name for WBGene00009962. History: N.A.
Y38F2AR.9,Y38F2AR.9,44.0,17.68302534,Y38F2AR.9,WBGene00021427,Sequence name for WBGene00021427(sec-61.B). History: N.A.
F21F3.3,F21F3.3,44.0,17.68302534,F21F3.3,WBGene00017673,Sequence name for WBGene00017673(icmt-1). History: Renamed on 2015-04-29
Y53C10A.15,Y53C10A.15,44.0,17.68302534,Y53C10A.15,WBGene00044805,Public name for WBGene00044805. History: N.A.
C27D8.1,C27D8.1,43.0,17.2811384,C27D8.1,WBGene00007777,Public name for WBGene00007777. History: N.A.
ZK795.2,ZK795.2,43.0,17.2811384,ZK795.2,WBGene00014082,Public name for WBGene00014082. History: N.A.
F10D11.3,F10D11.3,43.0,17.2811384,F10D11.3,WBGene00008649,Public name for WBGene00008649. History: N.A.
C41G7.3,C41G7.3,43.0,17.2811384,C41G7.3,WBGene00008061,"Sequence name for WBGene00008061(mina-1). History: Split into tspo-1(WBGene00077771). History of WBGene00008061: Split into ""WBGene00077771"" on 2008-06-10"
F57B9.8,F57B9.8,43.0,17.2811384,F57B9.8,WBGene00018999,Public name for WBGene00018999. History: N.A.
F26A1.3,F26A1.3,43.0,17.2811384,F26A1.3,WBGene00017802,Public name for WBGene00017802. History: N.A.
snf-7,ZK1010.9,43.0,17.2811384,snf-7,WBGene00004906,Public name for WBGene00004906. History: N.A.
C15H7.3,C15H7.3,42.5,17.08019493,C15H7.3,WBGene00007610,Public name for WBGene00007610. History: N.A.
nspd-5,F11G11.8,42.5,17.08019493,nspd-5,WBGene00017386,Public name for WBGene00017386. History: N.A.
K01D12.15,K01D12.15,42.25,16.9797232,K01D12.15,WBGene00010474,Public name for WBGene00010474. History: N.A.
C24A11.1,C24A11.1,42.0,16.87925146,C24A11.1,WBGene00016040,Public name for WBGene00016040. History: N.A.
C18H7.7,C18H7.7,42.0,16.87925146,C18H7.7,WBGene00015997,Public name for WBGene00015997. History: N.A.
lin-33,H32C10.2,42.0,16.87925146,lin-33,WBGene00003019,Public name for WBGene00003019. History: N.A.
T10E9.4,T10E9.4,42.0,16.87925146,T10E9.4,WBGene00020414,Public name for WBGene00020414. History: N.A.
T09A5.11,T09A5.11,42.0,16.87925146,T09A5.11,WBGene00011638,Sequence name for WBGene00011638(ostb-1). History: N.A.
Y38H6C.15,Y38H6C.15,42.0,16.87925146,Y38H6C.15,WBGene00012627,Public name for WBGene00012627. History: N.A.
T26A8.1,T26A8.1,41.0,16.47736452,T26A8.1,WBGene00020824,Sequence name for WBGene00020824(pdtf-1). History: N.A.
let-70,M7.1,41.0,16.47736452,let-70,WBGene00002344,Public name for WBGene00002344. History: N.A.
syn-13,F36F2.4,41.0,16.47736452,syn-13,WBGene00009478,Other name for WBGene00009478(syx-7). History: Renamed on 2010-04-16
R102.10,R102.10,41.0,16.47736452,R102.10,WBGene00011297,Public name for WBGene00011297. History: N.A.
F28H7.6,F28H7.6,41.0,16.47736452,F28H7.6,WBGene00009239,Sequence name for WBGene00009239(irld-6). History: N.A.
rab-1,C39F7.4,41.0,16.47736452,rab-1,WBGene00004266,Public name for WBGene00004266. History: N.A.
F54C8.7,F54C8.7,41.0,16.47736452,F54C8.7,WBGene00010040,Public name for WBGene00010040. History: N.A.
C15H11.13,C15H11.13,40.0,16.07547758,C15H11.13,WBGene00077576,Public name for WBGene00077576. History: N.A.
tag-344,B0511.4,40.0,16.07547758,tag-344,WBGene00015230,Public name for WBGene00015230. History: N.A.
ZK507.3,ZK507.3,40.0,16.07547758,ZK507.3,WBGene00013979,Public name for WBGene00013979. History: N.A.
C09D4.3,C09D4.3,40.0,16.07547758,C09D4.3,WBGene00015634,Public name for WBGene00015634. History: N.A.
K06A5.3,K06A5.3,40.0,16.07547758,K06A5.3,WBGene00019431,Public name for WBGene00019431. History: N.A.
F26F4.2,F26F4.2,40.0,16.07547758,F26F4.2,WBGene00005012,Public name for WBGene00005012. History: N.A.
hsp-1,F26D10.3,39.5,15.87453411,hsp-1,WBGene00002005,Public name for WBGene00002005. History: N.A.
tag-76,ZK757.3,39.5,15.87453411,tag-76,WBGene00006449,Other name for WBGene00006449(alg-4). History: Renamed on 2013-12-23
klp-7,K11D9.1,39.0,15.67359064,klp-7,WBGene00002219,Public name for WBGene00002219. History: N.A.
ZK688.12,ZK688.12,39.0,15.67359064,ZK688.12,WBGene00044763,Public name for WBGene00044763. History: N.A.
T01H3.5,T01H3.5,39.0,15.67359064,T01H3.5,WBGene00011351,Public name for WBGene00011351. History: N.A.
C06G4.4,C06G4.4,39.0,15.67359064,C06G4.4,WBGene00015558,Public name for WBGene00015558. History: N.A.
R13H9.6,R13H9.6,39.0,15.67359064,R13H9.6,WBGene00020072,Public name for WBGene00020072. History: N.A.
Y54F10BM.3,Y54F10BM.3,39.0,15.67359064,Y54F10BM.3,WBGene00021858,"Public name for WBGene00021858. History: Split into Y54F10BM.22(WBGene00306013), Y54F10BM.21(WBGene00306012). History of WBGene00021858: Split into ""WBGene00306013"" on 2020-01-20; Split into ""WBGene00306012"" on 2020-01-21"
T12D8.6,T12D8.6,39.0,15.67359064,T12D8.6,WBGene00011734,Sequence name for WBGene00011734(mlc-5). History: N.A.
sulp-6,W01B11.2,39.0,15.67359064,sulp-6,WBGene00020914,Public name for WBGene00020914. History: N.A.
C02B10.6,C02B10.6,38.5,15.47264717,C02B10.6,WBGene00015331,Public name for WBGene00015331. History: N.A.
F36H12.10,F36H12.10,38.5,15.47264717,F36H12.10,WBGene00018124,Public name for WBGene00018124. History: N.A.
T21C12.4,T21C12.4,38.0,15.2717037,T21C12.4,WBGene00011900,"Public name for WBGene00011900. History: Split into T21C12.8(WBGene00043998). History of WBGene00011900: Split into ""WBGene00043998"" on 2004-11-08"
Y48G8AL.13,Y48G8AL.13,38.0,15.2717037,Y48G8AL.13,WBGene00021691,Public name for WBGene00021691. History: N.A.
ssq-2,T28H11.5,38.0,15.2717037,ssq-2,WBGene00006051,Public name for WBGene00006051. History: N.A.
trap-4,Y56A3A.21,38.0,15.2717037,trap-4,WBGene00013238,Public name for WBGene00013238. History: N.A.
F59B8.2,F59B8.2,38.0,15.2717037,F59B8.2,WBGene00010317,Sequence name for WBGene00010317(idh-1). History: N.A.
F17E9.5,F17E9.5,38.0,15.2717037,F17E9.5,WBGene00017542,Public name for WBGene00017542. History: N.A.
aco-2,F54H12.1,38.0,15.2717037,aco-2,WBGene00000041,Public name for WBGene00000041. History: N.A.
E04D5.1,E04D5.1,38.0,15.2717037,E04D5.1,WBGene00008480,Sequence name for WBGene00008480(eif-2A). History: N.A.
T06C10.3,T06C10.3,38.0,15.2717037,T06C10.3,WBGene00020289,Public name for WBGene00020289. History: N.A.
C44B11.6,C44B11.6,38.0,15.2717037,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
C06C6.8,C06C6.8,37.5,15.07076023,C06C6.8,WBGene00007382,Public name for WBGene00007382. History: N.A.
cup-2,F25D7.1,37.0,14.86981676,cup-2,WBGene00000843,Public name for WBGene00000843. History: Renamed on 2005-08-18; Renamed on 2013-11-18
ZC21.8,ZC21.8,37.0,14.86981676,ZC21.8,WBGene00022507,Public name for WBGene00022507. History: N.A.
F32A11.3,F32A11.3,37.0,14.86981676,F32A11.3,WBGene00009308,Public name for WBGene00009308. History: Renamed on 2014-09-24
T14G10.8,T14G10.8,37.0,14.86981676,T14G10.8,WBGene00011777,Public name for WBGene00011777. History: N.A.
