# Supplemental Table 2- The 'adr-1 adr-2 gene expression' tab lists genes with altered mRNA levels in adr-1(-/-);adr-2(-/-) worms compared to WT. All listed genes were statistically significant at p ≤ 0.05. There were 1,746 mRNAs increased and 1,571 mRNAs decreased ≥1.2-fold. The 'mRNAs targeted by miRNAs' tab includes information on mRNAs that are predicted targets of miRNAs. The 'Dicer Helicase dependent Loci' tab summarizes our re-analysis of data previously reported in (Welker et al. 2010), and includes all loci with a significantly different number of reads (p-value ≤0.05), as determined by Defined Region Scan Sequences (Nix et al. 2008). Only loci with ≥1.2-fold changes in the mutant strain compared to WT are reported.
Gene Locus,Chromosome,Strand,Gene chr start position,Gene chr stop position,Normalized number of WT reads,Normalized number of Dcr-1(-/-)K39A reads,Fold Change (mutant vs WT),pVal,Strand(s) affected,Input,Suggested Match,History
W04B5.2,chrIII,+,2424342,2427460,113,0,-114.39,1.8999999999999998e-24,Sense + Antisense,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
W05H12.2,chrI,-,13411784,13412867,10,0,-10.86,0.0054,Sense + Antisense,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
Y105C5A.14,chrIV,-,15646113,15648073,32,1,-16.52,4.3e-07,Sense + Antisense,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
Y116A8B.1,chrIV,+,17216255,17217324,17,0,-18.26,0.00024,Sense + Antisense,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
Y116F11A.1,chrV,+,19725976,19727554,91,2,-30.74,3.9e-19,Sense + Antisense,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
Y17D7B.4,chrV,-,18776202,18776652,27,0,-28.12,2.1e-06,Sense + Antisense,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
Y17G7A.1,chrII,+,11916429,11917427,32,13,-2.36,0.029,Sense + Antisense,Y17G7A.1,WBGene00001977,Sequence name for WBGene00001977(hmg-12). History: N.A.
Y37E11B.2,chrIV,+,3578559,3579137,89,0,-89.74,3.600000000000001e-21,Sense + Antisense,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
Y41C4A.17,chrIII,+,11641341,11641742,10,0,-10.86,0.0086,Sense + Antisense,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
Y43F8B.9,chrV,+,19479166,19480371,42,0,-42.91,2.2e-10,Sense + Antisense,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
Y66D12A.3,chrIII,+,11589760,11592709,12,1,-6.66,0.0067,Sense + Antisense,Y66D12A.3,WBGene00013429,Public name for WBGene00013429. History: N.A.
Y82E9BR.20,chrIII,+,1374141,1376532,17,0,-18.26,0.00024,Sense + Antisense,Y82E9BR.20,WBGene00022352,Public name for WBGene00022352. History: N.A.
C07G2.1,chrIII,+,4489324,4491364,86,27,-3.12,1e-06,Sense + Antisense,C07G2.1,WBGene00000465,Sequence name for WBGene00000465(cpg-1). History: Renamed on 2006-06-16; Renamed on 2008-01-14
C18D11.4,chrIII,+,11826311,11830609,12,1,-6.66,0.012,Sense + Antisense,C18D11.4,WBGene00004705,Sequence name for WBGene00004705(rsp-8). History: N.A.
C23G10.4,chrIII,+,6198845,6201990,35,16,-2.09,0.046,Sense + Antisense,C23G10.4,WBGene00004459,Sequence name for WBGene00004459(rpn-2). History: N.A.
C28C12.2,chrIV,+,8499300,8500063,35,12,-2.73,0.011,Sense + Antisense,C28C12.2,WBGene00016178,Sequence name for WBGene00016178(mesp-1). History: N.A.
C32E8.2,chrI,+,3788035,3788911,10,1,-5.43,0.033,Sense + Antisense,C32E8.2,WBGene00004425,Sequence name for WBGene00004425(rpl-13). History: N.A.
C50F4.11,chrV,-,9541755,9544199,15,1,-7.9,0.0021,Sense + Antisense,C50F4.11,WBGene00003160,Sequence name for WBGene00003160(mdf-1). History: Renamed on 2013-11-19
D1007.12,chrI,+,4585141,4586139,32,9,-3.3,0.005,Sense + Antisense,D1007.12,WBGene00004436,Sequence name for WBGene00004436(rpl-24.1). History: N.A.
D1046.1,chrIV,+,8926321,8929011,17,4,-3.65,0.012,Sense + Antisense,D1046.1,WBGene00008362,"Sequence name for WBGene00008362(cfim-2). History: Split into D1046.18(WBGene00255595). History of WBGene00008362: Split into ""WBGene00255595"" on 2014-09-03"
E02H9.6,chrIII,-,2436092,2442316,10,0,-10.86,0.0054,Sense + Antisense,E02H9.6,WBGene00017104,Public name for WBGene00017104. History: N.A.
F09E10.8,chrX,-,1510513,1521483,10,1,-5.43,0.033,Sense + Antisense,F09E10.8,WBGene00017298,Sequence name for WBGene00017298(toca-1). History: N.A.
F11H8.4,chrIII,-,7023575,7029130,15,2,-5.26,0.0065,Sense + Antisense,F11H8.4,WBGene00000872,Sequence name for WBGene00000872(cyk-1). History: N.A.
F15D4.1,chrII,+,13200078,13215613,7,0,-8.4,0.028,Sense + Antisense,F15D4.1,WBGene00000274,Sequence name for WBGene00000274(btf-1). History: N.A.
F20D12.1,chrIV,+,7957562,7962104,35,11,-2.96,0.007,Sense + Antisense,F20D12.1,WBGene00017641,Sequence name for WBGene00017641(csr-1). History: N.A.
F20G4.3,chrI,-,7927064,7934537,27,5,-4.69,0.0018,Sense + Antisense,F20G4.3,WBGene00003777,Sequence name for WBGene00003777(nmy-2). History: N.A.
F21G4.2,chrX,+,9884256,9889638,42,9,-4.29,0.00025,Sense + Antisense,F21G4.2,WBGene00003410,Sequence name for WBGene00003410(mrp-4). History: N.A.
F25B5.2,chrIII,+,5959253,5961982,15,2,-5.26,0.012,Sense + Antisense,F25B5.2,WBGene00017774,Sequence name for WBGene00017774(nop-1). History: N.A.
F28H1.3,chrI,+,3983206,3986386,25,5,-4.28,0.0042,Sense + Antisense,F28H1.3,WBGene00000197,Sequence name for WBGene00000197(aars-2). History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
F36D4.3,chrV,+,9386126,9400035,35,10,-3.23,0.0043,Sense + Antisense,F36D4.3,WBGene00002036,Sequence name for WBGene00002036(hum-2). History: N.A.
F38B7.5,chrV,+,11554779,11558101,7,0,-8.4,0.028,Sense + Antisense,F38B7.5,WBGene00001110,Sequence name for WBGene00001110(duo-1). History: N.A.
F39E9.1,chrII,+,3315878,3320354,17,0,-18.26,0.00024,Sense + Antisense,F39E9.1,WBGene00018194,"Public name for WBGene00018194. History: Split into ""WBGene00195075"" on 2010-04-22"
F39E9.10,chrII,-,3302775,3303315,79,12,-6.14,9.9e-09,Sense + Antisense,F39E9.10,WBGene00023036,Public name for WBGene00023036. History: N.A.
F39E9.6,chrII,-,3310282,3311925,330,3,-82.83,1.3e-71,Sense + Antisense,F39E9.6,WBGene00018198,Public name for WBGene00018198. History: N.A.
F43E2.6,chrII,-,7367383,7368783,288,130,-2.21,2e-08,Sense + Antisense,F43E2.6,WBGene00018394,Public name for WBGene00018394. History: N.A.
F56C9.6,chrIII,-,7308924,7310697,22,4,-4.64,0.0018,Sense + Antisense,F56C9.6,WBGene00018950,Public name for WBGene00018950. History: N.A.
H02I12.1,chrIV,+,11372961,11377571,69,24,-2.8,0.00038,Sense + Antisense,H02I12.1,WBGene00010351,Sequence name for WBGene00010351(cbd-1). History: N.A.
H27M09.3,chrI,+,6847509,6849922,22,10,-2.11,0.046,Sense + Antisense,H27M09.3,WBGene00019247,Sequence name for WBGene00019247(syp-4). History: N.A.
K07C5.4,chrV,-,10350442,10352950,121,20,-5.8,3.7e-14,Sense + Antisense,K07C5.4,WBGene00010627,Sequence name for WBGene00010627(nol-56). History: N.A.
K08B12.5,chrV,-,6258012,6267174,20,2,-6.91,0.00074,Sense + Antisense,K08B12.5,WBGene00006437,Sequence name for WBGene00006437(mrck-1). History: Renamed on 2008-07-18
K09B11.9,chrIV,-,13445999,13454766,12,1,-6.66,0.012,Sense + Antisense,K09B11.9,WBGene00010713,Sequence name for WBGene00010713(uso-1). History: N.A.
K11C4.3,chrV,+,6881325,6891385,10,1,-5.43,0.021,Sense + Antisense,K11C4.3,WBGene00006803,Sequence name for WBGene00006803(unc-70). History: N.A.
K12D12.1,chrII,+,11875072,11880504,32,10,-3.0,0.0084,Sense + Antisense,K12D12.1,WBGene00010785,Sequence name for WBGene00010785(top-2). History: Renamed on 2015-07-16
K12H4.8,chrIII,-,8071841,8080200,64,6,-9.3,4.4e-09,Sense + Antisense,K12H4.8,WBGene00000939,Sequence name for WBGene00000939(dcr-1). History: N.A.
M01E11.6,chrI,-,5577057,5579302,212,79,-2.66,5.9e-09,Sense + Antisense,M01E11.6,WBGene00002225,Sequence name for WBGene00002225(klp-15). History: N.A.
M117.2,chrIV,-,11820960,11821867,25,9,-2.57,0.016,Sense + Antisense,M117.2,WBGene00003920,Sequence name for WBGene00003920(par-5). History: N.A.
R12E2.10,chrI,-,4168984,4171590,32,12,-2.54,0.02,Sense + Antisense,R12E2.10,WBGene00020035,Sequence name for WBGene00020035(egg-5). History: N.A.
R31.1,chrV,+,11899540,11916600,42,12,-3.3,0.0016,Sense + Antisense,R31.1,WBGene00004855,Sequence name for WBGene00004855(sma-1). History: N.A.
T04C9.1,chrIII,+,5993176,6006290,12,1,-6.66,0.012,Sense + Antisense,T04C9.1,WBGene00020209,Public name for WBGene00020209. History: N.A.
T07C4.3,chrIII,+,10352077,10355010,20,4,-4.14,0.011,Sense + Antisense,T07C4.3,WBGene00011560,Public name for WBGene00011560. History: N.A.
T11F8.3,chrIV,+,5470015,5473075,25,9,-2.57,0.036,Sense + Antisense,T11F8.3,WBGene00004374,Sequence name for WBGene00004374(rme-2). History: N.A.
T19B4.2,chrI,+,5692268,5696691,17,4,-3.65,0.024,Sense + Antisense,T19B4.2,WBGene00003793,Sequence name for WBGene00003793(npp-7). History: N.A.
T21E12.4,chrI,+,4386787,4401981,108,41,-2.61,1.2e-06,Sense + Antisense,T21E12.4,WBGene00000962,Sequence name for WBGene00000962(dhc-1). History: N.A.
T24D11.1,chrX,-,16406124,16413224,10,0,-10.86,0.0086,Sense + Antisense,T24D11.1,WBGene00020770,Sequence name for WBGene00020770(eat-17). History: Renamed on 2013-07-17
T28D9.1,chrII,+,6492356,6493389,7,0,-8.4,0.028,Sense + Antisense,T28D9.1,WBGene00020894,Public name for WBGene00020894. History: N.A.
W08D2.7,chrIV,+,9825671,9830595,7,0,-8.4,0.028,Sense + Antisense,W08D2.7,WBGene00012342,Sequence name for WBGene00012342(mtr-4). History: N.A.
W08E12.7,chrIV,+,3295140,3296517,12,1,-6.66,0.012,Sense + Antisense,W08E12.7,WBGene00021088,Public name for WBGene00021088. History: N.A.
Y110A7A.18,chrI,-,5158513,5162207,27,6,-4.02,0.0013,Sense + Antisense,Y110A7A.18,WBGene00004094,Sequence name for WBGene00004094(ppw-2). History: Renamed on 2011-10-14
Y116A8C.36,chrIV,+,17119639,17126194,10,1,-5.43,0.033,Sense + Antisense,Y116A8C.36,WBGene00006405,Sequence name for WBGene00006405(itsn-1). History: N.A.
Y18D10A.17,chrI,+,12904458,12906217,25,9,-2.57,0.036,Sense + Antisense,Y18D10A.17,WBGene00012484,Sequence name for WBGene00012484(car-1). History: Renamed on 2005-12-05
Y34D9A.4,chrI,-,1030634,1033438,168,63,-2.63,2.6e-07,Sense + Antisense,Y34D9A.4,WBGene00004952,"Sequence name for WBGene00004952(spd-1). History: N.A.. Public name for Dead gene WBGene00021330. History of WBGene00021330: Merged into ""WBGene00004952"" on 2004-12-02"
Y37D8A.11,chrIII,-,12875750,12877457,7,0,-8.4,0.02,Sense + Antisense,Y37D8A.11,WBGene00012551,Sequence name for WBGene00012551(cec-7). History: N.A.
Y39G10AR.13,chrI,-,2304716,2306787,27,13,-2.01,0.037,Sense + Antisense,Y39G10AR.13,WBGene00002047,Sequence name for WBGene00002047(icp-1). History: N.A.
Y41D4B.19,chrIV,-,1567918,1595822,17,1,-9.13,0.0014,Sense + Antisense,Y41D4B.19,WBGene00003794,Sequence name for WBGene00003794(npp-8). History: N.A.
Y41E3.11,chrIV,+,15042396,15049324,17,3,-4.56,0.012,Sense + Antisense,Y41E3.11,WBGene00012769,Sequence name for WBGene00012769(hrpu-1). History: N.A.
Y47D3A.17,chrIII,-,11257386,11270741,10,1,-5.43,0.033,Sense + Antisense,Y47D3A.17,WBGene00012930,Sequence name for WBGene00012930(obr-1). History: N.A.
Y47D7A.14,chrV,-,4443095,4450541,10,2,-3.62,0.049,Sense + Antisense,Y47D7A.14,WBGene00021626,Sequence name for WBGene00021626(rft-2). History: N.A.
Y48G1C.1,chrI,+,93030,94882,17,5,-3.04,0.042,Sense + Antisense,Y48G1C.1,WBGene00021676,Sequence name for WBGene00021676(pid-2). History: Renamed on 2021-03-11
Y51H1A.4,chrII,+,13875939,13882483,7,0,-8.4,0.028,Sense + Antisense,Y51H1A.4,WBGene00013095,Sequence name for WBGene00013095(ing-3). History: N.A.
Y71A12B.1,chrI,+,13952147,13953178,15,1,-7.9,0.0042,Sense + Antisense,Y71A12B.1,WBGene00004475,Sequence name for WBGene00004475(rps-6). History: N.A.
ZK381.4,chrIV,-,6974425,6977129,37,13,-2.71,0.0091,Sense + Antisense,ZK381.4,WBGene00003992,Sequence name for WBGene00003992(pgl-1). History: N.A.
ZK430.1,chrII,+,4425201,4432604,17,1,-9.13,0.0014,Sense + Antisense,ZK430.1,WBGene00022739,Sequence name for WBGene00022739(toe-1). History: N.A.
F39F10.4,chrX,-,16902307,16904249,10,1,-5.43,0.021,Sense,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
Y111B2A.18,chrIII,-,12686896,12687786,27,9,-2.81,0.0075,Sense,Y111B2A.18,WBGene00004700,Sequence name for WBGene00004700(rsp-3). History: N.A.
C04F12.9,chrI,-,9710149,9710757,7,0,-8.4,0.02,Sense,C04F12.9,WBGene00007303,Sequence name for WBGene00007303(rnh-1.3). History: N.A.
C48B6.6,chrI,-,6900949,6913578,10,0,-10.86,0.0054,Sense,C48B6.6,WBGene00004879,Sequence name for WBGene00004879(smg-1). History: N.A.
F01D5.10,chrII,-,14017868,14020849,1104,415,-2.66,7.499999999999999e-54,Sense,F01D5.10,WBGene00008500,Public name for WBGene00008500. History: N.A.
F17C11.11,chrV,-,10937608,10938816,15,3,-3.95,0.015,Sense,F17C11.11,WBGene00008922,Public name for WBGene00008922. History: N.A.
K10B4.6,chrII,-,130982,133592,10,2,-3.62,0.049,Sense,K10B4.6,WBGene00000857,Sequence name for WBGene00000857(cwn-1). History: N.A.
T08B2.7,chrI,-,6206956,6211157,15,5,-2.63,0.049,Sense,T08B2.7,WBGene00020347,Sequence name for WBGene00020347(ech-1.2). History: N.A.
Y102A5C.36,chrV,-,16926955,16927820,7,0,-8.4,0.02,Sense,Y102A5C.36,WBGene00044213,Public name for WBGene00044213. History: N.A.
Y106G6A.1,chrI,-,9936116,9938290,10,0,-10.86,0.0054,Sense,Y106G6A.1,WBGene00013694,Sequence name for WBGene00013694(mekk-3). History: N.A.
Y38F2AR.12,chrIV,-,2399557,2412408,69,27,-2.5,0.00014,Sense,Y38F2AR.12,WBGene00021430,Public name for WBGene00021430. History: N.A.
Y53G8B.1,chrIII,+,3129308,3131226,7,0,-8.4,0.028,Sense,Y53G8B.1,WBGene00021817,Public name for WBGene00021817. History: N.A.
Y55D5A.5,chrIII,-,2995752,3028790,25,8,-2.85,0.0098,Sense,Y55D5A.5,WBGene00000898,Sequence name for WBGene00000898(daf-2). History: N.A.
Y58A7A.3,chrV,-,5077833,5080881,7,0,-8.4,0.02,Sense,Y58A7A.3,WBGene00021977,Public name for WBGene00021977. History: N.A.
Y62F5A.1,chrII,-,11527156,11533730,30,5,-5.1,0.00023,Sense,Y62F5A.1,WBGene00007013,Sequence name for WBGene00007013(mdt-8). History: N.A.
Y67D8C.10,chrIV,-,3103816,3131366,25,6,-3.66,0.0031,Sense,Y67D8C.10,WBGene00003153,Sequence name for WBGene00003153(mca-3). History: Renamed on 2007-10-09
Y71H2AM.11,chrIII,-,2718220,2725082,10,2,-3.62,0.049,Sense,Y71H2AM.11,WBGene00022176,Public name for WBGene00022176. History: N.A.
ZK550.5,chrIV,-,17257465,17259342,7,0,-8.4,0.02,Sense,ZK550.5,WBGene00013999,Sequence name for WBGene00013999(phyh-1). History: N.A.
C04G2.8,chrIV,-,10110318,10111549,101,74,-1.36,0.027,Sense,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
C47E8.5,chrV,+,14686141,14688403,67,28,-2.33,0.0029,Sense,C47E8.5,WBGene00000915,Sequence name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
C56C10.8,chrII,-,6587915,6588589,27,10,-2.56,0.012,Sense,C56C10.8,WBGene00002045,Sequence name for WBGene00002045(icd-1). History: N.A.
F17C11.9,chrV,+,10965694,10967907,62,20,-2.98,0.00041,Sense,F17C11.9,WBGene00008920,Sequence name for WBGene00008920(eef-1G). History: N.A.
F31E3.5,chrIII,-,6970074,6971616,182,76,-2.38,5.4e-09,Sense,F31E3.5,WBGene00001168,Sequence name for WBGene00001168(eef-1A.1). History: Renamed on 2005-09-08; Renamed on 2010-08-03
F45H11.2,chrI,-,10373359,10373849,10,2,-3.62,0.049,Sense,F45H11.2,WBGene00003587,Sequence name for WBGene00003587(ned-8). History: N.A.
F58D5.7,chrI,-,12032323,12033693,0,11,12.0,0.031,Sense,F58D5.7,WBGene00010246,Public name for WBGene00010246. History: N.A.
F58E6.5,chrV,-,9753420,9754550,35,13,-2.54,0.0054,Sense,F58E6.5,WBGene00010254,Public name for WBGene00010254. History: N.A.
K07F5.5,chrIV,+,9844032,9844245,30,12,-2.35,0.035,Sense,K07F5.5,WBGene00010633,Sequence name for WBGene00010633(nspd-2). History: N.A.
T05C3.5,chrV,-,5503221,5504829,15,4,-3.16,0.029,Sense,T05C3.5,WBGene00001037,Sequence name for WBGene00001037(dnj-19). History: Renamed on 2005-12-16
W03F11.3,chrI,-,2233778,2234907,7,0,-8.4,0.02,Sense,W03F11.3,WBGene00021006,Sequence name for WBGene00021006(dct-9). History: N.A.
Y38C1AA.7,chrIV,+,158966,159830,10,1,-5.43,0.033,Sense,Y38C1AA.7,WBGene00021398,Public name for WBGene00021398. History: N.A.
Y39A1C.3,chrIII,-,10867041,10868501,25,11,-2.14,0.035,Sense,Y39A1C.3,WBGene00000475,Sequence name for WBGene00000475(cey-4). History: N.A.
B0035.3,chrIV,-,11314047,11315021,10,0,-10.86,0.0054,Sense,B0035.3,WBGene00007106,Public name for WBGene00007106. History: N.A.
B0041.4,chrI,-,4645737,4646958,27,12,-2.16,0.027,Sense,B0041.4,WBGene00004415,Sequence name for WBGene00004415(rpl-4). History: N.A.
B0280.5,chrIII,-,7102011,7103920,94,44,-2.1,0.00014,Sense,B0280.5,WBGene00015102,Sequence name for WBGene00015102(cpg-2). History: N.A.
B0303.3,chrIII,-,8686550,8688070,27,2,-9.37,2.5e-05,Sense,B0303.3,WBGene00015125,Public name for WBGene00015125. History: N.A.
C01G5.2,chrIV,-,6526709,6529786,15,3,-3.95,0.015,Sense,C01G5.2,WBGene00004179,"Sequence name for WBGene00004179(prg-2). History: Renamed on 2007-11-05. Public name for Dead gene WBGene00015304. History of WBGene00015304: Merged into ""WBGene00004179"" on 2007-11-05"
C01G6.1,chrII,-,9258834,9261916,10,2,-3.62,0.049,Sense,C01G6.1,WBGene00000170,Sequence name for WBGene00000170(aqp-2). History: N.A.
C01G6.8,chrII,-,9295841,9310226,15,2,-5.26,0.0065,Sense,C01G6.8,WBGene00000289,Sequence name for WBGene00000289(cam-1). History: N.A.
C04A2.7,chrII,-,6853401,6858226,20,6,-2.96,0.017,Sense,C04A2.7,WBGene00001023,Sequence name for WBGene00001023(dnj-5). History: N.A.
C05B5.2,chrIII,-,9998437,10000412,22,9,-2.32,0.032,Sense,C05B5.2,WBGene00007320,"Public name for WBGene00007320. History: Split into C05B5.17(WBGene00219314). History of WBGene00007320: Split into ""WBGene00219314"" on 2011-11-21"
C06A1.1,chrII,-,10560253,10563311,74,23,-3.12,5.5e-06,Sense,C06A1.1,WBGene00007352,Sequence name for WBGene00007352(cdc-48.1). History: Renamed on 2005-03-17
C06G3.9,chrIV,-,7032825,7036843,7,0,-8.4,0.02,Sense,C06G3.9,WBGene00015555,Sequence name for WBGene00015555(ufl-1). History: N.A.
C07G1.3,chrIV,+,8176465,8188861,10,0,-10.86,0.0086,Sense,C07G1.3,WBGene00003961,Sequence name for WBGene00003961(pct-1). History: N.A.
C07G2.2,chrIII,-,4491599,4508083,30,6,-4.37,0.00051,Sense,C07G2.2,WBGene00000223,"Sequence name for WBGene00000223(atf-7). History: Split into C07G2.5(WBGene00303035). History of WBGene00000223: Split into ""WBGene00303035"" on 2018-03-02"
C07H6.5,chrIII,-,7496185,7497718,288,149,-1.93,2.2e-09,Sense,C07H6.5,WBGene00000479,Sequence name for WBGene00000479(cgh-1). History: N.A.
C08F8.6,chrIV,-,11162757,11164260,10,2,-3.62,0.049,Sense,C08F8.6,WBGene00007448,Public name for WBGene00007448. History: N.A.
C08H9.2,chrII,-,9886467,9891003,39,22,-1.76,0.032,Sense,C08H9.2,WBGene00007463,Sequence name for WBGene00007463(vgln-1). History: N.A.
