Gene Symbol,Ratio(endu-2_tm4977 vs. endu-2_GFP),log2FC,Input,Suggested Match,History
F54D5.5,-2.53736,-2.53736,F54D5.5,WBGene00010051,Public name for WBGene00010051. History: N.A.
R144.15,-2.53035,-2.53035,R144.15,WBGene00195017,Sequence name for WBGene00195017(srpr-2.2). History: N.A.
klp-15,-2.52906,-2.52906,klp-15,WBGene00002225,Public name for WBGene00002225. History: N.A.
F35E12.5,-2.52839,-2.52839,F35E12.5,WBGene00009429,Sequence name for WBGene00009429(irg-5). History: N.A.
T10C6.7,-2.52562,-2.52562,T10C6.7,WBGene00011689,Public name for WBGene00011689. History: N.A.
ZC308.4,-2.52509,-2.52509,ZC308.4,WBGene00022586,Public name for WBGene00022586. History: N.A.
nhr-2,-2.52442,-2.52442,nhr-2,WBGene00003601,Public name for WBGene00003601. History: N.A.
H31G24.3,-2.51595,-2.51595,H31G24.3,WBGene00019254,Public name for WBGene00019254. History: N.A.
F32D1.7,-2.50964,-2.50964,F32D1.7,WBGene00017986,Public name for WBGene00017986. History: N.A.
C30F12.4,-2.50111,-2.50111,C30F12.4,WBGene00016263,Public name for WBGene00016263. History: N.A.
C45H4.14,-2.49667,-2.49667,C45H4.14,WBGene00016695,Public name for WBGene00016695. History: N.A.
K02F6.7,-2.49645,-2.49645,K02F6.7,WBGene00019341,Public name for WBGene00019341. History: N.A.
F13B12.1,-2.49237,-2.49237,F13B12.1,WBGene00008729,Public name for WBGene00008729. History: N.A.
rgs-8.2,-2.48803,-2.48803,rgs-8.2,WBGene00021988,Public name for WBGene00021988. History: N.A.
dpy-17,-2.47608,-2.47608,dpy-17,WBGene00001076,Public name for WBGene00001076. History: N.A.
ztf-11,-2.47554,-2.47554,ztf-11,WBGene00009939,Public name for WBGene00009939. History: Renamed on 2008-02-20
B0348.2,-2.47108,-2.47108,B0348.2,WBGene00015152,Public name for WBGene00015152. History: N.A.
mes-1,-2.45487,-2.45487,mes-1,WBGene00003219,Public name for WBGene00003219. History: N.A.
nspd-10,-2.43667,-2.43667,nspd-10,WBGene00020860,Public name for WBGene00020860. History: N.A.
pif-1,-2.43194,-2.43194,pif-1,WBGene00004028,Public name for WBGene00004028. History: N.A.
C06E1.1,-2.43191,-2.43191,C06E1.1,WBGene00015518,Public name for WBGene00015518. History: N.A.
zim-1,-2.43111,-2.43111,zim-1,WBGene00011597,Public name for WBGene00011597. History: N.A.
T04D3.5,-2.42729,-2.42729,T04D3.5,WBGene00011434,Public name for WBGene00011434. History: N.A.
try-1,-2.42607,-2.42607,try-1,WBGene00006619,Public name for WBGene00006619. History: N.A.
T21C9.13,-2.41711,-2.41711,T21C9.13,WBGene00011898,Public name for WBGene00011898. History: N.A.
T10B11.8,-2.41549,-2.41549,T10B11.8,WBGene00020404,Public name for WBGene00020404. History: N.A.
C50E3.12,-2.40854,-2.40854,C50E3.12,WBGene00016823,Public name for WBGene00016823. History: N.A.
F02E8.4,-2.40087,-2.40087,F02E8.4,WBGene00017177,Public name for WBGene00017177. History: N.A.
psf-1,-2.38528,-2.38528,psf-1,WBGene00011275,Public name for WBGene00011275. History: N.A.. Other name for WBGene00017778(nono-1). History: Renamed on 2013-07-10
R04D3.3,-2.38207,-2.38207,R04D3.3,WBGene00011011,Public name for WBGene00011011. History: N.A.
neg-1,-2.36899,-2.36899,neg-1,WBGene00017985,Public name for WBGene00017985. History: N.A.
mut-15,-2.36821,-2.36821,mut-15,WBGene00011323,Public name for WBGene00011323. History: Renamed on 2013-10-16
sld-2,-2.36194,-2.36194,sld-2,WBGene00020466,Public name for WBGene00020466. History: N.A.
cyp-31A2,-2.3563,-2.3563,cyp-31A2,WBGene00010354,Public name for WBGene00010354. History: N.A.
B0212.3,-2.35435,-2.35435,B0212.3,WBGene00015037,Public name for WBGene00015037. History: N.A.
F55A11.8,-2.34734,-2.34734,F55A11.8,WBGene00010081,Public name for WBGene00010081. History: N.A.
T24C4.2,-2.3449,-2.3449,T24C4.2,WBGene00020758,Public name for WBGene00020758. History: N.A.
sdz-28,-2.34245,-2.34245,sdz-28,WBGene00020073,Public name for WBGene00020073. History: Renamed on 2005-08-22
E02H4.6,-2.33177,-2.33177,E02H4.6,WBGene00008464,Public name for WBGene00008464. History: N.A.
C28A5.2,-2.33068,-2.33068,C28A5.2,WBGene00007789,Public name for WBGene00007789. History: N.A.
mom-2,-2.3301,-2.3301,mom-2,WBGene00003395,Public name for WBGene00003395. History: N.A.
sepa-1,-2.32695,-2.32695,sepa-1,WBGene00010808,Public name for WBGene00010808. History: N.A.
orc-1,-2.32152,-2.32152,orc-1,WBGene00012650,Public name for WBGene00012650. History: N.A.
cpar-1,-2.31509,-2.31509,cpar-1,WBGene00010036,Public name for WBGene00010036. History: N.A.
cdc-25.3,-2.30842,-2.30842,cdc-25.3,WBGene00000388,Public name for WBGene00000388. History: N.A.
ZK973.1,-2.30586,-2.30586,ZK973.1,WBGene00022830,Public name for WBGene00022830. History: N.A.
nos-1,-2.305,-2.305,nos-1,WBGene00003783,Public name for WBGene00003783. History: N.A.
chs-1,-2.30463,-2.30463,chs-1,WBGene00000496,Public name for WBGene00000496. History: N.A.. Other name for WBGene00000497(chs-2). History: N.A.
T24D1.3,-2.30446,-2.30446,T24D1.3,WBGene00011986,Public name for WBGene00011986. History: N.A.
F22E5.17,-2.30221,-2.30221,F22E5.17,WBGene00017712,Public name for WBGene00017712. History: N.A.
T08D2.7,-2.29994,-2.29994,T08D2.7,WBGene00011612,Sequence name for WBGene00011612(chkr-1). History: N.A.
F14H3.5,-2.29937,-2.29937,F14H3.5,WBGene00008824,Public name for WBGene00008824. History: N.A.
B0336.5,-2.2961,-2.2961,B0336.5,WBGene00015145,Sequence name for WBGene00015145(arle-14). History: N.A.
cpr-3,-2.29233,-2.29233,cpr-3,WBGene00000783,Public name for WBGene00000783. History: N.A.
rpr-1,-2.29167,-2.29167,rpr-1,WBGene00045238,Public name for WBGene00045238. History: N.A.
Y17G9B.9,-2.29114,-2.29114,Y17G9B.9,WBGene00003216,Sequence name for WBGene00003216(memi-1). History: Renamed on 2016-10-14
C04B4.2,-2.29046,-2.29046,C04B4.2,WBGene00007290,Public name for WBGene00007290. History: N.A.
set-5,-2.28853,-2.28853,set-5,WBGene00008145,Public name for WBGene00008145. History: N.A.
dgtr-1,-2.2885,-2.2885,dgtr-1,WBGene00020910,Public name for WBGene00020910. History: N.A.
dsh-2,-2.28749,-2.28749,dsh-2,WBGene00001102,Public name for WBGene00001102. History: N.A.
tofu-4,-2.27579,-2.27579,tofu-4,WBGene00019013,Public name for WBGene00019013. History: N.A.
F12E12.1,-2.27566,-2.27566,F12E12.1,WBGene00017402,Public name for WBGene00017402. History: N.A.
F43G6.7,-2.27347,-2.27347,F43G6.7,WBGene00009659,Public name for WBGene00009659. History: N.A.
H37A05.4,-2.26085,-2.26085,H37A05.4,WBGene00044200,Public name for WBGene00044200. History: N.A.
lsy-27,-2.25897,-2.25897,lsy-27,WBGene00009834,Public name for WBGene00009834. History: N.A.
R09F10.8,-2.25712,-2.25712,R09F10.8,WBGene00019989,Public name for WBGene00019989. History: N.A.
F14H3.3,-2.25291,-2.25291,F14H3.3,WBGene00008822,Public name for WBGene00008822. History: N.A.
F14H3.6,-2.24588,-2.24588,F14H3.6,WBGene00008825,Public name for WBGene00008825. History: N.A.
dpy-14,-2.24542,-2.24542,dpy-14,WBGene00001075,Public name for WBGene00001075. History: N.A.
pqn-82,-2.24476,-2.24476,pqn-82,WBGene00004163,Public name for WBGene00004163. History: N.A.
F44E7.5,-2.23707,-2.23707,F44E7.5,WBGene00018427,Public name for WBGene00018427. History: N.A.
meg-2,-2.23692,-2.23692,meg-2,WBGene00010493,Public name for WBGene00010493. History: N.A.
cpg-4,-2.23626,-2.23626,cpg-4,WBGene00015677,Public name for WBGene00015677. History: N.A.
B0024.4,-2.23462,-2.23462,B0024.4,WBGene00007097,Public name for WBGene00007097. History: N.A.
unc-71,-2.23435,-2.23435,unc-71,WBGene00006804,"Public name for WBGene00006804. History: Split into Y37D8A.29(WBGene00303086). History of WBGene00006804: Split into ""WBGene00303086"" on 2018-03-02"
Y82E9BR.17,-2.23391,-2.23391,Y82E9BR.17,WBGene00022349,Public name for WBGene00022349. History: N.A.
tag-349,-2.23317,-2.23317,tag-349,WBGene00013538,Other name for WBGene00013538(ari-1.4). History: Renamed on 2018-05-24
ztf-25,-2.22205,-2.22205,ztf-25,WBGene00012405,Public name for WBGene00012405. History: N.A.
drd-50,-2.2177,-2.2177,drd-50,WBGene00018643,Public name for WBGene00018643. History: N.A.
set-22,-2.21577,-2.21577,set-22,WBGene00012527,Public name for WBGene00012527. History: N.A.
Y17G9B.2,-2.20676,-2.20676,Y17G9B.2,WBGene00021199,Public name for WBGene00021199. History: N.A.
cdh-4,-2.20298,-2.20298,cdh-4,WBGene00000396,Public name for WBGene00000396. History: N.A.
cku-80,-2.20027,-2.20027,cku-80,WBGene00000520,Public name for WBGene00000520. History: N.A.
cpg-3,-2.20012,-2.20012,cpg-3,WBGene00011063,Public name for WBGene00011063. History: N.A.
nth-1,-2.19735,-2.19735,nth-1,WBGene00011201,Public name for WBGene00011201. History: Renamed on 2006-07-28
ent-5,-2.19651,-2.19651,ent-5,WBGene00017532,Public name for WBGene00017532. History: N.A.
fbxa-215,-2.19374,-2.19374,fbxa-215,WBGene00012879,Public name for WBGene00012879. History: N.A.
hch-1,-2.19345,-2.19345,hch-1,WBGene00001828,Public name for WBGene00001828. History: N.A.
Y49E10.30,-2.1922,-2.1922,Y49E10.30,WBGene00194981,Public name for WBGene00194981. History: N.A.
egg-5,-2.19193,-2.19193,egg-5,WBGene00020035,Public name for WBGene00020035. History: N.A.
lrr-1,-2.19035,-2.19035,lrr-1,WBGene00018016,Public name for WBGene00018016. History: N.A.
B0025.4,-2.18769,-2.18769,B0025.4,WBGene00015001,Public name for WBGene00015001. History: N.A.
gla-3,-2.18748,-2.18748,gla-3,WBGene00011376,Public name for WBGene00011376. History: N.A.
Y39G8B.9,-2.1789,-2.1789,Y39G8B.9,WBGene00012728,Public name for WBGene00012728. History: N.A.
T09B4.2,-2.1777,-2.1777,T09B4.2,WBGene00020376,Public name for WBGene00020376. History: N.A.
Y48G1A.2,-2.17652,-2.17652,Y48G1A.2,WBGene00021658,Public name for WBGene00021658. History: N.A.
T10C6.10,-2.1761,-2.1761,T10C6.10,WBGene00011691,Public name for WBGene00011691. History: N.A.
C24H12.5,-2.17318,-2.17318,C24H12.5,WBGene00016074,Sequence name for WBGene00016074(dnsn-1). History: N.A.
F42A9.8,-2.16905,-2.16905,F42A9.8,WBGene00018337,Public name for WBGene00018337. History: N.A.
rgs-9,-2.16466,-2.16466,rgs-9,WBGene00004352,Public name for WBGene00004352. History: N.A.
mesp-1,-2.16028,-2.16028,mesp-1,WBGene00016178,Public name for WBGene00016178. History: N.A.
rme-2,-2.15886,-2.15886,rme-2,WBGene00004374,Public name for WBGene00004374. History: N.A.
oac-14,-2.15599,-2.15599,oac-14,WBGene00008602,Public name for WBGene00008602. History: N.A.
clec-91,-2.15568,-2.15568,clec-91,WBGene00014117,Public name for WBGene00014117. History: N.A.
msra-1,-2.15453,-2.15453,msra-1,WBGene00018393,Public name for WBGene00018393. History: N.A.
sdz-25,-2.15296,-2.15296,sdz-25,WBGene00019791,Public name for WBGene00019791. History: Renamed on 2005-12-13
hal-2,-2.14453,-2.14453,hal-2,WBGene00011819,Public name for WBGene00011819. History: N.A.
fbxa-170,-2.14179,-2.14179,fbxa-170,WBGene00016486,Public name for WBGene00016486. History: N.A.
Y9D1A.2,-2.14014,-2.14014,Y9D1A.2,WBGene00021187,Public name for WBGene00021187. History: N.A.
Y11D7A.7,-2.13942,-2.13942,Y11D7A.7,WBGene00012431,Public name for WBGene00012431. History: N.A.
puf-7,-2.13885,-2.13885,puf-7,WBGene00004243,Public name for WBGene00004243. History: N.A.
lem-3,-2.13586,-2.13586,lem-3,WBGene00002276,Public name for WBGene00002276. History: N.A.
fbxc-44,-2.13503,-2.13503,fbxc-44,WBGene00015819,"Public name for WBGene00015819. History: Split into fbxc-43(WBGene00045297). History of WBGene00015819: Split into ""WBGene00045297"" on 2007-02-28"
tbx-36,-2.13456,-2.13456,tbx-36,WBGene00006555,Public name for WBGene00006555. History: N.A.
R08D7.5,-2.13407,-2.13407,R08D7.5,WBGene00011145,Public name for WBGene00011145. History: N.A.
F58D12.1,-2.13254,-2.13254,F58D12.1,WBGene00010249,Public name for WBGene00010249. History: N.A.
F33G12.3,-2.12776,-2.12776,F33G12.3,WBGene00018015,Public name for WBGene00018015. History: N.A.
mdf-2,-2.12535,-2.12535,mdf-2,WBGene00003161,Public name for WBGene00003161. History: Renamed on 2013-11-19
tdc-1,-2.12372,-2.12372,tdc-1,WBGene00006562,Public name for WBGene00006562. History: N.A.
ttr-50,-2.1236,-2.1236,ttr-50,WBGene00010234,Public name for WBGene00010234. History: N.A.
C14B1.2,-2.11684,-2.11684,C14B1.2,WBGene00007573,Public name for WBGene00007573. History: N.A.
T12G3.6,-2.11528,-2.11528,T12G3.6,WBGene00011741,Public name for WBGene00011741. History: N.A.
F02H6.2,-2.11468,-2.11468,F02H6.2,WBGene00008535,Public name for WBGene00008535. History: N.A.
ZC53.1,-2.11445,-2.11445,ZC53.1,WBGene00022508,Public name for WBGene00022508. History: N.A.
B0393.3,-2.11015,-2.11015,B0393.3,WBGene00007168,Public name for WBGene00007168. History: N.A.
unc-61,-2.10619,-2.10619,unc-61,WBGene00006795,Public name for WBGene00006795. History: N.A.
mei-2,-2.1002,-2.1002,mei-2,WBGene00003184,Public name for WBGene00003184. History: N.A.
C27C12.1,-2.09645,-2.09645,C27C12.1,WBGene00007771,Public name for WBGene00007771. History: N.A.
C28A5.1,-2.0959,-2.0959,C28A5.1,WBGene00007788,Public name for WBGene00007788. History: N.A.
F19B10.1,-2.09517,-2.09517,F19B10.1,WBGene00017583,Public name for WBGene00017583. History: N.A.
let-99,-2.08969,-2.08969,let-99,WBGene00002368,Public name for WBGene00002368. History: N.A.
har-2,-2.08901,-2.08901,har-2,WBGene00011988,Public name for WBGene00011988. History: N.A.
C14B1.9,-2.08851,-2.08851,C14B1.9,WBGene00007580,Public name for WBGene00007580. History: N.A.
B0432.13,-2.08819,-2.08819,B0432.13,WBGene00015194,Sequence name for WBGene00015194(trul-1). History: N.A.
C56C10.9,-2.08691,-2.08691,C56C10.9,WBGene00016965,Public name for WBGene00016965. History: N.A.
viln-1,-2.08682,-2.08682,viln-1,WBGene00015691,Public name for WBGene00015691. History: N.A.
egg-2,-2.0835,-2.0835,egg-2,WBGene00019811,Public name for WBGene00019811. History: N.A.
bath-29,-2.08119,-2.08119,bath-29,WBGene00017452,Public name for WBGene00017452. History: N.A.
C31H1.8,-2.08079,-2.08079,C31H1.8,WBGene00016291,Sequence name for WBGene00016291(oops-1). History: N.A.
F23D12.2,-2.07213,-2.07213,F23D12.2,WBGene00009086,"Public name for WBGene00009086. History: Split into fbxa-179(WBGene00045292), F23D12.10(WBGene00045291). History of WBGene00009086: Split into ""WBGene00045291"" on 2007-02-26; Split into ""WBGene00045292"" on 2007-02-26"
ccch-5,-2.06928,-2.06928,ccch-5,WBGene00013319,Public name for WBGene00013319. History: N.A.
D2024.5,-2.06771,-2.06771,D2024.5,WBGene00017053,Public name for WBGene00017053. History: N.A.
F56D2.2,-2.06475,-2.06475,F56D2.2,WBGene00018964,Public name for WBGene00018964. History: N.A.
C37C3.9,-2.06403,-2.06403,C37C3.9,WBGene00016501,Public name for WBGene00016501. History: N.A.
perm-1,-2.06374,-2.06374,perm-1,WBGene00011350,Public name for WBGene00011350. History: N.A.
gyg-2,-2.0604,-2.0604,gyg-2,WBGene00012020,Public name for WBGene00012020. History: N.A.
egl-18,-2.05631,-2.05631,egl-18,WBGene00001186,Public name for WBGene00001186. History: N.A.
Y41C4A.11,-2.05626,-2.05626,Y41C4A.11,WBGene00012757,"Public name for WBGene00012757. History: Split into Y41C4A.32(WBGene00270321). History of WBGene00012757: Split into ""WBGene00270321"" on 2016-08-31"
pole-1,-2.05404,-2.05404,pole-1,WBGene00009368,Public name for WBGene00009368. History: N.A.
3-Mar,-2.05347,-2.05347,3-Mar,WBGene00007643,Public name for WBGene00007643. History: N.A.
F52C12.1,-2.05278,-2.05278,F52C12.1,WBGene00018678,Sequence name for WBGene00018678(tdpo-1). History: N.A.
rgs-11,-2.05241,-2.05241,rgs-11,WBGene00004354,Public name for WBGene00004354. History: N.A.
rmd-1,-2.05157,-2.05157,rmd-1,WBGene00011501,Public name for WBGene00011501. History: N.A.
C44B9.3,-2.0494,-2.0494,C44B9.3,WBGene00008080,Public name for WBGene00008080. History: N.A.
ZK1067.3,-2.04492,-2.04492,ZK1067.3,WBGene00014209,Public name for WBGene00014209. History: N.A.
C48B4.7,-2.04019,-2.04019,C48B4.7,WBGene00008170,Public name for WBGene00008170. History: N.A.
evl-18,-2.03913,-2.03913,evl-18,WBGene00009372,"Public name for WBGene00009372. History: Split into F34D10.9(WBGene00045484). History of WBGene00009372: Split into ""WBGene00045484"" on 2007-07-16; Renamed on 2012-08-30"
hmg-20,-2.03424,-2.03424,hmg-20,WBGene00012209,Public name for WBGene00012209. History: N.A.
dut-1,-2.03421,-2.03421,dut-1,WBGene00010609,Public name for WBGene00010609. History: N.A.
F35C11.5,-2.03402,-2.03402,F35C11.5,WBGene00009404,Public name for WBGene00009404. History: N.A.
F28F8.9,-2.03332,-2.03332,F28F8.9,WBGene00044188,Public name for WBGene00044188. History: N.A.
R11D1.1,-2.0319,-2.0319,R11D1.1,WBGene00011242,Public name for WBGene00011242. History: N.A.
M151.3,-2.02557,-2.02557,M151.3,WBGene00019795,"Public name for WBGene00019795. History: Split into M151.9(WBGene00219238). History of WBGene00019795: Split into ""WBGene00219238"" on 2011-09-19"
kup-1,-2.02341,-2.02341,kup-1,WBGene00002241,Public name for WBGene00002241. History: N.A.
Y105E8A.8,-2.02265,-2.02265,Y105E8A.8,WBGene00013669,Sequence name for WBGene00013669(tcab-1). History: N.A.
C08E3.1,-2.01804,-2.01804,C08E3.1,WBGene00015593,Public name for WBGene00015593. History: N.A.
Y37E11AM.2,-2.01758,-2.01758,Y37E11AM.2,WBGene00021366,Public name for WBGene00021366. History: N.A.
clec-88,-2.01681,-2.01681,clec-88,WBGene00019606,Public name for WBGene00019606. History: Renamed on 2006-06-15
Y105C5A.1,-2.01573,-2.01573,Y105C5A.1,WBGene00013632,Public name for WBGene00013632. History: N.A.
meg-1,-2.01413,-2.01413,meg-1,WBGene00010492,Public name for WBGene00010492. History: N.A.
skr-12,-2.01297,-2.01297,skr-12,WBGene00004818,Public name for WBGene00004818. History: N.A.
pie-1,-2.01267,-2.01267,pie-1,WBGene00004027,Public name for WBGene00004027. History: N.A.
W03C9.5,-2.01164,-2.01164,W03C9.5,WBGene00012221,Public name for WBGene00012221. History: N.A.
Y54F10AM.11,-2.00936,-2.00936,Y54F10AM.11,WBGene00021853,Public name for WBGene00021853. History: N.A.
ZC317.7,-2.00842,-2.00842,ZC317.7,WBGene00022590,Public name for WBGene00022590. History: N.A.
H05L14.2,-2.00717,-2.00717,H05L14.2,WBGene00010367,"Public name for WBGene00010367. History: Split into H05L14.3(WBGene00271605). History of WBGene00010367: Split into ""WBGene00271605"" on 2017-03-02"
arrd-1,-2.00621,-2.00621,arrd-1,WBGene00020205,Public name for WBGene00020205. History: N.A.
K03H1.7,-2.00599,-2.00599,K03H1.7,WBGene00010542,Public name for WBGene00010542. History: N.A.
Y4C6A.3,-2.00546,-2.00546,Y4C6A.3,WBGene00021153,Public name for WBGene00021153. History: N.A.
pch-2,-2.00384,-2.00384,pch-2,WBGene00008641,Public name for WBGene00008641. History: N.A.
vps-33.1,-2.00341,-2.00341,vps-33.1,WBGene00015130,Public name for WBGene00015130. History: N.A.
