Gene ID,Public Name,Hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,mut-16_1,mut-16_2,mut-16_3,henn-1_1,henn-1_2,henn-1_3,wt_avg,prg-1_avg,prg-1_fold_change,prg-1_adj_p-value,Input,Suggested Match,History
R10F2.6,R10F2.6,yes,840.88,152.93,162.3,30831.79,30811.27,34280.94,8.72,27.48,252.28,157.97,165.87,145.73,385.37,31974.67,82.97,0,R10F2.6,WBGene00019997,Public name for WBGene00019997. History: N.A.
Y20F4.2,crtc-1,yes,146.91,19.95,30.61,5283.71,5520.44,5183.82,5.82,3.75,47.24,56.05,80.95,70.12,65.82,5329.33,80.97,3.64e-11,Y20F4.2,WBGene00021237,Sequence name for WBGene00021237(crtc-1). History: N.A.
Y53C10A.3,hsf-2,yes,33.99,7.31,3.71,1402.69,1210.21,1028.62,5.82,1.25,12.88,7.28,10.19,4.81,15,1213.84,80.91,2.55e-15,Y53C10A.3,WBGene00013134,Sequence name for WBGene00013134(hsf-2). History: Split into Y53C10A.15(WBGene00044805). History of WBGene00013134: N.A.
Y53C10A.2,hsf-2,yes,6.58,5.98,7.42,511.92,490.63,585.03,0,2.5,4.29,13.83,7.36,11.69,6.66,529.19,79.45,6.14e-77,Y53C10A.2,WBGene00013134,"Other name for WBGene00013134(hsf-2). History: Split into Y53C10A.15(WBGene00044805). History of WBGene00013134: N.A.. Public name for Dead gene WBGene00013133. History of WBGene00013133: Merged into ""WBGene00013134"" on 2014-11-13"
B0035.7,his-47,yes,511.98,77.13,90.89,16284.83,15770.27,17730.86,91.6,99.91,231.88,86.63,94.54,96.24,226.67,16595.32,73.21,5.67e-17,B0035.7,WBGene00001921,Sequence name for WBGene00001921(his-47). History: N.A.
F54E12.5,his-57,yes,511.98,77.13,90.89,16284.83,15770.27,17730.86,91.6,99.91,231.88,86.63,94.54,96.24,226.67,16595.32,73.21,5.67e-17,F54E12.5,WBGene00001931,Sequence name for WBGene00001931(his-57). History: N.A.
H02I12.7,his-65,yes,511.98,77.13,90.89,16284.83,15770.27,17730.86,91.6,99.91,231.88,86.63,94.54,96.24,226.67,16595.32,73.21,5.67e-17,H02I12.7,WBGene00001939,Sequence name for WBGene00001939(his-65). History: N.A.
Y39B6A.11,dyf-17,yes,412.22,83.11,92.74,13356.55,13684.21,15755.05,135.22,103.66,245.84,100.46,95.67,114.8,196.02,14265.27,72.77,4.34e-22,Y39B6A.11,WBGene00012673,Sequence name for WBGene00012673(dyf-17). History: N.A.
Y45G12B.3,Y45G12B.3,yes,1352.86,233.39,237.43,43051.77,41958.76,47479.44,207.92,201.07,625.86,217.67,174.92,201.41,607.89,44163.32,72.65,1.83e-15,Y45G12B.3,WBGene00021564,Public name for WBGene00021564. History: N.A.
W04B5.3,W04B5.3,yes,353.01,46.54,48.23,10503.43,11342.53,10532.65,17.45,11.24,109.5,52.41,48.12,76.99,149.26,10792.87,72.31,0,W04B5.3,WBGene00021020,Public name for WBGene00021020. History: N.A.
F53B6.4,F53B6.4,yes,142.52,37.9,30.61,5016.58,5005.59,5181.68,21.81,12.49,53.68,115.75,99.63,101.74,70.34,5067.95,72.05,3.25e-22,F53B6.4,WBGene00009959,Public name for WBGene00009959. History: N.A.
F55G1.10,his-61,yes,212.69,45.21,53.79,7110.97,6851.79,8104.68,79.97,104.91,153.51,51.69,51.51,56.37,103.9,7355.81,70.8,7.650000000000001e-27,F55G1.10,WBGene00001935,Sequence name for WBGene00001935(his-61). History: N.A.
C56G7.3,C56G7.3,yes,259.83,47.87,41.73,7349.66,7840.31,8188.25,20.36,1.25,63.34,222.76,277.95,251.59,116.48,7792.74,66.9,3.09e-09,C56G7.3,WBGene00008348,Public name for WBGene00008348. History: N.A.
Y105E8A.11,Y105E8A.11,yes,76.74,19.28,14.84,2357.46,2564.58,2378.69,17.45,19.98,46.16,24.75,19.81,14.44,36.95,2433.57,65.85,1.31e-22,Y105E8A.11,WBGene00013671,Public name for WBGene00013671. History: N.A.
Y54F10AM.4,ceh-44,yes,1306.81,353.07,381.18,44158.89,43299.81,46084.37,495.81,589.48,885.66,416.41,379.29,358.83,680.35,44514.36,65.43,1e-31,Y54F10AM.4,WBGene00000464,"Sequence name for WBGene00000464(ceh-44). History: Split into Y54F10AM.16(WBGene00306126). History of WBGene00000464: Split into ""WBGene00306126"" on 2022-01-04"
C53D5.5,C53D5.5,yes,342.05,87.77,66.78,10146.92,10409.74,10431.93,5.82,2.5,86.96,81.53,85.48,103.11,165.53,10329.53,62.4,0,C53D5.5,WBGene00016906,Public name for WBGene00016906. History: N.A.
Y67D8A.3,dmd-9,yes,129.37,43.88,37.1,4397,4038.88,4658.8,1.45,1.25,32.21,56.05,37.93,50.18,70.12,4364.89,62.25,4.67e-10,Y67D8A.3,WBGene00022060,Sequence name for WBGene00022060(dmd-9). History: N.A.
ZK131.6,his-12,yes,119.5,41.89,38.95,3813.98,3786.9,4658.8,43.62,57.45,77.29,50.23,54.35,58.43,66.78,4086.56,61.19,9.43e-48,ZK131.6,WBGene00001886,Sequence name for WBGene00001886(his-12). History: N.A.
F08G2.2,his-43,yes,119.5,41.89,38.95,3813.98,3786.9,4658.8,43.62,57.45,77.29,50.23,54.35,58.43,66.78,4086.56,61.19,9.43e-48,F08G2.2,WBGene00001917,Sequence name for WBGene00001917(his-43). History: N.A.
ZK131.10,his-16,yes,119.5,41.89,38.95,3813.98,3785.69,4656.65,43.62,57.45,77.29,50.23,54.35,58.43,66.78,4085.44,61.18,9.439999999999999e-48,ZK131.10,WBGene00001890,Sequence name for WBGene00001890(his-16). History: N.A.
F35H10.1,his-30,yes,185.28,41.22,51.01,5572.17,5152.17,5906,45.07,48.71,93.4,44.41,48.12,52.93,92.5,5543.45,59.93,2.7e-27,F35H10.1,WBGene00001904,Sequence name for WBGene00001904(his-30). History: N.A.
F17E9.13,his-33,yes,185.28,41.22,51.01,5572.17,5152.17,5906,45.07,48.71,93.4,44.41,48.12,52.93,92.5,5543.45,59.93,2.7e-27,F17E9.13,WBGene00001907,Sequence name for WBGene00001907(his-33). History: N.A.
Y23H5A.2,Y23H5A.2,yes,1723.41,433.53,394.16,49511.67,49001.96,53441.16,273.35,274.76,734.29,489.2,440.99,458.5,850.37,50651.6,59.56,3.03e-19,Y23H5A.2,WBGene00021269,Public name for WBGene00021269. History: N.A.
Y57G11C.1130,Y57G11C.1130,yes,18.64,6.65,4.64,562.7,576.64,595.74,2.91,8.74,10.74,17.47,13.02,11.69,9.97,578.36,57.98,2.83e-88,Y57G11C.1130,WBGene00194649,Public name for WBGene00194649. History: N.A.
F33H2.3,F33H2.3,yes,402.35,143.62,131.7,11548.59,11983.37,14098.54,31.99,34.97,165.32,135.4,112.65,131.29,225.89,12543.5,55.53,3.02e-18,F33H2.3,WBGene00009367,Public name for WBGene00009367. History: N.A.
K06C4.11,his-19,yes,70.16,27.93,27.82,2243.7,2070.32,2592.98,10.18,16.24,30.06,24.75,27.17,30.93,41.97,2302.33,54.85,2.64e-47,K06C4.11,WBGene00001893,Sequence name for WBGene00001893(his-19). History: N.A.
K06C4.3,his-21,yes,70.16,27.93,27.82,2243.7,2070.32,2592.98,10.18,16.24,30.06,24.75,27.17,30.93,41.97,2302.33,54.85,2.64e-47,K06C4.3,WBGene00001895,Sequence name for WBGene00001895(his-21). History: N.A.
F07B7.10,his-51,yes,70.16,27.93,27.82,2243.7,2070.32,2592.98,10.18,16.24,30.06,24.75,27.17,30.93,41.97,2302.33,54.85,2.64e-47,F07B7.10,WBGene00001925,Sequence name for WBGene00001925(his-51). History: N.A.
F07B7.3,his-53,yes,70.16,27.93,27.82,2243.7,2070.32,2592.98,10.18,16.24,30.06,24.75,27.17,30.93,41.97,2302.33,54.85,2.64e-47,F07B7.3,WBGene00001927,Sequence name for WBGene00001927(his-53). History: N.A.
Y54E5A.8,Y54E5A.8,yes,177.6,57.85,55.65,5194.33,5180.03,5558.84,10.18,24.98,65.48,42.95,40.19,39.87,97.03,5311.07,54.73,1.31e-20,Y54E5A.8,WBGene00013203,Public name for WBGene00013203. History: N.A.
C04C3.5,dyf-3,yes,627.09,176.87,209.6,16625.1,16964.73,21847.49,17.45,51.2,156.73,1096.34,891.61,889.5,337.85,18479.11,54.7,1.27e-14,C04C3.5,WBGene00001119,"Sequence name for WBGene00001119(dyf-3). History: N.A.. Public name for Dead gene WBGene00015415. History of WBGene00015415: Merged into ""WBGene00001119"" on 2005-08-19"
F52C6.13,F52C6.13,yes,13.16,13.96,12.06,658.18,703.84,775.75,23.26,16.24,16.1,13.1,10.19,8.25,13.06,712.59,54.57,7.97e-118,F52C6.13,WBGene00018670,Public name for WBGene00018670. History: N.A.
K11D2.1,K11D2.1,yes,401.25,128.33,129.84,10419.13,10704.11,12122.73,21.81,23.73,118.09,143.41,142.66,138.86,219.81,11081.99,50.42,9.44e-17,K11D2.1,WBGene00010768,Public name for WBGene00010768. History: N.A.
K10G6.3,sea-2,yes,3080.65,1188.21,1032.24,83678.03,85740.72,94969.59,324.24,413.38,1178.73,751.28,682.72,719.71,1767.03,88129.45,49.87,1.78e-21,K10G6.3,WBGene00004751,Sequence name for WBGene00004751(sea-2). History: N.A.
T10C6.12,his-3,yes,84.42,37.9,38.95,2583.96,2342.89,2847.99,15.99,22.48,37.57,38.58,41.89,41.93,53.76,2591.61,48.21,4.830000000000002e-66,T10C6.12,WBGene00001877,Sequence name for WBGene00001877(his-3). History: N.A.
F31E3.2,F31E3.2,yes,19.73,3.32,5.56,470.27,495.47,379.3,2.91,1.25,2.15,8.01,13.59,9.62,9.54,448.35,46.99,1.79e-49,F31E3.2,WBGene00017950,Public name for WBGene00017950. History: N.A.
Y69A2AR.19,Y69A2AR.19,yes,20.83,20.61,12.06,671.38,808.02,1002.91,18.9,21.23,12.88,10.92,6.23,15.81,17.83,827.44,46.4,4.43e-91,Y69A2AR.19,WBGene00022090,Public name for WBGene00022090. History: N.A.
R03D7.2,R03D7.2,yes,1408.77,553.21,571.3,34734.14,37619.46,41804.88,1237.34,1471.19,1672.55,361.08,401.36,418.63,844.43,38052.83,45.06,5.16e-52,R03D7.2,WBGene00010989,Public name for WBGene00010989. History: N.A.
T23D8.6,his-68,yes,201.72,76.47,92.74,5213.63,5501.06,5938.14,97.42,114.9,157.81,79.35,74.73,79.05,123.64,5550.94,44.89,1.33e-55,T23D8.6,WBGene00001942,Sequence name for WBGene00001942(his-68). History: N.A.
C33C12.9,mtq-2,yes,66.88,29.92,37.1,1932.89,2049.72,1752.94,34.9,32.47,46.16,43.68,44.16,37.81,44.63,1911.85,42.84,2.7700000000000003e-177,C33C12.9,WBGene00016341,Sequence name for WBGene00016341(mtq-2). History: N.A.
C33C12.8,gba-2,yes,207.2,79.13,70.49,4780.93,5402.94,4885.95,1.45,1.25,34.35,64.79,68.5,58.43,118.94,5023.27,42.23,1.1e-08,C33C12.8,WBGene00016340,Sequence name for WBGene00016340(gba-2). History: N.A.
F08G2.4,F08G2.4,yes,50.43,19.28,27.82,1288.93,1473.09,1350.07,4.36,6.24,22.54,42.22,38.49,26.81,32.51,1370.7,42.16,1.5999999999999999e-31,F08G2.4,WBGene00008576,Public name for WBGene00008576. History: N.A.
Y34F4.5,Y34F4.5,yes,353.01,135.64,120.57,8103.31,8587.76,8453.98,4.36,7.49,66.56,111.38,130.77,139.54,203.07,8381.68,41.27,2.12e-10,Y34F4.5,WBGene00021340,Public name for WBGene00021340. History: N.A.
Y71F9AL.5,gst-43,yes,232.42,82.45,70.49,5314.18,5636.74,4817.38,8.72,7.49,48.31,132.49,197,156.04,128.45,5256.1,40.92,8.08e-15,Y71F9AL.5,WBGene00001791,Sequence name for WBGene00001791(gst-43). History: N.A.
F15A4.12,tag-280,yes,101.96,27.93,30.61,2072.04,1977.04,2277.97,55.25,42.46,77.29,37.86,42.46,42.62,53.5,2109.02,39.42,1.94e-30,F15A4.12,WBGene00044322,"Sequence name for WBGene00044322(tag-280). History: N.A.. Public name for Dead gene WBGene00008846. History of WBGene00008846: Merged into ""WBGene00044322"" on 2006-06-29"
Y57G11C.8,Y57G11C.8,yes,12.06,8.64,9.27,305.73,403.4,462.88,5.82,12.49,17.18,15.29,17.55,24.06,9.99,390.67,39.1,2.33e-58,Y57G11C.8,WBGene00013306,Public name for WBGene00013306. History: N.A.
F57A10.4,F57A10.4,yes,82.22,30.59,26.9,1605.83,1899.51,1950.09,7.27,14.99,23.62,22.57,30.57,19.93,46.57,1818.48,39.05,1.59e-30,F57A10.4,WBGene00010185,Public name for WBGene00010185. History: N.A.
F17E9.10,his-32,yes,67.97,29.26,38.03,1658.65,1603.92,1947.95,59.61,59.95,78.37,32.03,35.1,35.06,45.08,1736.84,38.52,1.3e-149,F17E9.10,WBGene00001906,Sequence name for WBGene00001906(his-32). History: N.A.
K09F6.5,K09F6.5,yes,54.82,14.63,10.2,944.61,1142.37,964.33,1.45,0,6.44,8.74,9.06,10.31,26.55,1017.1,38.31,5.16e-15,K09F6.5,WBGene00019588,Public name for WBGene00019588. History: N.A.
F28H1.1,F28H1.1,yes,18.64,5.98,3.71,313.85,426.42,317.16,0,1.25,4.29,5.1,1.7,5.5,9.44,352.48,37.32,2.1099999999999998e-38,F28H1.1,WBGene00017908,Public name for WBGene00017908. History: N.A.
C16A3.9,rps-13,yes,163.35,47.87,51.94,3226.9,3132.73,3413.74,79.97,79.93,129.9,72.07,79.25,61.18,87.72,3257.79,37.14,3.96e-31,C16A3.9,WBGene00004482,Sequence name for WBGene00004482(rps-13). History: N.A.
F54H12.2,F54H12.2,yes,25.22,9.31,6.49,439.8,559.68,507.88,0,1.25,2.15,3.64,4.53,2.75,13.67,502.45,36.75,6.19e-61,F54H12.2,WBGene00018842,Public name for WBGene00018842. History: N.A.
Y71H2AM.16,pho-9,yes,644.63,302.54,292.14,14726.74,15216.65,15092.87,7.27,13.74,133.12,264.26,314.75,272.9,413.11,15012.09,36.34,0,Y71H2AM.16,WBGene00022181,Sequence name for WBGene00022181(pho-9). History: N.A.
B0261.8,B0261.8,yes,397.96,226.07,177.14,9833.06,9892.46,9036.87,27.63,26.23,104.13,154.33,169.83,120.98,267.06,9587.46,35.9,1.19e-23,B0261.8,WBGene00015096,Public name for WBGene00015096. History: N.A.
F59A7.9,cysl-4,yes,123.88,46.54,57.5,2528.1,2444.65,3137.29,2.91,16.24,32.21,37.86,31.7,39.18,75.98,2703.35,35.58,1.22e-20,F59A7.9,WBGene00019096,Sequence name for WBGene00019096(cysl-4). History: N.A.
F32B5.8,cpz-1,yes,134.85,57.85,84.4,2949.61,3158.17,3692.32,37.8,29.97,61.19,61.15,55.48,54.99,92.36,3266.7,35.37,1.53e-59,F32B5.8,WBGene00000788,Sequence name for WBGene00000788(cpz-1). History: N.A.
Y17G9B.1,npp-26,yes,59.2,43.22,39.88,1571.3,1842.57,1587.93,14.54,19.98,11.81,243.87,209.46,222.03,47.43,1667.27,35.15,5.6e-242,Y17G9B.1,WBGene00021198,Sequence name for WBGene00021198(npp-26). History: N.A.
C04G2.8,spch-1,yes,6.58,23.94,6.49,196.03,304.07,795.04,292.25,261.02,90.18,26.21,10.76,83.86,12.34,431.71,35,6.05e-08,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
C39F7.5,C39F7.5,yes,533.91,224.74,196.62,10795.95,11378.87,11036.25,7.27,16.24,88.03,465.18,534.96,517.62,318.42,11070.36,34.77,1.16e-11,C39F7.5,WBGene00016540,Public name for WBGene00016540. History: N.A.
K10F12.4,gsto-3,yes,456.07,187.51,188.27,9406.47,10215.91,9062.58,7.27,7.49,88.03,78.62,73.03,59.8,277.28,9561.65,34.48,1.44e-08,K10F12.4,WBGene00019636,Sequence name for WBGene00019636(gsto-3). History: N.A.
ZK484.2,haf-9,yes,172.12,82.45,85.32,3646.39,3740.87,3778.04,46.53,17.48,51.53,180.54,185.11,172.54,113.3,3721.77,32.85,5.93e-47,ZK484.2,WBGene00001819,Sequence name for WBGene00001819(haf-9). History: N.A.
T16G12.3,T16G12.3,yes,922,417.57,433.12,17957.7,19148.93,20632.43,312.61,314.72,532.47,337.06,360.04,356.08,590.9,19246.35,32.57,5.71e-47,T16G12.3,WBGene00011804,Public name for WBGene00011804. History: N.A.
F56A4.12,F56A4.12,yes,46.05,22.61,15.77,810.53,923.1,940.76,14.54,8.74,23.62,38.58,36.8,33,28.14,891.47,31.68,2.02e-91,F56A4.12,WBGene00018920,Public name for WBGene00018920. History: N.A.
Y19D10A.11,Y19D10A.11,yes,46.05,22.61,15.77,810.53,923.1,940.76,14.54,8.74,23.62,38.58,36.8,33,28.14,891.47,31.68,2.02e-91,Y19D10A.11,WBGene00021226,Public name for WBGene00021226. History: N.A.
F36F12.8,ztf-28,yes,727.95,360.39,321.82,14249.36,14411.06,15840.77,282.07,378.41,428.34,284.64,313.05,333.39,470.05,14833.73,31.56,7.040000000000001e-58,F36F12.8,WBGene00018099,Sequence name for WBGene00018099(ztf-28). History: N.A.
F45F2.4,his-7,yes,49.33,27.26,26.9,1072.59,1078.16,1086.48,11.63,22.48,25.76,24.02,28.3,31.62,34.5,1079.08,31.28,7.57e-167,F45F2.4,WBGene00001881,Sequence name for WBGene00001881(his-7). History: N.A.
C14C11.1,C14C11.1,yes,124.98,67.82,69.56,2817.57,2610.61,2560.84,7.27,7.49,32.21,34.94,46.99,48.81,87.45,2663.01,30.45,1.7999999999999998e-30,C14C11.1,WBGene00015765,Public name for WBGene00015765. History: N.A.
C55C3.3,C55C3.3,yes,980.11,470.1,503.6,17303.59,19496.6,21547.47,15.99,13.74,188.94,409.85,398.53,398.7,651.27,19449.22,29.86,4.41e-08,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
C49A9.9,C49A9.9,yes,124.98,65.83,65.85,2385.9,2674.82,2597.27,20.36,19.98,38.65,102.65,97.37,109.3,85.55,2552.66,29.84,1.86e-143,C49A9.9,WBGene00016763,Public name for WBGene00016763. History: N.A.
R07B5.9,lsy-12,yes,1253.09,682.21,610.26,24730.44,25316.27,25766.96,625.21,567,809.44,562.73,597.23,600.11,848.52,25271.22,29.78,1.74e-73,R07B5.9,WBGene00045419,"Sequence name for WBGene00045419(lsy-12). History: Renamed on 2010-05-21. Public name for Dead gene WBGene00011086. History of WBGene00011086: Merged into ""WBGene00045419"" on 2008-04-09"
C18G1.9,C18G1.9,yes,27.41,17.95,14.84,601.3,554.83,576.46,1.45,3.75,7.51,8.74,10.76,9.62,20.07,577.53,28.78,8.78e-108,C18G1.9,WBGene00015987,Public name for WBGene00015987. History: N.A.
K11D2.2,asah-1,yes,312.45,148.94,134.48,5447.24,5770,5899.57,2.91,1.25,54.75,10.92,17.55,19.25,198.62,5705.6,28.73,1.25e-06,K11D2.2,WBGene00010769,Sequence name for WBGene00010769(asah-1). History: Renamed on 2004-08-25
F59A7.7,F59A7.7,yes,288.33,109.05,191.05,5317.23,5003.17,6203.87,1.45,2.5,63.34,71.34,70.2,75.61,196.14,5508.09,28.08,2.15e-06,F59A7.7,WBGene00019094,Public name for WBGene00019094. History: N.A.
Y52B11A.19,Y52B11A.19,yes,131.56,65.16,98.31,2376.76,2385.29,3165.15,1.45,2.5,27.91,35.67,36.8,36.43,98.34,2642.4,26.87,1.3e-11,Y52B11A.19,WBGene00206530,Public name for WBGene00206530. History: N.A.
Y55F3AM.11,Y55F3AM.11,yes,87.71,51.2,47.3,1470.74,1651.17,1875.09,1.45,9.99,15.03,88.81,67.37,63.24,62.07,1665.67,26.84,5.42e-113,Y55F3AM.11,WBGene00021928,Public name for WBGene00021928. History: N.A.
ZK355.2,ZK355.2,yes,326.7,142.29,91.82,4815.47,4873.55,4930.95,0,1.25,65.48,35.67,26.61,28.87,186.94,4873.32,26.07,0,ZK355.2,WBGene00022712,Public name for WBGene00022712. History: N.A.
ZK1320.11,ZK1320.11,yes,78.93,46.54,51.94,1473.79,1419.78,1686.51,0,3.75,9.66,20.38,15.85,18.56,59.14,1526.7,25.82,3.85e-161,ZK1320.11,WBGene00014259,Public name for WBGene00014259. History: N.A.
E02H9.3,E02H9.3,yes,471.42,273.95,274.52,8300.36,8760.99,8901.86,162.85,163.6,216.85,319.58,320.98,374.64,339.96,8654.4,25.46,5.88e-166,E02H9.3,WBGene00017101,Public name for WBGene00017101. History: N.A.
F35H10.11,his-29,yes,38.37,14.63,16.69,496.68,598.44,645.03,10.18,11.24,16.1,15.29,13.02,14.44,23.23,580.05,24.97,7.28e-68,F35H10.11,WBGene00001903,Sequence name for WBGene00001903(his-29). History: N.A.
F17E9.9,his-34,yes,38.37,14.63,16.69,496.68,598.44,645.03,10.18,11.24,16.1,15.29,13.02,14.44,23.23,580.05,24.97,7.28e-68,F17E9.9,WBGene00001908,Sequence name for WBGene00001908(his-34). History: N.A.
C27C7.1,C27C7.1,yes,1143.46,638.99,612.11,17645.88,18819.42,21721.05,437.65,504.55,641.97,425.87,490.24,534.11,798.19,19395.45,24.3,2.31e-67,C27C7.1,WBGene00007766,Public name for WBGene00007766. History: N.A.
ZK131.7,his-13,yes,77.84,50.53,49.15,1197.52,1251.4,1512.93,47.98,47.46,55.82,51.69,67.37,70.12,59.18,1320.62,22.32,3.45e-145,ZK131.7,WBGene00001887,Sequence name for WBGene00001887(his-13). History: N.A.
ZK131.2,his-25,yes,77.84,50.53,49.15,1197.52,1251.4,1512.93,47.98,47.46,55.82,51.69,67.37,70.12,59.18,1320.62,22.32,3.45e-145,ZK131.2,WBGene00001899,Sequence name for WBGene00001899(his-25). History: N.A.
ZK131.3,his-9,yes,77.84,50.53,49.15,1197.52,1251.4,1512.93,47.98,47.46,55.82,51.69,67.37,70.12,59.18,1320.62,22.32,3.45e-145,ZK131.3,WBGene00001883,Sequence name for WBGene00001883(his-9). History: N.A.
ZC317.6,ZC317.6,yes,155.68,98.41,100.16,2709.91,2559.73,2573.7,7.27,7.49,31.13,59.69,65.67,71.49,118.08,2614.44,22.14,5.01e-42,ZC317.6,WBGene00022589,Public name for WBGene00022589. History: N.A.
ZK131.5,his-11,yes,49.33,27.93,33.39,724.2,841.94,882.9,23.26,22.48,31.13,40.77,43.59,44.68,36.88,816.35,22.13,8.74e-126,ZK131.5,WBGene00001885,Sequence name for WBGene00001885(his-11). History: N.A.
ZK131.9,his-15,yes,49.33,27.93,33.39,724.2,841.94,882.9,23.26,22.48,31.13,40.77,43.59,44.68,36.88,816.35,22.13,8.74e-126,ZK131.9,WBGene00001889,Sequence name for WBGene00001889(his-15). History: N.A.
F08G2.1,his-44,yes,49.33,27.93,33.39,724.2,841.94,882.9,23.26,22.48,31.13,40.77,43.59,44.68,36.88,816.35,22.13,8.74e-126,F08G2.1,WBGene00001918,Sequence name for WBGene00001918(his-44). History: N.A.
T08B2.11,T08B2.11,yes,450.59,245.35,202.18,6516.78,6546.52,6426.74,42.17,47.46,64.41,139.77,154.54,149.85,299.37,6496.68,21.7,9.92e-59,T08B2.11,WBGene00020349,Public name for WBGene00020349. History: N.A.
B0035.10,his-45,yes,144.71,88.43,87.18,2211.19,2170.87,2483.69,165.75,171.1,183.57,80.08,105.29,102.42,106.78,2288.58,21.43,4.14e-178,B0035.10,WBGene00001919,Sequence name for WBGene00001919(his-45). History: N.A.
F54E12.1,his-55,yes,144.71,88.43,87.18,2211.19,2170.87,2483.69,165.75,171.1,183.57,80.08,105.29,102.42,106.78,2288.58,21.43,4.14e-178,F54E12.1,WBGene00001929,Sequence name for WBGene00001929(his-55). History: N.A.
H11L12.1,H11L12.1,yes,919.81,533.26,534.21,12859.87,13674.52,15461.46,241.36,253.52,395.06,404.76,431.93,413.82,662.43,13998.62,21.13,9.97e-62,H11L12.1,WBGene00019189,Public name for WBGene00019189. History: N.A.
C16C4.18,C16C4.18,yes,236.8,179.53,187.34,3758.12,3796.59,5173.11,23.26,16.24,47.24,71.34,57.18,89.36,201.23,4242.61,21.08,4.72e-51,C16C4.18,WBGene00194998,Public name for WBGene00194998. History: N.A.
R02F2.1,R02F2.1,yes,155.68,90.43,114.08,2474.26,2381.65,2434.4,223.91,214.81,223.29,136.86,122.28,129.23,120.06,2430.11,20.24,1.19e-248,R02F2.1,WBGene00019831,Public name for WBGene00019831. History: N.A.
C33B4.4,C33B4.4,yes,192.95,100.4,89.03,2408.24,2511.27,2817.99,7.27,1.25,27.91,43.68,56.61,54.31,127.46,2579.17,20.23,2.09e-12,C33B4.4,WBGene00007892,Public name for WBGene00007892. History: N.A.
F37C4.8,F37C4.8,yes,46.05,35.24,31.53,809.52,759.56,681.46,1.45,3.75,10.74,17.47,21.51,16.5,37.61,750.18,19.95,9.48e-123,F37C4.8,WBGene00018148,Public name for WBGene00018148. History: N.A.
F22B3.2,his-63,yes,144.71,83.78,74.2,1910.55,1938.27,2181.53,168.66,164.85,157.81,74.25,95.67,92.11,100.9,2010.12,19.92,1.61e-133,F22B3.2,WBGene00001937,Sequence name for WBGene00001937(his-63). History: N.A.
