Gene_Name,SX1316_1,SX1316_2,SX1316_3,SX3249_1,SX3249_2,SX3249_3,Input,Suggested Match,History
Y102A5C.4,0,-0.140571905,-0.142202816,-1.003902655,-0.973271676,-0.639992384,Y102A5C.4,WBGene00013613,Public name for WBGene00013613. History: N.A.
Y37H2A.4,0,0.12791931,0.113885729,0.283948063,0.257980289,0.495336604,Y37H2A.4,WBGene00012564,Sequence name for WBGene00012564(fbxa-107). History: N.A.
Y69H2.6,0,0.091773955,0.133929499,-0.911470803,-0.853035483,-0.72573953,Y69H2.6,WBGene00006714,Sequence name for WBGene00006714(ubc-19). History: N.A.
Y39B6A.37,0,0.132981919,0.12619666,1.260001124,1.293784213,1.179519108,Y39B6A.37,WBGene00012695,Public name for WBGene00012695. History: N.A.
M162.8,0,-0.117715973,-0.128355683,-0.066938549,0.004607882,-0.055039964,M162.8,WBGene00010934,Sequence name for WBGene00010934(fbxa-118). History: Split into fbxa-194(WBGene00044655). History of WBGene00010934: N.A.
F19B2.6,0,-0.171295685,-0.251132762,-1.257414228,-1.193841607,-1.247156881,F19B2.6,WBGene00008945,Public name for WBGene00008945. History: N.A.
ZC15.1,0,0.157594457,0.170210447,-0.285963064,-0.340807306,-0.16069412,ZC15.1,WBGene00013830,Public name for WBGene00013830. History: N.A.
ZC15.10,0,-0.040396675,0.003933827,0.319087568,0.331976338,0.137948799,ZC15.10,WBGene00045050,Public name for WBGene00045050. History: N.A.
B0250.8,0,-0.106552765,-0.081428509,-0.28852036,-0.279215389,-0.187526286,B0250.8,WBGene00007125,Public name for WBGene00007125. History: N.A.
Y73B3A.1,0,0.250434866,0.21788913,0.126314427,0.0371428,0.192353795,Y73B3A.1,WBGene00022203,Public name for WBGene00022203. History: N.A.
Y73B3A.13,0,0.086329918,0.08837033,0.182256322,0.173276089,0.152543875,Y73B3A.13,WBGene00022215,Public name for WBGene00022215. History: N.A.
Y73B3A.7,0,-0.04354392,-0.07914635,-1.808896119,-1.759972255,-1.522033375,Y73B3A.7,WBGene00022209,Public name for WBGene00022209. History: N.A.
AC8.3,0,-0.020642703,9.15e-06,-0.4813131,-0.539123924,-0.271344036,AC8.3,WBGene00007075,Public name for WBGene00007075. History: N.A.
AC8.7,0,-0.007823628,0.010146424,-1.320322626,-1.206607582,-1.22672256,AC8.7,WBGene00007079,Public name for WBGene00007079. History: N.A.
AC8.10,0,-0.020642703,9.15e-06,-0.4813131,-0.539123924,-0.271344036,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
AC8.12,0,-0.007823628,0.010146424,-1.320322626,-1.206607582,-1.22672256,AC8.12,WBGene00043990,Public name for WBGene00043990. History: N.A.
ZK402.5,0,0.116831758,0.132848103,0.028260021,0.072724183,0.141865037,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
F47G3.2,0,0.300791059,0.318688784,-0.763241799,-0.852086178,-0.557875331,F47G3.2,WBGene00018577,Sequence name for WBGene00018577(asna-2). History: N.A.
F55D10.3,0,0.170644308,0.181863032,-1.559323867,-1.589888642,-1.470828777,F55D10.3,WBGene00018878,Sequence name for WBGene00018878(glit-1). History: Renamed on 2019-05-20
C41A3.1,0,0.047424044,0.049457332,-0.886206866,-0.824159258,-1.069102986,C41A3.1,WBGene00016558,Sequence name for WBGene00016558(pks-1). History: N.A.
R04E5.9,0,0.033446996,0.047012617,-1.258950596,-1.30954773,-1.13345316,R04E5.9,WBGene00019872,Public name for WBGene00019872. History: N.A.
B0416.6,0,0.057059266,0.084625774,-1.327666769,-1.38602304,-1.074541664,B0416.6,WBGene00001638,Sequence name for WBGene00001638(gly-13). History: N.A.
C34F6.7,0,0.07578925,0.09366937,-0.534845645,-0.504848935,-0.512704046,C34F6.7,WBGene00007941,Public name for WBGene00007941. History: N.A.
F02C12.3,0,-0.079748398,-0.076478271,-0.300747218,-0.308458738,-0.289468833,F02C12.3,WBGene00008517,Public name for WBGene00008517. History: N.A.
M163.3,0,0.047435137,0.090221013,-0.264877896,-0.251470716,-0.139441721,M163.3,WBGene00001898,Sequence name for WBGene00001898(his-24). History: Renamed on 2010-11-12
H40L08.1,0,0.042125005,0.069576429,-0.34179092,-0.40928413,-0.21254279,H40L08.1,WBGene00010433,Public name for WBGene00010433. History: N.A.
F46F2.4,0,-0.144799922,-0.126347715,-0.335435534,-0.289200786,-0.325071517,F46F2.4,WBGene00009788,Public name for WBGene00009788. History: N.A.
F22H10.4,0,-0.209835444,-0.181665081,-0.427062226,-0.391048302,-0.382430734,F22H10.4,WBGene00017729,"Public name for Dead gene WBGene00017728. History of WBGene00017728: Merged into ""WBGene00017729"" on 2014-12-15"
F41G4.7,0,0.064286808,0.085570012,-0.820523274,-0.704625941,-0.731628193,F41G4.7,WBGene00018310,"Public name for WBGene00018310. History: Split into F41G4.13(WBGene00304806). History of WBGene00018310: Split into ""WBGene00304806"" on 2019-05-20"
Y13C8A.1,0,0.074324039,0.120130053,-0.569998386,-0.576159833,-0.328482655,Y13C8A.1,WBGene00021188,Public name for WBGene00021188. History: N.A.
F39F10.2,0,-0.05178044,-0.023194023,-1.086052695,-1.11104003,-0.963705936,F39F10.2,WBGene00018202,Public name for WBGene00018202. History: N.A.
C33E10.2,0,0.087327497,0.125197556,-1.06173796,-1.118945871,-0.699875118,C33E10.2,WBGene00016346,Sequence name for WBGene00016346(fbxa-120). History: N.A.
F29C4.5,0,-0.160187892,-0.184869286,-0.577946373,-0.58716011,-0.50425599,F29C4.5,WBGene00001111,Sequence name for WBGene00001111(duo-2). History: N.A.
W03G1.8,0,0.124966821,0.148115533,-0.269460591,-0.23389238,0.001795642,W03G1.8,WBGene00021013,Public name for WBGene00021013. History: N.A.
Y77E11A.10,0,-0.065477946,-0.071577581,-0.737559626,-0.622918806,-0.628673273,Y77E11A.10,WBGene00000546,"Sequence name for WBGene00000546(clp-6). History: Split into Y77E11A.23(WBGene00235267). History of WBGene00000546: Split into ""WBGene00235267"" on 2013-09-04"
Y77E11A.3,0,-0.076941181,-0.077073344,-0.331441961,-0.278288977,-0.053527696,Y77E11A.3,WBGene00022308,Public name for WBGene00022308. History: N.A.
Y41D4A.3,0,-0.114947187,-0.109322538,-0.879136394,-0.814192928,-0.84595207,Y41D4A.3,WBGene00021505,Public name for WBGene00021505. History: N.A.
Y76B12C.8,0,-0.168683077,-0.137793363,-0.897877982,-0.805795886,-0.910290151,Y76B12C.8,WBGene00022302,Public name for WBGene00022302. History: N.A.
Y38F2AL.1,0,-0.1885765,-0.175920166,-1.131490114,-1.088507586,-1.277184662,Y38F2AL.1,WBGene00021415,Sequence name for WBGene00021415(nsy-4). History: N.A.
Y94H6A.4,0,-0.063424955,-0.025395921,-0.775535223,-0.767872987,-0.776315856,Y94H6A.4,WBGene00022377,Sequence name for WBGene00022377(gpx-4). History: N.A.
Y54G2A.20,0,-0.024745358,0.00393376,-1.274160002,-1.285233773,-1.301257908,Y54G2A.20,WBGene00021885,Public name for WBGene00021885. History: N.A.
Y54G2A.21,0,-0.003663861,0.031244496,-0.039959471,0.007318867,-0.004469719,Y54G2A.21,WBGene00021886,Public name for WBGene00021886. History: N.A.
Y67D8C.6,0,-0.16470025,-0.131925151,-0.076960454,-0.084179039,-0.01118266,Y67D8C.6,WBGene00022070,Public name for WBGene00022070. History: N.A.
Y37E11AL.1,0,-0.016930666,0.020180345,-0.614239196,-0.667050286,-0.434493242,Y37E11AL.1,WBGene00021357,Public name for WBGene00021357. History: N.A.
F36A4.8,0,-0.288368899,-0.325141206,-0.914165698,-1.002124247,-0.805793636,F36A4.8,WBGene00018085,Sequence name for WBGene00018085(ttr-20). History: N.A.
C46C2.3,0,-0.034429528,-0.088047379,-0.201990486,-0.152087573,-0.010952068,C46C2.3,WBGene00008111,Public name for WBGene00008111. History: N.A.
W08D2.1,0,-0.091736236,-0.096325224,-1.518919971,-1.594538153,-1.390784315,W08D2.1,WBGene00001188,Sequence name for WBGene00001188(egl-20). History: N.A.
F32B6.9,0,-0.066848961,-0.087031011,-1.062297715,-1.033296842,-1.133294621,F32B6.9,WBGene00009323,Sequence name for WBGene00009323(best-13). History: N.A.
R11A8.1,0,-0.037286865,-0.021972798,0.418455879,0.457049558,0.388222765,R11A8.1,WBGene00011236,Public name for WBGene00011236. History: N.A.
F13H10.5,0,-0.275157873,-0.309218071,-1.203436306,-1.067339803,-1.31280786,F13H10.5,WBGene00008776,Public name for WBGene00008776. History: N.A.
Y57G11C.499,0,-0.105081681,-0.072084264,-0.114719257,-0.028313644,-0.008985218,Y57G11C.499,WBGene00077762,Public name for WBGene00077762. History: N.A.
Y73F8A.33,0,0.115327071,0.115336834,-0.620917401,-0.550404703,-0.530349302,Y73F8A.33,WBGene00013537,Public name for WBGene00013537. History: N.A.
Y43D4A.6,0,-0.160294007,-0.15235596,-0.311490641,-0.330464605,-0.25296702,Y43D4A.6,WBGene00012792,Public name for WBGene00012792. History: N.A.
C08E3.9,0,0.022002202,0.008428183,-1.116994574,-1.052708923,-1.125047434,C08E3.9,WBGene00015601,Sequence name for WBGene00015601(fbxa-166). History: N.A.
F45C12.8,0,0.051752693,0.064417402,-1.14462898,-0.984064587,-1.165904864,F45C12.8,WBGene00018439,Sequence name for WBGene00018439(fbxa-184). History: N.A.
F52C6.10,0,-0.096664357,-0.021792271,0.336824766,0.33814114,0.22020543,F52C6.10,WBGene00018667,Sequence name for WBGene00018667(bath-7). History: N.A.
F59H6.2,0,0.083068264,0.080133053,-1.659551466,-1.751179393,-1.291524237,F59H6.2,WBGene00019133,Public name for WBGene00019133. History: N.A.
F59H6.9,0,-0.003385548,0.001900169,-0.07424616,-0.071138196,-0.07773247,F59H6.9,WBGene00019139,Sequence name for WBGene00019139(bath-1). History: N.A.
C40A11.7,0,0.120748254,0.100706982,-0.131148822,-0.147430176,0.123866555,C40A11.7,WBGene00016550,Public name for WBGene00016550. History: N.A.
W10G11.19,0,-0.177628044,-0.132175853,-1.343033681,-1.262172727,-1.285900934,W10G11.19,WBGene00021148,Public name for WBGene00021148. History: N.A.
F54D10.3,0,-0.235582027,-0.277027356,-0.95412025,-0.830893603,-0.910439428,F54D10.3,WBGene00018804,Sequence name for WBGene00018804(lido-15). History: N.A.
W06A11.4,0,0.123881363,0.098927219,0.329202558,0.37138062,0.442761381,W06A11.4,WBGene00021055,Public name for WBGene00021055. History: N.A.
F41G3.12,0,-0.185252055,-0.153269303,-0.367127329,-0.420969654,-0.236054875,F41G3.12,WBGene00018304,Sequence name for WBGene00018304(agr-1). History: N.A.
C15F1.8,0,0.242520767,0.185563292,0.794970993,0.788035672,0.890461356,C15F1.8,WBGene00015797,Public name for WBGene00015797. History: N.A.
T02G5.4,0,-0.005364102,-0.009288535,0.437247683,0.471415475,0.454794417,T02G5.4,WBGene00020164,Public name for WBGene00020164. History: N.A.
F10E7.2,0,-0.249625168,-0.218355466,0.654387201,0.693285664,0.61808978,F10E7.2,WBGene00017344,Public name for WBGene00017344. History: N.A.
C30G12.1,0,-0.216248386,-0.20231094,-1.376700743,-1.220866655,-1.535815264,C30G12.1,WBGene00016273,Public name for WBGene00016273. History: N.A.
ZK892.6,0,-0.187094104,-0.176686601,-0.528665025,-0.454788777,-0.524637936,ZK892.6,WBGene00014130,Public name for WBGene00014130. History: N.A.
R166.3,0,0.058040059,0.065207497,0.228229765,0.213528973,0.165409609,R166.3,WBGene00011303,Public name for WBGene00011303. History: N.A.
F37H8.2,0,-0.162327549,-0.148183984,-0.043663139,0.029542826,-0.057846925,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
W02B12.1,0,-0.132974404,-0.184321455,-0.291070151,-0.320074417,-0.11203989,W02B12.1,WBGene00012201,Public name for WBGene00012201. History: N.A.
F43G6.4,0,-0.376269764,-0.377753611,-1.47872849,-1.442900961,-1.087900194,F43G6.4,WBGene00009657,Public name for WBGene00009657. History: N.A.
Y57A10A.1,0,0.128096831,0.133321955,0.061819302,-0.048831166,0.135982484,Y57A10A.1,WBGene00013246,Public name for WBGene00013246. History: N.A.
Y57A10A.4,0,-0.028966058,-0.018576351,0.291698385,0.347391427,0.218431361,Y57A10A.4,WBGene00013249,Public name for WBGene00013249. History: N.A.
F49C5.3,0,-0.174268976,-0.194581575,-1.196545261,-1.076929324,-1.068044747,F49C5.3,WBGene00009866,Public name for WBGene00009866. History: N.A.
F58G1.1,0,0.320957501,0.284664702,0.406464919,0.399758541,0.396369606,F58G1.1,WBGene00010263,Sequence name for WBGene00010263(wago-4). History: N.A.
F18A11.2,0,-0.229096871,-0.196872896,-1.034338572,-1.031481104,-0.988757339,F18A11.2,WBGene00008929,Public name for WBGene00008929. History: N.A.
F29C12.5,0,-0.121209433,-0.095808812,-0.005769571,0.029645119,0.125384224,F29C12.5,WBGene00009247,Sequence name for WBGene00009247(bath-45). History: N.A.
F15D4.8,0,-0.088597284,-0.061598322,-1.53788781,-1.545953674,-1.37446235,F15D4.8,WBGene00001459,Sequence name for WBGene00001459(flp-16). History: N.A.
E01G4.7,0,0.027520827,0.047882056,-0.543523971,-0.673856463,-0.226445383,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
W02B8.2,0,0.019736589,0.05901928,-0.41407494,-0.438703843,-0.411225874,W02B8.2,WBGene00012198,Public name for WBGene00012198. History: N.A.
F01D5.10,0,-0.012564128,-0.062886632,-0.697988511,-0.686093438,-0.402655249,F01D5.10,WBGene00008500,Public name for WBGene00008500. History: N.A.
C01G12.1,0,0.356914308,0.337431146,-0.926625182,-0.96364471,-0.78135576,C01G12.1,WBGene00007242,Sequence name for WBGene00007242(madf-5). History: N.A.
Y53F4B.5,0,-0.127464911,-0.134616334,0.212777532,0.271418371,0.352529563,Y53F4B.5,WBGene00013152,Public name for WBGene00013152. History: N.A.
Y53F4B.6,0,-0.078354494,-0.06764834,-0.272624564,-0.171391014,0.012964124,Y53F4B.6,WBGene00013153,Public name for WBGene00013153. History: N.A.
Y48G1BM.6,0,0.028219888,0.051911682,-0.277392415,-0.24157738,-0.31062597,Y48G1BM.6,WBGene00021671,"Public name for WBGene00021671. History: Split into Y48G1BM.10(WBGene00306121). History of WBGene00021671: Split into ""WBGene00306121"" on 2020-11-10"
Y71G12B.28,0,-0.207122802,-0.17269543,-0.268532827,-0.204680741,-0.246215636,Y71G12B.28,WBGene00022163,Public name for WBGene00022163. History: N.A.
Y39G10AR.6,0,-0.00187375,-0.00384174,-0.544148245,-0.600647245,-0.399582376,Y39G10AR.6,WBGene00021464,Sequence name for WBGene00021464(ugt-31). History: N.A.
Y71F9AL.18,0,0.122392158,0.117934853,0.103162188,0.023802542,0.092144684,Y71F9AL.18,WBGene00004049,Sequence name for WBGene00004049(parp-1). History: Renamed on 2014-11-18
W05F2.2,0,-0.045222768,-0.032410652,0.969525641,1.115288394,0.643079513,W05F2.2,WBGene00021034,Sequence name for WBGene00021034(enu-3.4). History: N.A.
K03E5.1,0,-0.197297235,-0.106180476,-1.467267532,-1.463451309,-1.353573008,K03E5.1,WBGene00019360,Sequence name for WBGene00019360(neto-1). History: N.A.
C41D11.8,0,0.219008873,0.217073044,0.502929834,0.437865546,0.67064516,C41D11.8,WBGene00000787,Sequence name for WBGene00000787(cps-6). History: N.A.
B0041.7,0,0.008803427,-0.018861984,-0.166544667,-0.272293843,-0.07205751,B0041.7,WBGene00006961,Sequence name for WBGene00006961(xnp-1). History: Renamed on 2004-09-10
T04D1.2,0,-0.119798794,-0.156354168,-1.773482264,-1.741855856,-1.780255239,T04D1.2,WBGene00020212,Public name for WBGene00020212. History: N.A.
W03G9.3,0,-0.096117907,-0.056938922,0.884490837,1.016245297,0.573820478,W03G9.3,WBGene00021015,Sequence name for WBGene00021015(enu-3.3). History: N.A.
Y110A7A.21,0,-0.153265344,-0.1188838,-1.626130458,-1.729877913,-1.263339626,Y110A7A.21,WBGene00045212,Public name for WBGene00045212. History: N.A.
F55A12.1,0,-0.087977089,-0.079639578,0.094594904,0.158527811,-0.185194641,F55A12.1,WBGene00018862,Sequence name for WBGene00018862(wago-2). History: N.A.
T05E8.2,0,-0.058317717,-0.053530828,-0.232799882,-0.170730269,-0.09969462,T05E8.2,WBGene00001859,Sequence name for WBGene00001859(hil-8). History: N.A.
C26C6.3,0,-0.137482398,-0.170879161,-0.838656379,-0.877431999,-0.722059995,C26C6.3,WBGene00003552,Sequence name for WBGene00003552(nas-36). History: N.A.
D2030.6,0,0.261620419,0.205578957,0.354230978,0.43412979,0.429567117,D2030.6,WBGene00004178,"Sequence name for WBGene00004178(prg-1). History: N.A.. Public name for Dead gene WBGene00008416. History of WBGene00008416: Merged into ""WBGene00004178"" on 2007-11-05"
T19A6.4,0,-0.181322314,-0.179035043,-1.223720455,-1.198209819,-1.056282023,T19A6.4,WBGene00011829,Public name for WBGene00011829. History: N.A.
W10D5.1,0,-0.126065617,-0.110634854,-1.314817076,-1.368175908,-1.499966181,W10D5.1,WBGene00003182,Sequence name for WBGene00003182(mef-2). History: N.A.
ZC247.1,0,-0.14933238,-0.142434348,-0.761102813,-0.695785177,-1.473351979,ZC247.1,WBGene00013859,Public name for WBGene00013859. History: N.A.
C43H8.2,0,-0.004372726,0.000362547,0.664719588,0.71323759,0.554060374,C43H8.2,WBGene00016622,Sequence name for WBGene00016622(mafr-1). History: N.A.
F55A3.5,0,-0.070667396,-0.050545127,0.096678669,0.200940661,0.139207524,F55A3.5,WBGene00018850,Sequence name for WBGene00018850(gpx-8). History: N.A.
F55A3.6,0,-0.114123332,-0.097278557,-0.023318505,0.016564404,0.149165999,F55A3.6,WBGene00018851,Public name for WBGene00018851. History: N.A.
Y47H9C.9,0,-0.046061579,-0.067524313,-0.630710341,-0.59330554,-0.477060985,Y47H9C.9,WBGene00012952,Public name for WBGene00012952. History: N.A.
M01G12.12,0,0.009633725,0.022429711,-0.799244347,-0.804187076,-0.757601403,M01G12.12,WBGene00004509,Sequence name for WBGene00004509(rrf-2). History: N.A.
T27F6.8,0,-0.286306219,-0.250607996,-0.483866294,-0.36804501,-0.684730071,T27F6.8,WBGene00012107,Public name for WBGene00012107. History: N.A.
H16D19.4,0,-0.068382199,-0.051545906,-0.286000289,-0.314543778,-0.15212578,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
Y18D10A.25,0,-0.136769808,-0.118668442,-0.089580199,-0.050592863,0.087226645,Y18D10A.25,WBGene00001433,Sequence name for WBGene00001433(fkb-8). History: N.A.
F44F1.7,0,-0.049592014,-0.045275623,-0.18701999,-0.231794329,-0.030482695,F44F1.7,WBGene00006902,"Sequence name for WBGene00006902(vet-6). History: N.A.. Public name for Dead gene WBGene00009699. History of WBGene00009699: Merged into ""WBGene00006902"" on 2004-07-16"
W05H12.2,0,-0.188303288,-0.174721726,-0.466722679,-0.307042544,-0.467443207,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
Y87G2A.17,0,-0.107633105,-0.07227239,-1.287258133,-1.232158753,-1.135476376,Y87G2A.17,WBGene00013603,Sequence name for WBGene00013603(soem-1). History: N.A.
Y87G2A.4,0,-0.144993461,-0.125126473,-1.426137443,-1.449628619,-1.386074681,Y87G2A.4,WBGene00000089,"Sequence name for WBGene00000089(aex-6). History: Renamed on 2006-08-30. Public name for Dead gene WBGene00004280. History of WBGene00004280: Merged into ""WBGene00000089"" on 2006-08-30"
Y37H9A.2,0,-0.211721115,-0.186929402,-0.474317687,-0.420577461,-0.522947927,Y37H9A.2,WBGene00012577,Public name for WBGene00012577. History: N.A.
K05C4.9,0,-0.051352085,-0.056473314,-0.551952467,-0.476037559,-0.604201955,K05C4.9,WBGene00010585,Public name for WBGene00010585. History: N.A.
F39B2.8,0,-0.270840384,-0.26005448,-2.057348331,-1.962450356,-2.169946769,F39B2.8,WBGene00009558,Public name for WBGene00009558. History: N.A.
Y55B1BR.3,0,-0.196706346,-0.20324448,-1.230008576,-1.19738021,-1.337061278,Y55B1BR.3,WBGene00021913,Sequence name for WBGene00021913(cec-8). History: N.A.
Y55B1BR.5,0,-0.116628045,-0.097246428,-1.507611117,-1.501189988,-1.150878545,Y55B1BR.5,WBGene00044401,"Public name for Dead gene WBGene00044400. History of WBGene00044400: Merged into ""WBGene00044401"" on 2014-10-09"
T12B5.3,0,-0.179126502,-0.171268722,-0.661369855,-0.765813264,-0.578723309,T12B5.3,WBGene00020450,Sequence name for WBGene00020450(fbxa-10). History: N.A.
Y82E9BR.1,0,-0.140463914,-0.153985053,-0.859444115,-0.855214081,-0.851525081,Y82E9BR.1,WBGene00022334,Public name for WBGene00022334. History: N.A.
Y54F10BM.9,0,0.017990872,0.027989588,-0.533610586,-0.490826203,-0.571144079,Y54F10BM.9,WBGene00021863,Public name for WBGene00021863. History: N.A.
Y71H2B.11,0,-0.090676365,-0.088863633,0.887979561,0.885040675,0.744406633,Y71H2B.11,WBGene00022198,Public name for WBGene00022198. History: N.A.
C34C12.1,0,-0.013513746,-0.049824817,-0.591574751,-0.598923879,-0.407655762,C34C12.1,WBGene00007920,Public name for WBGene00007920. History: N.A.
C36E8.3,0,0.01854701,0.019845497,-0.64850535,-0.695476132,-0.479520897,C36E8.3,WBGene00007982,Sequence name for WBGene00007982(pxd-1). History: N.A.
B0285.7,0,-0.065658298,-0.067498376,-1.620143502,-1.67620337,-1.445011283,B0285.7,WBGene00007139,Sequence name for WBGene00007139(mnp-1). History: N.A.
B0284.3,0,-0.102695235,-0.073974009,-0.376822058,-0.346294834,-0.25973168,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
T04A8.16,0,0.009154716,-0.011776483,0.486168743,0.471771927,0.548604703,T04A8.16,WBGene00000543,Sequence name for WBGene00000543(clp-2). History: N.A.
C27F2.1,0,-0.352433681,-0.284617651,-1.174011938,-1.094783559,-1.148777948,C27F2.1,WBGene00016165,Sequence name for WBGene00016165(wdr-60). History: N.A.
F54E7.7,0,-0.084555325,-0.105149486,-1.567835339,-1.601580063,-1.527263801,F54E7.7,WBGene00004321,Sequence name for WBGene00004321(rcan-1). History: Renamed on 2015-09-03
Y42G9A.1,0,-0.202304901,-0.222992413,-1.076627977,-1.005033669,-0.973685169,Y42G9A.1,WBGene00021531,Public name for WBGene00021531. History: N.A.
F31E3.1,0,0.109393938,0.101542091,-0.355091414,-0.428900397,-0.206905921,F31E3.1,WBGene00000443,Sequence name for WBGene00000443(ceh-20). History: N.A.
B0361.4,0,-0.334627591,-0.399816063,-0.675870432,-0.659529502,-0.758971004,B0361.4,WBGene00015158,Public name for WBGene00015158. History: N.A.
C18H2.2,0,0.040701485,0.03443156,0.736384914,0.791538224,0.576383474,C18H2.2,WBGene00015989,Public name for WBGene00015989. History: N.A.
R05D3.8,0,0.061382656,0.017356588,1.053383419,1.075334924,0.892586014,R05D3.8,WBGene00019881,Public name for WBGene00019881. History: N.A.
B0303.2,0,-0.322493036,-0.290126696,-1.198186064,-1.235929423,-1.158262243,B0303.2,WBGene00015124,Sequence name for WBGene00015124(anmt-1). History: N.A.
K02D10.2,0,0.073665776,0.074051836,-0.561044234,-0.732066017,-0.123554958,K02D10.2,WBGene00019302,Public name for WBGene00019302. History: N.A.
K01B6.1,0,0.093387218,0.118767656,-1.23394021,-1.304187272,-1.173107698,K01B6.1,WBGene00010453,Sequence name for WBGene00010453(fozi-1). History: N.A.
K11H3.3,0,-0.041822878,-0.039150765,0.834874338,0.891110392,0.813817133,K11H3.3,WBGene00010780,Public name for WBGene00010780. History: N.A.
T16G12.5,0,0.213374371,0.126463699,0.264138845,0.129086033,0.170535554,T16G12.5,WBGene00011806,"Sequence name for WBGene00011806(ekl-6). History: Split into T16G12.12(WBGene00269433). History of WBGene00011806: Split into ""WBGene00269433"" on 2016-04-19"
H04D03.1,0,-0.131113112,-0.092477759,0.698587584,0.793693653,0.351007321,H04D03.1,WBGene00010362,Sequence name for WBGene00010362(enu-3.1). History: Renamed on 2014-04-28
D2045.2,0,0.125925255,0.133076869,-0.057652699,-0.126211477,-0.02350839,D2045.2,WBGene00008422,Sequence name for WBGene00008422(ecps-1). History: N.A.
R17.1,0,0.004154468,0.016966212,-0.870960829,-0.859942674,-0.792149876,R17.1,WBGene00011267,Sequence name for WBGene00011267(fbxb-85). History: N.A.
