# EV1.1. Genes with significantly deregulated 26G-RNA mapped reads in the directly cloned libraries.,,,,,,,
Gene stable ID (Ensembl),Gene name (Ensembl),Gene type (Ensembl),Sequence Name (WormBase),logFC (mutant vs. wildype),logCPM,PValue,FDR,Input,Suggested Match,History
WBGene00007977,gska-3,protein_coding,C36B1.10,-8.443835311,3.903533873,1.14197e-24,4.1165e-23,WBGene00007977,WBGene00007977,History: Renamed on 2021-12-09
WBGene00003562,ncr-2,protein_coding,F09G8.4,-8.426762813,3.888184148,1.5425900000000001e-24,5.51716e-23,WBGene00003562,WBGene00003562,History: N.A.
WBGene00006038,ssp-9,protein_coding,E03H12.10,-8.405546313,3.861074775,2.83484e-24,9.98301e-23,WBGene00006038,WBGene00006038,History: N.A.
WBGene00007213,C01A2.1,protein_coding,C01A2.1,-8.403693288,3.868015635,2.8169300000000002e-24,9.98301e-23,WBGene00007213,WBGene00007213,History: N.A.
WBGene00009031,F21H7.5,protein_coding,F21H7.5,-8.376550999,3.840421395,5.23067e-24,1.80045e-22,WBGene00009031,WBGene00009031,History: N.A.
WBGene00015230,tag-344,protein_coding,B0511.4,-8.362664932,3.827938941,9.62873e-24,3.2712e-22,WBGene00015230,WBGene00015230,History: N.A.
WBGene00015929,C17H12.3,protein_coding,C17H12.3,-8.359456514,3.825912726,9.64638e-24,3.2712e-22,WBGene00015929,WBGene00015929,History: N.A.
WBGene00010920,M117.4,protein_coding,M117.4,-8.354223382,3.823028215,1.3074e-23,4.40095e-22,WBGene00010920,WBGene00010920,History: N.A.
WBGene00010679,K08F4.5,protein_coding,K08F4.5,-8.335902697,3.803104046,1.8017e-23,6.02058e-22,WBGene00010679,WBGene00010679,History: N.A.
WBGene00015094,B0261.6,protein_coding,B0261.6,-8.30866049,3.778824409,3.38727e-23,1.10764e-21,WBGene00015094,WBGene00015094,History: N.A.
WBGene00021486,lbp-9,protein_coding,Y40B10A.1,-8.308243716,3.780820836,3.38119e-23,1.10764e-21,WBGene00021486,WBGene00021486,History: N.A.
WBGene00016054,C24D10.2,protein_coding,C24D10.2,-8.299938369,3.768677959,4.6453500000000003e-23,1.49763e-21,WBGene00016054,WBGene00016054,History: N.A.
WBGene00020715,nspd-4,protein_coding,T23B7.1,-8.297795323,3.770190381,4.63904e-23,1.49763e-21,WBGene00020715,WBGene00020715,History: N.A.
WBGene00008724,F13A7.1,protein_coding,F13A7.1,-8.284610439,3.75905379,6.37631e-23,2.04131e-21,WBGene00008724,WBGene00008724,History: N.A.
WBGene00077519,T27C10.8,protein_coding,T27C10.8,-8.276437001,3.745740561,6.453230000000001e-23,2.05159e-21,WBGene00077519,WBGene00077519,History: N.A.
WBGene00045355,D1086.17,protein_coding,D1086.17,-8.270639997,3.74295128,8.81521e-23,2.7831699999999998e-21,WBGene00045355,WBGene00045355,History: N.A.
WBGene00000771,cpb-2,protein_coding,C30B5.3,-8.263381409,3.738709038,1.20748e-22,3.78618e-21,WBGene00000771,WBGene00000771,History: N.A.
WBGene00003467,msp-81,protein_coding,K07F5.1,-8.252153281,3.723812666,1.22371e-22,3.8109799999999995e-21,WBGene00003467,WBGene00003467,History: N.A.
WBGene00016461,C35E7.9,protein_coding,C35E7.9,-8.250154698,3.728079505,1.6657499999999999e-22,5.15258e-21,WBGene00016461,WBGene00016461,History: N.A.
WBGene00009605,F40G12.10,protein_coding,F40G12.10,-8.226263486,3.706208069,3.18519e-22,9.78644e-21,WBGene00009605,WBGene00009605,History: N.A.
WBGene00020289,T06C10.3,protein_coding,T06C10.3,-8.21503241,3.697371857,4.40573e-22,1.3371e-20,WBGene00020289,WBGene00020289,History: N.A.
WBGene00009459,F36A2.12,protein_coding,F36A2.12,-8.213108411,3.696199132,4.41028e-22,1.3371e-20,WBGene00009459,WBGene00009459,"History: Split into F36A2.14(WBGene00023490). History of WBGene00009459: Split into ""WBGene00023490"" on 2004-08-20"
WBGene00010474,K01D12.15,protein_coding,K01D12.15,-8.199427889,3.678949734,6.15454e-22,1.82665e-20,WBGene00010474,WBGene00010474,History: N.A.
WBGene00006039,ssp-10,protein_coding,K07F5.9,-8.198749128,3.680295994,6.14722e-22,1.82665e-20,WBGene00006039,WBGene00006039,History: N.A.
WBGene00016398,C34D4.2,protein_coding,C34D4.2,-8.196235021,3.673452869,6.18459e-22,1.82665e-20,WBGene00016398,WBGene00016398,History: N.A.
WBGene00007987,C36H8.1,protein_coding,C36H8.1,-8.177675282,3.657432538,8.63373e-22,2.5175299999999997e-20,WBGene00007987,WBGene00007987,History: N.A.
WBGene00012809,Y43F8A.2,protein_coding,Y43F8A.2,-8.174520196,3.657972129,8.62959e-22,2.5175299999999997e-20,WBGene00012809,WBGene00012809,History: N.A.
WBGene00009457,F36A2.10,protein_coding,F36A2.10,-8.168671769,3.656561793,1.1909599999999999e-21,3.41194e-20,WBGene00009457,WBGene00009457,History: N.A.
WBGene00006704,ubc-7,protein_coding,F58A4.10,-8.168285981,3.655128419,1.19246e-21,3.41194e-20,WBGene00006704,WBGene00006704,History: N.A.
WBGene00044298,T23B7.2,protein_coding,T23B7.2,-8.160232211,3.646991503,1.6580199999999998e-21,4.6566899999999995e-20,WBGene00044298,WBGene00044298,History: N.A.
WBGene00010633,nspd-2,protein_coding,K07F5.5,-8.15075798,3.641039882,2.30443e-21,6.432729999999999e-20,WBGene00010633,WBGene00010633,History: N.A.
WBGene00011968,T23G11.1,protein_coding,T23G11.1,-8.133827201,3.619767601,2.3478399999999997e-21,6.514179999999999e-20,WBGene00011968,WBGene00011968,History: N.A.
WBGene00017112,E03H12.5,protein_coding,E03H12.5,-8.128777764,3.619024521,3.2529299999999997e-21,8.958949999999999e-20,WBGene00017112,WBGene00017112,History: N.A.
WBGene00015944,C18A3.7,protein_coding,C18A3.7,-8.121972386,3.608914466,3.28195e-21,8.958949999999999e-20,WBGene00015944,WBGene00015944,History: N.A.
WBGene00022706,ZK354.3,protein_coding,ZK354.3,-8.119168737,3.606936583,3.28769e-21,8.958949999999999e-20,WBGene00022706,WBGene00022706,History: N.A.
WBGene00219755,linc-17,lincRNA,Y49F6A.9,-8.117025066,6.670663881,9.57184e-44,7.30331e-41,WBGene00219755,WBGene00219755,History: N.A.
WBGene00022753,ZK484.7,protein_coding,ZK484.7,-8.111087804,3.602210955,4.57799e-21,1.24012e-19,WBGene00022753,WBGene00022753,History: N.A.
WBGene00011918,T22C1.8,protein_coding,T22C1.8,-8.106147091,3.598659829,6.3784e-21,1.70762e-19,WBGene00011918,WBGene00011918,History: N.A.
WBGene00019024,F58A6.5,protein_coding,F58A6.5,-8.099752063,3.591664418,6.4173599999999995e-21,1.70806e-19,WBGene00019024,WBGene00019024,History: N.A.
WBGene00005012,F26F4.2,protein_coding,F26F4.2,-8.086411235,3.578536844,9.030000000000001e-21,2.38956e-19,WBGene00005012,WBGene00005012,History: N.A.
WBGene00008541,F07A5.2,protein_coding,F07A5.2,-8.076806112,3.574030764,1.2631399999999998e-20,3.32335e-19,WBGene00008541,WBGene00008541,History: N.A.
WBGene00019769,M04F3.3,protein_coding,M04F3.3,-8.060659458,3.554785247,1.2844799999999999e-20,3.3602000000000004e-19,WBGene00019769,WBGene00019769,History: N.A.
WBGene00003041,lin-61,protein_coding,R06C7.7,-8.059365549,3.554029758,1.79361e-20,4.65747e-19,WBGene00003041,WBGene00003041,History: N.A.
WBGene00045104,C04G2.12,pseudogene,C04G2.12,-8.053807438,3.549469812,1.8007299999999997e-20,4.65747e-19,WBGene00045104,WBGene00045104,History: N.A.
WBGene00006040,ssp-11,protein_coding,T28H11.6,-8.049441104,3.536850426,1.82072e-20,4.68273e-19,WBGene00006040,WBGene00006040,History: N.A.
WBGene00018199,F39E9.7,pseudogene,F39E9.7,-8.041490108,7.718989819,2.97883e-36,3.78808e-34,WBGene00018199,WBGene00018199,History: N.A.
WBGene00017279,F09C12.8,protein_coding,F09C12.8,-8.037768323,3.533557441,2.5519799999999997e-20,6.516730000000001e-19,WBGene00017279,WBGene00017279,History: N.A.
WBGene00012781,nspd-7,protein_coding,Y43C5A.1,-8.032128097,3.528940544,2.5622799999999998e-20,6.516730000000001e-19,WBGene00012781,WBGene00012781,History: N.A.
WBGene00044674,B0280.17,protein_coding,B0280.17,-8.02639506,3.524947698,3.59955e-20,9.08075e-19,WBGene00044674,WBGene00044674,History: N.A.
WBGene00001168,eef-1A.1,protein_coding,F31E3.5,-8.022315086,3.521575598,3.61008e-20,9.08075e-19,WBGene00001168,WBGene00001168,History: Renamed on 2005-09-08; Renamed on 2010-08-03
WBGene00012087,T27E7.1,protein_coding,T27E7.1,-8.014425963,3.511937352,3.6405399999999994e-20,9.10731e-19,WBGene00012087,WBGene00012087,History: N.A.
WBGene00015931,C17H12.5,protein_coding,C17H12.5,-8.006472715,3.509728925,5.1146000000000004e-20,1.2626e-18,WBGene00015931,WBGene00015931,History: N.A.
WBGene00021650,Y47G6A.26,protein_coding,Y47G6A.26,-8.006413301,3.506293196,5.1298399999999994e-20,1.2626e-18,WBGene00021650,WBGene00021650,History: N.A.
WBGene00015241,B0524.2,protein_coding,B0524.2,-7.998136662,3.499468178,7.248119999999999e-20,1.76499e-18,WBGene00015241,WBGene00015241,History: N.A.
WBGene00007763,C27B7.6,protein_coding,C27B7.6,-7.997415095,3.506182098,7.206469999999999e-20,1.7642400000000003e-18,WBGene00007763,WBGene00007763,History: N.A.
WBGene00194681,F40D4.16,ncRNA,F40D4.16,-7.987519424,3.49286967,1.02566e-19,2.48438e-18,WBGene00194681,WBGene00194681,History: N.A.
WBGene00013449,Y67A6A.1,protein_coding,Y67A6A.1,-7.9624712,3.468567597,1.47603e-19,3.4873700000000004e-18,WBGene00013449,WBGene00013449,History: N.A.
WBGene00012926,Y47D3A.13,protein_coding,Y47D3A.13,-7.961586851,3.471642445,1.47214e-19,3.4873700000000004e-18,WBGene00012926,WBGene00012926,History: N.A.
WBGene00011951,T23F6.3,protein_coding,T23F6.3,-7.957819414,3.461199905,1.4854400000000001e-19,3.4873700000000004e-18,WBGene00011951,WBGene00011951,History: N.A.
WBGene00020864,oac-50,protein_coding,T27E4.6,-7.956318101,3.464010147,1.48184e-19,3.4873700000000004e-18,WBGene00020864,WBGene00020864,History: N.A.
WBGene00020661,smz-2,protein_coding,T21G5.4,-7.945354068,3.445375604,2.12579e-19,4.9400400000000004e-18,WBGene00020661,WBGene00020661,History: N.A.
WBGene00017922,F29B9.7,protein_coding,F29B9.7,-7.934373605,3.441172822,3.0170300000000003e-19,6.940680000000001e-18,WBGene00017922,WBGene00017922,History: N.A.
WBGene00009412,F35E2.5,protein_coding,F35E2.5,-7.92517862,3.434536277,3.0342600000000003e-19,6.945420000000001e-18,WBGene00009412,WBGene00009412,History: N.A.
WBGene00014179,ZK1010.5,protein_coding,ZK1010.5,-7.921866103,3.431941649,4.30808e-19,9.788150000000001e-18,WBGene00014179,WBGene00014179,History: N.A.
WBGene00013987,ZK512.8,protein_coding,ZK512.8,-7.917909461,3.428986947,4.31893e-19,9.788150000000001e-18,WBGene00013987,WBGene00013987,History: N.A.
WBGene00019081,F59A3.8,protein_coding,F59A3.8,-7.911381329,3.422106622,4.34441e-19,9.7974e-18,WBGene00019081,WBGene00019081,History: N.A.
WBGene00018178,F38E1.3,protein_coding,F38E1.3,-7.907347669,3.423331772,6.15928e-19,1.38222e-17,WBGene00018178,WBGene00018178,History: N.A.
WBGene00009449,F35H8.4,protein_coding,F35H8.4,-7.889405523,3.405376057,8.89146e-19,1.93118e-17,WBGene00009449,WBGene00009449,History: N.A.
WBGene00013556,Y75B8A.23,protein_coding,Y75B8A.23,-7.889004399,3.404778462,8.89595e-19,1.93118e-17,WBGene00013556,WBGene00013556,History: N.A.
WBGene00022754,nspd-1,protein_coding,ZK484.8,-7.888948721,3.396671103,6.30115e-19,1.40715e-17,WBGene00022754,WBGene00022754,History: N.A.
WBGene00016416,C34F11.5,protein_coding,C34F11.5,-7.888533246,3.405264902,8.8923e-19,1.93118e-17,WBGene00016416,WBGene00016416,History: N.A.
WBGene00020660,T21G5.2,protein_coding,T21G5.2,-7.888388686,3.402638903,8.91207e-19,1.93118e-17,WBGene00020660,WBGene00020660,History: N.A.
WBGene00012831,Y43F8C.9,protein_coding,Y43F8C.9,-7.88567349,3.39855518,8.943e-19,1.93118e-17,WBGene00012831,WBGene00012831,History: N.A.
WBGene00016010,C23G10.1,protein_coding,C23G10.1,-7.885021259,3.40001373,8.93193e-19,1.93118e-17,WBGene00016010,WBGene00016010,History: N.A.
WBGene00018119,F36H12.3,protein_coding,F36H12.3,-7.877437541,3.396482736,1.27605e-18,2.7171e-17,WBGene00018119,WBGene00018119,History: N.A.
WBGene00008811,F14F7.4,protein_coding,F14F7.4,-7.874870611,3.39028181,9.00634e-19,1.93573e-17,WBGene00008811,WBGene00008811,History: N.A.
WBGene00012761,Y41C4A.18,protein_coding,Y41C4A.18,-7.870792954,3.385405317,1.28802e-18,2.72989e-17,WBGene00012761,WBGene00012761,History: N.A.
WBGene00012937,Y47D3A.31,protein_coding,Y47D3A.31,-7.85830681,3.377692053,1.29649e-18,2.73518e-17,WBGene00012937,WBGene00012937,History: N.A.
WBGene00003431,msp-33,protein_coding,R05F9.8,-7.852998418,3.374002437,1.8556800000000002e-18,3.89693e-17,WBGene00003431,WBGene00003431,History: N.A.
WBGene00004964,spe-10,protein_coding,AC3.10,-7.837468083,3.362396431,2.67887e-18,5.47652e-17,WBGene00004964,WBGene00004964,History: N.A.
WBGene00002059,ife-1,protein_coding,F53A2.6,-7.837285455,3.362681333,2.67823e-18,5.47652e-17,WBGene00002059,WBGene00002059,History: N.A.
WBGene00011795,T16A9.5,protein_coding,T16A9.5,-7.836647183,3.357739071,2.68937e-18,5.47652e-17,WBGene00011795,WBGene00011795,History: N.A.
WBGene00010046,F54D1.1,protein_coding,F54D1.1,-7.835953772,3.363062358,2.67737e-18,5.47652e-17,WBGene00010046,WBGene00010046,History: N.A.
WBGene00019086,F59A6.4,protein_coding,F59A6.4,-7.835559791,3.356751448,2.6916e-18,5.47652e-17,WBGene00019086,WBGene00019086,History: N.A.
WBGene00235383,ZK616.65,protein_coding,ZK616.65,-7.834485728,3.3580879,2.6885800000000002e-18,5.47652e-17,WBGene00235383,WBGene00235383,History: N.A.
WBGene00015907,C17F3.1,protein_coding,C17F3.1,-7.830809923,3.35102439,2.70465e-18,5.47872e-17,WBGene00015907,WBGene00015907,History: N.A.
WBGene00021288,clec-123,protein_coding,Y25C1A.1,-7.817130793,3.345102736,3.8928300000000006e-18,7.85083e-17,WBGene00021288,WBGene00021288,History: N.A.
WBGene00045306,ZC250.5,protein_coding,ZC250.5,-7.799335598,3.327149085,5.67046e-18,1.1336e-16,WBGene00045306,WBGene00045306,History: N.A.
WBGene00077548,F21C3.7,protein_coding,F21C3.7,-7.797393904,3.330459387,8.130460000000001e-18,1.60436e-16,WBGene00077548,WBGene00077548,History: N.A.
WBGene00012827,Y43F8C.5,protein_coding,Y43F8C.5,-7.792482933,3.315687963,5.72546e-18,1.13962e-16,WBGene00012827,WBGene00012827,History: N.A.
WBGene00009075,F23B2.7,protein_coding,F23B2.7,-7.789582628,3.31784468,8.215670000000001e-18,1.60732e-16,WBGene00009075,WBGene00009075,History: N.A.
WBGene00020537,fbxb-37,protein_coding,T16A1.8,-7.787979181,5.080481922,1.65832e-38,2.91992e-36,WBGene00020537,WBGene00020537,"History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
WBGene00018004,F33D11.7,protein_coding,F33D11.7,-7.784749949,3.309878161,8.27046e-18,1.60999e-16,WBGene00018004,WBGene00018004,History: N.A.
WBGene00007446,mboa-4,protein_coding,C08F8.4,-7.772699966,3.301348099,8.32997e-18,1.60999e-16,WBGene00007446,WBGene00007446,History: N.A.
WBGene00016512,C38C3.3,protein_coding,C38C3.3,-7.772185619,3.300657302,8.33483e-18,1.60999e-16,WBGene00016512,WBGene00016512,"History: Split into C38C3.10(WBGene00045390). History of WBGene00016512: Split into ""WBGene00045390"" on 2007-04-20"
WBGene00022162,Y71G12B.27,protein_coding,Y71G12B.27,-7.771908511,3.303020402,1.19809e-17,2.29175e-16,WBGene00022162,WBGene00022162,History: N.A.
WBGene00013590,Y81G3A.1,protein_coding,Y81G3A.1,-7.76885563,3.302641489,1.19847e-17,2.29175e-16,WBGene00013590,WBGene00013590,History: N.A.
WBGene00007512,C10C6.3,protein_coding,C10C6.3,-7.765195307,3.293121596,1.20801e-17,2.29175e-16,WBGene00007512,WBGene00007512,History: N.A.
WBGene00013138,Y53C10A.10,protein_coding,Y53C10A.10,-7.757930847,3.289715602,1.21146e-17,2.29175e-16,WBGene00013138,WBGene00013138,"History: Split into Y53C10A.24(WBGene00305049). History of WBGene00013138: Split into ""WBGene00305049"" on 2019-10-21"
WBGene00044243,F16C3.4,protein_coding,F16C3.4,-7.757830044,3.290079211,1.21109e-17,2.29175e-16,WBGene00044243,WBGene00044243,History: N.A.
WBGene00008950,wht-5,protein_coding,F19B6.4,-7.755340468,3.290456656,1.74725e-17,3.26487e-16,WBGene00008950,WBGene00008950,History: N.A.
WBGene00002227,klp-17,protein_coding,W02B12.7,-7.750846034,3.282113773,1.75935e-17,3.27106e-16,WBGene00002227,WBGene00002227,"History: Split into cisd-1(WBGene00044026). History of WBGene00002227: Split into ""WBGene00044026"" on 2004-12-14"
