...1,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
pde-4,34.1152431,-1.555655354,1.67e-07,8.3e-05,pde-4,WBGene00020114,Public name for WBGene00020114. History: N.A.
D2030.12,82.68903114,-1.423219637,2.44e-07,0.000117625,D2030.12,WBGene00008421,Public name for WBGene00008421. History: N.A.
C33D9.3,110.9682963,-1.339825874,4.49e-07,0.000210068,C33D9.3,WBGene00007898,Public name for WBGene00007898. History: N.A.
F19G12.2,21.81435453,1.402618078,9.56e-07,0.000433218,F19G12.2,WBGene00017610,Public name for WBGene00017610. History: N.A.
W05B2.2,59.84282896,-1.327245669,3.38e-06,0.001487504,W05B2.2,WBGene00012271,Public name for WBGene00012271. History: N.A.
tag-196,91.44133312,-1.262613867,4.83e-06,0.002062996,tag-196,WBGene00007055,Public name for WBGene00007055. History: N.A.
Y71F9B.13,242.1960828,-1.296086925,1.06e-05,0.004392291,Y71F9B.13,WBGene00022131,Public name for WBGene00022131. History: N.A.
fbxa-60,75.05438507,-1.227701039,1.1e-05,0.004448028,fbxa-60,WBGene00020456,Public name for WBGene00020456. History: N.A.
T05A8.8,45.20717439,-1.282583897,1.57e-05,0.006184553,T05A8.8,WBGene00044367,Public name for WBGene00044367. History: N.A.
prp-6,204.1365348,0.997960775,1.84e-05,0.007050349,prp-6,WBGene00013343,Public name for WBGene00013343. History: N.A.
F54D10.3,633.4785228,-0.82390308,4.29e-05,0.016053516,F54D10.3,WBGene00018804,Sequence name for WBGene00018804(lido-15). History: N.A.
C07G3.8,284.1403558,1.15156084,7.08e-05,0.025840555,C07G3.8,WBGene00015576,"Public name for WBGene00015576. History: Split into C07G3.15(WBGene00269378). History of WBGene00015576: Split into ""WBGene00269378"" on 2016-02-18"
