# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
WBGene00044272,,WBGene00044272,WBGene00044272,History: N.A.
WBGene00016180,,WBGene00016180,WBGene00016180,History: N.A.
WBGene00019090,,WBGene00019090,WBGene00019090,History: N.A.
WBGene00003767,,WBGene00003767,WBGene00003767,History: N.A.
WBGene00019021,,WBGene00019021,WBGene00019021,History: N.A.
WBGene00009637,,WBGene00009637,WBGene00009637,History: N.A.
WBGene00003765,,WBGene00003765,WBGene00003765,History: N.A.
WBGene00004118,,WBGene00004118,WBGene00004118,History: N.A.
WBGene00010196,,WBGene00010196,WBGene00010196,History: N.A.
WBGene00044644,,WBGene00044644,WBGene00044644,History: N.A.
WBGene00010491,,WBGene00010491,WBGene00010491,History: N.A.
WBGene00009640,,WBGene00009640,WBGene00009640,History: N.A.
WBGene00015623,,WBGene00015623,WBGene00015623,History: N.A.
WBGene00015457,,WBGene00015457,WBGene00015457,History: N.A.
WBGene00043147,,WBGene00043147,WBGene00043147,History: Killed on 2004-10-04; Resurrected on 2006-10-03
WBGene00044316,,WBGene00044316,WBGene00044316,History: N.A.
WBGene00016153,,WBGene00016153,WBGene00016153,History: N.A.
WBGene00008359,,WBGene00008359,WBGene00008359,History: N.A.
WBGene00015010,,WBGene00015010,WBGene00015010,History: N.A.
WBGene00016594,,WBGene00016594,WBGene00016594,History: N.A.
WBGene00006052,,WBGene00006052,WBGene00006052,History: N.A.
WBGene00044206,,WBGene00044206,WBGene00044206,History: N.A.
WBGene00020243,,WBGene00020243,WBGene00020243,History: N.A.
WBGene00010987,,WBGene00010987,WBGene00010987,History: N.A.
WBGene00003763,,WBGene00003763,WBGene00003763,History: N.A.
WBGene00016733,,WBGene00016733,WBGene00016733,History: N.A.
WBGene00007440,,WBGene00007440,WBGene00007440,History: N.A.
WBGene00009221,,WBGene00009221,WBGene00009221,History: N.A.
WBGene00001908,,WBGene00001908,WBGene00001908,History: N.A.
WBGene00017127,,WBGene00017127,WBGene00017127,History: N.A.
WBGene00003768,,WBGene00003768,WBGene00003768,History: N.A.
WBGene00015947,,WBGene00015947,WBGene00015947,History: N.A.
WBGene00018303,,WBGene00018303,WBGene00018303,History: N.A.
WBGene00000682,,WBGene00000682,WBGene00000682,History: N.A.
WBGene00007232,,WBGene00007232,WBGene00007232,"History: Split into C01G10.18(WBGene00077583). History of WBGene00007232: Split into ""WBGene00077583"" on 2008-02-06"
WBGene00008358,,WBGene00008358,WBGene00008358,History: N.A.
WBGene00164969,,WBGene00164969,WBGene00164969,History: N.A.
WBGene00019880,,WBGene00019880,WBGene00019880,History: N.A.
WBGene00007541,,WBGene00007541,WBGene00007541,History: N.A.
WBGene00003762,,WBGene00003762,WBGene00003762,History: N.A.
WBGene00002018,,WBGene00002018,WBGene00002018,History: N.A.
WBGene00001731,,WBGene00001731,WBGene00001731,History: N.A.
WBGene00194674,,WBGene00194674,WBGene00194674,History: N.A.
WBGene00013898,,WBGene00013898,WBGene00013898,History: N.A.
WBGene00044472,,WBGene00044472,WBGene00044472,History: N.A.
WBGene00044487,,WBGene00044487,WBGene00044487,History: N.A.
WBGene00016360,,WBGene00016360,WBGene00016360,History: N.A.
WBGene00009957,,WBGene00009957,WBGene00009957,History: N.A.
Log2 TE ≥ 3,Unnamed: 1,Input,Suggested Match,History
WBGene00013887,,WBGene00013887,WBGene00013887,History: N.A.
WBGene00003456,,WBGene00003456,WBGene00003456,History: N.A.
WBGene00022005,,WBGene00022005,WBGene00022005,History: N.A.
WBGene00022023,,WBGene00022023,WBGene00022023,History: N.A.
WBGene00018997,,WBGene00018997,WBGene00018997,History: Renamed on 2005-03-17
WBGene00009938,,WBGene00009938,WBGene00009938,History: N.A.
WBGene00000878,,WBGene00000878,WBGene00000878,History: N.A.
WBGene00011319,,WBGene00011319,WBGene00011319,History: N.A.
WBGene00019084,,WBGene00019084,WBGene00019084,History: N.A.
WBGene00022214,,WBGene00022214,WBGene00022214,History: N.A.
WBGene00022884,,WBGene00022884,WBGene00022884,History: N.A.
WBGene00022875,,WBGene00022875,WBGene00022875,History: N.A.
WBGene00020285,,WBGene00020285,WBGene00020285,History: N.A.
WBGene00000620,,WBGene00000620,WBGene00000620,History: N.A.
WBGene00015165,,WBGene00015165,WBGene00015165,History: N.A.
WBGene00000688,,WBGene00000688,WBGene00000688,History: N.A.
WBGene00050893,,WBGene00050893,WBGene00050893,History: N.A.
WBGene00012180,,WBGene00012180,WBGene00012180,History: N.A.
WBGene00044275,,WBGene00044275,WBGene00044275,History: N.A.
WBGene00003430,,WBGene00003430,WBGene00003430,History: N.A.
WBGene00017485,,WBGene00017485,WBGene00017485,History: N.A.
WBGene00045209,,WBGene00045209,WBGene00045209,History: N.A.
WBGene00016845,,WBGene00016845,WBGene00016845,History: N.A.
WBGene00011103,,WBGene00011103,WBGene00011103,History: N.A.
WBGene00043187,,WBGene00043187,WBGene00043187,History: Killed on 2004-10-04; Resurrected on 2005-04-01
WBGene00001905,,WBGene00001905,WBGene00001905,History: N.A.
WBGene00017488,,WBGene00017488,WBGene00017488,History: N.A.
WBGene00020599,,WBGene00020599,WBGene00020599,History: N.A.
WBGene00003462,,WBGene00003462,WBGene00003462,History: N.A.
WBGene00044274,,WBGene00044274,WBGene00044274,History: N.A.
WBGene00014042,,WBGene00014042,WBGene00014042,History: N.A.
WBGene00077764,,WBGene00077764,WBGene00077764,History: N.A.
WBGene00219383,,WBGene00219383,WBGene00219383,History: N.A.
WBGene00018669,,WBGene00018669,WBGene00018669,History: N.A.
WBGene00001912,,WBGene00001912,WBGene00001912,History: N.A.
WBGene00000621,,WBGene00000621,WBGene00000621,History: N.A.
WBGene00007544,,WBGene00007544,WBGene00007544,History: N.A.
WBGene00001943,,WBGene00001943,WBGene00001943,History: N.A.
WBGene00044175,,WBGene00044175,WBGene00044175,History: N.A.
WBGene00045208,,WBGene00045208,WBGene00045208,History: N.A.
WBGene00044271,,WBGene00044271,WBGene00044271,History: N.A.
WBGene00012591,,WBGene00012591,WBGene00012591,History: N.A.
WBGene00012840,,WBGene00012840,WBGene00012840,History: N.A.
WBGene00044273,,WBGene00044273,WBGene00044273,History: N.A.
WBGene00044340,,WBGene00044340,WBGene00044340,History: N.A.
WBGene00008967,,WBGene00008967,WBGene00008967,History: N.A.
WBGene00003766,,WBGene00003766,WBGene00003766,History: N.A.
WBGene00021086,,WBGene00021086,WBGene00021086,History: N.A.
WBGene00017305,,WBGene00017305,WBGene00017305,History: N.A.
WBGene00012604,,WBGene00012604,WBGene00012604,History: N.A.
WBGene00007543,,WBGene00007543,WBGene00007543,History: N.A.
WBGene00013647,,WBGene00013647,WBGene00013647,History: N.A.
WBGene00009398,,WBGene00009398,WBGene00009398,History: N.A.
WBGene00044338,,WBGene00044338,WBGene00044338,History: N.A.
WBGene00016403,,WBGene00016403,WBGene00016403,History: N.A.
WBGene00016058,,WBGene00016058,WBGene00016058,History: N.A.
WBGene00044235,,WBGene00044235,WBGene00044235,History: N.A.
WBGene00021786,,WBGene00021786,WBGene00021786,History: N.A.
WBGene00017388,,WBGene00017388,WBGene00017388,History: N.A.
WBGene00017209,,WBGene00017209,WBGene00017209,History: N.A.
WBGene00021085,,WBGene00021085,WBGene00021085,History: N.A.
WBGene00000744,,WBGene00000744,WBGene00000744,History: N.A.
WBGene00021083,,WBGene00021083,WBGene00021083,History: N.A.
WBGene00021084,,WBGene00021084,WBGene00021084,History: N.A.
WBGene00044337,,WBGene00044337,WBGene00044337,History: N.A.
WBGene00009251,,WBGene00009251,WBGene00009251,History: N.A.
WBGene00015458,,WBGene00015458,WBGene00015458,History: N.A.
WBGene00017303,,WBGene00017303,WBGene00017303,History: N.A.
WBGene00010041,,WBGene00010041,WBGene00010041,History: N.A.
WBGene00020237,,WBGene00020237,WBGene00020237,History: N.A.
WBGene00003771,,WBGene00003771,WBGene00003771,History: N.A.
WBGene00044339,,WBGene00044339,WBGene00044339,History: N.A.
WBGene00044357,,WBGene00044357,WBGene00044357,History: N.A.
WBGene00011313,,WBGene00011313,WBGene00011313,History: N.A.
WBGene00007537,,WBGene00007537,WBGene00007537,"History: Split into C12D8.21(WBGene00195157). History of WBGene00007537: Split into ""WBGene00195157"" on 2010-05-26"
WBGene00007356,,WBGene00007356,WBGene00007356,History: N.A.
WBGene00044174,,WBGene00044174,WBGene00044174,History: N.A.
WBGene00019870,,WBGene00019870,WBGene00019870,History: N.A.
WBGene00009090,,WBGene00009090,WBGene00009090,History: N.A.
WBGene00015392,,WBGene00015392,WBGene00015392,History: N.A.
WBGene00004173,,WBGene00004173,WBGene00004173,History: N.A.
WBGene00023477,,WBGene00023477,WBGene00023477,History: N.A.
WBGene00011266,,WBGene00011266,WBGene00011266,History: N.A.
WBGene00021904,,WBGene00021904,WBGene00021904,History: N.A.
WBGene00002259,,WBGene00002259,WBGene00002259,History: N.A.
WBGene00000758,,WBGene00000758,WBGene00000758,History: N.A.
WBGene00012799,,WBGene00012799,WBGene00012799,History: N.A.
WBGene00001756,,WBGene00001756,WBGene00001756,History: N.A.
WBGene00012382,,WBGene00012382,WBGene00012382,History: N.A.
WBGene00022156,,WBGene00022156,WBGene00022156,History: N.A.
WBGene00044272,,WBGene00044272,WBGene00044272,History: N.A.
WBGene00016180,,WBGene00016180,WBGene00016180,History: N.A.
WBGene00019090,,WBGene00019090,WBGene00019090,History: N.A.
WBGene00003767,,WBGene00003767,WBGene00003767,History: N.A.
WBGene00019021,,WBGene00019021,WBGene00019021,History: N.A.
WBGene00009637,,WBGene00009637,WBGene00009637,History: N.A.
WBGene00003765,,WBGene00003765,WBGene00003765,History: N.A.
WBGene00004118,,WBGene00004118,WBGene00004118,History: N.A.
WBGene00010196,,WBGene00010196,WBGene00010196,History: N.A.
WBGene00044644,,WBGene00044644,WBGene00044644,History: N.A.
WBGene00010491,,WBGene00010491,WBGene00010491,History: N.A.
WBGene00009640,,WBGene00009640,WBGene00009640,History: N.A.
WBGene00015623,,WBGene00015623,WBGene00015623,History: N.A.
WBGene00015457,,WBGene00015457,WBGene00015457,History: N.A.
WBGene00043147,,WBGene00043147,WBGene00043147,History: Killed on 2004-10-04; Resurrected on 2006-10-03
WBGene00044316,,WBGene00044316,WBGene00044316,History: N.A.
WBGene00016153,,WBGene00016153,WBGene00016153,History: N.A.
WBGene00008359,,WBGene00008359,WBGene00008359,History: N.A.
WBGene00015010,,WBGene00015010,WBGene00015010,History: N.A.
WBGene00016594,,WBGene00016594,WBGene00016594,History: N.A.
WBGene00006052,,WBGene00006052,WBGene00006052,History: N.A.
WBGene00044206,,WBGene00044206,WBGene00044206,History: N.A.
WBGene00020243,,WBGene00020243,WBGene00020243,History: N.A.
WBGene00010987,,WBGene00010987,WBGene00010987,History: N.A.
WBGene00003763,,WBGene00003763,WBGene00003763,History: N.A.
WBGene00016733,,WBGene00016733,WBGene00016733,History: N.A.
WBGene00007440,,WBGene00007440,WBGene00007440,History: N.A.
WBGene00009221,,WBGene00009221,WBGene00009221,History: N.A.
WBGene00001908,,WBGene00001908,WBGene00001908,History: N.A.
WBGene00017127,,WBGene00017127,WBGene00017127,History: N.A.
WBGene00003768,,WBGene00003768,WBGene00003768,History: N.A.
WBGene00015947,,WBGene00015947,WBGene00015947,History: N.A.
WBGene00018303,,WBGene00018303,WBGene00018303,History: N.A.
WBGene00000682,,WBGene00000682,WBGene00000682,History: N.A.
WBGene00007232,,WBGene00007232,WBGene00007232,"History: Split into C01G10.18(WBGene00077583). History of WBGene00007232: Split into ""WBGene00077583"" on 2008-02-06"
WBGene00008358,,WBGene00008358,WBGene00008358,History: N.A.
WBGene00164969,,WBGene00164969,WBGene00164969,History: N.A.
WBGene00019880,,WBGene00019880,WBGene00019880,History: N.A.
WBGene00007541,,WBGene00007541,WBGene00007541,History: N.A.
WBGene00003762,,WBGene00003762,WBGene00003762,History: N.A.
WBGene00002018,,WBGene00002018,WBGene00002018,History: N.A.
WBGene00001731,,WBGene00001731,WBGene00001731,History: N.A.
WBGene00194674,,WBGene00194674,WBGene00194674,History: N.A.
WBGene00013898,,WBGene00013898,WBGene00013898,History: N.A.
WBGene00044472,,WBGene00044472,WBGene00044472,History: N.A.
WBGene00044487,,WBGene00044487,WBGene00044487,History: N.A.
WBGene00016360,,WBGene00016360,WBGene00016360,History: N.A.
WBGene00009957,,WBGene00009957,WBGene00009957,History: N.A.
