# Note: The workbook which this sheet was a part of contained links which did not update.
gene,OP50_N2_1,OP50_N2_1(rpm),OP50_N2_2,OP50_N2_2(rpm),OP50_hj41_1,OP50_hj41_1(rpm),OP50_hj41_2,OP50_hj41_2(rpm),average of OP50_N2,average of OP50_hj41,average rpm of OP50_N2,average rpm of OP50_hj41,Input,Suggested Match,History
F53B6.7,1206,43.59257154,1282,46.05000679,1641,48.38436183,1444,55.36452536,1244.0,1542.5,44.82128916,51.8744436,F53B6.7,WBGene00009962,Public name for WBGene00009962. History: N.A.
C47E8.5,1146,41.42378688,1329,47.73826757,1669,49.20993291,1359,52.10553322,1237.5,1514.0,44.58102722,50.65773306,C47E8.5,WBGene00000915,Sequence name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
T22D1.4,1220,44.09862129,1314,47.19946093,1635,48.20745375,1381,52.94903707,1267.0,1508.0,45.64904111,50.57824541,T22D1.4,WBGene00020683,Sequence name for WBGene00020683(ribo-1). History: N.A.
C28C12.1,949,34.30294394,914,32.83128409,1684,49.65220312,1292,49.53668059,931.5,1488.0,33.56711401,49.59444186,C28C12.1,WBGene00016177,Public name for WBGene00016177. History: N.A.
T02G5.12,1287,46.52043082,1447,51.97687974,1502,44.28599115,1355,51.95216888,1367.0,1428.5,49.24865528,48.11908002,T02G5.12,WBGene00020168,Sequence name for WBGene00020168(mct-5). History: N.A.
F26D10.3,1027,37.12236399,1149,41.27258799,1651,48.67920864,1239,47.50460313,1088.0,1445.0,39.19747599,48.09190589,F26D10.3,WBGene00002005,Sequence name for WBGene00002005(hsp-1). History: N.A.
F10E9.2,889,32.13415928,873,31.35854596,1508,44.46289923,1143,43.82385907,881.0,1325.5,31.74635262,44.14337915,F10E9.2,WBGene00017354,Public name for WBGene00017354. History: N.A.
C38C10.3,1433,51.79780681,1414,50.79150515,1198,35.32264807,1277,48.96156433,1423.5,1237.5,51.29465598,42.1421062,C38C10.3,WBGene00008001,Public name for WBGene00008001. History: N.A.
C36E8.5,833,30.10996027,1055,37.89606643,1402,41.33752303,1062,40.71823126,944.0,1232.0,34.00301335,41.02787714,C36E8.5,WBGene00006537,Sequence name for WBGene00006537(tbb-2). History: N.A.
Y41E3.10,811,29.31473923,902,32.40023878,1360,40.09916642,1066,40.87159559,856.5,1213.0,30.85748901,40.48538101,Y41E3.10,WBGene00012768,Sequence name for WBGene00012768(eef-1B.2). History: N.A.
F53G12.1,937,33.86918701,1087,39.04552058,1267,37.35709107,1114,42.71196763,1012.0,1190.5,36.45735379,40.03452935,F53G12.1,WBGene00004274,Sequence name for WBGene00004274(rab-11.1). History: N.A.
Y18D10A.19,858,31.01362055,982,35.27387415,1260,37.1506983,1031,39.52965765,920.0,1145.5,33.14374735,38.34017798,Y18D10A.19,WBGene00001427,Sequence name for WBGene00001427(fkb-2). History: N.A.
Y43F8C.9,1112,40.19480891,1131,40.62602003,1230,36.26615786,1007,38.60947164,1121.5,1118.5,40.41041447,37.43781475,Y43F8C.9,WBGene00012831,Public name for WBGene00012831. History: N.A.
C56G2.1,960,34.70055446,1064,38.21935041,1191,35.1162553,991,37.99601429,1012.0,1091.0,36.45995243,36.55613479,C56G2.1,WBGene00016977,Sequence name for WBGene00016977(akap-1). History: N.A.
F17C11.9,686,24.79643787,776,27.87426308,1219,35.94182637,954,36.57739418,731.0,1086.5,26.33535048,36.25961028,F17C11.9,WBGene00008920,Sequence name for WBGene00008920(eef-1G). History: N.A.
T04C12.5,978,35.35118985,1124,40.37457693,1154,34.02532209,988,37.88099104,1051.0,1071.0,37.86288339,35.95315657,T04C12.5,WBGene00000064,Sequence name for WBGene00000064(act-2). History: N.A.
R09B3.3,989,35.74880037,1037,37.24949847,1171,34.52656167,939,36.00227792,1013.0,1055.0,36.49914942,35.2644198,R09B3.3,WBGene00011156,Sequence name for WBGene00011156(rbm-3.2). History: N.A.
Y25C1A.13,653,23.60360631,602,21.62410615,1110,32.72799612,967,37.07582827,627.5,1038.5,22.61385623,34.9019122,Y25C1A.13,WBGene00021296,Public name for WBGene00021296. History: N.A.
ZK507.3,914,33.03781956,992,35.63307857,1012,29.83849736,1025,39.29961115,953.0,1018.5,34.33544907,34.56905426,ZK507.3,WBGene00013979,Public name for WBGene00013979. History: N.A.
VW02B12L.3,770,27.83273639,917,32.93904542,1126,33.19975102,929,35.61886708,843.5,1027.5,30.3858909,34.40930905,VW02B12L.3,WBGene00012156,Sequence name for WBGene00012156(ebp-2). History: N.A.
C25G4.8,1137,41.09846919,1119,40.19497472,1095,32.2857259,942,36.11730117,1128.0,1018.5,40.64672195,34.20151354,C25G4.8,WBGene00007735,Public name for WBGene00007735. History: N.A.
Y57G11C.15,696,25.15790198,760,27.299536,1055,31.10633866,969,37.15251044,728.0,1012.0,26.22871899,34.12942455,Y57G11C.15,WBGene00013311,Sequence name for WBGene00013311(sec-61.A). History: Renamed on 2019-05-20
E04D5.1,894,32.31489134,988,35.48939681,1094,32.25624122,909,34.8520454,941.0,1001.5,33.90214407,33.55414331,E04D5.1,WBGene00008480,Sequence name for WBGene00008480(eif-2A). History: N.A.
Y43F8C.5,1049,37.91758503,992,35.63307857,1010,29.779528,944,36.19398334,1020.5,977.0,36.7753318,32.98675567,Y43F8C.5,WBGene00012827,Public name for WBGene00012827. History: N.A.
C30G7.3,931,33.65230854,887,31.86143215,1019,30.04489013,926,35.50384383,909.0,972.5,32.75687035,32.77436698,C30G7.3,WBGene00044177,Public name for WBGene00044177. History: N.A.
C29E4.8,801,28.95327513,899,32.29247746,1071,31.57809355,851,32.62826252,850.0,961.0,30.62287629,32.10317804,C29E4.8,WBGene00002879,"Sequence name for WBGene00002879(let-754). History: N.A.. Public name for Dead gene WBGene00016205. History of WBGene00016205: Merged into ""WBGene00002879"" on 2008-01-30"
T05G5.10,792,28.62795743,848,30.46053491,1025,30.22179822,877,33.62513071,820.0,951.0,29.54424617,31.92346446,T05G5.10,WBGene00002064,Sequence name for WBGene00002064(iff-1). History: N.A.
F32E10.4,653,23.60360631,793,28.48491059,1022,30.13334418,863,33.08835553,723.0,942.5,26.04425845,31.61084985,F32E10.4,WBGene00002074,Sequence name for WBGene00002074(ima-3). History: N.A.
F37C12.7,776,28.04961485,907,32.579841,1014,29.89746673,831,31.86144084,841.5,922.5,30.31472792,30.87945378,F37C12.7,WBGene00018152,Sequence name for WBGene00018152(acs-4). History: N.A.
Y66D12A.3,697,25.19404839,774,27.80242219,986,29.07189565,809,31.01793699,735.5,897.5,26.49823529,30.04491632,Y66D12A.3,WBGene00013429,Public name for WBGene00013429. History: N.A.
T27A3.3,898,32.45947698,872,31.32262552,840,24.7671322,811,31.09461916,885.0,825.5,31.89105125,27.93087568,T27A3.3,WBGene00006044,Sequence name for WBGene00006044(ssp-16). History: N.A.
T12A2.2,566,20.45886857,712,25.57535478,850,25.06197901,767,29.40761146,639.0,808.5,23.01711167,27.23479524,T12A2.2,WBGene00020437,Sequence name for WBGene00020437(stt-3). History: N.A.
K08E4.7,748,27.03751535,690,24.78510506,905,26.68363648,721,27.6439216,719.0,813.0,25.9113102,27.16377904,K08E4.7,WBGene00045036,Public name for WBGene00045036. History: N.A.
C25G4.6,773,27.94117562,744,26.72480893,817,24.08898453,777,29.7910223,758.5,797.0,27.33299228,26.94000342,C25G4.6,WBGene00007733,Sequence name for WBGene00007733(smz-1). History: N.A.
T05C3.5,614,22.19389629,699,25.10838904,897,26.44775903,701,26.87709992,656.5,799.0,23.65114266,26.66242947,T05C3.5,WBGene00001037,Sequence name for WBGene00001037(dnj-19). History: Renamed on 2005-12-16
F54C8.7,648,23.42287426,701,25.18022992,883,26.03497349,701,26.87709992,674.5,792.0,24.30155209,26.4560367,F54C8.7,WBGene00010040,Public name for WBGene00010040. History: N.A.
C04G2.8,793,28.66410384,832,29.88580784,820,24.17743858,736,28.21903786,812.5,778.0,29.27495584,26.19823822,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
D2062.7,644,23.27828861,652,23.42012826,799,23.55826027,726,27.83562702,648.0,762.5,23.34920844,25.69694364,D2062.7,WBGene00017059,Sequence name for WBGene00017059(msrp-5). History: N.A.
F07A5.2,696,25.15790198,724,26.00640009,728,21.46484791,778,29.82936339,710.0,753.0,25.58215104,25.64710565,F07A5.2,WBGene00008541,Public name for WBGene00008541. History: N.A.
Y111B2A.18,468,16.9165203,574,20.61833377,847,24.97352497,673,25.80354956,521.0,760.0,18.76742703,25.38853727,Y111B2A.18,WBGene00004700,Sequence name for WBGene00004700(rsp-3). History: N.A.
C06C3.10,717,25.91697661,662,23.77933268,797,23.49929091,682,26.14861932,689.5,739.5,24.84815464,24.82395511,C06C3.10,WBGene00044169,Public name for WBGene00044169. History: N.A.
H06O01.1,511,18.47081597,622,22.34251499,796,23.46980623,678,25.99525498,566.5,737.0,20.40666548,24.73253061,H06O01.1,WBGene00003964,Sequence name for WBGene00003964(pdi-3). History: N.A.
Y46H3D.1,624,22.5553604,563,20.22320891,832,24.53125475,638,24.46161162,593.5,735.0,21.38928465,24.49643319,Y46H3D.1,WBGene00021608,Public name for WBGene00021608. History: N.A.
T27A3.4,649,23.45902067,651,23.38420781,674,19.87267512,748,28.67913087,650.0,711.0,23.42161424,24.27590299,T27A3.4,WBGene00020840,Sequence name for WBGene00020840(spch-3). History: N.A.
F56C9.11,636,22.98911733,693,24.89286638,769,22.67371983,665,25.49682089,664.5,717.0,23.94099186,24.08527036,F56C9.11,WBGene00018954,Sequence name for WBGene00018954(lab-2). History: N.A.
F54H12.1,599,21.65170012,638,22.91724207,753,22.20196494,652,24.9983868,618.5,702.5,22.2844711,23.60017587,F54H12.1,WBGene00000041,Sequence name for WBGene00000041(aco-2). History: N.A.
C38C3.5,594,21.47096807,697,25.03654815,741,21.84814876,645,24.72999921,645.5,693.0,23.25375811,23.28907399,C38C3.5,WBGene00006794,"Sequence name for WBGene00006794(unc-60). History: Split into F53E2.2(WBGene00302980). History of WBGene00006794: Split into ""WBGene00302980"" on 2018-03-06"
F59B2.5,607,21.94087141,603,21.66002659,755,22.2609343,625,23.96317753,605.0,690.0,21.800449,23.11205591,F59B2.5,WBGene00010309,"Sequence name for WBGene00010309(rpn-6.2). History: Split into F59B2.15(WBGene00185006). History of WBGene00010309: Split into ""WBGene00185006"" on 2009-02-27"
F11G11.14,625,22.59150681,627,22.5221172,712,20.99309301,630,24.15488295,626.0,671.0,22.55681201,22.57398798,F11G11.14,WBGene00044384,Public name for WBGene00044384. History: N.A.
ZC404.3,584,21.10950396,669,24.03077577,699,20.60979215,633,24.2699062,626.5,666.0,22.57013987,22.43984918,ZC404.3,WBGene00004975,Sequence name for WBGene00004975(spe-39). History: N.A.
F56D12.5,456,16.48276337,582,20.90569731,713,21.02257769,603,23.11967368,519.0,658.0,18.69423034,22.07112568,F56D12.5,WBGene00006924,Sequence name for WBGene00006924(vig-1). History: N.A.
C33H5.12,468,16.9165203,521,18.71455034,781,23.02753601,549,21.04925514,494.5,665.0,17.81553532,22.03839558,C33H5.12,WBGene00004703,Sequence name for WBGene00004703(rsp-6). History: N.A.
F02E9.9,519,18.75998725,606,21.76778792,686,20.2264913,572,21.93110008,562.5,629.0,20.26388759,21.07879569,F02E9.9,WBGene00008532,Sequence name for WBGene00008532(dpt-1). History: N.A.
K07F5.3,512,18.50696238,562,20.18728847,688,20.28546066,551,21.12593731,537.0,619.5,19.34712542,20.70569898,K07F5.3,WBGene00003449,Sequence name for WBGene00003449(msp-56). History: N.A.
Y18D10A.21,673,24.32653453,656,23.56381003,690,20.34443002,548,21.01091406,664.5,619.0,23.94517228,20.67767204,Y18D10A.21,WBGene00012486,Public name for WBGene00012486. History: N.A.
C06E7.3,465,16.80808107,571,20.51057245,691,20.3739147,539,20.6658443,518.0,615.0,18.65932676,20.5198795,C06E7.3,WBGene00015540,Sequence name for WBGene00015540(sams-4). History: N.A.
F11A10.6,510,18.43466956,526,18.89415255,658,19.40092022,560,21.47100707,518.0,609.0,18.66441105,20.43596364,F11A10.6,WBGene00008687,Public name for WBGene00008687. History: N.A.
K01D12.15,605,21.86857859,633,22.73763986,622,18.3394717,581,22.27616983,619.0,601.5,22.30310922,20.30782077,K01D12.15,WBGene00010474,Public name for WBGene00010474. History: N.A.
F31E3.5,482,17.42257005,526,18.89415255,664,19.57782831,543,20.81920864,504.0,603.5,18.1583613,20.19851847,F31E3.5,WBGene00001168,Sequence name for WBGene00001168(eef-1A.1). History: Renamed on 2005-09-08; Renamed on 2010-08-03
C47E8.11,511,18.47081597,534,19.18151609,582,17.16008445,602,23.0813326,522.5,592.0,18.82616603,20.12070852,C47E8.11,WBGene00044180,Public name for WBGene00044180. History: N.A.
Y38H6C.15,475,17.16954517,526,18.89415255,624,18.39844106,554,21.24096056,500.5,589.0,18.03184886,19.81970081,Y38H6C.15,WBGene00012627,Public name for WBGene00012627. History: N.A.
F44E2.10,578,20.8926255,542,19.46887962,560,16.51142147,600,23.00465043,560.0,580.0,20.18075256,19.75803595,F44E2.10,WBGene00018423,Public name for WBGene00018423. History: N.A.
ZK484.5,663,23.96507042,679,24.38998019,555,16.36399806,598,22.92796826,671.0,576.5,24.17752531,19.64598316,ZK484.5,WBGene00022751,Sequence name for WBGene00022751(msrp-2). History: N.A.
C10G11.9,490,17.71174134,510,18.31942548,518,15.27306486,610,23.38806127,500.0,564.0,18.01558341,19.33056306,C10G11.9,WBGene00015689,Sequence name for WBGene00015689(spch-2). History: N.A.
F44D12.3,600,21.68784654,592,21.26490173,597,17.60235467,542,20.78086755,596.0,569.5,21.47637413,19.19161111,F44D12.3,WBGene00009680,Sequence name for WBGene00009680(msd-1). History: N.A.
T12D8.6,451,16.30203131,504,18.10390282,621,18.30998702,523,20.05238696,477.5,572.0,17.20296707,19.18118699,T12D8.6,WBGene00011734,Sequence name for WBGene00011734(mlc-5). History: N.A.
K03H1.12,467,16.88037389,578,20.76201554,596,17.57286999,540,20.70418539,522.5,568.0,18.82119471,19.13852769,K03H1.12,WBGene00010547,Public name for WBGene00010547. History: N.A.
T21B10.2,373,13.48261126,491,17.63693708,628,18.51637979,500,19.17054202,432.0,564.0,15.55977417,18.84346091,T21B10.2,WBGene00011884,Sequence name for WBGene00011884(enol-1). History: N.A.
C15H11.13,565,20.42272215,634,22.7735603,557,16.42296742,553,21.20261948,599.5,555.0,21.59814123,18.81279345,C15H11.13,WBGene00077576,Public name for WBGene00077576. History: N.A.
F57B10.3,440,15.90442079,515,18.49902769,615,18.13307893,503,19.28556528,477.5,559.0,17.20172424,18.7093221,F57B10.3,WBGene00019001,Sequence name for WBGene00019001(ipgm-1). History: N.A.
C27A12.8,457,16.51890978,509,18.28350503,594,17.51390063,513,19.66897612,483.0,553.5,17.40120741,18.59143837,C27A12.8,WBGene00016158,Sequence name for WBGene00016158(ari-1.1). History: N.A.
C24A11.1,477,17.241838,482,17.3136531,579,17.07163041,507,19.43892961,479.5,543.0,17.27774555,18.25528001,C24A11.1,WBGene00016040,Public name for WBGene00016040. History: N.A.
M7.1,453,16.37432413,542,19.46887962,544,16.03966657,521,19.97570479,497.5,532.5,17.92160188,18.00768568,M7.1,WBGene00002344,Sequence name for WBGene00002344(let-70). History: N.A.
Y62F5A.10,563,20.35042933,516,18.53494813,531,15.65636571,528,20.24409238,539.5,529.5,19.44268873,17.95022904,Y62F5A.10,WBGene00013388,Public name for WBGene00013388. History: N.A.
R13H9.6,488,17.63944852,493,17.70877796,618,18.22153298,460,17.63689866,490.5,539.0,17.67411324,17.92921582,R13H9.6,WBGene00020072,Public name for WBGene00020072. History: N.A.
C17F3.1,449,16.22973849,581,20.86977687,512,15.09615677,532,20.39745671,515.0,522.0,18.54975768,17.74680674,C17F3.1,WBGene00015907,Public name for WBGene00015907. History: N.A.
Y39E4B.13,539,19.48291547,511,18.35534592,544,16.03966657,482,18.48040251,525.0,513.0,18.9191307,17.26003454,Y39E4B.13,WBGene00012721,Public name for WBGene00012721. History: N.A.
F59B8.2,415,15.00076052,482,17.3136531,553,16.3050287,472,18.09699167,448.5,512.5,16.15720681,17.20101018,F59B8.2,WBGene00010317,Sequence name for WBGene00010317(idh-1). History: N.A.
C36B1.10,466,16.84422748,509,18.28350503,559,16.48193679,465,17.82860408,487.5,512.0,17.56386626,17.15527043,C36B1.10,WBGene00007977,Sequence name for WBGene00007977(gskl-2). History: Renamed on 2021-12-09
F07F6.1,540,19.51906188,531,19.07375476,479,14.12316229,525,20.12906912,535.5,502.0,19.29640832,17.12611571,F07F6.1,WBGene00017215,Public name for WBGene00017215. History: N.A.
F13D12.4,323,11.67529072,363,13.03912049,518,15.27306486,482,18.48040251,343.0,500.0,12.3572056,16.87673368,F13D12.4,WBGene00000114,Sequence name for WBGene00000114(alh-8). History: N.A.
C14A4.11,385,13.91636819,473,16.99036912,555,16.36399806,452,17.33016999,429.0,503.5,15.45336866,16.84708402,C14A4.11,WBGene00007561,Sequence name for WBGene00007561(ccm-3). History: N.A.
M70.3,484,17.49486287,607,21.80370836,477,14.06419293,509,19.51561178,545.5,493.0,19.64928562,16.78990235,M70.3,WBGene00019785,Public name for WBGene00019785. History: N.A.
R05G6.7,365,13.19343998,423,15.19434701,512,15.09615677,447,17.13846457,394.0,479.5,14.19389349,16.11731067,R05G6.7,WBGene00019900,Sequence name for WBGene00019900(vdac-1). History: N.A.
ZK795.2,377,13.62719691,437,15.6972332,544,16.03966657,420,16.1032553,407.0,482.0,14.66221505,16.07146093,ZK795.2,WBGene00014082,Public name for WBGene00014082. History: N.A.
Y38A10A.5,300,10.84392327,319,11.45862103,545,16.06915125,409,15.68150338,309.5,477.0,11.15127215,15.87532731,Y38A10A.5,WBGene00000802,Sequence name for WBGene00000802(crt-1). History: N.A.
Y43F8A.2,411,14.85617488,434,15.58947188,465,13.71037675,459,17.59855758,422.5,462.0,15.22282338,15.65446717,Y43F8A.2,WBGene00012809,Public name for WBGene00012809. History: N.A.
W08E3.4,437,15.79598156,424,15.23026746,480,14.15264697,446,17.10012349,430.5,463.0,15.51312451,15.62638523,W08E3.4,WBGene00012345,Public name for WBGene00012345. History: N.A.
M117.4,465,16.80808107,500,17.96022106,439,12.94377504,475,18.21201492,482.5,457.0,17.38415106,15.57789498,M117.4,WBGene00010920,Public name for WBGene00010920. History: N.A.
C24G6.1,428,15.47066386,411,14.76330171,465,13.71037675,428,16.40998397,419.5,446.5,15.11698278,15.06018036,C24G6.1,WBGene00006376,Sequence name for WBGene00006376(syp-2). History: N.A.
F43E2.7,369,13.33802562,410,14.72738127,486,14.32955506,387,14.83799953,389.5,436.5,14.03270344,14.58377729,F43E2.7,WBGene00018395,Sequence name for WBGene00018395(mtch-1). History: N.A.
F59A3.8,407,14.71158923,408,14.65554038,470,13.85780016,397,15.22141037,407.5,433.5,14.68356481,14.53960526,F59A3.8,WBGene00019081,Public name for WBGene00019081. History: N.A.
F36H12.10,395,14.2778323,463,16.6311647,486,14.32955506,383,14.68463519,429.0,434.5,15.4544985,14.50709512,F36H12.10,WBGene00018124,Public name for WBGene00018124. History: N.A.
C02B10.6,394,14.24168589,464,16.66708514,487,14.35903974,381,14.60795302,429.0,434.0,15.45438552,14.48349638,C02B10.6,WBGene00015331,Public name for WBGene00015331. History: N.A.
W02F12.5,346,12.50665817,364,13.07504093,498,14.68337123,372,14.26288327,355.0,435.0,12.79084955,14.47312725,W02F12.5,WBGene00020950,Sequence name for WBGene00020950(dlst-1). History: N.A.
K01D12.7,436,15.75983515,466,16.73892602,454,13.38604526,402,15.41311579,451.0,428.0,16.24938059,14.39958052,K01D12.7,WBGene00010466,Public name for WBGene00010466. History: N.A.
ZK512.8,417,15.07305334,437,15.6972332,443,13.06171377,406,15.56648012,427.0,424.5,15.38514327,14.31409695,ZK512.8,WBGene00013987,Public name for WBGene00013987. History: N.A.
T03F1.3,334,12.07290124,447,16.05643762,461,13.59243803,391,14.99136386,390.5,426.0,14.06466943,14.29190095,T03F1.3,WBGene00020185,Sequence name for WBGene00020185(pgk-1). History: N.A.
F09F7.4,309,11.16924097,411,14.76330171,476,14.03470825,374,14.33956543,360.0,425.0,12.96627134,14.18713684,F09F7.4,WBGene00017301,Sequence name for WBGene00017301(hach-1). History: N.A.
T28H11.6,448,16.19359208,410,14.72738127,447,13.17965249,394,15.10638711,429.0,420.5,15.46048667,14.1430198,T28H11.6,WBGene00006040,Sequence name for WBGene00006040(ssp-11). History: N.A.
ZK1010.5,360,13.01270792,435,15.62539232,430,12.67841291,407,15.60482121,397.5,418.5,14.31905012,14.14161706,ZK1010.5,WBGene00014179,Public name for WBGene00014179. History: N.A.
E03H12.10,433,15.65139592,403,14.47593817,435,12.82583632,388,14.87634061,418.0,411.5,15.06366704,13.85108846,E03H12.10,WBGene00006038,Sequence name for WBGene00006038(ssp-9). History: N.A.
R01H2.6,351,12.68739022,394,14.15265419,420,12.3835661,395,15.1447282,372.5,407.5,13.42002221,13.76414715,R01H2.6,WBGene00006713,Sequence name for WBGene00006713(ubc-18). History: N.A.
Y47D3A.13,488,17.63944852,438,15.73315364,421,12.41305078,394,15.10638711,463.0,407.5,16.68630108,13.75971895,Y47D3A.13,WBGene00012926,Public name for WBGene00012926. History: N.A.
K12C11.2,296,10.69933762,385,13.82937021,445,13.12068313,371,14.22454218,340.5,408.0,12.26435392,13.67261266,K12C11.2,WBGene00004888,Sequence name for WBGene00004888(smo-1). History: N.A.
Y40B10A.1,319,11.53070507,359,12.89543872,441,13.0027444,370,14.1862011,339.0,405.5,12.2130719,13.59447275,Y40B10A.1,WBGene00021486,Sequence name for WBGene00021486(lbp-9). History: N.A.
F49F1.12,458,16.55505619,455,16.34380116,383,11.2926329,403,15.45145687,456.5,393.0,16.44942867,13.37204488,F49F1.12,WBGene00018652,Public name for WBGene00018652. History: N.A.
C15F1.7,303,10.9523625,361,12.9672796,447,13.17965249,353,13.53440267,332.0,400.0,11.95982105,13.35702758,C15F1.7,WBGene00004930,Sequence name for WBGene00004930(sod-1). History: N.A.
Y39E4A.1,304,10.98850891,321,11.53046192,416,12.26562737,359,13.76444917,312.5,387.5,11.25948541,13.01503827,Y39E4A.1,WBGene00012711,Public name for WBGene00012711. History: N.A.
K09G1.2,439,15.86827438,453,16.27196028,392,11.55799503,376,14.4162476,446.0,384.0,16.07011733,12.98712131,K09G1.2,WBGene00010728,Public name for WBGene00010728. History: N.A.
T08H10.3,421,15.21763899,401,14.40409729,398,11.73490311,366,14.03283676,411.0,382.0,14.81086814,12.88386994,T08H10.3,WBGene00020370,Public name for WBGene00020370. History: N.A.
F36F2.4,319,11.53070507,371,13.32648402,431,12.70789759,336,12.88260424,345.0,383.5,12.42859455,12.79525092,F36F2.4,WBGene00009478,Sequence name for WBGene00009478(syx-7). History: Renamed on 2010-04-16
F36H12.4,411,14.85617488,409,14.69146082,380,11.20417885,371,14.22454218,410.0,375.5,14.77381785,12.71436052,F36H12.4,WBGene00018120,Public name for WBGene00018120. History: N.A.
