# Supplementary Table 2. Genes upregulated in rde-3(-) mutants.
# List of genes upregulated in rde-3(-)mutants (adjusted p value <0.05 and log2fold change >1.5). Data is based on mRNA-seq performed on two replicates each of WT vs. rde-3(-) animals.
Gene,log2FoldChange,Fold Change,padj,Input,Suggested Match,History
C08B6.4,5.94447374705993,61.5835763741008,0.0024895805356563,C08B6.4,WBGene00007425,Sequence name for WBGene00007425(cht-5). History: N.A.
Y41C4A.32,5.91357434307671,60.2786141291182,1.04127480633872e-29,Y41C4A.32,WBGene00270321,Public name for WBGene00270321. History: N.A.
F55C9.5,5.88975792355334,59.2916863010869,0.0278221387142581,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
F33H12.7,5.83079529540543,56.9172989944066,2.6767486050207103e-09,F33H12.7,WBGene00045457,Public name for WBGene00045457. History: N.A.
F53H2.1,5.81158894920995,56.1645904252335,0.0039592895092163,F53H2.1,WBGene00010004,Public name for WBGene00010004. History: N.A.
C08F11.7,5.79069381148894,55.3569983298729,9.24323180507439e-12,C08F11.7,WBGene00007454,Public name for WBGene00007454. History: N.A.
col-165,5.7769234557292,54.8311358828404,1.77877948011268e-07,col-165,WBGene00000738,Public name for WBGene00000738. History: N.A.
ZK262.9,5.70572700140314,52.1909226444785,2.7472417380319103e-09,ZK262.9,WBGene00013954,Public name for WBGene00013954. History: N.A.
ins-31,5.68420593400259,51.4181548283746,0.0439846750815278,ins-31,WBGene00002114,Public name for WBGene00002114. History: N.A.
F15B9.6,5.66719121604612,50.8153062378621,8.54558155899385e-24,F15B9.6,WBGene00008850,Public name for WBGene00008850. History: N.A.
ZC15.1,5.59376589693247,48.2937938252148,0.0069744137825072,ZC15.1,WBGene00013830,Public name for WBGene00013830. History: N.A.
cut-3,5.54469227962903,46.6786935981449,2.46244196894225e-19,cut-3,WBGene00009041,Public name for WBGene00009041. History: N.A.
F15D4.6,5.28249139282383,38.9213917243047,1.91743839776065e-12,F15D4.6,WBGene00008863,Public name for WBGene00008863. History: N.A.
C18H7.1,5.28180449415436,38.9028648091423,0.0006831462663905,C18H7.1,WBGene00015993,Public name for WBGene00015993. History: N.A.
C08E8.4,5.08160380531734,33.8622000800547,3.87045341847032e-26,C08E8.4,WBGene00007440,Public name for WBGene00007440. History: N.A.
mtl-1,5.06082450718266,33.3779745706841,0.005566776247207,mtl-1,WBGene00003473,Public name for WBGene00003473. History: N.A.
F47B8.4,5.03100169177389,32.6950809866664,0.0296010160716249,F47B8.4,WBGene00009805,Public name for WBGene00009805. History: N.A.
hch-1,4.99913523173633,31.9808245736798,7.35467371814882e-06,hch-1,WBGene00001828,Public name for WBGene00001828. History: N.A.
col-74,4.97254517024251,31.3967902063239,3.22154331042364e-06,col-74,WBGene00000650,Public name for WBGene00000650. History: N.A.
tbb-6,4.85960275474014,29.0326177546564,4.74979168791537e-68,tbb-6,WBGene00006539,Public name for WBGene00006539. History: N.A.
ZC15.4,4.72708341186711,26.4846293241192,1.94396087729281e-06,ZC15.4,WBGene00014977,Public name for WBGene00014977. History: N.A.
cyp-13A7,4.59391182604558,24.1493395032939,5.538247417294639e-11,cyp-13A7,WBGene00000372,Public name for WBGene00000372. History: N.A.
ZK262.8,4.56264032741731,23.6315168030758,4.6797022413268506e-09,ZK262.8,WBGene00013953,Public name for WBGene00013953. History: N.A.
F58H7.5,4.4806387348509,22.3257809289198,2.53351325848052e-21,F58H7.5,WBGene00019070,Public name for WBGene00019070. History: N.A.
fbxa-163,4.42781902953662,21.5231753178374,0.0180915147260699,fbxa-163,WBGene00015598,Public name for WBGene00015598. History: N.A.
CER3-LTR_CE:Gypsy:LTR,4.35942031442768,20.5265649776693,0.0186097775589348,,,
fbxb-97,4.35125376087761,20.4107000634011,6.2850847544448405e-25,fbxb-97,WBGene00016885,Public name for WBGene00016885. History: N.A.
T24E12.5,4.34930467084326,20.3831436984065,9.64563081628333e-07,T24E12.5,WBGene00020774,Public name for WBGene00020774. History: N.A.
dpy-14,4.34005422776778,20.2528667504155,1.07086137087678e-08,dpy-14,WBGene00001075,Public name for WBGene00001075. History: N.A.
Y37H9A.2,4.23425946743146,18.8208446126011,8.81082393641573e-05,Y37H9A.2,WBGene00012577,Public name for WBGene00012577. History: N.A.
phg-1,4.20444327775331,18.4358659512373,0.0269446888338585,phg-1,WBGene00004017,Public name for WBGene00004017. History: N.A.
T26H5.9,4.16346133820643,17.9195355268115,2.33639154767006e-19,T26H5.9,WBGene00044206,Public name for WBGene00044206. History: N.A.
C25F9.11,4.15350080277572,17.7962430586032,0.0003657195972324,C25F9.11,WBGene00045411,Public name for WBGene00045411. History: N.A.
hil-7,4.14948669365443,17.7467961755471,0.0420544831421181,hil-7,WBGene00001858,Public name for WBGene00001858. History: Renamed on 2010-11-12
Y61A9LA.12,4.08978079100578,17.0273355195808,6.36509687982943e-11,Y61A9LA.12,WBGene00044586,Public name for WBGene00044586. History: N.A.
F08G2.5,4.06552794970849,16.7434851413753,4.20271433183067e-10,F08G2.5,WBGene00008577,Public name for WBGene00008577. History: N.A.
asp-17,4.01504056695252,16.1676777542056,1.7542758353604e-20,asp-17,WBGene00012683,Public name for WBGene00012683. History: N.A.
T08B6.5,3.99285041096789,15.9209046692563,0.0165963358436076,T08B6.5,WBGene00020354,Sequence name for WBGene00020354(sgnh-1). History: N.A.
clec-219,3.98653033406892,15.8513118153923,0.0463705570488039,clec-219,WBGene00020945,Public name for WBGene00020945. History: N.A.
pqn-73,3.96461192926767,15.6123080507151,0.0054947719619064,pqn-73,WBGene00004155,Public name for WBGene00004155. History: N.A.
cdr-4,3.94925989581572,15.4470548732636,6.987060106653091e-15,cdr-4,WBGene00010470,Public name for WBGene00010470. History: N.A.
F30H5.3,3.94527009046934,15.4043947141283,0.0007185811985575,F30H5.3,WBGene00017937,Public name for WBGene00017937. History: N.A.
R09E10.5,3.93379535672792,15.2823590577175,0.0065784712444582,R09E10.5,WBGene00011175,Public name for WBGene00011175. History: N.A.
E04D5.4,3.74594179503998,13.4165496547538,1.07373672154608e-05,E04D5.4,WBGene00008483,Public name for WBGene00008483. History: N.A.
F19B10.14,3.71444988240018,13.1268593514547,9.29790121209105e-07,F19B10.14,WBGene00271651,Public name for WBGene00271651. History: N.A.
Y61A9LA.5,3.65712281082436,12.6154766439633,4.72611604303118e-15,Y61A9LA.5,WBGene00022017,Public name for WBGene00022017. History: N.A.
srw-85,3.61798835569874,12.2778696702864,0.0061572504592868,srw-85,WBGene00005832,Public name for WBGene00005832. History: N.A.
R02F11.1,3.6060170275878,12.1764107594704,0.009512152318942,R02F11.1,WBGene00019839,Public name for WBGene00019839. History: N.A.
lpr-4,3.59934038659282,12.1201898031246,4.27413790838496e-05,lpr-4,WBGene00012257,Public name for WBGene00012257. History: N.A.
npp-26,3.56476279904877,11.8331543639498,0.0058038013268198,npp-26,WBGene00021198,Public name for WBGene00021198. History: N.A.
CER3-I_CE:Gypsy:LTR,3.56239592275216,11.8137568823002,2.3348605575595097e-13,,,
ZK896.1,3.54618140746152,11.6817248771627,1.02171007202835e-12,ZK896.1,WBGene00014132,Public name for WBGene00014132. History: N.A.
Y25C1A.6,3.50370625300269,11.3428105417463,0.0033185991826637,Y25C1A.6,WBGene00021293,Public name for WBGene00021293. History: N.A.
cyp-13A6,3.47374786851803,11.1096993384474,0.0392652452734879,cyp-13A6,WBGene00011673,Public name for WBGene00011673. History: N.A.
K04H4.2,3.4730222642938,11.1041131142783,6.05128319614945e-05,K04H4.2,WBGene00010573,Sequence name for WBGene00010573(chtb-1). History: N.A.
sams-2,3.42218732586355,10.7196606169007,0.0003535764768716,sams-2,WBGene00013652,Public name for WBGene00013652. History: N.A.
bath-13,3.4080328820217,10.6150030600258,6.20233203972176e-05,bath-13,WBGene00018223,Public name for WBGene00018223. History: N.A.
C32B5.6,3.40285162638353,10.5769490014849,0.0074586153124774,C32B5.6,WBGene00016299,Public name for WBGene00016299. History: N.A.
T19D12.4,3.37643836552702,10.3850651772061,1.33049085568867e-19,T19D12.4,WBGene00020579,Public name for WBGene00020579. History: N.A.
fbxa-88,3.37342786495625,10.3634170488256,0.0301756913394225,fbxa-88,WBGene00008632,Public name for WBGene00008632. History: N.A.
tsp-2,3.35664656990269,10.2435691231371,3.29605290182609e-05,tsp-2,WBGene00006628,Public name for WBGene00006628. History: N.A.
C49G7.12,3.35534403023604,10.2343248730871,2.40335406692952e-07,C49G7.12,WBGene00077593,Public name for WBGene00077593. History: N.A.
clec-71,3.33714499073587,10.1060336993075,0.0316712034475563,clec-71,WBGene00021582,Public name for WBGene00021582. History: N.A.
F28F8.7,3.32401317236295,10.0144631047307,4.4424613060571e-60,F28F8.7,WBGene00009224,Public name for WBGene00009224. History: N.A.
linc-45,3.32096524125428,9.993328233803,0.0431188448714252,linc-45,WBGene00219661,Public name for WBGene00219661. History: N.A.
C18H2.1,3.29836012359653,9.83796637150227,8.21257712223457e-18,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
zip-10,3.29687921740111,9.82787301843455,3.47842559543608e-07,zip-10,WBGene00012101,Public name for WBGene00012101. History: N.A.
C41D11.6,3.28321830386972,9.73525186392597,5.49933054378593e-19,C41D11.6,WBGene00016565,Sequence name for WBGene00016565(sosi-1). History: N.A.
F49F1.7,3.2814785109682,9.72351888288863,3.1852695703567403e-09,F49F1.7,WBGene00018647,Public name for WBGene00018647. History: N.A.
arf-1.1,3.27730608343079,9.69543805779566,1.02319461900603e-12,arf-1.1,WBGene00000190,Other name for WBGene00000190(warf-1). History: Renamed on 2020-09-10
Y47D3B.1,3.27242640097921,9.66270020438898,0.010918229801652,Y47D3B.1,WBGene00012939,Sequence name for WBGene00012939(subs-4). History: N.A.
tsp-1,3.24547157894186,9.48384167853458,1.13403776929387e-05,tsp-1,WBGene00006627,Public name for WBGene00006627. History: N.A.
C46G7.111,3.23018510459757,9.38388351325882,0.0066621583377112,C46G7.111,WBGene00235389,Public name for WBGene00235389. History: N.A.
hpo-2,3.22967071295254,9.38053829426735,0.0231809318964437,hpo-2,WBGene00012500,Public name for WBGene00012500. History: N.A.
abu-14,3.21369904292932,9.27726172737626,0.0017218739164564,abu-14,WBGene00004174,Public name for WBGene00004174. History: Renamed on 2011-04-12
AC8.3,3.18758048209641,9.11081731936908,0.0009276023399109,AC8.3,WBGene00007075,Public name for WBGene00007075. History: N.A.
C49G7.7,3.16742283579103,8.98440420674176,0.0037162352310279,C49G7.7,WBGene00016785,"Public name for WBGene00016785. History: Split into C49G7.12(WBGene00077593), C49G7.13(WBGene00269425). History of WBGene00016785: Split into ""WBGene00077593"" on 2008-02-08; Split into ""WBGene00269425"" on 2016-04-19"
CER9-I_CE:Pao:LTR,3.15592884426766,8.91310958871252,1.58256352480619e-108,,,
Y48G1BM.8,3.15150203793035,8.88580226743251,1.42797359218193e-13,Y48G1BM.8,WBGene00021673,Public name for WBGene00021673. History: N.A.
fbxa-162,3.12513617042983,8.7248853307907,0.0067958899787874,fbxa-162,WBGene00015597,Public name for WBGene00015597. History: N.A.
acd-1,3.11415934974392,8.6587534871799,0.0377691403080789,acd-1,WBGene00016064,Public name for WBGene00016064. History: N.A.
W09H1.4,3.09484609939365,8.54361181938794,3.43642016308844e-13,W09H1.4,WBGene00012374,Public name for WBGene00012374. History: N.A.
rnh-1.3,3.07156239474891,8.40683288463317,1.00065251430588e-37,rnh-1.3,WBGene00007303,Public name for WBGene00007303. History: N.A.
Y46G5A.6,3.07126471124314,8.40509841044178,6.71869505123977e-10,Y46G5A.6,WBGene00012898,"Public name for WBGene00012898. History: Split into Y46G5A.42(WBGene00077635), Y46G5A.43(WBGene00077636). History of WBGene00012898: Renamed on 2005-03-17; Split into ""WBGene00077636"" on 2008-02-22"
K01A11.3,3.05837788545492,8.33035446746104,4.27983425035529e-05,K01A11.3,WBGene00010451,Public name for WBGene00010451. History: N.A.
T23G5.10,3.05302230080438,8.29948778285497,5.15641702431747e-05,T23G5.10,WBGene00196388,Public name for WBGene00196388. History: N.A.
gst-38,3.01984036333386,8.11077831721495,1.05386036921007e-13,gst-38,WBGene00001786,Public name for WBGene00001786. History: N.A.
C46A5.4,3.01015636856643,8.05651757031834,0.0106329017131745,C46A5.4,WBGene00016700,Public name for WBGene00016700. History: N.A.
dpy-17,2.94979434196083,7.72638914615165,1.6088803307519898e-22,dpy-17,WBGene00001076,Public name for WBGene00001076. History: N.A.
dpy-7,2.93993960258144,7.67379168995698,0.0004021884674793,dpy-7,WBGene00001069,Public name for WBGene00001069. History: N.A.
swt-6,2.88933645476889,7.40929592046264,9.909088145339799e-42,swt-6,WBGene00011190,Public name for WBGene00011190. History: N.A.
Y54G2A.21,2.88195689737085,7.37149325213313,1.73919243937042e-17,Y54G2A.21,WBGene00021886,Public name for WBGene00021886. History: N.A.
F40G9.20,2.88119081565817,7.36757997390212,0.0007066909327484,F40G9.20,WBGene00195034,Public name for WBGene00195034. History: N.A.
Y54G2A.36,2.88020196698622,7.36253183465006,7.32645044783773e-41,Y54G2A.36,WBGene00021898,Public name for WBGene00021898. History: N.A.
C09G5.7,2.87844153895112,7.35355328933369,0.0109032049526272,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
W09B7.2,2.86331381398878,7.27684869716812,4.38260425185072e-06,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
grl-7,2.85928571677369,7.2565596056345,0.0202343495846273,grl-7,WBGene00001716,Public name for WBGene00001716. History: N.A.
egl-46,2.85115648483151,7.21578565937804,0.008478509654506,egl-46,WBGene00001210,Public name for WBGene00001210. History: N.A.
ptr-10,2.85103660706378,7.21518610346668,0.0031082813956001,ptr-10,WBGene00004224,Public name for WBGene00004224. History: N.A.
clec-266,2.84071215072828,7.16373589585006,3.55547828400055e-08,clec-266,WBGene00016088,Public name for WBGene00016088. History: N.A.
Y46H3C.6,2.82131257830788,7.06805162963124,0.0005003421907041,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
F59B2.12,2.81908797671135,7.05716125986198,3.73227009432205e-08,F59B2.12,WBGene00010314,Public name for WBGene00010314. History: N.A.
C46G7.5,2.81306042277972,7.02773807462186,2.34752248321818e-06,C46G7.5,WBGene00044502,Public name for WBGene00044502. History: N.A.
igcm-1,2.81235021557589,7.02427932433136,0.003970631107627,igcm-1,WBGene00018215,Public name for WBGene00018215. History: N.A.
cdr-2,2.80572239634931,6.99208341582798,3.70204188312941e-36,cdr-2,WBGene00008296,Public name for WBGene00008296. History: N.A.
T19D12.5,2.80444004402547,6.98587120156995,1.4274868092573e-11,T19D12.5,WBGene00020580,Public name for WBGene00020580. History: N.A.
arrd-1,2.79631638469441,6.94664506109044,0.0004865633820374,arrd-1,WBGene00020205,Public name for WBGene00020205. History: N.A.
TC5:TcMar-Tc4:DNA,2.79372330640733,6.9341704802965,1.0985134710691101e-17,,,
strm-1,2.77245383442651,6.83269076432251,0.0005486543267178,strm-1,WBGene00019198,Public name for WBGene00019198. History: N.A.
ZK430.5,2.77218363978102,6.8314112260009,0.0008840070769409,ZK430.5,WBGene00022741,Public name for WBGene00022741. History: N.A.
T20F5.4,2.76815286978631,6.81235146910367,0.0023425427880486,T20F5.4,WBGene00020626,Public name for WBGene00020626. History: N.A.
clec-78,2.76221115657737,6.78435261979704,3.63959098941537e-06,clec-78,WBGene00018547,Public name for WBGene00018547. History: N.A.
MIRAGE1:CMC-Mirage:DNA,2.7560115999916,6.75526141486124,1.92785600443425e-63,,,
Y67D8C.23,2.75290689010586,6.74073958233415,5.34210692706638e-06,Y67D8C.23,WBGene00235353,Public name for WBGene00235353. History: N.A.
F27C1.18,2.73967490195025,6.67919809001629,0.0416291005065727,F27C1.18,WBGene00219918,Public name for WBGene00219918. History: N.A.
C34H4.2,2.73818269608502,6.67229324480003,1.1405556591035302e-47,C34H4.2,WBGene00016425,Public name for WBGene00016425. History: N.A.
C08F11.6,2.72699742815608,6.62076272600412,0.0007480500871058,C08F11.6,WBGene00014672,Public name for WBGene00014672. History: N.A.
F41G4.7,2.72448815583638,6.60925727486325,0.0059646141130344,F41G4.7,WBGene00018310,"Public name for WBGene00018310. History: Split into F41G4.13(WBGene00304806). History of WBGene00018310: Split into ""WBGene00304806"" on 2019-05-20"
egl-1,2.71991706446786,6.5883493859077,0.0343590297719769,egl-1,WBGene00001170,Public name for WBGene00001170. History: N.A.
dod-20,2.70659226067263,6.52777920555015,0.0019403950221557,dod-20,WBGene00015259,Public name for WBGene00015259. History: N.A.
T28H10.3,2.70512388651319,6.52113861570259,1.81439791939173e-50,T28H10.3,WBGene00012144,Sequence name for WBGene00012144(lgmn-1). History: N.A.
fbxa-11,2.69362303025092,6.4693601512092,1.93897057288888e-07,fbxa-11,WBGene00020451,Public name for WBGene00020451. History: N.A.
agmo-1,2.6657445326894,6.34554699912661,0.0233876491397306,agmo-1,WBGene00007210,Public name for WBGene00007210. History: Renamed on 2015-03-25
T01D3.3,2.65782551359176,6.31081142107691,1.28499592170007e-06,T01D3.3,WBGene00011328,Public name for WBGene00011328. History: N.A.
vet-6,2.65711353545249,6.30769776841431,4.3150466026153004e-10,vet-6,WBGene00006902,Public name for WBGene00006902. History: N.A.
saeg-2,2.64957939279865,6.27484313179424,2.85788355040026e-26,saeg-2,WBGene00011964,Public name for WBGene00011964. History: N.A.
C30G12.1,2.64490868466228,6.2545612502401,0.0002256918402652,C30G12.1,WBGene00016273,Public name for WBGene00016273. History: N.A.
tts-1,2.6299619989454,6.19009692286452,0.0089006724986802,tts-1,WBGene00006650,Public name for WBGene00006650. History: N.A.
F56D6.16,2.61786426537129,6.13840683050486,1.27193895334859e-07,F56D6.16,WBGene00219304,Public name for WBGene00219304. History: N.A.
F29G9.1,2.60094922885954,6.06685667369218,0.0243371361288565,F29G9.1,WBGene00017930,Public name for WBGene00017930. History: N.A.
T28D6.15,2.59708954788933,6.0506475403687,0.042190491266579,T28D6.15,WBGene00201788,Public name for WBGene00201788. History: N.A.
Y38F2AL.12,2.59546011899192,6.04381759075013,0.0400775251715372,Y38F2AL.12,WBGene00219413,Public name for WBGene00219413. History: N.A.
ptr-4,2.57350803569646,5.95255083285561,2.31472285875741e-05,ptr-4,WBGene00004219,Public name for WBGene00004219. History: N.A.
dod-19,2.55882364860037,5.89227044297941,1.92785600443425e-63,dod-19,WBGene00022644,Public name for WBGene00022644. History: N.A.
timm-17B.2,2.5330407038434,5.78790283964707,3.8826445699709095e-18,timm-17B.2,WBGene00017069,Public name for WBGene00017069. History: N.A.
fbxa-24,2.51893605830568,5.73159256591932,0.0001260482776615,fbxa-24,WBGene00018803,Public name for WBGene00018803. History: N.A.
T24H10.5,2.51640378627686,5.72154108528091,0.0009640240814984,T24H10.5,WBGene00012003,Public name for WBGene00012003. History: N.A.
Y24F12A.3,2.50699151612957,5.68433474549384,6.80065583663416e-05,Y24F12A.3,WBGene00012498,Public name for WBGene00012498. History: N.A.
tts-2,2.50468075882889,5.67523746295747,0.001908518941098,tts-2,WBGene00006651,Public name for WBGene00006651. History: N.A.
plg-1,2.49022612178241,5.61866007842666,2.70857614418791e-08,plg-1,WBGene00004041,"Public name for WBGene00004041. History: Merged into ""WBGene00206463"" on 2015-03-09"
B0462.5,2.47905514943633,5.57532207670868,0.0001518985260125,B0462.5,WBGene00194695,Public name for WBGene00194695. History: N.A.
Y65B4BL.1,2.47442077566206,5.55744118702762,0.0001064387105872,Y65B4BL.1,WBGene00022033,"Public name for WBGene00022033. History: Split into Y65B4BM.3(WBGene00302974). History of WBGene00022033: Split into ""WBGene00302974"" on 2018-03-06"
dct-17,2.46862807334166,5.53517171345911,2.7749634508532e-25,dct-17,WBGene00009431,Public name for WBGene00009431. History: N.A.
cdr-1,2.43882223636581,5.42198918825752,0.0320583673819252,cdr-1,WBGene00000412,Public name for WBGene00000412. History: N.A.
dpy-2,2.4334541511446,5.40185214127429,0.0001187964401675,dpy-2,WBGene00001064,Public name for WBGene00001064. History: N.A.
F08F3.8,2.42897027000351,5.38508930401082,0.0008631341366387,F08F3.8,WBGene00017264,Public name for WBGene00017264. History: N.A.
F46E10.2,2.41331827149807,5.32698150334478,0.001648189241406,F46E10.2,WBGene00018489,Public name for WBGene00018489. History: N.A.
mul-1,2.41328717932402,5.32686670039154,0.0001407787538135,mul-1,WBGene00018646,Public name for WBGene00018646. History: N.A.
F07B7.2,2.40469440137857,5.29523386080088,5.48557972768304e-05,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
Tc1:TcMar-Tc1:DNA,2.39796567605621,5.27059440986151,6.88902238072929e-12,,,
Y46G5A.43,2.39763255518219,5.26937756064534,4.37872237412612e-08,Y46G5A.43,WBGene00077636,Public name for WBGene00077636. History: N.A.
F43D9.1,2.39570883442834,5.26235594112934,0.000416447196764,F43D9.1,WBGene00009653,Public name for WBGene00009653. History: N.A.
T12B5.9,2.3871637803193,5.23127923548465,0.0444561431085907,T12B5.9,WBGene00023345,Public name for WBGene00023345. History: N.A.
pqn-32,2.37489059686069,5.18696486329309,4.27413790838496e-05,pqn-32,WBGene00004120,Public name for WBGene00004120. History: N.A.
cut-2,2.37196747738318,5.17646592375105,0.0071540789168886,cut-2,WBGene00009983,Public name for WBGene00009983. History: Renamed on 2011-02-23
Y53F4B.6,2.346284559091,5.08512965605773,0.0148947159536309,Y53F4B.6,WBGene00013153,Public name for WBGene00013153. History: N.A.
C06C3.5,2.34601235542017,5.08417029850443,9.02736725876125e-08,C06C3.5,WBGene00007376,Public name for WBGene00007376. History: N.A.
lec-11,2.33643084697082,5.05051619124212,1.0613737328695099e-11,lec-11,WBGene00002274,Public name for WBGene00002274. History: N.A.
srd-64,2.32744843482246,5.0191686905367,0.0131898642116145,srd-64,WBGene00005141,Public name for WBGene00005141. History: N.A.
T05H10.3,2.32498315505789,5.01059925027721,0.0022428522825381,T05H10.3,WBGene00011508,Public name for WBGene00011508. History: N.A.
R03H10.6,2.31864598943277,4.9886380183423,0.0007721187632511,R03H10.6,WBGene00019858,Public name for WBGene00019858. History: N.A.
cyp-13A5,2.31751531643371,4.98472984064325,4.82829731015617e-11,cyp-13A5,WBGene00011672,Public name for WBGene00011672. History: N.A.
F58E6.13,2.3119601764761,4.96557289670682,0.0444079583964279,F58E6.13,WBGene00077697,Public name for WBGene00077697. History: N.A.
ZK402.3,2.31025265692248,4.95969930807376,0.0062872981500779,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
sdz-26,2.30908713085512,4.95569407879646,0.0270340650190387,sdz-26,WBGene00011049,Public name for WBGene00011049. History: N.A.
mlt-11,2.30904314593559,4.95554299178479,3.71781763764159e-10,mlt-11,WBGene00012186,Public name for WBGene00012186. History: Renamed on 2005-03-17
Y41D4B.18,2.28989680902362,4.89021131839092,0.0001509564956032,Y41D4B.18,WBGene00021520,Public name for WBGene00021520. History: N.A.
F23H12.5,2.28391804959571,4.86998743353024,0.0132250012437099,F23H12.5,WBGene00009094,Public name for WBGene00009094. History: N.A.
H42K12.3,2.28225421872525,4.86437421342543,0.0194788837664832,H42K12.3,WBGene00019272,Public name for WBGene00019272. History: N.A.
C03A7.2,2.27790507864004,4.84973218017655,0.0004334744727288,C03A7.2,WBGene00015366,Public name for WBGene00015366. History: N.A.
B0334.6,2.26927093039191,4.82079449433087,0.0112056057504935,B0334.6,WBGene00007146,Public name for WBGene00007146. History: N.A.
H14E04.3,2.269149060787,4.82038728179464,0.0012226044128579,H14E04.3,WBGene00019200,Public name for WBGene00019200. History: N.A.
F53B2.8,2.26675392492612,4.8123912025005,6.76378233950153e-05,F53B2.8,WBGene00009957,Public name for WBGene00009957. History: N.A.
