WB.ID,gene.name,Input,Suggested Match,History
WBGene00000601,col-12,WBGene00000601,WBGene00000601,History: N.A.
WBGene00000602,col-13,WBGene00000602,WBGene00000602,History: N.A.
WBGene00000673,col-98,WBGene00000673,WBGene00000673,History: N.A.
WBGene00000772,cpb-3,WBGene00000772,WBGene00000772,History: N.A.
WBGene00000773,cpf-1,WBGene00000773,WBGene00000773,History: N.A.
WBGene00000774,cpf-2,WBGene00000774,WBGene00000774,History: N.A.
WBGene00000804,csc-1,WBGene00000804,WBGene00000804,History: N.A.
WBGene00000833,cts-1,WBGene00000833,WBGene00000833,History: N.A.
WBGene00000866,cyb-2.1,WBGene00000866,WBGene00000866,History: N.A.
WBGene00000867,cyb-2.2,WBGene00000867,WBGene00000867,History: N.A.
WBGene00000871,cye-1,WBGene00000871,WBGene00000871,History: Renamed on 2015-03-05
WBGene00000898,daf-2,WBGene00000898,WBGene00000898,History: N.A.
WBGene00000933,dap-3,WBGene00000933,WBGene00000933,History: Renamed on 2018-06-07
WBGene00000935,daz-1,WBGene00000935,WBGene00000935,History: N.A.
WBGene00000974,dhs-11,WBGene00000974,WBGene00000974,History: N.A.
WBGene00001005,dlc-1,WBGene00001005,WBGene00001005,History: N.A.
WBGene00001019,dnj-1,WBGene00001019,WBGene00001019,History: N.A.
WBGene00001023,dnj-5,WBGene00001023,WBGene00001023,History: N.A.
WBGene00001031,dnj-13,WBGene00001031,WBGene00001031,History: N.A.
WBGene00001034,dnj-16,WBGene00001034,WBGene00001034,History: N.A.
WBGene00001048,dnj-30,WBGene00001048,WBGene00001048,History: N.A.
WBGene00001085,dpy-26,WBGene00001085,WBGene00001085,History: N.A.
WBGene00001092,dro-1,WBGene00001092,WBGene00001092,History: N.A.
WBGene00001110,duo-1,WBGene00001110,WBGene00001110,History: N.A.
WBGene00001137,eat-6,WBGene00001137,WBGene00001137,History: N.A.
WBGene00001155,ech-6,WBGene00001155,WBGene00001155,History: N.A.
WBGene00001215,ego-2,WBGene00001215,WBGene00001215,History: N.A.
WBGene00001236,elc-1,WBGene00001236,WBGene00001236,History: N.A.
WBGene00001241,elo-3,WBGene00001241,WBGene00001241,History: N.A.
WBGene00001311,end-3,WBGene00001311,WBGene00001311,History: N.A.
WBGene00001320,ent-1,WBGene00001320,WBGene00001320,History: N.A.
WBGene00001395,fat-3,WBGene00001395,WBGene00001395,History: N.A.
WBGene00001401,fbf-1,WBGene00001401,WBGene00001401,History: N.A.
WBGene00001402,fbf-2,WBGene00001402,WBGene00001402,History: N.A.
WBGene00001404,fbp-1,WBGene00001404,WBGene00001404,History: N.A.
WBGene00001480,fmo-5,WBGene00001480,WBGene00001480,History: N.A.
WBGene00001481,fog-1,WBGene00001481,WBGene00001481,History: N.A.
WBGene00001496,frm-10,WBGene00001496,WBGene00001496,History: N.A.
WBGene00001503,fum-1,WBGene00001503,WBGene00001503,History: N.A.
WBGene00001526,gck-1,WBGene00001526,WBGene00001526,History: N.A.
WBGene00001527,gcs-1,WBGene00001527,WBGene00001527,History: N.A.
WBGene00001562,lin-66,WBGene00001562,WBGene00001562,History: N.A.
WBGene00001566,acdh-13,WBGene00001566,WBGene00001566,History: Renamed on 2008-04-17
WBGene00001597,gld-3,WBGene00001597,WBGene00001597,History: N.A.
WBGene00001609,glp-1,WBGene00001609,WBGene00001609,History: N.A.
WBGene00001629,gly-4,WBGene00001629,WBGene00001629,History: N.A.
WBGene00001630,gly-5,WBGene00001630,WBGene00001630,History: N.A.
WBGene00001639,gly-14,WBGene00001639,WBGene00001639,History: N.A.
WBGene00001653,gon-4,WBGene00001653,WBGene00001653,History: N.A.
WBGene00001673,gpa-11,WBGene00001673,WBGene00001673,History: N.A.
WBGene00001678,gpa-16,WBGene00001678,WBGene00001678,History: N.A.
WBGene00001743,grp-1,WBGene00001743,WBGene00001743,History: N.A.
WBGene00001745,gsa-1,WBGene00001745,WBGene00001745,History: N.A.
WBGene00001748,gsp-2,WBGene00001748,WBGene00001748,History: N.A.
WBGene00001753,gst-5,WBGene00001753,WBGene00001753,History: N.A.
WBGene00001793,gsy-1,WBGene00001793,WBGene00001793,History: N.A.
WBGene00001819,haf-9,WBGene00001819,WBGene00001819,History: N.A.
WBGene00001832,hcp-4,WBGene00001832,WBGene00001832,History: Renamed on 2015-03-05
WBGene00001867,him-8,WBGene00001867,WBGene00001867,History: N.A.
WBGene00001874,him-17,WBGene00001874,WBGene00001874,History: N.A.
WBGene00001973,hmg-3,WBGene00001973,WBGene00001973,History: N.A.
WBGene00001974,hmg-4,WBGene00001974,WBGene00001974,History: N.A.
WBGene00001977,hmg-12,WBGene00001977,WBGene00001977,History: N.A.
WBGene00001985,hop-1,WBGene00001985,WBGene00001985,History: N.A.
WBGene00002043,hyl-1,WBGene00002043,WBGene00002043,History: N.A.
WBGene00002059,ife-1,WBGene00002059,WBGene00002059,History: N.A.
WBGene00002070,ile-1,WBGene00002070,WBGene00002070,History: N.A.
WBGene00002076,imb-2,WBGene00002076,WBGene00002076,History: N.A.
WBGene00002093,ins-10,WBGene00002093,WBGene00002093,History: N.A.
WBGene00002144,inx-22,WBGene00002144,WBGene00002144,History: N.A.
WBGene00002176,jip-1,WBGene00002176,WBGene00002176,History: N.A.
WBGene00002226,klp-16,WBGene00002226,WBGene00002226,History: N.A.
WBGene00002227,klp-17,WBGene00002227,WBGene00002227,"History: Split into cisd-1(WBGene00044026). History of WBGene00002227: Split into ""WBGene00044026"" on 2004-12-14"
WBGene00002228,klp-18,WBGene00002228,WBGene00002228,History: N.A.
WBGene00002244,laf-1,WBGene00002244,WBGene00002244,History: N.A.
WBGene00002250,lap-2,WBGene00002250,WBGene00002250,History: N.A.
WBGene00002276,lem-3,WBGene00002276,WBGene00002276,History: N.A.
WBGene00002344,let-70,WBGene00002344,WBGene00002344,History: N.A.
WBGene00002632,let-413,WBGene00002632,WBGene00002632,History: N.A.
WBGene00002717,let-526,WBGene00002717,WBGene00002717,History: Renamed on 2008-02-07; Renamed on 2008-02-07; Renamed on 2011-02-11; Renamed on 2014-09-04; Renamed on 2014-09-04
WBGene00002783,let-607,WBGene00002783,WBGene00002783,History: N.A.
WBGene00002981,lgg-2,WBGene00002981,WBGene00002981,History: Renamed on 2008-02-29
WBGene00002985,lig-1,WBGene00002985,WBGene00002985,History: N.A.
WBGene00003014,lin-28,WBGene00003014,WBGene00003014,History: N.A.
WBGene00003035,lin-52,WBGene00003035,WBGene00003035,History: N.A.
WBGene00003036,lin-53,WBGene00003036,WBGene00003036,History: N.A.
WBGene00003038,lin-56,WBGene00003038,WBGene00003038,History: N.A.
WBGene00003076,lsm-1,WBGene00003076,WBGene00003076,History: N.A.
WBGene00003079,lsm-5,WBGene00003079,WBGene00003079,History: N.A.
WBGene00003082,lsm-8,WBGene00003082,WBGene00003082,History: N.A.
WBGene00003216,memi-1,WBGene00003216,WBGene00003216,History: Renamed on 2016-10-14
WBGene00003228,mex-1,WBGene00003228,WBGene00003228,History: N.A.
WBGene00003231,mex-6,WBGene00003231,WBGene00003231,History: N.A.
WBGene00003385,moc-2,WBGene00003385,WBGene00003385,History: N.A.
WBGene00003395,mom-2,WBGene00003395,WBGene00003395,History: N.A.
WBGene00003401,mpk-1,WBGene00003401,WBGene00003401,History: N.A.
WBGene00003421,msh-5,WBGene00003421,WBGene00003421,History: N.A.
WBGene00003507,mut-14,WBGene00003507,WBGene00003507,History: N.A.
WBGene00003589,nex-2,WBGene00003589,WBGene00003589,History: N.A.
WBGene00003592,nfi-1,WBGene00003592,WBGene00003592,History: N.A.
WBGene00003594,nft-1,WBGene00003594,WBGene00003594,History: N.A.
WBGene00003656,nhr-66,WBGene00003656,WBGene00003656,History: N.A.
WBGene00003783,nos-1,WBGene00003783,WBGene00003783,History: N.A.
WBGene00003789,npp-3,WBGene00003789,WBGene00003789,History: N.A.
WBGene00003797,npp-11,WBGene00003797,WBGene00003797,History: N.A.
WBGene00003799,npp-13,WBGene00003799,WBGene00003799,History: N.A.
WBGene00003825,ntl-2,WBGene00003825,WBGene00003825,History: N.A.
WBGene00003827,ntl-4,WBGene00003827,WBGene00003827,History: N.A.
WBGene00003829,nud-1,WBGene00003829,WBGene00003829,History: N.A.
WBGene00003835,nxf-2,WBGene00003835,WBGene00003835,History: N.A.
WBGene00003864,oma-1,WBGene00003864,WBGene00003864,History: N.A.
WBGene00003905,pad-1,WBGene00003905,WBGene00003905,History: N.A.
WBGene00003918,par-3,WBGene00003918,WBGene00003918,History: N.A.
WBGene00003925,pas-4,WBGene00003925,WBGene00003925,History: N.A.
WBGene00003927,pas-6,WBGene00003927,WBGene00003927,History: N.A.
WBGene00003951,pbs-5,WBGene00003951,WBGene00003951,History: N.A.
WBGene00003955,pcn-1,WBGene00003955,WBGene00003955,History: N.A.
WBGene00003960,pcs-1,WBGene00003960,WBGene00003960,History: N.A.
WBGene00003961,pct-1,WBGene00003961,WBGene00003961,History: N.A.
WBGene00003982,pes-9,WBGene00003982,WBGene00003982,History: N.A.
WBGene00004027,pie-1,WBGene00004027,WBGene00004027,History: N.A.
WBGene00004037,plc-2,WBGene00004037,WBGene00004037,History: N.A.
WBGene00004040,pld-1,WBGene00004040,WBGene00004040,History: N.A.
WBGene00004043,plk-2,WBGene00004043,WBGene00004043,History: N.A.
WBGene00004085,pph-4.1,WBGene00004085,WBGene00004085,History: N.A.
WBGene00004087,ppk-1,WBGene00004087,WBGene00004087,History: N.A.
WBGene00004088,ppk-2,WBGene00004088,WBGene00004088,History: N.A.
WBGene00004094,ppw-2,WBGene00004094,WBGene00004094,History: Renamed on 2011-10-14
WBGene00004105,szy-20,WBGene00004105,WBGene00004105,History: Renamed on 2008-10-08
WBGene00004110,pqn-20,WBGene00004110,WBGene00004110,History: N.A.
WBGene00004129,pqn-42,WBGene00004129,WBGene00004129,History: N.A.
WBGene00004132,ifet-1,WBGene00004132,WBGene00004132,History: Renamed on 2011-08-12; Renamed on 2011-08-12
WBGene00004140,ebax-1,WBGene00004140,WBGene00004140,History: Renamed on 2013-07-10
WBGene00004164,pqn-83,WBGene00004164,WBGene00004164,History: N.A.
WBGene00004178,prg-1,WBGene00004178,WBGene00004178,History: N.A.
WBGene00004187,prp-8,WBGene00004187,WBGene00004187,History: N.A.
WBGene00004217,ptr-2,WBGene00004217,WBGene00004217,History: Renamed on 2015-03-05
WBGene00004249,pvf-1,WBGene00004249,WBGene00004249,History: N.A.
WBGene00004268,rab-5,WBGene00004268,WBGene00004268,History: N.A.
WBGene00004271,rab-7,WBGene00004271,WBGene00004271,History: N.A.
WBGene00004274,rab-11.1,WBGene00004274,WBGene00004274,History: N.A.
WBGene00004297,rad-51,WBGene00004297,WBGene00004297,History: N.A.
WBGene00004312,rba-1,WBGene00004312,WBGene00004312,History: N.A.
WBGene00004326,rde-4,WBGene00004326,WBGene00004326,History: N.A.
WBGene00004338,rfc-2,WBGene00004338,WBGene00004338,History: N.A.
WBGene00004383,rnh-2,WBGene00004383,WBGene00004383,History: N.A.
WBGene00004385,rnp-2,WBGene00004385,WBGene00004385,History: N.A.
WBGene00004412,rpl-1,WBGene00004412,WBGene00004412,History: Renamed on 2004-07-05
WBGene00004414,rpl-3,WBGene00004414,WBGene00004414,History: N.A.
WBGene00004417,rpl-6,WBGene00004417,WBGene00004417,History: N.A.
WBGene00004418,rpl-7,WBGene00004418,WBGene00004418,History: N.A.
WBGene00004423,rpl-11.2,WBGene00004423,WBGene00004423,History: N.A.
WBGene00004431,rpl-19,WBGene00004431,WBGene00004431,History: N.A.
WBGene00004432,rpl-20,WBGene00004432,WBGene00004432,History: N.A.
WBGene00004433,rpl-21,WBGene00004433,WBGene00004433,History: N.A.
WBGene00004436,rpl-24.1,WBGene00004436,WBGene00004436,History: N.A.
WBGene00004447,rpl-33,WBGene00004447,WBGene00004447,History: N.A.
WBGene00004448,rpl-34,WBGene00004448,WBGene00004448,History: N.A.
WBGene00004454,rpl-36.A,WBGene00004454,WBGene00004454,History: Renamed on 2015-10-02
WBGene00004456,rpl-43,WBGene00004456,WBGene00004456,History: N.A.
WBGene00004461,rpn-5,WBGene00004461,WBGene00004461,History: N.A.
WBGene00004464,rpn-8,WBGene00004464,WBGene00004464,History: N.A.
WBGene00004470,rps-1,WBGene00004470,WBGene00004470,History: N.A.
WBGene00004478,rps-9,WBGene00004478,WBGene00004478,History: N.A.
WBGene00004479,rps-10,WBGene00004479,WBGene00004479,History: N.A.
WBGene00004482,rps-13,WBGene00004482,WBGene00004482,History: N.A.
WBGene00004486,rps-17,WBGene00004486,WBGene00004486,History: N.A.
WBGene00004492,rps-23,WBGene00004492,WBGene00004492,History: N.A.
WBGene00004498,rps-29,WBGene00004498,WBGene00004498,History: N.A.
WBGene00004702,rsp-5,WBGene00004702,WBGene00004702,History: N.A.
WBGene00004703,rsp-6,WBGene00004703,WBGene00004703,History: N.A.
WBGene00004732,sax-7,WBGene00004732,WBGene00004732,History: N.A.
WBGene00004737,scc-1,WBGene00004737,WBGene00004737,History: N.A.
WBGene00004756,sec-24.2,WBGene00004756,WBGene00004756,History: N.A.
WBGene00004782,set-2,WBGene00004782,WBGene00004782,History: N.A.
WBGene00004873,smc-3,WBGene00004873,WBGene00004873,History: N.A.
WBGene00004887,smn-1,WBGene00004887,WBGene00004887,History: N.A.
WBGene00004916,snr-3,WBGene00004916,WBGene00004916,History: N.A.
WBGene00004930,sod-1,WBGene00004930,WBGene00004930,History: N.A.
WBGene00004978,spg-7,WBGene00004978,WBGene00004978,History: Renamed on 2005-03-17; Renamed on 2015-03-05
WBGene00004980,spk-1,WBGene00004980,WBGene00004980,History: N.A.
WBGene00004986,spp-1,WBGene00004986,WBGene00004986,History: N.A.
WBGene00005014,spt-4,WBGene00005014,WBGene00005014,History: N.A.
WBGene00005021,sqv-3,WBGene00005021,WBGene00005021,History: Renamed on 2019-09-11
WBGene00005027,sra-1,WBGene00005027,WBGene00005027,History: N.A.
WBGene00005153,srf-3,WBGene00005153,WBGene00005153,History: N.A.
WBGene00005344,srh-127,WBGene00005344,WBGene00005344,History: N.A.
WBGene00005751,srw-4,WBGene00005751,WBGene00005751,History: N.A.
WBGene00005757,srw-10,WBGene00005757,WBGene00005757,History: N.A.
WBGene00006113,str-48,WBGene00006113,WBGene00006113,History: N.A.
WBGene00006121,str-56,WBGene00006121,WBGene00006121,History: N.A.
WBGene00006122,str-57,WBGene00006122,WBGene00006122,History: N.A.
WBGene00006256,str-225,WBGene00006256,WBGene00006256,History: N.A.
WBGene00006307,suf-1,WBGene00006307,WBGene00006307,History: N.A.
WBGene00006311,sun-1,WBGene00006311,WBGene00006311,History: N.A.
WBGene00006373,syx-5,WBGene00006373,WBGene00006373,History: Renamed on 2010-04-16
WBGene00006374,syx-4,WBGene00006374,WBGene00006374,History: Renamed on 2010-04-16
WBGene00006375,syp-1,WBGene00006375,WBGene00006375,History: N.A.
WBGene00006379,sys-1,WBGene00006379,WBGene00006379,History: N.A.
WBGene00006437,mrck-1,WBGene00006437,WBGene00006437,History: Renamed on 2008-07-18
WBGene00006448,glod-4,WBGene00006448,WBGene00006448,History: Renamed on 2007-07-20
WBGene00006463,nduf-2.2,WBGene00006463,WBGene00006463,History: Renamed on 2008-02-26
WBGene00006490,kdin-1,WBGene00006490,WBGene00006490,History: Renamed on 2012-12-21
WBGene00006499,tag-153,WBGene00006499,WBGene00006499,History: N.A.
WBGene00006510,mtrr-1,WBGene00006510,WBGene00006510,History: Renamed on 2011-04-20
WBGene00006542,tbp-1,WBGene00006542,WBGene00006542,History: N.A.
WBGene00006571,tim-1,WBGene00006571,WBGene00006571,History: N.A.
WBGene00006604,tra-1,WBGene00006604,WBGene00006604,History: N.A.
WBGene00006626,tsn-1,WBGene00006626,WBGene00006626,History: N.A.
WBGene00006647,tsr-1,WBGene00006647,WBGene00006647,History: N.A.
WBGene00006700,uba-2,WBGene00006700,WBGene00006700,History: N.A.
WBGene00006709,ubc-14,WBGene00006709,WBGene00006709,History: N.A.
WBGene00006714,ubc-19,WBGene00006714,WBGene00006714,History: N.A.
WBGene00006722,ubh-2,WBGene00006722,WBGene00006722,History: N.A.
WBGene00006723,ubh-3,WBGene00006723,WBGene00006723,History: N.A.
WBGene00006725,ubl-1,WBGene00006725,WBGene00006725,History: N.A.
WBGene00006728,ubq-2,WBGene00006728,WBGene00006728,History: N.A.
WBGene00006736,ulp-1,WBGene00006736,WBGene00006736,History: N.A.
WBGene00006751,unc-11,WBGene00006751,WBGene00006751,History: Renamed on 2015-03-05
WBGene00006755,unc-16,WBGene00006755,WBGene00006755,History: N.A.
WBGene00006785,unc-50,WBGene00006785,WBGene00006785,History: N.A.
WBGene00006836,unc-112,WBGene00006836,WBGene00006836,History: N.A.
WBGene00006843,unc-119,WBGene00006843,WBGene00006843,History: N.A.
WBGene00006910,vha-1,WBGene00006910,WBGene00006910,History: Renamed on 2005-11-29; Renamed on 2006-01-12
WBGene00006911,vha-2,WBGene00006911,WBGene00006911,History: N.A.
WBGene00006913,vha-4,WBGene00006913,WBGene00006913,History: N.A.
WBGene00006916,vha-7,WBGene00006916,WBGene00006916,History: N.A.
WBGene00006919,vha-10,WBGene00006919,WBGene00006919,History: N.A.
WBGene00006933,vps-35,WBGene00006933,WBGene00006933,History: N.A.
WBGene00006963,xpa-1,WBGene00006963,WBGene00006963,History: Renamed on 2008-03-07
WBGene00006964,xrn-2,WBGene00006964,WBGene00006964,History: N.A.
WBGene00006976,zhp-3,WBGene00006976,WBGene00006976,History: N.A.
WBGene00006977,zif-1,WBGene00006977,WBGene00006977,History: N.A.
WBGene00006996,zyg-11,WBGene00006996,WBGene00006996,History: N.A.
WBGene00007048,nfx-1,WBGene00007048,WBGene00007048,History: Renamed on 2011-09-23
WBGene00007050,utp-20,WBGene00007050,WBGene00007050,History: Renamed on 2016-02-19
WBGene00007091,eri-12,WBGene00007091,WBGene00007091,History: N.A.
WBGene00007092,B0001.7,WBGene00007092,WBGene00007092,History: N.A.
WBGene00007114,mttu-1,WBGene00007114,WBGene00007114,History: N.A.
WBGene00007122,B0250.5,WBGene00007122,WBGene00007122,History: N.A.
WBGene00007123,srbc-79,WBGene00007123,WBGene00007123,History: N.A.
WBGene00007124,B0250.7,WBGene00007124,WBGene00007124,History: N.A.
WBGene00007150,acly-2,WBGene00007150,WBGene00007150,History: N.A.
WBGene00007167,rbg-3,WBGene00007167,WBGene00007167,History: Renamed on 2008-06-23
WBGene00007171,B0393.6,WBGene00007171,WBGene00007171,History: N.A.
WBGene00007185,nlp-36,WBGene00007185,WBGene00007185,History: N.A.
WBGene00007258,hasp-1,WBGene00007258,WBGene00007258,History: N.A.
WBGene00007270,rei-1,WBGene00007270,WBGene00007270,History: N.A.
WBGene00007278,lab-1,WBGene00007278,WBGene00007278,History: N.A.
WBGene00007299,C04F12.5,WBGene00007299,WBGene00007299,History: N.A.
WBGene00007330,C05C10.3,WBGene00007330,WBGene00007330,History: N.A.
WBGene00007332,C05C10.5,WBGene00007332,WBGene00007332,History: N.A.
WBGene00007333,ufd-3,WBGene00007333,WBGene00007333,History: N.A.
WBGene00007355,rpb-6,WBGene00007355,WBGene00007355,History: N.A.
WBGene00007445,C08F8.3,WBGene00007445,WBGene00007445,History: N.A.
WBGene00007463,vgln-1,WBGene00007463,WBGene00007463,History: N.A.
WBGene00007505,pezo-1,WBGene00007505,WBGene00007505,History: N.A.
WBGene00007555,dohh-1,WBGene00007555,WBGene00007555,History: N.A.
WBGene00007580,C14B1.9,WBGene00007580,WBGene00007580,History: N.A.
WBGene00007615,set-31,WBGene00007615,WBGene00007615,History: Renamed on 2007-05-03
WBGene00007631,wht-3,WBGene00007631,WBGene00007631,History: N.A.
WBGene00007640,pcmd-1,WBGene00007640,WBGene00007640,History: N.A.
WBGene00007644,C17E4.4,WBGene00007644,WBGene00007644,History: N.A.
WBGene00007680,maa-1,WBGene00007680,WBGene00007680,History: N.A.
WBGene00007681,C18D11.3,WBGene00007681,WBGene00007681,History: N.A.
WBGene00007685,C18E9.5,WBGene00007685,WBGene00007685,History: N.A.
WBGene00007701,srd-74,WBGene00007701,WBGene00007701,History: N.A.
WBGene00007762,C27B7.5,WBGene00007762,WBGene00007762,History: N.A.
WBGene00007784,ruvb-1,WBGene00007784,WBGene00007784,History: N.A.
WBGene00007788,C28A5.1,WBGene00007788,WBGene00007788,History: N.A.
WBGene00007797,C29A12.1,WBGene00007797,WBGene00007797,History: N.A.
WBGene00007917,C34C6.4,WBGene00007917,WBGene00007917,History: N.A.
WBGene00007921,C34C12.2,WBGene00007921,WBGene00007921,History: N.A.
WBGene00007967,cyp-25A4,WBGene00007967,WBGene00007967,History: N.A.
WBGene00007969,acs-19,WBGene00007969,WBGene00007969,History: N.A.
WBGene00007971,rpb-3,WBGene00007971,WBGene00007971,"History: Split into C36B1.14(WBGene00044614), B0252.8(WBGene00044615). History of WBGene00007971: Split into ""WBGene00044615"" on 2005-08-22"
WBGene00007977,gska-3,WBGene00007977,WBGene00007977,History: Renamed on 2021-12-09
WBGene00007979,imp-1,WBGene00007979,WBGene00007979,History: N.A.
WBGene00008061,mina-1,WBGene00008061,WBGene00008061,"History: Split into tspo-1(WBGene00077771). History of WBGene00008061: Split into ""WBGene00077771"" on 2008-06-10"
WBGene00008062,set-32,WBGene00008062,WBGene00008062,History: Renamed on 2007-05-03
WBGene00008079,C44B9.2,WBGene00008079,WBGene00008079,History: N.A.
WBGene00008080,C44B9.3,WBGene00008080,WBGene00008080,History: N.A.
WBGene00008081,athp-1,WBGene00008081,WBGene00008081,History: N.A.
WBGene00008082,com-1,WBGene00008082,WBGene00008082,"History: Split into fbxb-87(WBGene00043996). History of WBGene00008082: Split into ""WBGene00043996"" on 2004-11-08"
WBGene00008140,xpf-1,WBGene00008140,WBGene00008140,History: Renamed on 2013-10-11; Renamed on 2015-07-01
WBGene00008145,set-5,WBGene00008145,WBGene00008145,History: N.A.
WBGene00008173,C48B4.10,WBGene00008173,WBGene00008173,History: N.A.
WBGene00008183,rin-1,WBGene00008183,WBGene00008183,History: Renamed on 2012-09-25
WBGene00008348,C56G7.3,WBGene00008348,WBGene00008348,History: N.A.
WBGene00008420,D2030.11,WBGene00008420,WBGene00008420,History: N.A.
WBGene00008423,D2045.5,WBGene00008423,WBGene00008423,History: N.A.
WBGene00008426,D2045.9,WBGene00008426,WBGene00008426,History: N.A.
WBGene00008441,usp-50,WBGene00008441,WBGene00008441,History: N.A.
WBGene00008504,pigq-1,WBGene00008504,WBGene00008504,History: N.A.
WBGene00008505,F01G4.6,WBGene00008505,WBGene00008505,History: N.A.
WBGene00008514,mrpl-44,WBGene00008514,WBGene00008514,"History: Split into mccc-2(WBGene00303021). History of WBGene00008514: Split into ""WBGene00303021"" on 2018-03-06"
WBGene00008531,F02E9.7,WBGene00008531,WBGene00008531,History: N.A.
WBGene00008541,F07A5.2,WBGene00008541,WBGene00008541,History: N.A.
WBGene00008542,scav-6,WBGene00008542,WBGene00008542,History: N.A.
WBGene00008568,F08A8.5,WBGene00008568,WBGene00008568,History: Renamed on 2016-09-16
WBGene00008569,fbxa-101,WBGene00008569,WBGene00008569,History: N.A.
WBGene00008620,F09C6.10,WBGene00008620,WBGene00008620,History: N.A.
WBGene00008624,crld-1,WBGene00008624,WBGene00008624,History: N.A.
WBGene00008684,mig-32,WBGene00008684,WBGene00008684,History: N.A.
WBGene00008686,F11A10.5,WBGene00008686,WBGene00008686,History: N.A.
WBGene00008740,F13D12.5,WBGene00008740,WBGene00008740,History: N.A.
WBGene00008781,rpoa-2,WBGene00008781,WBGene00008781,History: N.A.
WBGene00008800,F14E5.2,WBGene00008800,WBGene00008800,History: N.A.
WBGene00008838,F15A4.2,WBGene00008838,WBGene00008838,History: N.A.
WBGene00008860,romo-1,WBGene00008860,WBGene00008860,History: Renamed on 2017-02-02
WBGene00009054,F22D6.9,WBGene00009054,WBGene00009054,History: N.A.
WBGene00009146,F26C11.1,WBGene00009146,WBGene00009146,"History: Split into C08H9.16(WBGene00086566). History of WBGene00009146: Split into ""WBGene00086566"" on 2008-07-18"
WBGene00009148,F26D2.3,WBGene00009148,WBGene00009148,History: N.A.
WBGene00009173,prom-1,WBGene00009173,WBGene00009173,History: N.A.
WBGene00009174,F26H9.2,WBGene00009174,WBGene00009174,History: N.A.
WBGene00009176,nmat-2,WBGene00009176,WBGene00009176,History: N.A.
WBGene00009182,F26H11.4,WBGene00009182,WBGene00009182,"History: Split into dsb-2(WBGene00194892). History of WBGene00009182: Split into ""WBGene00194892"" on 2009-12-08"
WBGene00009203,aptf-3,WBGene00009203,WBGene00009203,History: N.A.
WBGene00009211,wdr-46,WBGene00009211,WBGene00009211,History: N.A.
WBGene00009217,spe-45,WBGene00009217,WBGene00009217,History: Renamed on 2015-10-02
WBGene00009219,dpm-3,WBGene00009219,WBGene00009219,History: N.A.
WBGene00009222,fbxa-95,WBGene00009222,WBGene00009222,History: N.A.
WBGene00009225,fbxa-94,WBGene00009225,WBGene00009225,History: N.A.
WBGene00009247,bath-45,WBGene00009247,WBGene00009247,History: N.A.
WBGene00009267,usp-48,WBGene00009267,WBGene00009267,History: N.A.
WBGene00009390,F35C5.1,WBGene00009390,WBGene00009390,History: N.A.
WBGene00009459,F36A2.12,WBGene00009459,WBGene00009459,"History: Split into F36A2.14(WBGene00023490). History of WBGene00009459: Split into ""WBGene00023490"" on 2004-08-20"
WBGene00009468,F36D1.9,WBGene00009468,WBGene00009468,History: N.A.
WBGene00009575,F40F8.1,WBGene00009575,WBGene00009575,History: N.A.
WBGene00009583,aagr-3,WBGene00009583,WBGene00009583,History: N.A.
WBGene00009664,idha-1,WBGene00009664,WBGene00009664,History: N.A.
