# Table S1: DESeq2 results of differentially expressed genes in the different states of inheritance (Silencers/non-silencers)
...1,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Input,Suggested Match,History
WBGene00016670,ilys-3,181.4768822,1.024136968,0.316163344,3.239265359,0.00119838,0.050258061,ilys-3,WBGene00016670,Public name for WBGene00016670. History: N.A.
WBGene00017417,F13B6.2,143.5663743,1.023593458,0.320680943,3.191937283,0.00141322,0.053891162,F13B6.2,WBGene00017417,Public name for WBGene00017417. History: N.A.
WBGene00008296,cdr-2,63.22954666,1.02048475,0.306210644,3.332623378,0.000860313,0.040817531,cdr-2,WBGene00008296,Public name for WBGene00008296. History: N.A.
WBGene00010328,F59C6.11,128.2685015,1.018773395,0.245494537,4.149882139,3.33e-05,0.00368232,F59C6.11,WBGene00010328,Public name for WBGene00010328. History: N.A.
WBGene00019060,acox-3,405.4993695,0.994415487,0.191900415,5.181935059,2.2e-07,6.77e-05,acox-3,WBGene00019060,Public name for WBGene00019060. History: Renamed on 2017-01-05. Other name for WBGene00008566(acox-1.3). History: Renamed on 2017-01-05
WBGene00003369,mlc-1,3855.522693,0.991328614,0.129570176,7.650901202,2e-14,3.8e-11,mlc-1,WBGene00003369,Public name for WBGene00003369. History: N.A.
WBGene00020574,T19D7.6,142.5340946,0.983855954,0.290649977,3.385019892,0.000711731,0.035474758,T19D7.6,WBGene00020574,Public name for WBGene00020574. History: N.A.
WBGene00001132,alp-1,76.60734276,0.973727871,0.284248373,3.425623375,0.00061339,0.031564732,alp-1,WBGene00001132,Public name for WBGene00001132. History: N.A.
WBGene00000190,arf-1.1,278.7125552,0.965953146,0.193626591,4.988742199,6.08e-07,0.000152254,arf-1.1,WBGene00000190,Other name for WBGene00000190(warf-1). History: Renamed on 2020-09-10
WBGene00006587,tnt-2,520.5585233,0.958545339,0.168941481,5.673830559,1.4e-08,6.65e-06,tnt-2,WBGene00006587,Public name for WBGene00006587. History: N.A.
WBGene00012910,Y46G5A.20,306.46914,0.958319055,0.206416129,4.642655877,3.44e-06,0.000554692,Y46G5A.20,WBGene00012910,Public name for WBGene00012910. History: N.A.
WBGene00015574,irg-1,205.5394259,0.95745943,0.265268282,3.609400356,0.000306906,0.018849946,irg-1,WBGene00015574,Public name for WBGene00015574. History: N.A.
WBGene00019540,K08D12.6,292.9996509,0.955966344,0.220543183,4.334599377,1.46e-05,0.001829165,K08D12.6,WBGene00019540,Sequence name for WBGene00019540(epic-2). History: N.A.
WBGene00077525,C41G7.8,109.5540263,0.951042307,0.272309615,3.492503591,0.000478515,0.026328128,C41G7.8,WBGene00077525,Public name for WBGene00077525. History: N.A.
WBGene00003148,mbf-1,16573.96069,0.944571374,0.170237335,5.548555921,2.88e-08,1.19e-05,mbf-1,WBGene00003148,Public name for WBGene00003148. History: N.A.
WBGene00009995,F53F4.13,242.5231774,0.940747757,0.230822973,4.075624462,4.59e-05,0.00455086,F53F4.13,WBGene00009995,Public name for WBGene00009995. History: N.A.
WBGene00000715,col-142,1135.685777,0.920958638,0.194552433,4.733729727,2.2e-06,0.000403559,col-142,WBGene00000715,Public name for WBGene00000715. History: N.A.
WBGene00019022,F58A6.1,104.33234,0.912894439,0.312336863,2.922788015,0.003469126,0.097135532,F58A6.1,WBGene00019022,Public name for WBGene00019022. History: N.A.
WBGene00018874,tag-234,269.6384684,0.904034082,0.191353382,4.724421756,2.31e-06,0.000414517,tag-234,WBGene00018874,Public name for WBGene00018874. History: N.A.
WBGene00001671,gpa-9,124.4130615,0.902671658,0.243480198,3.707371953,0.000209421,0.014447031,gpa-9,WBGene00001671,Public name for WBGene00001671. History: N.A.
WBGene00003370,mlc-2,858.8600122,0.900586347,0.160517021,5.61053489,2.02e-08,9.14e-06,mlc-2,WBGene00003370,Public name for WBGene00003370. History: N.A.
WBGene00006983,zig-6,131.9292001,0.89389337,0.286686795,3.118013752,0.001820743,0.063777227,zig-6,WBGene00006983,Public name for WBGene00006983. History: N.A.
WBGene00011305,R186.1,96.2698136,0.890709441,0.273206124,3.260210379,0.001113296,0.047957367,R186.1,WBGene00011305,Sequence name for WBGene00011305(hrg-9). History: N.A.
WBGene00003696,nhr-106,135.8839214,0.887861817,0.261872616,3.390433985,0.000697821,0.035149481,nhr-106,WBGene00003696,Public name for WBGene00003696. History: N.A.
WBGene00004000,pgp-6,179.8146844,0.885474457,0.199904632,4.429484427,9.45e-06,0.001266544,pgp-6,WBGene00004000,Public name for WBGene00004000. History: N.A.
WBGene00014826,R13H4.2,2018.011628,0.882493285,0.140475066,6.282205862,3.34e-10,2.89e-07,R13H4.2,WBGene00014826,Public name for WBGene00014826. History: N.A.
WBGene00007758,C27A7.8,328.9823159,0.874809132,0.177028168,4.941638072,7.75e-07,0.000175596,C27A7.8,WBGene00007758,Public name for WBGene00007758. History: N.A.
WBGene00016722,C46G7.2,84.66911098,0.866650977,0.270998291,3.197994253,0.00138387,0.053122766,C46G7.2,WBGene00016722,Public name for WBGene00016722. History: N.A.
WBGene00044646,B0205.14,96.64735497,0.862309567,0.285369196,3.021733176,0.00251332,0.077232682,B0205.14,WBGene00044646,Public name for WBGene00044646. History: N.A.
WBGene00045461,C25F9.14,361.4699465,0.854317632,0.196892252,4.339010919,1.43e-05,0.001816739,C25F9.14,WBGene00045461,Public name for WBGene00045461. History: N.A.
WBGene00006764,unc-27,553.0963921,0.853979906,0.159184657,5.364712401,8.11e-08,3.22e-05,unc-27,WBGene00006764,Public name for WBGene00006764. History: N.A.
WBGene00018225,nep-14,361.3778255,0.848523985,0.177518775,4.779911208,1.75e-06,0.000327362,nep-14,WBGene00018225,Public name for WBGene00018225. History: N.A.
WBGene00044644,B0205.13,3996.178178,0.848411562,0.138197988,6.139102144,8.3e-10,6.08e-07,B0205.13,WBGene00044644,Public name for WBGene00044644. History: N.A.
WBGene00235332,K04A8.20,148.8562038,0.844669094,0.239379516,3.528577166,0.0004178,0.023851338,K04A8.20,WBGene00235332,Public name for WBGene00235332. History: N.A.
WBGene00016490,C36E6.2,213.7932565,0.840029692,0.204914231,4.099420944,4.14e-05,0.00423983,C36E6.2,WBGene00016490,Public name for WBGene00016490. History: N.A.
WBGene00000728,col-155,268.1033187,0.833833771,0.19350696,4.309063463,1.64e-05,0.002026985,col-155,WBGene00000728,Public name for WBGene00000728. History: N.A.
WBGene00008810,cyp-13A12,114.8165259,0.833577886,0.236958191,3.517826849,0.000435096,0.024509559,cyp-13A12,WBGene00008810,Public name for WBGene00008810. History: N.A.
WBGene00021043,pck-1,201.4999949,0.827812134,0.215658544,3.838531587,0.000123772,0.010246193,pck-1,WBGene00021043,Public name for WBGene00021043. History: N.A.
WBGene00013560,zip-12,245.550433,0.826719765,0.234365811,3.527475964,0.000419542,0.023851338,zip-12,WBGene00013560,"Public name for WBGene00013560. History: Split into Y75B8A.63(WBGene00303096). History of WBGene00013560: Split into ""WBGene00303096"" on 2018-03-02"
WBGene00003934,pat-10,49280.08535,0.824604687,0.141191744,5.840318016,5.21e-09,2.76e-06,pat-10,WBGene00003934,Public name for WBGene00003934. History: Renamed on 2015-03-05
WBGene00006272,str-245,89.00866692,0.823805168,0.2761089,2.983624093,0.002848565,0.083698576,str-245,WBGene00006272,Public name for WBGene00006272. History: N.A.
WBGene00001694,grd-5,297.9574514,0.822970392,0.232792551,3.535209297,0.000407452,0.023652109,grd-5,WBGene00001694,Public name for WBGene00001694. History: N.A.
WBGene00044445,C02F5.14,105.148879,0.813052253,0.252239412,3.223335511,0.00126707,0.051329834,C02F5.14,WBGene00044445,Public name for WBGene00044445. History: N.A.
WBGene00022329,fbxa-79,154.8929751,0.812050551,0.252659867,3.214006881,0.001308965,0.052180161,fbxa-79,WBGene00022329,Public name for WBGene00022329. History: N.A.
WBGene00001452,flp-9,127.1131585,0.811379261,0.250461254,3.239540045,0.001197227,0.050258061,flp-9,WBGene00001452,Public name for WBGene00001452. History: N.A.
WBGene00077593,C49G7.12,2685.713988,0.808435922,0.16290084,4.962748655,6.95e-07,0.000161381,C49G7.12,WBGene00077593,Public name for WBGene00077593. History: N.A.
WBGene00008392,D1086.5,183.8222827,0.797737773,0.242400165,3.29099517,0.000998336,0.04483095,D1086.5,WBGene00008392,Public name for WBGene00008392. History: N.A.
WBGene00009486,F36G9.7,94.75359292,0.795703263,0.261983264,3.03722937,0.002387637,0.076021083,F36G9.7,WBGene00009486,Public name for WBGene00009486. History: N.A.
WBGene00003371,mlc-3,10064.00533,0.793556763,0.13005611,6.101649233,1.05e-09,7.14e-07,mlc-3,WBGene00003371,Public name for WBGene00003371. History: N.A.
WBGene00017678,asp-12,160.7631645,0.792286022,0.241342619,3.282826824,0.001027718,0.045719034,asp-12,WBGene00017678,Public name for WBGene00017678. History: N.A.
WBGene00021262,fbxa-74,407.1206096,0.79224609,0.178682125,4.433829574,9.26e-06,0.001259004,fbxa-74,WBGene00021262,Public name for WBGene00021262. History: N.A.
WBGene00019277,sgcb-1,95.3704715,0.782869671,0.263212899,2.974283079,0.00293674,0.085284453,sgcb-1,WBGene00019277,Public name for WBGene00019277. History: N.A.
WBGene00011474,aldo-1,501.235543,0.773578131,0.154694004,5.000698886,5.71e-07,0.000151058,aldo-1,WBGene00011474,Public name for WBGene00011474. History: N.A.
WBGene00000656,col-80,13667.43039,0.765144904,0.15380576,4.974748039,6.53e-07,0.000159478,col-80,WBGene00000656,Public name for WBGene00000656. History: N.A.
WBGene00003178,mec-17,274.1514523,0.761097019,0.18422576,4.131327875,3.61e-05,0.003781444,mec-17,WBGene00003178,Public name for WBGene00003178. History: Renamed on 2010-11-30
WBGene00023423,F43C1.7,161.8274033,0.760073387,0.241807783,3.143295789,0.001670569,0.06077287,F43C1.7,WBGene00023423,Public name for WBGene00023423. History: N.A.
WBGene00013932,clec-98,974.2653678,0.753808865,0.153631935,4.906589672,9.27e-07,0.000196056,clec-98,WBGene00013932,Public name for WBGene00013932. History: N.A.
WBGene00045379,C45B11.6,157.7348696,0.748589325,0.246661621,3.034883671,0.002406285,0.076359437,C45B11.6,WBGene00045379,Public name for WBGene00045379. History: N.A.
WBGene00020760,T24C4.4,3254.03633,0.745098341,0.143744264,5.18349964,2.18e-07,6.77e-05,T24C4.4,WBGene00020760,Public name for WBGene00020760. History: N.A.
WBGene00006780,unc-44,1433.31716,0.726518589,0.139970965,5.190494951,2.1e-07,6.77e-05,unc-44,WBGene00006780,Public name for WBGene00006780. History: N.A.
WBGene00271640,Y66H1A.9,116.5514221,0.725757218,0.248865195,2.916266448,0.003542478,0.098321847,Y66H1A.9,WBGene00271640,Public name for WBGene00271640. History: N.A.
WBGene00000673,col-98,1627.448823,0.723251158,0.15358117,4.709243702,2.49e-06,0.000438339,col-98,WBGene00000673,Public name for WBGene00000673. History: N.A.
WBGene00012634,Y38H6C.23,956.4122049,0.722439303,0.146376258,4.935495076,7.99e-07,0.000177,Y38H6C.23,WBGene00012634,Public name for WBGene00012634. History: N.A.
WBGene00000693,col-119,58063.82158,0.720473065,0.144419297,4.988758996,6.08e-07,0.000152254,col-119,WBGene00000693,Public name for WBGene00000693. History: N.A.
WBGene00045416,Y37H2A.14,227.5533187,0.716818343,0.223050152,3.213709283,0.001310323,0.052180161,Y37H2A.14,WBGene00045416,Public name for WBGene00045416. History: N.A.
WBGene00016219,pals-24,145.6624478,0.714953581,0.235127335,3.040708053,0.002360226,0.07590996,pals-24,WBGene00016219,Public name for WBGene00016219. History: N.A.
WBGene00000981,dhs-18,3986.073363,0.714737686,0.139021952,5.141185799,2.73e-07,8.12e-05,dhs-18,WBGene00000981,Public name for WBGene00000981. History: N.A.
WBGene00007743,C26C6.9,505.4682338,0.714534693,0.168843937,4.231923917,2.32e-05,0.00268999,C26C6.9,WBGene00007743,Public name for WBGene00007743. History: N.A.
WBGene00000677,col-103,466.6822032,0.712362013,0.191912434,3.711911712,0.0002057,0.014366492,col-103,WBGene00000677,Public name for WBGene00000677. History: N.A.
WBGene00018361,F42G8.10,1452.98541,0.711663522,0.140800549,5.054408701,4.32e-07,0.00011743,F42G8.10,WBGene00018361,Public name for WBGene00018361. History: N.A.
WBGene00000733,col-160,6069.755616,0.710998892,0.151487449,4.693450838,2.69e-06,0.000456679,col-160,WBGene00000733,Public name for WBGene00000733. History: N.A.
WBGene00003773,nlt-1,391.0187957,0.710706076,0.217735921,3.264073629,0.001098226,0.047530741,nlt-1,WBGene00003773,Public name for WBGene00003773. History: N.A.
WBGene00022260,Y73C8B.3,561.5918153,0.708782522,0.156954078,4.515859218,6.31e-06,0.000909601,Y73C8B.3,WBGene00022260,Public name for WBGene00022260. History: N.A.
WBGene00016191,C28G1.6,415.5015911,0.707966069,0.202797213,3.491004929,0.000481207,0.026328128,C28G1.6,WBGene00016191,Public name for WBGene00016191. History: N.A.
WBGene00009626,F42A8.1,154.9086326,0.706586202,0.233436979,3.02688205,0.002470904,0.077232682,F42A8.1,WBGene00009626,Public name for WBGene00009626. History: N.A.
WBGene00008273,C53B4.3,226.235312,0.70481938,0.213582094,3.299992839,0.000966873,0.044041294,C53B4.3,WBGene00008273,Public name for WBGene00008273. History: N.A.
WBGene00007973,C36B1.6,381.267894,0.701054765,0.18721292,3.74469222,0.000180615,0.013125613,C36B1.6,WBGene00007973,Public name for WBGene00007973. History: N.A.
WBGene00044488,Y54G2A.45,142.2565948,0.698153867,0.236553008,2.951363305,0.003163745,0.089949691,Y54G2A.45,WBGene00044488,Public name for WBGene00044488. History: N.A.
WBGene00009433,F35E12.9,498.4211488,0.695367806,0.20030192,3.471598303,0.00051737,0.027515984,F35E12.9,WBGene00009433,Public name for WBGene00009433. History: N.A.
WBGene00012889,icap-1,134.047619,0.695139302,0.230573513,3.014827215,0.002571257,0.077709097,icap-1,WBGene00012889,Public name for WBGene00012889. History: N.A.
WBGene00045245,ttr-34,1619.745359,0.694632946,0.153497582,4.525367346,6.03e-06,0.000883027,ttr-34,WBGene00045245,Public name for WBGene00045245. History: N.A.
WBGene00008375,D1054.8,399.0560963,0.694530574,0.179937682,3.859839516,0.000113462,0.009644229,D1054.8,WBGene00008375,Public name for WBGene00008375. History: N.A.
WBGene00021197,Y17G9A.4,180.8917824,0.693718089,0.210908372,3.289191801,0.001004755,0.044907372,Y17G9A.4,WBGene00021197,"Public name for WBGene00021197. History: Split into Y17G9A.91(WBGene00235375). History of WBGene00021197: Split into ""WBGene00235375"" on 2013-09-27"
WBGene00022326,fbxa-14,540.1803937,0.692889707,0.185948055,3.726254128,0.000194346,0.013705025,fbxa-14,WBGene00022326,Public name for WBGene00022326. History: N.A.
WBGene00044988,W01A8.8,389.9197827,0.69277072,0.192712911,3.594832937,0.0003246,0.019435158,W01A8.8,WBGene00044988,Public name for WBGene00044988. History: N.A.
WBGene00016762,ugt-24,440.6132691,0.69236854,0.183855026,3.765839612,0.00016599,0.012442739,ugt-24,WBGene00016762,Public name for WBGene00016762. History: N.A.
WBGene00003093,lys-4,57394.52965,0.691903588,0.135542272,5.104707023,3.31e-07,9.56e-05,lys-4,WBGene00003093,Public name for WBGene00003093. History: N.A.
WBGene00015052,clec-52,224.2500653,0.689750237,0.199397203,3.459177093,0.000541829,0.028433228,clec-52,WBGene00015052,Public name for WBGene00015052. History: N.A.
WBGene00019599,acds-10,221.185928,0.68827532,0.205114687,3.355563326,0.000792035,0.038470282,acds-10,WBGene00019599,Public name for WBGene00019599. History: N.A.
WBGene00011392,sbt-1,521.6625438,0.687049509,0.196224122,3.50135092,0.000462906,0.025771134,sbt-1,WBGene00011392,Public name for WBGene00011392. History: N.A.
WBGene00010727,K09G1.1,385.832511,0.683947565,0.170963169,4.000555028,6.32e-05,0.006016077,K09G1.1,WBGene00010727,Public name for WBGene00010727. History: N.A.
WBGene00021190,Y14H12A.1,462.4841379,0.680771259,0.187093792,3.638662998,0.000274057,0.017510228,Y14H12A.1,WBGene00021190,Public name for WBGene00021190. History: N.A.
WBGene00010507,K02E2.6,169.9373446,0.67177254,0.222483877,3.019421217,0.002532582,0.077232682,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
WBGene00017082,DC2.5,761.5436187,0.667847702,0.153890165,4.33976857,1.43e-05,0.001816739,DC2.5,WBGene00017082,Public name for WBGene00017082. History: N.A.
WBGene00000751,col-178,32790.8993,0.665808293,0.149869499,4.442587024,8.89e-06,0.001226337,col-178,WBGene00000751,Public name for WBGene00000751. History: N.A.
WBGene00006408,tag-18,7115.607894,0.664965599,0.137172533,4.847658518,1.25e-06,0.000258545,tag-18,WBGene00006408,Public name for WBGene00006408. History: N.A.
WBGene00000282,cah-4,154.3906041,0.662976002,0.22475854,2.949725518,0.003180564,0.090115967,cah-4,WBGene00000282,Public name for WBGene00000282. History: N.A.
WBGene00000713,col-140,78038.95755,0.659273713,0.147338928,4.47453854,7.66e-06,0.001072071,col-140,WBGene00000713,Public name for WBGene00000713. History: N.A.
WBGene00013716,Y106G6H.1,315.6760551,0.654193504,0.208326115,3.14023762,0.001688108,0.06077287,Y106G6H.1,WBGene00013716,Public name for WBGene00013716. History: N.A.
WBGene00019846,gpx-7,274.767078,0.653766636,0.200847782,3.255035385,0.001133782,0.048619857,gpx-7,WBGene00019846,Public name for WBGene00019846. History: N.A.
WBGene00002978,lev-11,10556.70891,0.651041644,0.125165914,5.201429217,1.98e-07,6.77e-05,lev-11,WBGene00002978,Public name for WBGene00002978. History: N.A.
WBGene00007923,C34C12.4,551.8848639,0.651006179,0.163824256,3.973808243,7.07e-05,0.006601702,C34C12.4,WBGene00007923,Public name for WBGene00007923. History: N.A.
WBGene00019320,K02E10.6,218.8034123,0.649815418,0.21515341,3.02024225,0.002525726,0.077232682,K02E10.6,WBGene00019320,Public name for WBGene00019320. History: N.A.
WBGene00015695,ugt-26,3612.380388,0.648746616,0.152230155,4.261617009,2.03e-05,0.002421667,ugt-26,WBGene00015695,Public name for WBGene00015695. History: N.A.
WBGene00019332,K02F3.9,728.0489519,0.6486803,0.156860147,4.135405412,3.54e-05,0.003781444,K02F3.9,WBGene00019332,Public name for WBGene00019332. History: N.A.
WBGene00015476,C05D9.9,424.7060937,0.646622518,0.186976471,3.458309561,0.000543576,0.028433228,C05D9.9,WBGene00015476,Public name for WBGene00015476. History: N.A.
WBGene00000822,csq-1,302.8331557,0.646354231,0.17806756,3.629825839,0.000283613,0.017872041,csq-1,WBGene00000822,Public name for WBGene00000822. History: N.A.
WBGene00000779,cpn-3,15026.11265,0.643173617,0.138898459,4.630530964,3.65e-06,0.000569217,cpn-3,WBGene00000779,Public name for WBGene00000779. History: N.A.
WBGene00017448,F14B8.6,229.8114392,0.633932787,0.20683667,3.064895536,0.00217746,0.071977163,F14B8.6,WBGene00017448,Public name for WBGene00017448. History: N.A.
WBGene00017093,E02C12.8,285.4113741,0.633306363,0.193872854,3.26660669,0.001088448,0.047530741,E02C12.8,WBGene00017093,Public name for WBGene00017093. History: N.A.
