# Supplemental Table S5 - Abundance of 22G-RNAs for loci targeted by alg-3; alg-4 dependent 26G-RNAs
# Reads Wild type = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads Wild type - norm = reads per million, excluding reads considered to be degradation products
# Reads alg-3; alg-4 double mutant = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads alg-3; alg-4 double mutant - norm = reads per million, excluding reads considered to be degradation products
# RATIO is calculated as (alg-3; alg-4) / ((alg-3;alg-4)+Wild type)
Gene,Gene ID,Reads Wild type,Reads wild type - norm,Reads alg-3; alg-4,Reads alg-3; alg-4 - norm,RATIO,Input,Suggested Match,History
F59B2.5,F59B2.5,114.0,45.81511111,31.0,13.6927428,0.230099758,F59B2.5,WBGene00010309,"Sequence name for WBGene00010309(rpn-6.2). History: Split into F59B2.15(WBGene00185006). History of WBGene00010309: Split into ""WBGene00185006"" on 2009-02-27"
Y39E4B.11,Y39E4B.11,61.0,24.51510331,5.0,2.208506904,0.082642535,Y39E4B.11,WBGene00012720,Public name for WBGene00012720. History: N.A.
atp-4,T05H4.12,84.0,33.75850292,19.0,8.392326234,0.199102281,atp-4,WBGene00020275,Public name for WBGene00020275. History: N.A.
ZK616.8,ZK616.8,90.0,36.16982456,21.0,9.275728995,0.204106415,ZK616.8,WBGene00022778,"Public name for WBGene00022778. History: Split into ZK616.65(WBGene00235383). History of WBGene00022778: Split into ""WBGene00235383"" on 2013-10-17"
ZC21.8,ZC21.8,124.0,49.83398051,81.5,35.99866253,0.419405267,ZC21.8,WBGene00022507,Public name for WBGene00022507. History: N.A.
T21C12.4,T21C12.4,53.0,21.3000078,5.0,2.208506904,0.093944978,T21C12.4,WBGene00011900,"Public name for WBGene00011900. History: Split into T21C12.8(WBGene00043998). History of WBGene00011900: Split into ""WBGene00043998"" on 2004-11-08"
trap-4,Y56A3A.21,120.0,48.22643275,27.0,11.92593728,0.198262135,trap-4,WBGene00013238,Public name for WBGene00013238. History: N.A.
nspd-1,ZK484.8,173.8333,69.86133293,15.8333,6.993590471,0.090997299,nspd-1,WBGene00022754,Public name for WBGene00022754. History: N.A.
C09D4.3,C09D4.3,170.0,68.32077972,23.5,10.37998245,0.131891765,C09D4.3,WBGene00015634,Public name for WBGene00015634. History: N.A.
F26F4.2,F26F4.2,88.5,35.56699415,11.5,5.079565878,0.124969146,F26F4.2,WBGene00005012,Public name for WBGene00005012. History: N.A.
ncr-2,F09G8.4,232.0,93.23776998,78.0,34.4527077,0.269814228,ncr-2,WBGene00003562,Public name for WBGene00003562. History: N.A.
let-70,M7.1,118.5,47.62360234,31.0,13.6927428,0.223313095,let-70,WBGene00002344,Public name for WBGene00002344. History: N.A.
rab-1,C39F7.4,144.0,57.8717193,25.0,11.04253452,0.160235857,rab-1,WBGene00004266,Public name for WBGene00004266. History: N.A.
F54C8.7,F54C8.7,137.5,55.25945419,46.5,20.5391142,0.270969685,F54C8.7,WBGene00010040,Public name for WBGene00010040. History: N.A.
T09A5.11,T09A5.11,270.0,108.5094737,154.5,68.24286332,0.386093132,T09A5.11,WBGene00011638,Sequence name for WBGene00011638(ostb-1). History: N.A.
F55C5.1,F55C5.1,126.0,50.63775438,17.0,7.508923472,0.129137618,F55C5.1,WBGene00010091,Sequence name for WBGene00010091(ssp-35). History: N.A.
F53B6.7,F53B6.7,233.0,93.63965692,161.5,71.33477299,0.432398966,F53B6.7,WBGene00009962,Public name for WBGene00009962. History: N.A.
acs-4,F37C12.7,157.0,63.09624951,58.0,25.61868008,0.288775296,acs-4,WBGene00018152,Public name for WBGene00018152. History: N.A.
Y37F4.1,Y37F4.1,118.0,47.42265887,5.0,2.208506904,0.044498389,Y37F4.1,WBGene00021382,Public name for WBGene00021382. History: N.A.
C34D4.2,C34D4.2,146.0,58.67549318,28.0,12.36763866,0.174086338,C34D4.2,WBGene00016398,Public name for WBGene00016398. History: N.A.
F44D12.3,F44D12.3,62.7487,25.217883,7.1663,3.165364605,0.111522284,F44D12.3,WBGene00009680,Sequence name for WBGene00009680(msd-1). History: N.A.
sod-1,C15F1.7,97.0,38.98303314,6.0,2.650208284,0.063656064,sod-1,WBGene00004930,Public name for WBGene00004930. History: N.A.
nspa-1,H12D21.1,88.9313,35.74032799,6.8526,3.026802881,0.078076525,nspa-1,WBGene00010377,Public name for WBGene00010377. History: N.A.
F58A6.5,F58A6.5,168.0,67.51700585,45.0,19.87656213,0.227437357,F58A6.5,WBGene00019024,Public name for WBGene00019024. History: N.A.
C10G11.10,C10G11.10,105.0,42.19812865,23.3333,10.30635083,0.196294696,C10G11.10,WBGene00015690,Public name for WBGene00015690. History: N.A.
clec-123,Y25C1A.1,154.5,62.09153216,13.0,5.742117949,0.084649992,clec-123,WBGene00021288,Public name for WBGene00021288. History: N.A.
F16C3.4,F16C3.4,111.0,44.60945029,5.0,2.208506904,0.047172218,F16C3.4,WBGene00044243,Public name for WBGene00044243. History: N.A.
F11A10.6,F11A10.6,125.5,50.43681091,45.0,19.87656213,0.282685374,F11A10.6,WBGene00008687,Public name for WBGene00008687. History: N.A.
C14A4.11,C14A4.11,83.0,33.35661598,24.0,10.60083314,0.241161245,C14A4.11,WBGene00007561,Sequence name for WBGene00007561(ccm-3). History: N.A.
hil-4,C18G1.5,120.0001,48.22647294,53.0,23.41017318,0.326790469,hil-4,WBGene00001855,Public name for WBGene00001855. History: Renamed on 2010-11-12
F27D4.1,F27D4.1,78.0,31.34718129,32.0,14.13444418,0.310772626,F27D4.1,WBGene00009187,Public name for WBGene00009187. History: N.A.
ppfr-1,F16A11.3,163.0,65.50757115,99.0,43.72843669,0.40031156,ppfr-1,WBGene00008878,Public name for WBGene00008878. History: N.A.
W03C9.1,W03C9.1,243.0,97.65852631,145.0,64.0467002,0.396070687,W03C9.1,WBGene00012219,Public name for WBGene00012219. History: N.A.
kin-31,B0523.1,117.0,47.02077193,15.5,6.846371401,0.127097354,kin-31,WBGene00002212,Public name for WBGene00002212. History: N.A.
F57B10.3,F57B10.3,88.0,35.36605068,26.0,11.4842359,0.245126268,F57B10.3,WBGene00019001,Sequence name for WBGene00019001(ipgm-1). History: N.A.
R13H9.6,R13H9.6,110.9166,44.57593292,48.5,21.42251696,0.324591214,R13H9.6,WBGene00020072,Public name for WBGene00020072. History: N.A.
Y57G11C.8,Y57G11C.8,50.5,20.29529045,12.0,5.300416569,0.207082249,Y57G11C.8,WBGene00013306,Public name for WBGene00013306. History: N.A.
ima-3,F32E10.4,182.0,73.143423,89.0,39.31142288,0.349575179,ima-3,WBGene00002074,Public name for WBGene00002074. History: N.A.
fbxa-202,T28C12.3,133.0,53.45096296,20.6666,9.128465755,0.145870072,fbxa-202,WBGene00020890,Public name for WBGene00020890. History: N.A.
gska-3,C36B1.10,125.0,50.23586744,19.0,8.392326234,0.143144888,gska-3,WBGene00007977,Other name for WBGene00007977(gskl-2). History: Renamed on 2021-12-09
C34C12.4,C34C12.4,194.0,77.96606627,39.0,17.22635385,0.180963503,C34C12.4,WBGene00007923,Public name for WBGene00007923. History: N.A.
R09B3.3,R09B3.3,137.5,55.25945419,16.5,7.288072782,0.116520559,R09B3.3,WBGene00011156,Sequence name for WBGene00011156(rbm-3.2). History: N.A.
T25B9.4,T25B9.4,69.5,27.9311423,15.0,6.625520711,0.191729181,T25B9.4,WBGene00012010,Public name for WBGene00012010. History: N.A.
C17F3.1,C17F3.1,75.0,30.14152047,4.0,1.766805523,0.055371301,C17F3.1,WBGene00015907,Public name for WBGene00015907. History: N.A.
F59A3.8,F59A3.8,77.5,31.14623782,10.0,4.417013807,0.12420163,F59A3.8,WBGene00019081,Public name for WBGene00019081. History: N.A.
Y57G11B.3,Y57G11B.3,43.0,17.2811384,4.0,1.766805523,0.092755708,Y57G11B.3,WBGene00013296,"Public name for WBGene00013296. History: Split into glb-34(WBGene00077763). History of WBGene00013296: Split into ""WBGene00077763"" on 2008-05-23"
alh-8,F13D12.4,86.0,34.5622768,60.0,26.50208284,0.434002469,alh-8,WBGene00000114,Public name for WBGene00000114. History: N.A.
clec-142,K01C8.8,59.0,23.71132943,8.0,3.533611046,0.129697881,clec-142,WBGene00010460,Public name for WBGene00010460. History: N.A.
F42G8.8,F42G8.8,41.0,16.47736452,4.0,1.766805523,0.096842198,F42G8.8,WBGene00018359,"Public name for WBGene00018359. History: Split into F42G8.18(WBGene00249816). History of WBGene00018359: Split into ""WBGene00249816"" on 2014-01-28"
H05L14.1,H05L14.1,43.0,17.2811384,17.0,7.508923472,0.302900554,H05L14.1,WBGene00010366,Public name for WBGene00010366. History: N.A.
F07F6.1,F07F6.1,234.0,94.04154386,17.0,7.508923472,0.073942776,F07F6.1,WBGene00017215,Public name for WBGene00017215. History: N.A.
C25G4.6,C25G4.6,122.0,49.03020663,10.5,4.637864498,0.086417574,C25G4.6,WBGene00007733,Sequence name for WBGene00007733(smz-1). History: N.A.
F57A8.6,F57A8.6,59.0,23.71132943,6.0,2.650208284,0.100533145,F57A8.6,WBGene00010181,Public name for WBGene00010181. History: N.A.
air-1,K07C11.2,105.0,42.19812865,27.0,11.92593728,0.220344445,air-1,WBGene00000098,Public name for WBGene00000098. History: N.A.
C01G12.8,C01G12.8,68.0,27.32831189,21.0,9.275728995,0.253407241,C01G12.8,WBGene00007248,Sequence name for WBGene00007248(catp-4). History: N.A.
let-754,C29E4.8,113.0,45.41322417,61.125,26.9989969,0.372851385,let-754,WBGene00002879,Public name for WBGene00002879. History: N.A.
K08E4.7,K08E4.7,147.0,59.07738012,42.0,18.55145799,0.238976371,K08E4.7,WBGene00045036,Public name for WBGene00045036. History: N.A.
Y41E3.10,Y41E3.10,261.5,105.0934347,156.0,68.90541539,0.396010752,Y41E3.10,WBGene00012768,Sequence name for WBGene00012768(eef-1B.2). History: N.A.
gpd-4,F33H1.2,155.25,62.39294737,27.5,12.14678797,0.162957219,gpd-4,WBGene00001686,Public name for WBGene00001686. History: N.A.
F36A2.12,F36A2.12,158.0,63.49813645,17.0,7.508923472,0.10574897,F36A2.12,WBGene00009459,"Public name for WBGene00009459. History: Split into F36A2.14(WBGene00023490). History of WBGene00009459: Split into ""WBGene00023490"" on 2004-08-20"
wht-5,F19B6.4,187.0,75.1528577,16.0,7.067222091,0.085954941,wht-5,WBGene00008950,Public name for WBGene00008950. History: N.A.
F54H12.8,F54H12.8,78.0,31.34718129,23.0,10.15913176,0.244761122,F54H12.8,WBGene00045247,Public name for WBGene00045247. History: N.A.
B0218.7,B0218.7,60.0,24.11321637,6.0,2.650208284,0.099023511,B0218.7,WBGene00015051,Public name for WBGene00015051. History: N.A.
C55A6.11,C55A6.11,55.0,22.10378168,10.0,4.417013807,0.166549069,C55A6.11,WBGene00008340,Public name for WBGene00008340. History: N.A.
ZK973.8,ZK973.8,392.5,157.7406238,127.5,56.31692604,0.263092454,ZK973.8,WBGene00022834,Public name for WBGene00022834. History: N.A.
emo-1,F32D8.6,156.0,62.69436257,19.0,8.392326234,0.118057633,emo-1,WBGene00001303,Other name for WBGene00001303(sec-61.G). History: Renamed on 2019-05-20
W03C9.8,W03C9.8,43.0,17.2811384,3.0,1.325104142,0.071218256,W03C9.8,WBGene00012223,Public name for WBGene00012223. History: N.A.
T16G12.7,T16G12.7,66.0,26.52453801,6.0,2.650208284,0.09083912,T16G12.7,WBGene00011808,Public name for WBGene00011808. History: N.A.
Y43C5A.4,Y43C5A.4,60.0,24.11321637,25.0,11.04253452,0.314103219,Y43C5A.4,WBGene00012784,Public name for WBGene00012784. History: N.A.
AH10.1,AH10.1,71.0,28.53397271,13.0,5.742117949,0.167525463,AH10.1,WBGene00007082,Sequence name for WBGene00007082(acs-10). History: N.A.
F56C9.11,F56C9.11,71.0,28.53397271,17.0,7.508923472,0.208332966,F56C9.11,WBGene00018954,Sequence name for WBGene00018954(lab-2). History: N.A.
K01D12.7,K01D12.7,220.5,88.61607017,6.6666,2.944646425,0.032160587,K01D12.7,WBGene00010466,Public name for WBGene00010466. History: N.A.
C47E8.11,C47E8.11,244.0,98.06041325,13.0,5.742117949,0.055317706,C47E8.11,WBGene00044180,Public name for WBGene00044180. History: N.A.
rab-11.1,F53G12.1,139.0,55.8622846,75.5,33.34845424,0.373816591,rab-11.1,WBGene00004274,Public name for WBGene00004274. History: N.A.
Y54G2A.4,Y54G2A.4,72.5,29.13680312,27.5,12.14678797,0.294227989,Y54G2A.4,WBGene00021870,Sequence name for WBGene00021870(samt-1). History: N.A.
F07A5.2,F07A5.2,138.0,55.46039766,26.0,11.4842359,0.171548267,F07A5.2,WBGene00008541,Public name for WBGene00008541. History: N.A.
B0252.5,B0252.5,140.0,56.26417154,33.0,14.57614556,0.205760592,B0252.5,WBGene00015089,"Public name for WBGene00015089. History: Split into B0252.11(WBGene00305086). History of WBGene00015089: Split into ""WBGene00305086"" on 2019-10-21"
Y57G11C.15,Y57G11C.15,235.0,94.4434308,56.0,24.73527732,0.207547789,Y57G11C.15,WBGene00013311,Sequence name for WBGene00013311(sec-61.A). History: Renamed on 2019-05-20
F36A4.4,F36A4.4,67.0,26.92642495,10.0,4.417013807,0.140923076,F36A4.4,WBGene00018083,Public name for WBGene00018083. History: N.A.
C30B5.2,C30B5.2,122.0,49.03020663,21.0,9.275728995,0.159087216,C30B5.2,WBGene00016244,Public name for WBGene00016244. History: N.A.
C02E11.1,C02E11.1,136.0,54.65662378,37.0,16.34295109,0.230183788,C02E11.1,WBGene00015344,Sequence name for WBGene00015344(nra-4). History: N.A.
F25F2.1,F25F2.1,90.0,36.16982456,16.0,7.067222091,0.163452933,F25F2.1,WBGene00009115,Public name for WBGene00009115. History: N.A.
C14A4.13,C14A4.13,89.0,35.76793762,9.0,3.975312426,0.100024845,C14A4.13,WBGene00007563,Public name for WBGene00007563. History: N.A.
spe-38,Y52B11A.1,49.0,19.69246004,3.0,1.325104142,0.063047465,spe-38,WBGene00013121,Public name for WBGene00013121. History: N.A.
fkb-2,Y18D10A.19,230.0,92.4339961,55.5,24.51442663,0.20961742,fkb-2,WBGene00001427,Public name for WBGene00001427. History: N.A.
C24D10.2,C24D10.2,118.5,47.62360234,17.0,7.508923472,0.136197705,C24D10.2,WBGene00016054,Public name for WBGene00016054. History: N.A.
ssp-9,E03H12.10,123.1332,49.48562491,25.3167,11.18242135,0.184321435,ssp-9,WBGene00006038,Public name for WBGene00006038. History: N.A.
Y47D3A.13,Y47D3A.13,151.5,60.88587134,6.5,2.871058975,0.045031324,Y47D3A.13,WBGene00012926,Public name for WBGene00012926. History: N.A.
W02B12.15,W02B12.15,186.0,74.75097076,19.3333,8.539545304,0.102527223,W02B12.15,WBGene00044026,Sequence name for WBGene00044026(cisd-1). History: N.A.
K08C9.2,K08C9.2,170.0,68.32077972,7.0,3.091909665,0.043296362,K08C9.2,WBGene00010651,Public name for WBGene00010651. History: N.A.
ZK686.3,ZK686.3,94.0,37.77737232,28.0,12.36763866,0.24663747,ZK686.3,WBGene00022793,Public name for WBGene00022793. History: N.A.
act-2,T04C12.5,127.4164,51.20698705,19.4164,8.576250689,0.143455775,act-2,WBGene00000064,Public name for WBGene00000064. History: N.A.
ZC168.6,ZC168.6,181.0,72.74153606,11.0,4.858715188,0.062612106,ZC168.6,WBGene00013858,Sequence name for WBGene00013858(ssp-34). History: N.A.
cpn-1,F43G9.9,165.8947,66.67091327,20.2411,8.940521817,0.118242985,cpn-1,WBGene00000777,Public name for WBGene00000777. History: N.A.
T14G10.8,T14G10.8,98.0,39.38492008,24.0,10.60083314,0.212077091,T14G10.8,WBGene00011777,Public name for WBGene00011777. History: N.A.
T22D1.4,T22D1.4,126.0,50.63775438,80.0,35.33611046,0.41100991,T22D1.4,WBGene00020683,Sequence name for WBGene00020683(ribo-1). History: N.A.
C33F10.8,C33F10.8,191.0,76.76040546,38.0,16.78465247,0.179428533,C33F10.8,WBGene00016356,Public name for WBGene00016356. History: N.A.
F17E9.5,F17E9.5,142.0,57.06794542,5.0,2.208506904,0.037257744,F17E9.5,WBGene00017542,Public name for WBGene00017542. History: N.A.
E04D5.1,E04D5.1,110.8333,44.54245574,32.8333,14.50251394,0.245618111,E04D5.1,WBGene00008480,Sequence name for WBGene00008480(eif-2A). History: N.A.
nspd-3,C24D10.7,289.5832,116.379706,24.4,10.77751369,0.084757387,nspd-3,WBGene00016058,Public name for WBGene00016058. History: N.A.
klp-7,K11D9.1,273.0,109.7151345,199.0,87.89857476,0.444799984,klp-7,WBGene00002219,Public name for WBGene00002219. History: N.A.
T01H3.5,T01H3.5,52.0,20.89812086,10.0,4.417013807,0.17448115,T01H3.5,WBGene00011351,Public name for WBGene00011351. History: N.A.
sulp-6,W01B11.2,93.5,37.57642885,46.0,20.31826351,0.350952094,sulp-6,WBGene00020914,Public name for WBGene00020914. History: N.A.
hsp-1,F26D10.3,148.5,59.68021052,82.0,36.21951322,0.377681101,hsp-1,WBGene00002005,Public name for WBGene00002005. History: N.A.
tag-344,B0511.4,121.0,48.62831969,24.0,10.60083314,0.178979989,tag-344,WBGene00015230,Public name for WBGene00015230. History: N.A.
ZK507.3,ZK507.3,77.5,31.14623782,7.0,3.091909665,0.090305986,ZK507.3,WBGene00013979,Public name for WBGene00013979. History: N.A.
