# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Embryo Targets > 1 RPM (2351),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000223,,,,WBGene00000223,WBGene00000223,"History: Split into C07G2.5(WBGene00303035). History of WBGene00000223: Split into ""WBGene00303035"" on 2018-03-02"
WBGene00000229,,,,WBGene00000229,WBGene00000229,History: N.A.
WBGene00000230,,,,WBGene00000230,WBGene00000230,History: N.A.
WBGene00000231,,,,WBGene00000231,WBGene00000231,History: N.A.
WBGene00000249,,,,WBGene00000249,WBGene00000249,History: N.A.
WBGene00000259,,,,WBGene00000259,WBGene00000259,History: N.A.
WBGene00000263,,,,WBGene00000263,WBGene00000263,History: N.A.
WBGene00000264,,,,WBGene00000264,WBGene00000264,History: N.A.
WBGene00000265,,,,WBGene00000265,WBGene00000265,History: N.A.
WBGene00000271,,,,WBGene00000271,WBGene00000271,History: N.A.
WBGene00000289,,,,WBGene00000289,WBGene00000289,History: N.A.
WBGene00000292,,,,WBGene00000292,WBGene00000292,History: N.A.
WBGene00000375,,,,WBGene00000375,WBGene00000375,History: N.A.
WBGene00000376,,,,WBGene00000376,WBGene00000376,History: N.A.
WBGene00000377,,,,WBGene00000377,WBGene00000377,History: N.A.
WBGene00000378,,,,WBGene00000378,WBGene00000378,History: N.A.
WBGene00000379,,,,WBGene00000379,WBGene00000379,History: N.A.
WBGene00000380,,,,WBGene00000380,WBGene00000380,History: N.A.
WBGene00000381,,,,WBGene00000381,WBGene00000381,History: N.A.
WBGene00000386,,,,WBGene00000386,WBGene00000386,History: N.A.
WBGene00000388,,,,WBGene00000388,WBGene00000388,History: N.A.
WBGene00000390,,,,WBGene00000390,WBGene00000390,History: N.A.
WBGene00000396,,,,WBGene00000396,WBGene00000396,History: N.A.
WBGene00000406,,,,WBGene00000406,WBGene00000406,History: N.A.
WBGene00000408,,,,WBGene00000408,WBGene00000408,History: N.A.
WBGene00000411,,,,WBGene00000411,WBGene00000411,History: N.A.
WBGene00000414,,,,WBGene00000414,WBGene00000414,History: N.A.
WBGene00000416,,,,WBGene00000416,WBGene00000416,History: N.A.
WBGene00000417,,,,WBGene00000417,WBGene00000417,History: N.A.
WBGene00000419,,,,WBGene00000419,WBGene00000419,History: N.A.
WBGene00000420,,,,WBGene00000420,WBGene00000420,History: N.A.
WBGene00000423,,,,WBGene00000423,WBGene00000423,History: N.A.
WBGene00000425,,,,WBGene00000425,WBGene00000425,History: N.A.
WBGene00000444,,,,WBGene00000444,WBGene00000444,History: N.A.
WBGene00000459,,,,WBGene00000459,WBGene00000459,History: N.A.
WBGene00000464,,,,WBGene00000464,WBGene00000464,"History: Split into Y54F10AM.16(WBGene00306126). History of WBGene00000464: Split into ""WBGene00306126"" on 2022-01-04"
WBGene00000465,,,,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00000472,,,,WBGene00000472,WBGene00000472,History: N.A.
WBGene00000473,,,,WBGene00000473,WBGene00000473,History: N.A.
WBGene00000474,,,,WBGene00000474,WBGene00000474,History: N.A.
WBGene00000475,,,,WBGene00000475,WBGene00000475,History: N.A.
WBGene00000479,,,,WBGene00000479,WBGene00000479,History: N.A.
WBGene00000482,,,,WBGene00000482,WBGene00000482,History: N.A.
WBGene00000496,,,,WBGene00000496,WBGene00000496,History: N.A.
WBGene00000498,,,,WBGene00000498,WBGene00000498,History: N.A.
WBGene00000507,,,,WBGene00000507,WBGene00000507,History: N.A.
WBGene00000509,,,,WBGene00000509,WBGene00000509,History: N.A.
WBGene00000520,,,,WBGene00000520,WBGene00000520,History: N.A.
WBGene00000548,,,,WBGene00000548,WBGene00000548,History: N.A.
WBGene00000550,,,,WBGene00000550,WBGene00000550,History: N.A.
WBGene00000552,,,,WBGene00000552,WBGene00000552,History: N.A.
WBGene00000564,,,,WBGene00000564,WBGene00000564,History: N.A.
WBGene00000567,,,,WBGene00000567,WBGene00000567,History: N.A.
WBGene00000585,,,,WBGene00000585,WBGene00000585,History: Renamed on 2006-01-17
WBGene00000767,,,,WBGene00000767,WBGene00000767,History: N.A.
WBGene00000774,,,,WBGene00000774,WBGene00000774,History: N.A.
WBGene00000777,,,,WBGene00000777,WBGene00000777,History: N.A.
WBGene00000793,,,,WBGene00000793,WBGene00000793,History: N.A.
WBGene00000794,,,,WBGene00000794,WBGene00000794,History: N.A.
WBGene00000796,,,,WBGene00000796,WBGene00000796,History: Renamed on 2007-06-04
WBGene00000797,,,,WBGene00000797,WBGene00000797,History: N.A.
WBGene00000802,,,,WBGene00000802,WBGene00000802,History: N.A.
WBGene00000804,,,,WBGene00000804,WBGene00000804,History: N.A.
WBGene00000813,,,,WBGene00000813,WBGene00000813,History: N.A.
WBGene00000817,,,,WBGene00000817,WBGene00000817,History: N.A.
WBGene00000833,,,,WBGene00000833,WBGene00000833,History: N.A.
WBGene00000834,,,,WBGene00000834,WBGene00000834,History: N.A.
WBGene00000835,,,,WBGene00000835,WBGene00000835,History: N.A.
WBGene00000837,,,,WBGene00000837,WBGene00000837,History: Renamed on 2013-05-02
WBGene00000838,,,,WBGene00000838,WBGene00000838,History: N.A.
WBGene00000839,,,,WBGene00000839,WBGene00000839,History: N.A.
WBGene00000840,,,,WBGene00000840,WBGene00000840,History: N.A.
WBGene00000843,,,,WBGene00000843,WBGene00000843,History: Renamed on 2005-08-18; Renamed on 2013-11-18
WBGene00000866,,,,WBGene00000866,WBGene00000866,History: N.A.
WBGene00000867,,,,WBGene00000867,WBGene00000867,History: N.A.
WBGene00000869,,,,WBGene00000869,WBGene00000869,History: N.A.
WBGene00000871,,,,WBGene00000871,WBGene00000871,History: Renamed on 2015-03-05
WBGene00000877,,,,WBGene00000877,WBGene00000877,History: N.A.
WBGene00000879,,,,WBGene00000879,WBGene00000879,History: N.A.
WBGene00000881,,,,WBGene00000881,WBGene00000881,History: N.A.
WBGene00000883,,,,WBGene00000883,WBGene00000883,History: N.A.
WBGene00000884,,,,WBGene00000884,WBGene00000884,History: N.A.
WBGene00000889,,,,WBGene00000889,WBGene00000889,History: N.A.
WBGene00000891,,,,WBGene00000891,WBGene00000891,History: N.A.
WBGene00000894,,,,WBGene00000894,WBGene00000894,History: N.A.
WBGene00000900,,,,WBGene00000900,WBGene00000900,History: N.A.
WBGene00000913,,,,WBGene00000913,WBGene00000913,History: N.A.
WBGene00000914,,,,WBGene00000914,WBGene00000914,History: N.A.
WBGene00000915,,,,WBGene00000915,WBGene00000915,History: Renamed on 2017-08-01
WBGene00000933,,,,WBGene00000933,WBGene00000933,History: Renamed on 2018-06-07
WBGene00000935,,,,WBGene00000935,WBGene00000935,History: N.A.
WBGene00000938,,,,WBGene00000938,WBGene00000938,History: N.A.
WBGene00000962,,,,WBGene00000962,WBGene00000962,History: N.A.
WBGene00000976,,,,WBGene00000976,WBGene00000976,History: N.A.
WBGene00000980,,,,WBGene00000980,WBGene00000980,History: N.A.
WBGene00000985,,,,WBGene00000985,WBGene00000985,History: N.A.
WBGene00000995,,,,WBGene00000995,WBGene00000995,History: N.A.
WBGene00001000,,,,WBGene00001000,WBGene00001000,History: N.A.
WBGene00001005,,,,WBGene00001005,WBGene00001005,History: N.A.
WBGene00001016,,,,WBGene00001016,WBGene00001016,History: N.A.
WBGene00001018,,,,WBGene00001018,WBGene00001018,History: N.A.
WBGene00001020,,,,WBGene00001020,WBGene00001020,History: N.A.
WBGene00001022,,,,WBGene00001022,WBGene00001022,History: N.A.
WBGene00001027,,,,WBGene00001027,WBGene00001027,History: N.A.
WBGene00001028,,,,WBGene00001028,WBGene00001028,History: N.A.
WBGene00001033,,,,WBGene00001033,WBGene00001033,History: N.A.
WBGene00001036,,,,WBGene00001036,WBGene00001036,History: N.A.
WBGene00001037,,,,WBGene00001037,WBGene00001037,History: Renamed on 2005-12-16
WBGene00001043,,,,WBGene00001043,WBGene00001043,History: N.A.
WBGene00001046,,,,WBGene00001046,WBGene00001046,History: N.A.
WBGene00001049,,,,WBGene00001049,WBGene00001049,History: N.A.
WBGene00001051,,,,WBGene00001051,WBGene00001051,History: Renamed on 2007-08-17
WBGene00001058,,,,WBGene00001058,WBGene00001058,History: N.A.
WBGene00001060,,,,WBGene00001060,WBGene00001060,History: N.A.
WBGene00001061,,,,WBGene00001061,WBGene00001061,History: N.A.
WBGene00001077,,,,WBGene00001077,WBGene00001077,History: N.A.
WBGene00001080,,,,WBGene00001080,WBGene00001080,History: N.A.
WBGene00001081,,,,WBGene00001081,WBGene00001081,History: N.A.
WBGene00001082,,,,WBGene00001082,WBGene00001082,History: N.A.
WBGene00001085,,,,WBGene00001085,WBGene00001085,History: N.A.
WBGene00001086,,,,WBGene00001086,WBGene00001086,History: N.A.
WBGene00001089,,,,WBGene00001089,WBGene00001089,History: N.A.
WBGene00001090,,,,WBGene00001090,WBGene00001090,History: N.A.
WBGene00001094,,,,WBGene00001094,WBGene00001094,History: Renamed on 2010-01-29
WBGene00001102,,,,WBGene00001102,WBGene00001102,History: N.A.
WBGene00001104,,,,WBGene00001104,WBGene00001104,History: N.A.
WBGene00001130,,,,WBGene00001130,WBGene00001130,History: N.A.
WBGene00001137,,,,WBGene00001137,WBGene00001137,History: N.A.
WBGene00001148,,,,WBGene00001148,WBGene00001148,History: N.A.
WBGene00001154,,,,WBGene00001154,WBGene00001154,History: N.A.
WBGene00001155,,,,WBGene00001155,WBGene00001155,History: N.A.
WBGene00001160,,,,WBGene00001160,WBGene00001160,History: N.A.
WBGene00001167,,,,WBGene00001167,WBGene00001167,History: Renamed on 2010-08-03
WBGene00001168,,,,WBGene00001168,WBGene00001168,History: Renamed on 2005-09-08; Renamed on 2010-08-03
WBGene00001169,,,,WBGene00001169,WBGene00001169,History: Renamed on 2010-08-03
WBGene00001173,,,,WBGene00001173,WBGene00001173,History: Renamed on 2005-11-22; Renamed on 2010-12-07; Renamed on 2011-07-12; Renamed on 2012-06-20
WBGene00001193,,,,WBGene00001193,WBGene00001193,History: N.A.
WBGene00001194,,,,WBGene00001194,WBGene00001194,History: N.A.
WBGene00001209,,,,WBGene00001209,WBGene00001209,History: N.A.
WBGene00001227,,,,WBGene00001227,WBGene00001227,History: N.A.
WBGene00001228,,,,WBGene00001228,WBGene00001228,History: N.A.
WBGene00001231,,,,WBGene00001231,WBGene00001231,History: N.A.
WBGene00001233,,,,WBGene00001233,WBGene00001233,History: N.A.
WBGene00001234,,,,WBGene00001234,WBGene00001234,History: N.A.
WBGene00001239,,,,WBGene00001239,WBGene00001239,History: N.A.
WBGene00001241,,,,WBGene00001241,WBGene00001241,History: N.A.
WBGene00001249,,,,WBGene00001249,WBGene00001249,History: N.A.
WBGene00001259,,,,WBGene00001259,WBGene00001259,History: N.A.
WBGene00001303,,,,WBGene00001303,WBGene00001303,History: Renamed on 2019-05-20
WBGene00001309,,,,WBGene00001309,WBGene00001309,History: N.A.
WBGene00001324,,,,WBGene00001324,WBGene00001324,History: N.A.
WBGene00001328,,,,WBGene00001328,WBGene00001328,History: N.A.
WBGene00001332,,,,WBGene00001332,WBGene00001332,History: N.A.
WBGene00001336,,,,WBGene00001336,WBGene00001336,History: Renamed on 2010-01-29
WBGene00001337,,,,WBGene00001337,WBGene00001337,History: Renamed on 2010-01-29
WBGene00001340,,,,WBGene00001340,WBGene00001340,History: N.A.
WBGene00001372,,,,WBGene00001372,WBGene00001372,History: N.A.
WBGene00001404,,,,WBGene00001404,WBGene00001404,History: N.A.
WBGene00001405,,,,WBGene00001405,WBGene00001405,History: N.A.
WBGene00001412,,,,WBGene00001412,WBGene00001412,History: N.A.
WBGene00001413,,,,WBGene00001413,WBGene00001413,History: N.A.
WBGene00001423,,,,WBGene00001423,WBGene00001423,History: N.A.
WBGene00001431,,,,WBGene00001431,WBGene00001431,History: N.A.
WBGene00001435,,,,WBGene00001435,WBGene00001435,History: N.A.
WBGene00001436,,,,WBGene00001436,WBGene00001436,"History: Split into C29F7.10(WBGene00206389). History of WBGene00001436: Split into ""WBGene00206389"" on 2011-01-21"
WBGene00001449,,,,WBGene00001449,WBGene00001449,History: N.A.
WBGene00001470,,,,WBGene00001470,WBGene00001470,History: Renamed on 2014-10-08
WBGene00001481,,,,WBGene00001481,WBGene00001481,History: N.A.
WBGene00001482,,,,WBGene00001482,WBGene00001482,History: N.A.
WBGene00001484,,,,WBGene00001484,WBGene00001484,History: N.A.
WBGene00001486,,,,WBGene00001486,WBGene00001486,History: N.A.
WBGene00001491,,,,WBGene00001491,WBGene00001491,History: N.A.
WBGene00001492,,,,WBGene00001492,WBGene00001492,History: Renamed on 2012-02-07
WBGene00001493,,,,WBGene00001493,WBGene00001493,"History: Split into F55C5.17(WBGene00303048). History of WBGene00001493: Split into ""WBGene00303048"" on 2018-03-02"
WBGene00001497,,,,WBGene00001497,WBGene00001497,History: Renamed on 2010-01-29; Renamed on 2015-03-04
WBGene00001498,,,,WBGene00001498,WBGene00001498,History: Renamed on 2010-01-29
WBGene00001502,,,,WBGene00001502,WBGene00001502,History: N.A.
WBGene00001503,,,,WBGene00001503,WBGene00001503,History: N.A.
WBGene00001511,,,,WBGene00001511,WBGene00001511,History: Renamed on 2017-02-17
WBGene00001514,,,,WBGene00001514,WBGene00001514,History: Renamed on 2008-09-15
WBGene00001516,,,,WBGene00001516,WBGene00001516,History: N.A.
WBGene00001565,,,,WBGene00001565,WBGene00001565,History: N.A.
WBGene00001569,,,,WBGene00001569,WBGene00001569,History: Renamed on 2014-08-15
WBGene00001574,,,,WBGene00001574,WBGene00001574,History: N.A.
WBGene00001582,,,,WBGene00001582,WBGene00001582,History: N.A.
WBGene00001584,,,,WBGene00001584,WBGene00001584,History: Renamed on 2011-05-17
WBGene00001585,,,,WBGene00001585,WBGene00001585,History: N.A.
WBGene00001590,,,,WBGene00001590,WBGene00001590,"History: Split into gip-2(WBGene00044008). History of WBGene00001590: Split into ""WBGene00044008"" on 2004-11-29"
WBGene00001595,,,,WBGene00001595,WBGene00001595,History: N.A.
WBGene00001596,,,,WBGene00001596,WBGene00001596,History: N.A.
WBGene00001597,,,,WBGene00001597,WBGene00001597,History: N.A.
WBGene00001599,,,,WBGene00001599,WBGene00001599,History: N.A.
WBGene00001600,,,,WBGene00001600,WBGene00001600,History: N.A.
WBGene00001606,,,,WBGene00001606,WBGene00001606,History: N.A.
WBGene00001607,,,,WBGene00001607,WBGene00001607,History: N.A.
WBGene00001632,,,,WBGene00001632,WBGene00001632,History: N.A.
WBGene00001645,,,,WBGene00001645,WBGene00001645,History: N.A.
WBGene00001647,,,,WBGene00001647,WBGene00001647,History: N.A.
WBGene00001649,,,,WBGene00001649,WBGene00001649,History: N.A.
WBGene00001651,,,,WBGene00001651,WBGene00001651,History: N.A.
WBGene00001653,,,,WBGene00001653,WBGene00001653,History: N.A.
WBGene00001661,,,,WBGene00001661,WBGene00001661,History: N.A.
WBGene00001679,,,,WBGene00001679,WBGene00001679,"History: Split into F44E5.17(WBGene00303054). History of WBGene00001679: Split into ""WBGene00303054"" on 2018-03-02"
WBGene00001683,,,,WBGene00001683,WBGene00001683,History: N.A.
WBGene00001686,,,,WBGene00001686,WBGene00001686,History: N.A.
WBGene00001708,,,,WBGene00001708,WBGene00001708,History: N.A.
WBGene00001743,,,,WBGene00001743,WBGene00001743,History: N.A.
WBGene00001744,,,,WBGene00001744,WBGene00001744,History: Renamed on 2010-01-29
WBGene00001746,,,,WBGene00001746,WBGene00001746,History: N.A.
WBGene00001747,,,,WBGene00001747,WBGene00001747,History: N.A.
WBGene00001748,,,,WBGene00001748,WBGene00001748,History: N.A.
WBGene00001749,,,,WBGene00001749,WBGene00001749,History: N.A.
WBGene00001755,,,,WBGene00001755,WBGene00001755,History: N.A.
WBGene00001793,,,,WBGene00001793,WBGene00001793,History: N.A.
WBGene00001815,,,,WBGene00001815,WBGene00001815,History: N.A.
WBGene00001816,,,,WBGene00001816,WBGene00001816,History: N.A.
WBGene00001827,,,,WBGene00001827,WBGene00001827,History: N.A.
WBGene00001829,,,,WBGene00001829,WBGene00001829,History: N.A.
WBGene00001832,,,,WBGene00001832,WBGene00001832,History: Renamed on 2015-03-05
WBGene00001834,,,,WBGene00001834,WBGene00001834,History: N.A.
WBGene00001851,,,,WBGene00001851,WBGene00001851,History: N.A.
WBGene00001855,,,,WBGene00001855,WBGene00001855,History: Renamed on 2010-11-12
WBGene00001860,,,,WBGene00001860,WBGene00001860,History: N.A.
WBGene00001862,,,,WBGene00001862,WBGene00001862,History: N.A.
WBGene00001869,,,,WBGene00001869,WBGene00001869,History: N.A.
WBGene00001872,,,,WBGene00001872,WBGene00001872,History: N.A.
WBGene00001906,,,,WBGene00001906,WBGene00001906,History: N.A.
WBGene00001949,,,,WBGene00001949,WBGene00001949,History: N.A.
WBGene00001973,,,,WBGene00001973,WBGene00001973,History: N.A.
WBGene00001974,,,,WBGene00001974,WBGene00001974,History: N.A.
WBGene00001975,,,,WBGene00001975,WBGene00001975,History: N.A.
WBGene00001978,,,,WBGene00001978,WBGene00001978,History: N.A.
WBGene00001985,,,,WBGene00001985,WBGene00001985,History: N.A.
WBGene00001987,,,,WBGene00001987,WBGene00001987,History: N.A.
WBGene00001994,,,,WBGene00001994,WBGene00001994,"History: Split into F20B6.10(WBGene00303101). History of WBGene00001994: Split into ""WBGene00303101"" on 2018-03-06"
WBGene00001997,,,,WBGene00001997,WBGene00001997,History: N.A.
WBGene00002000,,,,WBGene00002000,WBGene00002000,History: Renamed on 2019-11-21
WBGene00002002,,,,WBGene00002002,WBGene00002002,History: N.A.
WBGene00002005,,,,WBGene00002005,WBGene00002005,History: N.A.
WBGene00002007,,,,WBGene00002007,WBGene00002007,History: N.A.
WBGene00002008,,,,WBGene00002008,WBGene00002008,History: N.A.
WBGene00002010,,,,WBGene00002010,WBGene00002010,History: N.A.
WBGene00002025,,,,WBGene00002025,WBGene00002025,History: N.A.
WBGene00002027,,,,WBGene00002027,WBGene00002027,History: N.A.
WBGene00002035,,,,WBGene00002035,WBGene00002035,History: N.A.
WBGene00002045,,,,WBGene00002045,WBGene00002045,History: N.A.
WBGene00002046,,,,WBGene00002046,WBGene00002046,History: Renamed on 2010-11-16
WBGene00002059,,,,WBGene00002059,WBGene00002059,History: N.A.
WBGene00002060,,,,WBGene00002060,WBGene00002060,History: N.A.
WBGene00002061,,,,WBGene00002061,WBGene00002061,History: N.A.
WBGene00002066,,,,WBGene00002066,WBGene00002066,History: N.A.
WBGene00002068,,,,WBGene00002068,WBGene00002068,History: N.A.
WBGene00002070,,,,WBGene00002070,WBGene00002070,History: N.A.
WBGene00002071,,,,WBGene00002071,WBGene00002071,History: N.A.
WBGene00002072,,,,WBGene00002072,WBGene00002072,History: N.A.
WBGene00002073,,,,WBGene00002073,WBGene00002073,History: N.A.
WBGene00002074,,,,WBGene00002074,WBGene00002074,History: N.A.
WBGene00002079,,,,WBGene00002079,WBGene00002079,History: Renamed on 2008-01-30
WBGene00002083,,,,WBGene00002083,WBGene00002083,History: N.A.
WBGene00002125,,,,WBGene00002125,WBGene00002125,History: N.A.
WBGene00002129,,,,WBGene00002129,WBGene00002129,History: N.A.
WBGene00002130,,,,WBGene00002130,WBGene00002130,History: N.A.
WBGene00002136,,,,WBGene00002136,WBGene00002136,History: N.A.
WBGene00002143,,,,WBGene00002143,WBGene00002143,History: N.A.
WBGene00002144,,,,WBGene00002144,WBGene00002144,History: N.A.
WBGene00002148,,,,WBGene00002148,WBGene00002148,History: Renamed on 2006-03-22
WBGene00002162,,,,WBGene00002162,WBGene00002162,History: N.A.
WBGene00002180,,,,WBGene00002180,WBGene00002180,History: N.A.
WBGene00002192,,,,WBGene00002192,WBGene00002192,History: N.A.
WBGene00002196,,,,WBGene00002196,WBGene00002196,History: N.A.
WBGene00002201,,,,WBGene00002201,WBGene00002201,History: N.A.
WBGene00002202,,,,WBGene00002202,WBGene00002202,History: N.A.
WBGene00002207,,,,WBGene00002207,WBGene00002207,History: Renamed on 2012-11-07
WBGene00002215,,,,WBGene00002215,WBGene00002215,History: N.A.
WBGene00002225,,,,WBGene00002225,WBGene00002225,History: N.A.
WBGene00002226,,,,WBGene00002226,WBGene00002226,History: N.A.
WBGene00002229,,,,WBGene00002229,WBGene00002229,History: N.A.
WBGene00002238,,,,WBGene00002238,WBGene00002238,History: Renamed on 2010-01-29
WBGene00002239,,,,WBGene00002239,WBGene00002239,History: N.A.
WBGene00002241,,,,WBGene00002241,WBGene00002241,History: N.A.
WBGene00002244,,,,WBGene00002244,WBGene00002244,History: N.A.
WBGene00002247,,,,WBGene00002247,WBGene00002247,History: N.A.
WBGene00002249,,,,WBGene00002249,WBGene00002249,History: N.A.
WBGene00002250,,,,WBGene00002250,WBGene00002250,History: N.A.
WBGene00002256,,,,WBGene00002256,WBGene00002256,History: N.A.
WBGene00002261,,,,WBGene00002261,WBGene00002261,History: N.A.
WBGene00002262,,,,WBGene00002262,WBGene00002262,History: N.A.
WBGene00002295,,,,WBGene00002295,WBGene00002295,History: N.A.
WBGene00002297,,,,WBGene00002297,WBGene00002297,History: Renamed on 2005-09-28
WBGene00002324,,,,WBGene00002324,WBGene00002324,History: N.A.
WBGene00002344,,,,WBGene00002344,WBGene00002344,History: N.A.
WBGene00002717,,,,WBGene00002717,WBGene00002717,History: Renamed on 2008-02-07; Renamed on 2008-02-07; Renamed on 2011-02-11; Renamed on 2014-09-04; Renamed on 2014-09-04
WBGene00002783,,,,WBGene00002783,WBGene00002783,History: N.A.
WBGene00002845,,,,WBGene00002845,WBGene00002845,History: Renamed on 2007-04-12
WBGene00002891,,,,WBGene00002891,WBGene00002891,History: N.A.
WBGene00002957,,,,WBGene00002957,WBGene00002957,History: N.A.
WBGene00002982,,,,WBGene00002982,WBGene00002982,History: Renamed on 2007-03-15
WBGene00002985,,,,WBGene00002985,WBGene00002985,History: N.A.
WBGene00002986,,,,WBGene00002986,WBGene00002986,History: N.A.
WBGene00002998,,,,WBGene00002998,WBGene00002998,History: N.A.
WBGene00002999,,,,WBGene00002999,WBGene00002999,History: N.A.
WBGene00003001,,,,WBGene00003001,WBGene00003001,History: N.A.
WBGene00003009,,,,WBGene00003009,WBGene00003009,History: N.A.
WBGene00003014,,,,WBGene00003014,WBGene00003014,History: N.A.
WBGene00003024,,,,WBGene00003024,WBGene00003024,History: N.A.
WBGene00003026,,,,WBGene00003026,WBGene00003026,History: Renamed on 2005-08-24
WBGene00003030,,,,WBGene00003030,WBGene00003030,History: N.A.
WBGene00003040,,,,WBGene00003040,WBGene00003040,History: N.A.
WBGene00003043,,,,WBGene00003043,WBGene00003043,History: N.A.
WBGene00003046,,,,WBGene00003046,WBGene00003046,History: Renamed on 2017-05-11
WBGene00003048,,,,WBGene00003048,WBGene00003048,History: N.A.
WBGene00003053,,,,WBGene00003053,WBGene00003053,History: N.A.
WBGene00003056,,,,WBGene00003056,WBGene00003056,History: N.A.
WBGene00003059,,,,WBGene00003059,WBGene00003059,History: N.A.
WBGene00003064,,,,WBGene00003064,WBGene00003064,History: Renamed on 2021-04-19
WBGene00003065,,,,WBGene00003065,WBGene00003065,History: N.A.
WBGene00003068,,,,WBGene00003068,WBGene00003068,History: N.A.
WBGene00003071,,,,WBGene00003071,WBGene00003071,History: N.A.
