# Table EV2. Tables listing the significantly enriched proteins from the various IP-MS experiments. The different Tabs of this excel file list the enriched protein lists belonging to the indicated figure panels. Genes that are of direct interest to this study,or with previous links to small RNAs are indicated in bold. The differences between the measured LFQ for each protein between the two strains used for each volcano plots are represented in log2 scale.
#
# Figure S4H
# volcano_enriched_reduced_xf181_vs_PID2  (IP on endogenous PID-2 in pid-5 mutant versus pid-2 mutant)
Gene.IDs,Protein.IDs,difference_xf181_PID2,log10.pvalue_xf181_PID2,Input,Suggested Match,History
lec-10,W01A11.4,1.42015073120234,1.39709947306301,lec-10,WBGene00002273,Public name for WBGene00002273. History: N.A.
rps-18,Y57G11C.16,1.32411700943969,1.39477523280543,rps-18,WBGene00004487,Public name for WBGene00004487. History: N.A.
rmd-2,C27H6.4c,1.09125977908487,1.38194078601486,rmd-2,WBGene00007786,Public name for WBGene00007786. History: N.A.
gst-27,Y53F4B.30,1.33722107092821,1.36417043397461,gst-27,WBGene00001775,Public name for WBGene00001775. History: N.A.
pmt-2,F54D11.1,1.66977110473984,1.35733691986669,pmt-2,WBGene00018811,Public name for WBGene00018811. History: N.A.
R09H10.5,R09H10.5,1.38572040253284,1.35330252737641,R09H10.5,WBGene00011182,Public name for WBGene00011182. History: N.A.
cyn-7,Y75B12B.2,1.25555413335614,1.35168779389423,cyn-7,WBGene00000883,Public name for WBGene00000883. History: N.A.
daf-41,ZC395.10,1.81356562587912,1.35032889049705,daf-41,WBGene00022599,Public name for WBGene00022599. History: N.A.
rpl-22,C27A2.2a,1.56462766036126,1.34549916917459,rpl-22,WBGene00004434,Public name for WBGene00004434. History: N.A.
rps-8,F42C5.8a,1.28191429305998,1.33360003545916,rps-8,WBGene00004477,Public name for WBGene00004477. History: N.A.
rps-16,T01C3.6,1.10567348413742,1.32786936209125,rps-16,WBGene00004485,Public name for WBGene00004485. History: N.A.
C37A2.7,C37A2.7,1.14449293397109,1.31764266174986,C37A2.7,WBGene00016493,Public name for WBGene00016493. History: N.A.
rpl-7,F53G12.10,1.28753396064581,1.3164749879749,rpl-7,WBGene00004418,Public name for WBGene00004418. History: N.A.
vig-1,F56D12.5a,1.17923168995213,1.30991381809402,vig-1,WBGene00006924,Public name for WBGene00006924. History: N.A.
arx-2,K07C5.1,1.81079047830375,1.30964822699719,arx-2,WBGene00000200,Public name for WBGene00000200. History: N.A.
ifd-1,R04E5.10b,-1.8817110106166,2.5515964808788,ifd-1,WBGene00002057,Public name for WBGene00002057. History: N.A.
lfi-1,ZC8.4d,-1.18228419346622,2.10719221790047,lfi-1,WBGene00022500,Public name for WBGene00022500. History: N.A.
hrpf-1,W02D3.11a,-1.5851538834409,1.78943050001442,hrpf-1,WBGene00020936,Public name for WBGene00020936. History: N.A.
lron-8,T22E7.1b,-1.0263550972968,1.78280240149522,lron-8,WBGene00020693,Public name for WBGene00020693. History: N.A.
ifc-2,M6.1a,-1.39449207129012,1.66643692531129,ifc-2,WBGene00002056,Public name for WBGene00002056. History: Renamed on 2021-03-09
lin-33,H32C10.2b,-1.23349996683016,1.63685157499576,lin-33,WBGene00003019,Public name for WBGene00003019. History: N.A.
vha-6,VW02B12L.1,-1.00921943096416,1.53749602628146,vha-6,WBGene00006915,Public name for WBGene00006915. History: N.A.
vha-19,Y55H10A.1,-1.04490352474976,1.52828534835564,vha-19,WBGene00021952,Public name for WBGene00021952. History: N.A.
ifb-2,F10C1.7a,-1.08984222157261,1.48301328483458,ifb-2,WBGene00002054,Public name for WBGene00002054. History: N.A.
