# The gene names are based on WS215 annotation,
# CSR-1 not ALG-3/4 targets,
Public name,Cosmid name,Input,Suggested Match,History
ain-2,B0041.2,ain-2,WBGene00015007,Public name for WBGene00015007. History: N.A.
aka-1,D1022.7,aka-1,WBGene00000101,Public name for WBGene00000101. History: N.A.
akt-1,C12D8.10,akt-1,WBGene00000102,Public name for WBGene00000102. History: N.A.
aldo-2,F01F1.12,aldo-2,WBGene00017166,Public name for WBGene00017166. History: N.A.
alg-2,T07D3.7,alg-2,WBGene00000106,Public name for WBGene00000106. History: N.A.
alh-1,F54D8.3,alh-1,WBGene00000107,Public name for WBGene00000107. History: N.A.
alh-3,F36H1.6,alh-3,WBGene00000109,Public name for WBGene00000109. History: N.A.
alh-9,F01F1.6,alh-9,WBGene00000115,Public name for WBGene00000115. History: N.A.
alx-1,R10E12.1,alx-1,WBGene00007010,Public name for WBGene00007010. History: N.A.
aly-2,F23B2.6,aly-2,WBGene00000121,Public name for WBGene00000121. History: Renamed on 2005-04-27
aly-3,M18.7,aly-3,WBGene00000122,Public name for WBGene00000122. History: N.A.
ama-1,F36A4.7,ama-1,WBGene00000123,Public name for WBGene00000123. History: Renamed on 2007-10-04
amph-1,F58G6.1,amph-1,WBGene00010272,Public name for WBGene00010272. History: N.A.
amx-1,R13G10.2,amx-1,WBGene00000137,Public name for WBGene00000137. History: N.A.
ani-3,Y43F8C.14,ani-3,WBGene00012835,Public name for WBGene00012835. History: N.A.
ant-1.1,T27E9.1,ant-1.1,WBGene00006439,Public name for WBGene00006439. History: Renamed on 2008-06-04; Renamed on 2014-03-03
aos-1,C08B6.9,aos-1,WBGene00000142,Public name for WBGene00000142. History: N.A.
apa-2,T20B5.1,apa-2,WBGene00000161,Public name for WBGene00000161. History: N.A.
apb-1,Y71H2B.10,apb-1,WBGene00000160,Public name for WBGene00000160. History: N.A.
apb-3,R11A5.1,apb-3,WBGene00000163,Public name for WBGene00000163. History: N.A.
apc-10,F15H10.3,apc-10,WBGene00000144,Public name for WBGene00000144. History: N.A.
apc-11,F35G12.9,apc-11,WBGene00000145,Public name for WBGene00000145. History: N.A.
apc-2,K06H7.6,apc-2,WBGene00000143,Public name for WBGene00000143. History: N.A.
apd-3,W09G10.4,apd-3,WBGene00000162,Public name for WBGene00000162. History: N.A.
ape-1,F46F3.4,ape-1,WBGene00000146,Public name for WBGene00000146. History: N.A.
apg-1,Y105E8A.9,apg-1,WBGene00000158,Public name for WBGene00000158. History: N.A.
aph-2,ZC434.6,aph-2,WBGene00000148,Public name for WBGene00000148. History: N.A.
apn-1,T05H10.2,apn-1,WBGene00000151,Public name for WBGene00000151. History: N.A.
app-1,W03G9.4,app-1,WBGene00000155,Public name for WBGene00000155. History: N.A.
apr-1,K04G2.8,apr-1,WBGene00000156,Public name for WBGene00000156. History: N.A.
apx-1,K08D9.3,apx-1,WBGene00000168,Public name for WBGene00000168. History: N.A.
ard-1,F01G4.2,ard-1,WBGene00000181,Public name for WBGene00000181. History: N.A.
arf-6,Y116A8C.12,arf-6,WBGene00000184,Public name for WBGene00000184. History: N.A.
arl-5,ZK632.8,arl-5,WBGene00000189,Public name for WBGene00000189. History: N.A.. Other name for WBGene00001358(evl-20). History: N.A.
arp-1,Y53F4B.22,arp-1,WBGene00013168,Public name for WBGene00013168. History: N.A.
arr-1,F53H8.2,arr-1,WBGene00000195,Public name for WBGene00000195. History: N.A.
arx-1,Y71F9AL.16,arx-1,WBGene00000199,Public name for WBGene00000199. History: N.A.
arx-3,Y79H2A.6,arx-3,WBGene00000201,Public name for WBGene00000201. History: N.A.
arx-4,Y6D11A.2,arx-4,WBGene00021170,Public name for WBGene00021170. History: Renamed on 2006-03-03
arx-5,Y37D8A.1,arx-5,WBGene00000203,Public name for WBGene00000203. History: N.A.
arx-6,C35D10.16,arx-6,WBGene00000204,Public name for WBGene00000204. History: N.A.
arx-7,M01B12.3,arx-7,WBGene00000205,Public name for WBGene00000205. History: N.A.
asc-1,Y53F4B.15,asc-1,WBGene00000208,Other name for WBGene00000208(trip-4). History: Renamed on 2017-11-13
asd-1,R74.5,asd-1,WBGene00011279,Public name for WBGene00011279. History: N.A.
asfl-1,C03D6.5,asfl-1,WBGene00007277,Public name for WBGene00007277. History: N.A.
asg-1,K07A12.3,asg-1,WBGene00000209,Public name for WBGene00000209. History: N.A.
asna-1,ZK637.5,asna-1,WBGene00014025,Public name for WBGene00014025. History: Renamed on 2007-02-16
asp-1,Y39B6A.20,asp-1,WBGene00000214,Public name for WBGene00000214. History: N.A.
aspm-1,C45G3.1,aspm-1,WBGene00008107,Public name for WBGene00008107. History: Renamed on 2006-09-21
atad-3,F54B3.3,atad-3,WBGene00010015,Public name for WBGene00010015. History: N.A.
atf-7,C07G2.2,atf-7,WBGene00000223,"Public name for WBGene00000223. History: Split into C07G2.5(WBGene00303035). History of WBGene00000223: Split into ""WBGene00303035"" on 2018-03-02"
atg-16.1,F02E8.5,atg-16.1,WBGene00017178,Public name for WBGene00017178. History: N.A.
atg-16.2,K06A1.5,atg-16.2,WBGene00019427,Public name for WBGene00019427. History: N.A.
atg-18,F41E6.13,atg-18,WBGene00018294,Public name for WBGene00018294. History: Renamed on 2006-04-27; Renamed on 2007-10-19; Renamed on 2008-02-29
atg-3,Y55F3AM.4,atg-3,WBGene00021922,Public name for WBGene00021922. History: N.A.
atg-4.1,Y87G2A.3,atg-4.1,WBGene00013595,Public name for WBGene00013595. History: N.A.
atg-5,Y71G12B.12,atg-5,WBGene00022152,Public name for WBGene00022152. History: Renamed on 2008-02-29
atg-7,M7.5,atg-7,WBGene00010882,Public name for WBGene00010882. History: Renamed on 2007-03-15; Renamed on 2008-02-29
athp-1,C44B9.4,athp-1,WBGene00008081,Public name for WBGene00008081. History: N.A.
atl-1,T06E4.3,atl-1,WBGene00000226,Public name for WBGene00000226. History: N.A.
atm-1,Y48G1BL.2,atm-1,WBGene00000227,Public name for WBGene00000227. History: N.A.
atx-2,D2045.1,atx-2,WBGene00000231,Public name for WBGene00000231. History: N.A.
atx-3,F28F8.6,atx-3,WBGene00006446,Public name for WBGene00006446. History: N.A.
ave-1,M01G5.6,ave-1,WBGene00044341,Public name for WBGene00044341. History: N.A.
B0001.2,B0001.2,B0001.2,WBGene00007087,Public name for WBGene00007087. History: N.A.
B0001.7,B0001.7,B0001.7,WBGene00007092,Public name for WBGene00007092. History: N.A.
B0001.8,B0001.8,B0001.8,WBGene00007093,Public name for WBGene00007093. History: N.A.
B0019.2,B0019.2,B0019.2,WBGene00007094,Public name for WBGene00007094. History: N.A.
B0024.10,B0024.10,B0024.10,WBGene00007100,Sequence name for WBGene00007100(asps-1). History: N.A.
B0024.11,B0024.11,B0024.11,WBGene00007101,Public name for WBGene00007101. History: N.A.
B0024.13,B0024.13,B0024.13,WBGene00007102,Public name for WBGene00007102. History: N.A.
B0025.4,B0025.4,B0025.4,WBGene00015001,Public name for WBGene00015001. History: N.A.
B0035.1,B0035.1,B0035.1,WBGene00007105,Sequence name for WBGene00007105(znf-207). History: N.A.
B0035.11,B0035.11,B0035.11,WBGene00007110,Sequence name for WBGene00007110(leo-1). History: N.A.
B0035.12,B0035.12,B0035.12,WBGene00007111,Sequence name for WBGene00007111(sart-3). History: N.A.
B0035.15,B0035.15,B0035.15,WBGene00007113,Public name for WBGene00007113. History: N.A.
B0035.3,B0035.3,B0035.3,WBGene00007106,Public name for WBGene00007106. History: N.A.
B0035.6,B0035.6,B0035.6,WBGene00007109,Sequence name for WBGene00007109(edg-1). History: N.A.
B0041.8,B0041.8,B0041.8,WBGene00015011,Public name for WBGene00015011. History: N.A.
B0205.1,B0205.1,B0205.1,WBGene00015017,Public name for WBGene00015017. History: N.A.
B0205.11,B0205.11,B0205.11,WBGene00015025,Sequence name for WBGene00015025(mrpl-9). History: N.A.
B0205.6,B0205.6,B0205.6,WBGene00015021,Sequence name for WBGene00015021(nfs-1). History: N.A.
B0205.9,B0205.9,B0205.9,WBGene00015023,Public name for WBGene00015023. History: N.A.
B0207.6,B0207.6,B0207.6,WBGene00015029,Public name for WBGene00015029. History: N.A.
B0238.11,B0238.11,B0238.11,WBGene00015075,Public name for WBGene00015075. History: N.A.
B0250.5,B0250.5,B0250.5,WBGene00007122,Public name for WBGene00007122. History: N.A.
B0261.1,B0261.1,B0261.1,WBGene00015091,Public name for WBGene00015091. History: N.A.
B0261.7,B0261.7,B0261.7,WBGene00015095,Public name for WBGene00015095. History: N.A.
B0273.3,B0273.3,B0273.3,WBGene00015098,Sequence name for WBGene00015098(snpc-3.1). History: N.A.
B0280.9,B0280.9,B0280.9,WBGene00015104,Public name for WBGene00015104. History: N.A.
B0285.4,B0285.4,B0285.4,WBGene00007137,Sequence name for WBGene00007137(lcmt-1). History: N.A.
B0303.15,B0303.15,B0303.15,WBGene00015133,Sequence name for WBGene00015133(mrpl-11). History: N.A.
B0303.4,B0303.4,B0303.4,WBGene00015126,Public name for WBGene00015126. History: N.A.
B0304.2,B0304.2,B0304.2,WBGene00015134,Public name for WBGene00015134. History: N.A.
B0334.4,B0334.4,B0334.4,WBGene00007144,Public name for WBGene00007144. History: N.A.
B0336.5,B0336.5,B0336.5,WBGene00015145,Sequence name for WBGene00015145(arle-14). History: N.A.
B0361.2,B0361.2,B0361.2,WBGene00015156,Sequence name for WBGene00015156(cwf-19L2). History: N.A.
B0361.8,B0361.8,B0361.8,WBGene00015162,Sequence name for WBGene00015162(algn-11). History: N.A.
B0365.1,B0365.1,B0365.1,WBGene00007150,Sequence name for WBGene00007150(acly-2). History: N.A.
B0393.3,B0393.3,B0393.3,WBGene00007168,Public name for WBGene00007168. History: N.A.
B0432.10,B0432.10,B0432.10,WBGene00015191,Public name for WBGene00015191. History: N.A.
B0432.13,B0432.13,B0432.13,WBGene00015194,Sequence name for WBGene00015194(trul-1). History: N.A.
B0432.6,B0432.6,B0432.6,WBGene00015188,"Public name for Dead gene WBGene00015187. History of WBGene00015187: Merged into ""WBGene00015188"" on 2015-04-30"
B0432.8,B0432.8,B0432.8,WBGene00015189,Public name for WBGene00015189. History: N.A.
B0464.2,B0464.2,B0464.2,WBGene00007184,Sequence name for WBGene00007184(ctr-9). History: Renamed on 2014-11-12
B0464.6,B0464.6,B0464.6,WBGene00007186,Public name for WBGene00007186. History: N.A.
B0464.9,B0464.9,B0464.9,WBGene00007188,Public name for WBGene00007188. History: N.A.
B0491.1,B0491.1,B0491.1,WBGene00007189,Sequence name for WBGene00007189(pigm-1). History: N.A.
B0491.6,B0491.6,B0491.6,WBGene00007193,Public name for WBGene00007193. History: N.A.
B0491.7,B0491.7,B0491.7,WBGene00007194,Sequence name for WBGene00007194(dph-5). History: N.A.
B0495.5,B0495.5,B0495.5,WBGene00015204,Public name for WBGene00015204. History: N.A.
B0495.6,B0495.6,B0495.6,WBGene00015205,Sequence name for WBGene00015205(moa-2). History: N.A.
B0495.8,B0495.8,B0495.8,WBGene00015207,Sequence name for WBGene00015207(luc-7L). History: N.A.
B0511.12,B0511.12,B0511.12,WBGene00015237,Public name for WBGene00015237. History: N.A.
B0511.6,B0511.6,B0511.6,WBGene00015232,Public name for WBGene00015232. History: N.A.
B0511.7,B0511.7,B0511.7,WBGene00015233,Public name for WBGene00015233. History: N.A.
B0513.2,B0513.2,B0513.2,WBGene00007195,Sequence name for WBGene00007195(thoc-7). History: N.A.
B0546.4,B0546.4,B0546.4,WBGene00015251,Public name for WBGene00015251. History: N.A.
baf-1,B0464.7,baf-1,WBGene00000235,Public name for WBGene00000235. History: Renamed on 2006-12-04
bath-2,F52C6.11,bath-2,WBGene00018668,Public name for WBGene00018668. History: N.A.
bath-40,Y105E8B.4,bath-40,WBGene00013689,Public name for WBGene00013689. History: N.A.
bath-43,T16H12.5,,,
bath-44,C07D10.2,bath-44,WBGene00015567,Public name for WBGene00015567. History: N.A.
bcs-1,F54C9.6,bcs-1,WBGene00010042,Public name for WBGene00010042. History: N.A.
BE0003N10.1,BE0003N10.1,BE0003N10.1,WBGene00015266,Public name for WBGene00015266. History: N.A.
bec-1,T19E7.3,bec-1,WBGene00000247,Public name for WBGene00000247. History: Renamed on 2008-02-29
bed-1,Y39B6A.12,bed-1,WBGene00012674,Public name for WBGene00012674. History: N.A.
bed-2,Y47D3B.9,bed-2,WBGene00012943,Public name for WBGene00012943. History: N.A.
bet-2,F57C7.1,bet-2,WBGene00010199,Public name for WBGene00010199. History: N.A.
bmy-1,F09E5.17,bmy-1,WBGene00017293,Public name for WBGene00017293. History: N.A.
bra-2,F23H11.1,bra-2,WBGene00017757,Public name for WBGene00017757. History: Renamed on 2005-05-06
brc-1,C36A4.8,brc-1,WBGene00000264,Public name for WBGene00000264. History: N.A.
brc-2,T07E3.5,brc-2,WBGene00020316,Public name for WBGene00020316. History: N.A.
brd-1,K04C2.4,brd-1,WBGene00000265,Public name for WBGene00000265. History: N.A.
brf-1,F45E12.2,brf-1,WBGene00000271,Public name for WBGene00000271. History: N.A.
btb-19,F57C2.2,btb-19,WBGene00010194,Public name for WBGene00010194. History: N.A.
btb-20,F57C2.1,btb-20,WBGene00010193,Public name for WBGene00010193. History: N.A.
btb-6,F45C12.7,btb-6,WBGene00018438,Public name for WBGene00018438. History: N.A.
btf-1,F15D4.1,btf-1,WBGene00000274,Public name for WBGene00000274. History: N.A.
bub-3,Y54G9A.6,bub-3,WBGene00013209,Public name for WBGene00013209. History: N.A.
byn-1,F57B9.5,byn-1,WBGene00000276,Public name for WBGene00000276. History: N.A.
C01A2.4,C01A2.4,C01A2.4,WBGene00007216,Public name for WBGene00007216. History: N.A.
C01B10.9,C01B10.9,C01B10.9,WBGene00015283,Public name for WBGene00015283. History: N.A.
C01B12.2,C01B12.2,C01B12.2,WBGene00015285,Sequence name for WBGene00015285(gmeb-1). History: N.A.
C01F1.1,C01F1.1,C01F1.1,WBGene00015296,Sequence name for WBGene00015296(gtf-2F1). History: N.A.
C01F1.6,C01F1.6,C01F1.6,WBGene00015301,Public name for WBGene00015301. History: N.A.
C01G10.8,C01G10.8,C01G10.8,WBGene00007235,Sequence name for WBGene00007235(ahsa-1). History: N.A.
C01G5.6,C01G5.6,C01G5.6,WBGene00015308,Sequence name for WBGene00015308(ddi-1). History: N.A.
C01G6.3,C01G6.3,C01G6.3,WBGene00007225,Public name for WBGene00007225. History: N.A.
C01G6.5,C01G6.5,C01G6.5,WBGene00007227,Public name for WBGene00007227. History: N.A.
C01G8.1,C01G8.1,C01G8.1,WBGene00015312,Public name for WBGene00015312. History: N.A.
C01H6.9,C01H6.9,C01H6.9,WBGene00007258,Sequence name for WBGene00007258(hasp-1). History: N.A.
C02B10.4,C02B10.4,C02B10.4,WBGene00015329,Public name for WBGene00015329. History: N.A.
C02B10.5,C02B10.5,C02B10.5,WBGene00015330,Public name for WBGene00015330. History: N.A.
C02D5.4,C02D5.4,C02D5.4,WBGene00043097,Public name for WBGene00043097. History: Killed on 2004-10-04; Resurrected on 2010-04-29
C02F12.8,C02F12.8,C02F12.8,WBGene00015357,Public name for WBGene00015357. History: N.A.
C02F5.3,C02F5.3,C02F5.3,WBGene00015346,Public name for WBGene00015346. History: N.A.
C02F5.6,C02F5.6,C02F5.6,WBGene00015349,Sequence name for WBGene00015349(henn-1). History: N.A.
C02G6.1,C02G6.1,C02G6.1,WBGene00015359,Public name for WBGene00015359. History: N.A.
C02G6.2,C02G6.2,C02G6.2,WBGene00015360,Public name for WBGene00015360. History: N.A.
C03H5.3,C03H5.3,C03H5.3,WBGene00015405,Public name for WBGene00015405. History: N.A.
C04C11.2,C04C11.2,C04C11.2,WBGene00007296,Sequence name for WBGene00007296(arrd-25). History: N.A.
C04C3.3,C04C3.3,C04C3.3,WBGene00015413,Sequence name for WBGene00015413(pdhb-1). History: N.A.
C04F5.8,C04F5.8,C04F5.8,WBGene00015450,Public name for WBGene00015450. History: N.A.
C05C10.2,C05C10.2,C05C10.2,WBGene00007329,Public name for WBGene00007329. History: N.A.
C05C10.3,C05C10.3,C05C10.3,WBGene00007330,Public name for WBGene00007330. History: N.A.
C05C10.5,C05C10.5,C05C10.5,WBGene00007332,Public name for WBGene00007332. History: N.A.
C05C8.2,C05C8.2,C05C8.2,WBGene00015461,Sequence name for WBGene00015461(krr-1). History: N.A.
C05C8.5,C05C8.5,C05C8.5,WBGene00015462,Public name for WBGene00015462. History: N.A.
C05C8.6,C05C8.6,C05C8.6,WBGene00015463,Sequence name for WBGene00015463(hpo-9). History: N.A.
C05D10.1,C05D10.1,C05D10.1,WBGene00015477,Sequence name for WBGene00015477(attf-4). History: N.A.
C05D11.1,C05D11.1,C05D11.1,WBGene00015481,Public name for WBGene00015481. History: N.A.
C05D11.10,C05D11.10,C05D11.10,WBGene00015487,Sequence name for WBGene00015487(mrps-17). History: N.A.
C05D11.7,C05D11.7,C05D11.7,WBGene00015484,Sequence name for WBGene00015484(atgl-1). History: N.A.
C05D11.9,C05D11.9,C05D11.9,WBGene00015486,Sequence name for WBGene00015486(popl-1). History: N.A.
C05D2.6,C05D2.6,C05D2.6,WBGene00015468,Sequence name for WBGene00015468(madf-11). History: N.A.
C06A5.1,C06A5.1,C06A5.1,WBGene00015499,Sequence name for WBGene00015499(ints-1). History: Renamed on 2015-02-09; Renamed on 2019-02-06; Renamed on 2019-05-20
C06A5.3,C06A5.3,C06A5.3,WBGene00015501,Public name for WBGene00015501. History: N.A.
C06A5.8,C06A5.8,C06A5.8,WBGene00015505,Public name for WBGene00015505. History: N.A.
C06A6.2,C06A6.2,C06A6.2,WBGene00015507,Public name for WBGene00015507. History: N.A.
C06A6.4,C06A6.4,C06A6.4,WBGene00015509,Public name for WBGene00015509. History: N.A.
C06A8.2,C06A8.2,C06A8.2,WBGene00015513,Sequence name for WBGene00015513(snpc-1.1). History: N.A.
C06G4.1,C06G4.1,C06G4.1,WBGene00015557,Sequence name for WBGene00015557(hrpk-2). History: N.A.
C06H2.2,C06H2.2,C06H2.2,WBGene00007386,Public name for WBGene00007386. History: N.A.
C06H2.6,C06H2.6,C06H2.6,WBGene00007390,Sequence name for WBGene00007390(lmtr-3). History: N.A.
C07A9.2,C07A9.2,C07A9.2,WBGene00007400,Sequence name for WBGene00007400(bud-31). History: N.A.
C07D8.6,C07D8.6,C07D8.6,WBGene00015565,Public name for WBGene00015565. History: N.A.
C07H6.2,C07H6.2,C07H6.2,WBGene00015579,Public name for WBGene00015579. History: N.A.
C07H6.4,C07H6.4,C07H6.4,WBGene00015581,Sequence name for WBGene00015581(sap-140). History: N.A.
C08B11.3,C08B11.3,C08B11.3,WBGene00007433,Sequence name for WBGene00007433(swsn-7). History: N.A.
C08B6.7,C08B6.7,C08B6.7,WBGene00007428,"Sequence name for WBGene00007428(wdr-20). History: Split into C08B6.18(WBGene00303036). History of WBGene00007428: Renamed on 2013-07-04; Split into ""WBGene00303036"" on 2018-03-02"
C08C3.4,C08C3.4,C08C3.4,WBGene00015591,Sequence name for WBGene00015591(cyk-7). History: N.A.
C08F8.9,C08F8.9,C08F8.9,WBGene00007449,Public name for WBGene00007449. History: N.A.
C08H9.16,C08H9.16,C08H9.16,WBGene00086566,Public name for WBGene00086566. History: N.A.
C08H9.3,C08H9.3,C08H9.3,WBGene00007464,Sequence name for WBGene00007464(algn-8). History: N.A.
C09B8.5,C09B8.5,C09B8.5,WBGene00015624,Public name for WBGene00015624. History: N.A.
C09D4.4,C09D4.4,C09D4.4,WBGene00015635,Public name for WBGene00015635. History: N.A.
C09E7.6,C09E7.6,C09E7.6,WBGene00015640,Public name for WBGene00015640. History: N.A.
C09E7.7,C09E7.7,C09E7.7,WBGene00015641,Public name for WBGene00015641. History: N.A.
C09E9.1,C09E9.1,C09E9.1,WBGene00007476,Public name for WBGene00007476. History: N.A.
C09G4.4,C09G4.4,C09G4.4,WBGene00044001,Public name for WBGene00044001. History: N.A.
C09G9.2,C09G9.2,C09G9.2,WBGene00007493,Sequence name for WBGene00007493(npp-23). History: N.A.
C09H10.10,C09H10.10,C09H10.10,WBGene00007504,Sequence name for WBGene00007504(nbs-1). History: N.A.
C09H10.7,C09H10.7,C09H10.7,WBGene00003133,"Sequence name for Dead gene WBGene00007501. History of WBGene00007501: Merged into ""WBGene00003133"" on 2022-01-03. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC."
C10C5.1,C10C5.1,C10C5.1,WBGene00007505,Sequence name for WBGene00007505(pezo-1). History: N.A.
C10E2.6,C10E2.6,C10E2.6,WBGene00015676,Sequence name for WBGene00015676(mct-6). History: N.A.
C10G11.6,C10G11.6,C10G11.6,WBGene00015686,Public name for WBGene00015686. History: N.A.
C10G11.7,C10G11.7,C10G11.7,WBGene00015687,Sequence name for WBGene00015687(chdp-1). History: N.A.
C10H11.8,C10H11.8,C10H11.8,WBGene00015697,Sequence name for WBGene00015697(mlst-8). History: N.A.
C11D2.4,C11D2.4,C11D2.4,WBGene00015702,Public name for WBGene00015702. History: N.A.
C11D2.7,C11D2.7,C11D2.7,WBGene00015703,Public name for WBGene00015703. History: N.A.
C11H1.3,C11H1.3,C11H1.3,WBGene00007529,Public name for WBGene00007529. History: N.A.
C13B7.6,C13B7.6,C13B7.6,WBGene00015731,Public name for WBGene00015731. History: N.A.
C13B9.3,C13B9.3,C13B9.3,WBGene00015734,Sequence name for WBGene00015734(copd-1). History: N.A.
C13F10.4,C13F10.4,C13F10.4,WBGene00015743,Sequence name for WBGene00015743(soap-1). History: N.A.
C13F10.5,C13F10.5,C13F10.5,WBGene00015744,Public name for WBGene00015744. History: N.A.
C13F10.6,C13F10.6,C13F10.6,WBGene00015745,"Public name for WBGene00015745. History: Split into C13F10.8(WBGene00303039). History of WBGene00015745: Split into ""WBGene00303039"" on 2018-03-02"
C13F10.7,C13F10.7,C13F10.7,WBGene00015746,Public name for WBGene00015746. History: N.A.
C14A4.14,C14A4.14,C14A4.14,WBGene00007564,Sequence name for WBGene00007564(mrps-22). History: N.A.
C14A4.3,C14A4.3,C14A4.3,WBGene00007556,Sequence name for WBGene00007556(algn-9). History: N.A.
C14B1.10,C14B1.10,C14B1.10,WBGene00007581,Sequence name for WBGene00007581(alkb-8). History: N.A.
C14B1.12,C14B1.12,C14B1.12,WBGene00184990,Public name for WBGene00184990. History: N.A.
C14B1.2,C14B1.2,C14B1.2,WBGene00007573,Public name for WBGene00007573. History: N.A.
C14B1.3,C14B1.3,C14B1.3,WBGene00007574,Public name for WBGene00007574. History: N.A.
C14B9.8,C14B9.8,C14B9.8,WBGene00015754,Public name for WBGene00015754. History: N.A.
C14C10.4,C14C10.4,C14C10.4,WBGene00007587,Sequence name for WBGene00007587(mma-1). History: N.A.
C14C10.5,C14C10.5,C14C10.5,WBGene00007588,Public name for WBGene00007588. History: N.A.
C14C11.2,C14C11.2,C14C11.2,WBGene00015766,Public name for WBGene00015766. History: N.A.
C14F11.1,C14F11.1,C14F11.1,WBGene00015778,Sequence name for WBGene00015778(got-2.2). History: N.A.
C15C6.3,C15C6.3,C15C6.3,WBGene00007602,Public name for WBGene00007602. History: N.A.
C15H11.8,C15H11.8,C15H11.8,WBGene00007616,Sequence name for WBGene00007616(rpoa-12). History: N.A.
C15H9.4,C15H9.4,C15H9.4,WBGene00015800,Public name for WBGene00015800. History: N.A.
C16A11.10,C16A11.10,C16A11.10,WBGene00185089,Public name for WBGene00185089. History: N.A.
C16A11.2,C16A11.2,C16A11.2,WBGene00015815,Public name for WBGene00015815. History: N.A.
C16A11.3,C16A11.3,C16A11.3,WBGene00015816,"Public name for WBGene00015816. History: Split into C16A11.10(WBGene00185089). History of WBGene00015816: Split into ""WBGene00185089"" on 2009-03-13"
C16A11.4,C16A11.4,C16A11.4,WBGene00015817,Public name for WBGene00015817. History: N.A.
C16A3.1,C16A3.1,C16A3.1,WBGene00015806,Sequence name for WBGene00015806(smrc-1). History: N.A.
C16A3.4,C16A3.4,C16A3.4,WBGene00015809,Sequence name for WBGene00015809(znf-622). History: N.A.
C16A3.5,C16A3.5,C16A3.5,WBGene00015810,Public name for WBGene00015810. History: N.A.
C16A3.6,C16A3.6,C16A3.6,WBGene00015811,Public name for WBGene00015811. History: N.A.
C16C10.1,C16C10.1,C16C10.1,WBGene00007622,Public name for WBGene00007622. History: N.A.
C16C10.2,C16C10.2,C16C10.2,WBGene00007623,Public name for WBGene00007623. History: N.A.
C16C10.4,C16C10.4,C16C10.4,WBGene00007625,Public name for WBGene00007625. History: N.A.
C16C10.8,C16C10.8,C16C10.8,WBGene00007628,Public name for WBGene00007628. History: N.A.
C16C2.4,C16C2.4,C16C2.4,WBGene00007621,Public name for WBGene00007621. History: N.A.
C16C8.5,C16C8.5,C16C8.5,WBGene00015843,Public name for WBGene00015843. History: N.A.
C16E9.2,C16E9.2,C16E9.2,WBGene00015866,Public name for WBGene00015866. History: N.A.
