Gene name,Sample 1,Sample 2,log2FoldChange,adjusted p-value,Input,Suggested Match,History
WBGene00020501,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.38474879801578,1.12541651127869e-18,WBGene00020501,WBGene00020501,"History: Split into T14B4.20(WBGene00303080). History of WBGene00020501: Split into ""WBGene00303080"" on 2018-03-02"
WBGene00008584,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.37451038822649,1.66286777437689e-39,WBGene00008584,WBGene00008584,History: N.A.
WBGene00003553,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.35717513705666,4.38448200257533e-47,WBGene00003553,WBGene00003553,History: N.A.
WBGene00006956,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.35093390222416,1.66994958767267e-41,WBGene00006956,WBGene00006956,History: N.A.
WBGene00012596,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.34806662274453,1.3542421562486802e-35,WBGene00012596,WBGene00012596,History: N.A.
WBGene00001692,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.34632283220685,6.85581466271013e-45,WBGene00001692,WBGene00001692,History: N.A.
WBGene00003968,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.34346856852324,1.6424614151495097e-36,WBGene00003968,WBGene00003968,History: N.A.
WBGene00018295,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.33867440743746,1.11024885764785e-20,WBGene00018295,WBGene00018295,History: N.A.
WBGene00012257,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.33705868672537,4.6391186508923494e-36,WBGene00012257,WBGene00012257,History: N.A.
WBGene00008964,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.33276015670259,4.93470690976268e-33,WBGene00008964,WBGene00008964,History: N.A.
WBGene00001702,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.33259418223575,3.76261685370044e-20,WBGene00001702,WBGene00001702,History: N.A.
WBGene00001699,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.33206432557464,2.36025094165618e-38,WBGene00001699,WBGene00001699,History: N.A.
WBGene00013489,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.32858621698991,9.309368209977492e-35,WBGene00013489,WBGene00013489,History: N.A.
WBGene00012255,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.32810732531511,1.33425393143294e-41,WBGene00012255,WBGene00012255,History: N.A.
WBGene00009094,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.3204703380518,7.34721658751257e-38,WBGene00009094,WBGene00009094,History: N.A.
WBGene00010893,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.31615683084591,9.09818209027685e-07,WBGene00010893,WBGene00010893,History: N.A.
WBGene00018418,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.31165369371453,3.2806545485336e-46,WBGene00018418,WBGene00018418,History: N.A.
WBGene00015019,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.29689552802126,7.51562730968409e-15,WBGene00015019,WBGene00015019,History: N.A.
WBGene00017991,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.29653644431305,5.38955004004519e-53,WBGene00017991,WBGene00017991,History: N.A.
WBGene00020083,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.28817429625104,9.51521602067078e-36,WBGene00020083,WBGene00020083,History: N.A.
WBGene00009342,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.28667541172514,3.21446546183333e-47,WBGene00009342,WBGene00009342,History: Renamed on 2015-03-06
WBGene00008640,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.28336547450032,2.8546368346351004e-10,WBGene00008640,WBGene00008640,History: N.A.
WBGene00011024,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.27423905860917,1.37851508347174e-19,WBGene00011024,WBGene00011024,History: N.A.
WBGene00044074,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.27356158499873,8.81113733068351e-25,WBGene00044074,WBGene00044074,History: N.A.
WBGene00001432,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.24915946839171,2.6102886933657506e-21,WBGene00001432,WBGene00001432,History: N.A.
WBGene00001072,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.24461118174887,3.3138947975831103e-32,WBGene00001072,WBGene00001072,"History: Split into T14B4.19(WBGene00302993). History of WBGene00001072: Split into ""WBGene00302993"" on 2018-03-06"
WBGene00019212,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.24320460370295,6.46503929347056e-28,WBGene00019212,WBGene00019212,History: N.A.
WBGene00011023,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.23569670776475,2.73582146635682e-19,WBGene00011023,WBGene00011023,History: N.A.
WBGene00020484,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.23177733852206,1.3126013062879e-12,WBGene00020484,WBGene00020484,History: N.A.
WBGene00023416,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.22604780924579,1.75769744786313e-44,WBGene00023416,WBGene00023416,History: Renamed on 2014-03-04
WBGene00000623,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.22447966875138,1.86699714301354e-25,WBGene00000623,WBGene00000623,History: N.A.
WBGene00000722,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.22320082663498,7.026646892575201e-32,WBGene00000722,WBGene00000722,History: N.A.
WBGene00012791,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.21530170305254,2.02990156208626e-35,WBGene00012791,WBGene00012791,History: N.A.
WBGene00017020,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.21523841115449,5.3762560623779e-24,WBGene00017020,WBGene00017020,History: N.A.
WBGene00044034,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.20182643491264,5.76979814096508e-07,WBGene00044034,WBGene00044034,"History: Split into Y38E10A.34(WBGene00304775). History of WBGene00044034: Split into ""WBGene00304775"" on 2019-03-13"
WBGene00019148,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.19648941436327,4.76206714660953e-48,WBGene00019148,WBGene00019148,History: N.A.
WBGene00021963,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.19524031211797,7.95419025720598e-20,WBGene00021963,WBGene00021963,"History: Split into Y57E12B.10(WBGene00202501). History of WBGene00021963: Split into ""WBGene00202501"" on 2010-10-29"
WBGene00011952,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.18490423023075,8.69556278572913e-39,WBGene00011952,WBGene00011952,History: N.A.
WBGene00000702,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.17091053923995,5.510416380147631e-25,WBGene00000702,WBGene00000702,History: N.A.
WBGene00000220,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.1568828202217,6.66578427973164e-34,WBGene00000220,WBGene00000220,History: N.A.
WBGene00004264,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.15658132011328,1.08821270190037e-57,WBGene00004264,WBGene00004264,History: N.A.
WBGene00011468,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.15394887356287,2.59688961020228e-10,WBGene00011468,WBGene00011468,History: N.A.
WBGene00012648,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.15302495989079,3.65039300043774e-29,WBGene00012648,WBGene00012648,History: N.A.
WBGene00009318,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.14339693473696,1.1347482384834e-13,WBGene00009318,WBGene00009318,History: N.A.
WBGene00020250,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.13819752957421,1.6394910318885102e-44,WBGene00020250,WBGene00020250,History: N.A.
WBGene00017535,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.13542133560448,1.20117772276807e-25,WBGene00017535,WBGene00017535,History: N.A.
WBGene00001065,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.13434457072877,1.21543606486034e-32,WBGene00001065,WBGene00001065,History: N.A.
WBGene00002393,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.13121484499682,5.14917150552634e-28,WBGene00002393,WBGene00002393,History: Renamed on 2007-11-27
WBGene00012032,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.1248822364685,3.77049062977652e-35,WBGene00012032,WBGene00012032,History: N.A.
WBGene00010321,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.12478366680674,3.8458971118400504e-31,WBGene00010321,WBGene00010321,History: N.A.
WBGene00018743,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.10685602263553,8.58461924548172e-21,WBGene00018743,WBGene00018743,History: N.A.
WBGene00013673,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.10508241482901,9.893017955095309e-34,WBGene00013673,WBGene00013673,History: N.A.
WBGene00006948,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.10418734344695,3.1988591042619293e-28,WBGene00006948,WBGene00006948,History: N.A.
WBGene00001070,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.10391069108016,1.82764531542592e-37,WBGene00001070,WBGene00001070,History: N.A.
WBGene00019021,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.0960197971027,1.12912835298185e-25,WBGene00019021,WBGene00019021,History: N.A.
WBGene00000251,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.09065676100239,4.6173539333442505e-31,WBGene00000251,WBGene00000251,History: N.A.
WBGene00016283,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.08616135747675,7.32564595462298e-20,WBGene00016283,WBGene00016283,History: N.A.
WBGene00000870,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.07929331724913,2.67902331361783e-16,WBGene00000870,WBGene00000870,History: N.A.
WBGene00001064,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.07346801999104,9.90805749652201e-28,WBGene00001064,WBGene00001064,History: N.A.
WBGene00015298,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.06971118286097,1.0647438467459e-34,WBGene00015298,WBGene00015298,History: Renamed on 2005-03-17
WBGene00000749,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.06087794470049,3.86364942059378e-09,WBGene00000749,WBGene00000749,History: N.A.
WBGene00007530,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.06073655987992,2.2433727507812603e-19,WBGene00007530,WBGene00007530,History: N.A.
WBGene00019198,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.05214395198325,4.4059698387014704e-23,WBGene00019198,WBGene00019198,History: N.A.
WBGene00019268,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.04844629327681,6.286928919516191e-35,WBGene00019268,WBGene00019268,History: N.A.
WBGene00008152,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.04818591940182,5.43339209628845e-16,WBGene00008152,WBGene00008152,History: N.A.
WBGene00018256,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.03775749486667,3.48614390178033e-39,WBGene00018256,WBGene00018256,History: N.A.
WBGene00015300,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.03492910904507,1.03889917434146e-32,WBGene00015300,WBGene00015300,History: N.A.
WBGene00010673,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.03087276538921,2.11056723273244e-26,WBGene00010673,WBGene00010673,History: N.A.
WBGene00003622,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.03023178818906,1.70514867415476e-22,WBGene00003622,WBGene00003622,History: Renamed on 2015-03-05
WBGene00023395,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.02844675140068,4.81280100093628e-12,WBGene00023395,WBGene00023395,History: N.A.
WBGene00020873,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.02298657203333,5.7190413140991e-09,WBGene00020873,WBGene00020873,History: N.A.
WBGene00022245,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.02174546581159,6.0947658182434895e-30,WBGene00022245,WBGene00022245,History: N.A.
WBGene00045246,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.01997861557406,3.6410379189459695e-18,WBGene00045246,WBGene00045246,History: N.A.
WBGene00015419,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.00889611731542,6.25191266880801e-05,WBGene00015419,WBGene00015419,History: N.A.
WBGene00017819,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.00693792058006,3.17204160463818e-16,WBGene00017819,WBGene00017819,History: N.A.
WBGene00008762,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.99604630066426,2.7430952074581e-22,WBGene00008762,WBGene00008762,History: N.A.
WBGene00012917,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.99277487104726,1.58327478855953e-36,WBGene00012917,WBGene00012917,History: N.A.
WBGene00021247,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.97275943272518,2.32047966211868e-29,WBGene00021247,WBGene00021247,History: N.A.
WBGene00016276,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.97144692852524,1.06883697456953e-19,WBGene00016276,WBGene00016276,History: N.A.
WBGene00001069,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.96964810543806,3.38638137335763e-30,WBGene00001069,WBGene00001069,History: N.A.
WBGene00007891,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.96415636383215,3.16968065922051e-16,WBGene00007891,WBGene00007891,History: N.A.
WBGene00021529,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.96265454395051,2.06501383674086e-17,WBGene00021529,WBGene00021529,History: N.A.
WBGene00014254,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.95711626996749,9.97210548435606e-07,WBGene00014254,WBGene00014254,History: N.A.
WBGene00021976,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.95659160666342,2.14712516861186e-16,WBGene00021976,WBGene00021976,History: N.A.
WBGene00000624,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.95567794739128,6.56148295250088e-17,WBGene00000624,WBGene00000624,History: N.A.
WBGene00001071,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.95206823308006,6.13997168190094e-27,WBGene00001071,WBGene00001071,History: N.A.
WBGene00219208,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.95068703393243,4.08301793758316e-25,WBGene00219208,WBGene00219208,History: N.A.
WBGene00017421,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.94542000111089,5.049957013960101e-18,WBGene00017421,WBGene00017421,History: N.A.
WBGene00020365,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.9419658235093,2.27034370890637e-19,WBGene00020365,WBGene00020365,History: N.A.
WBGene00013820,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.94150566952514,5.0428155342690693e-11,WBGene00013820,WBGene00013820,History: N.A.
WBGene00003107,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.93551054712563,4.02223209878831e-37,WBGene00003107,WBGene00003107,History: N.A.
WBGene00003681,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.93401195806256,6.30823508699784e-24,WBGene00003681,WBGene00003681,History: N.A.
WBGene00019855,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.93229011137166,2.08836538287199e-26,WBGene00019855,WBGene00019855,History: N.A.
WBGene00016683,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.92914892405163,3.6438886926416204e-20,WBGene00016683,WBGene00016683,History: N.A.
WBGene00001626,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.92576964218736,3.29801459727356e-18,WBGene00001626,WBGene00001626,History: N.A.
WBGene00016403,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.91574265518793,4.96232320494584e-12,WBGene00016403,WBGene00016403,History: N.A.
WBGene00008712,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.90693837477081,2.26475067249792e-25,WBGene00008712,WBGene00008712,History: N.A.
WBGene00020855,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.90324620666021,2.64293590904913e-23,WBGene00020855,WBGene00020855,History: N.A.
WBGene00015152,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.90295646553994,2.20646872743285e-08,WBGene00015152,WBGene00015152,History: N.A.
WBGene00009371,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.90069603804358,7.007833416164031e-15,WBGene00009371,WBGene00009371,History: N.A.
WBGene00019285,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.89502890625596,1.05605149925391e-25,WBGene00019285,WBGene00019285,History: N.A.
WBGene00019426,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.88704798187345,1.71698138678284e-07,WBGene00019426,WBGene00019426,History: N.A.
WBGene00011077,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.8856614399918,7.740530371600221e-15,WBGene00011077,WBGene00011077,History: N.A.
WBGene00022033,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.88553415792618,4.69858253803377e-30,WBGene00022033,WBGene00022033,"History: Split into Y65B4BM.3(WBGene00302974). History of WBGene00022033: Split into ""WBGene00302974"" on 2018-03-06"
WBGene00044631,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.88538169285688,1.93833801229324e-15,WBGene00044631,WBGene00044631,History: Renamed on 2008-10-24
WBGene00009340,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.8846208873791,5.907454311038961e-31,WBGene00009340,WBGene00009340,History: N.A.
WBGene00012593,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.88262799504648,7.895515879730281e-09,WBGene00012593,WBGene00012593,History: N.A.
WBGene00005535,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.87857509917952,0.001822168310297,WBGene00005535,WBGene00005535,History: N.A.
WBGene00003482,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.87532648531489,3.10541957353211e-29,WBGene00003482,WBGene00003482,History: N.A.
WBGene00020487,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.87515896620802,9.10780887120223e-08,WBGene00020487,WBGene00020487,History: N.A.
WBGene00012941,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.86964483908542,1.62247711093162e-06,WBGene00012941,WBGene00012941,History: N.A.
WBGene00022616,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.86780608949986,0.0001576365010712,WBGene00022616,WBGene00022616,History: Split into ZC449.7(WBGene00045365). History of WBGene00022616: N.A.
WBGene00000618,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.86705821071994,1.3202031425733002e-22,WBGene00000618,WBGene00000618,History: N.A.
WBGene00044796,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.86244639147335,3.36596174409728e-14,WBGene00044796,WBGene00044796,History: N.A.
WBGene00012783,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.8546517678295,2.8425695667635704e-19,WBGene00012783,WBGene00012783,History: N.A.
WBGene00016329,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.85340704179254,8.25998583682359e-32,WBGene00016329,WBGene00016329,History: N.A.
WBGene00016625,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.85268863385681,1.6138421223345798e-12,WBGene00016625,WBGene00016625,History: N.A.
WBGene00022757,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.84989668313515,4.69944976634775e-06,WBGene00022757,WBGene00022757,History: N.A.
WBGene00044382,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.84926316645793,4.76849959291068e-05,WBGene00044382,WBGene00044382,History: N.A.
WBGene00019520,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.84897368147222,2.00217518895957e-31,WBGene00019520,WBGene00019520,History: N.A.
WBGene00022612,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.84860835250811,4.52108727115867e-19,WBGene00022612,WBGene00022612,History: N.A.
WBGene00021850,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.84071843897063,3.95854364890399e-44,WBGene00021850,WBGene00021850,History: N.A.
WBGene00012635,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.83988367640473,8.186123296103149e-34,WBGene00012635,WBGene00012635,History: N.A.
WBGene00004229,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.83564736743485,3.50040346187593e-29,WBGene00004229,WBGene00004229,History: Renamed on 2020-09-10
WBGene00001636,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-1.82909277573268,2.7688711130567906e-21,WBGene00001636,WBGene00001636,History: Renamed on 2006-06-29
