# Table S1,,,,,,,
# Differentially expressed STGs following L1 starvation. First condition: Fed P0, second condition: Starved P0. log2foldChange=log2(starved/fed),,,,,,
# *All of the comparisons were made using triplicates,,,,,,,
gene,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
R186.1,113.2090636,1.735393074,6.46E-20,1.83E-17,R186.1,WBGene00011305,Sequence name for WBGene00011305(hrg-9). History: N.A.
H03A11.2,2691.795711,-1.734737426,8.93E-23,3.27E-20,H03A11.2,WBGene00010357,Public name for WBGene00010357. History: N.A.
R09H10.5,29.71139695,-1.731329203,7.69E-09,5.90E-07,R09H10.5,WBGene00011182,Public name for WBGene00011182. History: N.A.
F55F3.8,9.766861843,1.718541277,1.26E-05,0.00046848,F55F3.8,WBGene00201369,Public name for WBGene00201369. History: N.A.
T27E4.3,66.58100137,1.699006444,1.33E-11,1.65E-09,T27E4.3,WBGene00002019,Sequence name for WBGene00002019(hsp-16.48). History: N.A.
F54B8.4,18.00073484,1.69185409,1.10E-06,5.50E-05,F54B8.4,WBGene00010019,Public name for WBGene00010019. History: N.A.
C52E4.1,12.3945532,-1.686692653,7.30E-06,0.000293686,C52E4.1,WBGene00000781,Sequence name for WBGene00000781(cpr-1). History: N.A.
B0350.73,9.116280185,1.685621816,1.30E-05,0.00048178,B0350.73,WBGene00199441,Public name for WBGene00199441. History: N.A.
T28F2.5,176.1378,1.682362001,7.03E-21,2.10E-18,T28F2.5,WBGene00000368,Sequence name for WBGene00000368(ccb-1). History: Renamed on 2015-03-05
K11E4.9,8.979669427,1.674707998,2.03E-05,0.000706943,K11E4.9,WBGene00198415,Public name for WBGene00198415. History: N.A.
Y54E5B.5,10.18133991,1.662379297,7.93E-06,0.0003156,Y54E5B.5,WBGene00014921,Public name for WBGene00014921. History: N.A.
F40D4.16,547.0379521,-1.659519076,1.43E-14,2.50E-12,F40D4.16,WBGene00194681,Public name for WBGene00194681. History: N.A.
T05E11.9,1022.823843,-1.659427159,1.01E-09,9.19E-08,T05E11.9,WBGene00014505,Public name for WBGene00014505. History: N.A.
F21F8.7,109.0317274,-1.654632311,5.39E-18,1.28E-15,F21F8.7,WBGene00000219,Sequence name for WBGene00000219(asp-6). History: N.A.
Y68A4A.13,6.676270977,1.649959135,2.67E-05,0.000905192,Y68A4A.13,WBGene00044212,Public name for WBGene00044212. History: N.A.
F57G4.13,11.4625956,1.647881099,2.57E-05,0.000878356,F57G4.13,WBGene00199551,Public name for WBGene00199551. History: N.A.
K01F9.7,11974.92759,-1.637842359,1.34E-14,2.37E-12,K01F9.7,WBGene00199557,Public name for WBGene00199557. History: N.A.
F58B3.1,95.11837642,-1.637474955,1.11E-15,2.29E-13,F58B3.1,WBGene00003093,Sequence name for WBGene00003093(lys-4). History: N.A.
F39F10.4,808.1039142,-1.634316693,3.92E-13,5.93E-11,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
F55F3.6,9.065708492,1.625703511,3.06E-05,0.001001624,F55F3.6,WBGene00198233,Public name for WBGene00198233. History: N.A.
C46F9.3,30.61786451,-1.624417832,7.68E-06,0.000307869,C46F9.3,WBGene00016719,Sequence name for WBGene00016719(math-24). History: N.A.
K01A2.8,3763.581497,-1.621063127,7.01E-10,6.63E-08,K01A2.8,WBGene00019282,Sequence name for WBGene00019282(mps-2). History: N.A.
R06C1.4,257.0732758,-1.614993075,4.43E-18,1.07E-15,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
C03G6.12,115.4047463,1.614036995,9.19E-16,1.93E-13,C03G6.12,WBGene00015397,Sequence name for WBGene00015397(nhr-149). History: N.A.
F10C1.7,3.777112193,-1.603775785,3.60E-05,0.001146093,F10C1.7,WBGene00002054,Sequence name for WBGene00002054(ifb-2). History: N.A.
Y53F4B.45,2297.993986,-1.602832186,5.51E-19,1.45E-16,Y53F4B.45,WBGene00044728,Public name for WBGene00044728. History: N.A.
T25C12.3,166.3733525,-1.602546716,8.97E-14,1.45E-11,T25C12.3,WBGene00012018,Public name for WBGene00012018. History: N.A.
C14C11.1,58.67048932,-1.59741094,4.44E-11,4.99E-09,C14C11.1,WBGene00015765,Public name for WBGene00015765. History: N.A.
C17D12.6,13.68207719,1.591957587,1.09E-05,0.000416211,C17D12.6,WBGene00004963,Sequence name for WBGene00004963(spe-9). History: N.A.
ZC47.13,45.30036644,-1.588966913,3.85E-11,4.45E-09,ZC47.13,WBGene00013844,Sequence name for WBGene00013844(fbxa-50). History: N.A.
F52D2.6,888.4305321,-1.586064726,1.58E-50,3.00E-47,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
K10G9.2,59.82945012,1.583923286,1.01E-12,1.47E-10,K10G9.2,WBGene00010756,Public name for WBGene00010756. History: N.A.
F22A3.6,6.683853735,-1.579643945,6.09E-05,0.001795215,F22A3.6,WBGene00017691,Sequence name for WBGene00017691(ilys-5). History: N.A.
Y119D3B.8,70.44934131,-1.577506831,1.69E-09,1.49E-07,Y119D3B.8,WBGene00022486,Sequence name for WBGene00022486(fbxa-61). History: N.A.
F42A10.6,5.279114382,-1.577031439,6.87E-05,0.00199307,F42A10.6,WBGene00018342,Public name for WBGene00018342. History: N.A.
C18B2.5,15.5787141,-1.575137052,1.10E-05,0.000416211,C18B2.5,WBGene00015956,Public name for WBGene00015956. History: N.A.
F57F5.1,98.04141518,-1.568885941,1.73E-19,4.78E-17,F57F5.1,WBGene00010204,Sequence name for WBGene00010204(cpr-9). History: N.A.
C03A7.14,38.08524244,1.542339059,3.10E-09,2.51E-07,C03A7.14,WBGene00000031,Sequence name for WBGene00000031(abu-8). History: N.A.
W07B8.5,48.3718494,-1.53831207,1.10E-08,8.20E-07,W07B8.5,WBGene00000785,Sequence name for WBGene00000785(cpr-5). History: N.A.
T25G12.11,2474.061185,-1.536595879,2.27E-07,1.31E-05,T25G12.11,WBGene00020817,Public name for WBGene00020817. History: N.A.
Y116A8B.4,56.47191359,-1.535397833,8.95E-06,0.000351441,Y116A8B.4,WBGene00013781,Public name for WBGene00013781. History: N.A.
VC5.3,40.26489823,-1.533961845,1.50E-10,1.58E-08,VC5.3,WBGene00003786,Sequence name for WBGene00003786(npa-1). History: N.A.
W06H8.8,287.6118312,1.530935448,6.88E-19,1.77E-16,W06H8.8,WBGene00006436,"Sequence name for WBGene00006436(ttn-1). History: Renamed on 2005-12-13. Public name for Dead gene WBGene00021069. History of WBGene00021069: Merged into ""WBGene00006436"" on 2004-05-28"
ZC317.6,190.7029584,-1.530646407,1.03E-14,1.86E-12,ZC317.6,WBGene00022589,Public name for WBGene00022589. History: N.A.
K10C9.8,14.85221141,1.526125125,2.76E-05,0.000930686,K10C9.8,WBGene00006255,Sequence name for WBGene00006255(str-224). History: N.A.
T12B5.1,17.08145043,-1.523986088,1.37E-05,0.000503329,T12B5.1,WBGene00020448,Sequence name for WBGene00020448(fbxa-51). History: N.A.
EGAP2.3,7.023690836,-1.520102156,0.00012281,0.003232954,EGAP2.3,WBGene00004020,Sequence name for WBGene00004020(pho-1). History: N.A.
Y17D7B.10,79.20420226,-1.519468924,1.49E-08,1.08E-06,Y17D7B.10,WBGene00194982,Public name for WBGene00194982. History: N.A.
F16B12.2,26.14962421,-1.515457049,2.52E-07,1.44E-05,F16B12.2,WBGene00001106,Sequence name for WBGene00001106(dsl-4). History: N.A.
Y32G9A.1,28.34002438,1.513191434,1.46E-07,8.77E-06,Y32G9A.1,WBGene00001785,Sequence name for WBGene00001785(gst-37). History: N.A.
R01H10.6,123.0382579,-1.501756764,1.20E-15,2.42E-13,R01H10.6,WBGene00010974,Sequence name for WBGene00010974(bbs-5). History: Renamed on 2004-06-23; Renamed on 2006-05-22
F40F4.6,89.42549691,-1.485879341,7.69E-12,9.81E-10,F40F4.6,WBGene00018237,Sequence name for WBGene00018237(irg-7). History: Renamed on 2016-09-23
R144.1,13.94804112,1.485620554,1.77E-05,0.000629427,R144.1,WBGene00002218,Sequence name for WBGene00002218(klp-6). History: N.A.
VW02B12L.1,78.97399042,-1.478761762,7.26E-15,1.37E-12,VW02B12L.1,WBGene00006915,Sequence name for WBGene00006915(vha-6). History: N.A.
F20D12.5,170.7732573,-1.475203627,1.84E-20,5.34E-18,F20D12.5,WBGene00017644,Sequence name for WBGene00017644(exc-9). History: Renamed on 2005-07-22
F58E10.7,46.16617147,1.46818536,1.39E-08,1.02E-06,F58E10.7,WBGene00010262,Sequence name for WBGene00010262(droe-4). History: N.A.
C25B8.3,10.74125581,-1.465753,8.00E-05,0.002266049,C25B8.3,WBGene00000786,Sequence name for WBGene00000786(cpr-6). History: N.A.
ZC190.7,12.03380779,-1.464681265,3.51E-05,0.001124831,ZC190.7,WBGene00022541,Public name for WBGene00022541. History: N.A.
T14G10.8,699.3108198,1.46306233,3.05E-29,1.57E-26,T14G10.8,WBGene00011777,Public name for WBGene00011777. History: N.A.
W05B2.2,67.52128565,1.459975562,3.46E-09,2.79E-07,W05B2.2,WBGene00012271,Public name for WBGene00012271. History: N.A.
C54D1.6,8.72007231,-1.45951263,0.000111725,0.002982672,C54D1.6,WBGene00000238,Sequence name for WBGene00000238(bar-1). History: N.A.
F40E3.3,44.93840375,-1.446675835,2.16E-08,1.53E-06,F40E3.3,WBGene00018231,Public name for WBGene00018231. History: N.A.
F09E10.3,18.93519898,-1.445707792,3.95E-05,0.001235342,F09E10.3,WBGene00000988,Sequence name for WBGene00000988(dhs-25). History: N.A.
R10F2.1,934.0528037,1.442493432,2.12E-58,8.02E-55,R10F2.1,WBGene00019994,Sequence name for WBGene00019994(cdh-1). History: N.A.
F56E3.3,16.45099798,-1.439544897,1.03E-05,0.000396072,F56E3.3,WBGene00002217,Sequence name for WBGene00002217(klp-4). History: N.A.
F44F4.10,42.32936906,1.434495432,2.23E-06,0.000104558,F44F4.10,WBGene00009705,Public name for WBGene00009705. History: N.A.
C55B7.4,66.80352169,-1.434004339,8.23E-14,1.35E-11,C55B7.4,WBGene00016943,Sequence name for WBGene00016943(acdh-1). History: Renamed on 2004-08-25
F53B6.6,89.60451904,1.427525621,4.31E-09,3.44E-07,F53B6.6,WBGene00009961,Sequence name for WBGene00009961(cutl-7). History: N.A.
T08B1.1,18.50806289,-1.424341458,5.03E-06,0.000212825,T08B1.1,WBGene00020340,Public name for WBGene00020340. History: N.A.
Y7A9A.79,417.7021757,-1.419406552,5.68E-31,3.22E-28,Y7A9A.79,WBGene00185076,Public name for WBGene00185076. History: N.A.
T07A5.4,4.789029811,-1.412923174,0.000358057,0.007962675,T07A5.4,WBGene00011557,Public name for WBGene00011557. History: N.A.
Y105C5A.774,22.08205259,-1.402980678,6.60E-06,0.000270249,Y105C5A.774,WBGene00168647,Sequence name for WBGene00168647(21ur-7705). History: N.A.
Y39B6A.20,114.2131927,-1.396820223,5.76E-08,3.76E-06,Y39B6A.20,WBGene00000214,Sequence name for WBGene00000214(asp-1). History: N.A.
F54D10.2,460.0650596,-1.39549375,1.83E-16,3.91E-14,F54D10.2,WBGene00018803,Sequence name for WBGene00018803(fbxa-24). History: N.A.
T12B5.2,16.75540092,-1.391079488,0.000107739,0.002903582,T12B5.2,WBGene00020449,Sequence name for WBGene00020449(fbxa-54). History: N.A.
C02F5.10,139.8341475,-1.389982204,2.43E-15,4.76E-13,C02F5.10,WBGene00015351,Public name for WBGene00015351. History: N.A.
ZK455.1,41.32274084,-1.389958866,1.23E-06,6.16E-05,ZK455.1,WBGene00000040,Sequence name for WBGene00000040(aco-1). History: N.A.
W04E12.8,28.03385286,-1.387686338,7.32E-07,3.83E-05,W04E12.8,WBGene00012253,Sequence name for WBGene00012253(clec-50). History: N.A.
R12H7.2,64.97173493,-1.387395932,5.01E-12,6.54E-10,R12H7.2,WBGene00000217,Sequence name for WBGene00000217(asp-4). History: N.A.
C13B7.4,88.74151894,-1.371998518,2.76E-12,3.81E-10,C13B7.4,WBGene00005148,Sequence name for WBGene00005148(srd-71). History: N.A.
Y44A6D.5,62.33185368,1.369277964,3.66E-10,3.61E-08,Y44A6D.5,WBGene00012855,Public name for WBGene00012855. History: N.A.
Y45G12C.9,88.58245409,-1.368564262,3.72E-12,4.97E-10,Y45G12C.9,WBGene00021572,Sequence name for WBGene00021572(srd-72). History: N.A.
F58A4.5,61.26855592,-1.368372419,2.53E-09,2.14E-07,F58A4.5,WBGene00010228,Sequence name for WBGene00010228(clec-161). History: N.A.
B0261.8,776.0027741,1.365310631,1.30E-47,2.11E-44,B0261.8,WBGene00015096,Public name for WBGene00015096. History: N.A.
T04D3.4,96.16232834,1.362969997,1.17E-13,1.86E-11,T04D3.4,WBGene00001555,Sequence name for WBGene00001555(gcy-35). History: N.A.
Y54G2A.37,212.0292012,-1.362262077,3.88E-19,1.05E-16,Y54G2A.37,WBGene00023484,Public name for WBGene00023484. History: N.A.
Y39A3A.2,19.191292,1.357997305,3.48E-05,0.001120265,Y39A3A.2,WBGene00021433,Public name for WBGene00021433. History: N.A.
F29C12.7,62.11866617,1.356999991,5.39E-09,4.25E-07,F29C12.7,WBGene00009249,Public name for WBGene00009249. History: Killed on 2004-08-20; Resurrected on 2005-01-27
Y39G10AR.3,183.6712071,1.356516322,2.26E-18,5.57E-16,Y39G10AR.3,WBGene00021461,Sequence name for WBGene00021461(nekl-1). History: N.A.
F45H7.4,4.868542001,-1.351696429,0.00058007,0.011731687,F45H7.4,WBGene00004183,Sequence name for WBGene00004183(prk-2). History: N.A.
C32B5.17,2825.523159,1.346521287,8.82E-10,8.14E-08,C32B5.17,WBGene00044419,Sequence name for WBGene00044419(fbxc-17). History: N.A.
W01A11.3,61.97608003,-1.345145498,2.18E-11,2.61E-09,W01A11.3,WBGene00006815,Sequence name for WBGene00006815(unc-83). History: N.A.
K02A4.1,10.32060835,-1.34043241,0.000227153,0.005369335,K02A4.1,WBGene00001149,Sequence name for WBGene00001149(bcat-1). History: N.A.
F54F7.7,758.7638965,-1.326712609,8.27E-51,1.88E-47,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
ZC477.3,71.3534687,1.326271779,1.73E-07,1.02E-05,ZC477.3,WBGene00022618,Public name for WBGene00022618. History: N.A.
W03G1.4,289.3896439,-1.322851987,2.80E-14,4.81E-12,W03G1.4,,Sequence name for Suppressed gene WBGene00043538. Molecular name for Suppressed gene WBGene00043538. Public name for Suppressed gene WBGene00043538. History of WBGene00043538: Killed on 2004-10-04; Resurrected on 2005-09-09; Killed on 2011-01-21; Suppressed on 2013-07-30. Remark: The corresponding CDS object for this gene had been created and removed before WormBase introduced the concept of unique gene identifiers.  This (dead) gene object exists as an attempt to make sure that a gene ID exists for every worm gene prediction that has ever existed....[050610 pad] Automatic assignment of Sequence_name connection using info taken from Public_name tags....This gene has been resurrected because it may be a member of a small gene family and should not have been removed....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C05D11.13,253.1730873,1.321301819,1.31E-09,1.17E-07,C05D11.13,WBGene00015488,Public name for WBGene00015488. History: N.A.
W09D6.5,40.37360103,-1.321120051,9.19E-08,5.80E-06,W09D6.5,WBGene00012358,Public name for WBGene00012358. History: N.A.
K11C4.3,105.1259014,-1.320853037,4.16E-14,7.04E-12,K11C4.3,WBGene00006803,Sequence name for WBGene00006803(unc-70). History: N.A.
T09F5.1,4.239560305,1.316965114,0.000796726,0.015016036,T09F5.1,WBGene00011665,Public name for WBGene00011665. History: N.A.
R148.2,6.26873839,1.315130534,0.000902325,0.016728396,R148.2,WBGene00020101,Sequence name for WBGene00020101(lmtr-5). History: N.A.
Y37H2A.10,151.196079,1.312376707,2.00E-17,4.55E-15,Y37H2A.10,WBGene00012570,Public name for WBGene00012570. History: N.A.
C49F5.1,15.6367208,-1.310662699,0.000265209,0.006166116,C49F5.1,WBGene00008205,Sequence name for WBGene00008205(sams-1). History: Renamed on 2016-06-14
F21A3.3,9.973030687,1.298856332,0.000459295,0.009686179,F21A3.3,WBGene00008993,Public name for WBGene00008993. History: N.A.
T23G11.6,238.8604878,1.285513107,5.24E-12,6.76E-10,T23G11.6,WBGene00011971,Sequence name for WBGene00011971(lron-9). History: N.A.
C07G3.9,339.6541448,1.28341504,2.56E-22,8.53E-20,C07G3.9,WBGene00015577,Sequence name for WBGene00015577(ugt-64). History: N.A.
F55D10.2,4.886247847,-1.282684574,0.001175578,0.020713604,F55D10.2,WBGene00004438,Sequence name for WBGene00004438(rpl-25.1). History: N.A.
F53B6.2,43.54013345,1.273214424,3.39E-07,1.90E-05,F53B6.2,WBGene00009958,Sequence name for WBGene00009958(madd-4). History: N.A.
C11G6.3,19.67982968,-1.270325911,6.62E-05,0.001926593,C11G6.3,WBGene00006384,"Public name for Dead gene WBGene00007524. History of WBGene00007524: Merged into ""WBGene00006384"" on 2011-01-21"
F58B3.3,13.55100785,-1.268393855,0.000724523,0.014042253,F58B3.3,WBGene00003095,Sequence name for WBGene00003095(lys-6). History: N.A.
Y20F4.2,45.7777198,1.263917408,5.39E-06,0.0002267,Y20F4.2,WBGene00021237,Sequence name for WBGene00021237(crtc-1). History: N.A.
F37B4.2,3.757802284,-1.258709142,0.001411779,0.023660328,F37B4.2,WBGene00002055,Sequence name for WBGene00002055(ifc-1). History: N.A.
F25E2.4,58.36762138,1.257926836,2.81E-08,1.92E-06,F25E2.4,WBGene00002058,Sequence name for WBGene00002058(ifd-2). History: N.A.
F11C3.3,30.91668059,1.257371729,1.07E-05,0.000410892,F11C3.3,WBGene00006789,Sequence name for WBGene00006789(unc-54). History: N.A.
T27E4.7,5.031635224,-1.253905642,0.00154905,0.025508737,T27E4.7,WBGene00020865,Public name for WBGene00020865. History: N.A.
C29F9.10,92.41004615,-1.2517583,3.46E-05,0.001119051,C29F9.10,WBGene00016224,Sequence name for WBGene00016224(fbxa-57). History: N.A.
K08F4.8,15.51529425,1.246373103,0.000254025,0.005930389,K08F4.8,WBGene00003434,Sequence name for WBGene00003434(msp-38). History: N.A.
F55A12.7,7.991348542,-1.244476414,0.001305051,0.022333496,F55A12.7,WBGene00000150,Sequence name for WBGene00000150(apm-1). History: Renamed on 2015-03-05
T08H10.1,4.232144236,-1.244086856,0.001711982,0.027607503,T08H10.1,WBGene00020369,Sequence name for WBGene00020369(exc-15). History: N.A.
C25A1.4,657.0870928,-1.243501067,4.55E-09,3.61E-07,C25A1.4,WBGene00045383,Sequence name for WBGene00045383(sup-46). History: N.A.
K03F8.3,8.172075493,1.241726201,0.001695046,0.027516611,K03F8.3,WBGene00200078,Public name for WBGene00200078. History: N.A.
F54B11.5,143.3848234,-1.238488217,9.94E-18,2.30E-15,F54B11.5,WBGene00010028,Public name for WBGene00010028. History: N.A.
Y81G3A.1,88.77007014,1.232325801,1.02E-07,6.35E-06,Y81G3A.1,WBGene00013590,Public name for WBGene00013590. History: N.A.
ZK909.5,13.85210333,1.231068945,0.00074,0.0141825,ZK909.5,WBGene00014149,Sequence name for WBGene00014149(fbxb-70). History: N.A.
Y82E9BR.4,7.44112145,1.229311252,0.001426097,0.023865038,Y82E9BR.4,WBGene00022337,"Sequence name for WBGene00022337(pals-16). History: Split into pals-19(WBGene00044761). History of WBGene00022337: Split into ""WBGene00044761"" on 2006-02-24"
F52D2.8,148.182148,-1.228131621,8.59E-07,4.47E-05,F52D2.8,WBGene00018690,Sequence name for WBGene00018690(fbxa-46). History: N.A.
R12C12.1,5.798964787,-1.227649862,0.001892365,0.029779163,R12C12.1,WBGene00020022,Sequence name for WBGene00020022(gldc-1). History: N.A.
C25D7.12,4.470100692,-1.224730546,0.002020401,0.031273491,C25D7.12,WBGene00007721,Public name for WBGene00007721. History: N.A.
