# Supplemental Table S6.  Tiling microarray expression data for Wild Type and csr-1(tm892) adult animals,,,,,,,,,,,,,,,
# probe number - number of probes included in the gene,,,,,,,,,,,,,,,
# Intensity - Intensity value obtained by geometric average for all the probes included in each gene. NA represents the absence of detected signal for a given gene,,,,,,,,,,,,,,,
# Normalized Intensity - Intensity value divided by the total intensity for the actin genes,,,,,,,,,,,,,,,
# Ratio is calculated as: wild type/(wild type+csr-1(tm892)) using the normalized intensity value,,,,,,,,,,,,,,,
# IP enriched - genes with a two fold increase for siRNAs in the CSR-1 IP are indicated,,,,,,,,,,,,,,,
# over cut off - genes with >25 reads per million in the input sample or IP sample are indicated,,,,,,,,,,,,,,,
# >10 probes - genes with signal for at least 10 probes in wild type or csr-1(tm892) are indicated,,,,,,,,,,,,,,,
# germ line siRNAs - genes that are depleted over two fold for siRNAs in the absence of a germline are indicated,,,,,,,,,,,,,,,
Gene name,Cosmid ID,Wild Type - probe number,Wild type - intensity,Wild type - normalized intensity,csr-1(tm892) - probe number,csr-1(tm892) - intensity,csr-1(tm872) - normalized intensity,RATIO (norm),RATIO,IP enriched?,>10 probes,germ line siRNA,Input,Suggested Match,History
plx-1,Y55F3AL.1,216,640.4768339,0.01953867,203,424.4669607,0.010343407,0.346140822,0.398581562,yes,yes,yes,plx-1,WBGene00004047,Public name for WBGene00004047. History: N.A.
F22G12.5,F22G12.5,215,877.0053295,0.026754313,209,892.6141763,0.021751213,0.448427526,0.504410227,yes,yes,yes,F22G12.5,WBGene00009065,Public name for WBGene00009065. History: N.A.
daf-2,Y55D5A.5,215,495.3149562,0.015110297,215,557.6383727,0.013588526,0.473487218,0.529594577,yes,yes,yes,daf-2,WBGene00000898,Public name for WBGene00000898. History: N.A.
C06A5.1,C06A5.1,211,819.5583987,0.025001812,206,894.6658777,0.021801209,0.465807734,0.521907133,yes,yes,yes,C06A5.1,WBGene00015499,Sequence name for WBGene00015499(ints-1). History: Renamed on 2015-02-09; Renamed on 2019-02-06; Renamed on 2019-05-20
F31C3.3,F31C3.3,211,461.2339635,0.014070608,210,404.6297933,0.009860015,0.412025001,0.467313466,yes,yes,yes,F31C3.3,WBGene00009285,Public name for WBGene00009285. History: N.A.
pqe-1,F52C9.8,209,1445.464295,0.044095974,215,1453.924986,0.035429229,0.445509445,0.501459047,yes,yes,yes,pqe-1,WBGene00004095,Public name for WBGene00004095. History: N.A.
Y54E2A.6,Y54E2A.6,208,946.8755111,0.028885804,206,848.5392616,0.020677196,0.417190164,0.472614615,yes,yes,yes,Y54E2A.6,WBGene00013189,"Public name for Dead gene WBGene00013191. History of WBGene00013191: Merged into ""WBGene00013189"" on 2008-11-27"
C27F2.8,C27F2.8,206,564.93186,0.017234062,201,531.8137992,0.012959233,0.429208979,0.484901668,yes,yes,yes,C27F2.8,WBGene00016170,Sequence name for WBGene00016170(tmem-131). History: N.A.
C28H8.3,C28H8.3,204,1838.707083,0.056092413,206,2094.147099,0.051030155,0.476371656,0.532475145,yes,yes,yes,C28H8.3,WBGene00016194,Public name for WBGene00016194. History: N.A.
let-418,F26F12.7,203,1742.54337,0.0531588,204,2192.976959,0.05343844,0.501311667,0.557226688,yes,yes,yes,let-418,WBGene00002637,Public name for WBGene00002637. History: N.A.
ced-5,C02F4.1,201,699.3496762,0.021334671,193,613.6230402,0.01495276,0.412064441,0.467353992,yes,yes,yes,ced-5,WBGene00000419,Public name for WBGene00000419. History: N.A.
daf-15,C10C5.6,201,1060.646946,0.032356566,193,806.8203421,0.01966059,0.377963571,0.432039879,yes,yes,yes,daf-15,WBGene00000911,Public name for WBGene00000911. History: N.A.
pbrm-1,C26C6.1,200,1560.261169,0.047598018,197,1128.439089,0.027497792,0.366169457,0.419696873,yes,yes,yes,pbrm-1,WBGene00007042,Public name for WBGene00007042. History: Renamed on 2007-08-01
C34G6.1,C34G6.1,198,921.7983132,0.028120788,194,700.4499577,0.017068557,0.377711989,0.431777287,yes,yes,yes,C34G6.1,WBGene00016418,Sequence name for WBGene00016418(hpo-27). History: N.A.
chc-1,T20G5.1,198,3821.708654,0.116586737,197,3412.366223,0.083152505,0.4163053,0.471707341,yes,yes,yes,chc-1,WBGene00011867,Public name for WBGene00011867. History: Renamed on 2008-04-30
let-526,C01G8.9,196,782.4835281,0.023870789,209,871.6511897,0.021240387,0.470845342,0.526952962,yes,yes,yes,let-526,WBGene00002717,Public name for WBGene00002717. History: Renamed on 2008-02-07; Renamed on 2008-02-07; Renamed on 2011-02-11; Renamed on 2014-09-04; Renamed on 2014-09-04. Other name for WBGene00002583(let-363). History: Renamed on 2014-09-04; Renamed on 2014-10-09; Renamed on 2015-01-08; Renamed on 2015-03-05; Renamed on 2015-03-10
gbf-1,C24H11.7,196,585.8999614,0.017873724,204,766.0182518,0.018666325,0.51084565,0.566615824,yes,yes,yes,gbf-1,WBGene00007703,Public name for WBGene00007703. History: Renamed on 2005-03-17
npp-12,T23H2.1,196,1665.131242,0.050797231,195,1525.289775,0.037168246,0.42253219,0.478084167,yes,yes,yes,npp-12,WBGene00003798,Public name for WBGene00003798. History: N.A.
kin-4,C10C6.1,195,1481.85809,0.045206219,189,1190.051675,0.028999167,0.390795985,0.445393662,yes,yes,yes,kin-4,WBGene00002192,Public name for WBGene00002192. History: N.A.
tag-333,C48G7.3,194,397.8300436,0.01213638,188,551.1628622,0.013430731,0.525312822,0.580787126,yes,yes,yes,tag-333,WBGene00008183,Other name for WBGene00008183(rin-1). History: Renamed on 2012-09-25
pqn-55,R09E10.7,193,297.0205709,0.009061041,162,163.368458,0.003980961,0.30524155,0.354848721,yes,yes,yes,pqn-55,WBGene00004140,Other name for WBGene00004140(ebax-1). History: Renamed on 2013-07-10
Y79H2A.3,Y79H2A.3,193,395.3827523,0.012061721,188,469.80917,0.011448305,0.486954155,0.543011508,yes,yes,yes,Y79H2A.3,WBGene00013580,Public name for WBGene00013580. History: N.A.
let-716,C16A3.3,192,1380.871051,0.042125464,190,1796.950029,0.04378806,0.509675985,0.56546608,yes,yes,yes,let-716,WBGene00002850,Public name for WBGene00002850. History: N.A.
F40F11.2,F40F11.2,192,1155.309747,0.035244391,191,1124.09939,0.027392042,0.437318042,0.493153849,yes,yes,yes,F40F11.2,WBGene00009587,Sequence name for WBGene00009587(mig-38). History: N.A.
sax-7,C18F3.2,191,1226.470982,0.037415267,188,1245.543605,0.030351394,0.447880911,0.503857708,yes,yes,yes,sax-7,WBGene00004732,Public name for WBGene00004732. History: N.A.
mel-28,C38D4.3,190,1939.452781,0.059165806,199,2748.053452,0.066964538,0.530915371,0.586250624,yes,yes,yes,mel-28,WBGene00003210,Public name for WBGene00003210. History: N.A.
F11A10.4,F11A10.4,190,965.5200923,0.029454584,196,1127.251088,0.027468843,0.48255779,0.538640392,yes,yes,yes,F11A10.4,WBGene00008685,Sequence name for WBGene00008685(mon-2). History: N.A.
sea-2,K10G6.3,190,562.3788768,0.017156179,189,572.032897,0.013939292,0.448274021,0.504255078,yes,yes,yes,sea-2,WBGene00004751,Public name for WBGene00004751. History: N.A.
ptc-1,ZK675.1,190,3712.222961,0.113246718,185,2520.844484,0.061427913,0.351670488,0.404430805,yes,yes,yes,ptc-1,WBGene00004208,Public name for WBGene00004208. History: N.A.
ZK430.1,ZK430.1,189,1180.464874,0.036011784,187,1350.5293,0.032909684,0.4774954,0.533596368,yes,yes,yes,ZK430.1,WBGene00022739,Sequence name for WBGene00022739(toe-1). History: N.A.
mrp-4,F21G4.2,187,1989.042506,0.060678612,186,742.2208875,0.018086431,0.229625102,0.271750022,yes,yes,yes,mrp-4,WBGene00003410,Public name for WBGene00003410. History: N.A.
npp-3,K12D12.2,187,725.5579174,0.022134191,191,905.2060221,0.022058051,0.499138535,0.555080966,yes,yes,yes,npp-3,WBGene00003789,Public name for WBGene00003789. History: N.A.
hcp-6,Y110A7A.1,187,1089.803861,0.033246039,184,1136.76418,0.027700658,0.454506301,0.510545449,yes,yes,yes,hcp-6,WBGene00001833,Public name for WBGene00001833. History: Renamed on 2015-03-05; Renamed on 2015-03-05
Y81G3A.3,Y81G3A.3,186,772.5024024,0.0235663,184,954.1035003,0.023249584,0.496617428,0.552589041,yes,yes,yes,Y81G3A.3,WBGene00013591,Sequence name for WBGene00013591(gcn-2). History: N.A.
btf-1,F15D4.1,184,617.9615693,0.018851809,181,612.3859151,0.014922614,0.441831787,0.497734114,yes,yes,yes,btf-1,WBGene00000274,Public name for WBGene00000274. History: N.A.
set-9,F15E6.1,184,2229.105648,0.068002084,181,5238.140973,0.127642966,0.652421135,0.701482252,yes,yes,yes,set-9,WBGene00017482,Public name for WBGene00017482. History: N.A.
tag-59,K08B12.5,184,491.4447205,0.01499223,185,510.5872903,0.012441986,0.453520734,0.509551875,yes,yes,yes,tag-59,WBGene00006437,Other name for WBGene00006437(mrck-1). History: Renamed on 2008-07-18
dcr-1,K12H4.8,184,418.7126025,0.012773432,190,666.6312742,0.016244464,0.55980847,0.614212038,yes,yes,yes,dcr-1,WBGene00000939,Public name for WBGene00000939. History: N.A.
afd-1,W03F11.6,184,839.7699425,0.025618394,178,743.7063004,0.018122628,0.414316514,0.469666851,yes,yes,yes,afd-1,WBGene00021009,Public name for WBGene00021009. History: N.A.
ZK688.5,ZK688.5,184,549.395995,0.016760118,172,367.3576836,0.008951768,0.348156814,0.4007158,yes,yes,yes,ZK688.5,WBGene00022800,Public name for WBGene00022800. History: N.A.
smc-4,F35G12.8,183,1521.49908,0.046415525,179,1564.953755,0.038134777,0.451030643,0.507039582,yes,yes,yes,smc-4,WBGene00004874,Public name for WBGene00004874. History: N.A.
T20D3.11,T20D3.11,183,321.0219689,0.009793238,194,974.4071542,0.023744344,0.707992114,0.752188705,yes,yes,yes,T20D3.11,WBGene00007505,"Public name for Dead gene WBGene00011862. History of WBGene00011862: Merged into ""WBGene00007505"" on 2014-05-28"
pqn-87,Y57A10A.18,182,1207.168091,0.036826405,181,1410.725581,0.034376546,0.482796654,0.538878105,yes,yes,yes,pqn-87,WBGene00004167,Public name for WBGene00004167. History: N.A.
rrf-3,F10B5.7,181,548.517442,0.016733316,191,713.9855528,0.017398393,0.509742796,0.56553177,yes,yes,yes,rrf-3,WBGene00004510,Public name for WBGene00004510. History: Renamed on 2016-06-06
par-3,F54E7.3,181,1622.585007,0.049499297,178,1135.89827,0.027679557,0.358641724,0.411783635,yes,yes,yes,par-3,WBGene00003918,Public name for WBGene00003918. History: N.A.
Y108G3AL.7,Y108G3AL.7,181,1520.83539,0.046395278,177,1163.678003,0.028356494,0.379342094,0.433478189,yes,yes,yes,Y108G3AL.7,WBGene00044689,Sequence name for WBGene00044689(arid-1). History: N.A.
Y48E1A.1,Y48E1A.1,181,464.8444224,0.01418075,187,806.7922379,0.019659905,0.580955217,0.634451855,yes,yes,yes,Y48E1A.1,WBGene00012999,Sequence name for WBGene00012999(rpoa-1). History: N.A.
nsh-1,F20H11.2,180,643.5223148,0.019631577,178,589.4233051,0.014363061,0.422509606,0.478061072,yes,yes,yes,nsh-1,WBGene00002889,Other name for WBGene00002889(let-765). History: Renamed on 2010-04-09
rbr-2,ZK593.4,180,997.9225428,0.030443067,172,592.5580879,0.014439449,0.321716573,0.372565422,yes,yes,yes,rbr-2,WBGene00004319,Public name for WBGene00004319. History: N.A.
H05L14.2,H05L14.2,179,539.8437089,0.016468711,184,458.5205497,0.011173224,0.404212799,0.4592718,yes,yes,yes,H05L14.2,WBGene00010367,"Public name for WBGene00010367. History: Split into H05L14.3(WBGene00271605). History of WBGene00010367: Split into ""WBGene00271605"" on 2017-03-02"
psa-4,F01G4.1,178,1762.736119,0.053774809,178,1332.075954,0.032460013,0.376414219,0.430422243,yes,yes,yes,psa-4,WBGene00004204,Other name for WBGene00004204(swsn-4). History: Renamed on 2011-02-11
top-2,K12D12.1,178,3977.868235,0.12135061,178,4893.588149,0.119246906,0.495628166,0.551610461,yes,yes,yes,top-2,WBGene00010785,Public name for WBGene00010785. History: Renamed on 2015-07-16
emb-5,T04A8.14,178,859.2904794,0.026213896,174,970.4472954,0.02364785,0.474268387,0.530375067,yes,yes,yes,emb-5,WBGene00001259,Public name for WBGene00001259. History: N.A.
T08A11.1,T08A11.1,178,230.339921,0.007026852,176,326.2175132,0.007949265,0.530796146,0.5861345,yes,yes,yes,T08A11.1,WBGene00011604,Public name for WBGene00011604. History: N.A.
Y32B12B.4,Y32B12B.4,176,685.7218867,0.020918936,175,650.5221883,0.015851918,0.431100082,0.486828866,yes,yes,yes,Y32B12B.4,WBGene00012524,Public name for WBGene00012524. History: N.A.
met-1,C43E11.3,174,1150.662272,0.035102613,177,1009.658532,0.024603349,0.412075244,0.467365092,yes,yes,yes,met-1,WBGene00016603,Public name for WBGene00016603. History: N.A.
clr-1,F56D1.4,174,957.5339815,0.029210956,169,815.3688991,0.019868901,0.404828015,0.459906128,yes,yes,yes,clr-1,WBGene00000548,Public name for WBGene00000548. History: N.A.
ufd-2,T05H10.5,174,1520.44793,0.046383458,172,1628.771548,0.039689888,0.461117059,0.517198487,yes,yes,yes,ufd-2,WBGene00006734,Public name for WBGene00006734. History: N.A.
hcp-1,ZK1055.1,172,2903.978336,0.088590049,171,2807.50341,0.068413214,0.435743899,0.4915543,yes,yes,yes,hcp-1,WBGene00001829,Public name for WBGene00001829. History: N.A.
C52E12.4,C52E12.4,171,269.8215347,0.008231295,171,367.6104891,0.008957929,0.521136305,0.576705398,yes,yes,yes,C52E12.4,WBGene00016889,Sequence name for WBGene00016889(lst-6). History: N.A.
C53B4.4,C53B4.4,171,1313.433973,0.040068199,178,1172.675536,0.028575745,0.416289388,0.471691022,yes,yes,yes,C53B4.4,WBGene00008274,Sequence name for WBGene00008274(pdzd-8). History: Renamed on 2020-01-28
F29C12.3,F29C12.3,171,348.4283696,0.01062931,173,358.9936947,0.008747955,0.451454565,0.507467483,yes,yes,yes,F29C12.3,WBGene00009245,Sequence name for WBGene00009245(rict-1). History: Renamed on 2009-04-22
npp-6,F56A3.3,171,1312.298144,0.040033548,174,1582.263439,0.038556579,0.490603341,0.546633193,yes,yes,yes,npp-6,WBGene00003792,Public name for WBGene00003792. History: Renamed on 2015-03-05
dpy-28,Y39A1B.3,170,941.7185335,0.028728483,168,866.8487621,0.021123362,0.423722772,0.479301359,yes,yes,yes,dpy-28,WBGene00001087,Public name for WBGene00001087. History: N.A.
gld-2,ZC308.1,170,799.9765108,0.024404438,164,830.8595613,0.020246377,0.453438022,0.509468472,yes,yes,yes,gld-2,WBGene00001596,Public name for WBGene00001596. History: N.A.
F33H1.4,F33H1.4,169,1233.747294,0.037637241,168,1342.089161,0.032704015,0.464933619,0.521030424,yes,yes,yes,F33H1.4,WBGene00009365,Public name for WBGene00009365. History: N.A.
cid-1,K10D2.3,169,1069.651362,0.032631258,165,934.6304786,0.022775066,0.411055349,0.466316892,yes,yes,yes,cid-1,WBGene00019629,Public name for WBGene00019629. History: Renamed on 2007-05-15; Renamed on 2010-02-04
set-26,Y51H4A.12,169,1027.406217,0.031342509,177,2138.386553,0.052108182,0.624418817,0.675466371,yes,yes,yes,set-26,WBGene00013106,Public name for WBGene00013106. History: N.A.
zyg-9,F22B5.7,168,1998.98029,0.060981778,171,2045.281544,0.0498394,0.449728117,0.505724315,yes,yes,yes,zyg-9,WBGene00006994,Public name for WBGene00006994. History: N.A.
mat-2,W10C6.1,168,1129.696816,0.034463031,168,1997.525998,0.048675693,0.585475581,0.638753973,yes,yes,yes,mat-2,WBGene00003133,Other name for WBGene00003133(apc-1). History: Renamed on 2022-01-03
C05C10.2,C05C10.2,167,907.8235343,0.027694467,164,736.3403465,0.017943134,0.393165584,0.447850944,yes,yes,yes,C05C10.2,WBGene00007329,Public name for WBGene00007329. History: N.A.
lpd-3,Y47G6A.23,167,344.2499076,0.01050184,172,488.7698615,0.011910339,0.531422621,0.586744612,yes,yes,yes,lpd-3,WBGene00003060,Public name for WBGene00003060. History: N.A.
dgk-4,F42A9.1,166,916.8930371,0.027971145,160,808.5996751,0.019703949,0.413296484,0.468619583,yes,yes,yes,dgk-4,WBGene00006483,Public name for WBGene00006483. History: Renamed on 2007-08-01
pac-1,C04D8.1,165,886.5831123,0.027046497,166,953.2712738,0.023229305,0.462037477,0.518123217,yes,yes,yes,pac-1,WBGene00015418,Public name for WBGene00015418. History: N.A.
set-2,C26E6.9,165,288.0039368,0.008785976,169,647.9376184,0.015788937,0.64248192,0.692284272,yes,yes,yes,set-2,WBGene00004782,Public name for WBGene00004782. History: N.A.
