# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Targets Adults > 50 RPM (1367),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000378,,,,WBGene00000378,WBGene00000378,History: N.A.
WBGene00000382,,,,WBGene00000382,WBGene00000382,History: N.A.
WBGene00000383,,,,WBGene00000383,WBGene00000383,"History: Split into C17G10.13(WBGene00270322). History of WBGene00000383: Split into ""WBGene00270322"" on 2016-08-31"
WBGene00000386,,,,WBGene00000386,WBGene00000386,History: N.A.
WBGene00000405,,,,WBGene00000405,WBGene00000405,History: N.A.
WBGene00000410,,,,WBGene00000410,WBGene00000410,History: N.A.
WBGene00000411,,,,WBGene00000411,WBGene00000411,History: N.A.
WBGene00000413,,,,WBGene00000413,WBGene00000413,History: N.A.
WBGene00000418,,,,WBGene00000418,WBGene00000418,History: N.A.
WBGene00000419,,,,WBGene00000419,WBGene00000419,History: N.A.
WBGene00000465,,,,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00000466,,,,WBGene00000466,WBGene00000466,History: N.A.
WBGene00000467,,,,WBGene00000467,WBGene00000467,History: N.A.
WBGene00000473,,,,WBGene00000473,WBGene00000473,History: N.A.
WBGene00000474,,,,WBGene00000474,WBGene00000474,History: N.A.
WBGene00000479,,,,WBGene00000479,WBGene00000479,History: N.A.
WBGene00000496,,,,WBGene00000496,WBGene00000496,History: N.A.
WBGene00000498,,,,WBGene00000498,WBGene00000498,History: N.A.
WBGene00000499,,,,WBGene00000499,WBGene00000499,History: N.A.
WBGene00000508,,,,WBGene00000508,WBGene00000508,History: N.A.
WBGene00000517,,,,WBGene00000517,WBGene00000517,History: N.A.
WBGene00000532,,,,WBGene00000532,WBGene00000532,History: N.A.
WBGene00000542,,,,WBGene00000542,WBGene00000542,History: N.A.
WBGene00000549,,,,WBGene00000549,WBGene00000549,History: N.A.
WBGene00000550,,,,WBGene00000550,WBGene00000550,History: N.A.
WBGene00000567,,,,WBGene00000567,WBGene00000567,History: N.A.
WBGene00000592,,,,WBGene00000592,WBGene00000592,History: N.A.
WBGene00000763,,,,WBGene00000763,WBGene00000763,History: N.A.
WBGene00000772,,,,WBGene00000772,WBGene00000772,History: N.A.
WBGene00000774,,,,WBGene00000774,WBGene00000774,History: N.A.
WBGene00000796,,,,WBGene00000796,WBGene00000796,History: Renamed on 2007-06-04
WBGene00000804,,,,WBGene00000804,WBGene00000804,History: N.A.
WBGene00000834,,,,WBGene00000834,WBGene00000834,History: N.A.
WBGene00000836,,,,WBGene00000836,WBGene00000836,History: N.A.
WBGene00000837,,,,WBGene00000837,WBGene00000837,History: Renamed on 2013-05-02
WBGene00000839,,,,WBGene00000839,WBGene00000839,History: N.A.
WBGene00000840,,,,WBGene00000840,WBGene00000840,History: N.A.
WBGene00000863,,,,WBGene00000863,WBGene00000863,History: N.A.
WBGene00000868,,,,WBGene00000868,WBGene00000868,History: N.A.
WBGene00000872,,,,WBGene00000872,WBGene00000872,History: N.A.
WBGene00000874,,,,WBGene00000874,WBGene00000874,History: N.A.
WBGene00000875,,,,WBGene00000875,WBGene00000875,History: N.A.
WBGene00000880,,,,WBGene00000880,WBGene00000880,History: N.A.
WBGene00000889,,,,WBGene00000889,WBGene00000889,History: N.A.
WBGene00000891,,,,WBGene00000891,WBGene00000891,History: N.A.
WBGene00000915,,,,WBGene00000915,WBGene00000915,History: Renamed on 2017-08-01
WBGene00000931,,,,WBGene00000931,WBGene00000931,History: N.A.
WBGene00000933,,,,WBGene00000933,WBGene00000933,History: Renamed on 2018-06-07
WBGene00000935,,,,WBGene00000935,WBGene00000935,History: N.A.
WBGene00000939,,,,WBGene00000939,WBGene00000939,History: N.A.
WBGene00000962,,,,WBGene00000962,WBGene00000962,History: N.A.
WBGene00001002,,,,WBGene00001002,WBGene00001002,History: Renamed on 2013-04-26
WBGene00001007,,,,WBGene00001007,WBGene00001007,History: N.A.
WBGene00001016,,,,WBGene00001016,WBGene00001016,History: N.A.
WBGene00001017,,,,WBGene00001017,WBGene00001017,History: N.A.
WBGene00001023,,,,WBGene00001023,WBGene00001023,History: N.A.
WBGene00001028,,,,WBGene00001028,WBGene00001028,History: N.A.
WBGene00001029,,,,WBGene00001029,WBGene00001029,History: N.A.
WBGene00001030,,,,WBGene00001030,WBGene00001030,History: N.A.
WBGene00001031,,,,WBGene00001031,WBGene00001031,History: N.A.
WBGene00001047,,,,WBGene00001047,WBGene00001047,History: N.A.
WBGene00001049,,,,WBGene00001049,WBGene00001049,History: N.A.
WBGene00001061,,,,WBGene00001061,WBGene00001061,History: N.A.
WBGene00001080,,,,WBGene00001080,WBGene00001080,History: N.A.
WBGene00001085,,,,WBGene00001085,WBGene00001085,History: N.A.
WBGene00001087,,,,WBGene00001087,WBGene00001087,History: N.A.
WBGene00001090,,,,WBGene00001090,WBGene00001090,History: N.A.
WBGene00001093,,,,WBGene00001093,WBGene00001093,History: N.A.
WBGene00001102,,,,WBGene00001102,WBGene00001102,History: N.A.
WBGene00001110,,,,WBGene00001110,WBGene00001110,History: N.A.
WBGene00001137,,,,WBGene00001137,WBGene00001137,History: N.A.
WBGene00001161,,,,WBGene00001161,WBGene00001161,History: N.A.
WBGene00001166,,,,WBGene00001166,WBGene00001166,History: Renamed on 2010-08-03
WBGene00001168,,,,WBGene00001168,WBGene00001168,History: Renamed on 2005-09-08; Renamed on 2010-08-03
WBGene00001194,,,,WBGene00001194,WBGene00001194,History: N.A.
WBGene00001209,,,,WBGene00001209,WBGene00001209,History: N.A.
WBGene00001214,,,,WBGene00001214,WBGene00001214,History: N.A.
WBGene00001224,,,,WBGene00001224,WBGene00001224,History: N.A.
WBGene00001225,,,,WBGene00001225,WBGene00001225,History: N.A.
WBGene00001226,,,,WBGene00001226,WBGene00001226,History: N.A.
WBGene00001228,,,,WBGene00001228,WBGene00001228,History: N.A.
WBGene00001230,,,,WBGene00001230,WBGene00001230,History: N.A.
WBGene00001258,,,,WBGene00001258,WBGene00001258,History: Renamed on 2006-10-16
WBGene00001259,,,,WBGene00001259,WBGene00001259,History: N.A.
WBGene00001284,,,,WBGene00001284,WBGene00001284,History: N.A.
WBGene00001332,,,,WBGene00001332,WBGene00001332,History: N.A.
WBGene00001336,,,,WBGene00001336,WBGene00001336,History: Renamed on 2010-01-29
WBGene00001337,,,,WBGene00001337,WBGene00001337,History: Renamed on 2010-01-29
WBGene00001352,,,,WBGene00001352,WBGene00001352,History: N.A.
WBGene00001372,,,,WBGene00001372,WBGene00001372,History: N.A.
WBGene00001401,,,,WBGene00001401,WBGene00001401,History: N.A.
WBGene00001402,,,,WBGene00001402,WBGene00001402,History: N.A.
WBGene00001423,,,,WBGene00001423,WBGene00001423,History: N.A.
WBGene00001431,,,,WBGene00001431,WBGene00001431,History: N.A.
WBGene00001443,,,,WBGene00001443,WBGene00001443,History: N.A.
WBGene00001497,,,,WBGene00001497,WBGene00001497,History: Renamed on 2010-01-29; Renamed on 2015-03-04
WBGene00001498,,,,WBGene00001498,WBGene00001498,History: Renamed on 2010-01-29
WBGene00001509,,,,WBGene00001509,WBGene00001509,History: N.A.
WBGene00001510,,,,WBGene00001510,WBGene00001510,History: N.A.
WBGene00001511,,,,WBGene00001511,WBGene00001511,History: Renamed on 2017-02-17
WBGene00001513,,,,WBGene00001513,WBGene00001513,History: N.A.
WBGene00001514,,,,WBGene00001514,WBGene00001514,History: Renamed on 2008-09-15
WBGene00001526,,,,WBGene00001526,WBGene00001526,History: N.A.
WBGene00001558,,,,WBGene00001558,WBGene00001558,History: N.A.
WBGene00001563,,,,WBGene00001563,WBGene00001563,History: N.A.
WBGene00001566,,,,WBGene00001566,WBGene00001566,History: Renamed on 2008-04-17
WBGene00001568,,,,WBGene00001568,WBGene00001568,History: Renamed on 2013-07-04
WBGene00001571,,,,WBGene00001571,WBGene00001571,History: N.A.
WBGene00001580,,,,WBGene00001580,WBGene00001580,History: N.A.
WBGene00001584,,,,WBGene00001584,WBGene00001584,History: Renamed on 2011-05-17
WBGene00001589,,,,WBGene00001589,WBGene00001589,History: N.A.
WBGene00001595,,,,WBGene00001595,WBGene00001595,History: N.A.
WBGene00001596,,,,WBGene00001596,WBGene00001596,History: N.A.
WBGene00001598,,,,WBGene00001598,WBGene00001598,History: N.A.
WBGene00001599,,,,WBGene00001599,WBGene00001599,History: N.A.
WBGene00001600,,,,WBGene00001600,WBGene00001600,History: N.A.
WBGene00001601,,,,WBGene00001601,WBGene00001601,History: N.A.
WBGene00001635,,,,WBGene00001635,WBGene00001635,History: N.A.
WBGene00001653,,,,WBGene00001653,WBGene00001653,History: N.A.
WBGene00001660,,,,WBGene00001660,WBGene00001660,History: N.A.
WBGene00001679,,,,WBGene00001679,WBGene00001679,"History: Split into F44E5.17(WBGene00303054). History of WBGene00001679: Split into ""WBGene00303054"" on 2018-03-02"
WBGene00001683,,,,WBGene00001683,WBGene00001683,History: N.A.
WBGene00001686,,,,WBGene00001686,WBGene00001686,History: N.A.
WBGene00001688,,,,WBGene00001688,WBGene00001688,History: N.A.
WBGene00001689,,,,WBGene00001689,WBGene00001689,History: N.A.
WBGene00001744,,,,WBGene00001744,WBGene00001744,History: Renamed on 2010-01-29
WBGene00001747,,,,WBGene00001747,WBGene00001747,History: N.A.
WBGene00001748,,,,WBGene00001748,WBGene00001748,History: N.A.
WBGene00001829,,,,WBGene00001829,WBGene00001829,History: N.A.
WBGene00001830,,,,WBGene00001830,WBGene00001830,History: N.A.
WBGene00001832,,,,WBGene00001832,WBGene00001832,History: Renamed on 2015-03-05
WBGene00001833,,,,WBGene00001833,WBGene00001833,History: Renamed on 2015-03-05; Renamed on 2015-03-05
WBGene00001840,,,,WBGene00001840,WBGene00001840,History: N.A.
WBGene00001855,,,,WBGene00001855,WBGene00001855,History: Renamed on 2010-11-12
WBGene00001856,,,,WBGene00001856,WBGene00001856,History: Renamed on 2010-11-12
WBGene00001860,,,,WBGene00001860,WBGene00001860,History: N.A.
WBGene00001862,,,,WBGene00001862,WBGene00001862,History: N.A.
WBGene00001865,,,,WBGene00001865,WBGene00001865,History: N.A.
WBGene00001874,,,,WBGene00001874,WBGene00001874,History: N.A.
WBGene00001946,,,,WBGene00001946,WBGene00001946,History: N.A.
WBGene00001972,,,,WBGene00001972,WBGene00001972,History: N.A.
WBGene00001973,,,,WBGene00001973,WBGene00001973,History: N.A.
WBGene00001974,,,,WBGene00001974,WBGene00001974,History: N.A.
WBGene00001977,,,,WBGene00001977,WBGene00001977,History: N.A.
WBGene00001978,,,,WBGene00001978,WBGene00001978,History: N.A.
WBGene00001979,,,,WBGene00001979,WBGene00001979,History: Renamed on 2011-04-19
WBGene00001997,,,,WBGene00001997,WBGene00001997,History: N.A.
WBGene00001999,,,,WBGene00001999,WBGene00001999,History: Renamed on 2019-11-21
WBGene00002000,,,,WBGene00002000,WBGene00002000,History: Renamed on 2019-11-21
WBGene00002001,,,,WBGene00002001,WBGene00002001,History: Renamed on 2010-01-29
WBGene00002005,,,,WBGene00002005,WBGene00002005,History: N.A.
WBGene00002008,,,,WBGene00002008,WBGene00002008,History: N.A.
WBGene00002025,,,,WBGene00002025,WBGene00002025,History: N.A.
WBGene00002027,,,,WBGene00002027,WBGene00002027,History: N.A.
WBGene00002032,,,,WBGene00002032,WBGene00002032,History: N.A.
WBGene00002033,,,,WBGene00002033,WBGene00002033,History: N.A.
WBGene00002034,,,,WBGene00002034,WBGene00002034,History: N.A.
WBGene00002036,,,,WBGene00002036,WBGene00002036,History: N.A.
WBGene00002047,,,,WBGene00002047,WBGene00002047,History: N.A.
WBGene00002066,,,,WBGene00002066,WBGene00002066,History: N.A.
WBGene00002073,,,,WBGene00002073,WBGene00002073,History: N.A.
WBGene00002074,,,,WBGene00002074,WBGene00002074,History: N.A.
WBGene00002075,,,,WBGene00002075,WBGene00002075,History: Renamed on 2015-03-05
WBGene00002077,,,,WBGene00002077,WBGene00002077,History: N.A.
WBGene00002078,,,,WBGene00002078,WBGene00002078,History: Renamed on 2008-01-30
WBGene00002079,,,,WBGene00002079,WBGene00002079,History: Renamed on 2008-01-30
WBGene00002080,,,,WBGene00002080,WBGene00002080,History: Renamed on 2008-01-30
WBGene00002083,,,,WBGene00002083,WBGene00002083,History: N.A.
WBGene00002144,,,,WBGene00002144,WBGene00002144,History: N.A.
WBGene00002148,,,,WBGene00002148,WBGene00002148,History: Renamed on 2006-03-22
WBGene00002169,,,,WBGene00002169,WBGene00002169,History: N.A.
WBGene00002201,,,,WBGene00002201,WBGene00002201,History: N.A.
WBGene00002202,,,,WBGene00002202,WBGene00002202,History: N.A.
WBGene00002214,,,,WBGene00002214,WBGene00002214,History: N.A.
WBGene00002219,,,,WBGene00002219,WBGene00002219,History: N.A.
WBGene00002225,,,,WBGene00002225,WBGene00002225,History: N.A.
WBGene00002226,,,,WBGene00002226,WBGene00002226,History: N.A.
WBGene00002228,,,,WBGene00002228,WBGene00002228,History: N.A.
WBGene00002229,,,,WBGene00002229,WBGene00002229,History: N.A.
WBGene00002231,,,,WBGene00002231,WBGene00002231,History: N.A.
WBGene00002244,,,,WBGene00002244,WBGene00002244,History: N.A.
WBGene00002245,,,,WBGene00002245,WBGene00002245,History: N.A.
WBGene00002251,,,,WBGene00002251,WBGene00002251,History: N.A.
WBGene00002275,,,,WBGene00002275,WBGene00002275,History: N.A.
WBGene00002276,,,,WBGene00002276,WBGene00002276,History: N.A.
WBGene00002297,,,,WBGene00002297,WBGene00002297,History: Renamed on 2005-09-28
WBGene00002335,,,,WBGene00002335,WBGene00002335,History: N.A.
WBGene00002344,,,,WBGene00002344,WBGene00002344,History: N.A.
WBGene00002363,,,,WBGene00002363,WBGene00002363,History: N.A.
WBGene00002368,,,,WBGene00002368,WBGene00002368,History: N.A.
WBGene00002637,,,,WBGene00002637,WBGene00002637,History: N.A.
WBGene00002694,,,,WBGene00002694,WBGene00002694,History: Renamed on 2015-03-05
WBGene00002717,,,,WBGene00002717,WBGene00002717,History: Renamed on 2008-02-07; Renamed on 2008-02-07; Renamed on 2011-02-11; Renamed on 2014-09-04; Renamed on 2014-09-04
WBGene00002845,,,,WBGene00002845,WBGene00002845,History: Renamed on 2007-04-12
WBGene00002850,,,,WBGene00002850,WBGene00002850,History: N.A.
WBGene00002879,,,,WBGene00002879,WBGene00002879,History: N.A.
WBGene00002889,,,,WBGene00002889,WBGene00002889,History: Renamed on 2010-04-09
WBGene00002957,,,,WBGene00002957,WBGene00002957,History: N.A.
WBGene00002985,,,,WBGene00002985,WBGene00002985,History: N.A.
WBGene00002994,,,,WBGene00002994,WBGene00002994,History: N.A.
WBGene00002998,,,,WBGene00002998,WBGene00002998,History: N.A.
WBGene00003002,,,,WBGene00003002,WBGene00003002,History: N.A.
WBGene00003009,,,,WBGene00003009,WBGene00003009,History: N.A.
WBGene00003020,,,,WBGene00003020,WBGene00003020,History: N.A.
WBGene00003026,,,,WBGene00003026,WBGene00003026,History: Renamed on 2005-08-24
WBGene00003034,,,,WBGene00003034,WBGene00003034,History: N.A.
WBGene00003036,,,,WBGene00003036,WBGene00003036,History: N.A.
WBGene00003037,,,,WBGene00003037,WBGene00003037,History: N.A.
WBGene00003041,,,,WBGene00003041,WBGene00003041,History: N.A.
WBGene00003047,,,,WBGene00003047,WBGene00003047,History: N.A.
WBGene00003052,,,,WBGene00003052,WBGene00003052,History: N.A.
WBGene00003060,,,,WBGene00003060,WBGene00003060,History: N.A.
WBGene00003062,,,,WBGene00003062,WBGene00003062,History: N.A.
WBGene00003063,,,,WBGene00003063,WBGene00003063,History: N.A.
WBGene00003085,,,,WBGene00003085,WBGene00003085,History: Renamed on 2015-11-23
WBGene00003123,,,,WBGene00003123,WBGene00003123,History: N.A.
WBGene00003132,,,,WBGene00003132,WBGene00003132,History: Renamed on 2015-03-03
WBGene00003133,,,,WBGene00003133,WBGene00003133,History: Renamed on 2022-01-03
WBGene00003134,,,,WBGene00003134,WBGene00003134,History: Renamed on 2006-03-01; Renamed on 2016-01-22
WBGene00003144,,,,WBGene00003144,WBGene00003144,History: Renamed on 2006-12-04
WBGene00003150,,,,WBGene00003150,WBGene00003150,History: N.A.
WBGene00003155,,,,WBGene00003155,WBGene00003155,History: N.A.
WBGene00003156,,,,WBGene00003156,WBGene00003156,History: Renamed on 2015-03-03; Renamed on 2015-03-03
WBGene00003157,,,,WBGene00003157,WBGene00003157,History: N.A.
WBGene00003158,,,,WBGene00003158,WBGene00003158,History: N.A.
WBGene00003159,,,,WBGene00003159,WBGene00003159,History: N.A.
WBGene00003160,,,,WBGene00003160,WBGene00003160,History: Renamed on 2013-11-19
WBGene00003162,,,,WBGene00003162,WBGene00003162,History: Renamed on 2010-08-18
WBGene00003177,,,,WBGene00003177,WBGene00003177,History: N.A.
WBGene00003183,,,,WBGene00003183,WBGene00003183,History: N.A.
WBGene00003184,,,,WBGene00003184,WBGene00003184,History: N.A.
WBGene00003186,,,,WBGene00003186,WBGene00003186,History: N.A.
WBGene00003210,,,,WBGene00003210,WBGene00003210,History: N.A.
WBGene00003214,,,,WBGene00003214,WBGene00003214,History: N.A.
WBGene00003218,,,,WBGene00003218,WBGene00003218,History: N.A.
WBGene00003220,,,,WBGene00003220,WBGene00003220,History: N.A.
WBGene00003222,,,,WBGene00003222,WBGene00003222,History: N.A.
WBGene00003224,,,,WBGene00003224,WBGene00003224,History: N.A.
WBGene00003228,,,,WBGene00003228,WBGene00003228,History: N.A.
WBGene00003241,,,,WBGene00003241,WBGene00003241,History: N.A.
WBGene00003253,,,,WBGene00003253,WBGene00003253,History: N.A.
WBGene00003367,,,,WBGene00003367,WBGene00003367,History: N.A.
WBGene00003389,,,,WBGene00003389,WBGene00003389,History: N.A.
WBGene00003390,,,,WBGene00003390,WBGene00003390,History: Renamed on 2011-05-05
WBGene00003391,,,,WBGene00003391,WBGene00003391,History: N.A.
WBGene00003392,,,,WBGene00003392,WBGene00003392,History: N.A.
WBGene00003393,,,,WBGene00003393,WBGene00003393,History: N.A.
WBGene00003401,,,,WBGene00003401,WBGene00003401,History: N.A.
WBGene00003406,,,,WBGene00003406,WBGene00003406,History: N.A.
WBGene00003410,,,,WBGene00003410,WBGene00003410,History: N.A.
WBGene00003413,,,,WBGene00003413,WBGene00003413,History: N.A.
WBGene00003415,,,,WBGene00003415,WBGene00003415,History: Renamed on 2010-01-29; Renamed on 2015-03-25
WBGene00003418,,,,WBGene00003418,WBGene00003418,History: N.A.
WBGene00003421,,,,WBGene00003421,WBGene00003421,History: N.A.
WBGene00003422,,,,WBGene00003422,WBGene00003422,History: N.A.
WBGene00003504,,,,WBGene00003504,WBGene00003504,History: N.A.
WBGene00003507,,,,WBGene00003507,WBGene00003507,History: N.A.
WBGene00003508,,,,WBGene00003508,WBGene00003508,History: Renamed on 2013-10-16
WBGene00003559,,,,WBGene00003559,WBGene00003559,History: N.A.
WBGene00003592,,,,WBGene00003592,WBGene00003592,History: N.A.
WBGene00003596,,,,WBGene00003596,WBGene00003596,History: N.A.
WBGene00003598,,,,WBGene00003598,WBGene00003598,History: N.A.
WBGene00003622,,,,WBGene00003622,WBGene00003622,History: Renamed on 2015-03-05
WBGene00003676,,,,WBGene00003676,WBGene00003676,History: N.A.
WBGene00003777,,,,WBGene00003777,WBGene00003777,History: N.A.
WBGene00003783,,,,WBGene00003783,WBGene00003783,History: N.A.
WBGene00003785,,,,WBGene00003785,WBGene00003785,History: N.A.
WBGene00003787,,,,WBGene00003787,WBGene00003787,History: N.A.
WBGene00003788,,,,WBGene00003788,WBGene00003788,History: N.A.
WBGene00003789,,,,WBGene00003789,WBGene00003789,History: N.A.
WBGene00003790,,,,WBGene00003790,WBGene00003790,History: N.A.
WBGene00003791,,,,WBGene00003791,WBGene00003791,History: Renamed on 2007-03-15
WBGene00003792,,,,WBGene00003792,WBGene00003792,History: Renamed on 2015-03-05
WBGene00003793,,,,WBGene00003793,WBGene00003793,History: N.A.
WBGene00003794,,,,WBGene00003794,WBGene00003794,History: N.A.
WBGene00003795,,,,WBGene00003795,WBGene00003795,History: N.A.
WBGene00003796,,,,WBGene00003796,WBGene00003796,History: N.A.
WBGene00003797,,,,WBGene00003797,WBGene00003797,History: N.A.
WBGene00003798,,,,WBGene00003798,WBGene00003798,History: N.A.
WBGene00003799,,,,WBGene00003799,WBGene00003799,History: N.A.
WBGene00003800,,,,WBGene00003800,WBGene00003800,History: N.A.
WBGene00003801,,,,WBGene00003801,WBGene00003801,History: N.A.
WBGene00003804,,,,WBGene00003804,WBGene00003804,History: N.A.
WBGene00003805,,,,WBGene00003805,WBGene00003805,History: N.A.
WBGene00003821,,,,WBGene00003821,WBGene00003821,History: N.A.
WBGene00003825,,,,WBGene00003825,WBGene00003825,History: N.A.
WBGene00003827,,,,WBGene00003827,WBGene00003827,History: N.A.
WBGene00003829,,,,WBGene00003829,WBGene00003829,History: N.A.
WBGene00003831,,,,WBGene00003831,WBGene00003831,History: N.A.
WBGene00003834,,,,WBGene00003834,WBGene00003834,History: N.A.
WBGene00003835,,,,WBGene00003835,WBGene00003835,History: N.A.
WBGene00003858,,,,WBGene00003858,WBGene00003858,History: N.A.
WBGene00003901,,,,WBGene00003901,WBGene00003901,History: N.A.
WBGene00003904,,,,WBGene00003904,WBGene00003904,History: Renamed on 2007-02-23
WBGene00003905,,,,WBGene00003905,WBGene00003905,History: N.A.
WBGene00003914,,,,WBGene00003914,WBGene00003914,History: Renamed on 2006-10-19
WBGene00003916,,,,WBGene00003916,WBGene00003916,History: N.A.
WBGene00003918,,,,WBGene00003918,WBGene00003918,History: N.A.
WBGene00003920,,,,WBGene00003920,WBGene00003920,History: N.A.
WBGene00003926,,,,WBGene00003926,WBGene00003926,History: Renamed on 2009-01-09
WBGene00003927,,,,WBGene00003927,WBGene00003927,History: N.A.
WBGene00003928,,,,WBGene00003928,WBGene00003928,History: N.A.
WBGene00003947,,,,WBGene00003947,WBGene00003947,History: N.A.
WBGene00003948,,,,WBGene00003948,WBGene00003948,History: N.A.
WBGene00003951,,,,WBGene00003951,WBGene00003951,History: N.A.
WBGene00003955,,,,WBGene00003955,WBGene00003955,History: N.A.
WBGene00003964,,,,WBGene00003964,WBGene00003964,History: N.A.
WBGene00003989,,,,WBGene00003989,WBGene00003989,History: N.A.
WBGene00003992,,,,WBGene00003992,WBGene00003992,History: N.A.
WBGene00003994,,,,WBGene00003994,WBGene00003994,History: Renamed on 2005-10-06
WBGene00004015,,,,WBGene00004015,WBGene00004015,History: N.A.
WBGene00004031,,,,WBGene00004031,WBGene00004031,History: N.A.
WBGene00004040,,,,WBGene00004040,WBGene00004040,History: N.A.
WBGene00004042,,,,WBGene00004042,WBGene00004042,History: N.A.
WBGene00004043,,,,WBGene00004043,WBGene00004043,History: N.A.
WBGene00004051,,,,WBGene00004051,WBGene00004051,History: Renamed on 2014-11-18
WBGene00004075,,,,WBGene00004075,WBGene00004075,History: N.A.
WBGene00004076,,,,WBGene00004076,WBGene00004076,History: N.A.
WBGene00004094,,,,WBGene00004094,WBGene00004094,History: Renamed on 2011-10-14
WBGene00004095,,,,WBGene00004095,WBGene00004095,History: N.A.
WBGene00004101,,,,WBGene00004101,WBGene00004101,History: Renamed on 2008-01-18
WBGene00004105,,,,WBGene00004105,WBGene00004105,History: Renamed on 2008-10-08
WBGene00004125,,,,WBGene00004125,WBGene00004125,History: Renamed on 2010-04-23
WBGene00004128,,,,WBGene00004128,WBGene00004128,History: N.A.
WBGene00004132,,,,WBGene00004132,WBGene00004132,History: Renamed on 2011-08-12; Renamed on 2011-08-12
WBGene00004143,,,,WBGene00004143,WBGene00004143,History: N.A.
WBGene00004167,,,,WBGene00004167,WBGene00004167,History: N.A.
WBGene00004179,,,,WBGene00004179,WBGene00004179,History: Renamed on 2007-11-05
WBGene00004180,,,,WBGene00004180,WBGene00004180,History: N.A.
WBGene00004185,,,,WBGene00004185,WBGene00004185,History: N.A.
WBGene00004187,,,,WBGene00004187,WBGene00004187,History: N.A.
