Serpentine genes,Input,Suggested Match,History
C08F11.9,C08F11.9,WBGene00007456,Sequence name for WBGene00007456(srz-29). History: N.A.
C09E7.1,C09E7.1,WBGene00015637,Sequence name for WBGene00015637(srxa-5). History: N.A.
C09G12.11,C09G12.11,WBGene00023463,Sequence name for WBGene00023463(srz-82). History: N.A.
C09G12.2,C09G12.2,WBGene00015652,Sequence name for WBGene00015652(srz-79). History: N.A.
C10G11.2,C10G11.2,WBGene00005273,Sequence name for WBGene00005273(srh-50). History: N.A.
C10G11.3,C10G11.3,WBGene00005274,Sequence name for WBGene00005274(srh-51). History: N.A.
C10G8.1,C10G8.1,WBGene00005183,Sequence name for WBGene00005183(srg-26). History: N.A.
C12D5.11,C12D5.11,WBGene00015712,Sequence name for WBGene00015712(sre-11). History: N.A.
C13B7.1,C13B7.1,WBGene00015730,Sequence name for WBGene00015730(srt-1). History: N.A.
C13B7.3,C13B7.3,WBGene00005137,Sequence name for WBGene00005137(srd-60). History: N.A.
C13D9.4,C13D9.4,WBGene00015736,Sequence name for WBGene00015736(srsx-11). History: N.A.
C14A4.15,C14A4.15,WBGene00005713,Sequence name for WBGene00005713(srv-2). History: N.A.
C14C11.5,C14C11.5,WBGene00006008,Sequence name for WBGene00006008(srx-117). History: N.A.
C14C6.10,C14C6.10,WBGene00005585,Sequence name for WBGene00005585(sri-73). History: N.A.
C16D9.7,C16D9.7,WBGene00015862,Sequence name for WBGene00015862(srt-25). History: N.A.
C17E7.3,C17E7.3,WBGene00015898,Sequence name for WBGene00015898(sre-9). History: N.A.
C17F4.4,C17F4.4,WBGene00005501,Sequence name for WBGene00005501(srh-297). History: N.A.
C18B10.1,C18B10.1,WBGene00015958,Sequence name for WBGene00015958(srbc-11). History: N.A.
C18B10.3,C18B10.3,WBGene00015960,Sequence name for WBGene00015960(srbc-9). History: N.A.
C18B10.4,C18B10.4,WBGene00015961,Sequence name for WBGene00015961(srbc-7). History: N.A.
C18B10.5,C18B10.5,WBGene00015962,Sequence name for WBGene00015962(srbc-8). History: N.A.
C18D4.9,C18D4.9,WBGene00007678,Sequence name for WBGene00007678(srz-90). History: N.A.
C18F10.5,C18F10.5,WBGene00005160,Sequence name for WBGene00005160(srg-2). History: N.A.
C18F10.8,C18F10.8,WBGene00005165,Sequence name for WBGene00005165(srg-7). History: N.A.
C18H7.8,C18H7.8,WBGene00015998,Sequence name for WBGene00015998(srt-59). History: N.A.
C24B9.12,C24B9.12,WBGene00005219,Sequence name for WBGene00005219(srg-62). History: N.A.
C24B9.14,C24B9.14,WBGene00005214,Sequence name for WBGene00005214(srg-57). History: N.A.
C24B9.2,C24B9.2,WBGene00016047,Sequence name for WBGene00016047(srt-26). History: N.A.
C24B9.4,C24B9.4,WBGene00016049,Sequence name for WBGene00016049(srt-28). History: N.A.
C24B9.5,C24B9.5,WBGene00016050,Sequence name for WBGene00016050(srt-29). History: N.A.
C24H11.4,C24H11.4,WBGene00007701,Sequence name for WBGene00007701(srd-74). History: N.A.
C25E10.3,C25E10.3,WBGene00016093,Sequence name for WBGene00016093(srsx-34). History: N.A.
C25F9.1,C25F9.1,WBGene00005832,Sequence name for WBGene00005832(srw-85). History: N.A.
C25F9.7,C25F9.7,WBGene00005833,"Sequence name for WBGene00005833(srw-86). History: Split into C25F9.13(WBGene00045413). History of WBGene00005833: Split into ""WBGene00045413"" on 2007-05-03"
C27A7.7,C27A7.7,WBGene00005592,Sequence name for WBGene00005592(srj-4). History: N.A.
C27D6.10,C27D6.10,WBGene00005066,Sequence name for WBGene00005066(srb-1). History: N.A.
C27D6.8,C27D6.8,WBGene00005068,Sequence name for WBGene00005068(srb-3). History: N.A.
C27D6.9,C27D6.9,WBGene00005067,Sequence name for WBGene00005067(srb-2). History: N.A.
C28C12.13,C28C12.13,WBGene00005670,Sequence name for WBGene00005670(sru-7). History: N.A.
C29F3.6,C29F3.6,WBGene00005949,Sequence name for WBGene00005949(srx-58). History: N.A.
C29G2.5,C29G2.5,WBGene00016233,Sequence name for WBGene00016233(nhr-290). History: Renamed on 2019-02-06
C31A11.6,C31A11.6,WBGene00007834,Sequence name for WBGene00007834(srxa-7). History: N.A.
C31B8.11,C31B8.11,WBGene00005261,Sequence name for WBGene00005261(srh-38). History: N.A.
C33A12.10,C33A12.10,WBGene00005667,Sequence name for WBGene00005667(sru-4). History: N.A.
C33A12.11,C33A12.11,WBGene00005666,Sequence name for WBGene00005666(sru-3). History: N.A.
C33A12.13,C33A12.13,WBGene00005665,Sequence name for WBGene00005665(sru-2). History: N.A.
C33A12.14,C33A12.14,WBGene00005664,Sequence name for WBGene00005664(sru-1). History: N.A.
C33G8.5,C33G8.5,WBGene00016363,Sequence name for WBGene00016363(srab-4). History: N.A.
C36C5.2,C36C5.2,WBGene00016471,Sequence name for WBGene00016471(srab-8). History: N.A.
C36C5.6,C36C5.6,WBGene00016475,Sequence name for WBGene00016475(srab-9). History: N.A.
C36C5.7,C36C5.7,WBGene00016476,Sequence name for WBGene00016476(srab-10). History: N.A.
C38C3.2,C38C3.2,WBGene00005690,Sequence name for WBGene00005690(sru-27). History: N.A.
C39B5.11,C39B5.11,WBGene00005144,Sequence name for WBGene00005144(srd-67). History: N.A.
C39B5.12,C39B5.12,WBGene00005142,Sequence name for WBGene00005142(srd-65). History: N.A.
C41C4.2,C41C4.2,WBGene00005150,"Sequence name for WBGene00005150(sre-2). History: Split into sfxn-5(WBGene00044049). History of WBGene00005150: Split into ""WBGene00044049"" on 2004-12-17"
C41G6.10,C41G6.10,WBGene00005537,Sequence name for WBGene00005537(sri-25). History: N.A.
C41G6.14,C41G6.14,WBGene00005538,Sequence name for WBGene00005538(sri-26). History: N.A.
C42C1.1,C42C1.1,WBGene00016579,Sequence name for WBGene00016579(sre-14). History: N.A.
C44C3.7,C44C3.7,WBGene00005886,Sequence name for WBGene00005886(srw-139). History: N.A.
C44C3.9,C44C3.9,WBGene00005309,Sequence name for WBGene00005309(srh-88). History: N.A.
C45B11.4,C45B11.4,WBGene00005295,Sequence name for WBGene00005295(srh-74). History: N.A.
C45H4.10,C45H4.10,WBGene00016692,Sequence name for WBGene00016692(srbc-24). History: N.A.
C45H4.11,C45H4.11,WBGene00016693,Sequence name for WBGene00016693(srbc-20). History: N.A.
C45H4.16,C45H4.16,WBGene00016696,Sequence name for WBGene00016696(srbc-19). History: N.A.
C46E10.7,C46E10.7,WBGene00005318,Sequence name for WBGene00005318(srh-99). History: N.A.
C47A10.6,C47A10.6,WBGene00008128,Sequence name for WBGene00008128(srab-12). History: N.A.
C47A10.8,C47A10.8,WBGene00005909,Sequence name for WBGene00005909(srx-18). History: N.A.
C48B6.5,C48B6.5,WBGene00016743,Sequence name for WBGene00016743(srb-15). History: N.A.
C49D10.3,C49D10.3,WBGene00005456,Sequence name for WBGene00005456(srh-250). History: N.A.
C50B6.6,C50B6.6,WBGene00005240,Sequence name for WBGene00005240(srh-15). History: N.A.
C50E10.8,C50E10.8,WBGene00016831,Sequence name for WBGene00016831(sre-56). History: N.A.
C50H11.10,C50H11.10,WBGene00016856,Sequence name for WBGene00016856(srt-15). History: N.A.
C51E3.1,C51E3.1,WBGene00008247,Sequence name for WBGene00008247(srsx-26). History: N.A.
C51E3.2,C51E3.2,WBGene00008248,Sequence name for WBGene00008248(srsx-27). History: N.A.
C51E3.3,C51E3.3,WBGene00008249,Sequence name for WBGene00008249(srsx-28). History: N.A.
C54E10.4,C54E10.4,WBGene00005522,Sequence name for WBGene00005522(sri-10). History: N.A.
C54F6.7,C54F6.7,WBGene00016925,Sequence name for WBGene00016925(srb-18). History: N.A.
D1022.6,D1022.6,WBGene00005641,Sequence name for WBGene00005641(sro-1). History: N.A.
D1065.4,D1065.4,WBGene00005420,Sequence name for WBGene00005420(srh-210). History: N.A.
D1065.5,D1065.5,WBGene00005421,Sequence name for WBGene00005421(srh-211). History: N.A.
D2062.9,D2062.9,WBGene00005589,Sequence name for WBGene00005589(sri-77). History: N.A.
DC2.2,DC2.2,WBGene00005299,Sequence name for WBGene00005299(srh-78). History: N.A.
DC2.6,DC2.6,WBGene00005298,Sequence name for WBGene00005298(srh-77). History: N.A.
E02C12.3,E02C12.3,WBGene00005938,Sequence name for WBGene00005938(srx-47). History: N.A.
E03H12.6,E03H12.6,WBGene00017113,Sequence name for WBGene00017113(srz-24). History: N.A.
E04F6.1,E04F6.1,WBGene00005136,Sequence name for WBGene00005136(srd-59). History: N.A.
F07C4.5,F07C4.5,WBGene00005108,Sequence name for WBGene00005108(srd-30). History: N.A.
F07F6.9,F07F6.9,WBGene00006005,Sequence name for WBGene00006005(srx-114). History: N.A.
F09F3.11,F09F3.11,WBGene00006026,Sequence name for WBGene00006026(srx-135). History: N.A.
F09F3.12,F09F3.12,WBGene00006027,Sequence name for WBGene00006027(srx-136). History: N.A.
F09F3.13,F09F3.13,WBGene00006028,Sequence name for WBGene00006028(srx-137). History: N.A.
F10G2.6,F10G2.6,WBGene00005983,Sequence name for WBGene00005983(srx-92). History: N.A.
F11A5.2,F11A5.2,WBGene00005484,Sequence name for WBGene00005484(srh-279). History: N.A.
F13A7.13,F13A7.13,WBGene00008728,Sequence name for WBGene00008728(sre-36). History: N.A.
F13A7.2,F13A7.2,WBGene00005140,Sequence name for WBGene00005140(srd-63). History: N.A.
F13G3.2,F13G3.2,WBGene00005131,Sequence name for WBGene00005131(srd-53). History: N.A.
F14F8.4,F14F8.4,WBGene00008815,Sequence name for WBGene00008815(srz-103). History: N.A.
F14F8.6,F14F8.6,WBGene00005791,Sequence name for WBGene00005791(srw-44). History: N.A.
F14F9.1,F14F9.1,WBGene00005347,Sequence name for WBGene00005347(srh-130). History: N.A.
F15A4.3,F15A4.3,WBGene00008839,Sequence name for WBGene00008839(sre-37). History: N.A.
F15E6.7,F15E6.7,WBGene00005715,Sequence name for WBGene00005715(srv-4). History: N.A.
F15H9.3,F15H9.3,WBGene00005529,Sequence name for WBGene00005529(sri-17). History: N.A.
F16B4.10,F16B4.10,WBGene00017511,Sequence name for WBGene00017511(srbc-41). History: N.A.
F18E2.4,F18E2.4,WBGene00008937,Sequence name for WBGene00008937(srt-43). History: N.A.
F18E3.4,F18E3.4,WBGene00005815,Sequence name for WBGene00005815(srw-68). History: N.A.
F18E3.5,F18E3.5,WBGene00005816,Sequence name for WBGene00005816(srw-69). History: N.A.
F19B10.8,F19B10.8,WBGene00005989,Sequence name for WBGene00005989(srx-98). History: N.A.
F20E11.12,F20E11.12,WBGene00005370,Sequence name for WBGene00005370(srh-154). History: N.A.
F21A3.1,F21A3.1,WBGene00005481,Sequence name for WBGene00005481(srh-276). History: N.A.
F21H7.11,F21H7.11,WBGene00005315,Sequence name for WBGene00005315(srh-95). History: N.A.
F22E5.16,F22E5.16,WBGene00005569,Sequence name for WBGene00005569(sri-57). History: N.A.
F22E5.4,F22E5.4,WBGene00005559,Sequence name for WBGene00005559(sri-47). History: N.A.
F25E5.13,F25E5.13,WBGene00005313,Sequence name for WBGene00005313(srh-92). History: N.A.
F26D2.4,F26D2.4,WBGene00005361,Sequence name for WBGene00005361(srh-145). History: N.A.
F26D2.9,F26D2.9,WBGene00005795,Sequence name for WBGene00005795(srw-48). History: N.A.
F26F12.6,F26F12.6,WBGene00005297,Sequence name for WBGene00005297(srh-76). History: N.A.
F28C12.5,F28C12.5,WBGene00005047,Sequence name for WBGene00005047(sra-21). History: N.A.
F28D9.2,F28D9.2,WBGene00005517,Sequence name for WBGene00005517(sri-5). History: N.A.
F28H7.1,F28H7.1,WBGene00005610,Sequence name for WBGene00005610(srj-22). History: N.A.
F31E9.2,F31E9.2,WBGene00005201,Sequence name for WBGene00005201(srg-44). History: N.A.
F31F4.13,F31F4.13,WBGene00005687,Sequence name for WBGene00005687(sru-24). History: N.A.
F31F4.4,F31F4.4,WBGene00005912,Sequence name for WBGene00005912(srx-21). History: N.A.
F31F4.6,F31F4.6,WBGene00005472,Sequence name for WBGene00005472(srh-266). History: N.A.
F33H1.5,F33H1.5,WBGene00005079,Sequence name for WBGene00005079(srd-1). History: N.A.
F33H12.4,F33H12.4,WBGene00005586,Sequence name for WBGene00005586(sri-74). History: N.A.
F35C5.2,F35C5.2,WBGene00005040,Sequence name for WBGene00005040(sra-14). History: N.A.
F36D1.2,F36D1.2,WBGene00009462,Sequence name for WBGene00009462(sre-22). History: N.A.
F36D1.3,F36D1.3,WBGene00005710,Sequence name for WBGene00005710(sru-47). History: N.A.
F36D3.6,F36D3.6,WBGene00005353,Sequence name for WBGene00005353(srh-136). History: N.A.
F36G9.5,F36G9.5,WBGene00005685,Sequence name for WBGene00005685(sru-22). History: N.A.
F36G9.6,F36G9.6,WBGene00005686,Sequence name for WBGene00005686(sru-23). History: N.A.
F36G9.9,F36G9.9,WBGene00005514,Sequence name for WBGene00005514(sri-2). History: N.A.
F36H9.6,F36H9.6,WBGene00018114,Sequence name for WBGene00018114(srt-41). History: N.A.
F37B4.6,F37B4.6,WBGene00005448,Sequence name for WBGene00005448(srh-241). History: N.A.
F38B7.4,F38B7.4,WBGene00005976,Sequence name for WBGene00005976(srx-85). History: N.A.
F40D4.1,F40D4.1,WBGene00005390,Sequence name for WBGene00005390(srh-174). History: N.A.
F40D4.2,F40D4.2,WBGene00005371,Sequence name for WBGene00005371(srh-155). History: N.A.
F40D4.9,F40D4.9,WBGene00009569,Sequence name for WBGene00009569(srz-66). History: N.A.
F40G12.1,F40G12.1,WBGene00009596,Sequence name for WBGene00009596(sre-8). History: N.A.
F40H7.2,F40H7.2,WBGene00005999,Sequence name for WBGene00005999(srx-108). History: N.A.
F40H7.8,F40H7.8,WBGene00005996,Sequence name for WBGene00005996(srx-105). History: N.A.
F41F3.7,F41F3.7,WBGene00005964,Sequence name for WBGene00005964(srx-73). History: N.A.
F44F4.13,F44F4.13,WBGene00005037,Sequence name for WBGene00005037(sra-11). History: N.A.
F44F4.5,F44F4.5,WBGene00005036,Sequence name for WBGene00005036(sra-10). History: N.A.
F44F4.7,F44F4.7,WBGene00005038,Sequence name for WBGene00005038(sra-12). History: N.A.
F46B3.11,F46B3.11,WBGene00009763,Sequence name for WBGene00009763(srz-18). History: N.A.
F46B6.11,F46B6.11,WBGene00005702,Sequence name for WBGene00005702(sru-39). History: N.A.
F47B8.12,F47B8.12,WBGene00044112,Sequence name for WBGene00044112(srm-5). History: N.A.
F47B8.7,F47B8.7,WBGene00009808,Sequence name for WBGene00009808(srm-4). History: N.A.
F47B8.9,F47B8.9,WBGene00009810,Sequence name for WBGene00009810(srm-6). History: N.A.
F47C12.10,F47C12.10,WBGene00005432,Sequence name for WBGene00005432(srh-222). History: N.A.
F47D2.10,F47D2.10,WBGene00005407,Sequence name for WBGene00005407(srh-194). History: N.A.
F47D2.7,F47D2.7,WBGene00018558,Sequence name for WBGene00018558(srt-20). History: N.A.
F47D2.8,F47D2.8,WBGene00018559,"Sequence name for WBGene00018559(srt-37). History: Split into F47D2.12(WBGene00269430). History of WBGene00018559: Split into ""WBGene00269430"" on 2016-04-19"
F48D6.2,F48D6.2,WBGene00005716,Sequence name for WBGene00005716(srv-5). History: N.A.
F48F5.4,F48F5.4,WBGene00005147,Sequence name for WBGene00005147(srd-70). History: N.A.
F49C5.2,F49C5.2,WBGene00006011,Sequence name for WBGene00006011(srx-120). History: N.A.
F49E12.5,F49E12.5,WBGene00005039,Sequence name for WBGene00005039(sra-13). History: N.A.
F53F1.10,F53F1.10,WBGene00005096,Sequence name for WBGene00005096(srd-18). History: N.A.
F53F1.7,F53F1.7,WBGene00005719,Sequence name for WBGene00005719(srv-8). History: N.A.
F54B8.7,F54B8.7,WBGene00010021,Sequence name for WBGene00010021(srbc-49). History: N.A.
F54B8.9,F54B8.9,WBGene00010023,Sequence name for WBGene00010023(srbc-51). History: N.A.
F54F11.3,F54F11.3,WBGene00010071,Sequence name for WBGene00010071(sre-45). History: N.A.
F55C5.9,F55C5.9,WBGene00005241,Sequence name for WBGene00005241(srh-16). History: N.A.
F56D5.10,F56D5.10,WBGene00010153,Sequence name for WBGene00010153(srxa-2). History: N.A.
F57G8.1,F57G8.1,WBGene00005395,Sequence name for WBGene00005395(srh-180). History: N.A.
F57G8.3,F57G8.3,WBGene00005383,Sequence name for WBGene00005383(srh-167). History: N.A.
F57G9.1,F57G9.1,WBGene00010217,Sequence name for WBGene00010217(sre-31). History: N.A.
F58A6.6,F58A6.6,WBGene00019025,Sequence name for WBGene00019025(srb-16). History: N.A.
F59B1.7,F59B1.7,WBGene00005932,Sequence name for WBGene00005932(srx-41). History: N.A.
F59D6.5,F59D6.5,WBGene00005755,Sequence name for WBGene00005755(srw-8). History: N.A.
F59E11.1,F59E11.1,WBGene00005892,Sequence name for WBGene00005892(srx-1). History: N.A.
H05B21.2,H05B21.2,WBGene00005454,Sequence name for WBGene00005454(srh-248). History: N.A.
H10D18.3,H10D18.3,WBGene00005753,Sequence name for WBGene00005753(srw-6). History: N.A.
H12C20.5,H12C20.5,WBGene00005981,Sequence name for WBGene00005981(srx-90). History: N.A.
H24O09.1,H24O09.1,WBGene00019242,Sequence name for WBGene00019242(srbc-40). History: N.A.
H27D07.6,H27D07.6,WBGene00005308,Sequence name for WBGene00005308(srh-87). History: N.A.
K01B6.2,K01B6.2,WBGene00005936,Sequence name for WBGene00005936(srx-45). History: N.A.
K03B4.5,K03B4.5,WBGene00005968,Sequence name for WBGene00005968(srx-77). History: N.A.
K04C1.6,K04C1.6,WBGene00005193,Sequence name for WBGene00005193(srg-36). History: N.A.
K04F1.16,K04F1.16,WBGene00005231,Sequence name for WBGene00005231(srh-5). History: N.A.
K04F1.2,K04F1.2,WBGene00005843,Sequence name for WBGene00005843(srw-96). History: N.A.
K04F1.5,K04F1.5,WBGene00005229,Sequence name for WBGene00005229(srh-3). History: N.A.
K05D4.3,K05D4.3,WBGene00010588,Sequence name for WBGene00010588(srz-14). History: N.A.
K05D4.6,K05D4.6,WBGene00005482,Sequence name for WBGene00005482(srh-277). History: N.A.
K07C6.10,K07C6.10,WBGene00005958,Sequence name for WBGene00005958(srx-67). History: N.A.
K07C6.11,K07C6.11,WBGene00005959,Sequence name for WBGene00005959(srx-68). History: N.A.
K07C6.9,K07C6.9,WBGene00005957,Sequence name for WBGene00005957(srx-66). History: N.A.
K07E8.9,K07E8.9,WBGene00005557,Sequence name for WBGene00005557(sri-45). History: N.A.
K08G2.7,K08G2.7,WBGene00010688,Sequence name for WBGene00010688(srz-12). History: N.A.
K09D9.8,K09D9.8,WBGene00005234,Sequence name for WBGene00005234(srh-8). History: N.A.
K10B4.5,K10B4.5,WBGene00005081,Sequence name for WBGene00005081(srd-3). History: N.A.
K12D9.3,K12D9.3,WBGene00005868,Sequence name for WBGene00005868(srw-121). History: N.A.
K12G11.5,K12G11.5,WBGene00005967,Sequence name for WBGene00005967(srx-76). History: N.A.
M199.1,M199.1,WBGene00010950,Sequence name for WBGene00010950(srt-44). History: N.A.
R04B5.8,R04B5.8,WBGene00005127,Sequence name for WBGene00005127(srd-49). History: N.A.
R04D3.7,R04D3.7,WBGene00005120,Sequence name for WBGene00005120(srd-42). History: N.A.
R05D8.2,R05D8.2,WBGene00005606,Sequence name for WBGene00005606(srj-18). History: N.A.
R05D8.3,R05D8.3,WBGene00005279,Sequence name for WBGene00005279(srh-56). History: N.A.
R05D8.6,R05D8.6,WBGene00005215,Sequence name for WBGene00005215(srg-58). History: N.A.
R05H5.6,R05H5.6,WBGene00005071,Sequence name for WBGene00005071(srb-6). History: N.A.
R07B5.3,R07B5.3,WBGene00005703,Sequence name for WBGene00005703(sru-40). History: N.A.
R07B5.4,R07B5.4,WBGene00005701,Sequence name for WBGene00005701(sru-38). History: N.A.
R07B5.5,R07B5.5,WBGene00011084,Sequence name for WBGene00011084(srsx-21). History: N.A.
R07B5.7,R07B5.7,WBGene00005671,Sequence name for WBGene00005671(sru-8). History: N.A.
R08F11.5,R08F11.5,WBGene00005754,Sequence name for WBGene00005754(srw-7). History: N.A.
R09B5.7,R09B5.7,WBGene00005611,Sequence name for WBGene00005611(srj-23). History: N.A.
R10D12.17,R10D12.17,WBGene00011197,Sequence name for WBGene00011197(srw-145). History: N.A.
R10H1.2,R10H1.2,WBGene00019999,Sequence name for WBGene00019999(srab-14). History: N.A.
R11G11.5,R11G11.5,WBGene00005855,Sequence name for WBGene00005855(srw-108). History: N.A.
R11G11.9,R11G11.9,WBGene00005260,Sequence name for WBGene00005260(srh-37). History: N.A.
R13F6.3,R13F6.3,WBGene00005712,Sequence name for WBGene00005712(srv-1). History: N.A.
R186.2,R186.2,WBGene00005113,Sequence name for WBGene00005113(srd-35). History: N.A.
R52.7,R52.7,WBGene00005408,Sequence name for WBGene00005408(srh-195). History: N.A.
T01C4.4,T01C4.4,WBGene00005925,Sequence name for WBGene00005925(srx-34). History: N.A.
T01D3.4,T01D3.4,WBGene00005987,Sequence name for WBGene00005987(srx-96). History: N.A.
T02B11.1,T02B11.1,WBGene00005210,Sequence name for WBGene00005210(srg-53). History: N.A.
T02B5.4,T02B5.4,WBGene00005104,Sequence name for WBGene00005104(srd-26). History: N.A.
T02D1.3,T02D1.3,WBGene00005678,Sequence name for WBGene00005678(sru-15). History: N.A.
T03D3.14,T03D3.14,WBGene00005635,Sequence name for WBGene00005635(srj-57). History: N.A.
T03D3.4,T03D3.4,WBGene00005259,Sequence name for WBGene00005259(srh-36). History: N.A.
T03E6.5,T03E6.5,WBGene00005475,Sequence name for WBGene00005475(srh-269). History: N.A.
T03F7.3,T03F7.3,WBGene00005269,Sequence name for WBGene00005269(srh-46). History: N.A.
T04A11.7,T04A11.7,WBGene00005683,Sequence name for WBGene00005683(sru-20). History: N.A.
T04B2.4,T04B2.4,WBGene00005723,Sequence name for WBGene00005723(srv-12). History: N.A.
T04C12.2,T04C12.2,WBGene00005296,Sequence name for WBGene00005296(srh-75). History: N.A.
T06A1.2,T06A1.2,WBGene00005604,Sequence name for WBGene00005604(srj-16). History: N.A.
