# Curated list of genes misregulated in the dcr-1(-/-);unc-32(-/-) relative to unc-32(-/-). The uncurated output from the microarray analysis software package GeneSifter is presented in worksheet ""dcr-1 raw data""
gene,affy_id,fold change,direction,Input,Suggested Match,History
F28H1.1,182142_at,4.16,Up,F28H1.1,WBGene00017908,Public name for WBGene00017908. History: N.A.
ZC410.1,174023_at,4.16,Up,ZC410.1,WBGene00003610,Sequence name for WBGene00003610(nhr-11). History: N.A.
K09E2.4,174803_at,4.15,Up,K09E2.4,WBGene00004369,Sequence name for WBGene00004369(rig-1). History: N.A.
C34B4.1,192238_s_at,4.13,Up,C34B4.1,WBGene00003143,Sequence name for WBGene00003143(max-1). History: N.A.
T23F2.4,187571_at,4.13,Up,T23F2.4,WBGene00020737,Public name for WBGene00020737. History: N.A.
ZK287.2,189531_s_at,4.13,Up,ZK287.2,WBGene00013963,Sequence name for WBGene00013963(sulp-8). History: N.A.
T01B10.1,188214_at,4.12,Up,T01B10.1,WBGene00001693,Sequence name for WBGene00001693(grd-4). History: N.A.
F20D6.8,189488_at,4.08,Up,F20D6.8,WBGene00017637,Public name for WBGene00017637. History: N.A.
B0284.2,179629_at,4.05,Up,B0284.2,WBGene00007132,Sequence name for WBGene00007132(pals-27). History: N.A.
Y69H2.9,178210_at,4.05,Up,Y69H2.9,WBGene00013484,Public name for WBGene00013484. History: N.A.
Y110A2AL.3,187312_at,4.04,Up,Y110A2AL.3,WBGene00022440,Public name for WBGene00022440. History: N.A.
H17B01.3,184456_at,4.03,Up,H17B01.3,WBGene00019208,Sequence name for WBGene00019208(lips-14). History: N.A.
W04G3.8,177650_at,4.0,Up,W04G3.8,WBGene00012261,Sequence name for WBGene00012261(lpr-3). History: N.A.
F47B8.2,178834_at,3.95,Up,F47B8.2,WBGene00009803,Public name for WBGene00009803. History: N.A.
Y71F9B.8,185904_s_at,3.93,Up,Y71F9B.8,WBGene00022129,Sequence name for WBGene00022129(lron-11). History: N.A.
F47D12.6,187668_at,3.92,Up,F47D12.6,WBGene00018562,Public name for WBGene00018562. History: N.A.
R02D5.3,178412_at,3.92,Up,R02D5.3,WBGene00010977,Public name for WBGene00010977. History: N.A.
R03G5.7,174395_at,3.88,Up,R03G5.7,WBGene00019847,"Public name for Dead gene WBGene00019848. History of WBGene00019848: Merged into ""WBGene00019847"" on 2010-11-17"
C01B7.4,189538_s_at,3.8,Up,C01B7.4,WBGene00006467,Sequence name for WBGene00006467(magu-2). History: Renamed on 2021-09-06
C25E10.8,185690_at,3.8,Up,C25E10.8,WBGene00016097,Public name for WBGene00016097. History: N.A.
F36G9.14,179989_at,3.8,Up,F36G9.14,WBGene00009490,Sequence name for WBGene00009490(fbxa-99). History: N.A.
T09B9.2,191670_at,3.79,Up,T09B9.2,WBGene00011643,Sequence name for WBGene00011643(slc-17.9). History: Renamed on 2015-04-29
F15G9.1,171746_x_at,3.76,Up,F15G9.1,WBGene00008865,Public name for WBGene00008865. History: N.A.
F53B3.5,172434_at,3.76,Up,F53B3.5,WBGene00018743,Public name for WBGene00018743. History: N.A.
H06I04.6,173174_s_at,3.76,Up,H06I04.6,WBGene00019170,Public name for WBGene00019170. History: N.A.
B0218.2,188343_at,3.75,Up,B0218.2,WBGene00015048,Sequence name for WBGene00015048(faah-2). History: N.A.
ZC196.6,180496_at,3.75,Up,ZC196.6,WBGene00022550,Sequence name for WBGene00022550(droe-8). History: N.A.
Y57G11B.2,184948_at,3.74,Up,Y57G11B.2,WBGene00013295,Public name for WBGene00013295. History: N.A.
F54D1.6,174056_at,3.73,Up,F54D1.6,WBGene00010047,Public name for WBGene00010047. History: N.A.
F22F1.1,171805_x_at,3.72,Up,F22F1.1,WBGene00001854,Sequence name for WBGene00001854(hil-3). History: Renamed on 2010-11-12
C42D8.5,173654_at,3.71,Up,C42D8.5,WBGene00000039,Sequence name for WBGene00000039(acn-1). History: N.A.
Y48G9A.10,176965_at,3.7,Up,Y48G9A.10,WBGene00021703,Sequence name for WBGene00021703(cpt-3). History: N.A.
C36B1.6,177959_at,3.68,Up,C36B1.6,WBGene00007973,Public name for WBGene00007973. History: N.A.
F57G12.1,180157_at,3.67,Up,F57G12.1,WBGene00010221,Public name for WBGene00010221. History: N.A.
T05A6.1,175786_at,3.66,Up,T05A6.1,WBGene00000516,Sequence name for WBGene00000516(cki-1). History: N.A.
K05B2.4,183702_at,3.65,Up,K05B2.4,WBGene00019404,Public name for WBGene00019404. History: N.A.
F48E8.1,187318_at,3.64,Up,F48E8.1,WBGene00003055,Sequence name for WBGene00003055(lon-1). History: N.A.
Y37H2A.11,184295_at,3.64,Up,Y37H2A.11,WBGene00012571,"Public name for WBGene00012571. History: Split into Y37H2A.13(WBGene00045417), Y37H2A.14(WBGene00045416). History of WBGene00012571: Split into ""WBGene00045416"" on 2007-05-15; Split into ""WBGene00045417"" on 2007-05-15"
Y57G11C.17,187009_at,3.63,Up,Y57G11C.17,WBGene00013312,Sequence name for WBGene00013312(hhat-2). History: N.A.
ZC410.5,190988_at,3.62,Up,ZC410.5,WBGene00013882,Sequence name for WBGene00013882(msa-1). History: N.A.
C53C11.2,186365_at,3.61,Up,C53C11.2,WBGene00016900,Public name for WBGene00016900. History: N.A.
T12G3.1,171737_x_at,3.61,Up,T12G3.1,WBGene00011737,Sequence name for WBGene00011737(sqst-1). History: N.A.
Y43F8B.2,172568_x_at,3.6,Up,Y43F8B.2,WBGene00012813,Public name for WBGene00012813. History: N.A.
F08F1.8,174407_at,3.59,Up,F08F1.8,WBGene00006649,Sequence name for WBGene00006649(tth-1). History: N.A.
E04F6.9,179913_at,3.57,Up,E04F6.9,WBGene00017128,Public name for WBGene00017128. History: N.A.
K08E7.7,192359_s_at,3.57,Up,K08E7.7,WBGene00000841,Sequence name for WBGene00000841(cul-6). History: N.A.
W03G11.2,181282_at,3.54,Up,W03G11.2,WBGene00012224,Public name for WBGene00012224. History: N.A.
K02C4.4,174235_at,3.5,Up,K02C4.4,WBGene00003089,Sequence name for WBGene00003089(ltd-1). History: N.A.
Y37D8A.16,185357_at,3.5,Up,Y37D8A.16,WBGene00012554,Public name for WBGene00012554. History: N.A.
F13B10.1,174406_at,3.49,Up,F13B10.1,WBGene00006575,Sequence name for WBGene00006575(tir-1). History: Renamed on 2005-11-09
F16H11.1,186158_at,3.48,Up,F16H11.1,WBGene00017530,Sequence name for WBGene00017530(mfsd-12). History: N.A.
C23F12.1,174677_s_at,3.47,Up,C23F12.1,WBGene00016006,Sequence name for WBGene00016006(fln-2). History: Renamed on 2009-10-28
K08B4.6,189734_at,3.45,Up,K08B4.6,WBGene00000535,Sequence name for WBGene00000535(cpi-1). History: Renamed on 2006-01-04
T10H4.11,189265_at,3.45,Up,T10H4.11,WBGene00011699,Sequence name for WBGene00011699(cyp-34A2). History: N.A.
Y39G10AR.6,176453_at,3.43,Up,Y39G10AR.6,WBGene00021464,Sequence name for WBGene00021464(ugt-31). History: N.A.
R13A5.6,176118_at,3.41,Up,R13A5.6,WBGene00020049,Sequence name for WBGene00020049(ttr-8). History: N.A.
C54F6.14,190427_s_at,3.39,Up,C54F6.14,WBGene00001500,Sequence name for WBGene00001500(ftn-1). History: N.A.
Y105C5A.25,187110_at,3.39,Up,Y105C5A.25,WBGene00013644,Public name for WBGene00013644. History: N.A.
