Ubiquitous genes,Input,Suggested Match,History
B0365.1,B0365.1,WBGene00007150,Sequence name for WBGene00007150(acly-2). History: N.A.
B0393.1,B0393.1,WBGene00004469,Sequence name for WBGene00004469(rps-0). History: N.A.
B0403.4,B0403.4,WBGene00015168,Sequence name for WBGene00015168(pdi-6). History: N.A.
B0410.2,B0410.2,WBGene00015171,Sequence name for WBGene00015171(vang-1). History: Renamed on 2016-08-02
B0412.4,B0412.4,WBGene00004498,Sequence name for WBGene00004498(rps-29). History: N.A.
B0416.5,B0416.5,WBGene00015181,Public name for WBGene00015181. History: N.A.
B0432.10,B0432.10,WBGene00015191,Public name for WBGene00015191. History: N.A.
B0432.2,B0432.2,WBGene00015184,Sequence name for WBGene00015184(djr-1.1). History: N.A.
B0432.3,B0432.3,WBGene00015185,Sequence name for WBGene00015185(mrpl-41). History: N.A.
B0432.4,B0432.4,WBGene00015186,Sequence name for WBGene00015186(misc-1). History: Renamed on 2016-04-27
B0454.1,B0454.1,WBGene00002997,"Sequence name for WBGene00002997(lin-8). History: N.A.. Public name for Dead gene WBGene00015195. History of WBGene00015195: Merged into ""WBGene00002997"" on 2006-03-22"
B0457.1,B0457.1,WBGene00002251,Sequence name for WBGene00002251(lat-1). History: N.A.
B0464.1,B0464.1,WBGene00001094,Sequence name for WBGene00001094(dars-1). History: Renamed on 2010-01-29
B0464.3,B0464.3,WBGene00007185,Sequence name for WBGene00007185(nlp-36). History: N.A.
B0464.5,B0464.5,WBGene00004980,Sequence name for WBGene00004980(spk-1). History: N.A.
B0464.7,B0464.7,WBGene00000235,Sequence name for WBGene00000235(baf-1). History: Renamed on 2006-12-04
B0491.5,B0491.5,WBGene00007192,Sequence name for WBGene00007192(nduf-11). History: N.A.
B0491.6,B0491.6,WBGene00007193,Public name for WBGene00007193. History: N.A.
B0495.2,B0495.2,WBGene00015203,Sequence name for WBGene00015203(cdk-11.1). History: N.A.
B0495.5,B0495.5,WBGene00015204,Public name for WBGene00015204. History: N.A.
B0495.7,B0495.7,WBGene00015206,Public name for WBGene00015206. History: N.A.
B0495.9,B0495.9,WBGene00015208,Public name for WBGene00015208. History: N.A.
B0511.10,B0511.10,WBGene00001228,Sequence name for WBGene00001228(eif-3.E). History: N.A.
B0511.2,B0511.2,WBGene00015228,Public name for WBGene00015228. History: N.A.
B0511.8,B0511.8,WBGene00044321,"Sequence name for WBGene00044321(mrps-30). History: Renamed on 2011-06-10. Public name for Dead gene WBGene00015234. History of WBGene00015234: Merged into ""WBGene00044321"" on 2006-06-29"
B0513.1,B0513.1,WBGene00001562,Sequence name for WBGene00001562(lin-66). History: N.A.
B0513.2,B0513.2,WBGene00007195,Sequence name for WBGene00007195(thoc-7). History: N.A.
B0513.3,B0513.3,WBGene00004443,Sequence name for WBGene00004443(rpl-29). History: N.A.
B0546.2,B0546.2,WBGene00015249,Sequence name for WBGene00015249(otub-4). History: N.A.
B0546.4,B0546.4,WBGene00015251,Public name for WBGene00015251. History: N.A.
B0547.1,B0547.1,WBGene00000817,Sequence name for WBGene00000817(csn-5). History: N.A.
B0563.4,B0563.4,WBGene00006479,Sequence name for WBGene00006479(tmbi-4). History: Renamed on 2007-07-20
B0564.1,B0564.1,"WBGene00007201, WBGene00044083",Sequence name for WBGene00007201(exos-4.1). History: N.A.. Sequence name for WBGene00044083(tin-9.2). History: N.A.
B0564.11,B0564.11,WBGene00023421,Sequence name for WBGene00023421(rde-11). History: N.A.
BE0003N10.2,BE0003N10.2,WBGene00015267,Sequence name for WBGene00015267(chin-1). History: N.A.
C01A2.5,C01A2.5,WBGene00007217,Sequence name for WBGene00007217(tads-1). History: N.A.
C01B10.8,C01B10.8,WBGene00015282,Public name for WBGene00015282. History: N.A.
C01C10.3,C01C10.3,WBGene00015295,Sequence name for WBGene00015295(acl-12). History: N.A.
C01F1.1,C01F1.1,WBGene00015296,Sequence name for WBGene00015296(gtf-2F1). History: N.A.
C01F1.2,C01F1.2,WBGene00015297,Sequence name for WBGene00015297(sco-1). History: N.A.
C01F1.6,C01F1.6,WBGene00015301,Public name for WBGene00015301. History: N.A.
C01F6.8,C01F6.8,WBGene00002046,Sequence name for WBGene00002046(icln-1). History: Renamed on 2010-11-16
C01F6.9,C01F6.9,WBGene00007223,Sequence name for WBGene00007223(znf-706). History: N.A.
C01G10.10,C01G10.10,WBGene00007237,Public name for WBGene00007237. History: N.A.
C01G10.11,C01G10.11,WBGene00006808,Sequence name for WBGene00006808(unc-76). History: N.A.
C01G10.8,C01G10.8,WBGene00007235,Sequence name for WBGene00007235(ahsa-1). History: N.A.
C01G6.3,C01G6.3,WBGene00007225,Public name for WBGene00007225. History: N.A.
C01G6.4,C01G6.4,WBGene00007226,Public name for WBGene00007226. History: N.A.
C01G6.6,C01G6.6,WBGene00006510,Sequence name for WBGene00006510(mtrr-1). History: Renamed on 2011-04-20
C01G6.8,C01G6.8,WBGene00000289,Sequence name for WBGene00000289(cam-1). History: N.A.
C01G8.3,C01G8.3,WBGene00000965,Sequence name for WBGene00000965(dhs-1). History: N.A.
C01G8.5,C01G8.5,WBGene00001333,Sequence name for WBGene00001333(erm-1). History: N.A.
C01H6.7,C01H6.7,WBGene00007256,Sequence name for WBGene00007256(swsn-9). History: Renamed on 2012-08-29
C02B10.1,C02B10.1,WBGene00015326,Sequence name for WBGene00015326(ivd-1). History: N.A.
C02B10.4,C02B10.4,WBGene00015329,Public name for WBGene00015329. History: N.A.
C02D5.3,C02D5.3,WBGene00015337,"Sequence name for WBGene00015337(gsto-2). History: Split into C02D5.4(WBGene00043097). History of WBGene00015337: Split into ""WBGene00043097"" on 2010-04-29"
C02E11.1,C02E11.1,WBGene00015344,Sequence name for WBGene00015344(nra-4). History: N.A.
C02F5.1,C02F5.1,WBGene00002231,Sequence name for WBGene00002231(knl-1). History: N.A.
C02F5.6,C02F5.6,WBGene00015349,Sequence name for WBGene00015349(henn-1). History: N.A.
C03B1.12,C03B1.12,WBGene00003053,Sequence name for WBGene00003053(lmp-1). History: N.A.
C03B8.4,C03B8.4,WBGene00003002,Sequence name for WBGene00003002(lin-13). History: N.A.
C03C10.1,C03C10.1,WBGene00002202,Sequence name for WBGene00002202(kin-19). History: N.A.
C03C10.3,C03C10.3,WBGene00004392,Sequence name for WBGene00004392(rnr-2). History: N.A.
C03D6.3,C03D6.3,WBGene00000466,Sequence name for WBGene00000466(cel-1). History: N.A.
C03D6.8,C03D6.8,WBGene00004437,Sequence name for WBGene00004437(rpl-24.2). History: N.A.
C03E10.4,C03E10.4,WBGene00001645,Sequence name for WBGene00001645(gly-20). History: N.A.
C03G5.1,C03G5.1,WBGene00015391,Sequence name for WBGene00015391(sdha-1). History: N.A.
C03H12.1,C03H12.1,WBGene00007284,Public name for WBGene00007284. History: N.A.
C03H5.2,C03H5.2,WBGene00015404,Sequence name for WBGene00015404(nstp-4). History: N.A.
C04C3.3,C04C3.3,WBGene00015413,Sequence name for WBGene00015413(pdhb-1). History: N.A.
C04E7.2,C04E7.2,WBGene00015429,Sequence name for WBGene00015429(sor-3). History: N.A.
C04F12.10,C04F12.10,WBGene00001405,Sequence name for WBGene00001405(fce-1). History: N.A.
C04F12.4,C04F12.4,WBGene00004426,Sequence name for WBGene00004426(rpl-14). History: N.A.
C04F6.3,C04F6.3,WBGene00000503,Sequence name for WBGene00000503(cht-1). History: N.A.
C04F6.4,C04F6.4,WBGene00006810,Sequence name for WBGene00006810(unc-78). History: N.A.
C05B10.1,C05B10.1,WBGene00003043,Sequence name for WBGene00003043(lip-1). History: N.A.
C05C10.2,C05C10.2,WBGene00007329,Public name for WBGene00007329. History: N.A.
C05C10.3,C05C10.3,WBGene00007330,Public name for WBGene00007330. History: N.A.
C05C8.4,C05C8.4,WBGene00001563,Sequence name for WBGene00001563(gei-6). History: N.A.
C05D10.1,C05D10.1,WBGene00015477,Sequence name for WBGene00015477(attf-4). History: N.A.
C05D11.1,C05D11.1,WBGene00015481,Public name for WBGene00015481. History: N.A.
C05D11.10,C05D11.10,WBGene00015487,Sequence name for WBGene00015487(mrps-17). History: N.A.
C05D11.11,C05D11.11,WBGene00003214,Sequence name for WBGene00003214(mel-32). History: N.A.
C05D11.12,C05D11.12,WBGene00002855,Sequence name for WBGene00002855(let-721). History: N.A.
C05D11.3,C05D11.3,WBGene00006515,"Sequence name for WBGene00006515(txdc-9). History: N.A.. Public name for Dead gene WBGene00015482. History of WBGene00015482: Merged into ""WBGene00006515"" on 2005-10-05"
C05D11.7,C05D11.7,WBGene00015484,Sequence name for WBGene00015484(atgl-1). History: N.A.
C05D2.1,C05D2.1,WBGene00000900,Sequence name for WBGene00000900(daf-4). History: N.A.
C05D2.10,C05D2.10,WBGene00015470,Sequence name for WBGene00015470(wdr-37). History: N.A.
C05D2.6,C05D2.6,WBGene00015468,Sequence name for WBGene00015468(madf-11). History: N.A.
C06A1.1,C06A1.1,WBGene00007352,Sequence name for WBGene00007352(cdc-48.1). History: Renamed on 2005-03-17
C06A1.5,C06A1.5,WBGene00007355,Sequence name for WBGene00007355(rpb-6). History: N.A.
C06A5.3,C06A5.3,WBGene00015501,Public name for WBGene00015501. History: N.A.
C06A5.7,C06A5.7,WBGene00006823,"Sequence name for WBGene00006823(unc-94). History: Renamed on 2008-01-09. Public name for Dead gene WBGene00006581. History of WBGene00006581: Merged into ""WBGene00006823"" on 2008-01-09"
C06A6.3,C06A6.3,WBGene00015508,Sequence name for WBGene00015508(mvb-12). History: N.A.
C06A6.4,C06A6.4,WBGene00015509,Public name for WBGene00015509. History: N.A.
C06A8.1,C06A8.1,WBGene00015512,Sequence name for WBGene00015512(mthf-1). History: N.A.
C06B3.4,C06B3.4,WBGene00007363,Sequence name for WBGene00007363(stdh-1). History: Renamed on 2004-08-25
C06E7.3,C06E7.3,WBGene00015540,Sequence name for WBGene00015540(sams-4). History: N.A.
C06G3.10,C06G3.10,WBGene00000585,Sequence name for WBGene00000585(cogc-2). History: Renamed on 2006-01-17
C06G3.11,C06G3.11,WBGene00006572,Sequence name for WBGene00006572(tin-9.1). History: N.A.
C06G3.7,C06G3.7,WBGene00015553,Sequence name for WBGene00015553(trxr-1). History: N.A.
C06G3.9,C06G3.9,WBGene00015555,Sequence name for WBGene00015555(ufl-1). History: N.A.
C06G4.2,C06G4.2,WBGene00000542,Sequence name for WBGene00000542(clp-1). History: N.A.
C07A12.4,C07A12.4,WBGene00003963,Sequence name for WBGene00003963(pdi-2). History: N.A.
C07A9.12,C07A9.12,WBGene00043994,Public name for WBGene00043994. History: N.A.
C07A9.2,C07A9.2,WBGene00007400,Sequence name for WBGene00007400(bud-31). History: N.A.
C07A9.3,C07A9.3,WBGene00006579,Sequence name for WBGene00006579(tlk-1). History: N.A.
C07A9.9,C07A9.9,WBGene00007405,Public name for WBGene00007405. History: N.A.
C07B5.5,C07B5.5,WBGene00003828,Sequence name for WBGene00003828(nuc-1). History: N.A.
C07D8.6,C07D8.6,WBGene00015565,Public name for WBGene00015565. History: N.A.
C07E3.6,C07E3.6,WBGene00007417,Sequence name for WBGene00007417(ceh-58). History: N.A.
C07G1.4,C07G1.4,WBGene00006957,Sequence name for WBGene00006957(wsp-1). History: N.A.
C07G2.2,C07G2.2,WBGene00000223,"Sequence name for WBGene00000223(atf-7). History: Split into C07G2.5(WBGene00303035). History of WBGene00000223: Split into ""WBGene00303035"" on 2018-03-02"
C07G2.3,C07G2.3,WBGene00000380,Sequence name for WBGene00000380(cct-5). History: N.A.
C07G3.9,C07G3.9,WBGene00015577,Sequence name for WBGene00015577(ugt-64). History: N.A.
C07H4.2,C07H4.2,WBGene00000532,Sequence name for WBGene00000532(clh-5). History: N.A.
C07H6.5,C07H6.5,WBGene00000479,Sequence name for WBGene00000479(cgh-1). History: N.A.
C08B11.1,C08B11.1,WBGene00006996,Sequence name for WBGene00006996(zyg-11). History: N.A.
C08B11.3,C08B11.3,WBGene00007433,Sequence name for WBGene00007433(swsn-7). History: N.A.
C08B6.7,C08B6.7,WBGene00007428,"Sequence name for WBGene00007428(wdr-20). History: Split into C08B6.18(WBGene00303036). History of WBGene00007428: Renamed on 2013-07-04; Split into ""WBGene00303036"" on 2018-03-02"
C08B6.8,C08B6.8,WBGene00007429,Public name for WBGene00007429. History: N.A.
C08F8.1,C08F8.1,WBGene00007443,Sequence name for WBGene00007443(pfd-1). History: N.A.
C08G9.1,C08G9.1,WBGene00015619,Public name for WBGene00015619. History: N.A.
C08H9.2,C08H9.2,WBGene00007463,Sequence name for WBGene00007463(vgln-1). History: N.A.
C09B8.6,C09B8.6,WBGene00002023,Sequence name for WBGene00002023(hsp-25). History: N.A.
C09B8.7,C09B8.7,WBGene00003911,Sequence name for WBGene00003911(pak-1). History: N.A.
C09D4.5,C09D4.5,WBGene00004431,Sequence name for WBGene00004431(rpl-19). History: N.A.
C09E10.2,C09E10.2,WBGene00000958,"Sequence name for WBGene00000958(dgk-1). History: Split into C09E10.3(WBGene00303038). History of WBGene00000958: Split into ""WBGene00303038"" on 2018-03-02"
C09E7.4,C09E7.4,WBGene00015638,Public name for WBGene00015638. History: N.A.
C09G4.1,C09G4.1,WBGene00002043,Sequence name for WBGene00002043(hyl-1). History: N.A.
C09G9.1,C09G9.1,WBGene00007492,Public name for WBGene00007492. History: N.A.
C09G9.2,C09G9.2,WBGene00007493,Sequence name for WBGene00007493(npp-23). History: N.A.
C09H10.5,C09H10.5,WBGene00007499,Public name for WBGene00007499. History: N.A.
C09H10.6,C09H10.6,WBGene00007500,Sequence name for WBGene00007500(nasp-1). History: N.A.
C10C5.6,C10C5.6,WBGene00000911,"Sequence name for WBGene00000911(daf-15). History: N.A.. Public name for Dead gene WBGene00007510. History of WBGene00007510: Merged into ""WBGene00000911"" on 2004-09-29"
C10C6.1,C10C6.1,WBGene00002192,Sequence name for WBGene00002192(kin-4). History: N.A.
C10C6.6,C10C6.6,WBGene00007514,Sequence name for WBGene00007514(catp-8). History: N.A.
C10F3.5,C10F3.5,WBGene00003954,Sequence name for WBGene00003954(pcm-1). History: N.A.
C10G11.5,C10G11.5,WBGene00004068,Sequence name for WBGene00004068(pnk-1). History: N.A.
C10G6.1,C10G6.1,WBGene00015680,Sequence name for WBGene00015680(egal-1). History: N.A.
C10H11.6,C10H11.6,WBGene00015695,Sequence name for WBGene00015695(ugt-26). History: N.A.
C11D2.7,C11D2.7,WBGene00015703,Public name for WBGene00015703. History: N.A.
C11H1.2,C11H1.2,WBGene00007528,Public name for WBGene00007528. History: N.A.
C12D8.1,C12D8.1,WBGene00007534,Sequence name for WBGene00007534(fubl-1). History: Renamed on 2017-12-07
C12D8.11,C12D8.11,WBGene00004405,Sequence name for WBGene00004405(rop-1). History: N.A.
C13B4.2,C13B4.2,WBGene00006856,Sequence name for WBGene00006856(usp-14). History: N.A.
C13B9.3,C13B9.3,WBGene00015734,Sequence name for WBGene00015734(copd-1). History: N.A.
C13F10.2,C13F10.2,WBGene00015742,Sequence name for WBGene00015742(kxd-1). History: N.A.
C13F10.4,C13F10.4,WBGene00015743,Sequence name for WBGene00015743(soap-1). History: N.A.
C13F10.7,C13F10.7,WBGene00015746,Public name for WBGene00015746. History: N.A.
C14A11.3,C14A11.3,WBGene00006496,"Sequence name for WBGene00006496(cgef-1). History: Renamed on 2008-07-18. Public name for Dead gene WBGene00015749. History of WBGene00015749: Merged into ""WBGene00006496"" on 2004-05-28"
C14A4.1,C14A4.1,WBGene00007555,Sequence name for WBGene00007555(dohh-1). History: N.A.
C14A4.11,C14A4.11,WBGene00007561,Sequence name for WBGene00007561(ccm-3). History: N.A.
C14A4.14,C14A4.14,WBGene00007564,Sequence name for WBGene00007564(mrps-22). History: N.A.
C14A4.2,C14A4.2,WBGene00000933,Sequence name for WBGene00000933(dap-3). History: Renamed on 2018-06-07
C14A4.3,C14A4.3,WBGene00007556,Sequence name for WBGene00007556(algn-9). History: N.A.
C14A4.4,C14A4.4,WBGene00000796,Sequence name for WBGene00000796(crn-3). History: Renamed on 2007-06-04
C14A4.5,C14A4.5,WBGene00000798,Sequence name for WBGene00000798(crn-5). History: Renamed on 2007-06-04
C14B1.1,C14B1.1,WBGene00003962,Sequence name for WBGene00003962(pdi-1). History: N.A.
C14B1.5,C14B1.5,WBGene00007576,Sequence name for WBGene00007576(dph-1). History: N.A.
C14B9.1,C14B9.1,WBGene00002011,Sequence name for WBGene00002011(hsp-12.2). History: N.A.
C14B9.2,C14B9.2,WBGene00015752,Public name for WBGene00015752. History: N.A.
C14B9.4,C14B9.4,WBGene00004042,Sequence name for WBGene00004042(plk-1). History: N.A.
C14B9.7,C14B9.7,WBGene00004433,Sequence name for WBGene00004433(rpl-21). History: N.A.
C14C10.3,C14C10.3,WBGene00007586,"Sequence name for WBGene00007586(ril-2). History: Split into C14C10.10(WBGene00303041). History of WBGene00007586: Split into ""WBGene00303041"" on 2018-03-02"
C14C10.4,C14C10.4,WBGene00007587,Sequence name for WBGene00007587(mma-1). History: N.A.
C14C10.5,C14C10.5,WBGene00007588,Public name for WBGene00007588. History: N.A.
C14F5.5,C14F5.5,WBGene00004774,Sequence name for WBGene00004774(sem-5). History: N.A.
C15C6.4,C15C6.4,WBGene00007603,Sequence name for WBGene00007603(popl-4). History: N.A.
C15C8.7,C15C8.7,WBGene00007609,Public name for WBGene00007609. History: N.A.
C15F1.6,C15F1.6,WBGene00000198,Sequence name for WBGene00000198(art-1). History: N.A.
C15F1.7,C15F1.7,WBGene00004930,Sequence name for WBGene00004930(sod-1). History: N.A.
C15H11.4,C15H11.4,WBGene00000985,Sequence name for WBGene00000985(dhs-22). History: N.A.
C15H11.7,C15H11.7,WBGene00003922,Sequence name for WBGene00003922(pas-1). History: N.A.
C15H11.8,C15H11.8,WBGene00007616,Sequence name for WBGene00007616(rpoa-12). History: N.A.
C15H9.4,C15H9.4,WBGene00015800,Public name for WBGene00015800. History: N.A.
C15H9.6,C15H9.6,WBGene00002007,Sequence name for WBGene00002007(hsp-3). History: N.A.
C15H9.9,C15H9.9,WBGene00015803,Public name for WBGene00015803. History: N.A.
C16A3.3,C16A3.3,WBGene00002850,"Sequence name for WBGene00002850(let-716). History: N.A.. Public name for Dead gene WBGene00015808. History of WBGene00015808: Merged into ""WBGene00002850"" on 2008-01-30"
C16A3.4,C16A3.4,WBGene00015809,Sequence name for WBGene00015809(znf-622). History: N.A.
C16A3.5,C16A3.5,WBGene00015810,Public name for WBGene00015810. History: N.A.
C16A3.7,C16A3.7,WBGene00007048,"Sequence name for WBGene00007048(nfx-1). History: Renamed on 2011-09-23. Public name for Dead gene WBGene00015812. History of WBGene00015812: Merged into ""WBGene00007048"" on 2005-10-05"
C16A3.9,C16A3.9,WBGene00004482,Sequence name for WBGene00004482(rps-13). History: N.A.
C16C10.11,C16C10.11,WBGene00007630,Sequence name for WBGene00007630(har-1). History: N.A.
C16C10.5,C16C10.5,WBGene00007626,Sequence name for WBGene00007626(rnf-121). History: N.A.
C16C10.7,C16C10.7,WBGene00004381,Sequence name for WBGene00004381(rnf-5). History: N.A.
C16C10.8,C16C10.8,WBGene00007628,Public name for WBGene00007628. History: N.A.
C16C2.4,C16C2.4,WBGene00007621,Public name for WBGene00007621. History: N.A.
C16E9.2,C16E9.2,WBGene00015866,Public name for WBGene00015866. History: N.A.
C17D12.1,C17D12.1,WBGene00007637,Sequence name for WBGene00007637(dhhc-7). History: N.A.
C17E4.11,C17E4.11,WBGene00044236,Public name for WBGene00044236. History: N.A.
C17E4.5,C17E4.5,WBGene00003904,Sequence name for WBGene00003904(pabp-2). History: Renamed on 2007-02-23
C17E4.9,C17E4.9,WBGene00007646,Sequence name for WBGene00007646(nkb-1). History: N.A.
C17G1.4,C17G1.4,WBGene00007651,Sequence name for WBGene00007651(nra-3). History: N.A.
C17G1.7,C17G1.7,WBGene00007653,Sequence name for WBGene00007653(cysl-1). History: N.A.
C17G10.4,C17G10.4,WBGene00000383,"Sequence name for WBGene00000383(cdc-14). History: Split into C17G10.13(WBGene00270322). History of WBGene00000383: Split into ""WBGene00270322"" on 2016-08-31"
C17G10.9,C17G10.9,WBGene00015920,Sequence name for WBGene00015920(eif-3.L). History: N.A.
C17H12.1,C17H12.1,WBGene00015927,Sequence name for WBGene00015927(dyci-1). History: N.A.
C17H12.13,C17H12.13,WBGene00015938,Sequence name for WBGene00015938(anat-1). History: N.A.
C17H12.14,C17H12.14,WBGene00006917,Sequence name for WBGene00006917(vha-8). History: N.A.
C18A3.2,C18A3.2,WBGene00015940,Sequence name for WBGene00015940(zipt-3). History: N.A.
C18A3.3,C18A3.3,WBGene00015941,Public name for WBGene00015941. History: N.A.
C18B12.4,C18B12.4,WBGene00007666,Public name for WBGene00007666. History: N.A.
C18B2.4,C18B2.4,WBGene00015955,Public name for WBGene00015955. History: N.A.
C18D1.1,C18D1.1,WBGene00000995,Sequence name for WBGene00000995(die-1). History: N.A.
C18D11.4,C18D11.4,WBGene00004705,Sequence name for WBGene00004705(rsp-8). History: N.A.
C18E3.2,C18E3.2,WBGene00015971,Sequence name for WBGene00015971(swsn-2.2). History: N.A.
C18E9.10,C18E9.10,WBGene00007690,Sequence name for WBGene00007690(sftd-3). History: N.A.
C18E9.2,C18E9.2,WBGene00007683,Public name for WBGene00007683. History: N.A.
C18E9.4,C18E9.4,WBGene00007684,Public name for WBGene00007684. History: N.A.
C18E9.6,C18E9.6,WBGene00007686,Sequence name for WBGene00007686(tomm-40). History: N.A.
C18F3.2,C18F3.2,WBGene00004732,Sequence name for WBGene00004732(sax-7). History: N.A.
C23F12.4,C23F12.4,WBGene00016009,Public name for WBGene00016009. History: N.A.
C23G10.3,C23G10.3,WBGene00004472,Sequence name for WBGene00004472(rps-3). History: N.A.
C23G10.4,C23G10.4,WBGene00004459,Sequence name for WBGene00004459(rpn-2). History: N.A.
C23G10.8,C23G10.8,WBGene00016015,Sequence name for WBGene00016015(sna-3). History: N.A.
