Gene,wt (N2) RPM,mut-16(pk710) RPM,fold change,Input,Suggested Match,History
Y82E9BR.6,8.53,0.7,0.08,Y82E9BR.6,WBGene00022339,Public name for WBGene00022339. History: N.A.
T08B6.2,7.48,0.14,0.02,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
F07G6.6,7.13,0.14,0.02,F07G6.6,WBGene00017225,Sequence name for WBGene00017225(fbxa-52). History: N.A.
H09G03.1,4.15,0.28,0.07,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
Y71A12B.2,3.97,0.0,0.0,Y71A12B.2,WBGene00013500,Public name for WBGene00013500. History: N.A.
Y71A12B.3,3.97,0.0,0.0,Y71A12B.3,WBGene00013501,Public name for WBGene00013501. History: N.A.
Y7A5A.8,3.62,1.39,0.38,Y7A5A.8,WBGene00012414,Public name for WBGene00012414. History: N.A.
C36A4.11,3.21,1.05,0.33,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
K06B9.6,3.21,1.05,0.33,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
Y41C4A.17,2.34,0.0,0.0,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
F52D2.5,2.22,0.0,0.0,F52D2.5,WBGene00018687,Public name for WBGene00018687. History: N.A.
Y7A5A.9,2.1,0.0,0.0,Y7A5A.9,WBGene00012415,Public name for WBGene00012415. History: N.A.
Y43F8B.6,1.99,0.14,0.07,Y43F8B.6,WBGene00012817,Public name for WBGene00012817. History: N.A.
F58F9.1,1.05,0.35,0.33,F58F9.1,WBGene00019055,Public name for WBGene00019055. History: N.A.
Y82E9BR.20,0.94,0.0,0.0,Y82E9BR.20,WBGene00022352,Public name for WBGene00022352. History: N.A.
T25G12.11,0.12,0.0,0.0,T25G12.11,WBGene00020817,Public name for WBGene00020817. History: N.A.
C39B5.2,0.0,0.0,0.0,C39B5.2,WBGene00016520,Public name for WBGene00016520. History: N.A.
